id,npctype,teamshow,teamname,typesub,typeweight,timesprotect,npclvtable,npcteam,npcicon,npcmod1,heronpc1,armmod1,heronpc2,armmod2,heronpc3,armmod3,heronpc4,armmod4,heronpc5,armmod5,hpcorrect,attackcorrect,armorcorrect,magiccorrect,rescorrect,attackspeedcorrect,movespeedcorrect,hitcorrect,dodgecorrect,blockcorrect,phycritcorrect,magiccritcorrect,phycrittimescorrect,armorbreakcorrect,magicbreakcorrect,vampirecorrect,healcorrect,rageratecorrect,cablerangecorrect,initialangercorrect,physicaldamagecorrect,magichurtcorrect,immunitydamagecorrect,exp
50,5,1,执金吾,2,1,0,1,3,2202,2202,2007,2206,2004,2206,1007,2206,4008,2206,3006,2206,20000,20000,10,30000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
51,5,1,执金吾,1,1,0,1,2,1202,1202,1004,1206,1007,1206,2004,1206,2009,1206,4010,1206,20000,20000,10,30000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
52,6,1,后勤部队,3,1,0,1,1,3102,3102,310011,0,310012,0,310013,0,310014,0,310015,0,0,9000,10,9000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
53,6,1,后勤部队,2,1,0,1,3,2102,2102,210011,0,210012,0,210013,0,210014,0,210015,0,0,9000,10,9000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
54,6,1,后勤部队,1,1,0,1,2,1102,1102,110011,0,110012,0,110013,0,110014,0,110015,0,0,9000,10,9000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
55,6,1,运粮部队,3,1,0,1,1,3202,3202,320011,0,320012,0,320013,0,320014,0,320015,0,0,9000,10,9000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
56,6,1,运粮部队,2,1,0,1,3,2202,2202,220011,0,220012,0,220013,0,220014,0,220015,0,0,9000,10,9000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
57,6,1,运粮部队,1,1,0,1,2,1202,1202,120011,0,120012,0,120013,0,120014,0,120015,0,0,9000,10,9000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
58,7,1,投石车,1,3,0,1,1,5005,5005,120091,0,120092,0,120093,0,120094,0,120095,0,0,13000,10,13000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
59,7,1,精制投石车,1,3,0,1,2,5005,5005,120091,0,120092,0,120093,0,120094,0,120095,0,0,13000,10,13000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
60,7,1,弩车,1,3,0,1,1,5005,5005,120081,0,120082,0,120083,0,120084,0,120085,0,0,13000,10,13000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
61,7,1,精制弩车,1,3,0,1,2,5005,5005,120081,0,120082,0,120083,0,120084,0,120085,0,0,13000,10,13000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
