id,name,nebula,icon,x,y,front,tasktypes,n1,n2,n3,n4,txt,goto,snum,onum,type,privilegetype,privilegenum,privilegetxt1,privilegetxt2,show,needhero,providehero
1003002,典礼,10003,icon_wanhuajing_01,200,50,1003001,51,10,0,0,0,竞技场累计挑战10次且已解锁前置星耀“知识”时可解锁,6,0,8,1,2,2003,挂机每日获得英雄经验产量,+20K,0,1010,5030200
1003003,创造,10003,icon_wanhuajing_02,0,200,1003002,221,1,1002,60,0,铸时星域-密林奇遇完成度大于60%且已解锁前置星耀“典礼”时可解锁,31,0,8,1,3,3003,挂机每日获得魔粉产量,+8,0,4001,5030300
1003004,神秘,10003,icon_wanhuajing_02,-200,50,1003003,81,70,0,0,0,试炼之塔达到70层且已解锁前置星耀“创造”时可解锁,28,0,10,1,7,7001,解锁挂机获得,精英+品质装备,0,1008,5030400
1003005,诚实,10003,icon_wanhuajing_03,300,-200,1003004,43,8,0,0,0,通关冒险关卡第8章且已解锁前置星耀“神秘”时可解锁,40,2,8,3,201,2,解锁,自选招募功能,1,0,0
1004001,积极,10004,icon_wanhuajing_01,-250,150,0,72,60,0,0,0,法阵等级达60级可解锁,30,0,6,1,1,1004,挂机每日获得金币产量,+10K,0,2010,5040100
1004002,保护,10004,icon_wanhuajing_01,-450,-120,1004001,231,5,0,0,0,创世神木达到5级且已解锁前置星耀“积极”时可解锁,33,0,6,1,2,2004,挂机每日获得英雄经验产量,+20K,0,4009,5040200
1004003,丰收,10004,icon_wanhuajing_02,50,-150,1004002,32,1,4,4,0,任意装备强化到4星且已解锁前置星耀“保护”时可解锁,30,0,8,1,3,3004,挂机每日获得魔粉产量,+8,0,1002,5040300
1004004,秩序,10004,icon_wanhuajing_02,-50,120,1004003,221,1,1003,60,0,铸时星域-雷鸣之城完成度大于60%且已解锁前置星耀“丰收”时可解锁,31,0,8,2,101,40,挂机获得金币增加,+40%,0,3002,5040400
1004005,权柄,10004,icon_wanhuajing_02,450,150,1004004,81,85,0,0,0,试炼之塔达到85层且已解锁前置星耀“秩序”时可解锁,28,0,10,2,105,10,公会狩猎获得贡献币,+10%,0,6002,5040500
1004006,怜悯,10004,icon_wanhuajing_03,250,-100,1004005,43,9,0,0,0,通关冒险关卡第9章且已解锁前置星耀“权柄”时可解锁,40,4,6,3,201,1,增加自选召唤次数,+1,1,0,0
1005001,礼物,10005,icon_wanhuajing_01,250,180,0,72,70,0,0,0,法阵等级达70级可解锁,30,0,6,1,1,1005,挂机每日获得金币产量,+10K,0,1003,5050100
1005002,幸运,10005,icon_wanhuajing_01,0,80,1005001,73,5,0,0,0,法阵中上阵5个英雄且已解锁前置星耀“礼物”时可解锁,13,0,6,1,2,2005,挂机每日获得英雄经验产量,+25K,0,3006,5050200
1005003,融洽,10005,icon_wanhuajing_02,-250,180,1005002,53,1,6,9,0,高阶竞技场进入青铜段位且已解锁前置星耀“幸运”时可解锁,39,0,8,1,3,3005,挂机每日获得魔粉产量,+8,0,4003,5050300
1005004,财产,10005,icon_wanhuajing_02,-350,-180,1005003,217,1,6,0,0,拥有1名史诗级别英雄且已解锁前置星耀“融洽”时可解锁,21,0,8,2,102,20,挂机获得英雄经验增加,+20%,0,1009,5050400
1005005,权能,10005,icon_wanhuajing_02,0,-80,1005004,81,100,0,0,0,试炼之塔达到100层且已解锁前置星耀“财产”时可解锁,28,0,10,2,103,15,挂机获得魔粉增加,+15%,0,2003,5050500
1005006,荣誉,10005,icon_wanhuajing_03,350,-180,1005005,43,10,0,0,0,通关冒险关卡第10章且已解锁前置星耀“权能”时可解锁,40,4,6,1,8,8001,解锁挂机获得,史诗品质装备,1,0,0
1006001,破坏,10006,icon_wanhuajing_01,0,200,0,72,80,0,0,0,法阵等级达80级可解锁,30,0,6,1,1,1006,挂机每日获得金币产量,+10K,0,1006,5060100
1006002,恢复,10006,icon_wanhuajing_01,0,0,1006001,121,1,2,0,0,进行1次友情招募且已解锁前置星耀“破坏”时可解锁,18,0,8,1,2,2006,挂机每日获得英雄经验产量,+25K,0,2007,5060200
1006003,健康,10006,icon_wanhuajing_01,-400,150,1006002,232,2,0,0,0,创世神木中任意职业分支升到2级且已解锁前置星耀“恢复”时可解锁,33,0,8,1,3,3006,挂机每日获得魔粉产量,+10,0,3007,5060300
1006004,生命,10006,icon_wanhuajing_02,-300,-180,1006003,221,1,1004,60,0,铸时星域-均衡山脉完成度大于60%且已解锁前置星耀“健康”时可解锁,31,0,10,2,101,40,挂机获得金币增加,+40%,0,4007,5060400
1006005,再生,10006,icon_wanhuajing_02,300,-180,1006004,81,110,0,0,0,试炼之塔达到110层且已解锁前置星耀“生命”时可解锁,28,0,10,2,104,10,地牢获得地牢币增加,+10%,0,4002,5060500
1006006,牺牲,10006,icon_wanhuajing_03,400,150,1006005,43,11,0,0,0,通关冒险关卡第11章且已解锁前置星耀“再生”时可解锁,40,4,8,3,202,86400,减少自选召唤冷却时间,24小时,1,0,0
1007001,力量,10007,icon_wanhuajing_01,-400,-200,0,72,100,0,0,0,法阵等级达100级可解锁,30,0,6,1,1,1007,挂机每日获得金币产量,+10K,0,3005,5070100
1007002,防御,10007,icon_wanhuajing_01,-250,150,1007001,84,5,0,0,0,任意种族塔达到5级且已解锁前置星耀“力量”时可解锁,28,0,6,1,2,2007,挂机每日获得英雄经验产量,+25K,0,1001,5070200
1007003,回礼,10007,icon_wanhuajing_01,-100,-50,1007002,2,500000,0,0,0,总战力达到50万且已解锁前置星耀“防御”时可解锁,27,0,8,1,3,3007,挂机每日获得魔粉产量,+10,0,3008,5070300
1007004,意志,10007,icon_wanhuajing_02,0,200,1007003,221,1,1005,60,0,铸时星域-破碎大陆完成度大于60%且已解锁前置星耀“回礼”时可解锁,31,0,8,2,102,25,挂机获得英雄经验增加,+25%,0,5001,5070400
1007005,战斗,10007,icon_wanhuajing_02,100,-50,1007004,217,1,7,0,0,拥有1名史诗+级别英雄且已解锁前置星耀“意志”时可解锁,27,0,10,2,103,15,挂机获得魔粉增加,+15%,0,5004,5070500
1007006,制御,10007,icon_wanhuajing_02,250,150,1007005,81,120,0,0,0,试炼之塔达到120层且已解锁前置星耀“战斗”时可解锁,28,0,10,1,9,9001,解锁挂机获得金+品质装备,史诗+品质装备,0,7002,5070600
1007007,英勇,10007,icon_wanhuajing_03,400,-200,1007006,43,12,0,0,0,通关冒险关卡第12章且已解锁前置星耀“制御”时可解锁,40,4,8,1,5,5002,挂机获得钻石,产量翻倍,1,0,0
2001001,悲伤,20001,icon_wanhuajing_01,0,0,0,216,3,10,0,0,培养升阶3名神话品质英雄可解锁,21,2,10,3,202,86400,减少自选召唤冷却时间,24小时,0,0,0
2001002,厄运,20001,icon_wanhuajing_01,0,200,2001001,216,5,10,0,0,培养升阶5名神话品质英雄且已解锁前置星耀“悲伤”时可解锁,21,2,10,3,201,1,增加自选召唤次数,+1,0,0,0
2001003,抵抗,20001,icon_wanhuajing_02,-250,150,2001001,216,10,10,0,0,培养升阶10名神话品质英雄且已解锁前置星耀“悲伤”时可解锁,21,2,10,3,202,86400,减少自选召唤冷却时间,24小时,0,0,0
2001004,平衡,20001,icon_wanhuajing_02,250,150,2001001,216,20,10,0,0,培养升阶20名神话品质英雄且已解锁前置星耀“悲伤”时可解锁,21,2,10,3,201,1,增加自选召唤次数,+1,0,0,0
2001005,重生,20001,icon_wanhuajing_03,0,-220,2001001,216,30,10,0,0,培养升阶30名神话品质英雄且已解锁前置星耀“悲伤”时可解锁,21,2,10,3,202,86400,减少自选召唤冷却时间,24小时,0,0,0
2002001,生产,20002,icon_wanhuajing_01,-350,150,0,231,26,0,0,0,创世神木达到26级可解锁,40,2,10,1,1,1008,挂机每日获得金币产量,+20K,0,0,0
2002002,构筑,20002,icon_wanhuajing_02,-450,-20,2002001,231,31,0,0,0,创世神木达到31级且已解锁前置星耀“生产”时可解锁,40,2,10,1,1,1009,挂机每日获得金币产量,+35K,0,0,0
2002003,联系,20002,icon_wanhuajing_02,-250,-50,2002002,231,37,0,0,0,创世神木达到37级且已解锁前置星耀“构筑”时可解锁,40,2,10,1,1,1010,挂机每日获得金币产量,+50K,0,0,0
2002004,集中,20002,icon_wanhuajing_03,-350,-220,2002003,231,43,0,0,0,创世神木达到43级且已解锁前置星耀“联系”时可解锁,40,2,10,1,1,1011,挂机每日获得金币产量,+50K,1,0,0
2002101,成功,20002,icon_wanhuajing_01,350,150,0,231,30,0,0,0,创世神木达到30级可解锁,40,2,10,1,2,2008,挂机每日获得英雄经验产量,+51K,0,0,0
2002102,手段,20002,icon_wanhuajing_02,450,-20,2002101,231,35,0,0,0,创世神木达到35级且已解锁前置星耀“成功”时可解锁,40,2,10,1,2,2009,挂机每日获得英雄经验产量,+200K,0,0,0
2002103,目标,20002,icon_wanhuajing_02,250,-50,2002102,231,40,0,0,0,创世神木达到40级且已解锁前置星耀“手段”时可解锁,40,2,10,1,2,2010,挂机每日获得英雄经验产量,+360K,0,0,0
2002104,自我,20002,icon_wanhuajing_03,350,-220,2002103,231,45,0,0,0,创世神木达到45级且已解锁前置星耀“目标”时可解锁,40,2,10,1,2,2011,挂机每日获得英雄经验产量,+600K,1,0,0
2002201,轮回,20002,icon_wanhuajing_01,0,-180,0,231,32,0,0,0,创世神木达到32级可解锁,40,2,10,1,3,3008,挂机每日获得魔粉产量,+25,0,0,0
2002202,胜利,20002,icon_wanhuajing_02,100,-30,2002201,231,38,0,0,0,创世神木达到38级且已解锁前置星耀“轮回”时可解锁,40,2,10,1,3,3009,挂机每日获得魔粉产量,+50,0,0,0
2002203,诞生,20002,icon_wanhuajing_02,-100,70,2002202,231,44,0,0,0,创世神木达到44级且已解锁前置星耀“胜利”时可解锁,40,2,10,1,3,3010,挂机每日获得魔粉产量,+100,0,0,0
2002204,强韧,20002,icon_wanhuajing_03,0,220,2002203,231,50,0,0,0,创世神木达到50级且已解锁前置星耀“诞生”时可解锁,40,2,10,1,3,3011,挂机每日获得魔粉产量,+150,1,0,0
2003001,速度,20003,icon_wanhuajing_01,-200,150,0,1,110,0,0,0,领主等级达到110级可解锁,40,2,10,2,104,10,地牢获得地牢币增加,+10%,0,0,0
2003002,成长,20003,icon_wanhuajing_02,-350,0,2003001,1,170,0,0,0,领主等级达到170级且已解锁前置星耀“速度”时可解锁,40,2,10,2,104,10,地牢获得地牢币增加,+10%,0,0,0
2003003,封印,20003,icon_wanhuajing_03,50,-100,2003002,1,230,0,0,0,领主等级达到230级且已解锁前置星耀“成长”时可解锁,40,2,10,2,104,15,地牢获得地牢币增加,+15%,1,0,0
2003101,劳动,20003,icon_wanhuajing_01,200,-150,0,1,100,0,0,0,领主等级达到100级可解锁,40,2,10,2,105,10,公会狩猎获得贡献币,+10%,0,0,0
2003102,和平,20003,icon_wanhuajing_02,350,0,2003101,1,150,0,0,0,领主等级达到150级且已解锁前置星耀“劳动”时可解锁,40,2,10,2,105,10,公会狩猎获得贡献币,+10%,0,0,0
2003103,原初,20003,icon_wanhuajing_03,-50,100,2003102,1,200,0,0,0,领主等级达到200级且已解锁前置星耀“和平”时可解锁,40,2,10,2,105,15,公会狩猎获得贡献币,+15%,1,0,0
2004001,极性,20004,icon_wanhuajing_01,-250,200,0,1,120,0,0,0,领主等级达到120级可解锁,40,2,10,2,101,60,挂机获得金币增加,+60%,0,0,0
2004002,正义,20004,icon_wanhuajing_02,-450,50,2004001,1,180,0,0,0,领主等级达到180级且已解锁前置星耀“极性”时可解锁,40,2,10,2,101,60,挂机获得金币增加,+60%,0,0,0
2004003,契约,20004,icon_wanhuajing_02,-400,-150,2004002,1,230,0,0,0,领主等级达到230级且已解锁前置星耀“正义”时可解锁,40,2,10,2,101,60,挂机获得金币增加,+60%,0,0,0
2004004,周期,20004,icon_wanhuajing_03,-200,-200,2004003,1,280,0,0,0,领主等级达到280级且已解锁前置星耀“契约”时可解锁,40,2,10,2,101,60,挂机获得金币增加,+60%,1,0,0
2004101,理解,20004,icon_wanhuajing_01,250,200,0,1,130,0,0,0,领主等级达到130级可解锁,40,2,10,2,102,35,挂机获得英雄经验增加,+35%,0,0,0
2004102,记忆,20004,icon_wanhuajing_02,450,50,2004101,1,190,0,0,0,领主等级达到190级且已解锁前置星耀“理解”时可解锁,40,2,10,2,102,40,挂机获得英雄经验增加,+40%,0,0,0
2004103,信赖,20004,icon_wanhuajing_02,400,-150,2004102,1,240,0,0,0,领主等级达到240级且已解锁前置星耀“记忆”时可解锁,40,2,10,2,102,40,挂机获得英雄经验增加,+40%,0,0,0
2004104,觉醒,20004,icon_wanhuajing_03,200,-200,2004103,1,290,0,0,0,领主等级达到290级且已解锁前置星耀“信赖”时可解锁,40,2,10,2,102,40,挂机获得英雄经验增加,+40%,1,0,0
2004201,预言,20004,icon_wanhuajing_01,-160,100,0,1,140,0,0,0,领主等级达到140级可解锁,40,2,10,2,103,30,挂机获得魔粉增加,+30%,0,0,0
2004202,收容,20004,icon_wanhuajing_02,-80,-100,2004201,1,200,0,0,0,领主等级达到200级且已解锁前置星耀“预言”时可解锁,40,2,10,2,103,30,挂机获得魔粉增加,+30%,0,0,0
2004203,命运,20004,icon_wanhuajing_02,80,200,2004202,1,250,0,0,0,领主等级达到250级且已解锁前置星耀“收容”时可解锁,40,2,10,2,103,35,挂机获得魔粉增加,+35%,0,0,0
2004204,强大,20004,icon_wanhuajing_03,160,100,2004203,1,300,0,0,0,领主等级达到300级且已解锁前置星耀“命运”时可解锁,40,2,10,2,103,35,挂机获得魔粉增加,+35%,1,0,0
2005001,日轮,20005,icon_wanhuajing_01,-450,-100,0,232,15,0,0,0,创世神木任意职业分支达到15级可解锁,40,2,10,1,4,4002,挂机每日获得青铜铸币产量,+20,0,0,0
2005002,秘密,20005,icon_wanhuajing_02,-180,-140,2005001,232,20,0,0,0,创世神木任意职业分支达到20级且已解锁前置星耀“日轮”时可解锁,40,2,10,1,4,4003,挂机每日获得青铜铸币产量,+25,0,0,0
2005003,拥抱,20005,icon_wanhuajing_02,70,-180,2005002,232,25,0,0,0,创世神木任意职业分支达到25级且已解锁前置星耀“秘密”时可解锁,40,2,10,1,4,4004,挂机每日获得青铜铸币产量,+30,0,0,0
2005004,魔力,20005,icon_wanhuajing_03,350,-220,2005003,232,30,0,0,0,创世神木任意职业分支达到30级且已解锁前置星耀“拥抱”时可解锁,40,2,10,1,4,4005,挂机每日获得青铜铸币产量,+35,1,0,0
2005101,知性,20005,icon_wanhuajing_01,-250,0,0,232,22,0,0,0,创世神木任意职业分支达到22级可解锁,40,2,10,1,10,10001,解锁挂机获得,传说品质装备,0,0,0
2005102,遗产,20005,icon_wanhuajing_02,-100,150,2005101,232,27,0,0,0,创世神木任意职业分支达到27级且已解锁前置星耀“知性”时可解锁,40,2,10,1,11,11001,解锁挂机获得,T1装备材料,0,0,0
2005103,意识,20005,icon_wanhuajing_03,200,220,2005102,232,35,0,0,0,创世神木任意职业分支达到35级且已解锁前置星耀“遗产”时可解锁,40,2,10,1,12,12001,解锁挂机获得,T2装备材料,1,0,0
2005201,曙光,20005,icon_wanhuajing_01,0,-50,0,232,26,0,0,0,创世神木任意职业分支达到26级可解锁,40,2,10,1,13,13001,挂机额外传说装备及材料产量,+30%,0,0,0
2005202,黄昏,20005,icon_wanhuajing_02,150,100,2005201,232,33,0,0,0,创世神木任意职业分支达到33级且已解锁前置星耀“曙光”时可解锁,40,2,10,1,13,13002,挂机额外传说装备及材料产量,+30%,0,0,0
2005203,循环,20005,icon_wanhuajing_03,450,150,2005202,232,40,0,0,0,创世神木任意职业分支达到40级且已解锁前置星耀“黄昏”时可解锁,40,2,10,1,13,13003,挂机额外传说装备及材料产量,+30%,1,0,0
