attribute_list_group,weight_attribute,attribute_type1,lv,odds_lv1,odds_lv2,attribute_valve1,attribute_type2,attribute_valve2,quality,icon,name
10102,1000,10,2,5000,5000,432,99,21600,4,slogo14300501.png,魔法防御
10102,1000,10,3,3000,3000,648,99,32400,4,slogo14300501.png,魔法防御
10102,1000,10,4,3000,3000,864,99,43200,4,slogo14300501.png,魔法防御
10102,1000,10,5,3000,3000,1080,99,54000,4,slogo14300501.png,魔法防御
10103,1000,6,1,10000,10000,2160,99,21600,4,slogo14300101.png,生命总量
10103,1000,6,2,5000,5000,4320,99,43200,4,slogo14300101.png,生命总量
10103,1000,6,3,3000,3000,6480,99,64800,4,slogo14300101.png,生命总量
10103,1000,6,4,3000,3000,8640,99,86400,4,slogo14300101.png,生命总量
10103,1000,6,5,3000,3000,10800,99,108000,4,slogo14300101.png,生命总量
10103,1000,7,1,10000,10000,216,99,21600,4,slogo14300201.png,物理攻击
10103,1000,7,2,5000,5000,432,99,43200,4,slogo14300201.png,物理攻击
10103,1000,7,3,3000,3000,648,99,64800,4,slogo14300201.png,物理攻击
10103,1000,7,4,3000,3000,864,99,86400,4,slogo14300201.png,物理攻击
10103,1000,7,5,3000,3000,1080,99,108000,4,slogo14300201.png,物理攻击
10103,1000,8,1,10000,10000,108,99,10800,4,slogo14300301.png,物理防御
10103,1000,8,2,5000,5000,216,99,21600,4,slogo14300301.png,物理防御
10103,1000,8,3,3000,3000,324,99,32400,4,slogo14300301.png,物理防御
10103,1000,8,4,3000,3000,432,99,43200,4,slogo14300301.png,物理防御
10103,1000,8,5,3000,3000,540,99,54000,4,slogo14300301.png,物理防御
10103,1000,9,1,10000,10000,432,99,21600,4,slogo14300401.png,魔法攻击
10103,1000,9,2,5000,5000,864,99,43200,4,slogo14300401.png,魔法攻击
10103,1000,9,3,3000,3000,1296,99,64800,4,slogo14300401.png,魔法攻击
10103,1000,9,4,3000,3000,1728,99,86400,4,slogo14300401.png,魔法攻击
10103,1000,9,5,3000,3000,2160,99,108000,4,slogo14300401.png,魔法攻击
10103,1000,10,1,10000,10000,216,99,10800,4,slogo14300501.png,魔法防御
10103,1000,10,2,5000,5000,432,99,21600,4,slogo14300501.png,魔法防御
10103,1000,10,3,3000,3000,648,99,32400,4,slogo14300501.png,魔法防御
10103,1000,10,4,3000,3000,864,99,43200,4,slogo14300501.png,魔法防御
10103,1000,10,5,3000,3000,1080,99,54000,4,slogo14300501.png,魔法防御
20101,1000,6,1,10000,10000,2160,99,21600,4,slogo14300101.png,生命总量
20101,1000,6,2,5000,5000,4320,99,43200,4,slogo14300101.png,生命总量
20101,1000,6,3,3000,3000,6480,99,64800,4,slogo14300101.png,生命总量
20101,1000,6,4,3000,3000,8640,99,86400,4,slogo14300101.png,生命总量
20101,1000,6,5,3000,3000,10800,99,108000,4,slogo14300101.png,生命总量
20101,1000,6,6,3000,3000,14040,99,140400,5,slogo14400101.png,生命总量
20101,1000,6,7,3000,3000,17280,99,172800,5,slogo14400101.png,生命总量
20101,1000,6,8,3000,3000,20520,99,205200,5,slogo14400101.png,生命总量
20101,1000,6,9,3000,3000,23760,99,237600,5,slogo14400101.png,生命总量
20101,1000,6,10,3000,3000,27000,99,270000,5,slogo14400101.png,生命总量
20101,1000,7,1,10000,10000,216,99,21600,4,slogo14300201.png,物理攻击
20101,1000,7,2,5000,5000,432,99,43200,4,slogo14300201.png,物理攻击
20101,1000,7,3,3000,3000,648,99,64800,4,slogo14300201.png,物理攻击
20101,1000,7,4,3000,3000,864,99,86400,4,slogo14300201.png,物理攻击
20101,1000,7,5,3000,3000,1080,99,108000,4,slogo14300201.png,物理攻击
20101,1000,7,6,3000,3000,1404,99,140400,5,slogo14400201.png,物理攻击
20101,1000,7,7,3000,3000,1728,99,172800,5,slogo14400201.png,物理攻击
20101,1000,7,8,3000,3000,2052,99,205200,5,slogo14400201.png,物理攻击
20101,1000,7,9,3000,3000,2376,99,237600,5,slogo14400201.png,物理攻击
20101,1000,7,10,3000,3000,2700,99,270000,5,slogo14400201.png,物理攻击
20101,1000,8,1,10000,10000,108,99,10800,4,slogo14300301.png,物理防御
20101,1000,8,2,5000,5000,216,99,21600,4,slogo14300301.png,物理防御
20101,1000,8,3,3000,3000,324,99,32400,4,slogo14300301.png,物理防御
20101,1000,8,4,3000,3000,432,99,43200,4,slogo14300301.png,物理防御
20101,1000,8,5,3000,3000,540,99,54000,4,slogo14300301.png,物理防御
20101,1000,8,6,3000,3000,702,99,70200,5,slogo14400301.png,物理防御
20101,1000,8,7,3000,3000,864,99,86400,5,slogo14400301.png,物理防御
20101,1000,8,8,3000,3000,1026,99,102600,5,slogo14400301.png,物理防御
20101,1000,8,9,3000,3000,1188,99,118800,5,slogo14400301.png,物理防御
20101,1000,8,10,3000,3000,1350,99,135000,5,slogo14400301.png,物理防御
20101,1000,9,1,10000,10000,432,99,21600,4,slogo14300401.png,魔法攻击
20101,1000,9,2,5000,5000,864,99,43200,4,slogo14300401.png,魔法攻击
20101,1000,9,3,3000,3000,1296,99,64800,4,slogo14300401.png,魔法攻击
20101,1000,9,4,3000,3000,1728,99,86400,4,slogo14300401.png,魔法攻击
20101,1000,9,5,3000,3000,2160,99,108000,4,slogo14300401.png,魔法攻击
20101,1000,9,6,3000,3000,2808,99,140400,5,slogo14400401.png,魔法攻击
20101,1000,9,7,3000,3000,3456,99,172800,5,slogo14400401.png,魔法攻击
20101,1000,9,8,3000,3000,4104,99,205200,5,slogo14400401.png,魔法攻击
20101,1000,9,9,3000,3000,4752,99,237600,5,slogo14400401.png,魔法攻击
20101,1000,9,10,3000,3000,5400,99,270000,5,slogo14400401.png,魔法攻击
20101,1000,10,1,10000,10000,216,99,10800,4,slogo14300501.png,魔法防御
20101,1000,10,2,5000,5000,432,99,21600,4,slogo14300501.png,魔法防御
20101,1000,10,3,3000,3000,648,99,32400,4,slogo14300501.png,魔法防御
20101,1000,10,4,3000,3000,864,99,43200,4,slogo14300501.png,魔法防御
20101,1000,10,5,3000,3000,1080,99,54000,4,slogo14300501.png,魔法防御
20101,1000,10,6,3000,3000,1404,99,70200,5,slogo14400501.png,魔法防御
20101,1000,10,7,3000,3000,1728,99,86400,5,slogo14400501.png,魔法防御
20101,1000,10,8,3000,3000,2052,99,102600,5,slogo14400501.png,魔法防御
20101,1000,10,9,3000,3000,2376,99,118800,5,slogo14400501.png,魔法防御
20101,1000,10,10,3000,3000,2700,99,135000,5,slogo14400501.png,魔法防御
20101,1000,29,1,10000,10000,216,99,21600,4,slogo14400601.png,神术攻击
20101,1000,29,2,5000,5000,432,99,43200,4,slogo14400601.png,神术攻击
20101,1000,29,3,3000,3000,648,99,64800,4,slogo14400601.png,神术攻击
20101,1000,29,4,3000,3000,864,99,86400,4,slogo14400601.png,神术攻击
20101,1000,29,5,3000,3000,1080,99,108000,4,slogo14400601.png,神术攻击
20101,1000,29,6,3000,3000,1404,99,140400,5,slogo14400601.png,神术攻击
20101,1000,29,7,3000,3000,1728,99,172800,5,slogo14400601.png,神术攻击
20101,1000,29,8,3000,3000,2052,99,205200,5,slogo14400601.png,神术攻击
20101,1000,29,9,3000,3000,2376,99,237600,5,slogo14400601.png,神术攻击
20101,1000,29,10,3000,3000,2700,99,270000,5,slogo14400601.png,神术攻击
20101,1000,30,1,10000,10000,216,99,21600,4,slogo14400701.png,神术防御
20101,1000,30,2,5000,5000,432,99,43200,4,slogo14400701.png,神术防御
20101,1000,30,3,3000,3000,648,99,64800,4,slogo14400701.png,神术防御
20101,1000,30,4,3000,3000,864,99,86400,4,slogo14400701.png,神术防御
20101,1000,30,5,3000,3000,1080,99,108000,4,slogo14400701.png,神术防御
20101,1000,30,6,3000,3000,1404,99,140400,5,slogo14400701.png,神术防御
20101,1000,30,7,3000,3000,1728,99,172800,5,slogo14400701.png,神术防御
20101,1000,30,8,3000,3000,2052,99,205200,5,slogo14400701.png,神术防御
20101,1000,30,9,3000,3000,2376,99,237600,5,slogo14400701.png,神术防御
20101,1000,30,10,3000,3000,2700,99,270000,5,slogo14400701.png,神术防御
20102,1000,6,1,10000,10000,2160,99,21600,4,slogo14300101.png,生命总量
20102,1000,6,2,5000,5000,4320,99,43200,4,slogo14300101.png,生命总量
20102,1000,6,3,3000,3000,6480,99,64800,4,slogo14300101.png,生命总量
20102,1000,6,4,3000,3000,8640,99,86400,4,slogo14300101.png,生命总量
20102,1000,6,5,3000,3000,10800,99,108000,4,slogo14300101.png,生命总量
20102,1000,6,6,3000,3000,14040,99,140400,5,slogo14400101.png,生命总量
20102,1000,6,7,3000,3000,17280,99,172800,5,slogo14400101.png,生命总量
20102,1000,6,8,3000,3000,20520,99,205200,5,slogo14400101.png,生命总量
20102,1000,6,9,3000,3000,23760,99,237600,5,slogo14400101.png,生命总量
20102,1000,6,10,3000,3000,27000,99,270000,5,slogo14400101.png,生命总量
20102,1000,7,1,10000,10000,216,99,21600,4,slogo14300201.png,物理攻击
20102,1000,7,2,5000,5000,432,99,43200,4,slogo14300201.png,物理攻击
20102,1000,7,3,3000,3000,648,99,64800,4,slogo14300201.png,物理攻击
20102,1000,7,4,3000,3000,864,99,86400,4,slogo14300201.png,物理攻击
20102,1000,7,5,3000,3000,1080,99,108000,4,slogo14300201.png,物理攻击
20102,1000,7,6,3000,3000,1404,99,140400,5,slogo14400201.png,物理攻击
20102,1000,7,7,3000,3000,1728,99,172800,5,slogo14400201.png,物理攻击
20102,1000,7,8,3000,3000,2052,99,205200,5,slogo14400201.png,物理攻击
20102,1000,7,9,3000,3000,2376,99,237600,5,slogo14400201.png,物理攻击
20102,1000,7,10,3000,3000,2700,99,270000,5,slogo14400201.png,物理攻击
20102,1000,8,1,10000,10000,108,99,10800,4,slogo14300301.png,物理防御
20102,1000,8,2,5000,5000,216,99,21600,4,slogo14300301.png,物理防御
20102,1000,8,3,3000,3000,324,99,32400,4,slogo14300301.png,物理防御
20102,1000,8,4,3000,3000,432,99,43200,4,slogo14300301.png,物理防御
20102,1000,8,5,3000,3000,540,99,54000,4,slogo14300301.png,物理防御
20102,1000,8,6,3000,3000,702,99,70200,5,slogo14400301.png,物理防御
20102,1000,8,7,3000,3000,864,99,86400,5,slogo14400301.png,物理防御
20102,1000,8,8,3000,3000,1026,99,102600,5,slogo14400301.png,物理防御
20102,1000,8,9,3000,3000,1188,99,118800,5,slogo14400301.png,物理防御
20102,1000,8,10,3000,3000,1350,99,135000,5,slogo14400301.png,物理防御
20102,1000,9,1,10000,10000,432,99,21600,4,slogo14300401.png,魔法攻击
20102,1000,9,2,5000,5000,864,99,43200,4,slogo14300401.png,魔法攻击
20102,1000,9,3,3000,3000,1296,99,64800,4,slogo14300401.png,魔法攻击
20102,1000,9,4,3000,3000,1728,99,86400,4,slogo14300401.png,魔法攻击
20102,1000,9,5,3000,3000,2160,99,108000,4,slogo14300401.png,魔法攻击
20102,1000,9,6,3000,3000,2808,99,140400,5,slogo14400401.png,魔法攻击
20102,1000,9,7,3000,3000,3456,99,172800,5,slogo14400401.png,魔法攻击
20102,1000,9,8,3000,3000,4104,99,205200,5,slogo14400401.png,魔法攻击
20102,1000,9,9,3000,3000,4752,99,237600,5,slogo14400401.png,魔法攻击
20102,1000,9,10,3000,3000,5400,99,270000,5,slogo14400401.png,魔法攻击
20102,1000,10,1,10000,10000,216,99,10800,4,slogo14300501.png,魔法防御
20102,1000,10,2,5000,5000,432,99,21600,4,slogo14300501.png,魔法防御
20102,1000,10,3,3000,3000,648,99,32400,4,slogo14300501.png,魔法防御
20102,1000,10,4,3000,3000,864,99,43200,4,slogo14300501.png,魔法防御
20102,1000,10,5,3000,3000,1080,99,54000,4,slogo14300501.png,魔法防御
20102,1000,10,6,3000,3000,1404,99,70200,5,slogo14400501.png,魔法防御
20102,1000,10,7,3000,3000,1728,99,86400,5,slogo14400501.png,魔法防御
20102,1000,10,8,3000,3000,2052,99,102600,5,slogo14400501.png,魔法防御
20102,1000,10,9,3000,3000,2376,99,118800,5,slogo14400501.png,魔法防御
20102,1000,10,10,3000,3000,2700,99,135000,5,slogo14400501.png,魔法防御
20102,1000,29,1,10000,10000,216,99,21600,4,slogo14400601.png,神术攻击
20102,1000,29,2,5000,5000,432,99,43200,4,slogo14400601.png,神术攻击
20102,1000,29,3,3000,3000,648,99,64800,4,slogo14400601.png,神术攻击
20102,1000,29,4,3000,3000,864,99,86400,4,slogo14400601.png,神术攻击
20102,1000,29,5,3000,3000,1080,99,108000,4,slogo14400601.png,神术攻击
20102,1000,29,6,3000,3000,1404,99,140400,5,slogo14400601.png,神术攻击
20102,1000,29,7,3000,3000,1728,99,172800,5,slogo14400601.png,神术攻击
20102,1000,29,8,3000,3000,2052,99,205200,5,slogo14400601.png,神术攻击
20102,1000,29,9,3000,3000,2376,99,237600,5,slogo14400601.png,神术攻击
20102,1000,29,10,3000,3000,2700,99,270000,5,slogo14400601.png,神术攻击
20102,1000,30,1,10000,10000,216,99,21600,4,slogo14400701.png,神术防御
20102,1000,30,2,5000,5000,432,99,43200,4,slogo14400701.png,神术防御
20102,1000,30,3,3000,3000,648,99,64800,4,slogo14400701.png,神术防御
20102,1000,30,4,3000,3000,864,99,86400,4,slogo14400701.png,神术防御
20102,1000,30,5,3000,3000,1080,99,108000,4,slogo14400701.png,神术防御
20102,1000,30,6,3000,3000,1404,99,140400,5,slogo14400701.png,神术防御
20102,1000,30,7,3000,3000,1728,99,172800,5,slogo14400701.png,神术防御
20102,1000,30,8,3000,3000,2052,99,205200,5,slogo14400701.png,神术防御
20102,1000,30,9,3000,3000,2376,99,237600,5,slogo14400701.png,神术防御
20102,1000,30,10,3000,3000,2700,99,270000,5,slogo14400701.png,神术防御
20103,1000,6,1,10000,10000,2160,99,21600,4,slogo14300101.png,生命总量
20103,1000,6,2,5000,5000,4320,99,43200,4,slogo14300101.png,生命总量
20103,1000,6,3,3000,3000,6480,99,64800,4,slogo14300101.png,生命总量
20103,1000,6,4,3000,3000,8640,99,86400,4,slogo14300101.png,生命总量
20103,1000,6,5,3000,3000,10800,99,108000,4,slogo14300101.png,生命总量
20103,1000,6,6,3000,3000,14040,99,140400,5,slogo14400101.png,生命总量
20103,1000,6,7,3000,3000,17280,99,172800,5,slogo14400101.png,生命总量
20103,1000,6,8,3000,3000,20520,99,205200,5,slogo14400101.png,生命总量
20103,1000,6,9,3000,3000,23760,99,237600,5,slogo14400101.png,生命总量
20103,1000,6,10,3000,3000,27000,99,270000,5,slogo14400101.png,生命总量
20103,1000,7,1,10000,10000,216,99,21600,4,slogo14300201.png,物理攻击
20103,1000,7,2,5000,5000,432,99,43200,4,slogo14300201.png,物理攻击
20103,1000,7,3,3000,3000,648,99,64800,4,slogo14300201.png,物理攻击
20103,1000,7,4,3000,3000,864,99,86400,4,slogo14300201.png,物理攻击
20103,1000,7,5,3000,3000,1080,99,108000,4,slogo14300201.png,物理攻击
20103,1000,7,6,3000,3000,1404,99,140400,5,slogo14400201.png,物理攻击
20103,1000,7,7,3000,3000,1728,99,172800,5,slogo14400201.png,物理攻击
20103,1000,7,8,3000,3000,2052,99,205200,5,slogo14400201.png,物理攻击
20103,1000,7,9,3000,3000,2376,99,237600,5,slogo14400201.png,物理攻击
20103,1000,7,10,3000,3000,2700,99,270000,5,slogo14400201.png,物理攻击
20103,1000,8,1,10000,10000,108,99,10800,4,slogo14300301.png,物理防御
20103,1000,8,2,5000,5000,216,99,21600,4,slogo14300301.png,物理防御
20103,1000,8,3,3000,3000,324,99,32400,4,slogo14300301.png,物理防御
20103,1000,8,4,3000,3000,432,99,43200,4,slogo14300301.png,物理防御
20103,1000,8,5,3000,3000,540,99,54000,4,slogo14300301.png,物理防御
20103,1000,8,6,3000,3000,702,99,70200,5,slogo14400301.png,物理防御
20103,1000,8,7,3000,3000,864,99,86400,5,slogo14400301.png,物理防御
20103,1000,8,8,3000,3000,1026,99,102600,5,slogo14400301.png,物理防御
20103,1000,8,9,3000,3000,1188,99,118800,5,slogo14400301.png,物理防御
20103,1000,8,10,3000,3000,1350,99,135000,5,slogo14400301.png,物理防御
20103,1000,9,1,10000,10000,432,99,21600,4,slogo14300401.png,魔法攻击
20103,1000,9,2,5000,5000,864,99,43200,4,slogo14300401.png,魔法攻击
20103,1000,9,3,3000,3000,1296,99,64800,4,slogo14300401.png,魔法攻击
20103,1000,9,4,3000,3000,1728,99,86400,4,slogo14300401.png,魔法攻击
20103,1000,9,5,3000,3000,2160,99,108000,4,slogo14300401.png,魔法攻击
20103,1000,9,6,3000,3000,2808,99,140400,5,slogo14400401.png,魔法攻击
20103,1000,9,7,3000,3000,3456,99,172800,5,slogo14400401.png,魔法攻击
20103,1000,9,8,3000,3000,4104,99,205200,5,slogo14400401.png,魔法攻击
20103,1000,9,9,3000,3000,4752,99,237600,5,slogo14400401.png,魔法攻击
20103,1000,9,10,3000,3000,5400,99,270000,5,slogo14400401.png,魔法攻击
20103,1000,10,1,10000,10000,216,99,10800,4,slogo14300501.png,魔法防御
20103,1000,10,2,5000,5000,432,99,21600,4,slogo14300501.png,魔法防御
20103,1000,10,3,3000,3000,648,99,32400,4,slogo14300501.png,魔法防御
20103,1000,10,4,3000,3000,864,99,43200,4,slogo14300501.png,魔法防御
20103,1000,10,5,3000,3000,1080,99,54000,4,slogo14300501.png,魔法防御
20103,1000,10,6,3000,3000,1404,99,70200,5,slogo14400501.png,魔法防御
20103,1000,10,7,3000,3000,1728,99,86400,5,slogo14400501.png,魔法防御
20103,1000,10,8,3000,3000,2052,99,102600,5,slogo14400501.png,魔法防御
20103,1000,10,9,3000,3000,2376,99,118800,5,slogo14400501.png,魔法防御
20103,1000,10,10,3000,3000,2700,99,135000,5,slogo14400501.png,魔法防御
20103,1000,29,1,10000,10000,216,99,21600,4,slogo14400601.png,神术攻击
20103,1000,29,2,5000,5000,432,99,43200,4,slogo14400601.png,神术攻击
20103,1000,29,3,3000,3000,648,99,64800,4,slogo14400601.png,神术攻击
20103,1000,29,4,3000,3000,864,99,86400,4,slogo14400601.png,神术攻击
20103,1000,29,5,3000,3000,1080,99,108000,4,slogo14400601.png,神术攻击
20103,1000,29,6,3000,3000,1404,99,140400,5,slogo14400601.png,神术攻击
20103,1000,29,7,3000,3000,1728,99,172800,5,slogo14400601.png,神术攻击
20103,1000,29,8,3000,3000,2052,99,205200,5,slogo14400601.png,神术攻击
20103,1000,29,9,3000,3000,2376,99,237600,5,slogo14400601.png,神术攻击
20103,1000,29,10,3000,3000,2700,99,270000,5,slogo14400601.png,神术攻击
20103,1000,30,1,10000,10000,216,99,21600,4,slogo14400701.png,神术防御
20103,1000,30,2,5000,5000,432,99,43200,4,slogo14400701.png,神术防御
20103,1000,30,3,3000,3000,648,99,64800,4,slogo14400701.png,神术防御
20103,1000,30,4,3000,3000,864,99,86400,4,slogo14400701.png,神术防御
20103,1000,30,5,3000,3000,1080,99,108000,4,slogo14400701.png,神术防御
20103,1000,30,6,3000,3000,1404,99,140400,5,slogo14400701.png,神术防御
20103,1000,30,7,3000,3000,1728,99,172800,5,slogo14400701.png,神术防御
20103,1000,30,8,3000,3000,2052,99,205200,5,slogo14400701.png,神术防御
20103,1000,30,9,3000,3000,2376,99,237600,5,slogo14400701.png,神术防御
20103,1000,30,10,3000,3000,2700,99,270000,5,slogo14400701.png,神术防御
30101,1000,6,1,10000,10000,2160,99,21600,4,slogo14300101.png,生命总量
30101,1000,6,2,5000,5000,4320,99,43200,4,slogo14300101.png,生命总量
30101,1000,6,3,3000,3000,6480,99,64800,4,slogo14300101.png,生命总量
30101,1000,6,4,3000,3000,8640,99,86400,4,slogo14300101.png,生命总量
30101,1000,6,5,3000,3000,10800,99,108000,4,slogo14300101.png,生命总量
30101,1000,6,6,3000,3000,14040,99,140400,5,slogo14400101.png,生命总量
30101,1000,6,7,3000,3000,17280,99,172800,5,slogo14400101.png,生命总量
30101,1000,6,8,3000,3000,20520,99,205200,5,slogo14400101.png,生命总量
30101,1000,6,9,3000,3000,23760,99,237600,5,slogo14400101.png,生命总量
30101,1000,6,10,3000,3000,27000,99,270000,5,slogo14400101.png,生命总量
30101,1000,6,11,3000,3000,32400,99,324000,6,slogo14500101.png,生命总量
30101,1000,6,12,3000,3000,37800,99,378000,6,slogo14500101.png,生命总量
30101,1000,6,13,3000,3000,43200,99,432000,6,slogo14500101.png,生命总量
30101,1000,6,14,3000,3000,48600,99,486000,6,slogo14500101.png,生命总量
30101,1000,6,15,3000,3000,54000,99,540000,6,slogo14500101.png,生命总量
30101,1000,7,1,10000,10000,216,99,21600,4,slogo14300201.png,物理攻击
30101,1000,7,2,5000,5000,432,99,43200,4,slogo14300201.png,物理攻击
30101,1000,7,3,3000,3000,648,99,64800,4,slogo14300201.png,物理攻击
30101,1000,7,4,3000,3000,864,99,86400,4,slogo14300201.png,物理攻击
30101,1000,7,5,3000,3000,1080,99,108000,4,slogo14300201.png,物理攻击
30101,1000,7,6,3000,3000,1404,99,140400,5,slogo14400201.png,物理攻击
30101,1000,7,7,3000,3000,1728,99,172800,5,slogo14400201.png,物理攻击
30101,1000,7,8,3000,3000,2052,99,205200,5,slogo14400201.png,物理攻击
30101,1000,7,9,3000,3000,2376,99,237600,5,slogo14400201.png,物理攻击
30101,1000,7,10,3000,3000,2700,99,270000,5,slogo14400201.png,物理攻击
30101,1000,7,11,3000,3000,3240,99,324000,6,slogo14500201.png,物理攻击
30101,1000,7,12,3000,3000,3780,99,378000,6,slogo14500201.png,物理攻击
30101,1000,7,13,3000,3000,4320,99,432000,6,slogo14500201.png,物理攻击
30101,1000,7,14,3000,3000,4860,99,486000,6,slogo14500201.png,物理攻击
30101,1000,7,15,3000,3000,5400,99,540000,6,slogo14500201.png,物理攻击
30101,1000,8,1,10000,10000,108,99,10800,4,slogo14300301.png,物理防御
30101,1000,8,2,5000,5000,216,99,21600,4,slogo14300301.png,物理防御
30101,1000,8,3,3000,3000,324,99,32400,4,slogo14300301.png,物理防御
30101,1000,8,4,3000,3000,432,99,43200,4,slogo14300301.png,物理防御
30101,1000,8,5,3000,3000,540,99,54000,4,slogo14300301.png,物理防御
30101,1000,8,6,3000,3000,702,99,70200,5,slogo14400301.png,物理防御
30101,1000,8,7,3000,3000,864,99,86400,5,slogo14400301.png,物理防御
30101,1000,8,8,3000,3000,1026,99,102600,5,slogo14400301.png,物理防御
30101,1000,8,9,3000,3000,1188,99,118800,5,slogo14400301.png,物理防御
30101,1000,8,10,3000,3000,1350,99,135000,5,slogo14400301.png,物理防御
30101,1000,8,11,3000,3000,1620,99,162000,6,slogo14500301.png,物理防御
30101,1000,8,12,3000,3000,1890,99,189000,6,slogo14500301.png,物理防御
30101,1000,8,13,3000,3000,2160,99,216000,6,slogo14500301.png,物理防御
30101,1000,8,14,3000,3000,2430,99,243000,6,slogo14500301.png,物理防御
30101,1000,8,15,3000,3000,2700,99,270000,6,slogo14500301.png,物理防御
30101,1000,9,1,10000,10000,432,99,21600,4,slogo14300401.png,魔法攻击
30101,1000,9,2,5000,5000,864,99,43200,4,slogo14300401.png,魔法攻击
30101,1000,9,3,3000,3000,1296,99,64800,4,slogo14300401.png,魔法攻击
30101,1000,9,4,3000,3000,1728,99,86400,4,slogo14300401.png,魔法攻击
30101,1000,9,5,3000,3000,2160,99,108000,4,slogo14300401.png,魔法攻击
30101,1000,9,6,3000,3000,2808,99,140400,5,slogo14400401.png,魔法攻击
30101,1000,9,7,3000,3000,3456,99,172800,5,slogo14400401.png,魔法攻击
30101,1000,9,8,3000,3000,4104,99,205200,5,slogo14400401.png,魔法攻击
30101,1000,9,9,3000,3000,4752,99,237600,5,slogo14400401.png,魔法攻击
30101,1000,9,10,3000,3000,5400,99,270000,5,slogo14400401.png,魔法攻击
30101,1000,9,11,3000,3000,6480,99,324000,6,slogo14500401.png,魔法攻击
30101,1000,9,12,3000,3000,7560,99,378000,6,slogo14500401.png,魔法攻击
30101,1000,9,13,3000,3000,8640,99,432000,6,slogo14500401.png,魔法攻击
