id,worldlv,npclv,ragerate,cablerange,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10,base_type11,base_value11
81,81,90,3000,1000,1,26999,2,2699,3,539,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1786500
82,82,91,3000,1000,1,27359,2,2735,3,547,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1810700
83,83,92,3000,1000,1,27719,2,2771,3,554,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1834400
84,84,93,3000,1000,1,28079,2,2807,3,561,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1858200
85,85,94,3000,1000,1,28439,2,2843,3,568,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1881900
86,86,95,3000,1000,1,28799,2,2879,3,575,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1905700
87,87,96,3000,1000,1,29159,2,2915,3,583,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1929900
88,88,97,3000,1000,1,29519,2,2951,3,590,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1953600
89,89,98,3000,1000,1,29879,2,2987,3,597,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1977300
90,90,99,3000,1000,1,30239,2,3023,3,604,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,2001100
91,91,100,3000,1000,1,30599,2,3059,3,611,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,2024800
92,92,101,3000,1000,1,35099,2,3509,3,701,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,2322700
93,93,102,3000,1000,1,35609,2,3560,3,712,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,2356900
94,94,103,3000,1000,1,36119,2,3611,3,722,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,2390500
95,95,104,3000,1000,1,36629,2,3662,3,732,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,2424200
96,96,105,3000,1000,1,37139,2,3713,3,742,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,2457900
97,97,106,3000,1000,1,37649,2,3764,3,752,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,2491500
98,98,107,3000,1000,1,38159,2,3815,3,763,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,2525700
99,99,108,3000,1000,1,38669,2,3866,3,773,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,2559300
100,100,109,3000,1000,1,39179,2,3917,3,783,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,2593000
101,101,110,3000,1000,1,39689,2,3968,3,793,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,2626700
102,102,111,3000,1000,1,40199,2,4019,3,803,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,2660300
103,103,112,3000,1000,1,40709,2,4070,3,814,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,2694500
104,104,113,3000,1000,1,41219,2,4121,3,824,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,2728100
105,105,114,3000,1000,1,41729,2,4172,3,834,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,2761800
106,106,115,3000,1000,1,42239,2,4223,3,844,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,2795500
107,107,116,3000,1000,1,42749,2,4274,3,854,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,2829200
108,108,117,3000,1000,1,43259,2,4325,3,865,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,2863300
109,109,118,3000,1000,1,43769,2,4376,3,875,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,2897000
110,110,119,3000,1000,1,44279,2,4427,3,885,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,2930600
111,111,120,3000,1000,1,44789,2,4478,3,895,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,2964300
112,112,121,3000,1000,1,51089,2,5108,3,1021,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,3381400
113,113,122,3000,1000,1,51839,2,5183,3,1036,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,3431000
114,114,123,3000,1000,1,52589,2,5258,3,1051,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,3480700
115,115,124,3000,1000,1,53339,2,5333,3,1066,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,3530300
116,116,125,3000,1000,1,54089,2,5408,3,1081,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,3580000
117,117,126,3000,1000,1,54839,2,5483,3,1096,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,3629600
118,118,127,3000,1000,1,55589,2,5558,3,1111,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,3679300
119,119,128,3000,1000,1,56339,2,5633,3,1126,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,3728900
120,120,129,3000,1000,1,57089,2,5708,3,1141,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,3778600
121,121,130,3000,1000,1,57839,2,5783,3,1156,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,3828200
122,122,131,3000,1000,1,58589,2,5858,3,1171,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,3877900
123,123,132,3000,1000,1,59339,2,5933,3,1186,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,3927500
124,124,133,3000,1000,1,60089,2,6008,3,1201,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,3977200
125,125,134,3000,1000,1,60839,2,6083,3,1216,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,4026800
126,126,135,3000,1000,1,61589,2,6158,3,1231,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,4076500
127,127,136,3000,1000,1,62339,2,6233,3,1246,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,4126100
128,128,137,3000,1000,1,63089,2,6308,3,1261,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,4175800
129,129,138,3000,1000,1,63839,2,6383,3,1276,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,4225400
130,130,139,3000,1000,1,64589,2,6458,3,1291,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,4275100
131,131,140,3000,1000,1,65339,2,6533,3,1306,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,4324700
132,132,141,3000,1000,1,74039,2,7403,3,1480,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,4900600
133,133,142,3000,1000,1,75089,2,7508,3,1501,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,4970200
134,134,143,3000,1000,1,76139,2,7613,3,1522,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,5039700
135,135,144,3000,1000,1,77189,2,7718,3,1543,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,5109200
136,136,145,3000,1000,1,78239,2,7823,3,1564,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,5178700
137,137,146,3000,1000,1,79289,2,7928,3,1585,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,5248200
138,138,147,3000,1000,1,80339,2,8033,3,1606,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,5317700
139,139,148,3000,1000,1,81389,2,8138,3,1627,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,5387200
140,140,149,3000,1000,1,82439,2,8243,3,1648,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,5456700
141,141,150,3000,1000,1,83490,2,8348,3,1669,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,5526300
142,142,151,3000,1000,1,84540,2,8454,3,1690,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,5596100
143,143,152,3000,1000,1,85590,2,8559,3,1711,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,5665600
144,144,153,3000,1000,1,86640,2,8664,3,1732,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,5735200
145,145,154,3000,1000,1,87690,2,8769,3,1753,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,5804700
146,146,155,3000,1000,1,88740,2,8874,3,1774,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,5874200
147,147,156,3000,1000,1,89790,2,8979,3,1795,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,5943700
148,148,157,3000,1000,1,90840,2,9084,3,1816,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,6013200
149,149,158,3000,1000,1,91890,2,9189,3,1837,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,6082700
150,150,159,3000,1000,1,92940,2,9294,3,1858,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,6152200
151,151,160,3000,1000,1,93990,2,9399,3,1879,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,6221700
152,152,161,3000,1000,1,105690,2,10569,3,2113,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,6996300
153,153,162,3000,1000,1,107340,2,10734,3,2146,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,7105500
154,154,163,3000,1000,1,108990,2,10899,3,2179,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,7214700
155,155,164,3000,1000,1,110640,2,11064,3,2212,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,7324000
156,156,165,3000,1000,1,112290,2,11229,3,2245,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,7433200
157,157,166,3000,1000,1,113940,2,11394,3,2278,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,7542400
158,158,167,3000,1000,1,115590,2,11559,3,2311,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,7651600
159,159,168,3000,1000,1,117240,2,11724,3,2344,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,7760900
160,160,169,3000,1000,1,118890,2,11889,3,2377,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,7870100
161,161,170,3000,1000,1,120540,2,12054,3,2410,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,7979300
162,162,171,3000,1000,1,122190,2,12219,3,2443,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,8088600
163,163,172,3000,1000,1,123840,2,12384,3,2476,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,8197800
164,164,173,3000,1000,1,125490,2,12549,3,2509,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,8307000
165,165,174,3000,1000,1,127140,2,12714,3,2542,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,8416300
166,166,175,3000,1000,1,128790,2,12879,3,2575,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,8525500
167,167,176,3000,1000,1,130440,2,13044,3,2608,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,8634700
168,168,177,3000,1000,1,132090,2,13209,3,2641,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,8743900
169,169,178,3000,1000,1,133740,2,13374,3,2674,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,8853200
170,170,179,3000,1000,1,135390,2,13539,3,2707,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,8962400
171,171,180,3000,1000,1,137040,2,13704,3,2740,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,9071600
172,172,181,3000,1000,1,152340,2,15234,3,3046,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,10084500
173,173,182,3000,1000,1,154290,2,15429,3,3085,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,10213600
174,174,183,3000,1000,1,156240,2,15624,3,3124,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,10342700
175,175,184,3000,1000,1,158190,2,15819,3,3163,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,10471800
176,176,185,3000,1000,1,160140,2,16014,3,3202,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,10600900
177,177,186,3000,1000,1,162090,2,16209,3,3241,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,10729900
178,178,187,3000,1000,1,164040,2,16404,3,3280,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,10859000
179,179,188,3000,1000,1,165990,2,16599,3,3319,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,10988100
180,180,189,3000,1000,1,167940,2,16794,3,3358,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,11117200
181,181,190,3000,1000,1,169890,2,16989,3,3397,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,11246300
182,182,191,3000,1000,1,171840,2,17184,3,3436,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,11375400
183,183,192,3000,1000,1,173790,2,17379,3,3475,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,11504500
184,184,193,3000,1000,1,175740,2,17574,3,3514,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,11633600
185,185,194,3000,1000,1,177690,2,17769,3,3553,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,11762700
186,186,195,3000,1000,1,179640,2,17964,3,3592,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,11891800
187,187,196,3000,1000,1,181590,2,18159,3,3631,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,12020800
188,188,197,3000,1000,1,183540,2,18354,3,3670,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,12149900
189,189,198,3000,1000,1,185490,2,18549,3,3709,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,12279000
190,190,199,3000,1000,1,187440,2,18744,3,3748,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,12408100
191,191,200,3000,1000,1,189390,2,18939,3,3787,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,12537200
192,192,201,3000,1000,1,208590,2,20859,3,4171,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,13808200
193,193,202,3000,1000,1,210990,2,21099,3,4219,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,13967100
194,194,203,3000,1000,1,213390,2,21339,3,4267,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,14126000
195,195,204,3000,1000,1,215790,2,21579,3,4315,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,14284900
196,196,205,3000,1000,1,218190,2,21819,3,4363,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,14443800
197,197,206,3000,1000,1,220590,2,22059,3,4411,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,14602600
198,198,207,3000,1000,1,222990,2,22299,3,4459,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,14761500
199,199,208,3000,1000,1,225390,2,22539,3,4507,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,14920400
200,200,209,3000,1000,1,227790,2,22779,3,4555,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,15079300
201,201,210,3000,1000,1,230190,2,23019,3,4603,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,15238200
202,202,211,3000,1000,1,232590,2,23259,3,4651,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,15397000
203,203,212,3000,1000,1,234990,2,23499,3,4699,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,15555900
204,204,213,3000,1000,1,237390,2,23739,3,4747,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,15714800
205,205,214,3000,1000,1,239790,2,23979,3,4795,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,15873700
206,206,215,3000,1000,1,242190,2,24219,3,4843,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,16032600
207,207,216,3000,1000,1,244590,2,24459,3,4891,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,16191400
208,208,217,3000,1000,1,246990,2,24699,3,4939,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,16350300
209,209,218,3000,1000,1,249390,2,24939,3,4987,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,16509200
210,210,219,3000,1000,1,251790,2,25179,3,5035,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,16668100
211,211,220,3000,1000,1,254190,2,25419,3,5083,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,16827000
212,212,221,3000,1000,1,278190,2,27819,3,5563,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,18415800
213,213,222,3000,1000,1,281190,2,28119,3,5623,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,18614400
214,214,223,3000,1000,1,284190,2,28419,3,5683,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,18813000
215,215,224,3000,1000,1,287190,2,28719,3,5743,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,19011600
216,216,225,3000,1000,1,290190,2,29019,3,5803,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,19210200
217,217,226,3000,1000,1,293190,2,29319,3,5863,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,19408800
218,218,227,3000,1000,1,296190,2,29619,3,5923,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,19607400
219,219,228,3000,1000,1,299190,2,29919,3,5983,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,19806000
220,220,229,3000,1000,1,302190,2,30219,3,6043,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,20004600
221,221,230,3000,1000,1,305190,2,30519,3,6103,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,20203200
222,222,231,3000,1000,1,308190,2,30819,3,6163,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,20401800
223,223,232,3000,1000,1,311190,2,31119,3,6223,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,20600400
224,224,233,3000,1000,1,314190,2,31419,3,6283,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,20799000
