id,heroid,class_rank,skillhave1,skillhave2,skillhave3,skillhave4,skillhave5,skillhave6,type1,value1
91,2007,2,200700,200704,200701,200702,0,0,99,30000
92,2007,3,200700,200704,200701,200702,200703,0,99,40000
93,2008,0,200800,200804,0,0,0,0,99,10000
94,2008,1,200800,200804,200801,0,0,0,99,20000
95,2008,2,200800,200804,200801,200802,0,0,99,30000
96,2008,3,200800,200804,200801,200802,200803,0,99,40000
97,2009,0,200900,200904,0,0,0,0,99,10000
98,2009,1,200900,200904,200901,0,0,0,99,20000
99,2009,2,200900,200904,200901,200902,0,0,99,30000
100,2009,3,200900,200904,200901,200902,200903,0,99,40000
101,2010,0,201000,201004,0,0,0,0,99,10000
102,2010,1,201000,201004,201001,0,0,0,99,20000
103,2010,2,201000,201004,201001,201002,0,0,99,30000
104,2010,3,201000,201004,201001,201002,201003,0,99,40000
105,2011,0,201100,201104,0,0,0,0,99,10000
106,2011,1,201100,201104,201101,0,0,0,99,20000
107,2011,2,201100,201104,201101,201102,0,0,99,30000
108,2012,0,201200,201204,0,0,0,0,99,10000
109,2012,1,201200,201204,201201,0,0,0,99,20000
110,2012,2,201200,201204,201201,201202,0,0,99,30000
111,2013,0,201300,201304,0,0,0,0,99,10000
112,2013,1,201300,201304,201301,0,0,0,99,20000
113,2013,2,201300,201304,201301,201302,0,0,99,30000
114,2014,0,201400,201404,0,0,0,0,99,10000
115,2014,1,201400,201404,201401,0,0,0,99,20000
116,2015,0,201500,201504,0,0,0,0,99,10000
117,2015,1,201500,201504,201501,0,0,0,99,20000
118,3001,0,300100,300104,0,0,0,0,99,10000
119,3001,1,300100,300104,300101,0,0,0,99,20000
120,3001,2,300100,300104,300101,300102,0,0,99,30000
121,3001,3,300100,300104,300101,300102,300103,0,99,40000
122,3002,0,300200,300204,0,0,0,0,99,10000
123,3002,1,300200,300204,300201,0,0,0,99,20000
124,3002,2,300200,300204,300201,300202,0,0,99,30000
125,3002,3,300200,300204,300201,300202,300203,0,99,40000
126,3003,0,300300,300304,0,0,0,0,99,10000
127,3003,1,300300,300304,300301,0,0,0,99,20000
128,3003,2,300300,300304,300301,300302,0,0,99,30000
129,3003,3,300300,300304,300301,300302,300303,0,99,40000
130,3004,0,300400,300404,0,0,0,0,99,10000
131,3004,1,300400,300404,300401,0,0,0,99,20000
132,3004,2,300400,300404,300401,300402,0,0,99,30000
133,3004,3,300400,300404,300401,300402,300403,0,99,40000
134,3005,0,300500,300504,0,0,0,0,99,10000
135,3005,1,300500,300504,300501,0,0,0,99,20000
136,3005,2,300500,300504,300501,300502,0,0,99,30000
137,3005,3,300500,300504,300501,300502,300503,0,99,40000
138,3006,0,300600,300604,0,0,0,0,99,10000
139,3006,1,300600,300604,300601,0,0,0,99,20000
140,3006,2,300600,300604,300601,300602,0,0,99,30000
141,3006,3,300600,300604,300601,300602,300603,0,99,40000
142,3007,0,300700,300704,0,0,0,0,99,10000
143,3007,1,300700,300704,300701,0,0,0,99,20000
144,3007,2,300700,300704,300701,300702,0,0,99,30000
145,3007,3,300700,300704,300701,300702,300703,0,99,40000
146,3008,0,300800,300804,0,0,0,0,99,10000
147,3008,1,300800,300804,300801,0,0,0,99,20000
148,3008,2,300800,300804,300801,300802,0,0,99,30000
149,3008,3,300800,300804,300801,300802,300803,0,99,40000
150,3009,0,300900,300904,0,0,0,0,99,10000
151,3009,1,300900,300904,300901,0,0,0,99,20000
152,3009,2,300900,300904,300901,300902,0,0,99,30000
153,3009,3,300900,300904,300901,300902,300903,0,99,40000
154,3010,0,301000,301004,0,0,0,0,99,10000
155,3010,1,301000,301004,301001,0,0,0,99,20000
156,3010,2,301000,301004,301001,301002,0,0,99,30000
157,3011,0,301100,301104,0,0,0,0,99,10000
158,3011,1,301100,301104,301101,0,0,0,99,20000
159,3011,2,301100,301104,301101,301102,0,0,99,30000
160,3012,0,301200,301204,0,0,0,0,99,10000
161,3012,1,301200,301204,301201,0,0,0,99,20000
162,3012,2,301200,301204,301201,301202,0,0,99,30000
163,3013,0,301300,301304,0,0,0,0,99,10000
164,3013,1,301300,301304,301301,0,0,0,99,20000
165,3014,0,301400,301404,0,0,0,0,99,10000
166,3014,1,301400,301404,301401,0,0,0,99,20000
167,4001,0,400100,400104,0,0,0,0,99,10000
168,4001,1,400100,400104,400101,0,0,0,99,20000
169,4001,2,400100,400104,400101,400102,0,0,99,30000
170,4001,3,400100,400104,400101,400102,400103,0,99,40000
171,4002,0,400200,400204,0,0,0,0,99,10000
172,4002,1,400200,400204,400201,0,0,0,99,20000
173,4002,2,400200,400204,400201,400202,0,0,99,30000
174,4002,3,400200,400204,400201,400202,400203,0,99,40000
175,4003,0,400300,400304,0,0,0,0,99,10000
176,4003,1,400300,400304,400301,0,0,0,99,20000
177,4003,2,400300,400304,400301,400302,0,0,99,30000
178,4003,3,400300,400304,400301,400302,400303,0,99,40000
179,4004,0,400400,400404,0,0,0,0,99,10000
180,4004,1,400400,400404,400401,0,0,0,99,20000
181,4004,2,400400,400404,400401,400402,0,0,99,30000
182,4004,3,400400,400404,400401,400402,400403,0,99,40000
183,4005,0,400500,400504,0,0,0,0,99,10000
184,4005,1,400500,400504,400501,0,0,0,99,20000
185,4005,2,400500,400504,400501,400502,0,0,99,30000
186,4005,3,400500,400504,400501,400502,400503,0,99,40000
187,4006,0,400600,400604,0,0,0,0,99,10000
188,4006,1,400600,400604,400601,0,0,0,99,20000
189,4006,2,400600,400604,400601,400602,0,0,99,30000
190,4006,3,400600,400604,400601,400602,400603,0,99,40000
191,4007,0,400700,400704,0,0,0,0,99,10000
192,4007,1,400700,400704,400701,0,0,0,99,20000
193,4007,2,400700,400704,400701,400702,0,0,99,30000
194,4007,3,400700,400704,400701,400702,400703,0,99,40000
195,4008,0,400800,400804,0,0,0,0,99,10000
196,4008,1,400800,400804,400801,0,0,0,99,20000
197,4008,2,400800,400804,400801,400802,0,0,99,30000
198,4008,3,400800,400804,400801,400802,400803,0,99,40000
199,4009,0,400900,400904,0,0,0,0,99,10000
200,4009,1,400900,400904,400901,0,0,0,99,20000
201,4009,2,400900,400904,400901,400902,0,0,99,30000
202,4009,3,400900,400904,400901,400902,400903,0,99,40000
203,4010,0,401000,401004,0,0,0,0,99,10000
204,4010,1,401000,401004,401001,0,0,0,99,20000
205,4010,2,401000,401004,401001,401002,0,0,99,30000
206,4011,0,401100,401104,0,0,0,0,99,10000
207,4011,1,401100,401104,401101,0,0,0,99,20000
208,4011,2,401100,401104,401101,401102,0,0,99,30000
209,4012,0,401200,401204,0,0,0,0,99,10000
210,4012,1,401200,401204,401201,0,0,0,99,20000
211,4012,2,401200,401204,401201,401202,0,0,99,30000
212,4013,0,401300,401304,0,0,0,0,99,10000
213,4013,1,401300,401304,401301,0,0,0,99,20000
214,4014,0,401400,401404,0,0,0,0,99,10000
215,4014,1,401400,401404,401401,0,0,0,99,20000
216,5001,0,500100,500104,0,0,0,0,99,10000
217,5001,1,500100,500104,500101,0,0,0,99,20000
218,5001,2,500100,500104,500101,500102,0,0,99,30000
219,5001,3,500100,500104,500101,500102,500103,0,99,40000
220,5002,0,500200,500204,0,0,0,0,99,10000
221,5002,1,500200,500204,500201,0,0,0,99,20000
222,5002,2,500200,500204,500201,500202,0,0,99,30000
223,5002,3,500200,500204,500201,500202,500203,0,99,40000
224,5003,0,500300,500304,0,0,0,0,99,10000
225,5003,1,500300,500304,500301,0,0,0,99,20000
226,5003,2,500300,500304,500301,500302,0,0,99,30000
227,5003,3,500300,500304,500301,500302,500303,0,99,40000
228,5004,0,500400,500404,0,0,0,0,99,10000
229,5004,1,500400,500404,500401,0,0,0,99,20000
230,5004,2,500400,500404,500401,500402,0,0,99,30000
231,5004,3,500400,500404,500401,500402,500403,0,99,40000
232,5005,0,500500,500504,0,0,0,0,99,10000
233,5005,1,500500,500504,500501,0,0,0,99,20000
234,5005,2,500500,500504,500501,500502,0,0,99,30000
235,5005,3,500500,500504,500501,500502,500503,0,99,40000
236,5006,0,500600,500604,0,0,0,0,99,10000
237,5006,1,500600,500604,500601,0,0,0,99,20000
238,5006,2,500600,500604,500601,500602,0,0,99,30000
239,5006,3,500600,500604,500601,500602,500603,0,99,40000
240,5007,0,500700,500704,0,0,0,0,99,10000
241,5007,1,500700,500704,500701,0,0,0,99,20000
242,5007,2,500700,500704,500701,500702,0,0,99,30000
243,5007,3,500700,500704,500701,500702,500703,0,99,40000
244,5008,0,500800,500804,0,0,0,0,99,10000
245,5008,1,500800,500804,500801,0,0,0,99,20000
246,5008,2,500800,500804,500801,500802,0,0,99,30000
247,5008,3,500800,500804,500801,500802,500803,0,99,40000
248,6001,0,600100,600104,0,0,0,0,99,10000
249,6001,1,600100,600104,600101,0,0,0,99,20000
250,6001,2,600100,600104,600101,600102,0,0,99,30000
251,6001,3,600100,600104,600101,600102,600103,0,99,40000
252,6002,0,600200,600204,0,0,0,0,99,10000
253,6002,1,600200,600204,600201,0,0,0,99,20000
254,6002,2,600200,600204,600201,600202,0,0,99,30000
255,6002,3,600200,600204,600201,600202,600203,0,99,40000
256,6003,0,600300,600304,0,0,0,0,99,10000
257,6003,1,600300,600304,600301,0,0,0,99,20000
258,6003,2,600300,600304,600301,600302,0,0,99,30000
259,6003,3,600300,600304,600301,600302,600303,0,99,40000
260,6004,0,600400,600404,0,0,0,0,99,10000
261,6004,1,600400,600404,600401,0,0,0,99,20000
262,6004,2,600400,600404,600401,600402,0,0,99,30000
263,6004,3,600400,600404,600401,600402,600403,0,99,40000
264,6005,0,600500,600504,0,0,0,0,99,10000
265,6005,1,600500,600504,600501,0,0,0,99,20000
266,6005,2,600500,600504,600501,600502,0,0,99,30000
267,6005,3,600500,600504,600501,600502,600503,0,99,40000
268,6006,0,600600,600604,0,0,0,0,99,10000
269,6006,1,600600,600604,600601,0,0,0,99,20000
270,6006,2,600600,600604,600601,600602,0,0,99,30000
271,6006,3,600600,600604,600601,600602,600603,0,99,40000
272,6007,0,600700,600704,0,0,0,0,99,10000
273,6007,1,600700,600704,600701,0,0,0,99,20000
274,6007,2,600700,600704,600701,600702,0,0,99,30000
275,6007,3,600700,600704,600701,600702,600703,0,99,40000
276,6008,0,600800,600804,0,0,0,0,99,10000
277,6008,1,600800,600804,600801,0,0,0,99,20000
278,6008,2,600800,600804,600801,600802,0,0,99,30000
279,6008,3,600800,600804,600801,600802,600803,0,99,40000
280,8001,0,800100,800104,800109,0,0,0,99,10000
281,8002,0,800200,800201,800204,800209,0,0,99,10000
282,8003,0,800300,800301,800302,800304,800309,0,99,10000
283,8004,0,800400,800401,800402,800404,800409,0,99,10000
284,8005,0,800500,800501,800502,800504,800509,0,99,10000
285,8006,0,800600,800601,800602,800604,800609,0,99,10000
286,8007,0,800700,800701,800702,800703,800704,800709,99,10000
287,1101,0,110100,0,0,0,0,0,99,10000
288,2102,0,110200,0,0,0,0,0,99,10000
289,1103,0,110400,0,0,0,0,0,99,10000
290,2103,0,110100,0,0,0,0,0,99,10000
