equip_id,name,name1,fuzhi,type,equip_position,quality,equip_attacktype,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,camp_addition,camp,icon,intr,shopclass,shopweight,price1,price2,price3,advanceid,t_sign
60110052,迅风长剑,轻武器6火,115,1,1,5,2,2,310,19,800,20,250,0,0,0,0,0,0,99,154600,3000,2,elogo60110050.png,剑身轻盈，划过空气，声音如同风啸。,6,1,3405000,81720,6810,0,0
60110053,迅风长剑,轻武器6雷,115,1,1,5,2,2,310,19,800,20,250,0,0,0,0,0,0,99,154600,3000,3,elogo60110050.png,剑身轻盈，划过空气，声音如同风啸。,6,1,3405000,81720,6810,0,0
60110054,迅风长剑,轻武器6土,115,1,1,5,2,2,310,19,800,20,250,0,0,0,0,0,0,99,154600,3000,4,elogo60110050.png,剑身轻盈，划过空气，声音如同风啸。,6,1,3405000,81720,6810,0,0
60110055,迅风长剑,轻武器6光,115,1,1,5,2,2,310,19,800,20,250,0,0,0,0,0,0,99,154600,3000,5,elogo60110050.png,剑身轻盈，划过空气，声音如同风啸。,6,1,3405000,81720,6810,0,0
60110056,迅风长剑,轻武器6暗,115,1,1,5,2,2,310,19,800,20,250,0,0,0,0,0,0,99,154600,3000,6,elogo60110050.png,剑身轻盈，划过空气，声音如同风啸。,6,1,3405000,81720,6810,0,0
60110060,破空黑剑,轻武器7空,116,1,1,6,2,2,560,19,1200,20,500,0,0,0,0,0,0,99,271800,0,0,elogo60110060.png,由玄铁打造的利剑，重量较轻却斩铁如泥。,7,6,5875000,141000,11750,0,0
60110061,破空黑剑,轻武器7水,116,1,1,6,2,2,560,19,1200,20,500,0,0,0,0,0,0,99,271800,3000,1,elogo60110060.png,由玄铁打造的利剑，重量较轻却斩铁如泥。,7,1,5875000,141000,11750,0,0
60110062,破空黑剑,轻武器7火,116,1,1,6,2,2,560,19,1200,20,500,0,0,0,0,0,0,99,271800,3000,2,elogo60110060.png,由玄铁打造的利剑，重量较轻却斩铁如泥。,7,1,5875000,141000,11750,0,0
60110063,破空黑剑,轻武器7雷,116,1,1,6,2,2,560,19,1200,20,500,0,0,0,0,0,0,99,271800,3000,3,elogo60110060.png,由玄铁打造的利剑，重量较轻却斩铁如泥。,7,1,5875000,141000,11750,0,0
60110064,破空黑剑,轻武器7土,116,1,1,6,2,2,560,19,1200,20,500,0,0,0,0,0,0,99,271800,3000,4,elogo60110060.png,由玄铁打造的利剑，重量较轻却斩铁如泥。,7,1,5875000,141000,11750,0,0
60110065,破空黑剑,轻武器7光,116,1,1,6,2,2,560,19,1200,20,500,0,0,0,0,0,0,99,271800,3000,5,elogo60110060.png,由玄铁打造的利剑，重量较轻却斩铁如泥。,7,1,5875000,141000,11750,0,0
60110066,破空黑剑,轻武器7暗,116,1,1,6,2,2,560,19,1200,20,500,0,0,0,0,0,0,99,271800,3000,6,elogo60110060.png,由玄铁打造的利剑，重量较轻却斩铁如泥。,7,1,5875000,141000,11750,0,0
60110070,月影铸剑,轻武器8空,117,1,1,7,2,2,1050,19,1600,20,600,0,0,0,0,0,0,99,474000,0,0,elogo60110070.png,特殊的材料打造出的剑刃，挥舞起来如月之魅影。,8,6,9890000,237360,19780,0,0
60110071,月影铸剑,轻武器8水,117,1,1,7,2,2,1050,19,1600,20,600,0,0,0,0,0,0,99,474000,3000,1,elogo60110070.png,特殊的材料打造出的剑刃，挥舞起来如月之魅影。,8,1,9890000,237360,19780,0,0
60110072,月影铸剑,轻武器8火,117,1,1,7,2,2,1050,19,1600,20,600,0,0,0,0,0,0,99,474000,3000,2,elogo60110070.png,特殊的材料打造出的剑刃，挥舞起来如月之魅影。,8,1,9890000,237360,19780,0,0
60110073,月影铸剑,轻武器8雷,117,1,1,7,2,2,1050,19,1600,20,600,0,0,0,0,0,0,99,474000,3000,3,elogo60110070.png,特殊的材料打造出的剑刃，挥舞起来如月之魅影。,8,1,9890000,237360,19780,0,0
60110074,月影铸剑,轻武器8土,117,1,1,7,2,2,1050,19,1600,20,600,0,0,0,0,0,0,99,474000,3000,4,elogo60110070.png,特殊的材料打造出的剑刃，挥舞起来如月之魅影。,8,1,9890000,237360,19780,0,0
60110075,月影铸剑,轻武器8光,117,1,1,7,2,2,1050,19,1600,20,600,0,0,0,0,0,0,99,474000,3000,5,elogo60110070.png,特殊的材料打造出的剑刃，挥舞起来如月之魅影。,8,1,9890000,237360,19780,0,0
60110076,月影铸剑,轻武器8暗,117,1,1,7,2,2,1050,19,1600,20,600,0,0,0,0,0,0,99,474000,3000,6,elogo60110070.png,特殊的材料打造出的剑刃，挥舞起来如月之魅影。,8,1,9890000,237360,19780,0,0
60110080,禁忌之剑,轻武器9空,118,1,1,8,2,2,1800,19,2000,20,850,0,0,0,0,0,0,99,778860,0,0,elogo60110080.png,被视为禁忌的利剑，能够使用的人必定是英雄。,9,6,15720000,377280,31440,60110090,0
60110081,禁忌之剑,轻武器9水,118,1,1,8,2,2,1800,19,2000,20,850,0,0,0,0,0,0,99,778860,3000,1,elogo60110080.png,被视为禁忌的利剑，能够使用的人必定是英雄。,9,1,15720000,377280,31440,60110091,0
60110082,禁忌之剑,轻武器9火,118,1,1,8,2,2,1800,19,2000,20,850,0,0,0,0,0,0,99,778860,3000,2,elogo60110080.png,被视为禁忌的利剑，能够使用的人必定是英雄。,9,1,15720000,377280,31440,60110092,0
60110083,禁忌之剑,轻武器9雷,118,1,1,8,2,2,1800,19,2000,20,850,0,0,0,0,0,0,99,778860,3000,3,elogo60110080.png,被视为禁忌的利剑，能够使用的人必定是英雄。,9,1,15720000,377280,31440,60110093,0
60110084,禁忌之剑,轻武器9土,118,1,1,8,2,2,1800,19,2000,20,850,0,0,0,0,0,0,99,778860,3000,4,elogo60110080.png,被视为禁忌的利剑，能够使用的人必定是英雄。,9,1,15720000,377280,31440,60110094,0
60110085,禁忌之剑,轻武器9光,118,1,1,8,2,2,1800,19,2000,20,850,0,0,0,0,0,0,99,778860,3000,5,elogo60110080.png,被视为禁忌的利剑，能够使用的人必定是英雄。,9,1,15720000,377280,31440,60110095,0
60110086,禁忌之剑,轻武器9暗,118,1,1,8,2,2,1800,19,2000,20,850,0,0,0,0,0,0,99,778860,3000,6,elogo60110080.png,被视为禁忌的利剑，能够使用的人必定是英雄。,9,1,15720000,377280,31440,60110096,0
60110087,禁忌之剑,轻武器9星,118,1,1,8,2,2,1800,19,2000,20,850,0,0,0,0,0,0,99,778860,3000,7,elogo60110080.png,被视为禁忌的利剑，能够使用的人必定是英雄。,9,0,15720000,377280,31440,60110097,0
60110090,银鹰之刃,轻武器10空,119,1,1,9,2,2,2700,3,1000,19,2200,20,1000,0,0,0,0,99,1585000,0,0,elogo60110090.png,全身闪烁着银色寒芒，是世间珍稀的利刃。,10,6,20000000,480000,40000,60110100,T1
60110091,银鹰之刃,轻武器10水,119,1,1,9,2,2,2700,3,1000,19,2200,20,1000,0,0,0,0,99,1585000,3000,1,elogo60110090.png,全身闪烁着银色寒芒，是世间珍稀的利刃。,10,1,20000000,480000,40000,60110101,T1
60110092,银鹰之刃,轻武器10火,119,1,1,9,2,2,2700,3,1000,19,2200,20,1000,0,0,0,0,99,1585000,3000,2,elogo60110090.png,全身闪烁着银色寒芒，是世间珍稀的利刃。,10,1,20000000,480000,40000,60110102,T1
60110093,银鹰之刃,轻武器10雷,119,1,1,9,2,2,2700,3,1000,19,2200,20,1000,0,0,0,0,99,1585000,3000,3,elogo60110090.png,全身闪烁着银色寒芒，是世间珍稀的利刃。,10,1,20000000,480000,40000,60110103,T1
60110094,银鹰之刃,轻武器10土,119,1,1,9,2,2,2700,3,1000,19,2200,20,1000,0,0,0,0,99,1585000,3000,4,elogo60110090.png,全身闪烁着银色寒芒，是世间珍稀的利刃。,10,1,20000000,480000,40000,60110104,T1
60110095,银鹰之刃,轻武器10光,119,1,1,9,2,2,2700,3,1000,19,2200,20,1000,0,0,0,0,99,1585000,3000,5,elogo60110090.png,全身闪烁着银色寒芒，是世间珍稀的利刃。,10,1,20000000,480000,40000,60110105,T1
60110096,银鹰之刃,轻武器10暗,119,1,1,9,2,2,2700,3,1000,19,2200,20,1000,0,0,0,0,99,1585000,3000,6,elogo60110090.png,全身闪烁着银色寒芒，是世间珍稀的利刃。,10,1,20000000,480000,40000,60110106,T1
60110097,银鹰之刃,轻武器10星,119,1,1,9,2,2,2700,3,1000,19,2200,20,1000,0,0,0,0,99,1585000,3000,7,elogo60110090.png,全身闪烁着银色寒芒，是世间珍稀的利刃。,10,0,20000000,480000,40000,60110107,T1
60110100,莱尔之心,轻武器11空,1110,1,1,10,2,2,6000,3,1800,19,2700,20,1300,0,0,0,0,99,3204400,0,0,elogo60110100.png,代表着莱尔的意志，惩罚有罪之人。,11,6,30000000,720000,60000,0,T2
60110101,莱尔之心,轻武器11水,1110,1,1,10,2,2,6000,3,1800,19,2700,20,1300,0,0,0,0,99,3204400,3000,1,elogo60110100.png,代表着莱尔的意志，惩罚有罪之人。,11,1,30000000,720000,60000,0,T2
60110102,莱尔之心,轻武器11火,1110,1,1,10,2,2,6000,3,1800,19,2700,20,1300,0,0,0,0,99,3204400,3000,2,elogo60110100.png,代表着莱尔的意志，惩罚有罪之人。,11,1,30000000,720000,60000,0,T2
60110103,莱尔之心,轻武器11雷,1110,1,1,10,2,2,6000,3,1800,19,2700,20,1300,0,0,0,0,99,3204400,3000,3,elogo60110100.png,代表着莱尔的意志，惩罚有罪之人。,11,1,30000000,720000,60000,0,T2
60110104,莱尔之心,轻武器11土,1110,1,1,10,2,2,6000,3,1800,19,2700,20,1300,0,0,0,0,99,3204400,3000,4,elogo60110100.png,代表着莱尔的意志，惩罚有罪之人。,11,1,30000000,720000,60000,0,T2
60110105,莱尔之心,轻武器11光,1110,1,1,10,2,2,6000,3,1800,19,2700,20,1300,0,0,0,0,99,3204400,3000,5,elogo60110100.png,代表着莱尔的意志，惩罚有罪之人。,11,1,30000000,720000,60000,0,T2
60110106,莱尔之心,轻武器11暗,1110,1,1,10,2,2,6000,3,1800,19,2700,20,1300,0,0,0,0,99,3204400,3000,6,elogo60110100.png,代表着莱尔的意志，惩罚有罪之人。,11,1,30000000,720000,60000,0,T2
60110107,莱尔之心,轻武器11星,1110,1,1,10,2,2,6000,3,1800,19,2700,20,1300,0,0,0,0,99,3204400,3000,7,elogo60110100.png,代表着莱尔的意志，惩罚有罪之人。,11,0,30000000,720000,60000,0,T2
60210000,镔铁重杵,重武器1,210,2,1,0,1,2,12,0,0,0,0,0,0,0,0,0,0,99,4440,0,0,elogo60210000.png,镔铁打造的巨杵，重量惊人。,1,6,5000,120,10,0,0
60210010,碎石重斧,重武器2,211,2,1,1,1,2,27,19,50,0,0,0,0,0,0,0,0,99,11890,0,0,elogo60210010.png,一斧头下去，能把石头拍个粉碎。,2,6,235000,5640,470,0,0
60210020,开山重斧,重武器3空,212,2,1,2,1,2,40,3,6,19,80,0,0,0,0,0,0,99,20600,0,0,elogo60210020.png,厚而重，用于劈山碎石的大斧。,3,6,400000,9600,800,0,0
60210021,开山重斧,重武器3水,212,2,1,2,1,2,40,3,6,19,80,0,0,0,0,0,0,99,20600,3000,1,elogo60210020.png,厚而重，用于劈山碎石的大斧。,3,1,400000,9600,800,0,0
60210022,开山重斧,重武器3火,212,2,1,2,1,2,40,3,6,19,80,0,0,0,0,0,0,99,20600,3000,2,elogo60210020.png,厚而重，用于劈山碎石的大斧。,3,1,400000,9600,800,0,0
60210023,开山重斧,重武器3雷,212,2,1,2,1,2,40,3,6,19,80,0,0,0,0,0,0,99,20600,3000,3,elogo60210020.png,厚而重，用于劈山碎石的大斧。,3,1,400000,9600,800,0,0
60210024,开山重斧,重武器3土,212,2,1,2,1,2,40,3,6,19,80,0,0,0,0,0,0,99,20600,3000,4,elogo60210020.png,厚而重，用于劈山碎石的大斧。,3,1,400000,9600,800,0,0
60210025,开山重斧,重武器3光,212,2,1,2,1,2,40,3,6,19,80,0,0,0,0,0,0,99,20600,3000,5,elogo60210020.png,厚而重，用于劈山碎石的大斧。,3,1,400000,9600,800,0,0
60210026,开山重斧,重武器3暗,212,2,1,2,1,2,40,3,6,19,80,0,0,0,0,0,0,99,20600,3000,6,elogo60210020.png,厚而重，用于劈山碎石的大斧。,3,1,400000,9600,800,0,0
60210030,烈风大斧,重武器4空,213,2,1,3,1,2,100,3,18,19,140,0,0,0,0,0,0,99,50600,0,0,elogo60210030.png,经过火焰长久的锻造，坚韧无比。,4,6,1150000,27600,2300,0,0
60210031,烈风大斧,重武器4水,213,2,1,3,1,2,100,3,18,19,140,0,0,0,0,0,0,99,50600,3000,1,elogo60210030.png,经过火焰长久的锻造，坚韧无比。,4,1,1150000,27600,2300,0,0
60210032,烈风大斧,重武器4火,213,2,1,3,1,2,100,3,18,19,140,0,0,0,0,0,0,99,50600,3000,2,elogo60210030.png,经过火焰长久的锻造，坚韧无比。,4,1,1150000,27600,2300,0,0
60210033,烈风大斧,重武器4雷,213,2,1,3,1,2,100,3,18,19,140,0,0,0,0,0,0,99,50600,3000,3,elogo60210030.png,经过火焰长久的锻造，坚韧无比。,4,1,1150000,27600,2300,0,0
60210034,烈风大斧,重武器4土,213,2,1,3,1,2,100,3,18,19,140,0,0,0,0,0,0,99,50600,3000,4,elogo60210030.png,经过火焰长久的锻造，坚韧无比。,4,1,1150000,27600,2300,0,0
60210035,烈风大斧,重武器4光,213,2,1,3,1,2,100,3,18,19,140,0,0,0,0,0,0,99,50600,3000,5,elogo60210030.png,经过火焰长久的锻造，坚韧无比。,4,1,1150000,27600,2300,0,0
60210036,烈风大斧,重武器4暗,213,2,1,3,1,2,100,3,18,19,140,0,0,0,0,0,0,99,50600,3000,6,elogo60210030.png,经过火焰长久的锻造，坚韧无比。,4,1,1150000,27600,2300,0,0
60210040,圣焰战刃,重武器5空,214,2,1,4,1,2,175,3,35,19,250,0,0,0,0,0,0,99,90350,0,0,elogo60210040.png,部落战士使用的武器。,5,6,2035000,48840,4070,0,0
60210041,圣焰战刃,重武器5水,214,2,1,4,1,2,175,3,35,19,250,0,0,0,0,0,0,99,90350,3000,1,elogo60210040.png,部落战士使用的武器。,5,1,2035000,48840,4070,0,0
60210042,圣焰战刃,重武器5火,214,2,1,4,1,2,175,3,35,19,250,0,0,0,0,0,0,99,90350,3000,2,elogo60210040.png,部落战士使用的武器。,5,1,2035000,48840,4070,0,0
60210043,圣焰战刃,重武器5雷,214,2,1,4,1,2,175,3,35,19,250,0,0,0,0,0,0,99,90350,3000,3,elogo60210040.png,部落战士使用的武器。,5,1,2035000,48840,4070,0,0
60210044,圣焰战刃,重武器5土,214,2,1,4,1,2,175,3,35,19,250,0,0,0,0,0,0,99,90350,3000,4,elogo60210040.png,部落战士使用的武器。,5,1,2035000,48840,4070,0,0
60210045,圣焰战刃,重武器5光,214,2,1,4,1,2,175,3,35,19,250,0,0,0,0,0,0,99,90350,3000,5,elogo60210040.png,部落战士使用的武器。,5,1,2035000,48840,4070,0,0
60210046,圣焰战刃,重武器5暗,214,2,1,4,1,2,175,3,35,19,250,0,0,0,0,0,0,99,90350,3000,6,elogo60210040.png,部落战士使用的武器。,5,1,2035000,48840,4070,0,0
60210050,威仪之斧,重武器6空,215,2,1,5,1,2,320,3,55,19,300,0,0,0,0,0,0,99,155100,0,0,elogo60210050.png,象征着皇家的威仪。,6,6,3360000,80640,6720,0,0
60210051,威仪之斧,重武器6水,215,2,1,5,1,2,320,3,55,19,300,0,0,0,0,0,0,99,155100,3000,1,elogo60210050.png,象征着皇家的威仪。,6,1,3360000,80640,6720,0,0
60210052,威仪之斧,重武器6火,215,2,1,5,1,2,320,3,55,19,300,0,0,0,0,0,0,99,155100,3000,2,elogo60210050.png,象征着皇家的威仪。,6,1,3360000,80640,6720,0,0
60210053,威仪之斧,重武器6雷,215,2,1,5,1,2,320,3,55,19,300,0,0,0,0,0,0,99,155100,3000,3,elogo60210050.png,象征着皇家的威仪。,6,1,3360000,80640,6720,0,0
60210054,威仪之斧,重武器6土,215,2,1,5,1,2,320,3,55,19,300,0,0,0,0,0,0,99,155100,3000,4,elogo60210050.png,象征着皇家的威仪。,6,1,3360000,80640,6720,0,0
60210055,威仪之斧,重武器6光,215,2,1,5,1,2,320,3,55,19,300,0,0,0,0,0,0,99,155100,3000,5,elogo60210050.png,象征着皇家的威仪。,6,1,3360000,80640,6720,0,0
60210056,威仪之斧,重武器6暗,215,2,1,5,1,2,320,3,55,19,300,0,0,0,0,0,0,99,155100,3000,6,elogo60210050.png,象征着皇家的威仪。,6,1,3360000,80640,6720,0,0
60210060,地恸战锤,重武器7空,216,2,1,6,1,2,570,3,90,19,600,0,0,0,0,0,0,99,275100,0,0,elogo60210060.png,锤一下地，地动山摇。,7,6,5915000,141960,11830,0,0
60210061,地恸战锤,重武器7水,216,2,1,6,1,2,570,3,90,19,600,0,0,0,0,0,0,99,275100,3000,1,elogo60210060.png,锤一下地，地动山摇。,7,1,5915000,141960,11830,0,0
60210062,地恸战锤,重武器7火,216,2,1,6,1,2,570,3,90,19,600,0,0,0,0,0,0,99,275100,3000,2,elogo60210060.png,锤一下地，地动山摇。,7,1,5915000,141960,11830,0,0
60210063,地恸战锤,重武器7雷,216,2,1,6,1,2,570,3,90,19,600,0,0,0,0,0,0,99,275100,3000,3,elogo60210060.png,锤一下地，地动山摇。,7,1,5915000,141960,11830,0,0
60210064,地恸战锤,重武器7土,216,2,1,6,1,2,570,3,90,19,600,0,0,0,0,0,0,99,275100,3000,4,elogo60210060.png,锤一下地，地动山摇。,7,1,5915000,141960,11830,0,0
60210065,地恸战锤,重武器7光,216,2,1,6,1,2,570,3,90,19,600,0,0,0,0,0,0,99,275100,3000,5,elogo60210060.png,锤一下地，地动山摇。,7,1,5915000,141960,11830,0,0
60210066,地恸战锤,重武器7暗,216,2,1,6,1,2,570,3,90,19,600,0,0,0,0,0,0,99,275100,3000,6,elogo60210060.png,锤一下地，地动山摇。,7,1,5915000,141960,11830,0,0
60210070,天使重锤,重武器8空,217,2,1,7,1,2,980,3,130,19,800,36,500,0,0,0,0,99,475300,0,0,elogo60210070.png,传说是天使所用的重锤，威力巨大。,8,6,9920000,238080,19840,0,0
60210071,天使重锤,重武器8水,217,2,1,7,1,2,980,3,130,19,800,36,500,0,0,0,0,99,475300,3000,1,elogo60210070.png,传说是天使所用的重锤，威力巨大。,8,1,9920000,238080,19840,0,0
60210072,天使重锤,重武器8火,217,2,1,7,1,2,980,3,130,19,800,36,500,0,0,0,0,99,475300,3000,2,elogo60210070.png,传说是天使所用的重锤，威力巨大。,8,1,9920000,238080,19840,0,0
60210073,天使重锤,重武器8雷,217,2,1,7,1,2,980,3,130,19,800,36,500,0,0,0,0,99,475300,3000,3,elogo60210070.png,传说是天使所用的重锤，威力巨大。,8,1,9920000,238080,19840,0,0
60210074,天使重锤,重武器8土,217,2,1,7,1,2,980,3,130,19,800,36,500,0,0,0,0,99,475300,3000,4,elogo60210070.png,传说是天使所用的重锤，威力巨大。,8,1,9920000,238080,19840,0,0
60210075,天使重锤,重武器8光,217,2,1,7,1,2,980,3,130,19,800,36,500,0,0,0,0,99,475300,3000,5,elogo60210070.png,传说是天使所用的重锤，威力巨大。,8,1,9920000,238080,19840,0,0
60210076,天使重锤,重武器8暗,217,2,1,7,1,2,980,3,130,19,800,36,500,0,0,0,0,99,475300,3000,6,elogo60210070.png,传说是天使所用的重锤，威力巨大。,8,1,9920000,238080,19840,0,0
60210080,崩山之刃,重武器9空,218,2,1,8,1,2,1650,3,150,19,1000,36,1200,0,0,0,0,99,771100,0,0,elogo60210080.png,一斧下去，山崩地裂。,9,6,15565000,373560,31130,60210090,0
60210081,崩山之刃,重武器9水,218,2,1,8,1,2,1650,3,150,19,1000,36,1200,0,0,0,0,99,771100,3000,1,elogo60210080.png,一斧下去，山崩地裂。,9,1,15565000,373560,31130,60210091,0
60210082,崩山之刃,重武器9火,218,2,1,8,1,2,1650,3,150,19,1000,36,1200,0,0,0,0,99,771100,3000,2,elogo60210080.png,一斧下去，山崩地裂。,9,1,15565000,373560,31130,60210092,0
60210083,崩山之刃,重武器9雷,218,2,1,8,1,2,1650,3,150,19,1000,36,1200,0,0,0,0,99,771100,3000,3,elogo60210080.png,一斧下去，山崩地裂。,9,1,15565000,373560,31130,60210093,0
60210084,崩山之刃,重武器9土,218,2,1,8,1,2,1650,3,150,19,1000,36,1200,0,0,0,0,99,771100,3000,4,elogo60210080.png,一斧下去，山崩地裂。,9,1,15565000,373560,31130,60210094,0
60210085,崩山之刃,重武器9光,218,2,1,8,1,2,1650,3,150,19,1000,36,1200,0,0,0,0,99,771100,3000,5,elogo60210080.png,一斧下去，山崩地裂。,9,1,15565000,373560,31130,60210095,0
60210086,崩山之刃,重武器9暗,218,2,1,8,1,2,1650,3,150,19,1000,36,1200,0,0,0,0,99,771100,3000,6,elogo60210080.png,一斧下去，山崩地裂。,9,1,15565000,373560,31130,60210096,0
60210087,崩山之刃,重武器9星,218,2,1,8,1,2,1650,3,150,19,1000,36,1200,0,0,0,0,99,771100,3000,7,elogo60210080.png,一斧下去，山崩地裂。,9,0,15565000,373560,31130,60210097,0
60210090,胜利之斧,重武器10空,219,2,1,9,1,2,2100,3,1500,19,1500,36,1300,0,0,0,0,99,1582300,0,0,elogo60210090.png,胜利的代名词，使用者就是胜利者的化身。,10,6,2000000,48000,4000,60210100,T1
60210091,胜利之斧,重武器10水,219,2,1,9,1,2,2100,3,1500,19,1500,36,1300,0,0,0,0,99,1582300,3000,1,elogo60210090.png,胜利的代名词，使用者就是胜利者的化身。,10,1,2000000,48000,4000,60210101,T1
60210092,胜利之斧,重武器10火,219,2,1,9,1,2,2100,3,1500,19,1500,36,1300,0,0,0,0,99,1582300,3000,2,elogo60210090.png,胜利的代名词，使用者就是胜利者的化身。,10,1,2000000,48000,4000,60210102,T1
