ordernumber,taskid,taskname,level,checkpoint,pretask,uicontent,content,tasktypes,n1,n2,n3,n4,tasktypes2,itemid,numberofcycles,reward1,number1,reward2,number2,reward3,number3,reward4,number4,iconid,taskindexes,taskindexes2
22,111017,领主成长,1,0,111016,0,领主等级达到170级,1,170,0,0,0,0,0,0,91000002,30000,91000022,3000,0,0,0,0,0,0,0
23,111018,领主成长,1,0,111017,0,领主等级达到180级,1,180,0,0,0,0,0,0,91000002,30000,91000022,3000,0,0,0,0,0,0,0
24,111019,领主成长,1,0,111018,0,领主等级达到190级,1,190,0,0,0,0,0,0,91000002,30000,91000022,3000,0,0,0,0,0,0,0
25,111020,领主成长,1,0,111019,0,领主等级达到200级,1,200,0,0,0,0,0,0,91000002,30000,91000022,3000,0,0,0,0,0,0,0
26,111021,领主成长,1,0,111020,0,领主等级达到210级,1,210,0,0,0,0,0,0,91000002,30000,91000022,3000,0,0,0,0,0,0,0
27,111022,领主成长,1,0,111021,0,领主等级达到220级,1,220,0,0,0,0,0,0,91000002,30000,91000022,3000,0,0,0,0,0,0,0
28,111023,领主成长,1,0,111022,0,领主等级达到230级,1,230,0,0,0,0,0,0,91000002,30000,91000022,3000,0,0,0,0,0,0,0
29,111024,领主成长,1,0,111023,0,领主等级达到240级,1,240,0,0,0,0,0,0,91000002,30000,91000022,3000,0,0,0,0,0,0,0
30,111025,领主成长,1,0,111024,0,领主等级达到250级,1,250,0,0,0,0,0,0,91000002,30000,91000022,3000,0,0,0,0,0,0,0
31,111026,领主成长,1,0,111025,0,领主等级达到260级,1,260,0,0,0,0,0,0,91000002,30000,91000022,3000,0,0,0,0,0,0,0
32,111027,领主成长,1,0,111026,0,领主等级达到270级,1,270,0,0,0,0,0,0,91000002,30000,91000022,3000,0,0,0,0,0,0,0
33,111028,领主成长,1,0,111027,0,领主等级达到280级,1,280,0,0,0,0,0,0,91000002,30000,91000022,3000,0,0,0,0,0,0,0
34,111029,领主成长,1,0,111028,0,领主等级达到290级,1,290,0,0,0,0,0,0,91000002,30000,91000022,3000,0,0,0,0,0,0,0
35,111030,领主成长,1,0,111029,0,领主等级达到300级,1,300,0,0,0,0,0,0,91000002,30000,91000022,3000,0,0,0,0,0,0,0
36,111031,领主成长,1,0,111030,0,领主等级达到310级,1,310,0,0,0,0,0,0,91000002,30000,91000022,3000,0,0,0,0,0,0,0
37,111032,领主成长,1,0,111031,0,领主等级达到320级,1,320,0,0,0,0,0,0,91000002,30000,91000022,3000,0,0,0,0,0,0,0
38,111033,领主成长,1,0,111032,0,领主等级达到330级,1,330,0,0,0,0,0,0,91000002,30000,91000022,3000,0,0,0,0,0,0,0
39,111034,领主成长,1,0,111033,0,领主等级达到340级,1,340,0,0,0,0,0,0,91000002,30000,91000022,3000,0,0,0,0,0,0,0
40,111035,领主成长,1,0,111034,0,领主等级达到350级,1,350,0,0,0,0,0,0,91000002,30000,91000022,3000,0,0,0,0,0,0,0
41,111036,领主成长,1,0,111035,0,领主等级达到360级,1,360,0,0,0,0,0,0,91000002,30000,91000022,3000,0,0,0,0,0,0,0
42,113001,获得英雄,1,0,0,0,获得3个英雄,11,3,0,0,0,0,0,0,91000041,500,0,0,0,0,0,0,0,0,0
43,113002,获得英雄,1,0,113001,0,获得4个英雄,11,4,0,0,0,0,0,0,91000041,1000,0,0,0,0,0,0,0,0,0
44,113003,获得英雄,1,0,113002,0,获得5个英雄,11,5,0,0,0,0,0,0,91000041,2000,0,0,0,0,0,0,0,0,0
45,113004,获得英雄,1,0,113003,0,获得6个英雄,11,6,0,0,0,0,0,0,91000041,5000,0,0,0,0,0,0,0,0,0
46,113005,获得英雄,1,0,113004,0,获得10个英雄,11,10,0,0,0,0,0,0,91000041,10000,0,0,0,0,0,0,0,0,0
47,113006,获得英雄,1,0,113005,0,获得20个英雄,11,20,0,0,0,0,0,0,91000041,15000,0,0,0,0,0,0,0,0,0
48,113007,获得英雄,1,0,113006,0,获得30个英雄,11,30,0,0,0,0,0,0,91000041,15000,0,0,0,0,0,0,0,0,0
49,113008,获得英雄,1,0,113007,0,获得50个英雄,11,50,0,0,0,0,0,0,91000041,25000,0,0,0,0,0,0,0,0,0
50,113009,获得英雄,1,0,113008,0,获得75个英雄,11,75,0,0,0,0,0,0,91000041,50000,0,0,0,0,0,0,0,0,0
51,113010,获得英雄,1,0,113009,0,获得100个英雄,11,100,0,0,0,0,0,0,91000041,50000,0,0,0,0,0,0,0,0,0
52,113011,获得英雄,1,0,113010,0,获得130个英雄,11,130,0,0,0,0,0,0,91000041,75000,0,0,0,0,0,0,0,0,0
53,113012,获得英雄,1,0,113011,0,获得160个英雄,11,160,0,0,0,0,0,0,91000041,75000,0,0,0,0,0,0,0,0,0
54,113013,获得英雄,1,0,113012,0,获得200个英雄,11,200,0,0,0,0,0,0,91000041,100000,0,0,0,0,0,0,0,0,0
55,113014,获得英雄,1,0,113013,0,获得500个英雄,11,500,0,0,0,0,0,0,91000041,250000,0,0,0,0,0,0,0,0,0
56,114001,升级英雄次数,1,0,0,0,将一名英雄升级到10级,12,10,0,0,0,0,0,0,91000001,20000,0,0,0,0,0,0,0,0,0
57,114002,升级英雄次数,1,0,114001,0,将一名英雄升级到20级,12,20,0,0,0,0,0,0,91000001,30000,0,0,0,0,0,0,0,0,0
58,114003,升级英雄次数,1,0,114002,0,将一名英雄升级到30级,12,30,0,0,0,0,0,0,91000001,40000,0,0,0,0,0,0,0,0,0
59,114004,升级英雄次数,1,0,114003,0,将一名英雄升级到40级,12,40,0,0,0,0,0,0,91000001,50000,0,0,0,0,0,0,0,0,0
60,114005,升级英雄次数,1,0,114004,0,将一名英雄升级到50级,12,50,0,0,0,0,0,0,91000001,75000,0,0,0,0,0,0,0,0,0
61,114006,升级英雄次数,1,0,114005,0,将一名英雄升级到60级,12,60,0,0,0,0,0,0,91000001,100000,0,0,0,0,0,0,0,0,0
62,114007,升级英雄次数,1,0,114006,0,将一名英雄升级到70级,12,70,0,0,0,0,0,0,91000001,150000,0,0,0,0,0,0,0,0,0
63,114008,升级英雄次数,1,0,114007,0,将一名英雄升级到80级,12,80,0,0,0,0,0,0,91000001,300000,0,0,0,0,0,0,0,0,0
64,114009,升级英雄次数,1,0,114008,0,将一名英雄升级到90级,12,90,0,0,0,0,0,0,91000001,500000,0,0,0,0,0,0,0,0,0
65,114010,升级英雄次数,1,0,114009,0,将一名英雄升级到100级,12,100,0,0,0,0,0,0,91000001,750000,0,0,0,0,0,0,0,0,0
66,114011,升级英雄次数,1,0,114010,0,将一名英雄升级到110级,12,110,0,0,0,0,0,0,91000002,15000,0,0,0,0,0,0,0,0,0
67,114012,升级英雄次数,1,0,114011,0,将一名英雄升级到120级,12,120,0,0,0,0,0,0,91000002,15000,0,0,0,0,0,0,0,0,0
68,114013,升级英雄次数,1,0,114012,0,将一名英雄升级到130级,12,130,0,0,0,0,0,0,91000002,25000,0,0,0,0,0,0,0,0,0
69,114014,升级英雄次数,1,0,114013,0,将一名英雄升级到140级,12,140,0,0,0,0,0,0,91000002,30000,0,0,0,0,0,0,0,0,0
70,114015,升级英雄次数,1,0,114014,0,将一名英雄升级到150级,12,150,0,0,0,0,0,0,91000002,40000,0,0,0,0,0,0,0,0,0
71,114016,升级英雄次数,1,0,114015,0,将一名英雄升级到160级,12,160,0,0,0,0,0,0,91000002,50000,0,0,0,0,0,0,0,0,0
72,114017,升级英雄次数,1,0,114016,0,将一名英雄升级到170级,12,170,0,0,0,0,0,0,91000002,60000,0,0,0,0,0,0,0,0,0
73,114018,升级英雄次数,1,0,114017,0,将一名英雄升级到180级,12,180,0,0,0,0,0,0,91000002,70000,0,0,0,0,0,0,0,0,0
74,114019,升级英雄次数,1,0,114018,0,将一名英雄升级到190级,12,190,0,0,0,0,0,0,91000002,80000,0,0,0,0,0,0,0,0,0
75,114020,升级英雄次数,1,0,114019,0,将一名英雄升级到200级,12,200,0,0,0,0,0,0,91000002,90000,0,0,0,0,0,0,0,0,0
76,114021,升级英雄次数,1,0,114020,0,将一名英雄升级到210级,12,210,0,0,0,0,0,0,91000002,100000,0,0,0,0,0,0,0,0,0
77,114022,升级英雄次数,1,0,114021,0,将一名英雄升级到220级,12,220,0,0,0,0,0,0,91000002,110000,0,0,0,0,0,0,0,0,0
78,114023,升级英雄次数,1,0,114022,0,将一名英雄升级到230级,12,230,0,0,0,0,0,0,91000002,120000,0,0,0,0,0,0,0,0,0
79,114024,升级英雄次数,1,0,114023,0,将一名英雄升级到240级,12,240,0,0,0,0,0,0,91000002,130000,0,0,0,0,0,0,0,0,0
80,115001,挂机中累计获得,1,110324,0,0,挂机中累计获得2万金币,23,20000,91000001,0,0,0,0,0,91000001,2000,0,0,0,0,0,0,0,0,0
81,115002,挂机中累计获得,1,0,115001,0,挂机中累计获得5万金币,23,50000,91000001,0,0,0,0,0,91000001,5000,0,0,0,0,0,0,0,0,0
82,115003,挂机中累计获得,1,0,115002,0,挂机中累计获得10万金币,23,100000,91000001,0,0,0,0,0,91000001,10000,0,0,0,0,0,0,0,0,0
83,115004,挂机中累计获得,1,0,115003,0,挂机中累计获得50万金币,23,500000,91000001,0,0,0,0,0,91000001,30000,0,0,0,0,0,0,0,0,0
84,115005,挂机中累计获得,1,0,115004,0,挂机中累计获得100万金币,23,1000000,91000001,0,0,0,0,0,91000001,50000,0,0,0,0,0,0,0,0,0
85,115006,挂机中累计获得,1,0,115005,0,挂机中累计获得1000万金币,23,10000000,91000001,0,0,0,0,0,91000001,300000,0,0,0,0,0,0,0,0,0
86,115007,挂机中累计获得,1,0,115006,0,挂机中累计获得2000万金币,23,20000000,91000001,0,0,0,0,0,91000001,400000,0,0,0,0,0,0,0,0,0
87,115008,挂机中累计获得,1,0,115007,0,挂机中累计获得5000万金币,23,50000000,91000001,0,0,0,0,0,91000001,500000,0,0,0,0,0,0,0,0,0
88,115009,挂机中累计获得,1,0,115008,0,挂机中累计获得2亿金币,23,200000000,91000001,0,0,0,0,0,91000001,3000000,0,0,0,0,0,0,0,0,0
89,116001,取得竞技场胜利,1,110228,0,0,取得20场竞技场胜利,51,20,1,0,0,0,0,0,91000002,5000,0,0,0,0,0,0,0,0,0
90,116002,取得竞技场胜利,1,0,116001,0,取得50场竞技场胜利,51,50,1,0,0,0,0,0,91000002,8000,0,0,0,0,0,0,0,0,0
91,116003,取得竞技场胜利,1,0,116002,0,取得100场竞技场胜利,51,100,1,0,0,0,0,0,91000002,10000,0,0,0,0,0,0,0,0,0
92,116004,取得竞技场胜利,1,0,116003,0,取得200场竞技场胜利,51,200,1,0,0,0,0,0,91000002,12000,0,0,0,0,0,0,0,0,0
93,116005,取得竞技场胜利,1,0,116004,0,取得300场竞技场胜利,51,300,1,0,0,0,0,0,91000002,14000,0,0,0,0,0,0,0,0,0
94,116006,取得竞技场胜利,1,0,116005,0,取得400场竞技场胜利,51,400,1,0,0,0,0,0,91000002,16000,0,0,0,0,0,0,0,0,0
95,116007,取得竞技场胜利,1,0,116006,0,取得500场竞技场胜利,51,500,1,0,0,0,0,0,91000002,18000,0,0,0,0,0,0,0,0,0
96,116008,取得竞技场胜利,1,0,116007,0,取得600场竞技场胜利,51,600,1,0,0,0,0,0,91000002,20000,0,0,0,0,0,0,0,0,0
97,116009,取得竞技场胜利,1,0,116008,0,取得700场竞技场胜利,51,700,1,0,0,0,0,0,91000002,22000,0,0,0,0,0,0,0,0,0
98,116010,取得竞技场胜利,1,0,116009,0,取得800场竞技场胜利,51,800,1,0,0,0,0,0,91000002,24000,0,0,0,0,0,0,0,0,0
99,116011,取得竞技场胜利,1,0,116010,0,取得1000场竞技场胜利,51,1000,1,0,0,0,0,0,91000002,50000,0,0,0,0,0,0,0,0,0
100,117001,竞技场天梯分达到,1,110228,0,0,竞技场天梯分达到1010,52,1010,0,0,0,0,0,0,91000002,5000,40000001,1,0,0,0,0,0,0,0
101,117002,竞技场天梯分达到,1,0,117001,0,竞技场天梯分达到1030,52,1030,0,0,0,0,0,0,91000002,10000,40000001,2,0,0,0,0,0,0,0
102,117003,竞技场天梯分达到,1,0,117002,0,竞技场天梯分达到1050,52,1050,0,0,0,0,0,0,91000002,10000,40000001,3,0,0,0,0,0,0,0
103,117004,竞技场天梯分达到,1,0,117003,0,竞技场天梯分达到1100,52,1100,0,0,0,0,0,0,91000002,20000,40000001,5,0,0,0,0,0,0,0
104,117005,竞技场天梯分达到,1,0,117004,0,竞技场天梯分达到1200,52,1200,0,0,0,0,0,0,91000002,30000,40000001,10,0,0,0,0,0,0,0
105,117006,竞技场天梯分达到,1,0,117005,0,竞技场天梯分达到1400,52,1400,0,0,0,0,0,0,91000002,50000,40000001,15,0,0,0,0,0,0,0
106,117007,竞技场天梯分达到,1,0,117006,0,竞技场天梯分达到1600,52,1600,0,0,0,0,0,0,91000002,50000,40000001,15,0,0,0,0,0,0,0
107,117008,竞技场天梯分达到,1,0,117007,0,竞技场天梯分达到1800,52,1800,0,0,0,0,0,0,91000002,50000,40000001,15,0,0,0,0,0,0,0
108,118001,通过异界迷宫次数,1,110412,105001,0,通过地牢3层2次,61,2,3,0,0,0,0,0,91000051,5000,0,0,0,0,0,0,0,0,0
109,118002,通过异界迷宫次数,1,0,118001,0,通过地牢3层3次,61,3,3,0,0,0,0,0,91000051,5000,0,0,0,0,0,0,0,0,0
110,118003,通过异界迷宫次数,1,0,118002,0,通过地牢3层5次,61,5,3,0,0,0,0,0,91000051,5000,0,0,0,0,0,0,0,0,0
111,118004,通过异界迷宫次数,1,0,118003,0,通过地牢3层10次,61,10,3,0,0,0,0,0,91000051,5000,0,0,0,0,0,0,0,0,0
112,118005,通过异界迷宫次数,1,0,118004,0,通过地牢3层15次,61,15,3,0,0,0,0,0,91000051,10000,0,0,0,0,0,0,0,0,0
113,118006,通过异界迷宫次数,1,0,118005,0,通过地牢3层20次,61,20,3,0,0,0,0,0,91000051,10000,0,0,0,0,0,0,0,0,0
114,118007,通过异界迷宫次数,1,0,118006,0,通过地牢3层25次,61,25,3,0,0,0,0,0,91000051,10000,0,0,0,0,0,0,0,0,0
115,118008,通过异界迷宫次数,1,0,118007,0,通过地牢3层30次,61,30,3,0,0,0,0,0,91000051,10000,0,0,0,0,0,0,0,0,0
116,118009,通过异界迷宫次数,1,0,118008,0,通过地牢3层40次,61,40,3,0,0,0,0,0,91000051,15000,0,0,0,0,0,0,0,0,0
117,118010,通过异界迷宫次数,1,0,118009,0,通过地牢3层50次,61,50,3,0,0,0,0,0,91000051,15000,0,0,0,0,0,0,0,0,0
118,118011,通过异界迷宫次数,1,0,118010,0,通过地牢3层60次,61,60,3,0,0,0,0,0,91000051,15000,0,0,0,0,0,0,0,0,0
119,118012,通过异界迷宫次数,1,0,118011,0,通过地牢3层70次,61,70,3,0,0,0,0,0,91000051,15000,0,0,0,0,0,0,0,0,0
120,118013,通过异界迷宫次数,1,0,118012,0,通过地牢3层80次,61,80,3,0,0,0,0,0,91000051,15000,0,0,0,0,0,0,0,0,0
121,118014,通过异界迷宫次数,1,0,118013,0,通过地牢3层100次,61,100,3,0,0,0,0,0,91000051,45000,0,0,0,0,0,0,0,0,0
122,118015,通过异界迷宫次数,1,0,118014,0,通过地牢3层150次,61,150,3,0,0,0,0,0,91000051,45000,0,0,0,0,0,0,0,0,0
123,118016,通过异界迷宫次数,1,0,118015,0,通过地牢3层200次,61,200,3,0,0,0,0,0,91000051,45000,0,0,0,0,0,0,0,0,0
124,118017,通过异界迷宫次数,1,0,118016,0,通过地牢3层250次,61,250,3,0,0,0,0,0,91000051,45000,0,0,0,0,0,0,0,0,0
125,118018,通过异界迷宫次数,1,0,118017,0,通过地牢3层300次,61,300,3,0,0,0,0,0,91000051,45000,0,0,0,0,0,0,0,0,0
126,118019,通过异界迷宫次数,1,0,118018,0,通过地牢3层350次,61,350,3,0,0,0,0,0,91000051,45000,0,0,0,0,0,0,0,0,0
127,119001,共鸣水晶开启槽位,1,110436,0,0,法阵开启槽位5个,71,5,0,0,0,0,0,0,91000002,10000,0,0,0,0,0,0,0,0,0
128,119002,共鸣水晶开启槽位,1,0,119001,0,法阵开启槽位10个,71,10,0,0,0,0,0,0,91000002,15000,0,0,0,0,0,0,0,0,0
129,119003,共鸣水晶开启槽位,1,0,119002,0,法阵开启槽位15个,71,15,0,0,0,0,0,0,91000002,20000,0,0,0,0,0,0,0,0,0
130,119004,共鸣水晶开启槽位,1,0,119003,0,法阵开启槽位20个,71,20,0,0,0,0,0,0,91000002,30000,0,0,0,0,0,0,0,0,0
131,119005,共鸣水晶开启槽位,1,0,119004,0,法阵开启槽位30个,71,30,0,0,0,0,0,0,91000002,40000,0,0,0,0,0,0,0,0,0
132,119006,共鸣水晶开启槽位,1,0,119005,0,法阵开启槽位40个,71,40,0,0,0,0,0,0,91000002,50000,0,0,0,0,0,0,0,0,0
133,119007,共鸣水晶开启槽位,1,0,119006,0,法阵开启槽位50个,71,50,0,0,0,0,0,0,91000002,60000,0,0,0,0,0,0,0,0,0
134,119008,共鸣水晶开启槽位,1,0,119007,0,法阵开启槽位60个,71,60,0,0,0,0,0,0,91000002,70000,0,0,0,0,0,0,0,0,0
135,119009,共鸣水晶开启槽位,1,0,119008,0,法阵开启槽位70个,71,70,0,0,0,0,0,0,91000002,80000,0,0,0,0,0,0,0,0,0
136,119010,共鸣水晶开启槽位,1,0,119009,0,法阵开启槽位80个,71,80,0,0,0,0,0,0,91000002,90000,0,0,0,0,0,0,0,0,0
137,119011,共鸣水晶开启槽位,1,0,119010,0,法阵开启槽位85个,71,85,0,0,0,0,0,0,91000002,100000,0,0,0,0,0,0,0,0,0
138,120001,水晶祭司提升等级,1,110436,0,0,命运核心均提升至40级,72,40,0,0,0,0,0,0,91000049,120,0,0,0,0,0,0,0,0,0
139,120002,水晶祭司提升等级,1,0,120001,0,命运核心均提升至60级,72,60,0,0,0,0,0,0,91000049,150,0,0,0,0,0,0,0,0,0
140,120003,水晶祭司提升等级,1,0,120002,0,命运核心均提升至80级,72,80,0,0,0,0,0,0,91000049,180,0,0,0,0,0,0,0,0,0
141,120004,水晶祭司提升等级,1,0,120003,0,命运核心均提升至100级,72,100,0,0,0,0,0,0,91000049,240,0,0,0,0,0,0,0,0,0
142,120005,水晶祭司提升等级,1,0,120004,0,命运核心均提升至120级,72,120,0,0,0,0,0,0,91000049,300,0,0,0,0,0,0,0,0,0
143,120006,水晶祭司提升等级,1,0,120005,0,命运核心均提升至140级,72,140,0,0,0,0,0,0,91000049,350,0,0,0,0,0,0,0,0,0
144,120007,水晶祭司提升等级,1,0,120006,0,命运核心均提升至160级,72,160,0,0,0,0,0,0,91000049,400,0,0,0,0,0,0,0,0,0
145,120008,水晶祭司提升等级,1,0,120007,0,命运核心均提升至180级,72,180,0,0,0,0,0,0,91000049,450,0,0,0,0,0,0,0,0,0
146,120009,水晶祭司提升等级,1,0,120008,0,命运核心均提升至200级,72,200,0,0,0,0,0,0,91000049,500,0,0,0,0,0,0,0,0,0
147,120010,水晶祭司提升等级,1,0,120009,0,命运核心均提升至220级,72,220,0,0,0,0,0,0,91000049,550,0,0,0,0,0,0,0,0,0
148,120011,水晶祭司提升等级,1,0,120010,0,命运核心均提升至240级,72,240,0,0,0,0,0,0,91000049,600,0,0,0,0,0,0,0,0,0
