id,hero,modid,headicon,gaine,spine,modicon,modname,modchange,background,item,num,activity,prompt,turnmmp
301000,3010,0,hero3010,3010,3010,310,经典,0,card310,0,0,0,0,0
301100,3011,0,hero3011,3011,3011,311,经典,0,card311,0,0,0,0,0
301200,3012,0,hero3012,3012,3012,312,经典,0,card312,0,0,0,0,0
301300,3013,0,hero3013,3013,3013,313,经典,0,card313,0,0,0,0,0
301400,3014,0,hero3014,3014,3014,314,经典,0,card314,0,0,0,0,0
400100,4001,0,hero4001,4001,4001,401,经典,0,card401,0,0,0,0,0
400200,4002,0,hero4002,4002,4002,402,经典,0,card402,0,0,0,0,0
400300,4003,0,hero4003,4003,4003,403,经典,0,card403,0,0,0,0,0
400400,4004,0,hero4004,4004,4004,404,经典,0,card404,0,0,0,0,0
400500,4005,0,hero4005,4005,4005,405,经典,451,card405,0,0,0,0,0
400600,4006,0,hero4006,4006,4006,406,经典,0,card406,0,0,0,0,0
400700,4007,0,hero4007,4007,4007,407,经典,0,card407,0,0,0,0,0
400800,4008,0,hero4008,4008,4008,408,经典,0,card408,0,0,0,0,0
400900,4009,0,hero4009,4009,4009,409,经典,0,card409,0,0,0,0,0
401000,4010,0,hero4010,4010,4010,410,经典,0,card410,0,0,0,0,0
401100,4011,0,hero4011,4011,4011,411,经典,0,card411,0,0,0,0,0
401200,4012,0,hero4012,4012,4012,412,经典,0,card412,0,0,0,0,0
401300,4013,0,hero4013,4013,4013,413,经典,0,card413,0,0,0,0,0
401400,4014,0,hero4014,4014,4014,414,经典,0,card414,0,0,0,0,0
500100,5001,0,hero5001,5001,5001,501,经典,0,card501,0,0,0,0,0
500200,5002,0,hero5002,5002,5002,512,经典,502,card512,0,0,0,0,0
500300,5003,0,hero5003,5003,5003,503,经典,0,card503,0,0,0,0,0
500400,5004,0,hero5004,5004,5004,504,经典,0,card504,0,0,0,0,0
500500,5005,0,hero5005,5005,5005,505,经典,0,card505,0,0,0,0,0
500600,5006,0,hero5006,5006,5006,506,经典,0,card506,0,0,0,0,0
600100,6001,0,hero6001,6001,6001,601,经典,0,card601,0,0,0,0,0
600200,6002,0,hero6002,6002,6002,602,经典,0,card602,0,0,0,0,0
600300,6003,0,hero6003,6003,6003,603,经典,0,card603,0,0,0,0,0
600400,6004,0,hero6004,6004,6004,604,经典,0,card604,0,0,0,0,0
600500,6005,0,hero6005,6005,6005,605,经典,0,card605,0,0,0,0,0
600600,6006,0,hero6006,6006,6006,606,经典,0,card606,0,0,0,0,0
700100,7001,0,hero7001,7001,7001,701,经典,711,card701,0,0,0,0,0
700200,7002,0,hero7002,7002,7002,702,经典,0,card702,0,0,0,0,0
700300,7003,0,hero7003,7003,7003,703,经典,0,card703,0,0,0,0,0
700400,7004,0,hero7004,7004,7004,704,经典,0,card704,0,0,0,0,0
700500,7005,0,hero7005,7005,7005,705,经典,0,card705,0,0,0,0,0
800100,8001,0,hero8001,8001,8001,801,经典,0,card801,0,0,0,0,0
800200,8002,0,hero8002,8002,8002,802,经典,0,card802,0,0,0,0,0
800300,8003,0,hero8003,8003,8003,803,经典,0,card803,0,0,0,0,0
900100,9001,0,hero9001,9001,9001,307_1,经典,0,card307_1,0,0,0,0,0
900200,9002,0,hero9002,9002,9002,307_1,经典,0,card307_1,0,0,0,0,0
900300,9003,0,hero9003,9003,9003,903,经典,0,card903,0,0,0,0,0
900400,9004,0,hero9004,9004,9004,904,经典,0,card904,0,0,0,0,0
900500,9005,0,hero9005,9005,9005,507,经典,0,card507,0,0,0,0,0
800500,8005,0,hero8005,8005,8005,805,经典,0,card805,0,0,0,0,0
401500,4015,0,hero4015,4015,4015,415,经典,0,card415,0,0,0,0,0
500700,5007,0,hero5007,5007,5007,507,经典,0,card507,0,0,0,0,0
600700,6007,0,hero6007,6007,6007,607,经典,0,card607,0,0,0,0,0
600800,6008,0,hero6008,6008,6008,608,经典,0,card608,0,0,0,0,0
600900,6009,0,hero6009,6009,6009,609,经典,0,card609,0,0,0,0,0
800700,8007,0,hero8007,8007,8007,807,经典,0,card807,0,0,0,0,0
800800,8008,0,hero8008,8008,8008,808,经典,0,card808,0,0,0,0,0
800900,8009,0,hero8009,8009,8009,809,经典,0,card809,0,0,0,0,0
801000,8010,0,hero8010,8010,8010,810,经典,0,card810,0,0,0,0,0
801100,8011,0,hero8011,8011,8011,811,经典,0,card811,0,0,0,0,0
