buffid,buffname,buffshow,bufftype,unlimited,ifrefresh,ifdispel,cancelway,amount,overlapnum,limitbuff,benefit,buff_value_type1,effect1,pro1,type1_1,type2_1,type3_1,type4_1,type5_1,type6_1,type7_1,type8_1,type9_1,type10_1,type11_1,type12_1,type13_1,buff_value_type2,effect2,pro2,type1_2,type2_2,type3_2,type4_2,effectid,effecttype1,effectbase1
40,增加治疗效果15%,0,0,0,0,0,1,1,1,0,1,1,10,10000,13,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,中毒,1,0,0,1,1,1,1,1,0,2,15,1,10000,2,500,205,1,0,0,0,0,100000,1,3,1,0,0,0,0,0,0,0,0,0,0,0
42,禁疗,1,0,0,1,1,1,1,1,0,2,1,49,10000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,诅咒,1,0,0,1,1,1,1,99,0,2,22,1,10000,2,3000,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,死亡印记,1,0,0,1,1,1,1,1,0,2,1,10,10000,18,-2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,免疫,1,0,0,1,1,3,1,1,0,1,5,16,10000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,受到伤害给对面叠加灼烧buff,1,0,0,0,0,1,1,1,0,1,4,17,6000,4,2,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,受到伤害给对面叠加灼烧buff,1,0,0,0,0,1,1,1,0,1,4,17,8000,4,2,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,伤害加深30%,0,0,0,1,1,1,1,1,0,2,4,35,13000,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,回复生命上限5%,0,0,0,1,1,1,1,1,0,1,15,11,10000,500,2,205,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,护盾吸收释放者150%攻击力的伤害,0,0,0,1,1,1,1,1,0,1,4,25,10000,15000,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,防御降低20%,0,0,0,1,0,1,1,1,0,2,1,10,10000,3,-2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,3%提速不可驱散,0,0,0,1,0,6,1,1,0,2,1,14,10000,4,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,5%提速不可驱散,0,0,0,1,0,6,1,1,0,2,1,14,10000,4,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,8%提速不可驱散,0,0,0,1,0,6,1,1,0,2,1,14,10000,4,800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,5%提闪避不可驱散,0,0,0,1,0,6,1,1,0,2,1,14,10000,12,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,10%提闪避不可驱散,0,0,0,1,0,6,1,1,0,2,1,14,10000,12,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,15%提闪避不可驱散,0,0,0,1,0,6,1,1,0,2,1,14,10000,12,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,30速度，不可叠加,0,0,0,1,0,1,1,1,0,1,1,14,10000,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,70速度，不可叠加,0,0,0,1,0,1,1,1,0,1,1,14,10000,4,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,25%攻击，不可叠加,0,0,0,1,0,1,1,1,0,1,1,14,10000,1,2500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,20%攻击，不可叠加,0,0,0,1,0,1,1,1,0,1,1,14,10000,1,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,降低10%防御,0,0,0,1,1,1,0,1,0,1,1,10,10000,3,-1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,降低20%防御,0,0,0,1,1,1,0,1,0,1,1,10,10000,3,-2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,降低30%防御,0,0,0,1,1,1,0,1,0,1,1,10,10000,3,-3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,额外选择一个目标并造成之前80%伤害,0,0,0,1,0,1,1,1,0,1,6,46,10000,1,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5001,攻击降低20%,0,0,0,1,0,1,0,1,0,2,1,10,10000,1,-2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5002,不灭意志-属性,0,0,0,0,1,1,0,1,0,1,1,10,10000,18,1000,0,0,0,0,0,0,0,0,0,0,0,1,10,10000,19,10,0,0,0,0,0
5003,不灭意志-吸血,0,0,0,0,1,1,0,1,0,1,7,13,10000,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8001,降低10%暴击率,0,0,0,1,1,1,0,1,0,2,1,10,10000,5,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8002,分摊50%伤害,0,0,0,1,0,1,0,1,0,1,4,29,10000,5000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8003,分摊40%伤害,0,0,0,1,0,1,0,1,0,1,4,29,10000,4000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8901,5%抗控,0,0,0,1,1,1,0,1,0,1,1,10,10000,8,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8902,10%抗控,0,0,0,1,1,1,0,1,0,1,1,10,10000,8,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8903,15%抗控,0,0,0,1,1,1,0,1,0,1,1,10,10000,8,1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8904,20%抗控,0,0,0,1,1,1,0,1,0,1,1,10,10000,8,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8905,25%抗控,0,0,0,1,1,1,0,1,0,1,1,10,10000,8,2500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8906,30%抗控,0,0,0,1,1,1,0,1,0,1,1,10,10000,8,3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8907,35%抗控,0,0,0,1,1,1,0,1,0,1,1,10,10000,8,3500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8908,40%抗控,0,0,0,1,1,1,0,1,0,1,1,10,10000,8,4000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9001,5%加速,0,0,0,1,1,1,0,1,0,1,1,10,10000,4,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9002,10%加速,0,0,0,1,1,1,0,1,0,1,1,10,10000,4,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9003,15%加速,0,0,0,1,1,1,0,1,0,1,1,10,10000,4,1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9004,无限2%加速,0,0,1,1,1,1,0,5,0,1,1,10,10000,4,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9101,10%暴击率,0,0,0,1,1,6,0,1,0,1,13,10,10000,5,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9102,15%暴击率,0,0,0,1,1,6,0,1,0,1,13,10,10000,5,1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9103,20%暴击率,0,0,0,1,1,6,0,1,0,1,13,10,10000,5,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9151,降低15%暴击率,0,0,0,1,1,1,0,1,0,1,1,10,10000,5,-1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9152,降低20%暴击率,0,0,0,1,1,1,0,1,0,1,1,10,10000,5,-2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9153,降低25%暴击率,0,0,0,1,1,1,0,1,0,1,1,10,10000,5,-2500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9201,5%闪躲,0,0,0,1,1,6,0,1,0,1,4,10,10000,12,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9202,10%闪躲,0,0,0,1,1,6,0,1,0,1,4,10,10000,12,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9203,15%闪躲,0,0,0,1,1,6,0,1,0,1,4,10,10000,12,1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9204,25%闪躲,0,0,0,1,1,6,0,1,0,1,4,10,10000,12,2500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9301,10%攻击,0,0,0,1,1,1,0,1,0,1,1,10,10000,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9302,20%攻击,0,0,0,1,1,1,0,1,0,1,1,10,10000,1,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9303,30%攻击,0,0,0,1,1,1,0,1,0,1,1,10,10000,1,3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9304,15%攻击,0,0,0,1,1,1,0,1,0,1,1,10,10000,1,1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9305,25%攻击,0,0,0,1,1,1,0,1,0,1,1,10,10000,1,2500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9306,5%攻击,0,0,0,0,1,1,0,5,0,1,1,10,10000,1,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9307,8%攻击,0,0,0,0,1,1,0,5,0,1,1,10,10000,1,800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9308,12%攻击,0,0,0,0,1,1,0,5,0,1,1,10,10000,1,1200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9309,3.0%攻击5层不可驱散,0,0,0,1,0,1,0,5,0,1,1,10,10000,1,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9310,3.1%攻击5层不可驱散,0,0,0,1,0,1,0,5,0,1,1,10,10000,1,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9311,3.2%攻击5层不可驱散,0,0,0,1,0,1,0,5,0,1,1,10,10000,1,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9312,3.3%攻击5层不可驱散,0,0,0,1,0,1,0,5,0,1,1,10,10000,1,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9313,降低20%攻击力,0,0,0,0,1,1,0,1,0,0,1,10,10000,1,-2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9314,降低25%攻击力,0,0,0,0,1,1,0,1,0,0,1,10,10000,1,-2500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9315,降低30%攻击力,0,0,0,0,1,1,0,1,0,0,1,10,10000,1,-3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9316,降低10%攻击不可驱散,0,0,0,0,0,1,0,1,0,1,1,10,10000,1,-1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9317,降低15%攻击不可驱散,0,0,0,0,0,1,0,1,0,1,1,10,10000,1,-1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9318,降低20%攻击不可驱散,0,0,0,0,0,1,0,1,0,1,1,10,10000,1,-2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9401,治疗降低8%,0,0,0,1,1,1,0,1,0,1,1,10,10000,13,-800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9402,治疗降低15%,0,0,0,1,1,1,0,1,0,1,1,10,10000,13,-1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9403,治疗降低25%,0,0,0,1,1,1,0,1,0,1,1,10,10000,13,-2500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9404,治疗降低40%,0,0,0,1,1,1,0,1,0,1,1,10,10000,13,-4000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9405,治疗降低30%,0,0,0,1,1,1,0,1,0,1,1,10,10000,13,-3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9406,治疗降低50%,0,0,0,1,1,1,0,1,0,1,1,10,10000,13,-5000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9501,受疗降低8%,0,0,0,1,1,1,0,1,0,1,1,10,10000,14,-800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9502,受疗降低15%,0,0,0,1,1,1,0,1,0,1,1,10,10000,14,-1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9503,受疗降低25%,0,0,0,1,1,1,0,1,0,1,1,10,10000,14,-2500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9601,30%暴击伤害,0,0,0,1,1,1,0,1,0,1,1,10,10000,6,3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9701,10%降速,0,0,0,1,1,1,0,1,0,1,1,10,10000,4,-1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9801,10%免伤,0,0,0,1,1,1,0,1,0,1,1,10,10000,11,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9802,20%免伤,0,0,0,1,1,1,0,1,0,1,1,10,10000,11,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9803,30%免伤,0,0,0,1,1,1,0,1,0,1,1,10,10000,11,3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9804,15%免伤,0,0,0,1,1,1,0,1,0,1,1,10,10000,11,1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9805,25%免伤,0,0,0,1,1,1,0,1,0,1,1,10,10000,11,2500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9806,7%免伤,0,0,0,1,1,1,0,1,0,1,1,10,10000,11,700,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9807,9%免伤,0,0,0,1,1,1,0,1,0,1,1,10,10000,11,900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9808,12免伤,0,0,0,1,1,1,0,1,0,1,1,10,10000,11,1200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9809,5%免伤,0,0,0,1,1,1,0,1,0,1,1,10,10000,11,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9901,自身血量的4%护盾,0,0,0,1,1,1,1,1,0,1,1,25,400,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9902,自身血量的8%护盾,0,0,0,1,1,1,1,1,0,1,1,25,800,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9903,自身血量的12%护盾,0,0,0,1,1,1,1,1,0,1,1,25,1200,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9904,等同治疗量20%的护盾,0,0,0,1,0,1,1,1,0,1,1,25,10000,2000,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9905,等同治疗量21%的护盾,0,0,0,1,0,1,1,1,0,1,1,25,10000,2100,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9906,等同治疗量22%的护盾,0,0,0,1,0,1,1,1,0,1,1,25,10000,2200,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9907,等同治疗量23%的护盾,0,0,0,1,0,1,1,1,0,1,1,25,10000,2300,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9908,自身血量的5%护盾,0,0,0,1,1,1,1,1,0,1,1,25,500,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9909,自身血量的10%护盾,0,0,0,1,1,1,1,1,0,1,1,25,1000,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9910,自身血量的15%护盾,0,0,0,1,1,1,1,1,0,1,1,25,1500,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9911,自身血量的20%护盾,0,0,0,1,1,1,1,1,0,1,1,25,2000,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10001,10%物伤,0,0,0,1,1,1,1,1,0,1,1,10,10000,16,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002,15%物伤,0,0,0,1,1,1,1,1,0,1,1,10,10000,16,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003,20%物伤,0,0,0,1,1,1,1,1,0,1,1,10,10000,16,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10101,10%法伤,0,0,0,1,1,1,1,1,0,1,1,10,10000,17,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10102,15%法伤,0,0,0,1,1,1,1,1,0,1,1,10,10000,17,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10103,20%法伤,0,0,0,1,1,1,1,1,0,1,1,10,10000,17,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10201,无法复活，可驱散,0,0,0,1,1,1,1,1,0,2,1,20,10000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11101,神器1-流血buff-等级1,1,1,0,1,1,1,1,1,0,1,15,1,10000,3,58,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11102,神器1-流血buff-等级2,1,1,0,1,1,1,1,1,0,1,15,1,10000,3,256,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11103,神器1-流血buff-等级3,1,1,0,1,1,1,1,1,0,1,15,1,10000,3,635,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11104,神器1-流血buff-等级4,1,1,0,1,1,1,1,1,0,1,15,1,10000,3,935,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11105,神器1-流血buff-等级5,1,1,0,1,1,1,1,1,0,1,15,1,10000,3,1153,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11106,神器1-流血buff-等级6,1,1,0,1,1,1,1,1,0,1,15,1,10000,3,2563,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11107,神器1-流血buff-等级7,1,1,0,1,1,1,1,1,0,1,15,1,10000,3,4065,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11108,神器1-流血buff-等级8,1,1,0,1,1,1,1,1,0,1,15,1,10000,3,5256,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11109,神器1-流血buff-等级9,1,1,0,1,1,1,1,1,0,1,15,1,10000,3,7364,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11110,神器1-流血buff-等级10,1,1,0,1,1,1,1,1,0,1,15,1,10000,3,9311,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
