resindex,bindex0,eindex0,time0,bindex1,eindex1,time1,bindex2,eindex2,time2,bindex3,eindex3,time3,bindex4,eindex4,time4,bindex5,eindex5,time5,bindex6,eindex6,time6,bindex7,eindex7,time7,bindex8,eindex8,time8,bindex9,eindex9,time9,bindex10,eindex10,time10,bindex11,eindex11,time11,bindex12,eindex12,time12,bindex13,eindex13,time13,bindex14,eindex14,time14,bindex15,eindex15,time15,bindex16,eindex16,time16,bindex17,eindex17,time17,bindex18,eindex18,time18,showYPosOffset,showXPosOffset,HPScale
314,0,7,100,8,13,100,32,37,100,38,60,120,14,22,100,23,31,80,38,38,95,61,75,95,8,15,60,21,27,100,0,4,80,4,8,80,21,27,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,130,-5,100
401,0,7,100,8,15,100,26,39,100,80,95,120,16,25,100,26,39,80,80,80,95,90,109,95,8,15,60,40,55,100,56,60,80,61,64,80,65,79,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,150,10,100
402,0,7,100,8,15,120,55,65,100,66,81,120,16,24,100,34,49,80,66,66,95,83,95,95,8,15,60,25,36,100,40,42,80,42,42,80,43,54,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,150,10,100
403,0,7,100,8,15,100,51,56,100,57,72,120,16,23,100,37,18,80,57,57,95,73,86,95,8,15,60,24,36,100,37,44,80,45,46,80,47,50,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,150,0,100
404,0,7,100,8,15,100,52,62,100,63,78,120,16,25,120,38,51,80,63,63,95,79,92,95,8,15,60,26,37,100,0,4,80,4,8,80,26,37,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,160,0,100
451,0,11,100,12,15,100,38,49,100,50,64,120,12,26,120,32,37,80,50,50,95,83,96,95,12,15,60,38,49,100,12,15,80,15,15,80,15,16,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,145,0,100
405,0,7,100,8,15,100,56,66,100,67,82,120,16,25,100,37,55,80,67,67,95,83,96,95,8,15,60,26,36,100,37,43,80,44,48,80,49,55,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,145,0,100
406,0,7,100,8,15,100,41,51,100,68,82,120,16,25,100,52,67,80,68,68,95,83,96,95,8,15,60,26,40,100,41,51,80,4,8,80,26,40,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,160,0,100
407,0,7,100,8,15,100,0,7,100,74,89,120,16,22,100,62,73,80,74,74,95,90,103,95,8,15,60,36,50,100,51,52,80,53,53,80,54,61,80,23,35,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,160,-5,100
408,0,7,100,8,15,100,60,76,100,77,92,120,16,28,100,43,59,80,77,77,95,90,106,95,8,15,60,33,42,100,0,4,80,4,8,80,33,42,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,180,0,100
409,0,7,100,8,15,100,23,35,100,76,91,120,16,22,100,60,75,80,76,76,95,92,105,95,8,15,60,36,47,100,48,59,80,4,8,80,36,47,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,150,0,100
410,0,7,100,8,15,100,57,65,135,66,84,120,16,24,100,41,56,80,66,66,95,85,99,95,8,15,60,25,40,100,0,4,80,4,8,80,30,44,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,145,0,100
411,0,7,100,8,15,100,47,58,100,59,74,120,16,24,140,47,58,80,59,59,95,75,88,95,8,15,60,25,36,100,37,46,80,4,8,80,25,36,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,150,0,100
412,0,7,100,8,15,100,59,68,100,69,84,120,16,26,100,59,68,80,69,69,95,85,98,95,8,15,60,27,36,100,37,45,80,45,52,80,53,58,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,155,0,100
413,0,7,100,8,15,100,50,57,100,58,73,120,16,23,100,36,49,80,58,58,95,74,87,95,8,15,60,24,35,100,0,4,80,4,8,80,24,35,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,105,0,100
414,0,7,100,8,15,100,47,54,100,55,70,120,16,24,100,36,46,80,55,55,95,71,84,95,8,15,60,25,35,100,0,4,80,4,8,80,25,35,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,145,0,100
415,0,7,100,8,15,100,0,15,100,69,84,120,16,26,100,40,52,80,69,69,95,85,98,95,8,15,60,27,39,100,53,58,80,59,59,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,145,0,100
501,0,7,100,8,15,100,0,7,150,73,88,120,16,23,100,38,61,80,73,73,95,89,102,95,8,15,60,16,23,100,62,67,80,67,67,80,68,72,80,24,37,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,150,0,100
502,0,7,100,8,15,100,0,7,100,66,81,120,16,24,100,16,24,80,66,66,95,82,95,95,8,15,60,25,36,100,37,43,80,44,44,80,25,36,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,150,0,100
512,0,7,100,8,15,100,0,7,100,66,81,120,16,24,100,16,24,80,66,66,95,82,95,95,8,15,60,25,36,100,37,43,80,44,44,80,25,36,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,150,0,100
503,0,7,100,8,15,100,27,37,100,81,96,120,16,26,100,27,37,80,81,81,95,97,110,95,8,15,60,38,51,100,52,64,80,65,69,80,70,80,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,150,0,100
504,0,7,100,8,15,100,44,70,100,91,106,120,16,23,100,31,43,80,91,91,95,107,121,95,8,15,60,24,30,100,71,86,80,87,88,80,89,90,80,44,56,80,56,64,80,65,70,80,0,0,80,0,0,80,0,0,80,150,0,100
505,0,11,100,12,19,100,0,11,100,67,82,120,20,32,100,54,66,190,67,67,95,83,96,95,12,15,60,33,44,100,44,44,190,60,69,80,47,53,80,44,56,80,56,64,80,65,70,80,0,0,80,0,0,80,0,0,80,150,0,100
506,0,7,100,8,15,100,54,71,100,72,87,120,16,26,100,31,43,80,72,72,95,88,101,95,8,15,60,27,37,100,38,42,80,43,46,80,47,53,80,44,56,80,56,64,80,65,70,80,0,0,80,0,0,80,0,0,80,150,0,100
507,0,7,100,8,15,100,0,15,100,104,119,120,16,25,100,31,43,80,104,104,95,120,133,95,8,15,60,60,84,100,26,34,80,35,42,80,43,59,80,85,102,80,103,103,80,134,151,80,0,0,80,0,0,80,0,0,80,150,0,100
541,0,7,100,8,15,100,44,70,100,91,106,120,16,23,100,31,43,80,91,91,95,107,121,95,8,15,60,24,30,100,71,86,80,87,88,80,89,90,80,44,56,80,56,64,80,65,70,80,0,0,80,0,0,80,0,0,80,150,0,100
600,0,7,100,8,15,100,48,62,100,88,103,120,16,24,100,16,24,80,88,88,95,104,117,95,8,15,60,48,62,100,63,81,80,82,85,80,86,87,80,25,28,80,29,34,80,35,47,80,0,0,80,0,0,80,0,0,80,160,0,100
601,0,7,100,8,15,100,52,66,100,92,107,120,16,24,100,16,24,80,92,92,95,108,121,95,8,15,60,52,66,100,67,85,80,86,89,80,90,91,80,25,28,80,29,34,80,35,51,80,0,0,80,0,0,80,0,0,80,160,0,100
602,0,7,100,8,15,100,41,64,100,102,117,120,16,25,100,75,101,80,102,102,95,118,131,95,8,15,60,26,40,100,41,46,80,46,53,80,54,64,80,65,74,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,160,0,100
603,0,7,100,8,15,100,0,7,100,123,138,120,16,22,100,16,22,80,123,123,95,139,152,95,8,15,60,23,49,100,78,103,80,104,104,80,105,122,80,50,64,80,65,77,80,0,0,80,0,0,80,0,0,80,0,0,80,180,0,100
604,0,7,100,8,15,100,0,7,100,64,79,120,16,29,100,43,63,80,64,64,95,80,93,95,8,15,60,24,34,100,30,33,80,34,40,80,41,42,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,135,0,100
605,0,7,100,8,15,100,34,52,100,57,73,120,16,26,100,38,56,80,57,57,95,74,88,95,8,15,60,27,37,100,0,4,80,4,8,80,27,37,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,140,0,100
606,0,7,100,8,15,100,35,44,100,45,60,120,16,24,100,35,44,80,45,45,95,61,74,95,8,15,60,25,34,100,0,4,80,4,8,80,25,34,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,140,0,100
607,0,7,100,8,15,100,0,15,100,71,86,120,16,27,100,53,70,80,71,71,95,87,100,95,8,15,60,28,39,100,40,52,80,4,8,80,28,39,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,140,0,100
608,0,7,100,8,15,100,0,7,100,88,103,120,16,26,100,66,87,80,88,88,95,104,117,95,8,15,60,27,53,100,54,65,80,4,8,80,27,53,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,140,0,100
609,0,7,120,8,15,100,0,7,100,84,99,120,16,27,100,42,57,80,84,84,95,100,113,95,8,15,60,28,41,100,58,64,80,65,65,80,66,83,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,140,0,100
701,0,11,100,12,19,100,43,55,100,112,131,120,20,30,100,79,95,160,112,112,95,132,145,95,12,15,60,31,42,100,43,46,80,47,47,80,48,55,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,140,0,100
702,0,7,100,8,15,100,68,84,100,85,100,120,16,28,100,42,67,80,85,85,95,101,114,95,8,15,60,29,41,100,43,46,80,47,47,80,48,55,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,140,0,100
703,0,7,100,8,15,100,0,7,100,76,91,120,16,28,100,44,58,80,76,76,95,92,105,95,8,15,60,29,43,100,59,64,80,65,65,80,66,75,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,140,0,100
711,0,11,100,12,19,100,43,55,100,112,131,120,56,78,100,79,95,80,112,112,95,61,74,95,12,15,60,31,42,100,43,46,80,47,47,80,48,55,80,96,101,80,102,102,80,103,111,80,0,0,80,0,0,80,0,0,80,140,0,100
801,0,7,100,8,15,100,0,7,100,0,0,120,16,24,100,16,24,80,0,0,95,0,0,95,8,15,60,25,36,100,37,54,80,55,65,80,66,77,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,160,10,100
802,0,11,100,12,19,100,0,11,100,0,7,120,20,29,100,44,57,80,0,0,95,0,0,95,12,15,60,30,43,100,0,4,80,4,8,80,30,43,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,170,0,100
803,0,11,100,12,19,100,0,11,100,68,87,120,20,29,100,0,0,80,0,0,95,0,0,95,0,0,60,30,47,100,48,60,80,60,60,80,61,67,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,270,0,100
807,0,11,100,12,19,100,59,71,100,93,108,120,20,31,100,72,92,80,93,93,95,109,122,95,12,15,60,32,45,100,46,58,80,59,71,80,32,45,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,145,0,100
808,0,7,120,8,15,100,0,15,100,104,119,120,16,25,100,51,72,80,104,104,95,120,133,95,8,15,60,26,50,100,73,90,80,35,42,80,43,59,80,85,102,80,103,103,80,134,151,80,0,0,80,0,0,80,0,0,80,150,0,100
811,0,11,120,13,20,100,0,11,100,98,113,120,21,29,100,46,63,80,98,98,95,114,128,95,13,15,60,30,45,100,64,73,80,74,79,80,80,83,80,84,97,80,103,103,80,134,151,80,0,0,80,0,0,80,0,0,80,150,0,100
901,0,9,100,8,15,100,0,7,100,64,79,120,16,25,100,26,43,80,64,64,95,80,93,95,8,15,60,26,43,100,44,56,80,56,56,80,57,63,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,200,0,100
902,0,7,100,8,15,100,0,7,100,64,79,120,16,25,100,26,43,80,64,64,95,80,93,95,8,15,60,26,43,100,44,56,80,56,56,80,57,63,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,200,0,100
001,0,11,120,12,19,100,0,7,100,64,79,120,16,25,100,26,43,80,64,64,95,80,93,95,12,15,60,26,43,100,44,56,80,56,56,80,57,63,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,200,0,100
903,0,3,600,0,3,600,0,3,600,0,3,600,0,3,600,0,3,600,0,3,600,0,3,150,0,3,150,0,3,150,0,3,150,0,3,150,0,3,150,0,3,150,0,3,150,0,3,150,0,3,150,0,3,150,0,3,150,100,0,100
904,0,3,600,0,3,600,0,3,600,0,3,600,0,3,600,0,3,600,0,3,600,0,3,150,0,3,150,0,3,150,0,3,150,0,3,150,0,3,150,0,3,150,0,3,150,0,3,150,0,3,150,0,3,150,0,3,150,100,0,100
805,0,11,120,12,19,100,0,11,100,68,87,120,20,29,100,0,0,80,0,0,95,0,0,95,0,0,60,30,47,100,48,60,80,60,60,80,61,67,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,270,0,100
807,0,11,120,12,19,100,59,71,100,93,108,120,20,31,100,72,92,80,93,93,95,109,122,95,12,15,60,32,45,100,46,58,80,59,71,80,32,45,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,145,0,100
