herolv,lvexp,totolexp,costitem1,costnum1,costitem2,costnum2,costitem3,costnum3,reset_item1,reset_num1,reset_item2,reset_num2,reset_item3,reset_num3,reset_costid,reset_costnum
29,9674,18600,91000001,11776,91000041,2872,0,0,91000001,143340,91000041,37202,91000044,50,91000002,2400
30,10446,20120,91000001,12050,91000041,3036,0,0,91000001,155390,91000041,40238,91000044,50,91000002,2400
31,11194,21640,91000001,12814,91000041,3210,0,0,91000001,168204,91000041,43448,91000044,50,91000002,2400
32,11966,23160,91000001,13094,91000041,3390,0,0,91000001,181298,91000041,46838,91000044,50,91000002,2400
33,12714,24680,91000001,13372,91000041,3578,0,0,91000001,194670,91000041,50416,91000044,50,91000002,2400
34,13486,26200,91000001,14174,91000041,3774,0,0,91000001,208844,91000041,54190,91000044,50,91000002,2400
35,14234,27720,91000001,14458,91000041,3978,0,0,91000001,223302,91000041,58168,91000044,50,91000002,2400
36,15006,29240,91000001,14742,91000041,4192,0,0,91000001,238044,91000041,62360,91000044,50,91000002,2400
37,15754,30760,91000001,15580,91000041,4416,0,0,91000001,253624,91000041,66776,91000044,50,91000002,2400
38,16526,32280,91000001,15870,91000041,4650,0,0,91000001,269494,91000041,71426,91000044,50,91000002,2400
39,17274,33800,91000001,16736,91000041,4892,0,0,91000001,286230,91000041,76318,91000044,50,91000002,2400
40,23456,40730,91000001,17032,91000041,5146,0,0,91000001,303262,91000041,81464,91000044,50,91000002,2400
41,18794,42250,91000001,17330,91000041,5412,91000044,100,91000001,320592,91000041,86876,91000044,150,91000002,2400
42,26599,45393,91000001,18232,91000041,5690,0,0,91000001,338824,91000041,92566,91000044,150,91000002,2400
43,21937,48536,91000001,18538,91000041,5962,0,0,91000001,357362,91000041,98528,91000044,150,91000002,2400
44,29742,51679,91000001,18842,91000041,6248,0,0,91000001,376204,91000041,104776,91000044,150,91000002,2400
45,25080,54822,91000001,19782,91000041,6544,0,0,91000001,395986,91000041,111320,91000044,150,91000002,2400
46,32885,57965,91000001,20096,91000041,6852,0,0,91000001,416082,91000041,118172,91000044,150,91000002,2400
47,28223,61108,91000001,20408,91000041,7174,0,0,91000001,436490,91000041,125346,91000044,150,91000002,2400
48,36028,64251,91000001,21390,91000041,7508,0,0,91000001,457880,91000041,132854,91000044,150,91000002,2400
49,31366,67394,91000001,21712,91000041,7856,0,0,91000001,479592,91000041,140710,91000044,150,91000002,2400
50,43094,74460,91000001,22036,91000041,8218,0,0,91000001,501628,91000041,148928,91000044,150,91000002,2400
51,38432,81526,91000001,23058,91000041,8596,0,0,91000001,524686,91000041,157524,91000044,150,91000002,2400
52,50160,88592,91000001,24678,91000041,9484,0,0,91000001,549364,91000041,167008,91000044,150,91000002,2400
53,45498,95658,91000001,27078,91000041,10382,0,0,91000001,576442,91000041,177390,91000044,150,91000002,2400
54,57226,102724,91000001,28712,91000041,11316,0,0,91000001,605154,91000041,188706,91000044,150,91000002,2400
55,52564,109790,91000001,30328,91000041,12286,0,0,91000001,635482,91000041,200992,91000044,150,91000002,2400
56,64292,116856,91000001,32864,91000041,13294,0,0,91000001,668346,91000041,214286,91000044,150,91000002,2400
57,59630,123922,91000001,34482,91000041,14338,0,0,91000001,702828,91000041,228624,91000044,150,91000002,2400
58,71358,130988,91000001,36078,91000041,15420,0,0,91000001,738906,91000041,244044,91000044,150,91000002,2400
59,66696,138054,91000001,38724,91000041,16538,0,0,91000001,777630,91000041,260582,91000044,150,91000002,2400
60,78424,145120,91000001,40310,91000041,17696,0,0,91000001,817940,91000041,278278,91000044,150,91000002,2400
61,73762,152186,91000001,41868,91000041,18894,91000044,250,91000001,859808,91000041,297172,91000044,400,91000002,2400
62,85490,159252,91000001,44602,91000041,20000,0,0,91000001,904410,91000041,317172,91000044,400,91000002,2400
63,80828,166318,91000001,46140,91000041,22000,0,0,91000001,950550,91000041,339172,91000044,400,91000002,2400
64,92556,173384,91000001,48934,91000041,22000,0,0,91000001,999484,91000041,361172,91000044,400,91000002,2400
65,87894,180450,91000001,50444,91000041,24000,0,0,91000001,1049928,91000041,385172,91000044,400,91000002,2400
66,99622,187516,91000001,51920,91000041,26000,0,0,91000001,1101848,91000041,411172,91000044,400,91000002,2400
67,94960,194582,91000001,54764,91000041,26000,0,0,91000001,1156612,91000041,437172,91000044,400,91000002,2400
68,106688,201648,91000001,56202,91000041,28000,0,0,91000001,1212814,91000041,465172,91000044,400,91000002,2400
69,102026,208714,91000001,57604,91000041,30000,0,0,91000001,1270418,91000041,495172,91000044,400,91000002,2400
70,113754,215780,91000001,60478,91000041,30000,0,0,91000001,1330896,91000041,525172,91000044,400,91000002,2400
71,109092,222846,91000001,61834,91000041,32000,0,0,91000001,1392730,91000041,557172,91000044,400,91000002,2400
72,120820,229912,91000001,63152,91000041,34000,0,0,91000001,1455882,91000041,591172,91000044,400,91000002,2400
73,116158,236978,91000001,66038,91000041,36000,0,0,91000001,1521920,91000041,627172,91000044,400,91000002,2400
74,127886,244044,91000001,67306,91000041,36000,0,0,91000001,1589226,91000041,663172,91000044,400,91000002,2400
75,123224,251110,91000001,70204,91000041,38000,0,0,91000001,1659430,91000041,701172,91000044,400,91000002,2400
76,134952,258176,91000001,71418,91000041,40000,0,0,91000001,1730848,91000041,741172,91000044,400,91000002,2400
77,130290,265242,91000001,72592,91000041,42000,0,0,91000001,1803440,91000041,783172,91000044,400,91000002,2400
78,142018,272308,91000001,75478,91000041,42000,0,0,91000001,1878918,91000041,825172,91000044,400,91000002,2400
79,137356,279374,91000001,76594,91000041,44000,0,0,91000001,1955512,91000041,869172,91000044,400,91000002,2400
80,149084,286440,91000001,77668,91000041,46000,0,0,91000001,2033180,91000041,915172,91000044,400,91000002,2400
81,144422,293506,91000001,80530,91000041,48000,91000044,500,91000001,2113710,91000041,963172,91000044,900,91000002,2400
82,156150,300572,91000001,81544,91000041,50000,0,0,91000001,2195254,91000041,1013172,91000044,900,91000002,2400
83,151488,307638,91000001,84388,91000041,52000,0,0,91000001,2279642,91000041,1065172,91000044,900,91000002,2400
84,163216,314704,91000001,85334,91000041,52000,0,0,91000001,2364976,91000041,1117172,91000044,900,91000002,2400
85,158554,321770,91000001,86234,91000041,54000,0,0,91000001,2451210,91000041,1171172,91000044,900,91000002,2400
86,170282,328836,91000001,89020,91000041,56000,0,0,91000001,2540230,91000041,1227172,91000044,900,91000002,2400
87,165620,335902,91000001,89838,91000041,58000,0,0,91000001,2630068,91000041,1285172,91000044,900,91000002,2400
88,177348,342968,91000001,90600,91000041,60000,0,0,91000001,2720668,91000041,1345172,91000044,900,91000002,2400
89,172686,350034,91000001,93288,91000041,60000,0,0,91000001,2813956,91000041,1405172,91000044,900,91000002,2400
90,184414,357100,91000001,93938,91000041,62000,0,0,91000001,2907894,91000041,1467172,91000044,900,91000002,2400
91,179752,364166,91000001,96526,91000041,64000,0,0,91000001,3004420,91000041,1531172,91000044,900,91000002,2400
92,191480,371232,91000001,97028,91000041,66000,0,0,91000001,3101448,91000041,1597172,91000044,900,91000002,2400
93,186818,378298,91000001,97432,91000041,68000,0,0,91000001,3198880,91000041,1665172,91000044,900,91000002,2400
94,198546,385364,91000001,99760,91000041,70000,0,0,91000001,3298640,91000041,1735172,91000044,900,91000002,2400
95,193884,392430,91000001,99926,91000041,70000,0,0,91000001,3398566,91000041,1805172,91000044,900,91000002,2400
96,205612,399496,91000001,99940,91000041,72000,0,0,91000001,3498506,91000041,1877172,91000044,900,91000002,2400
97,200950,406562,91000001,101812,91000041,74000,0,0,91000001,3600318,91000041,1951172,91000044,900,91000002,2400
98,212678,413628,91000001,101432,91000041,74000,0,0,91000001,3701750,91000041,2025172,91000044,900,91000002,2400
99,208016,420694,91000001,102820,91000041,76000,0,0,91000001,3804570,91000041,2101172,91000044,900,91000002,2400
100,219744,427760,91000001,101886,91000041,76000,0,0,91000001,3906456,91000041,2177172,91000044,900,91000002,2400
101,215082,434826,91000001,100608,91000041,78000,91000044,1200,91000001,4007064,91000041,2255172,91000044,2100,91000002,2400
102,226810,441892,91000001,106986,91000041,82000,0,0,91000001,4114050,91000041,2337172,91000044,2100,91000002,2400
103,222148,448958,91000001,111710,91000041,88000,0,0,91000001,4225760,91000041,2425172,91000044,2100,91000002,2400
104,233876,456024,91000001,116774,91000041,92000,0,0,91000001,4342534,91000041,2517172,91000044,2100,91000002,2400
105,229214,463090,91000001,122194,91000041,98000,0,0,91000001,4464728,91000041,2615172,91000044,2100,91000002,2400
106,240942,470156,91000001,127992,91000041,106000,0,0,91000001,4592720,91000041,2721172,91000044,2100,91000002,2400
107,236280,477222,91000001,134186,91000041,112000,0,0,91000001,4726906,91000041,2833172,91000044,2100,91000002,2400
108,248008,484288,91000001,140792,91000041,120000,0,0,91000001,4867698,91000041,2953172,91000044,2100,91000002,2400
109,243346,491354,91000001,150668,91000041,128000,0,0,91000001,5018366,91000041,3081172,91000044,2100,91000002,2400
110,255074,498420,91000001,158288,91000041,138000,0,0,91000001,5176654,91000041,3219172,91000044,2100,91000002,2400
111,250412,505486,91000001,166370,91000041,148000,0,0,91000001,5343024,91000041,3367172,91000044,2100,91000002,2400
112,262140,512552,91000001,174926,91000041,158000,0,0,91000001,5517950,91000041,3525172,91000044,2100,91000002,2400
113,257478,519618,91000001,183964,91000041,168000,0,0,91000001,5701914,91000041,3693172,91000044,2100,91000002,2400
114,269206,526684,91000001,193484,91000041,180000,0,0,91000001,5895398,91000041,3873172,91000044,2100,91000002,2400
115,264544,533750,91000001,203486,91000041,194000,0,0,91000001,6098884,91000041,4067172,91000044,2100,91000002,2400
116,276272,540816,91000001,213968,91000041,206000,0,0,91000001,6312852,91000041,4273172,91000044,2100,91000002,2400
117,271610,547882,91000001,224918,91000041,222000,0,0,91000001,6537770,91000041,4495172,91000044,2100,91000002,2400
118,283338,554948,91000001,240784,91000041,236000,0,0,91000001,6778554,91000041,4731172,91000044,2100,91000002,2400
119,278676,562014,91000001,252848,91000041,254000,0,0,91000001,7031402,91000041,4985172,91000044,2100,91000002,2400
120,290404,569080,91000001,265332,91000041,270000,0,0,91000001,7296734,91000041,5255172,91000044,2100,91000002,2400
121,285742,576146,91000001,278000,91000041,288000,91000044,3000,91000001,7574734,91000041,5543172,91000044,5100,91000002,2400
122,297470,583212,91000001,290000,91000041,308000,0,0,91000001,7864734,91000041,5851172,91000044,5100,91000002,2400
123,292808,590278,91000001,304974,91000041,328000,0,0,91000001,8169708,91000041,6179172,91000044,5100,91000002,2400
124,304536,597344,91000001,318786,91000041,348000,0,0,91000001,8488494,91000041,6527172,91000044,5100,91000002,2400
125,299874,604410,91000001,332824,91000041,370000,0,0,91000001,8821318,91000041,6897172,91000044,5100,91000002,2400
126,311602,611476,91000001,347036,91000041,392000,0,0,91000001,9168354,91000041,7289172,91000044,5100,91000002,2400
127,306940,618542,91000001,368062,91000041,414000,0,0,91000001,9536416,91000041,7703172,91000044,5100,91000002,2400
128,318668,625608,91000001,382732,91000041,438000,0,0,91000001,9919148,91000041,8141172,91000044,5100,91000002,2400
129,314006,632674,91000001,397418,91000041,462000,0,0,91000001,10316566,91000041,8603172,91000044,5100,91000002,2400
130,325734,639740,91000001,412064,91000041,488000,0,0,91000001,10728630,91000041,9091172,91000044,5100,91000002,2400
131,321072,646806,91000001,426622,91000041,512000,0,0,91000001,11155252,91000041,9603172,91000044,5100,91000002,2400
132,332800,653872,91000001,441040,91000041,538000,0,0,91000001,11596292,91000041,10141172,91000044,5100,91000002,2400
133,328138,660938,91000001,455270,91000041,566000,0,0,91000001,12051562,91000041,10707172,91000044,5100,91000002,2400
134,339866,668004,91000001,469270,91000041,592000,0,0,91000001,12520832,91000041,11299172,91000044,5100,91000002,2400
135,335204,675070,91000001,483000,91000041,620000,0,0,91000001,13003832,91000041,11919172,91000044,5100,91000002,2400
136,346932,682136,91000001,505452,91000041,646000,0,0,91000001,13509284,91000041,12565172,91000044,5100,91000002,2400
137,342270,689202,91000001,518784,91000041,674000,0,0,91000001,14028068,91000041,13239172,91000044,5100,91000002,2400
138,353998,696268,91000001,531750,91000041,704000,0,0,91000001,14559818,91000041,13943172,91000044,5100,91000002,2400
139,349336,703334,91000001,544334,91000041,732000,0,0,91000001,15104152,91000041,14675172,91000044,5100,91000002,2400
140,361064,710400,91000001,556516,91000041,760000,0,0,91000001,15660668,91000041,15435172,91000044,5100,91000002,2400
141,356402,717466,91000001,568290,91000041,790000,91000044,6000,91000001,16228958,91000041,16225172,91000044,11100,91000002,2400
142,368130,724532,91000001,579646,91000041,818000,0,0,91000001,16808604,91000041,17043172,91000044,11100,91000002,2400
143,363468,731598,91000001,590584,91000041,846000,0,0,91000001,17399188,91000041,17889172,91000044,11100,91000002,2400
144,375196,738664,91000001,601106,91000041,874000,0,0,91000001,18000294,91000041,18763172,91000044,11100,91000002,2400
145,370534,745730,91000001,622130,91000041,902000,0,0,91000001,18622424,91000041,19665172,91000044,11100,91000002,2400
146,382262,752796,91000001,632010,91000041,930000,0,0,91000001,19254434,91000041,20595172,91000044,11100,91000002,2400
147,377600,759862,91000001,641488,91000041,958000,0,0,91000001,19895922,91000041,21553172,91000044,11100,91000002,2400
148,389328,766928,91000001,650576,91000041,986000,0,0,91000001,20546498,91000041,22539172,91000044,11100,91000002,2400
149,384666,773994,91000001,659292,91000041,1014000,0,0,91000001,21205790,91000041,23553172,91000044,11100,91000002,2400
150,396394,781060,91000001,667646,91000041,1042000,0,0,91000001,21873436,91000041,24595172,91000044,11100,91000002,2400
151,391732,788126,91000001,675656,91000041,1070000,0,0,91000001,22549092,91000041,25665172,91000044,11100,91000002,2400
152,403460,795192,91000001,683340,91000041,1098000,0,0,91000001,23232432,91000041,26763172,91000044,11100,91000002,2400
153,398798,802258,91000001,690712,91000041,1126000,0,0,91000001,23923144,91000041,27889172,91000044,11100,91000002,2400
154,410526,809324,91000001,697792,91000041,1154000,0,0,91000001,24620936,91000041,29043172,91000044,11100,91000002,2400
155,405864,816390,91000001,704598,91000041,1184000,0,0,91000001,25325534,91000041,30227172,91000044,11100,91000002,2400
156,417592,823456,91000001,723620,91000041,1212000,0,0,91000001,26049154,91000041,31439172,91000044,11100,91000002,2400
157,412930,830522,91000001,730034,91000041,1240000,0,0,91000001,26779188,91000041,32679172,91000044,11100,91000002,2400
158,424658,837588,91000001,736000,91000041,1270000,0,0,91000001,27515188,91000041,33949172,91000044,11100,91000002,2400
159,419996,844654,91000001,742188,91000041,1300000,0,0,91000001,28257376,91000041,35249172,91000044,11100,91000002,2400
160,431724,851720,91000001,747960,91000041,1328000,0,0,91000001,29005336,91000041,36577172,91000044,11100,91000002,2400
161,427062,858786,91000001,753546,91000041,1358000,91000044,12000,91000001,29758882,91000041,37935172,91000044,23100,91000002,2400
162,438790,865852,91000001,758962,91000041,1388000,0,0,91000001,30517844,91000041,39323172,91000044,23100,91000002,2400
163,434128,872918,91000001,764222,91000041,1418000,0,0,91000001,31282066,91000041,40741172,91000044,23100,91000002,2400
164,445856,879984,91000001,769334,91000041,1446000,0,0,91000001,32051400,91000041,42187172,91000044,23100,91000002,2400
165,441194,887050,91000001,774316,91000041,1476000,0,0,91000001,32825716,91000041,43663172,91000044,23100,91000002,2400
166,452922,894116,91000001,792608,91000041,1504000,0,0,91000001,33618324,91000041,45167172,91000044,23100,91000002,2400
167,448260,901182,91000001,797436,91000041,1534000,0,0,91000001,34415760,91000041,46701172,91000044,23100,91000002,2400
168,459988,908248,91000001,803418,91000041,1564000,0,0,91000001,35219178,91000041,48265172,91000044,23100,91000002,2400
169,455326,915314,91000001,806788,91000041,1594000,0,0,91000001,36025966,91000041,49859172,91000044,23100,91000002,2400
170,467054,922380,91000001,811330,91000041,1626000,0,0,91000001,36837296,91000041,51485172,91000044,23100,91000002,2400
171,462392,929446,91000001,815794,91000041,1656000,0,0,91000001,37653090,91000041,53141172,91000044,23100,91000002,2400
172,474120,936512,91000001,820188,91000041,1688000,0,0,91000001,38473278,91000041,54829172,91000044,23100,91000002,2400
173,469458,943578,91000001,824516,91000041,1720000,0,0,91000001,39297794,91000041,56549172,91000044,23100,91000002,2400
174,481186,950644,91000001,828788,91000041,1752000,0,0,91000001,40126582,91000041,58301172,91000044,23100,91000002,2400
175,476524,957710,91000001,833008,91000041,1784000,0,0,91000001,40959590,91000041,60085172,91000044,23100,91000002,2400
176,488252,964776,91000001,837180,91000041,1818000,0,0,91000001,41796770,91000041,61903172,91000044,23100,91000002,2400
177,483590,971842,91000001,855570,91000041,1852000,0,0,91000001,42652340,91000041,63755172,91000044,23100,91000002,2400
178,495318,978908,91000001,859734,91000041,1886000,0,0,91000001,43512074,91000041,65641172,91000044,23100,91000002,2400
179,490656,985974,91000001,863866,91000041,1920000,0,0,91000001,44375940,91000041,67561172,91000044,23100,91000002,2400
180,502384,993040,91000001,867968,91000041,1956000,0,0,91000001,45243908,91000041,69517172,91000044,23100,91000002,2400
181,497722,1000106,91000001,872044,91000041,1990000,91000044,25000,91000001,46115952,91000041,71507172,91000044,48100,91000002,2400
182,509450,1007172,91000001,876098,91000041,2028000,0,0,91000001,46992050,91000041,73535172,91000044,48100,91000002,2400
183,504788,1014238,91000001,880134,91000041,2062000,0,0,91000001,47872184,91000041,75597172,91000044,48100,91000002,2400
184,516516,1021304,91000001,884154,91000041,2096000,0,0,91000001,48756338,91000041,77693172,91000044,48100,91000002,2400
185,511854,1028370,91000001,888162,91000041,2132000,0,0,91000001,49644500,91000041,79825172,91000044,48100,91000002,2400
186,523582,1035436,91000001,892158,91000041,2168000,0,0,91000001,50536658,91000041,81993172,91000044,48100,91000002,2400
187,518920,1042502,91000001,896146,91000041,2204000,0,0,91000001,51432804,91000041,84197172,91000044,48100,91000002,2400
188,530648,1049568,91000001,915130,91000041,2242000,0,0,91000001,52347934,91000041,86439172,91000044,48100,91000002,2400
189,525986,1056634,91000001,919172,91000041,2280000,0,0,91000001,53267106,91000041,88719172,91000044,48100,91000002,2400
190,537714,1063700,91000001,923212,91000041,2318000,0,0,91000001,54190318,91000041,91037172,91000044,48100,91000002,2400
191,533052,1070766,91000001,927252,91000041,2356000,0,0,91000001,55117570,91000041,93393172,91000044,48100,91000002,2400
192,544780,1077832,91000001,931292,91000041,2396000,0,0,91000001,56048862,91000041,95789172,91000044,48100,91000002,2400
193,540118,1084898,91000001,935334,91000041,2436000,0,0,91000001,56984196,91000041,98225172,91000044,48100,91000002,2400
194,551846,1091964,91000001,939378,91000041,2478000,0,0,91000001,57923574,91000041,100703172,91000044,48100,91000002,2400
195,547184,1099030,91000001,943428,91000041,2518000,0,0,91000001,58867002,91000041,103221172,91000044,48100,91000002,2400
196,558912,1106096,91000001,947482,91000041,2560000,0,0,91000001,59814484,91000041,105781172,91000044,48100,91000002,2400
197,554250,1113162,91000001,951542,91000041,2604000,0,0,91000001,60766026,91000041,108385172,91000044,48100,91000002,2400
198,565978,1120228,91000001,955610,91000041,2646000,0,0,91000001,61721636,91000041,111031172,91000044,48100,91000002,2400
199,561316,1127294,91000001,959686,91000041,2690000,0,0,91000001,62681322,91000041,113721172,91000044,48100,91000002,2400
200,573044,1134360,91000001,979572,91000041,2736000,0,0,91000001,63660894,91000041,116457172,91000044,48100,91000002,2400
201,568382,1141426,91000001,983734,91000041,2782000,91000044,30000,91000001,64644628,91000041,119239172,91000044,78100,91000002,2400
202,580110,1148492,91000001,987906,91000041,2828000,0,0,91000001,65632534,91000041,122067172,91000044,78100,91000002,2400
203,575448,1155558,91000001,992090,91000041,2872000,0,0,91000001,66624624,91000041,124939172,91000044,78100,91000002,2400
204,587176,1162624,91000001,996284,91000041,2916000,0,0,91000001,67620908,91000041,127855172,91000044,78100,91000002,2400
205,582514,1169690,91000001,1000492,91000041,2962000,0,0,91000001,68621400,91000041,130817172,91000044,78100,91000002,2400
206,594242,1176756,91000001,1004712,91000041,3008000,0,0,91000001,69626112,91000041,133825172,91000044,78100,91000002,2400
207,589580,1183822,91000001,1008946,91000041,3056000,0,0,91000001,70635058,91000041,136881172,91000044,78100,91000002,2400
208,601308,1190888,91000001,1013192,91000041,3102000,0,0,91000001,71648250,91000041,139983172,91000044,78100,91000002,2400
209,596646,1197954,91000001,1017454,91000041,3150000,0,0,91000001,72665704,91000041,143133172,91000044,78100,91000002,2400
210,608374,1205020,91000001,1021730,91000041,3200000,0,0,91000001,73687434,91000041,146333172,91000044,78100,91000002,2400
211,603712,1212086,91000001,1026020,91000041,3250000,0,0,91000001,74713454,91000041,149583172,91000044,78100,91000002,2400
212,615440,1219152,91000001,1046944,91000041,3300000,0,0,91000001,75760398,91000041,152883172,91000044,78100,91000002,2400
213,610778,1226218,91000001,1051334,91000041,3352000,0,0,91000001,76811732,91000041,156235172,91000044,78100,91000002,2400
214,622506,1233284,91000001,1055740,91000041,3404000,0,0,91000001,77867472,91000041,159639172,91000044,78100,91000002,2400
215,617844,1240350,91000001,1060164,91000041,3456000,0,0,91000001,78927636,91000041,163095172,91000044,78100,91000002,2400
216,629572,1247416,91000001,1064602,91000041,3510000,0,0,91000001,79992238,91000041,166605172,91000044,78100,91000002,2400
217,624910,1254482,91000001,1069058,91000041,3566000,0,0,91000001,81061296,91000041,170171172,91000044,78100,91000002,2400
218,636638,1261548,91000001,1073532,91000041,3620000,0,0,91000001,82134828,91000041,173791172,91000044,78100,91000002,2400
219,631976,1268614,91000001,1078020,91000041,3678000,0,0,91000001,83212848,91000041,177469172,91000044,78100,91000002,2400
220,643704,1275680,91000001,1082528,91000041,3734000,0,0,91000001,84295376,91000041,181203172,91000044,78100,91000002,2400
221,639042,1282746,91000001,1087052,91000041,3792000,91000044,40000,91000001,85382428,91000041,184995172,91000044,118100,91000002,2400
222,650770,1289812,91000001,1091596,91000041,3852000,0,0,91000001,86474024,91000041,188847172,91000044,118100,91000002,2400
223,646108,1296878,91000001,1096156,91000041,3912000,0,0,91000001,87570180,91000041,192759172,91000044,118100,91000002,2400
224,657836,1303944,91000001,1100734,91000041,3972000,0,0,91000001,88670914,91000041,196731172,91000044,118100,91000002,2400
225,653174,1311010,91000001,1122876,91000041,4034000,0,0,91000001,89793790,91000041,200765172,91000044,118100,91000002,2400
226,664902,1318076,91000001,1127564,91000041,4096000,0,0,91000001,90921354,91000041,204861172,91000044,118100,91000002,2400
227,660240,1325142,91000001,1132270,91000041,4160000,0,0,91000001,92053624,91000041,209021172,91000044,118100,91000002,2400
228,671968,1332208,91000001,1136996,91000041,4224000,0,0,91000001,93190620,91000041,213245172,91000044,118100,91000002,2400
229,667306,1339274,91000001,1141742,91000041,4290000,0,0,91000001,94332362,91000041,217535172,91000044,118100,91000002,2400
230,679034,1346340,91000001,1146506,91000041,4358000,0,0,91000001,95478868,91000041,221893172,91000044,118100,91000002,2400
231,674372,1353406,91000001,1151290,91000041,4424000,0,0,91000001,96630158,91000041,226317172,91000044,118100,91000002,2400
232,686100,1360472,91000001,1156092,91000041,4494000,0,0,91000001,97786250,91000041,230811172,91000044,118100,91000002,2400
233,681438,1367538,91000001,1160916,91000041,4564000,0,0,91000001,98947166,91000041,235375172,91000044,118100,91000002,2400
234,693166,1374604,91000001,1165758,91000041,4634000,0,0,91000001,100112924,91000041,240009172,91000044,118100,91000002,2400
235,688504,1381670,91000001,1170620,91000041,4706000,0,0,91000001,101283544,91000041,244715172,91000044,118100,91000002,2400
236,700232,1388736,91000001,1175502,91000041,4780000,0,0,91000001,102459046,91000041,249495172,91000044,118100,91000002,2400
237,695570,1395802,91000001,1180404,91000041,4854000,0,0,91000001,103639450,91000041,254349172,91000044,118100,91000002,2400
238,707298,1402868,91000001,1203846,91000041,4930000,0,0,91000001,104843296,91000041,259279172,91000044,118100,91000002,2400
239,702636,1409934,91000001,1208866,91000041,5006000,0,0,91000001,106052162,91000041,264285172,91000044,118100,91000002,2400
240,714364,1417000,91000001,1213906,91000041,5084000,0,0,91000001,107266068,91000041,269369172,91000044,118100,91000002,2400
241,709702,1424066,91000001,10782720,91000041,43130880,91000044,2951,91000001,118048788,91000041,312500052,91000044,121051,91000002,2400
242,721430,1431132,91000001,10963558,91000041,43854232,91000044,3225,91000001,129012346,91000041,356354284,91000044,124276,91000002,2400
243,716768,1438198,91000001,11146660,91000041,44586646,91000044,3503,91000001,140159006,91000041,400940930,91000044,127779,91000002,2400
244,728496,1445264,91000001,11332048,91000041,45328196,91000044,3787,91000001,151491054,91000041,446269126,91000044,131566,91000002,2400
245,723834,1452330,91000001,11519738,91000041,46078958,91000044,4075,91000001,163010792,91000041,492348084,91000044,135641,91000002,2400
246,735562,1459396,91000001,11709752,91000041,46839008,91000044,4368,91000001,174720544,91000041,539187092,91000044,140009,91000002,2400
247,730900,1466462,91000001,11902104,91000041,47608420,91000044,4665,91000001,186622648,91000041,586795512,91000044,144674,91000002,2400
