id,beastid,beastname,name,fighting,beastskill,txt,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,levelid,prepose,chapter,xaxis,yaxis
11,5004,font_shijierenwu_yxwd_10,冲车,3000000,500404,对前方的三个目标，造成[8]200%战法伤害[0]，同时有15%几率对目标造成[6]30%额外伤害,91000002,91000001,60000231,81400701,15100103,79000008,81400601,30101000,60000221,60000223,113406,113405,34,41,21
12,5005,font_shijierenwu_yxwd_11,弩车,3500000,500504,攻击4个单位，造成[7]250%物理伤害[0]，并有20%几率对目标造成[6]50%额外伤害[0]，有5%几率击退目标,91000002,91000001,60000215,43000003,60000200,79000008,81400601,30101000,60000221,60000223,113806,113805,38,42,16
13,5006,font_shijierenwu_yxwd_13,刀车,4000000,500604,攻击敌方所有单位，造成[7]200%战法伤害[0]，并有20%几率对目标造成[6]50%额外伤害[0]，有10%几率冰冻目标3秒,91000002,91000001,15100105,15100101,15100104,79000008,81400601,30101000,60000221,60000223,114106,114105,41,35,19
14,5007,font_shijierenwu_yxwd_12,霹雳车,4500000,500704,对地面上所有的敌方目标喷出[8]300%战法伤害[0]的灼热的气息，气息有5%几率造成两次伤害，第2次伤害是第1次的一半,91000002,91000001,60000231,81400701,15100103,79000008,81400601,30101000,60000221,60000223,114306,114305,43,30,17
15,5002,font_shijierenwu_yxwd_08,井阑,5000000,500204,对前方两个目标造成[8]160%战法伤害[0]，并有20%几率让目标中毒，每秒造成[7]本次伤害20%的中毒伤害[0]，持续8秒,91000002,91000001,60000215,43000003,60000200,79000008,81400601,30101000,60000221,60000223,114506,114508,45,24,24
16,5003,font_shijierenwu_yxwd_09,吕公车,6000000,500304,喷射一道冰息和一道火息对前方2个单位造成[8]170%战法伤害[0]，并有20%几率灼烧目标，每秒造成[7]本次伤害20%的灼烧伤害[0]，持续8秒,91000002,91000001,15100105,15100101,15100104,79000008,81400601,30101000,60000221,60000223,114806,114805,48,37,16
17,5004,font_shijierenwu_yxwd_10,冲车,7000000,500404,对前方的三个目标，造成[8]200%战法伤害[0]，同时有15%几率对目标造成[6]30%额外伤害,91000002,91000001,60000231,81400701,15100103,79000008,81400601,30101000,60000221,60000223,115106,115105,51,39,16
18,5005,font_shijierenwu_yxwd_11,弩车,8000000,500504,攻击4个单位，造成[7]250%物理伤害[0]，并有20%几率对目标造成[6]50%额外伤害[0]，有5%几率击退目标,91000002,91000001,60000215,43000003,60000200,79000008,81400601,30101000,60000221,60000223,115406,115408,54,41,23
19,5006,font_shijierenwu_yxwd_13,刀车,9000000,500604,攻击敌方所有单位，造成[7]200%战法伤害[0]，并有20%几率对目标造成[6]50%额外伤害[0]，有10%几率冰冻目标3秒,91000002,91000001,15100105,15100101,15100104,79000008,81400601,30101000,60000221,60000223,115806,115808,58,44,18
20,5007,font_shijierenwu_yxwd_12,霹雳车,10000000,500704,对地面上所有的敌方目标喷出[8]300%战法伤害[0]的灼热的气息，气息有5%几率造成两次伤害，第2次伤害是第1次的一半,91000002,91000001,60000231,81400701,15100103,79000008,81400601,30101000,60000221,60000223,116206,116205,62,38,18
21,5003,font_shijierenwu_yxwd_09,吕公车,11000000,500304,喷射一道冰息和一道火息对前方2个单位造成[8]170%战法伤害[0]，并有20%几率灼烧目标，每秒造成[7]本次伤害20%的灼烧伤害[0]，持续8秒,91000002,91000001,60000215,43000003,60000200,79000008,81400601,30101000,60000221,60000223,116406,116405,64,41,21
22,5004,font_shijierenwu_yxwd_10,冲车,12000000,500404,对前方的三个目标，造成[8]200%战法伤害[0]，同时有15%几率对目标造成[6]30%额外伤害,91000002,91000001,15100105,15100101,15100104,79000008,81400601,30101000,60000221,60000223,116806,116805,68,42,16
23,5005,font_shijierenwu_yxwd_11,弩车,13000000,500504,攻击4个单位，造成[7]250%物理伤害[0]，并有20%几率对目标造成[6]50%额外伤害[0]，有5%几率击退目标,91000002,91000001,60000231,81400701,15100103,79000008,81400601,30101000,60000221,60000223,117106,117105,71,35,19
24,5006,font_shijierenwu_yxwd_13,刀车,14000000,500604,攻击敌方所有单位，造成[7]200%战法伤害[0]，并有20%几率对目标造成[6]50%额外伤害[0]，有10%几率冰冻目标3秒,91000002,91000001,60000215,43000003,60000200,79000008,81400601,30101000,60000221,60000223,117306,117305,73,30,17
25,5007,font_shijierenwu_yxwd_12,霹雳车,15000000,500704,对地面上所有的敌方目标喷出[8]300%战法伤害[0]的灼热的气息，气息有5%几率造成两次伤害，第2次伤害是第1次的一半,91000002,91000001,15100105,15100101,15100104,79000008,81400601,30101000,60000221,60000223,117506,117508,75,24,24
26,5004,font_shijierenwu_yxwd_10,冲车,16000000,500404,对前方的三个目标，造成[8]200%战法伤害[0]，同时有15%几率对目标造成[6]30%额外伤害,91000002,91000001,60000231,81400701,15100103,79000008,81400601,30101000,60000221,60000223,117806,117805,78,37,16
27,5005,font_shijierenwu_yxwd_11,弩车,17000000,500504,攻击4个单位，造成[7]250%物理伤害[0]，并有20%几率对目标造成[6]50%额外伤害[0]，有5%几率击退目标,91000002,91000001,60000215,43000003,60000200,79000008,81400601,30101000,60000221,60000223,118106,118105,81,39,16
28,5006,font_shijierenwu_yxwd_13,刀车,18000000,500604,攻击敌方所有单位，造成[7]200%战法伤害[0]，并有20%几率对目标造成[6]50%额外伤害[0]，有10%几率冰冻目标3秒,91000002,91000001,15100105,15100101,15100104,79000008,81400601,30101000,60000221,60000223,118406,118408,84,41,23
29,5007,font_shijierenwu_yxwd_12,霹雳车,19000000,500704,对地面上所有的敌方目标喷出[8]300%战法伤害[0]的灼热的气息，气息有5%几率造成两次伤害，第2次伤害是第1次的一半,91000002,91000001,60000231,81400701,15100103,79000008,81400601,30101000,60000221,60000223,118606,118605,86,44,22
30,5007,font_shijierenwu_yxwd_12,霹雳车,20000000,500704,对地面上所有的敌方目标喷出[8]300%战法伤害[0]的灼热的气息，气息有5%几率造成两次伤害，第2次伤害是第1次的一半,91000002,91000001,60000215,43000003,60000200,79000008,81400601,30101000,60000221,60000223,118806,118808,88,44,18
