id,step,cell,description,add_pos,overture,guideImage,text_hint,story,jumpBtnPos
25,402,2,点击弓箭手英雄,"{""x"":5,""y"":151}",0,yd_back_01.png,别忘了温迪洛尔!是时候见识下这位土族的盟友的厉害了！,0,0
26,402,3,点击战斗,"{""x"":435,""y"":38}",0,yd_back_01.png,我已经急不可耐想要看看这场精彩的战斗了！,0,0
27,300,1,点击领取按钮,"{""x"":413,""y"":170}",0,yd_back_01.png,我们离胜利还差一点点，领取挂机奖励强化英雄后，我们再尝试挑战！,0,0
28,300,2,点击任意位置,"{""x"":215,""y"":191}",0,yd_back_01.png,点击“领取”让我们看看这段时间获得了什么好东西。,0,0
29,300,3,点击英雄,0,0,0,0,0,0
30,300,4,点击指定英雄,0,0,0,0,0,0
31,300,5,升级,0,0,0,0,0,0
32,200,1,点击挑战首领,0,0,0,0,0,0
33,200,2,点击挑战首领,0,0,0,0,0,0
34,200,3,点击战斗,0,0,0,0,0,0
35,500,1,点击主城,0,0,0,0,0,0
36,500,2,然后点击祭坛,0,0,0,0,0,0
37,600,1,点击主城,0,0,0,0,0,0
38,600,2,点击羁绊,0,0,0,0,0,0
39,600,3,点击北境之锤子,0,0,0,0,0,0
40,600,4,点击北境之锤子,0,0,0,0,0,0
41,600,5,点击确定,0,0,0,0,0,0
42,700,1,点击郊外,"{""x"":182,""y"":309}",0,yd_back_01.png,地牢解锁了！地牢中埋藏了大量宝藏，请点击返回。,0,0
43,700,2,点击地牢,"{""x"":427,""y"":182}",0,yd_back_01.png,请点击地牢,0,0
44,800,1,点击郊外,0,0,0,0,0,0
45,800,2,点击竞技场,0,0,0,0,0,0
46,800,3,点击普通竞技场,0,0,0,0,0,0
47,800,4,点击挑战,0,0,0,0,0,0
48,800,5,点击挑战第一个人,0,0,0,0,0,0
49,900,1,点击郊外,0,0,0,0,0,0
50,900,2,点击悬赏,0,0,0,0,0,0
51,900,3,点击派遣,0,0,0,0,0,0
52,900,4,点击 + 号,0,0,0,0,0,0
53,900,5,点击上阵,0,0,0,0,0,0
54,1000,1,点击郊外,0,0,0,0,0,0
55,1000,2,点击王座之塔,0,0,0,0,0,0
56,1000,3,点击挑战,0,0,0,0,0,0
57,1100,1,点击主城,0,0,0,0,0,0
58,1100,2,点击工会,0,0,0,0,0,0
59,1200,1,点击下一章,0,0,0,0,0,0
60,1201,1,点击主城,"{""x"":480,""y"":60}",0,yd_back_03.png,主城的怪物已经被我们消灭干净了，我们快去看看城里的情况怎么样了！,0,0
61,1201,2,点击召唤,"{""x"":793,""y"":260}",0,yd_back_01.png,咦？我们似乎刚刚获得了一个神秘的卷轴，英雄招募里应该有人知道这个它的用途吧！,0,0
62,1201,3,点击召唤一次,"{""x"":405,""y"":81}",0,yd_back_01.png,原来这个卷轴在这里可以查看英雄的传奇故事招募英雄，就是现在！点击使用它吧！,0,0
63,1201,4,点击卡牌,0,0,0,0,0,0
64,1201,5,点击返回,0,0,0,0,0,0
65,1201,6,点击返回,0,0,0,0,0,0
66,1201,7,点击冒险,0,0,0,0,0,0
67,1202,1,点击遣散,"{""x"":219,""y"":47}",0,yd_back_01.png,点击进入遣退界面，可将多余英雄遣退获得英雄精魄。,0,0
68,1202,2,点击重置,"{""x"":208,""y"":111}",0,yd_back_01.png,点击进入重塑界面，可将英雄重塑为1级，返还培养时消耗的资源。,0,0
69,1300,1,点击英雄,0,0,0,0,0,0
70,1300,2,点击穿戴了蓝色装备的英雄,0,0,0,0,0,0
71,1300,3,点击装备,0,0,0,0,0,0
72,1300,4,点击强化,0,0,0,0,0,0
73,1400,1,点击英雄,0,0,0,0,0,0
74,1400,2,点击第一个英雄,0,0,0,0,0,0
75,1400,3,点击专属,0,0,0,0,0,0
76,1500,1,点击郊外,0,0,0,0,0,0
77,1500,2,点击竞技场,0,0,0,0,0,0
78,1500,3,点击高阶竞技场,0,0,0,0,0,0
79,1500,4,点击挑战,0,0,0,0,0,0
80,1600,1,点击郊外,0,0,0,0,0,0
81,1600,2,试炼之塔,0,0,0,0,0,0
82,1600,3,点击秘境,0,0,0,0,0,0
83,1800,1,点击冒险,"{""x"":404,""y"":226}",0,yd_back_01.png,主城遭到袭击，完成1-12后可进入主城,0,0
84,1900,1,点击冒险,"{""x"":404,""y"":226}",0,yd_back_01.png,通往郊外的道路被占领，完成关卡2-4后可进入郊外,,
85,2000,1,点击郊外,0,0,0,0,0,0
86,2000,2,点击 铸时星域,0,0,0,0,0,0
87,2000,3,北境追影,0,0,0,0,0,0
97,2300,4,点击开始冒险,0,0,0,0,0,0
88,2300,1,点击快速挂机,0,0,0,0,0,0
89,2300,2,点击免费领取,0,0,0,0,0,0
90,2400,1,点击主城,0,0,0,0,0,0
91,2400,2,点击排行榜,0,0,0,0,0,0
92,2500,1,点击集市,0,0,0,0,0,0
93,2500,2,点击领取按钮,0,0,0,0,0,0
94,2600,1,点击 集市,0,0,0,0,0,0
95,2600,2,点击冒险通行证,0,0,0,0,0,0
96,2600,3,点击领取按钮,0,0,0,0,0,0
97,2700,1,点击召唤,0,0,0,0,0,0
97,2700,2,点几占星,0,0,0,0,0,0
97,2700,3,点击一个信息,0,0,0,0,0,0
