id,type,sort,tasktypes,n1,n2,n3,n4,txt,item1,num1,item2,num2
105,6,15,81,450,0,0,0,本服任意一名玩家王座之塔达到450层,91000002,5000,0,0
106,6,16,81,475,0,0,0,本服任意一名玩家王座之塔达到475层,91000002,5000,0,0
107,6,17,81,500,0,0,0,本服任意一名玩家王座之塔达到500层,91000002,5000,0,0
108,6,18,81,525,0,0,0,本服任意一名玩家王座之塔达到525层,91000002,5000,0,0
109,6,19,81,550,0,0,0,本服任意一名玩家王座之塔达到550层,91000002,5000,0,0
110,6,20,81,575,0,0,0,本服任意一名玩家王座之塔达到575层,91000002,5000,0,0
111,6,21,81,600,0,0,0,本服任意一名玩家王座之塔达到600层,91000002,5000,0,0
112,1,16,128,65800,1,0,0,本服任意一名玩家怒涛联邦积分达到65800,91000002,5000,0,0
113,1,17,128,69800,1,0,0,本服任意一名玩家怒涛联邦积分达到69800,91000002,5000,0,0
114,1,18,128,73800,1,0,0,本服任意一名玩家怒涛联邦积分达到73800,91000002,5000,0,0
115,1,19,128,77800,1,0,0,本服任意一名玩家怒涛联邦积分达到77800,91000002,5000,0,0
116,1,20,128,81800,1,0,0,本服任意一名玩家怒涛联邦积分达到81800,91000002,5000,0,0
117,1,21,128,85800,1,0,0,本服任意一名玩家怒涛联邦积分达到85800,91000002,5000,0,0
118,1,22,128,89800,1,0,0,本服任意一名玩家怒涛联邦积分达到89800,91000002,5000,0,0
119,1,23,128,93800,1,0,0,本服任意一名玩家怒涛联邦积分达到93800,91000002,5000,0,0
120,1,24,128,97800,1,0,0,本服任意一名玩家怒涛联邦积分达到97800,91000002,5000,0,0
121,2,16,128,65800,2,0,0,本服任意一名玩家圣焰部落积分达到65800,91000002,5000,0,0
122,2,17,128,69800,2,0,0,本服任意一名玩家圣焰部落积分达到69800,91000002,5000,0,0
123,2,18,128,73800,2,0,0,本服任意一名玩家圣焰部落积分达到73800,91000002,5000,0,0
124,2,19,128,77800,2,0,0,本服任意一名玩家圣焰部落积分达到77800,91000002,5000,0,0
125,2,20,128,81800,2,0,0,本服任意一名玩家圣焰部落积分达到81800,91000002,5000,0,0
126,2,21,128,85800,2,0,0,本服任意一名玩家圣焰部落积分达到85800,91000002,5000,0,0
127,2,22,128,89800,2,0,0,本服任意一名玩家圣焰部落积分达到89800,91000002,5000,0,0
128,2,23,128,93800,2,0,0,本服任意一名玩家圣焰部落积分达到93800,91000002,5000,0,0
129,2,24,128,97800,2,0,0,本服任意一名玩家圣焰部落积分达到97800,91000002,5000,0,0
130,3,16,128,65800,3,0,0,本服任意一名玩家雷鸣之城积分达到65800,91000002,5000,0,0
131,3,17,128,69800,3,0,0,本服任意一名玩家雷鸣之城积分达到69800,91000002,5000,0,0
132,3,18,128,73800,3,0,0,本服任意一名玩家雷鸣之城积分达到73800,91000002,5000,0,0
133,3,19,128,77800,3,0,0,本服任意一名玩家雷鸣之城积分达到77800,91000002,5000,0,0
134,3,20,128,81800,3,0,0,本服任意一名玩家雷鸣之城积分达到81800,91000002,5000,0,0
135,3,21,128,85800,3,0,0,本服任意一名玩家雷鸣之城积分达到85800,91000002,5000,0,0
136,3,22,128,89800,3,0,0,本服任意一名玩家雷鸣之城积分达到89800,91000002,5000,0,0
137,3,23,128,93800,3,0,0,本服任意一名玩家雷鸣之城积分达到93800,91000002,5000,0,0
138,3,24,128,97800,3,0,0,本服任意一名玩家雷鸣之城积分达到97800,91000002,5000,0,0
139,4,16,128,65800,4,0,0,本服任意一名玩家神峰秘境积分达到65800,91000002,5000,0,0
140,4,17,128,69800,4,0,0,本服任意一名玩家神峰秘境积分达到69800,91000002,5000,0,0
141,4,18,128,73800,4,0,0,本服任意一名玩家神峰秘境积分达到73800,91000002,5000,0,0
142,4,19,128,77800,4,0,0,本服任意一名玩家神峰秘境积分达到77800,91000002,5000,0,0
143,4,20,128,81800,4,0,0,本服任意一名玩家神峰秘境积分达到81800,91000002,5000,0,0
144,4,21,128,85800,4,0,0,本服任意一名玩家神峰秘境积分达到85800,91000002,5000,0,0
145,4,22,128,89800,4,0,0,本服任意一名玩家神峰秘境积分达到89800,91000002,5000,0,0
146,4,23,128,93800,4,0,0,本服任意一名玩家神峰秘境积分达到93800,91000002,5000,0,0
147,4,24,128,97800,4,0,0,本服任意一名玩家神峰秘境积分达到97800,91000002,5000,0,0
