id,dot,condition,judgedata,judgetarget,txt,item1,num1,item2,num2,item3,num3,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10,base_type11,base_value11,return_type1,return_value1,return_type2,return_value2,return_type3,return_value3
14,200802,2,5,2008,袁绍所有神格达到5级,42200804,10,42000001,100,0,0,9,20000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42200804,10,42000001,100,0,0
15,200901,1,13,2009,张角达到红1星,12200901,300,30101000,20000,0,0,10,20000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12200901,300,30101000,20000,0,0
16,200902,2,5,2009,张角所有神格达到5级,42200904,10,42000001,100,0,0,9,20000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42200904,10,42000001,100,0,0
17,300201,1,13,3002,黄忠达到红1星,12300201,300,30101000,20000,0,0,8,10000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12300201,300,30101000,20000,0,0
18,300202,2,5,3002,黄忠所有神格达到5级,42300204,10,42000001,100,0,0,7,10000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42300204,10,42000001,100,0,0
19,300701,1,13,3007,周泰达到红1星,12300701,300,30101000,20000,0,0,8,10000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12300701,300,30101000,20000,0,0
20,300702,2,5,3007,周泰所有神格达到5级,42300704,10,42000001,100,0,0,7,10000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42300704,10,42000001,100,0,0
21,301101,1,13,3011,甄姬达到红1星,12301101,300,30101000,20000,0,0,10,20000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12301101,300,30101000,20000,0,0
22,301102,2,5,3011,甄姬所有神格达到5级,42301104,10,42000001,100,0,0,9,20000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42301104,10,42000001,100,0,0
23,400201,1,13,4002,陆逊达到红1星,12400201,300,30101000,20000,0,0,10,20000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12400201,300,30101000,20000,0,0
24,400202,2,5,4002,陆逊所有神格达到5级,42400204,10,42000001,100,0,0,9,20000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42400204,10,42000001,100,0,0
25,400401,1,13,4004,典韦达到红1星,12400401,300,30101000,20000,0,0,8,10000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12400401,300,30101000,20000,0,0
26,400402,2,5,4004,典韦所有神格达到5级,42400404,10,42000001,100,0,0,7,10000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42400404,10,42000001,100,0,0
27,400501,1,13,4005,孙策达到红1星,12400501,300,30101000,20000,0,0,8,10000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12400501,300,30101000,20000,0,0
28,400502,2,5,4005,孙策所有神格达到5级,42400504,10,42000001,100,0,0,7,10000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42400504,10,42000001,100,0,0
29,400601,1,13,4006,曹操达到红1星,12400601,300,30101000,20000,0,0,30,10000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12400601,300,30101000,20000,0,0
30,400602,2,5,4006,曹操所有神格达到5级,42400604,10,42000001,100,0,0,29,10000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42400604,10,42000001,100,0,0
31,900101,3,5,26,科技-盔甲保养达到5级,42000001,100,0,0,0,0,8,10000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42000001,100,0,0,0,0
32,900102,3,5,27,科技-知己知彼达到5级,42000001,100,0,0,0,0,10,20000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42000001,100,0,0,0,0
33,900103,3,5,28,科技-士气振奋达到5级,42000001,100,0,0,0,0,30,10000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42000001,100,0,0,0,0
34,900201,4,7,5003,神器-遁甲天书达到7阶,42000001,100,0,0,0,0,8,10000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42000001,100,0,0,0,0
35,900202,4,7,5005,神器-青釭剑达到7阶,42000001,100,0,0,0,0,10,20000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42000001,100,0,0,0,0
36,900203,4,7,5007,神器-百辟刀达到7阶,42000001,100,0,0,0,0,30,10000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42000001,100,0,0,0,0
37,900301,5,10,0,宠物达到10级,42000001,100,0,0,0,0,6,100000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42000001,100,0,0,0,0
38,900401,6,10,0,五兵曹达到10级,42000001,100,0,0,0,0,6,100000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42000001,100,0,0,0,0
