id,name,target,scope,target_number,effect,type1,type2,type3,type4,type5,type6,type7,type8,type9,type10,type11,type12,type13
63,回复自身生命上限4%,3,1,1,11,400,2,1,1,0,0,0,0,0,0,0,0,0
64,回复自身生命上限6%,3,1,1,11,600,2,1,1,0,0,0,0,0,0,0,0,0
65,自身复活回复3%,3,1,1,21,300,1,1,0,0,0,0,0,0,0,0,0,0
66,自身复活回复30%,3,1,1,21,3000,1,1,0,0,0,0,0,0,0,0,0,0
67,自身复活回复40%,3,1,1,21,4000,1,1,0,0,0,0,0,0,0,0,0,0
68,自身复活回复50%,3,1,1,21,5000,1,1,0,0,0,0,0,0,0,0,0,0
69,无视目标防御10%,3,1,1,18,5,1000,3,2,0,0,0,0,0,0,0,0,0
70,无视目标防御20%,3,1,1,18,5,2000,3,2,0,0,0,0,0,0,0,0,0
71,无视目标防御30%,3,1,1,18,5,3000,3,2,0,0,0,0,0,0,0,0,0
72,自身50%再次释放,0,0,0,23,5000,0,0,0,0,0,0,0,0,0,0,0,0
73,回复造成伤害的20%,3,1,1,11,2000,203,2,0,0,0,0,0,0,0,0,0,0
74,回复造成伤害的25%,3,1,1,11,2500,203,2,0,0,0,0,0,0,0,0,0,0
75,回复造成伤害的30%,3,1,1,11,3000,203,2,0,0,0,0,0,0,0,0,0,0
76,反弹30%敌人伤害,4,1,1,27,203,3,3000,1,0,0,0,0,0,0,0,0,0
77,反弹40%敌人伤害,4,1,1,27,203,3,4000,1,0,0,0,0,0,0,0,0,0
78,反弹2.5%自己血量上限,4,1,1,27,205,1,250,1,1,0,0,0,0,0,0,0,0
79,反弹2.6%自己血量上限,4,1,1,27,205,1,260,1,1,0,0,0,0,0,0,0,0
80,反弹2.7%自己血量上限,4,1,1,27,205,1,270,1,1,0,0,0,0,0,0,0,0
81,反弹2.8%自己血量上限,4,1,1,27,205,1,280,1,1,0,0,0,0,0,0,0,0
82,造成目标生命上限无视防御伤害（不超过攻击1.2倍）,0,0,0,1,5,800,205,2,0,0,0,1,12000,203,3,1,0
83,自身25%生命复活,3,1,1,21,2500,1,1,0,0,0,0,0,0,0,0,0,0
84,自身35%生命复活,3,1,1,21,3500,1,1,0,0,0,0,0,0,0,0,0,0
85,自身55%生命复活,3,1,1,21,5500,1,1,0,0,0,0,0,0,0,0,0,0
100,魔法普攻,1,1,1,1,2,10000,1,3,0,0,0,0,0,0,0,0,0
101,物理普攻,1,1,1,1,1,10000,1,3,0,0,0,0,0,0,0,0,0
102,恶魔金币,1,1,1,1,2,20800,1,3,0,0,0,0,0,0,0,0,0
103,冰箭,1,8,2,1,2,10400,1,3,0,0,0,0,0,0,0,0,0
104,附加【冰冻】状态1回合,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0
105,寒冰雨-伤害,1,5,6,1,2,11700,1,3,0,0,0,0,0,0,0,0,0
106,冰雪冲撞-伤害,1,1,1,1,1,18700,1,3,0,0,0,0,0,0,0,0,0
107,附加【晕眩】状态1回合,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0
108,无序之雨-伤害,1,8,3,1,2,9000,1,3,0,0,0,0,0,0,0,0,0
109,附加10%【减速】状态1回合,0,0,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0
110,急速冰点-判断携带冰冻状态,1,5,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0
111,急速冰点-正常伤害,0,0,0,1,2,13000,1,3,0,0,0,0,0,0,0,0,0
112,急速冰点-双倍伤害,0,0,0,1,2,26000,1,3,0,0,0,0,0,0,0,0,0
113,急速冰点-判断携带减速状态,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
114,绝对零度-伤害,1,8,4,1,2,10700,1,3,0,0,0,0,0,0,0,0,0
115,附加【冰冻】状态2回合,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0
116,寒冰掌握-判断,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
117,寒冰斩-伤害,1,1,1,1,1,13900,1,3,0,0,0,0,0,0,0,0,0
118,附加【抗控】状态2回合,2,2,3,2,5,2,1,0,0,0,0,0,0,0,0,0,0
119,附加自身【免伤】状态2回合,3,1,1,2,6,2,1,0,0,0,0,0,0,0,0,0,0
120,海水侵蚀-伤害,1,1,1,1,2,16200,1,3,0,0,0,0,0,0,0,0,0
121,附加自身【治疗】状态2回合,3,1,1,2,7,2,1,0,0,0,0,0,0,0,0,0,0
122,附加【破甲】状态2回合,0,0,0,2,8,2,1,0,0,0,0,0,0,0,0,0,0
123,筛选生命最低单位1名,2,8,5,12,2,1,1,0,0,0,0,0,0,0,0,0,0
124,海水滋养-回复治疗,0,0,0,11,24600,1,1,1,0,0,0,0,0,0,0,0,0
125,海水滋养-buff,0,0,0,2,9,2,1,0,0,0,0,0,0,0,0,0,0
126,寒冰掌握-效果,0,0,0,14,203,2000,0,0,0,0,0,0,0,0,0,0,0
127,水疗1-回复,0,0,0,11,189,1,1,0,0,0,0,0,0,0,0,0,0
128,水疗2-回复,0,0,0,11,227,1,1,0,0,0,0,0,0,0,0,0,0
129,水疗3-回复,0,0,0,11,272,1,1,0,0,0,0,0,0,0,0,0,0
130,水之守护1-回复,2,8,5,11,109,1,1,0,0,0,0,0,0,0,0,0,0
131,水之守护2-回复,2,8,5,11,131,1,1,0,0,0,0,0,0,0,0,0,0
132,水之守护3-回复,2,8,5,11,157,1,1,0,0,0,0,0,0,0,0,0,0
133,水之守护1-添加【格挡盾】buff,0,0,0,2,10,2,1,0,0,0,0,0,0,0,0,0,0
134,水之守护2-添加【格挡盾】buff,0,0,0,2,11,2,1,0,0,0,0,0,0,0,0,0,0
135,水之守护3-添加【格挡盾】buff,0,0,0,2,12,2,1,0,0,0,0,0,0,0,0,0,0
136,水蛇之咬-伤害1,1,1,1,1,2,17600,1,3,0,0,0,0,0,0,0,0,0
137,水蛇之咬-伤害2,1,1,1,1,2,21000,1,3,0,0,0,0,0,0,0,0,0
138,水蛇之咬-伤害3,1,1,1,1,2,24800,1,3,0,0,0,0,0,0,0,0,0
139,附加【寒冰护甲】1回合,3,1,1,2,13,1,1,0,0,0,0,0,0,0,0,0,0
140,刻托之怒-判断,1,8,5,6,2,6000,1,5,0,0,0,0,0,0,0,0,0
141,刻托之怒-临时提高属性1,0,0,0,14,203,2000,0,0,0,0,0,0,0,0,0,0,0
142,刻托之怒-临时提高属性2,0,0,0,14,203,3000,0,0,0,0,0,0,0,0,0,0,0
143,刻托之怒-伤害1,0,0,0,1,1,10400,1,3,0,0,0,0,0,0,0,0,0
144,刻托之怒-伤害2,0,0,0,1,1,12500,1,3,0,0,0,0,0,0,0,0,0
145,刻托之怒-伤害3,0,0,0,1,1,15000,1,3,0,0,0,0,0,0,0,0,0
146,海兽之心-判断,3,1,1,6,2,3000,1,2,0,0,0,0,0,0,0,0,0
147,判断伤害类型为物理,2,1,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0
148,尾击-伤害1,1,1,1,18,1,180,1,1,10,0,1,0,0,0,0,0,0
149,尾击-伤害2,1,1,1,18,1,216,1,1,20,0,1,0,0,0,0,0,0
150,尾击-伤害3,1,1,1,18,1,259,1,1,30,0,1,0,0,0,0,0,0
151,水柱喷射-伤害1,1,5,5,1,1,13000,1,3,0,0,0,0,0,0,0,0,0
152,水柱喷射-伤害2,1,5,5,1,1,15600,1,3,0,0,0,0,0,0,0,0,0
153,水柱喷射-伤害3,1,5,5,1,1,18700,1,3,0,0,0,0,0,0,0,0,0
154,触手连击-职业判断,1,8,5,24,1,1,0,0,0,0,0,0,0,0,0,0,0
155,触手连击-伤害1（有目标）,0,0,0,1,1,14400,1,3,0,0,0,0,0,0,0,0,0
156,触手连击-伤害2（有目标）,0,0,0,1,1,17300,1,3,0,0,0,0,0,0,0,0,0
157,触手连击-伤害3（有目标）,0,0,0,1,1,20700,1,3,0,0,0,0,0,0,0,0,0
158,触手连击-伤害1,1,1,1,1,1,14400,1,3,0,0,0,0,0,0,0,0,0
159,触手连击-伤害2,1,1,1,1,1,17300,1,3,0,0,0,0,0,0,0,0,0
160,触手连击-伤害3,1,1,1,1,1,20700,1,3,0,0,0,0,0,0,0,0,0
161,自己造成伤害提高20%,3,1,1,14,203,2000,0,0,0,0,0,0,0,0,0,0,0
300,附加晕眩2回合,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0
301,伤害超过30%,0,0,0,6,2,3000,1,4,0,0,0,0,0,0,0,0,0
302,伤害超过28%,0,0,0,6,2,2800,1,4,0,0,0,0,0,0,0,0,0
303,伤害超过26%,0,0,0,6,2,26,1,4,0,0,0,0,0,0,0,0,0
304,嘲讽1回合,0,0,0,2,14,1,1,0,0,0,0,0,0,0,0,0,0
305,判断伤害类型为魔法,2,1,1,17,2,0,0,0,0,0,0,0,0,0,0,0,0
306,100%伤害反击,1,1,1,31,10000,1,1,1,0,1,0,0,0,0,0,0,0
307,120%伤害反击,1,1,1,31,12000,1,1,1,0,1,0,0,0,0,0,0,0
308,130%伤害反击,1,1,1,31,13000,1,1,1,0,1,0,0,0,0,0,0,0
309,判断目标职业-战士,1,1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0
310,130%伤害反击,1,1,1,31,13000,1,1,1,0,0,0,0,0,0,0,0,0
311,筛选人数最多列,1,8,5,33,1,0,0,0,0,0,0,0,0,0,0,0,0
312,冰霜绽放-伤害1,0,0,0,1,2,11300,1,3,0,0,0,0,0,0,0,0,0
313,冰霜绽放-伤害2,0,0,0,1,2,13500,1,3,0,0,0,0,0,0,0,0,0
314,冰霜绽放-伤害3,0,0,0,1,2,16200,1,3,0,0,0,0,0,0,0,0,0
315,判断目标职业-辅助,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0
316,冰霜领域-伤害1,1,8,4,1,2,9000,1,3,0,0,0,0,0,0,0,0,0
317,冰霜领域-伤害2,1,8,4,1,2,10900,1,3,0,0,0,0,0,0,0,0,0
318,冰霜领域-伤害3,1,8,4,1,2,12000,1,3,0,0,0,0,0,0,0,0,0
1001,单体造成210%伤害,1,1,1,1,1,21000,1,3,0,0,0,0,0,0,0,0,0
1002,随机三个111%伤害,1,8,3,1,2,11100,1,3,0,0,0,0,0,0,0,0,0
1003,随机三个128%伤害,1,8,3,1,2,12800,1,3,0,0,0,0,0,0,0,0,0
1004,判定-技能暴击,0,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0
1005,叠加【灼烧】2回合,0,0,0,2,15,2,1,0,0,0,0,0,0,0,0,0,0
1006,单体115%伤害,1,1,1,1,1,11500,1,3,0,0,0,0,0,0,0,0,0
1007,单体145%伤害,1,1,1,1,1,14500,1,3,0,0,0,0,0,0,0,0,0
1008,叠加【沉默】1回合,0,0,0,2,16,1,1,0,0,0,0,0,0,0,0,0,0
1009,叠加【烈焰护盾】3回合,0,0,0,2,17,3,1,0,0,0,0,0,0,0,0,0,0
1010,单体171%伤害,1,1,1,1,1,17100,1,3,0,0,0,0,0,0,0,0,0
1011,判定单体携带【灼烧】或【烈焰灼烧】，暴击率提升30%,1,1,1,34,6,3000,5,3,0,0,0,0,0,0,0,0,0
1012,前中排124%伤害,1,5,5,1,1,12400,1,3,0,0,0,0,0,0,0,0,0
1013,判定单体携带【灼烧】或【烈焰灼烧】，必定暴击,1,1,1,34,6,1000000,5,3,0,0,0,0,0,0,0,0,0
1014,单体172%伤害,1,1,1,1,2,17200,1,3,0,0,0,0,0,0,0,0,0
1015,随机三个124%伤害,1,8,3,1,2,12400,1,3,0,0,0,0,0,0,0,0,0
1016,临时提高自己暴击率30%,3,1,1,14,5,3000,0,0,0,0,0,0,0,0,0,0,0
1017,单体170%伤害,1,1,1,1,2,17000,1,3,0,0,0,0,0,0,0,0,0
1018,随机四个107%伤害,1,8,4,1,2,10700,1,3,0,0,0,0,0,0,0,0,0
1019,随机三个77%伤害,1,8,3,1,2,7700,1,3,0,0,0,0,0,0,0,0,0
1020,随机三个92%伤害,1,8,3,1,2,9200,1,3,0,0,0,0,0,0,0,0,0
1021,随机三个110%伤害,1,8,3,1,2,11000,1,3,0,0,0,0,0,0,0,0,0
1022,判定单体携带【灼烧】或【烈焰灼烧】，暴击率提升60%,1,1,1,34,6,6000,5,3,0,0,0,0,0,0,0,0,0
1023,全体88%伤害,1,8,5,1,2,8800,1,3,0,0,0,0,0,0,0,0,0
1024,全体106%伤害,1,8,5,1,2,10600,1,3,0,0,0,0,0,0,0,0,0
1025,全体127%伤害,1,8,5,1,2,12700,1,3,0,0,0,0,0,0,0,0,0
1026,判定单体携带【灼烧】或【烈焰灼烧】，伤害提升10%,1,1,1,34,6,1000,203,3,0,0,0,0,0,0,0,0,0
1027,判定单体携带【灼烧】或【烈焰灼烧】，伤害提升15%,1,1,1,34,6,1500,203,3,0,0,0,0,0,0,0,0,0
1028,判定单体携带【灼烧】或【烈焰灼烧】，伤害提升20%,1,1,1,34,6,2000,203,3,0,0,0,0,0,0,0,0,0
1029,判断自己是否有技能怒火焚世3,3,1,1,19,1,25001033,0,0,0,0,0,0,0,0,0,0,0
1030,判定单体携带【灼烧】或【烈焰灼烧】，普攻,1,8,1,34,6,10000,1,3,1,0,0,0,0,0,0,0,0
1031,判断攻击力最高的敌人,1,8,1,12,1,1,1,0,0,0,0,0,0,0,0,0,0
1032,附加伤害171%,0,0,0,1,1,17100,1,3,0,0,0,0,0,0,0,0,0
1033,附加伤害205%,0,0,0,1,1,20500,1,3,0,0,0,0,0,0,0,0,0
1034,附加伤害246%,0,0,0,1,1,24600,1,3,0,0,0,0,0,0,0,0,0
1035,判定单体携带【灼烧】或【烈焰灼烧】，暴击率提升50%,1,1,1,34,6,5000,5,3,0,0,0,0,0,0,0,0,0
1036,附加伤害247%,0,0,0,1,1,24700,1,3,0,0,0,0,0,0,0,0,0
1037,附加伤害296%,0,0,0,1,1,29600,1,3,0,0,0,0,0,0,0,0,0
1038,附加伤害356%,0,0,0,1,1,35600,1,3,0,0,0,0,0,0,0,0,0
1039,造成伤害提升20%,0,0,0,14,203,2000,0,0,0,0,0,0,0,0,0,0,0
1040,造成伤害提升25%,0,0,0,14,203,2500,0,0,0,0,0,0,0,0,0,0,0
1041,造成伤害提升30%,0,0,0,14,203,3000,0,0,0,0,0,0,0,0,0,0,0
1042,前中排造成111%伤害,1,5,5,1,1,11100,1,3,0,0,0,0,0,0,0,0,0
1043,前中排造成133%伤害,1,5,5,1,1,13300,1,3,0,0,0,0,0,0,0,0,0
1044,前中排造成159%伤害,1,5,5,1,1,15900,1,3,0,0,0,0,0,0,0,0,0
1045,附加【流血】2回合,0,0,0,2,18,2,1,0,0,0,0,0,0,0,0,0,0
1046,判断流血提升伤害15%,1,1,1,34,18,1500,203,0,0,0,0,0,0,0,0,0,0
1047,判断流血提升伤害25%,1,1,1,34,18,2500,203,0,0,0,0,0,0,0,0,0,0
1048,附加单体伤害120%,0,0,0,1,1,12000,1,3,0,0,0,0,0,0,0,0,0
1049,附加单体伤害143%,0,0,0,1,1,14200,1,3,0,0,0,0,0,0,0,0,0
1050,附加单体伤害144%,0,0,0,1,1,14400,1,3,0,0,0,0,0,0,0,0,0
1051,附加单体伤害171%,0,0,0,1,1,17100,1,3,0,0,0,0,0,0,0,0,0
1052,附加【虚弱】1回合,0,0,0,2,19,1,1,0,0,0,0,0,0,0,0,0,0
1053,前中排88%伤害,1,5,5,1,1,8800,1,3,0,0,0,0,0,0,0,0,0
1054,叠加【灼烧】3回合,0,0,0,2,15,3,1,0,0,0,0,0,0,0,0,0,0
1055,判断目标为-坦克,1,5,5,24,1,5,0,0,0,0,0,0,0,0,0,0,0
1056,对坦克造成伤害及附加伤害,1,5,5,1,1,10500,1,3,1000,2,2,1,100000,1,3,1,0
1057,前中排造成105%伤害,1,5,5,1,1,10500,1,3,0,0,0,0,0,0,0,0,0
1058,对坦克造成伤害及附加伤害,1,5,5,1,1,12800,1,3,1000,2,2,1,100000,1,3,1,0
1059,前中排造成128%伤害,1,5,5,1,1,12800,1,3,0,0,0,0,0,0,0,0,0
1060,受到攻击时60%给对面叠加【灼烧】2回合,0,0,0,2,1001,99,1,0,0,0,0,0,0,0,0,0,0
1061,受到攻击时80%给对面叠加【灼烧】2回合,0,0,0,2,1002,99,1,0,0,0,0,0,0,0,0,0,0
1062,单体伤害247%,0,0,0,1,1,24700,1,3,0,0,0,0,0,0,0,0,0
1063,单体伤害296%,0,0,0,1,1,29600,1,3,0,0,0,0,0,0,0,0,0
1064,自己提高暴击伤害20%,3,1,1,14,6,2000,0,0,0,0,0,0,0,0,0,0,0
1065,回复本次伤害50%,3,1,1,13,1,5000,0,0,0,0,0,0,0,0,0,0,0
1066,判定自己是否有红莲业火·魂3,3,1,1,19,1,25004043,0,0,0,0,0,0,0,0,0,0,0
1067,前中排86%魔法伤害,1,5,5,1,2,8600,1,3,0,0,0,0,0,0,0,0,0
1068,前中排103%魔法伤害,1,5,5,1,2,10300,1,3,0,0,0,0,0,0,0,0,0
1069,前中排123%魔法伤害,1,5,5,1,2,12300,1,3,0,0,0,0,0,0,0,0,0
1070,添加【伤害增加】2回合,0,0,0,2,1003,2,1,0,0,0,0,0,0,0,0,0,0
1071,驱散目标一个增益效果,0,0,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0
1072,本方3个【烈焰护盾】反伤10%2回合,2,8,3,2,20,2,1,0,0,0,0,0,0,0,0,0,0
1073,本方3个【烈焰护盾】反伤15%2回合,2,8,3,2,21,2,1,0,0,0,0,0,0,0,0,0,0
1074,本方3个【烈焰护盾】反伤20%3回合,2,8,3,2,17,3,1,0,0,0,0,0,0,0,0,0,0
1075,暴击伤害7%全队回血,2,8,5,11,700,203,3,0,0,0,0,0,0,0,0,0,0
1076,暴击伤害10%全队回血,2,8,5,11,1000,203,3,0,0,0,0,0,0,0,0,0,0
1077,暴击伤害15%全队回血,2,8,5,11,1500,203,3,0,0,0,0,0,0,0,0,0,0
1078,一列108%魔法伤害,1,7,3,1,2,10800,1,3,0,0,0,0,0,0,0,0,0
1079,一列129%魔法伤害,1,7,3,1,2,12900,1,3,0,0,0,0,0,0,0,0,0
1080,一列155%魔法伤害,1,7,3,1,2,15500,1,3,0,0,0,0,0,0,0,0,0
1081,一列72%魔法伤害,1,7,3,1,2,7200,1,3,0,0,0,0,0,0,0,0,0
1082,一列86%魔法伤害,1,7,3,1,2,8600,1,3,0,0,0,0,0,0,0,0,0
1083,一列103%魔法伤害,1,7,3,1,2,10300,1,3,0,0,0,0,0,0,0,0,0
1084,回复自己造成伤害60%,3,1,1,11,6000,203,1,0,0,0,0,0,0,0,0,0,0
1085,回复自己造成伤害80%,3,1,1,11,8000,203,1,0,0,0,0,0,0,0,0,0,0
1086,回复自己造成伤害100%,3,1,1,11,10000,203,1,0,0,0,0,0,0,0,0,0,0
1087,叠加【烈焰灼烧】buff1回合,1,1,1,2,22,1,1,0,0,0,0,0,0,0,0,0,0
1088,附加20%免伤buff2回合,0,0,0,2,9802,2,1,0,0,0,0,0,0,0,0,0,0
1089,附加25%免伤buff2回合,0,0,0,2,9805,2,1,0,0,0,0,0,0,0,0,0,0
1090,附加30%免伤buff2回合,0,0,0,2,9803,2,1,0,0,0,0,0,0,0,0,0,0
1091,临时提升伤害10%,3,1,1,14,203,1000,0,0,0,0,0,0,0,0,0,0,0
1092,临时提升伤害20%,3,1,1,14,203,2000,0,0,0,0,0,0,0,0,0,0,0
1093,临时提升伤害30%,3,1,1,14,203,3000,0,0,0,0,0,0,0,0,0,0,0
1094,指定圣灵失效,0,0,0,38,100000451,100000452,100000453,0,0,0,0,0,0,0,0,0,0
1095,驱散目标2个增益效果,0,0,0,15,1,2,0,0,0,0,0,0,0,0,0,0,0
1096,驱散目标3个增益效果,0,0,0,15,1,3,0,0,0,0,0,0,0,0,0,0,0
1097,附加【15%攻击】2回合,0,0,0,2,9304,2,1,0,0,0,0,0,0,0,0,0,0
1098,附加【20%攻击】2回合,0,0,0,2,9302,2,1,0,0,0,0,0,0,0,0,0,0
1099,附加【25%攻击】2回合,0,0,0,2,9305,2,1,0,0,0,0,0,0,0,0,0,0
1100,判断友方是否有角色死亡,2,8,5,6,2,0,0,3,0,0,0,0,0,0,0,0,0
1101,复活一个目标,0,0,0,21,1,0,1,0,0,0,0,0,0,0,0,0,0
1102,治疗171%生命,0,0,0,11,17100,1,3,1,0,0,0,0,0,0,0,0,0
1103,治疗205%生命,0,0,0,11,20500,1,3,1,0,0,0,0,0,0,0,0,0
1104,治疗246%生命,0,0,0,11,24600,1,3,1,0,0,0,0,0,0,0,0,0
1105,治疗247%生命,0,0,0,11,24700,1,3,1,0,0,0,0,0,0,0,0,0
1106,治疗296%生命,0,0,0,11,29600,1,3,1,0,0,0,0,0,0,0,0,0
1107,治疗356%生命,0,0,0,11,35600,1,3,1,0,0,0,0,0,0,0,0,0
1108,技能修改1,3,1,1,30,15006011,500000023,0,0,0,0,0,0,0,0,0,0,0
1109,技能修改2,3,1,1,30,15006012,500000024,0,0,0,0,0,0,0,0,0,0,0
1110,技能修改3,3,1,1,30,15006013,500000025,0,0,0,0,0,0,0,0,0,0,0
1111,附加10%暴击率2回合,0,0,0,2,9101,2,1,0,0,0,0,0,0,0,0,0,0
1112,附加15%暴击率2回合,0,0,0,2,9102,2,1,0,0,0,0,0,0,0,0,0,0
1113,附加20%暴击率2回合,0,0,0,2,9103,2,1,0,0,0,0,0,0,0,0,0,0
1114,附加单体115%伤害,0,0,0,1,1,11500,1,3,0,0,0,0,0,0,0,0,0
2001,三个魔法139%伤害,1,8,3,1,2,13800,1,3,0,0,0,0,0,0,0,0,0
2002,单体物理220%伤害,1,1,1,1,1,22000,1,3,0,0,0,0,0,0,0,0,0
2003,判定敌方生命最低,1,8,5,12,2,2,1,0,0,0,0,0,0,0,0,0,0
2004,附加单体234%伤害,0,0,0,1,1,23400,1,3,0,0,0,0,0,0,0,0,0
2005,单体198%伤害,1,1,1,1,1,19800,1,3,0,0,0,0,0,0,0,0,0
2006,判定己方最低生命三人,2,8,5,12,2,2,3,0,0,0,0,0,0,0,0,0,0
2007,回复生命等于攻击力60%,0,0,0,11,6000,1,1,1,0,0,0,0,0,0,0,0,0
2008,判定己方生命最低一人,2,8,5,12,2,2,1,0,0,0,0,0,0,0,0,0,0
2009,回复生命攻击264%,0,0,0,11,26400,1,1,1,0,0,0,0,0,0,0,0,0
2010,叠加治疗buff2回合,0,0,0,2,1004,2,1,0,0,0,0,0,0,0,0,0,0
2011,3个敌方造成120%魔法伤害,0,0,0,1,2,12000,1,3,0,0,0,0,0,0,0,0,0
2012,判断对方为辅助,1,8,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0
2013,造成伤害提高30%,0,0,0,14,203,3000,0,0,0,0,0,0,0,0,0,0,0
2014,随机4个目标造成158%伤害魔法,1,8,4,1,2,15800,1,3,0,0,0,0,0,0,0,0,0
2015,添加buff【法术反噬】2回合,0,0,0,2,23,2,1,0,0,0,0,0,0,0,0,0,0
2016,附加【冰冻】状态2回合,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0
2017,单体115%物理伤害,1,1,1,1,1,11500,1,3,0,0,0,0,0,0,0,0,0
2018,判断己方最快速度,2,8,5,12,4,1,1,0,0,0,0,0,0,0,0,0,0
2019,添加护盾buff2回合,0,0,0,2,2001,2,1,0,0,0,0,0,0,0,0,0,0
2020,给自己加护盾2回合,3,1,1,2,2001,2,1,0,0,0,0,0,0,0,0,0,0
2021,附加伤害153%物理伤害,0,0,0,1,1,15300,1,3,0,0,0,0,0,0,0,0,0
2022,附加【流血】2回合,0,0,0,2,18,2,1,0,0,0,0,0,0,0,0,0,0
2023,附加伤害221%物理伤害,0,0,0,1,1,22100,1,3,0,0,0,0,0,0,0,0,0
2024,治疗自己50%伤害生命,3,1,1,11,5000,203,1,1,0,0,0,0,0,0,0,0,0
2025,判断对方速度最快2人,1,8,5,12,4,1,2,0,0,0,0,0,0,0,0,0,0
2026,附加魔法伤害128%,0,0,0,1,2,12800,1,3,0,0,0,0,0,0,0,0,0
2027,添加【缠绕】2回合,0,0,0,2,24,2,1,0,0,0,0,0,0,0,0,0,0
2028,附加魔法伤害154%,0,0,0,1,2,15400,1,3,0,0,0,0,0,0,0,0,0
2029,附加魔法伤害185%,0,0,0,1,2,18500,1,3,0,0,0,0,0,0,0,0,0
2030,附加判断目标职业为战士,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0
2031,降低防御力30%2回合,0,0,0,2,2002,2,1,0,0,0,0,0,0,0,0,0,0
2032,判断对方身上有【缠绕】,1,5,5,3,24,0,0,0,0,0,0,0,0,0,0,0,0
2033,临时提升自己暴击率30%,3,1,1,14,5,3000,0,0,0,0,0,0,0,0,0,0,0
2034,造成伤害130%魔法,0,0,0,1,2,13000,1,3,0,0,0,0,0,0,0,0,0
2035,临时提升自己暴击率35%,3,1,1,14,5,3500,0,0,0,0,0,0,0,0,0,0,0
2036,判断对方身上有【流血】,1,5,5,3,18,0,0,0,0,0,0,0,0,0,0,0,0
2037,临时提升本次伤害20%,3,1,1,14,203,2000,0,0,0,0,0,0,0,0,0,0,0
2038,造成伤害156%魔法,0,0,0,1,2,15600,1,3,0,0,0,0,0,0,0,0,0
2039,临时提升自己暴击率40%,3,1,1,14,5,4000,0,0,0,0,0,0,0,0,0,0,0
2040,临时提升本次伤害30%,3,1,1,14,203,3000,0,0,0,0,0,0,0,0,0,0,0
2041,造成伤害187%魔法,0,0,0,1,2,18700,1,3,0,0,0,0,0,0,0,0,0
2042,前中排99%物理伤害,1,5,5,1,1,9900,1,3,0,0,0,0,0,0,0,0,0
