base_id,mode,loop,nature,path,bank,explain,name,switch,switch_value
110,2D,0,1,Hero/VO_Guid_10,Hero,引导音效,VO_Guid_10,0,0
111,2D,0,1,Hero/VO_Guid_11,Hero,引导音效,VO_Guid_11,0,0
112,2D,0,1,Hero/VO_Guid_12,Hero,引导音效,VO_Guid_12,0,0
113,2D,0,1,Hero/VO_Guid_13,Hero,引导音效,VO_Guid_13,0,0
114,2D,0,1,Hero/VO_Guid_14,Hero,引导音效,VO_Guid_14,0,0
115,2D,0,1,Hero/VO_Guid_15,Hero,引导音效,VO_Guid_15,0,0
116,2D,0,1,Hero/VO_Guid_16,Hero,引导音效,VO_Guid_16,0,0
117,2D,0,1,Hero/VO_Guid_17,Hero,引导音效,VO_Guid_17,0,0
118,2D,0,1,Hero/VO_Guid_18,Hero,引导音效,VO_Guid_18,0,0
119,2D,0,1,Hero/VO_Guid_19,Hero,引导音效,VO_Guid_19,0,0
120,2D,0,1,Hero/VO_Guid_20,Hero,引导音效,VO_Guid_20,0,0
121,2D,0,1,Hero/VO_Guid_21,Hero,引导音效,VO_Guid_21,0,0
122,2D,0,1,Hero/VO_Guid_22,Hero,引导音效,VO_Guid_22,0,0
123,2D,0,1,Hero/VO_Guid_23,Hero,引导音效,VO_Guid_23,0,0
124,2D,0,1,Hero/VO_Guid_24,Hero,引导音效,VO_Guid_24,0,0
125,2D,0,1,Hero/VO_Guid_25,Hero,引导音效,VO_Guid_25,0,0
126,2D,0,1,Hero/VO_Guid_26,Hero,引导音效,VO_Guid_26,0,0
100101,2D,0,1,Hero/VO_1001_Rnd,Hero,武将音效,VO_1001_Rnd,0,0
100201,2D,0,1,Hero/VO_1002_Rnd,Hero,武将音效,VO_1002_Rnd,0,0
100301,2D,0,1,Hero/VO_1003_Rnd,Hero,武将音效,VO_1003_Rnd,0,0
100401,2D,0,1,Hero/VO_1004_Rnd,Hero,武将音效,VO_1004_Rnd,0,0
100501,2D,0,1,Hero/VO_1005_Rnd,Hero,武将音效,VO_1005_Rnd,0,0
100601,2D,0,1,Hero/VO_1006_Rnd,Hero,武将音效,VO_1006_Rnd,0,0
100701,2D,0,1,Hero/VO_1007_Rnd,Hero,武将音效,VO_1007_Rnd,0,0
100801,2D,0,1,Hero/VO_1008_Rnd,Hero,武将音效,VO_1008_Rnd,0,0
100901,2D,0,1,Hero/VO_1009_Rnd,Hero,武将音效,VO_1009_Rnd,0,0
101001,2D,0,1,Hero/VO_1010_Rnd,Hero,武将音效,VO_1010_Rnd,0,0
101101,2D,0,1,Hero/VO_1011_Rnd,Hero,武将音效,VO_1011_Rnd,0,0
101201,2D,0,1,Hero/VO_1012_Rnd,Hero,武将音效,VO_1012_Rnd,0,0
101301,2D,0,1,Hero/VO_1013_Rnd,Hero,武将音效,VO_1013_Rnd,0,0
101401,2D,0,1,Hero/VO_1014_Rnd,Hero,武将音效,VO_1014_Rnd,0,0
101501,2D,0,1,Hero/VO_1015_Rnd,Hero,武将音效,VO_1015_Rnd,0,0
101601,2D,0,1,Hero/VO_1016_Rnd,Hero,武将音效,VO_1016_Rnd,0,0
101701,2D,0,1,Hero/VO_1017_Rnd,Hero,武将音效,VO_1017_Rnd,0,0
101801,2D,0,1,Hero/VO_1018_Rnd,Hero,武将音效,VO_1018_Rnd,0,0
200101,2D,0,1,Hero/VO_2001_Rnd,Hero,武将音效,VO_2001_Rnd,0,0
200201,2D,0,1,Hero/VO_2002_Rnd,Hero,武将音效,VO_2002_Rnd,0,0
200301,2D,0,1,Hero/VO_2003_Rnd,Hero,武将音效,VO_2003_Rnd,0,0
200401,2D,0,1,Hero/VO_2004_Rnd,Hero,武将音效,VO_2004_Rnd,0,0
200501,2D,0,1,Hero/VO_2005_Rnd,Hero,武将音效,VO_2005_Rnd,0,0
200601,2D,0,1,Hero/VO_2006_Rnd,Hero,武将音效,VO_2006_Rnd,0,0
200701,2D,0,1,Hero/VO_2007_Rnd,Hero,武将音效,VO_2007_Rnd,0,0
200801,2D,0,1,Hero/VO_2008_Rnd,Hero,武将音效,VO_2008_Rnd,0,0
200901,2D,0,1,Hero/VO_2009_Rnd,Hero,武将音效,VO_2009_Rnd,0,0
201001,2D,0,1,Hero/VO_2010_Rnd,Hero,武将音效,VO_2010_Rnd,0,0
201101,2D,0,1,Hero/VO_2011_Rnd,Hero,武将音效,VO_2011_Rnd,0,0
201201,2D,0,1,Hero/VO_2012_Rnd,Hero,武将音效,VO_2012_Rnd,0,0
201301,2D,0,1,Hero/VO_2013_Rnd,Hero,武将音效,VO_2013_Rnd,0,0
201401,2D,0,1,Hero/VO_2014_Rnd,Hero,武将音效,VO_2014_Rnd,0,0
201501,2D,0,1,Hero/VO_2015_Rnd,Hero,武将音效,VO_2015_Rnd,0,0
201601,2D,0,1,Hero/VO_2016_Rnd,Hero,武将音效,VO_2016_Rnd,0,0
300101,2D,0,1,Hero/VO_3001_Rnd,Hero,武将音效,VO_3001_Rnd,0,0
300201,2D,0,1,Hero/VO_3002_Rnd,Hero,武将音效,VO_3002_Rnd,0,0
300301,2D,0,1,Hero/VO_3003_Rnd,Hero,武将音效,VO_3003_Rnd,0,0
300401,2D,0,1,Hero/VO_3004_Rnd,Hero,武将音效,VO_3004_Rnd,0,0
300501,2D,0,1,Hero/VO_3005_Rnd,Hero,武将音效,VO_3005_Rnd,0,0
300601,2D,0,1,Hero/VO_3006_Rnd,Hero,武将音效,VO_3006_Rnd,0,0
300701,2D,0,1,Hero/VO_3007_Rnd,Hero,武将音效,VO_3007_Rnd,0,0
300801,2D,0,1,Hero/VO_3008_Rnd,Hero,武将音效,VO_3008_Rnd,0,0
300901,2D,0,1,Hero/VO_3009_Rnd,Hero,武将音效,VO_3009_Rnd,0,0
301001,2D,0,1,Hero/VO_3010_Rnd,Hero,武将音效,VO_3010_Rnd,0,0
301101,2D,0,1,Hero/VO_3011_Rnd,Hero,武将音效,VO_3011_Rnd,0,0
301201,2D,0,1,Hero/VO_3012_Rnd,Hero,武将音效,VO_3012_Rnd,0,0
301301,2D,0,1,Hero/VO_3013_Rnd,Hero,武将音效,VO_3013_Rnd,0,0
301401,2D,0,1,Hero/VO_3014_Rnd,Hero,武将音效,VO_3014_Rnd,0,0
400101,2D,0,1,Hero/VO_4001_Rnd,Hero,武将音效,VO_4001_Rnd,0,0
400201,2D,0,1,Hero/VO_4002_Rnd,Hero,武将音效,VO_4002_Rnd,0,0
400301,2D,0,1,Hero/VO_4003_Rnd,Hero,武将音效,VO_4003_Rnd,0,0
400401,2D,0,1,Hero/VO_4004_Rnd,Hero,武将音效,VO_4004_Rnd,0,0
400501,2D,0,1,Hero/VO_4005_Rnd,Hero,武将音效,VO_4005_Rnd,0,0
400601,2D,0,1,Hero/VO_4006_Rnd,Hero,武将音效,VO_4006_Rnd,0,0
400701,2D,0,1,Hero/VO_4007_Rnd,Hero,武将音效,VO_4007_Rnd,0,0
400801,2D,0,1,Hero/VO_4008_Rnd,Hero,武将音效,VO_4008_Rnd,0,0
400901,2D,0,1,Hero/VO_4009_Rnd,Hero,武将音效,VO_4009_Rnd,0,0
401001,2D,0,1,Hero/VO_4010_Rnd,Hero,武将音效,VO_4010_Rnd,0,0
401101,2D,0,1,Hero/VO_4011_Rnd,Hero,武将音效,VO_4011_Rnd,0,0
401201,2D,0,1,Hero/VO_4012_Rnd,Hero,武将音效,VO_4012_Rnd,0,0
401301,2D,0,1,Hero/VO_4013_Rnd,Hero,武将音效,VO_4013_Rnd,0,0
401401,2D,0,1,Hero/VO_4014_Rnd,Hero,武将音效,VO_4014_Rnd,0,0
401501,2D,0,1,Hero/VO_4015_Rnd,Hero,武将音效,VO_4015_Rnd,0,0
500101,2D,0,1,Hero/VO_5001_Rnd,Hero,武将音效,VO_5001_Rnd,0,0
500201,2D,0,1,Hero/VO_5002_Rnd,Hero,武将音效,VO_5002_Rnd,0,0
500301,2D,0,1,Hero/VO_5003_Rnd,Hero,武将音效,VO_5003_Rnd,0,0
500401,2D,0,1,Hero/VO_5004_Rnd,Hero,武将音效,VO_5004_Rnd,0,0
500501,2D,0,1,Hero/VO_5005_Rnd,Hero,武将音效,VO_5005_Rnd,0,0
500601,2D,0,1,Hero/VO_5006_Rnd,Hero,武将音效,VO_5006_Rnd,0,0
500701,2D,0,1,Hero/VO_5007_Rnd,Hero,武将音效,VO_5007_Rnd,0,0
600101,2D,0,1,Hero/VO_6001_Rnd,Hero,武将音效,VO_6001_Rnd,0,0
600201,2D,0,1,Hero/VO_6002_Rnd,Hero,武将音效,VO_6002_Rnd,0,0
600301,2D,0,1,Hero/VO_6003_Rnd,Hero,武将音效,VO_6003_Rnd,0,0
600401,2D,0,1,Hero/VO_6004_Rnd,Hero,武将音效,VO_6004_Rnd,0,0
600501,2D,0,1,Hero/VO_6005_Rnd,Hero,武将音效,VO_6005_Rnd,0,0
600601,2D,0,1,Hero/VO_6006_Rnd,Hero,武将音效,VO_6006_Rnd,0,0
600701,2D,0,1,Hero/VO_6007_Rnd,Hero,武将音效,VO_6007_Rnd,0,0
600801,2D,0,1,Hero/VO_6008_Rnd,Hero,武将音效,VO_6008_Rnd,0,0
700101,2D,0,1,Hero/VO_7001_Rnd,Hero,武将音效,VO_7001_Rnd,0,0
700201,2D,0,1,Hero/VO_7002_Rnd,Hero,武将音效,VO_7002_Rnd,0,0
700301,2D,0,1,Hero/VO_7003_Rnd,Hero,武将音效,VO_7003_Rnd,0,0
700401,2D,0,1,Hero/VO_7004_Rnd,Hero,武将音效,VO_7004_Rnd,0,0
