id,name,guide_task,group,color,star,isteam,time,task_elapsed_time,needtocamp1,needtocamp2,needtocamp3,needtocamp4,needtostar,starnum,intr
75,战士的请求,0,5,6,4,0,21600,86400,2,0,0,1,6,1,帮助战士回到前线战场。
76,人口失踪,0,5,6,4,0,21600,86400,1,0,0,2,6,2,帝都大街上经常有醉汉失踪，调查一下这件事。
77,英雄的请求,0,5,6,4,0,21600,86400,1,2,0,0,6,2,协助英雄击退骚扰伤员的怪物。
78,传奇铁砧,0,5,6,4,0,21600,86400,2,0,1,0,6,2,地穴迷宫深处有传说可以打造神兵的铁砧，将他找到并带给矮人王。
79,残缺的躯体,0,5,6,4,0,21600,86400,0,2,0,1,6,2,一个肢体残缺的骷髅战士希望有人能够帮他找回丢失的部分。
80,制服暗影恶魔,0,5,6,4,0,21600,86400,0,0,2,1,6,2,暗影怪物擅长隐藏气息，消灭潜伏的暗影怪物。
81,点燃烽火,0,5,6,4,0,21600,86400,0,2,0,1,6,1,怪物已经踏足城邦，点燃烽火，招募援军。
82,阴影斗篷,0,5,6,4,0,21600,86400,1,0,2,0,6,1,亡灵很难再阳光下行走，寻找一些斗篷为他们遮挡阳光。
83,警告活人,0,5,6,4,0,21600,86400,2,0,0,1,6,1,一群盗墓贼进入了墓穴盗墓，去警告他们活人不要进入死人的地界。
84,被禁锢的幽魂,0,6,8,5,0,28800,86400,2,0,0,1,8,1,许多幽魂被禁锢在一个魔法匣子里，想办法解开匣子，释放这些幽魂。
85,邪教组织,0,6,8,5,0,28800,86400,2,0,1,0,8,2,捣毁信仰怪物的邪教。
86,一夜筑城,0,6,8,5,0,28800,86400,0,0,1,2,8,2,怪物在前线持续进攻，要在一夜之间筑起一座城。
87,收集狼皮,0,6,8,5,0,28800,86400,0,1,2,0,8,1,猎人部落需要一批狼皮制作大衣过冬，帮助他们一同收集。
88,护送粮草,0,6,8,5,0,28800,86400,0,0,2,1,8,1,前方战线吃紧，缺少粮草，帮助押送。
89,围点打援,0,6,8,5,0,28800,86400,0,0,1,2,8,1,怪物阵地已经被包围，请与战士们一同伏击前来支援的怪物。
90,植物和僵尸,0,6,8,5,0,28800,86400,0,0,2,1,8,1,有一种植物可以克制僵尸，请寻找这种特殊的植物。
91,魔法猫咪,0,6,8,5,0,28800,86400,1,0,0,2,8,1,大魔导师的猫咪走丢了，它会各种变化，帮助魔导师寻找猫咪。
92,黑夜猎手,0,6,8,5,0,28800,86400,2,0,0,1,8,1,有一群怪物，一到夜晚就出现，帮助猎手猎杀他们。
93,草原之王,0,6,8,5,0,28800,86400,1,2,0,0,8,1,草原的狮子王被怪物魔化，前往大草原净化狮子王。
94,极地之怒,0,6,8,5,0,28800,86400,0,2,1,0,8,1,极地雪山地区出现叛军，帮助极地将军清缴叛军。
95,不屈英雄,0,6,8,5,0,28800,86400,1,2,0,0,8,1,英雄是不屈的，营救我方被俘虏的英雄。
96,不祥之剑,0,6,8,5,0,28800,86400,2,0,0,1,8,1,存封这把不祥之剑。
97,惩戒恶魔,0,6,8,5,0,28800,86401,1,0,0,2,8,2,炼金师做了一个针对怪物的法箭，使用法箭惩戒怪物。
98,半树人之神,0,6,8,5,0,28800,86402,1,2,0,0,8,2,半树人都受到了魔化，帮助半树人之神净化它们。
99,大发明家,0,6,8,5,0,28800,86403,2,0,1,0,8,2,帮助大发明家寻找发明新式武器的材料。
100,刀锋部落的委托,0,6,8,5,0,28800,86404,0,2,0,1,8,2,刀锋部落的圣物被怪物夺走了，帮助他们夺回圣物。
101,刀锋的遗言,0,6,8,5,0,28800,86405,0,0,2,1,8,2,刀锋部落的勇士濒死，临终遗言让你帮忙救出被怪物带着的家人。
102,赏金猎人,0,6,8,5,0,28800,86406,0,2,0,1,8,1,有一个匿名者发出了一个悬赏，捉拿一个怪物逃犯。
103,金翅鸟血,0,6,8,5,0,28800,86407,1,0,2,0,8,1,执政官得了一个怪病，需要金翅鸟的血来治病。帮助他寻找。
104,堕落天使,0,7,10,6,0,36000,86400,2,0,0,1,10,1,感化被堕落的天使重回圣殿。
105,符文之盾,0,7,10,6,0,36000,86400,2,0,1,0,10,2,寻找散落大陆的符文碎片，组成符文之盾。
106,风暴的愤怒,0,7,10,6,0,36000,86400,0,0,1,2,10,2,一些无知的村民惹怒了风暴精灵，带来了灭顶之灾，帮助村民解决问题。
107,海洋之灾,0,7,10,6,0,36000,86400,0,1,2,0,10,1,在公海有一个幽灵船，专门攻击各种路过的船只。前往公海超度幽灵。
108,公选天使,0,7,10,6,0,36000,86400,0,0,2,1,10,1,代表凡人参与天使长的公选。
109,远古的亡魂,0,7,10,6,0,36000,86400,0,0,1,2,10,1,亡魂不能得以超度，请去超度这个远古的亡魂。
110,战争女神的断刃,0,7,10,6,0,36000,86400,0,0,2,1,10,1,寻找千年玄石，帮助战争女神修复断刃。
111,电光之石,0,7,10,6,0,36000,86400,1,0,0,2,10,1,电枪部队的电光石被偷，想办法帮他忙找回。
112,屠龙,0,7,10,6,0,36000,86400,2,0,0,1,10,1,城邦飞来一群恶龙，国王招募勇士屠龙。
113,选拔骑士,0,7,10,6,0,36000,86400,1,2,0,0,10,1,前往军队大营，选拔骑士。
114,联合部落,0,7,10,6,0,36000,86400,0,2,1,0,10,1,联合各个散落的部落，一起对抗怪物。
115,邪恶的霸王花,0,7,10,6,0,36000,86400,1,2,0,0,10,1,山岭之上，长出了一朵霸王花，散播毒粉，危害四方，请前往除掉。
116,巨龙宝甲,0,7,10,6,0,36000,86400,2,0,0,1,10,1,上古穿下来的一个巨龙宝甲，他没有了灵气，需要巨龙之血。
117,刺杀执政官,0,7,10,6,0,36000,86400,1,0,0,2,10,2,前往怪物守卫部队刺杀怪物执政官。
118,押解俘虏,0,7,10,6,0,36000,86400,1,2,0,0,10,2,协助部队押解俘虏。
119,城邦的第一场雪,0,7,10,6,0,36000,86401,2,0,1,0,10,2,城邦许久不下雪，后得知被邪恶巫师控制，击杀它。
120,月亮之下,0,7,10,6,0,36000,86402,0,2,0,1,10,2,每当满月之时，在丛林深处就会出现一个哀嚎的恶灵。
121,清缴叛军,0,7,10,6,0,36000,86403,0,0,2,1,10,2,城南突然出现一股叛军，来势凶猛，前往清缴。
122,窃取情报,0,7,10,6,0,36000,86404,0,2,0,1,10,1,前往敌方军营，窃取敌方下一步行动计划。
123,训练骑士,0,7,10,6,0,36000,86405,1,0,2,0,10,1,帮助骑士长训练骑士。
124,不死者商会,0,1,1,1,1,3600,604800,0,1,1,0,1,2,传说大墓地深处有一个永生者商会，贩卖高等道具。请去刺探情报。
125,矿石礼物,0,1,1,1,1,3600,604800,1,0,1,0,1,2,帮助矮人王寄送精炼所需要的稀有矿石。
126,英雄的职责,0,1,1,1,1,3600,604800,1,1,0,0,1,2,帮助医护人员照顾被怪物袭击的伤员。
127,角斗士的自由,0,1,1,1,1,3600,604800,1,1,0,0,1,2,一群角斗士被囚禁，将他们救出，还其自由。
128,蛮兽的礼节,0,1,1,1,1,3600,604800,1,1,0,0,1,2,帮助兽王护送精致的兽牙项链。
129,英雄的请求,0,1,1,1,1,3600,604800,1,1,0,0,1,2,黑火药和黑啤酒是世界上最棒的东西了。
130,重建磨坊,0,1,1,1,1,3600,604800,1,1,0,0,1,2,村子里的磨坊遭到了怪物的焚毁，帮助村民重建磨坊。
131,永驻青春,0,1,1,1,1,3600,604800,1,1,0,0,1,2,精灵生性美丽，但需永保青春，需要寻找叶绿素提供能量。
132,探听虚实,0,1,1,1,1,3600,604800,1,1,0,0,1,2,有一群永生的人群组成了一个协会，前去打听虚实。
133,污染的水源,0,1,1,1,1,3600,604800,1,1,0,0,1,2,城镇的井水变得又咸又臭，帮助调查水源。
134,不死者商会,0,2,1,1,1,3600,604800,0,1,1,0,1,2,传说大墓地深处有一个永生者商会，贩卖高等道具。请去刺探情报。
135,矿石礼物,0,2,1,1,1,3600,604800,1,0,1,0,1,2,帮助矮人王寄送精炼所需要的稀有矿石。
136,英雄的职责,0,2,1,1,1,3600,604800,1,1,0,0,1,2,帮助医护人员照顾被怪物袭击的伤员。
137,角斗士的自由,0,2,1,1,1,3600,604800,1,1,0,0,1,2,一群角斗士被囚禁，将他们救出，还其自由。
138,蛮兽的礼节,0,2,1,1,1,3600,604800,1,1,0,0,1,2,帮助兽王护送精致的兽牙项链。
139,英雄的请求,0,2,1,1,1,3600,604800,1,1,0,0,1,2,黑火药和黑啤酒是世界上最棒的东西了。
140,重建磨坊,0,2,1,1,1,3600,604800,1,1,0,0,1,2,村子里的磨坊遭到了怪物的焚毁，帮助村民重建磨坊。
141,永驻青春,0,2,1,1,1,3600,604800,1,1,0,0,1,2,精灵生性美丽，但需永保青春，需要寻找叶绿素提供能量。
142,探听虚实,0,2,1,1,1,3600,604800,1,1,0,0,1,2,有一群永生的人群组成了一个协会，前去打听虚实。
143,污染的水源,0,2,1,1,1,3600,604800,1,1,0,0,1,2,城镇的井水变得又咸又臭，帮助调查水源。
144,变异的植物,0,3,2,2,1,7200,604800,0,1,1,0,2,2,友善的丛林植物开始伤害旅途的行人，处置发狂的植物。
145,驯服狂暴野兽,0,3,2,2,1,7200,604800,1,0,1,0,2,2,野兽突然狂暴，造成恐慌和骚乱，迅速制止它们。
146,变异的植物,0,3,2,2,1,7200,604800,1,1,0,0,2,2,友善的丛林植物开始伤害旅途的行人，处置发狂的植物。
147,炼金药材,0,3,2,2,1,7200,604800,1,1,0,0,2,2,前往丛林搜集炼金所需的草药。
148,炼金涂剂,0,3,2,2,1,7200,604800,1,1,0,0,2,2,涂剂可以让武器拥有魔法效果，帮助炼金术士制作炼金涂剂。
149,失控的僵尸,0,3,2,2,1,7200,604800,1,1,0,0,2,2,几个僵尸突然发狂，冲出墓地，乱咬平民，快去制止。
150,护送商队,0,3,2,2,1,7200,604800,1,1,0,0,2,2,经常有强盗出没，商队希望你能来保护大家。
151,丈量土地,0,3,2,2,1,7200,604800,1,1,0,0,2,2,一个绘图师想要制作地图，正在招募人手为他丈量土地。
152,必备素材,0,3,2,2,1,7200,604800,1,1,0,0,2,2,寻找一些山羊的头骨来，这是施展魔法通灵的必备材料。
153,营救俘虏,0,3,2,2,1,7200,604800,1,1,0,0,2,2,怪物俘虏了几名雷属性的英雄，想办法把他们救出来。
154,骸骨研究,0,4,4,3,1,14400,604800,0,1,1,0,4,2,研究精灵生物的骸骨。
155,英雄的请求,0,4,4,3,1,14400,604800,1,0,1,0,4,2,保护英雄前往前线交战。
156,揪出内奸,0,4,4,3,1,14400,604800,1,1,0,0,4,2,帝都不断有情报泄漏，军中一定有内奸，想办法把他们揪出来。
157,修复烽火台,0,4,4,3,1,14400,604800,1,1,0,0,4,2,烽火台被怪物击破，前往帮助修复烽火台。
158,邪恶的炼金术士,0,4,4,3,1,14400,604800,1,1,0,0,4,2,似乎有人利用炼金术做坏事，调查此事。
159,弹药补给,0,4,4,3,1,14400,604800,1,1,0,0,4,2,矮人皇家火铳团弹药告急，为他们筹备一批子弹。
160,收集亡魂,0,4,4,3,1,14400,604800,1,1,0,0,4,2,用骨灰盅收集散落各处的亡魂。
161,净化图腾,0,4,4,3,1,14400,604800,1,1,0,0,4,2,将净化图腾插入灰石旷野，净化那里被污染的土地。
162,剧毒孢子,0,4,4,3,1,14400,604800,1,1,0,0,4,2,丛林中的蘑菇不知道为何散发出有毒的孢子，想办法制止他们。
163,爱喝酒的矮人,0,4,4,3,1,14400,604800,1,1,0,0,4,2,消灭占据酒庄的怪物。
164,坚守圣地,0,5,6,4,1,21600,604800,0,1,1,0,6,2,清缴游荡在丛林附近的怪物。
165,被禁锢的幽魂,0,5,6,4,1,21600,604800,1,0,1,0,6,2,许多幽魂被禁锢在一个魔法匣子里，想办法解开匣子，释放这些幽魂。
166,邪教组织,0,5,6,4,1,21600,604800,1,1,0,0,6,2,捣毁信仰怪物的邪教。
167,一夜筑城,0,5,6,4,1,21600,604800,1,1,0,0,6,2,怪物在前线持续进攻，要在一夜之间筑起一座城。
168,收集狼皮,0,5,6,4,1,21600,604800,1,1,0,0,6,2,猎人部落需要一批狼皮制作大衣过冬，帮助他们一同收集。
169,护送粮草,0,5,6,4,1,21600,604800,1,1,0,0,6,2,前方战线吃紧，缺少粮草，帮助押送。
170,围点打援,0,5,6,4,1,21600,604800,1,1,0,0,6,2,怪物阵地已经被包围，请与战士们一同伏击前来支援的怪物。
171,植物和僵尸,0,5,6,4,1,21600,604800,1,1,0,0,6,2,有一种植物可以克制僵尸，请寻找这种特殊的植物。
172,魔法猫咪,0,5,6,4,1,21600,604800,1,1,0,0,6,2,大魔导师的猫咪走丢了，它会各种变化，帮助魔导师寻找猫咪。
173,黑夜猎手,0,5,6,4,1,21600,604800,1,1,0,0,6,2,有一群怪物，一到夜晚就出现，帮助猎手猎杀他们。
174,堕落天使,0,6,8,5,1,28800,604800,0,1,1,0,8,2,感化被堕落的天使重回圣殿。
175,符文之盾,0,6,8,5,1,28800,604800,1,0,1,0,8,2,寻找散落大陆的符文碎片，组成符文之盾。
176,风暴的愤怒,0,6,8,5,1,28800,604800,1,1,0,0,8,2,一些无知的村民惹怒了风暴精灵，带来了灭顶之灾，帮助村民解决问题。
177,海洋之灾,0,6,8,5,1,28800,604800,1,1,0,0,8,2,在公海有一个幽灵船，专门攻击各种路过的船只。前往公海超度幽灵。
178,公选天使,0,6,8,5,1,28800,604800,1,1,0,0,8,2,代表凡人参与天使长的公选。
179,远古的亡魂,0,6,8,5,1,28800,604800,1,1,0,0,8,2,亡魂不能得以超度，请去超度这个远古的亡魂。
180,战争女神的断刃,0,6,8,5,1,28800,604800,1,1,0,0,8,2,寻找千年玄石，帮助战争女神修复断刃。
181,电光之石,0,6,8,5,1,28800,604800,1,1,0,0,8,2,电枪部队的电光石被偷，想办法帮他忙找回。
182,屠龙,0,6,8,5,1,28800,604800,1,1,0,0,8,2,城邦飞来一群恶龙，国王招募勇士屠龙。
183,选拔骑士,0,6,8,5,1,28800,604800,1,1,0,0,8,2,前往军队大营，选拔骑士。
184,极地之怒,0,7,10,6,1,36000,604800,0,1,1,0,10,2,极地雪山地区出现叛军，帮助极地将军清缴叛军。
185,不屈英雄,0,7,10,6,1,36000,604800,1,0,1,0,10,2,英雄是不屈的，营救我方被俘虏的英雄。
186,不祥之剑,0,7,10,6,1,36000,604800,1,1,0,0,10,2,存封这把不祥之剑。
187,惩戒恶魔,0,7,10,6,1,36000,604800,1,1,0,0,10,2,炼金师做了一个针对怪物的法箭，使用法箭惩戒怪物。
188,半树人之神,0,7,10,6,1,36000,604800,1,1,0,0,10,2,半树人都受到了魔化，帮助半树人之神净化它们。
189,大发明家,0,7,10,6,1,36000,604800,1,1,0,0,10,2,帮助大发明家寻找发明新式武器的材料。
190,刀锋部落的委托,0,7,10,6,1,36000,604800,1,1,0,0,10,2,刀锋部落的圣物被怪物夺走了，帮助他们夺回圣物。
191,刀锋的遗言,0,7,10,6,1,36000,604800,1,1,0,0,10,2,刀锋部落的勇士濒死，临终遗言让你帮忙救出被怪物带着的家人。
192,赏金猎人,0,7,10,6,1,36000,604800,1,1,0,0,10,2,有一个匿名者发出了一个悬赏，捉拿一个怪物逃犯。
193,金翅鸟血,0,7,10,6,1,36000,604800,1,1,0,0,10,2,执政官得了一个怪病，需要金翅鸟的血来治病。帮助他寻找。
