id,dungeons_id,dungeons_type,dungeons_color,dungeons_table,dungeons_name,dungeons_bg,dungeons1_desc,dungeons2_desc,dungeons_boss,dungeons_boss_pic,dungeons_boss_desc,dungeons_first_pic,dungeons_first_drop,dungeons_pass_pic,dungeons_pass_drop,is_show,pass_time,join_need,need_item_type,need_item,open_dungeons_type,open_dungeons,open_time,open_duration
5002,5,5,bg_dilaozhangjie_yxwd_11,Table_Dungeons_Map05,冰霜峡谷,dilao_bg_05,白雪皑皑，寒风凛冽，极北之地，异鬼巢穴,隐藏在冰霜峡谷中的异鬼蠢蠢欲动，消灭他们,1021001,jjchero1005,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320004,1,3,0,0,0,2,5,1574024400,604800
5003,5,5,bg_dilaozhangjie_yxwd_12,Table_Dungeons_Map05,冰霜峡谷,dilao_bg_05,白雪皑皑，寒风凛冽，极北之地，异鬼巢穴,隐藏在冰霜峡谷中的异鬼蠢蠢欲动，消灭他们,1021002,jjchero1006,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320005,1,3,0,0,0,2,5,1574629200,604800
5004,5,5,bg_dilaozhangjie_yxwd_10,Table_Dungeons_Map05,冰霜峡谷,dilao_bg_05,白雪皑皑，寒风凛冽，极北之地，异鬼巢穴,隐藏在冰霜峡谷中的异鬼蠢蠢欲动，消灭他们,1030101,jjchero1007,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320006,1,3,0,0,0,2,5,1575234000,604800
5005,5,5,bg_dilaozhangjie_yxwd_09,Table_Dungeons_Map05,冰霜峡谷,dilao_bg_05,白雪皑皑，寒风凛冽，极北之地，异鬼巢穴,隐藏在冰霜峡谷中的异鬼蠢蠢欲动，消灭他们,1030201,jjchero1001,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320007,1,3,0,0,0,2,5,1575838800,604800
5006,5,5,bg_dilaozhangjie_yxwd_11,Table_Dungeons_Map05,冰霜峡谷,dilao_bg_05,白雪皑皑，寒风凛冽，极北之地，异鬼巢穴,隐藏在冰霜峡谷中的异鬼蠢蠢欲动，消灭他们,1030202,jjchero1002,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320008,1,3,0,0,0,2,5,1576443600,604800
5007,5,5,bg_dilaozhangjie_yxwd_12,Table_Dungeons_Map05,冰霜峡谷,dilao_bg_05,白雪皑皑，寒风凛冽，极北之地，异鬼巢穴,隐藏在冰霜峡谷中的异鬼蠢蠢欲动，消灭他们,1030301,jjchero1003,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320009,1,3,0,0,0,2,5,1577048400,604800
5008,5,5,bg_dilaozhangjie_yxwd_10,Table_Dungeons_Map05,冰霜峡谷,dilao_bg_05,白雪皑皑，寒风凛冽，极北之地，异鬼巢穴,隐藏在冰霜峡谷中的异鬼蠢蠢欲动，消灭他们,1030302,jjchero1004,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320010,1,3,0,0,0,2,5,1577653200,604800
6001,5,6,bg_dilaozhangjie_yxwd_09,Table_Dungeons_Map05,火焰熔炉,dilao_bg_05,燃烧，毁灭，灰烬，死亡，火焰……焚烧一切！,消灭火焰熔炉中的火焰领主,1030303,jjchero1005,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320011,1,3,0,0,0,3,2,1573419600,604800
6002,5,6,bg_dilaozhangjie_yxwd_11,Table_Dungeons_Map05,火焰熔炉,dilao_bg_05,燃烧，毁灭，灰烬，死亡，火焰……焚烧一切！,消灭火焰熔炉中的火焰领主,1030401,jjchero1006,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320012,1,3,0,0,0,3,2,1574024400,604800
6003,5,6,bg_dilaozhangjie_yxwd_12,Table_Dungeons_Map05,火焰熔炉,dilao_bg_05,燃烧，毁灭，灰烬，死亡，火焰……焚烧一切！,消灭火焰熔炉中的火焰领主,1030402,jjchero1007,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320013,1,3,0,0,0,3,2,1574629200,604800
6004,5,6,bg_dilaozhangjie_yxwd_10,Table_Dungeons_Map05,火焰熔炉,dilao_bg_05,燃烧，毁灭，灰烬，死亡，火焰……焚烧一切！,消灭火焰熔炉中的火焰领主,1030403,jjchero1001,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320014,1,3,0,0,0,3,2,1575234000,604800
6005,5,6,bg_dilaozhangjie_yxwd_09,Table_Dungeons_Map05,火焰熔炉,dilao_bg_05,燃烧，毁灭，灰烬，死亡，火焰……焚烧一切！,消灭火焰熔炉中的火焰领主,1030501,jjchero1002,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320015,1,3,0,0,0,3,2,1575838800,604800
6006,5,6,bg_dilaozhangjie_yxwd_11,Table_Dungeons_Map05,火焰熔炉,dilao_bg_05,燃烧，毁灭，灰烬，死亡，火焰……焚烧一切！,消灭火焰熔炉中的火焰领主,1030502,jjchero1003,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320016,1,3,0,0,0,3,2,1576443600,604800
6007,5,6,bg_dilaozhangjie_yxwd_12,Table_Dungeons_Map05,火焰熔炉,dilao_bg_05,燃烧，毁灭，灰烬，死亡，火焰……焚烧一切！,消灭火焰熔炉中的火焰领主,1030503,jjchero1004,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320017,1,3,0,0,0,3,2,1577048400,604800
6008,5,6,bg_dilaozhangjie_yxwd_10,Table_Dungeons_Map05,火焰熔炉,dilao_bg_05,燃烧，毁灭，灰烬，死亡，火焰……焚烧一切！,消灭火焰熔炉中的火焰领主,1030601,jjchero1005,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320018,1,3,0,0,0,3,2,1577653200,604800
7001,5,7,bg_dilaozhangjie_yxwd_11,Table_Dungeons_Map05,火焰熔炉,dilao_bg_05,燃烧，毁灭，灰烬，死亡，火焰……焚烧一切！,消灭火焰熔炉中的火焰领主,1030602,jjchero1006,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320019,1,7,0,0,0,0,0,1575147600,2678400
7002,5,7,bg_dilaozhangjie_yxwd_12,Table_Dungeons_Map05,火焰熔炉,dilao_bg_05,燃烧，毁灭，灰烬，死亡，火焰……焚烧一切！,消灭火焰熔炉中的火焰领主,1030603,jjchero1007,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320020,1,7,0,0,0,0,0,1577826000,2678400
7003,5,7,bg_dilaozhangjie_yxwd_10,Table_Dungeons_Map05,火焰熔炉,dilao_bg_05,燃烧，毁灭，灰烬，死亡，火焰……焚烧一切！,消灭火焰熔炉中的火焰领主,1030701,jjchero1006,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320021,1,7,0,0,0,0,0,1580504400,2505600
7004,5,7,bg_dilaozhangjie_yxwd_09,Table_Dungeons_Map05,火焰熔炉,dilao_bg_05,燃烧，毁灭，灰烬，死亡，火焰……焚烧一切！,消灭火焰熔炉中的火焰领主,1030702,jjchero1007,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320022,1,7,0,0,0,0,0,1583010000,2678400
