id,dec,str
56,STR_UIPUBLIC_DISCOUNT,%s折
57,STR_UIPUBLIC_TIME_DAY,%d天
58,STR_UIPUBLIC_TIME_HOUR,%d小时
59,STR_UIPUBLIC_TIME_DH,%d天%d小时
60,STR_UIPUBLIC_TIME_MINUTE,%d分钟
61,STR_UIPUBLIC_TIME_DHM,%d天%d时%d分
62,STR_UIPUBLIC_TIME_DHMS,%d天%d时%d分%d秒
63,STR_UIPUBLIC_TIME_YDH,%d月%d日%d时
64,STR_UIPUBLIC_TIME_YDHM,%d月%d日%d:%s
65,STR_UIPUBLIC_STEP_LEVEL,%d阶
66,STR_UIPUBLIC_STEP_LV,%d级
67,STR_UIPUBLIC_STEP_LEVEL_LV,%d阶%d级
68,STR_UIPUBLIC_ALLIANCE,同盟
69,STR_UIPUBLIC_USER_NEED_LV,领主等级需到达%d级
70,STR_UIPUBLIC_USER_NEED_LV_OPEN,需要领主等级达到%d开启
71,STR_UINEED_PASS_CLIMB_LV_GET,达到%d层领取
72,STR_UIPUBLIC_WAIT_PLAYER,虚位以待
73,STR_UIPUBLIC_IS_FIGHT,交战中
74,STR_UIPUBLIC_INSPIRE,鼓舞x%s
75,STR_UIPUBLIC_RULE_TIP,鼓舞x%s
76,STR_UINUM_W,%d万
77,STR_UINUM_Y,%d亿
78,STR_UINUM_02FY,%d亿
79,STR_UINUM_02FW,%d万
80,STR_UIMONEY_DIAMOND,钻石
81,STR_UIMONEY_GOLD,金币
82,STR_UIMONEY_ENERGY,体力
83,STR_UIMONEY_KILL_GOD,弑神点
84,STR_UIMONEY_GONG_XUN,功勋
85,STR_UIacquire_item_Congratulate,恭喜获得
86,STR_UIalter_name_Diamond,钻石不足，无法修改！
87,STR_UIalter_name_Longstr,角色名过长
88,STR_UIarena_buy_Buy_Times,购买挑战次数一次
89,STR_UIarena_buy_Reset_Time,重置冷却时间
90,STR_UIarena_firstAward_Rank,首次达到第%d名
91,STR_UIarena_hall_Change,换一批
92,STR_UIarena_heroInfo_Not_Info,没有获取到英雄信息
93,STR_UIarena_pointAward_Point,今日累计%d分
94,STR_UIarena_rankingAward_Rank,第%s名
95,STR_UIarena_rankingAward_Top,(历史最高:%d)
96,STR_UIbagui_Can_Not_Sell,该物品无法出售！
97,STR_UIbagui_Need_Vip,需要贵族等级达到%d才可使用。
98,STR_UIbagui_Mouth_Time,月卡低于2天才能继续使用
99,STR_UIContestMain_Can_Use,(可使用)
100,STR_UIbagui_Skill_Max,技能点已达上限
101,STR_UIbagui_Is_Max_Item,道具已满无法合成
102,STR_UIbagui_Is_Need_Item,合成材料不足
103,STR_UIbatch_buyUI_Max,已达限购上限
104,STR_UIbattle_arrayUI_No_Big,当前没有巨兽
105,STR_UIbattle_UI_Day_Open,%d天后开启
106,STR_UIbattle_UI_Hour_Open,%d小时后开启
107,STR_UIbig_beastHintUI_Time,%s(%d天)
108,STR_UIbig_beastHintUI_Go_Buy,前往续费
109,STR_UIbig_beastHintUI_Auto_Buy,折价格自动兑换
110,STR_UIbig_beast_Forever,永久生效
111,STR_UIbig_beast_Buy_Big,请先购买巨兽
112,STR_UIHero_detail_Big_Info,巨兽详情
113,STR_UIbig_beast_Name,%s巨兽
114,STR_UIbig_beast_Vip_Cost,(贵族%d花费)
115,STR_UIbig_beast_Not_Open,未激活
116,STR_UIbig_beast_Open,激活
117,STR_UIbig_beast_Up_Team,上阵
118,STR_UIbig_beast_Head,头像
119,STR_UIbig_beast_Qua,边框
120,STR_UIbig_beast_Tip1,每充值%d钻石获得1财富值，赠送钻石不计算
121,STR_UIbig_beast_Tip2,每消耗%d钻石获得1财富值
122,STR_UIbuyMoneyUI_Up_Vip,提升贵族等级增加获取次数
123,STR_UIbuyMoneyUI_Name1,祝 福
124,STR_UIbuyMoneyUI_Name2,炼 金
125,STR_UIbuyRank_Name1,祝福排行
126,STR_UIbuyRank_Name2,炼金排行
127,STR_UIChangePlayerIcon_Use_Head,正在使用此头像
128,STR_UIChangePlayerIcon_Use_Qua,正在使用此边框
129,STR_UIChangePlayerIcon_Not_Have,未拥有此
130,STR_UIChangePlayerIcon_Forever,(有效时间：永久生效)
131,STR_UIChangePlayerIcon_Time,(有效时间：%s)
132,STR_UIChangePlayerIcon_End,(有效时间：已到期)
133,STR_UIChangePlayerIcon_In_Time,(激活后：%s)
134,STR_UIChangePlayerIcon_In_Forever,(激活后：永久生效)
135,STR_UIChangePlayerIcon_Look_Head,头像预览
136,STR_UIChangePlayerIcon_All_Head,头像总览
137,STR_UIChangePlayerIcon_Have_Head,拥有头像
138,STR_UIChangePlayerIcon_Look_Qua,边框预览
139,STR_UIChangePlayerIcon_All_Qua,边框总览
140,STR_UIChangePlayerIcon_Have_Qua,拥有边框
141,STR_UIchapterUI_Pass_All,请通关当前章节所有关卡
142,STR_UIchapterUI_Is_First,当前已是第一章
143,STR_UIchapterUI_Is_ErrorMap,进入关卡地图错误
144,STR_UIchatui_Push_Name,点击玩家名称
145,STR_UIchatui_Push_Text,点击输入文字......
146,STR_UIchatui_Not_Jump,战斗中无法跳转
147,STR_UIchatui_Error_Msg,聊天信息加载错误！
148,STR_UIchatui_Polite_Talk,请文明聊天
149,STR_UIchatui_Talk_Fast,您的发言过快，请慢一点
150,STR_UIchatui_Ban_Text,非法字符！
151,STR_UIchatui_No_Words,请输入聊天内容！
152,STR_UIchatui_Select_Player,请选择私聊玩家！
153,STR_UIchatui_Not_Talk_Self,无法私聊自己！
154,STR_UIchatui_Do_Slow,请慢点操作
155,STR_UIchatui_Is_Jion,是否加入该公会
156,STR_UIclimb_tower_buff_Free_Num,免费刷新剩余次数
157,STR_UIclimb_tower_buff_Buy_Num,购买刷新剩余次数
158,STR_UIclimb_tower_buff_Refresh,刷新
159,STR_UIclimb_tower_elite_Buy_Times,是否购买一次精英关卡挑战机会？
160,STR_UIclimb_tower_elite_Choice_Lv,请先选择关卡
161,STR_UIclimb_tower_elite_Pass_Lv,请先通过试炼之塔第%d层
162,STR_UIclimb_tower_elite_No_Times,扫荡次数不足
163,STR_UIclimb_tower_elite_Pass,通过试炼之塔第%d层
164,STR_UIclimb_tower_main_Pass_Max,已通过最高层
165,STR_UIclimb_tower_main_Can_Look,当前可查看最高层
166,STR_UIclimb_tower_main_Cur_Cell,当前层
167,STR_UIclimb_tower_main_Enter_Fight,进入战斗
168,STR_UIclimb_tower_main_Free_Reset,免费重置次数
169,STR_UIclimb_tower_main_Buy_Reset,可购买重置次数
170,STR_UIclimb_tower_main_Cur_Level,当前所在:第%d层
171,STR_UIclimb_tower_main_Pass_Award,通关奖励
172,STR_UIclimb_Cur_Select_Lv,第%d层
173,STR_UIContestInfo_First_Page,当前是第一页
174,STR_UIContestInfo_End_Page,当前是最后一页
175,STR_UIContestIntroduce_Show,矿点争夺战简介
176,STR_UIContestMain_DefPeople,驻守人数-1
177,STR_UIContestMain_Spy_CD,侦查冷却中，无法继续侦查
178,STR_UIContestMain_Name,矿点争夺战
179,STR_UIContestMain_Wait_Move,待移动
180,STR_UIContestMain_Wait_Atk,待攻击
181,STR_UIContestMain_Wait_Get,待征收
182,STR_UIContestMain_Atk_In,攻陷矿点
183,STR_UIContestMain_Get_CD,征收冷却中，无法继续征收
184,STR_UIContestMain_Need_Spy,需要先执行侦查
185,STR_UIContestMain_Move_CD,移动冷却中，无法继续移动
186,STR_UIContestMain_Need_MoveCount,驰援次数不足
187,STR_UIContestMain_Fight_CD,战斗冷却中，无法继续战斗
188,STR_UIContestMain_Need_FightCount,奔袭次数不足
189,STR_UIContestMain_Atk_Win,进攻胜利
190,STR_UIContestMain_Beat_Win,你击败了%s的%s
191,STR_UIContestMain_Atk_Fail,进攻失败
192,STR_UIContestMain_Beat_Fail,%s的%s击败了你
193,STR_UIContestMain_Def_Win,防守胜利
194,STR_UIContestMain_Def_Fail,防守失败
195,STR_UIContestMain_Fail_By,你被【%s】的【%s】击败了！
196,STR_UIContestMain_Not_Get,尚未获得
197,STR_UIContestMain_Is_In_CD,冷却中
198,STR_UIContestMain_Occupy,该矿点无人看守，我军直接占领！
199,STR_UIContestMain_Raid,该矿点无人看守，我军奔袭成功！
200,STR_UIContestReport_Win,战力悬殊过大秒杀敌方
201,STR_UIContestReport_Fail,战力悬殊过大被敌方秒杀
202,STR_UIContestResult_Win,我方阵营获得本次资源争夺胜利
203,STR_UICostaward_Not_In_Award,尚未参加本次活动
204,STR_UICostfight_Limit,今日进攻次数已超过%d次，提升至贵族%d可额外获得%d次
205,STR_UICostfight_Lv_Name,%d级的%s
206,STR_UICostfight_End_Atk,造成最后一击
207,STR_UICostfight_Time_Range,第%d天/总%d天
208,STR_UICostfight_God_Name,神·%s
209,STR_UICostfight_Next_Need,(下阶奖励，还需%d)
210,STR_UICostselfrank_Tips,排行每五分钟刷新一次
211,STR_UICostserveraward_Award,%d积分额外奖励
212,STR_UICcouncilUI_Condition,开战条件：攻克%s
213,STR_UICcouncilUI_Go_Fight,开战
214,STR_UICcouncilUI_Atk_Win,攻城成功
215,STR_UICcouncilUI_Progress,%s占领进度
216,STR_UICountry_info_Progress,我方占领%s进度:
217,STR_UICountry_info_DH,%d天%d小时后可领取地区宝箱奖励
218,STR_UICountry_info_HM,%d小时%d分钟后可领取地区宝箱奖励
219,STR_UICountry_info_Can_Get,可领取同盟占领州25%的奖励
220,STR_UICountry_info_Get_Tips,占领%s地域中的所有城池才能领取%s宝箱
221,STR_UIPUBLIC_OCCPY,占领
222,STR_UIPUBLIC_KILL,击杀
223,STR_UICountry_list_Die,灭 亡
224,STR_UICountry_list_Fight,交 战
225,STR_UICountry_list_Friend,友 善
226,STR_UICountry_list_Respect,尊 敬
227,STR_UICountry_list_Worship,崇 拜
228,STR_UICountry_list_Alliance,同 盟
229,STR_UICreateplayer_SetName,请输入名字
230,STR_UICreateplayer_Not_Null,名字不能为空！
231,STR_UIDanmuUI_Limit,贵族4或者领主等级50级可发送弹幕
232,STR_UIDanmuUI_Write,点击输入弹幕......
233,STR_UIDanmuUI_Need_Write,请输入弹幕
234,STR_UIDenglupaidui_Wait,排队等候中
235,STR_UIDenglupaidui_Wait_Num,前面还有%d人
236,STR_UIDenglupaidui_Forever,无法预估
237,STR_UIDenglupaidui_One,不足一分钟
238,STR_UIDenglupaidui_Need_Min,大约需要%d分钟
239,STR_UIDispatchUI_Need_Hero,缺少1个%d星英雄
240,STR_UIDispatchUI_Hero_SumStar,派遣英雄总星级不足
241,STR_UIDispatchUI_Hero_Star,派遣英雄星级不足
242,STR_UIDrawitem_Open_Box,成功开启宝箱获得神器碎片%d个，赠送
243,STR_UIDrawitem_Search_Again,再次搜索
244,STR_UIDrawitem_Open_Again,再次抽奖
245,STR_UIDrawitem_Get_Point,本次招贤获得%d积分
246,STR_UIDrawitem_This_Get,本次招贤获得%s%d瓶，额外赠送物品如下
247,STR_UIEquipInfo_window_Suit,%d件套装: %s%d
248,STR_UIEquip_main_Is_Max,装备等级不能超过领主等级2倍
249,STR_UIEquip_window_Select_Big,选择巨兽
250,STR_UIEquip_window_Select_Hero,选择英雄
251,STR_UIEquip_window_Select_Equip,选择装备
252,STR_UIEquip_window_Down_Equip,未穿戴装备
253,STR_UIEquip_window_Up_Equip,已穿戴装备
254,STR_UIEquip_window_Down_Hero,未上阵英雄
255,STR_UIEquip_window_Up_Hero,已上阵英雄
256,STR_UIEquip_window_Down_Big,未上阵巨兽
257,STR_UIEquip_window_Up_Big,已上阵巨兽
258,STR_UIEquip_window_Hero,英雄
259,STR_UIEquip_window_Big,巨兽
260,STR_UIEquip_window_In_Team,%s已上阵
261,STR_UIEquip_window_near,近战
262,STR_UIEquip_window_Far,远程
263,STR_UIEquip_window_Not_Army,%s无法携带%s佣兵
264,STR_UIEquip_window_Break_Army,更换英雄后将强行解散%s佣兵部队
265,STR_UIExpedition_buff_Error,远征BUFF服务器数据错误
266,STR_UIExpedition_buff_Out_Buy,是否退出购买？
267,STR_UIExpedition_buff_Error_Config,远征BUFF表错误:
268,STR_UIExpedition_buff_Point_Num,远征积分不够
269,STR_UIExpedition_buff_Is_Reborn,是否复活
270,STR_UIExpedition_buff_Is_Select,是否选择
271,STR_UIExpedition_fight_Not_Fight,空阵容无法出战
272,STR_UIExpedition_fight_All_Die,英雄全部阵亡无法出战
273,STR_UIExpedition_fight_Need_Reset_Num,重置次数不够
274,STR_UIExpedition_fight_Is_Reset,是否重置远征？
275,STR_UIExpedition_fight_NeedProgress,进度不足，无法扫荡
276,STR_UIExpedition_fight_All_Have_Pass,此据点已通过
277,STR_UIExpedition_fight_Need_Pass,此据点还未开通
278,STR_UIExpedition_fight_Pass_All,恭喜领主全部通关
279,STR_UIExpedition_fight_LastProgress,您上次远征进度为:%d/%d，可扫荡%d关，是否确定扫荡？
280,STR_UIFightchat_Talk1,把你的脏手挪开！
281,STR_UIFightchat_Talk2,说你呢！还点我！！
282,STR_UIFightchat_Talk3,你再点一下试试？
283,STR_UIFightpvp_result_Camp_Die,乱世征伐天道难测%s势力灭亡
284,STR_UIFightpvp_result_,乱世征伐天道难测
285,STR_UIFightpvp_result_Tip1,我军势不可挡一举夺得
286,STR_UIFightpvp_result_Tip2,我军铩羽而归无法撼动
287,STR_UIFightpvp_result_Tip3,我军一败涂地遗憾丢失
288,STR_UIFightpvp_result_Tip4,城池固若金汤我军固守
289,STR_UIFight_pvp_Only_Fight_Wait,只能挑战待机的队伍
290,STR_UIFight_pvp_No_Free_Team,没有空闲的部队！
291,STR_UIFight_pvp_All_InTeam,我方部队均已上阵
292,STR_UIFight_pvp_No_Fight_Team,没有参战部队
293,STR_UIFight_pvp_Enemy_AllUp,敌方部队均已上阵
294,STR_UIFight_pvp_NoMore_Hands,该战场无法召唤更多援军
295,STR_UIFight_pvp_Hands,%s的援军
296,STR_UIFight_pvp_Scene_Forward,本战场不能突进
297,STR_UIFight_pvp_TeamNum_Forward,己方部队未超过敌方部队2倍，无法突进
298,STR_UIFight_pvp_Is_GiveUp_Fight,是否要放弃战斗？
299,STR_UIFight_pvp_GiveUp_Fight,放弃战斗视为战败
300,STR_UIFight_pvp_Is_Jump_Fight,是否要跳过战斗？
301,STR_UIFight_pvp_Can_Not_Out,战斗中无法退出战斗
302,STR_UIFight_pvp_Att_Cut,全属性 -%d%%
303,STR_UIFight_pvp_Auto_FightTip,此战斗为自动战斗，无法进行操作.
304,STR_UIFight_pvp_sub_GiveUp_Look,是否放弃观看本场战斗
305,STR_UIFight_pvp_sub_GiveUp_Power,是否要放弃王权争夺
306,STR_UIFight_pvp_sub_Enemy,敌军
307,STR_UIFight_pvp_sub_Kill,连斩
308,STR_UIFight_pvp_sub_Team,%d队
309,STR_UIFight_pvp_sub_Enter_Fight,加入战斗
310,STR_UIFight_Is_Wait,待命中
311,STR_UIFight_Is_Move,移动中
312,STR_UIFight_Is_Die,阵亡
313,STR_UIFight_Not_InCity,不在本城
314,STR_UIFight_Wait,排队%d
315,STR_UIFight_Inspire_Lv,鼓舞等级达到
316,STR_UIFight_Achieve,达成
317,STR_UIFight_In,在
318,STR_UIFight_In_Win,中获胜
319,STR_UIFight_Official_Fight,官职挑战
320,STR_UIFight_Power_Fight,王权争夺
321,STR_UIFight_Look_Fight,战斗回放
322,STR_UIFight_win_Lv,等级%d 
323,STR_UIFight_win_Exp_Max,经验已满
324,STR_UIFight_win_No_Exp,该关卡不产出经验
325,STR_UIForces_state_Alliance,同盟势力
326,STR_UIForces_state_Hostile,敌对势力
327,STR_UIForces_state_Hostile1,敌对
328,STR_UIForces_state_Mid,中立
329,STR_UIFoutune_Achieve_VIP,达到贵族%d后额外获得1次机会
330,STR_UIFriend_Chat_Self,无法私聊自己
331,STR_UIFriend_Add_Self,无法添加自己为好友！
332,STR_UIFriend_Search,点击输入玩家名称查找......
333,STR_UIFriend_Out_Line,离线
334,STR_UIFriend_In_Line,在线
335,STR_UIFriend_Power_Max,友情点已达上限，无法领取！
336,STR_UIFriend_GetNum_Max,今日领取次数已用完！
337,STR_UIFriend_Can_Not_Add,好友数量已达上限，无法添加！
338,STR_UIFriend_Refresh,当前并无推荐好友，请刷新
339,STR_UIFriend_Look_Fail,查找失败！
340,STR_UIFriend_Put_UID,请输入玩家UID！
341,STR_UIFriend_Put_Name,请输入玩家名称！
342,STR_UIFriend_No_Friends,暂无好友
343,STR_UIFriend_No_Add_Friends,暂无添加好友
344,STR_UIFriend_No_Apply_Friends,暂无申请好友
345,STR_UIFriend_No_Black,暂无黑名单 
346,STR_UIFriend_No_Select_Friend,当前没有选中好友
347,STR_UIFriend_Delete_Suc,删除成功
348,STR_UIGame_main_No_Special,当前没有特殊活动！
349,STR_UIGame_main_Stay,驻扎
350,STR_UIGame_main_Push,压制
351,STR_UIGame_main_Sign,报名
352,STR_UIGame_main_DY,%d天%d小时后可宣战
353,STR_UIGem_Can_Not_Compose,无法合成
354,STR_UIGem_Compose,合成
355,STR_UIGem_Diamonds_Compose,钻石合成
356,STR_UIGem_Has_Pass,等待后续更新
357,STR_UIGem_Doing,进行中
358,STR_UIGem_Chapter,第%d章  %s
359,STR_UIGem_Chapter_Num,第%d章
360,STR_UIGem_Need_Pass_Last,请完成上一关卡
361,STR_UIGem_Max_Lv,宝石等级已达上限
362,STR_UIGem_Cost,消耗
363,STR_UIGem_Need,缺少
364,STR_UIGuozhan_list_No_Box,当前尚无功勋宝箱
365,STR_UIGve_Only_Normal_Refresh,只有常规关卡进行刷新
366,STR_UIGve_Refresh_CD,刷新cd时间未到
367,STR_UIGve_Fight_CD,战斗cd时间未到
368,STR_UIGve_Normal_Fight,常规战
369,STR_UIGve_Elite_Fight,精英战
370,STR_UIGve_End_Fight,最终战
371,STR_UIGve_Big_Come,巨龙来袭
372,STR_UIGve_Call,召唤
373,STR_UIGve_Call_Num,召唤%d次
374,STR_UIGve_Atk,攻击
375,STR_UIGve_Save,援护
376,STR_UIGve_Rob,掠夺
377,STR_UIGve_Is_Move,人物正在移动中
378,STR_UIGve_Wait_CD,等待移动cd冷却
379,STR_UIGve_Not_Go,此据点无法到达，请先移动到上个据点
380,STR_UIGve_Save_Need,据点占领值大于0才能使用援护技能
381,STR_UIGve_Info_Fail,据点信息获取失败
382,STR_UIGve_Has_Get,据点已经被占领
383,STR_UIGve_How_To_Rob,据点占领值大于百分之五才能使用掠夺技能
384,STR_UIGve_No_Way,无路径到达
385,STR_UIGve_notice,(我军势不可挡，一举夺下%s)
386,STR_UIGve_resule_Progress,占领进度:
387,STR_UIGve_resule_Kill_Drogon,击杀巨龙:
388,STR_UIGvg_cityRes_Refresh, 刷新城池资源%s
389,STR_UIGvg_cityRes_Get, 可领取城池资源%s
390,STR_UIGvg_cityRes_End, 领取城池资源结束%s
391,STR_UIGvg_cityRes_Out,已经结束%s
392,STR_UIGvg_show_Need_One,最少要选择一支队伍！
393,STR_UIGvg_show_Is_Full,城池位置已满，是否仍要驻扎
394,STR_UIGvg_show_Clear,清剿
395,STR_UIGvg_show_Change_Pos,撤退后主将位置会转让给他人，是否确认撤退
396,STR_UIGvg_show_Clear_Push,撤退后城池压制状态将取消，是否确认撤退
397,STR_UIGvg_show_Reset,重整旗鼓%s:%s
398,STR_UIGvg_show_Need_Item,军令不足
399,STR_UIGz_Max,士气已满，无法继续鼓舞
400,STR_UIGz_Up_Morale,士气提升！
401,STR_UIGz_Self_Team,我方队列
402,STR_UIGz_Other_Team,敌方队列
403,STR_UIGz_new_Van,一团战
404,STR_UIGz_new_Two,二团战
405,STR_UIGz_new_Mid,三团战
406,STR_UIGz_new_Side,四团战
407,STR_UIGz_new_Back,五团战
408,STR_UIGz_new_Report_Van,%s一团战战报
409,STR_UIGz_new_Report_Two,%s二团战战报
410,STR_UIGz_new_Report_Mid,%s三团战战报
411,STR_UIGz_new_Report_Side,%s四团战战报
412,STR_UIGz_new_Report_Back,%s五团战战报
413,STR_UIGz_new_Ignore,自动忽略(%d)
414,STR_UIGz_new_Not_Start,战斗尚未开始
415,STR_UIGz_new_Not_Open,未开始
416,STR_UIGz_new_Fail,战败
417,STR_UIGz_new_Fight_Mid,战平
418,STR_UIGz_new_In,您分配到%s
419,STR_UIGz_new_No_InEnd,您没有进入决战
420,STR_UIGz_new_Not_In,未加入
421,STR_UIGz_new_Not_Fight_End,您未参与决战
422,STR_UIGz_new_SWin,教廷胜利！
423,STR_UIGz_new_WWin,帝国胜利！
424,STR_UIGz_new_WuWin,联邦胜利！
425,STR_UIGz_new_Fail_Atk,攻城失败！
426,STR_UIGz_new_EndWin_Award,您获得决战胜利奖励
427,STR_UIGz_new_EndFail_Award,您获得决战失败奖励
428,STR_UIGz_new_NoOne,无人报名！
429,STR_UIHeraldry_Title,纹章之魂
430,STR_UIHeraldry_Reture_Cost,（遗忘纹章之魂，等级重置为1，返还所有升级材料）
431,STR_UIHeraldry_Forget,遗忘纹章之魂？
432,STR_UIHeraldry_Not_InTeam,未穿戴的纹章
433,STR_UIHeraldry_InTeam,已穿戴的纹章
434,STR_UIHeraldry_Breach,突 破
435,STR_UIHeraldry_Max_Lv,已满级
436,STR_UIHeraldry_Up,刻印
437,STR_UIHeraldry_Has_Up,已刻印
438,STR_UIHeraldry_Need_Lv,需要圣印达到
439,STR_UIHeraldry_Strong_Max,强化等级已达到上限
440,STR_UIheroState_Back,五团
441,STR_UIheroState_Mid,三团
442,STR_UIheroState_Froword,一团
443,STR_UIheroState_Pos,定位:
444,STR_UIHero_destiny_Active,已经激活
445,STR_UIHero_mission_GetAll,是否一键领取所有已完成的任务
446,STR_UIHero_Talent_Need_Lv,天赋%s%d级时解锁
447,STR_UIHero_White,白色
448,STR_UIHero_Green,绿色
449,STR_UIHero_Blue,蓝色
450,STR_UIHero_Purple,紫色
451,STR_UIHero_Orange,橙色
452,STR_UIHero_Red,红色
453,STR_UIHero_Active,%s%d星激活
454,STR_UIHero_Lv_Show,等级:%d
455,STR_UIHero_Lv,等级 %d
456,STR_UIHero_Unlock_Need,%s%d星解锁
457,STR_UIHero_No_Config,没有当前英雄的配置信息　　
458,STR_UIHero_Unlock,未解锁
459,STR_UIHero_No_Up,本次没有技能得到提升
460,STR_UIHero_OneKey_UpStar,一键升星
461,STR_UIHero_UpStar,升星
462,STR_UIHero_Active_All,激活所有资质即可升星
463,STR_UIHero_Star_Cell,星格
464,STR_UIHero_Star_Max,星级已经为满级!
465,STR_UIHero_No_Star_Config,没有当前升星配置信息!
466,STR_UIHero_No_Skill_Config,没有当前技能配置
467,STR_UIHero_Talent_Lv,天赋 等级 %d
468,STR_UIHoly_Need_Material,进阶材料不足
469,STR_UIHoly_Need_Condition,进阶条件未达到
470,STR_UIHoly_Active,(%s+%d激活)
471,STR_UIHoly_Open,(%s+%d开启)
472,STR_UIHoly_Need,需所有宝物阶级%s+%d
473,STR_UIHoly_No_Add,无额外属性加成
474,STR_UIHoly_Up_Att,进阶属性
475,STR_UIHoly_All_Finish,传记已全部完成
476,STR_UIHoly_Need_Use,再抽%d次必得
477,STR_UIHoly_Search,搜索
478,STR_UIHoly_Unlock,1阶解锁
479,STR_UIItem_tankuang_Push,可点击领取
480,STR_UIUnion_HaveJT,已有公会，无法再次创建
481,STR_UIUnion_RepeatName,公会重名，无法创建
482,STR_UIUnion_ChangeOK,修改成功
483,STR_UIUnion_TobeOk,任命成功
484,STR_UIUnion_Welcome_AddJT,恭喜你已经成功加入%s
485,STR_UIUnion_DisbandJT,此公会已解散
486,STR_UIUnion_NeedLv,不满足公会加入等级
487,STR_UIUnion_ApplyOK,申请成功
488,STR_UIUnion_Not_Repeat_Apply,不能重复申请
489,STR_UIUnion_Not_ConditionAdd,公会不是条件加入
490,STR_UIUnion_Canel_Apply,取消申请成功
491,STR_UIUnion_Is_Add_Other,该玩家已经加入其他公会
492,STR_UIUnion_Kicked,您已被踢出公会
493,STR_UIUnion_KickOK,踢出成功
494,STR_UIUnion_Can_Not_Out,不能退出公会
495,STR_UIUnion_OutOK,退出成功
496,STR_UIUnion_Has_Disband,公会已解散
497,STR_UIUnion_Do_Error,操作错误
498,STR_UIUnion_NOJT,没有满足条件的公会!
499,STR_UIUnion_NO_QuickAdd,没有可快速加入的公会
500,STR_UIUnion_NOJT_Join,当前不存在无需审核的公会
501,STR_UIUnion_BeforeDay,%d天之前
502,STR_UIUnion_BeforeHour,%d小时之前
503,STR_UIUnion_BeforeMin,%d分钟之前
504,STR_UIUnion_Just,刚刚
505,STR_UIJt_Name_Show,公会
506,STR_UIJt_Non_Jt,无公会
507,STR_UIJt_Replace_Error,只能转让给长老
508,STR_UIJt_Ensure_ChangeBoss,是否转让会长给%s？
