resindex,HPX,HPY,hitEffectX,hitEffectY,buffX,buffY,hitFontX,hitFontY,critX,critY,healX,healY,rageX,rageY,blockX,blockY,killX,killY
301,2,147,9,58,2,155,9,54,9,45,10,42,8,59,9,58,0,163
302,-2,153,0,68,-2,161,-2,68,-2,59,2,50,-1,74,0,66,0,171
303,-3,178,-6,85,-3,186,-7,85,-6,73,-4,63,-6,91,-3,81,0,196
304,0,163,-3,79,0,171,2,77,1,68,-3,60,3,90,-1,78,0,181
305,0,171,4,82,0,179,3,78,2,67,2,60,6,85,2,75,0,189
306,-3,147,-1,62,-3,155,0,65,-1,62,1,51,2,71,-4,64,0,165
307,2,180,4,90,2,188,4,85,3,77,5,65,2,93,8,82,0,198
308,0,146,2,71,0,154,2,72,-1,61,3,53,1,74,3,67,0,164
309,3,158,3,72,3,166,1,71,-2,61,0,50,2,80,6,67,0,176
310,2,207,0,66,2,213,1,63,-3,52,0,39,-1,73,3,62,0,228
311,1,152,6,66,1,160,7,64,6,54,4,45,8,73,11,64,0,170
312,-1,155,0,70,-1,163,-1,70,0,61,5,48,0,76,0,64,0,173
313,3,120,-3,43,3,128,0,43,-1,36,-1,31,1,53,0,39,0,138
314,0,125,-4,42,0,130,-3,44,-2,35,-2,31,2,44,-2,44,0,140
401,0,143,13,55,0,151,17,57,11,43,13,37,16,63,15,56,0,161
402,3,149,4,68,3,157,9,71,9,59,6,31,6,68,9,65,0,167
403,3,143,8,69,3,151,5,67,2,55,6,50,6,69,8,63,0,161
404,1,161,2,71,1,169,2,69,1,60,2,54,5,77,4,66,0,179
405,0,152,7,55,0,157,5,48,1,51,0,47,4,50,3,55,0,165
451,3,174,4,54,5,177,3,51,8,48,5,56,4,63,5,53,2,182
406,0,163,-3,74,0,171,-2,74,-1,68,1,60,2,72,-4,77,0,181
407,-2,162,0,85,-2,169,-2,83,-1,71,-3,59,-2,80,0,68,0,174
408,2,204,7,92,2,212,9,94,6,78,6,72,5,91,7,77,0,230
409,-3,154,-5,74,-3,159,-6,73,-7,61,-6,54,-7,74,-6,68,0,168
410,3,147,9,73,3,152,8,71,6,59,6,56,10,73,8,73,0,161
411,0,146,10,49,0,152,7,49,4,40,2,38,6,60,3,49,0,159
412,0,157,0,69,0,165,-1,65,1,53,-1,46,-4,76,2,65,0,175
413,3,104,-1,27,3,112,0,26,0,19,0,16,1,35,1,25,0,122
414,0,156,0,70,0,164,6,70,5,58,5,52,5,73,9,65,0,174
501,-2,159,-1,72,-2,168,0,75,-2,66,-1,58,0,78,-5,74,0,174
502,1,163,0,78,1,171,1,76,-3,67,1,61,0,79,1,74,0,181
512,1,163,0,78,1,171,1,76,-3,67,1,61,0,79,1,74,0,181
503,1,220,0,118,1,230,3,120,2,115,2,120,2,130,2,130,0,230
504,0,158,-1,68,0,167,-1,69,3,59,-2,65,-5,75,-1,63,0,177
505,0,176,-1,80,0,190,0,81,0,68,0,75,0,65,0,50,0,200
506,0,175,0,70,0,185,-1,69,0,66,0,75,0,66,-1,76,0,200
541,0,158,0,70,-1,168,-1,70,2,63,-1,63,-4,76,1,64,-1,176
601,2,203,6,86,2,211,6,88,4,73,1,68,2,91,4,75,0,221
602,-2,190,-6,101,-2,199,2,103,-3,97,1,84,-5,107,-4,100,0,204
603,-2,225,-6,92,-2,232,-5,93,-8,77,-12,77,-4,96,-8,90,0,242
604,0,125,-8,42,0,130,-5,39,-7,33,-6,30,-7,44,-7,37,0,138
605,2,130,-1,54,2,135,-7,58,-5,48,-2,53,4,51,-1,60,0,142
606,-3,130,5,41,-3,135,-1,40,3,34,2,35,0,44,2,39,0,142
701,0,175,1,83,0,181,0,78,0,78,2,82,1,88,1,82,0,181
702,0,185,0,95,0,195,0,90,0,80,1,75,1,85,-1,100,0,210
711,0,175,-1,82,0,182,0,78,0,77,1,82,1,88,-1,81,0,182
801,0,134,0,24,0,141,-1,23,-1,16,-1,5,0,24,-1,18,0,163
802,-15,330,1,179,-15,335,4,179,0,165,-1,168,5,179,3,174,-15,340
803,0,265,7,110,0,272,10,109,12,95,6,101,8,114,13,86,0,280
804,0,276,-1,80,0,190,0,81,0,68,0,75,0,65,0,50,0,200
901,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
902,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903,0,99,-10,18,0,105,-11,22,-11,21,-11,34,-12,28,-11,19,0,29
904,0,99,-10,18,0,105,-11,22,-11,21,-11,34,-12,28,-11,19,0,29
805,0,265,7,110,0,272,10,109,12,95,6,101,8,114,13,86,0,280
607,-4,148,-2,66,-4,156,-4,77,-6,73,-5,57,-4,76,-5,72,0,166
608,-4,148,-2,66,-4,156,-4,77,-6,73,-5,57,-4,76,-5,72,0,166
703,-4,148,-2,66,-4,156,-4,77,-6,73,-5,57,-4,76,-5,72,0,166
415,-4,148,-2,66,-4,156,-4,77,-6,73,-5,57,-4,76,-5,72,0,166
507,-4,148,-2,66,-4,156,-4,77,-6,73,-5,57,-4,76,-5,72,0,166
609,-4,148,-2,66,-4,156,-4,77,-6,73,-5,57,-4,76,-5,72,0,166
807,0,265,7,110,0,272,10,109,12,95,6,101,8,114,13,86,0,280
808,0,265,7,110,0,272,10,109,12,95,6,101,8,114,13,86,0,280
809,0,265,7,110,0,272,10,109,12,95,6,101,8,114,13,86,0,280
810,0,265,7,110,0,272,10,109,12,95,6,101,8,114,13,86,0,280
811,0,265,7,110,0,272,10,109,12,95,6,101,8,114,13,86,0,280
