id,task,order,txt,tasktypes,n1,n2,n3,n4,item,num,taskindexes,open
18,1004,2,通关冒险关卡第7章,43,7,0,0,0,91000002,40000,mod_newChapter.openFightChapter(),0
19,1004,3,通关试炼之塔第50层,81,50,0,0,0,91000002,40000,"ui_mgr.openUI(""KingTowerMainUI"",enOpenUIType.EUIT_ListType,{towerType=mod_kingTower.towerType.kingTower})",29
20,1004,4,命运核心达到80级,72,80,0,0,0,91000002,40000,"ui_mgr.openUI(""heroListUI"")",15
21,1004,5,铸时星域-北境追踪进度达到100%,221,1,1001,100,0,91000002,40000,mod_instance.openView(),65
22,1004,6,参与公会狩猎6次,91,6,0,0,0,91000002,40000,mod_union.judgeUnionidAndGetuserunioninfo(),42
23,1005,1,领主达到55级,1,55,0,0,0,91000002,50000,mod_newChapter.openFightChapter(),0
24,1005,2,通关冒险关卡第9章,43,9,0,0,0,91000002,50000,mod_newChapter.openFightChapter(),0
25,1005,3,通关试炼之塔第70层,81,70,0,0,0,91000002,50000,"ui_mgr.openUI(""KingTowerMainUI"",enOpenUIType.EUIT_ListType,{towerType=mod_kingTower.towerType.kingTower})",29
26,1005,4,命运核心达到100级,72,100,0,0,0,91000002,50000,"ui_mgr.openUI(""heroListUI"")",15
27,1005,5,铸时星域-雷鸣之城进度达到100%,221,1,1003,100,0,91000002,50000,mod_instance.openView(),65
28,1005,6,创世神木达到15级,231,15,0,0,0,91000002,50000,mod_lifeTree.openTreeUI(),62
29,1006,1,领主达到70级,1,70,0,0,0,91000002,60000,mod_newChapter.openFightChapter(),0
30,1006,2,通关冒险关卡第11章,43,11,0,0,0,91000002,60000,mod_newChapter.openFightChapter(),0
31,1006,3,通关试炼之塔第100层,81,100,0,0,0,91000002,60000,"ui_mgr.openUI(""KingTowerMainUI"",enOpenUIType.EUIT_ListType,{towerType=mod_kingTower.towerType.kingTower})",29
32,1006,4,命运核心达到120级,72,120,0,0,0,91000002,60000,"ui_mgr.openUI(""heroListUI"")",15
33,1006,5,铸时星域-破碎大陆进度达到100%,221,1,1005,100,0,91000002,60000,mod_instance.openView(),65
34,1006,6,创世神木中任意职业分支达到5级,232,5,0,0,0,91000002,60000,mod_lifeTree.openTreeUI(),63
35,1007,1,领主达到85级,1,85,0,0,0,91000002,70000,mod_newChapter.openFightChapter(),0
36,1007,2,通关冒险关卡第13章,43,13,0,0,0,91000002,70000,mod_newChapter.openFightChapter(),0
37,1007,3,通关试炼之塔第150层,81,150,0,0,0,91000002,70000,"ui_mgr.openUI(""KingTowerMainUI"",enOpenUIType.EUIT_ListType,{towerType=mod_kingTower.towerType.kingTower})",29
38,1007,4,命运核心达到140级,72,140,0,0,0,91000002,70000,"ui_mgr.openUI(""heroListUI"")",15
39,1007,5,铸时星域-旋转阶梯进度达到100%,221,1,1007,100,0,91000002,70000,mod_instance.openView(),65
40,1007,6,四族高塔均通关10层,83,4,10,0,0,91000002,70000,"ui_mgr.openUI(""KingTowerMainUI"",enOpenUIType.EUIT_ListType,{towerType=mod_kingTower.towerType.kingTower})",30
41,1008,1,领主达到100级,1,100,0,0,0,91000002,80000,mod_newChapter.openFightChapter(),0
42,1008,2,通关冒险关卡第15章,43,15,0,0,0,91000002,80000,mod_newChapter.openFightChapter(),0
43,1008,3,通关试炼之塔第200层,81,200,0,0,0,91000002,80000,"ui_mgr.openUI(""KingTowerMainUI"",enOpenUIType.EUIT_ListType,{towerType=mod_kingTower.towerType.kingTower})",29
44,1008,4,命运核心达到160级,72,160,0,0,0,91000002,80000,"ui_mgr.openUI(""heroListUI"")",15
45,1008,5,铸时星域-恐怖丛林进度达到100%,221,1,1008,100,0,91000002,80000,mod_instance.openView(),65
46,1008,6,拥有1个红色品质装备,32,1,8,0,0,91000002,80000,"ui_mgr.openUI(""shop_mainUI"",enOpenUIType.EUIT_ListType,mod_shop2.enShopType.enST_ZaHuo)",35
47,1009,1,领主达到120级,1,120,0,0,0,91000002,90000,mod_newChapter.openFightChapter(),0
48,1009,2,通关冒险关卡第17章,43,17,0,0,0,91000002,90000,mod_newChapter.openFightChapter(),0
49,1009,3,通关试炼之塔第250层,81,250,0,0,0,91000002,90000,"ui_mgr.openUI(""KingTowerMainUI"",enOpenUIType.EUIT_ListType,{towerType=mod_kingTower.towerType.kingTower})",29
50,1009,4,命运核心达到180级,72,180,0,0,0,91000002,90000,"ui_mgr.openUI(""heroListUI"")",15
51,1009,5,铸时星域-永恒遗迹进度达到100%,221,1,1009,100,0,91000002,90000,mod_instance.openView(),65
52,1009,6,累计获得100000竞技场金币,241,100000,91000050,0,0,91000002,90000,"ui_mgr.openUI(""highOrderKickEnemyPlace"")",5
53,1010,1,领主达到150级,1,150,0,0,0,91000002,100000,mod_newChapter.openFightChapter(),0
54,1010,2,通关冒险关卡第20章,43,20,0,0,0,91000002,100000,mod_newChapter.openFightChapter(),0
55,1010,3,通关试炼之塔第300层,81,300,0,0,0,91000002,100000,"ui_mgr.openUI(""KingTowerMainUI"",enOpenUIType.EUIT_ListType,{towerType=mod_kingTower.towerType.kingTower})",29
56,1010,4,命运核心达到200级,72,200,0,0,0,91000002,100000,"ui_mgr.openUI(""heroListUI"")",15
57,1010,5,铸时星域-异域空间进度达到100%,221,1,1010,100,0,91000002,100000,mod_instance.openView(),65
58,1010,6,悬赏栏达到6级,103,6,0,0,0,91000002,100000,"ui_mgr.openUI(""rewardcolumnUI"")",34
