id,name,icon,quality,sketch,intr,remark,effecthero,effectattack,effectcamp,only_owned,layers_effect,skill_id,fight,buff_type,effecttype1,effectbase1,effectbasemax1,effecttype2,effectbase2,effectbasemax2,effecttype3,effectbase3,effectbasemax3,effecttype4,effectbase4,effectbasemax4,parm1,parm2,parm3,parm4,open_type,level_limit,interesting
12,精准斗篷,buff_dilao_93005.png,1,暴击伤害+40%,0,稀有,0,0,0,1,0,93005101,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,精准斗篷,buff_dilao_93005.png,2,暴击伤害+60%,0,精英,0,0,0,1,0,93005201,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,凝神,buff_dilao_93006.png,1,命中+200，暴击+5%,0,稀有,0,0,0,1,0,93006101,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,凝神,buff_dilao_93006.png,2,命中+500，暴击+10%,0,精英,0,0,0,1,0,93006201,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,反击护具,buff_dilao_93007.png,1,敌人首次使用能量技，己方全体获得一个持续3秒的最大生命值20%护盾,0,稀有,0,0,0,1,0,93007101,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,反击护具,buff_dilao_93007.png,2,敌人首次使用能量技，己方全体获得一个持续3秒的最大生命值40%护盾,0,精英,0,0,0,1,0,93007201,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,反击护具,buff_dilao_93007.png,3,敌人首次使用能量技，己方全体获得一个持续3秒的最大生命值60%护盾,0,史诗,0,0,0,1,0,93007301,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,决胜神石,buff_dilao_93008.png,2,每场战斗，己方英雄首次使用能量技后，该英雄将在之后5秒恢复350能量,0,精英,0,0,0,1,0,93008101,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,决胜神石,buff_dilao_93008.png,3,每场战斗，己方英雄首次使用能量技后，该英雄将在之后5秒恢复700能量,0,史诗,0,0,0,1,0,93008201,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,胜利姿态,buff_dilao_93015.png,1,在战斗开始时，己方出场英雄回复60点能量,0,稀有,0,0,0,1,0,93015101,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,胜利姿态,buff_dilao_93015.png,2,在战斗开始时，己方出场英雄回复120点能量。,0,精英,0,0,0,1,0,93015201,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,不屈意志,buff_dilao_93016.png,1,前排英雄的防御提高10％，受伤时能量恢复率提高 10％,0,稀有,0,0,0,1,0,93016101,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,不屈意志,buff_dilao_93016.png,2,前排英雄的防御提高15％，受伤时能量恢复率提高 20％,0,精英,0,0,0,1,0,93016201,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,不屈意志,buff_dilao_93016.png,3,前排英雄的防御提高25％，受伤时能量恢复率提高 40％,0,史诗,0,0,0,1,0,93016301,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,精准利箭,buff_dilao_93018.png,1,阵营克制将造成40％伤害。,0,稀有,0,0,0,1,0,93018101,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,精准利箭,buff_dilao_93018.png,2,阵营克制将造成60％伤害。,0,精英,0,0,0,1,0,93018201,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,精准利箭,buff_dilao_93018.png,3,阵营克制将造成100％伤害。,0,史诗,0,0,0,1,0,93018301,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,英雄之心,buff_dilao_93021.png,1,后排英雄攻击+5%，暴击+10%,0,稀有,0,0,0,1,0,93021101,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,英雄之心,buff_dilao_93021.png,2,后排英雄攻击+10%，暴击+15%,0,精英,0,0,0,1,0,93021201,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,英雄之心,buff_dilao_93021.png,3,后排英雄攻击+20%，暴击+30%,0,史诗,0,0,0,1,0,93021301,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,急速沙漏,buff_dilao_93022.png,1,战斗开始时，己方出场英雄获得6秒的加速效果,0,稀有,0,0,0,1,0,93022101,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,急速沙漏,buff_dilao_93022.png,2,战斗开始时，己方出场英雄获得10秒的加速效果,0,精英,0,0,0,1,0,93022201,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,能量药水,buff_dilao_93024.png,2,本场战斗中，己方英雄每击败一个敌人，自身的回能速度增加,本场战斗中，己方英雄每击败一个敌人，自身的回能速度增加50%，可叠加,精英,0,0,0,1,0,93024101,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,能量药水,buff_dilao_93024.png,3,本场战斗中，己方英雄每击败一个敌人，自身的回能速度增加,本场战斗中，己方英雄每击败一个敌人，自身的回能速度增加100%，可叠加,史诗,0,0,0,1,0,93024201,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,战斗激励,buff_dilao_93031.png,2,己方英雄击败敌人后，可恢复24%的最大生命值,0,精英,0,0,0,1,0,93031101,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,复苏神石,buff_dilao_93053.png,3,当队友生命值降低到40％以下时，可在20秒内每秒使队友恢复4％生命值,每场战斗只能使用一次,史诗,0,0,0,1,0,93053101,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,战神护甲,buff_dilao_93056.png,1,提高力量英雄10％防御力。,0,稀有,0,0,0,1,0,93056101,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,战神护甲,buff_dilao_93056.png,2,提高力量英雄20％防御力。,0,精英,0,0,0,1,0,93056201,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,战神护甲,buff_dilao_93056.png,3,提高力量英雄30％防御力。每秒恢复最大生命值的1％,0,史诗,0,0,0,1,0,93056301,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,神秘之书,buff_dilao_93057.png,1,智力英雄造成的伤害提高10％。,0,稀有,0,0,3,1,0,93057101,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,神秘之书,buff_dilao_93057.png,2,智力英雄造成的伤害提高20％。,0,精英,0,0,3,1,0,93057201,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,神秘之书,buff_dilao_93057.png,3,智力英雄造成的伤害提高30％。,0,史诗,0,0,3,1,0,93057301,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,迅捷印记,buff_dilao_93058.png,1,敏捷英雄造成的伤害提高10％。,0,稀有,0,0,2,1,0,93058101,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,迅捷印记,buff_dilao_93058.png,2,敏捷英雄造成的伤害提高20％。,0,精英,0,0,2,1,0,93058201,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,迅捷印记,buff_dilao_93058.png,3,敏捷英雄造成的伤害提高30％，生命汲取+ 10％,0,史诗,0,0,2,1,0,93058301,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,怒涛战甲,buff_dilao_93059.png,1,战场上的己方怒涛英雄，使己方所有英雄防御上升10%,0,稀有,0,1,0,1,0,93059101,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,怒涛战甲,buff_dilao_93059.png,2,战场上的己方怒涛英雄，使己方所有英雄防御上升15%,0,精英,0,1,0,1,0,93059201,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,怒涛战甲,buff_dilao_93059.png,3,战场上的己方怒涛英雄，使己方所有英雄防御上升25%,0,史诗,0,1,0,1,0,93059301,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,怒涛之心,buff_dilao_93060.png,1,怒涛的防御+ 10％。受伤时能量恢复+ 15％。,0,稀有,0,1,0,1,0,93060101,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,怒涛之心,buff_dilao_93060.png,2,怒涛的防御+ 30％。受伤时能量恢复+ 20％。,0,精英,0,1,0,1,0,93060201,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,怒涛之心,buff_dilao_93060.png,3,怒涛的防御+ 50％。受伤时能量恢复+ 30％。,0,史诗,0,1,0,1,0,93060301,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,圣焰之力,buff_dilao_93061.png,1,圣焰英雄的攻击力提高10％，生命汲取提高15％,0,稀有,0,2,0,1,0,93061101,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,圣焰之力,buff_dilao_93061.png,2,圣焰英雄的攻击力提高20％，生命汲取提高20％。,0,精英,0,2,0,1,0,93061201,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,圣焰之力,buff_dilao_93061.png,3,圣焰英雄的攻击力提高30％，生命汲取提高30％。,0,史诗,0,2,0,1,0,93061301,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,圣焰集结,buff_dilao_93062.png,1,战场上的己方圣焰英雄，使己方所有英雄生命汲取上升2%,0,稀有,0,2,0,1,0,93062101,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,圣焰集结,buff_dilao_93062.png,2,战场上的己方圣焰英雄，使己方所有英雄生命汲取上升5%,0,精英,0,2,0,1,0,93062201,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,圣焰集结,buff_dilao_93062.png,3,战场上的己方圣焰英雄，使己方所有英雄生命汲取上升8%,0,史诗,0,2,0,1,0,93062301,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,雷鸣神印,buff_dilao_93064.png,1,战场上的己方雷鸣英雄，使己方所有英雄攻击力2%,0,稀有,0,3,0,1,0,93064101,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,雷鸣神印,buff_dilao_93064.png,2,战场上的己方雷鸣英雄，使己方所有英雄攻击力6%,0,精英,0,3,0,1,0,93064201,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,雷鸣神印,buff_dilao_93064.png,3,战场上的己方雷鸣英雄，使己方所有英雄攻击力10%,0,史诗,0,3,0,1,0,93064301,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,神峰护符,buff_dilao_93065.png,1,战场上的己方神峰英雄，使己方所有英雄闪避上升4%,0,稀有,0,4,0,1,0,93065101,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,神峰护符,buff_dilao_93065.png,2,战场上的己方神峰英雄，使己方所有英雄闪避上升8%,0,精英,0,4,0,1,0,93065201,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,神峰护符,buff_dilao_93065.png,3,战场上的己方神峰英雄，使己方所有英雄闪避上升12%,0,史诗,0,4,0,1,0,93065301,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,神峰之心,buff_dilao_93066.png,1,神峰英雄的暴击提高15％，急速提高10％。,0,稀有,0,4,0,1,0,93066101,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,神峰之心,buff_dilao_93066.png,2,神峰英雄的暴击提高20％，急速提高20％。,0,精英,0,4,0,1,0,93066201,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,神峰之心,buff_dilao_93066.png,3,神峰英雄的暴击提高30％，急速提高30％。,0,史诗,0,4,0,1,0,93066301,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,战神巨剑,buff_dilao_1.png,1,每获得一次胜利，提高英雄3％的攻击，最多可以提高12％,0,稀有,0,0,0,1,0,0,400,1,502,300,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,战神巨剑,buff_dilao_1.png,2,每获得一次胜利，提高英雄4％的攻击，最多可以提高20％,0,精英,0,0,0,1,0,0,700,1,502,400,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,战神巨剑,buff_dilao_1.png,3,每获得一次胜利，提高英雄5％的攻击，最多可以提高40％,0,史诗,0,0,0,1,0,0,1200,1,502,500,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,战神盔甲,buff_dilao_93003.png,1,每获得一次胜利，提高英雄3％的防御，最多可以提高12％,0,稀有,0,0,0,1,0,0,800,1,503,300,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,战神盔甲,buff_dilao_93003.png,2,每获得一次胜利，提高英雄4％的防御，最多可以提高20％,0,精英,0,0,0,1,0,0,1000,1,503,400,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,战神盔甲,buff_dilao_93003.png,3,每获得一次胜利，提高英雄5％的防御，最多可以提高40％,0,史诗,0,0,0,1,0,0,1200,1,503,500,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,宝物匣,buff_dilao_2.png,1,每拥有一个精英或史诗遗物，所有己方英雄的生命和防御提高。,每拥有一个精英或史诗遗物，所有己方英雄的生命和防御提高1％，最多可以提高10％。,稀有,0,0,0,1,0,0,600,2,501,100,1000,503,100,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
75,宝物匣,buff_dilao_2.png,2,每拥有一个精英或史诗遗物，所有己方英雄的生命和防御提高。,每拥有一个精英或史诗遗物，所有己方英雄的生命和防御提高1.5％，最多可以提高15％。,精英,0,0,0,1,0,0,1000,2,501,150,1500,503,150,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
76,宝物匣,buff_dilao_2.png,3,每拥有一个精英或史诗遗物，所有己方英雄的生命和防御提高。,每拥有一个精英或史诗遗物，所有己方英雄的生命和防御提高2.5％，最多可以提高30％。,史诗,0,0,0,1,0,0,2000,2,501,250,3000,503,250,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
77,预见宝珠,buff_dilao_3.png,1,仅在第三层困难模式中，提升12%攻击与防御,在地牢困难模式中，所有己方的攻击和防御提升12%。但在此之前没有任何效果,稀有,0,0,0,1,3,0,800,7,502,1200,0,503,1200,0,0,0,0,0,0,0,0,0,0,0,0,110904,1
78,预见宝珠,buff_dilao_3.png,2,仅在第三层困难模式中，提升20%攻击与防御,在地牢困难模式中，所有己方的攻击和防御提升20%。但在此之前没有任何效果,精英,0,0,0,1,3,0,1000,7,502,1600,0,503,1600,0,0,0,0,0,0,0,0,0,0,0,0,110904,1
79,预见宝珠,buff_dilao_3.png,3,仅在第三层困难模式中，提升35%攻击与防御,在地牢困难模式中，所有己方的攻击和防御提升35%。但在此之前没有任何效果,史诗,0,0,0,1,3,0,1200,7,502,2000,0,503,2000,0,0,0,0,0,0,0,0,0,0,0,0,110904,1
80,黎明祝福,buff_dilao_6.png,2,使用黎明之力后获得伤害提升30%，本次挑战最多叠加4次,0,精英,0,0,0,1,0,0,1000,4,35,3000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,勇气卷轴,buff_dilao_5.png,1,单独一个卷轴无法发挥任何作用，但收集多个勇气卷轴能解锁对应增益效果。,根据拥有的勇气卷轴总数，使所有友军获得对应增益：\n2个或更多：受到的伤害降低15％\n3个或更多：造成的伤害提高25％\n4个：暴击率提高40％,稀有,0,0,0,0,0,0,500,5,38,1500,0,35,2500,0,6,4000,0,0,0,0,2,3,4,0,0,0,0
82,神力宝盒,buff_dilao_4.png,2,使已拥有的勇气卷轴所带来的增益效果提升至原本的两倍,0,精英,0,0,0,1,0,0,800,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,庇佑指环,buff_dilao_93013.png,1,战斗开始15秒后，使最虚弱的己方英雄恢复最大生命的20%,0,稀有,0,0,0,1,0,93013201,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,庇佑指环,buff_dilao_93013.png,2,战斗开始15秒后，使最虚弱的己方英雄恢复最大生命的30%,0,精英,0,0,0,1,0,93013301,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,掌控法杖,buff_dilao_93014.png,1,战斗开始时，使敌方前排英雄攻击自己的队伍持续2秒,0,稀有,0,0,0,1,0,93014101,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,掌控法杖,buff_dilao_93014.png,2,战斗开始时，使敌方前排英雄攻击自己的队伍持续3.5秒,0,精英,0,0,0,1,0,93014201,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,掌控法杖,buff_dilao_93014.png,3,战斗开始时，使敌方前排英雄攻击自己的队伍持续5秒,0,史诗,0,0,0,1,0,93014301,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,冲锋号角,buff_dilao_93023.png,2,进入敌方半场的友军防御+20%，汲取+15%,0,精英,0,0,0,1,0,93023101,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,冲锋号角,buff_dilao_93023.png,3,进入敌方半场的友军防御+30%，汲取+20%,0,史诗,0,0,0,1,0,93023201,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,胜利怒吼,buff_dilao_93036.png,2,每当有敌人战败时，己方所有英雄提高一定数值的各项属性,0,精英,0,0,0,1,0,93036101,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,战神石像,buff_dilao_93045.png,2,每当有己方英雄战败时，己方所有幸存英雄所有属性提升，直到战斗结束。,0,精英,0,0,0,1,0,93045101,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,神罚,buff_dilao_93046.png,3,战斗开始第25秒时，对所有敌人造成巨大伤害并昏迷,0,史诗,0,0,0,1,0,93046101,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
