teamlv,teamexplv,teamtotolexp,getphysical,getlimit,physicallimit,Recommendedstrength,powerlimit,item1,num1,item2,num2
148,438460,21887720,0,1,100,2300000,150,91000002,10,0,0
149,444400,22332120,0,1,100,2300000,150,91000002,10,0,0
150,450380,22782500,0,1,100,2300000,150,91000002,10,0,0
151,456400,23238900,0,1,100,2300000,150,91000002,10,0,0
152,462460,23701360,0,1,100,2300000,150,91000002,10,0,0
153,468560,24169920,0,1,100,2300000,150,91000002,10,0,0
154,474700,24644620,0,1,100,2300000,150,91000002,10,0,0
155,480880,25125500,0,1,100,2300000,150,91000002,10,0,0
156,487100,25612600,0,1,100,2300000,150,91000002,10,0,0
157,493360,26105960,0,1,100,2300000,150,91000002,10,0,0
158,499660,26605620,0,1,100,2300000,150,91000002,10,0,0
159,506000,27111620,0,1,100,2300000,150,91000002,10,0,0
160,512380,27624000,0,1,100,2300000,150,91000002,10,0,0
161,518800,28142800,0,1,100,2300000,150,91000002,10,0,0
162,525260,28668060,0,1,100,2300000,150,91000002,10,0,0
163,531760,29199820,0,1,100,2300000,150,91000002,10,0,0
164,538300,29738120,0,1,100,2300000,150,91000002,10,0,0
165,544880,30283000,0,1,100,2300000,150,91000002,10,0,0
166,551500,30834500,0,1,100,2300000,150,91000002,10,0,0
167,558160,31392660,0,1,100,2300000,150,91000002,10,0,0
168,564860,31957520,0,1,100,2300000,150,91000002,10,0,0
169,571600,32529120,0,1,100,2300000,150,91000002,10,0,0
170,578380,33107500,0,1,100,2300000,150,91000002,10,0,0
171,585200,33692700,0,1,100,2300000,150,91000002,10,0,0
172,592060,34284760,0,1,100,2300000,150,91000002,10,0,0
173,598960,34883720,0,1,100,2300000,150,91000002,10,0,0
174,605900,35489620,0,1,100,2300000,150,91000002,10,0,0
175,612880,36102500,0,1,100,2300000,150,91000002,10,0,0
176,619900,36722400,0,1,100,2300000,150,91000002,10,0,0
177,626960,37349360,0,1,100,2300000,150,91000002,10,0,0
178,634060,37983420,0,1,100,2300000,150,91000002,10,0,0
179,641200,38624620,0,1,100,2300000,150,91000002,10,0,0
180,648380,39273000,0,1,100,2300000,150,91000002,10,0,0
181,655600,39928600,0,1,100,2300000,150,91000002,10,0,0
182,662860,40591460,0,1,100,2300000,150,91000002,10,0,0
183,670160,41261620,0,1,100,2300000,150,91000002,10,0,0
184,677500,41939120,0,1,100,2300000,150,91000002,10,0,0
185,684880,42624000,0,1,100,2300000,150,91000002,10,0,0
186,692300,43316300,0,1,100,2300000,150,91000002,10,0,0
187,699760,44016060,0,1,100,2300000,150,91000002,10,0,0
188,707260,44723320,0,1,100,2300000,150,91000002,10,0,0
189,714800,45438120,0,1,100,2300000,150,91000002,10,0,0
190,722380,46160500,0,1,100,2300000,150,91000002,10,0,0
191,730000,46890500,0,1,100,2300000,150,91000002,10,0,0
192,737660,47628160,0,1,100,2300000,150,91000002,10,0,0
193,745360,48373520,0,1,100,2300000,150,91000002,10,0,0
194,753100,49126620,0,1,100,2300000,150,91000002,10,0,0
195,760880,49887500,0,1,100,2300000,150,91000002,10,0,0
196,768700,50656200,0,1,100,2300000,150,91000002,10,0,0
197,776560,51432760,0,1,100,2300000,150,91000002,10,0,0
198,784460,52217220,0,1,100,2300000,150,91000002,10,0,0
199,792400,53009620,0,1,100,2300000,150,91000002,10,0,0
200,800380,53810000,0,1,100,2300000,150,91000002,10,0,0
201,808400,54618400,0,1,100,2300000,150,91000002,10,0,0
202,816460,55434860,0,1,100,2300000,150,91000002,10,0,0
203,824560,56259420,0,1,100,2300000,150,91000002,10,0,0
204,832700,57092120,0,1,100,2300000,150,91000002,10,0,0
205,840880,57933000,0,1,100,2300000,150,91000002,10,0,0
206,849100,58782100,0,1,100,2300000,150,91000002,10,0,0
207,857360,59639460,0,1,100,2300000,150,91000002,10,0,0
208,865660,60505120,0,1,100,2300000,150,91000002,10,0,0
209,874000,61379120,0,1,100,2300000,150,91000002,10,0,0
210,882380,62261500,0,1,100,2300000,150,91000002,10,0,0
211,890800,63152300,0,1,100,2300000,150,91000002,10,0,0
212,899260,64051560,0,1,100,2300000,150,91000002,10,0,0
213,907760,64959320,0,1,100,2300000,150,91000002,10,0,0
214,916300,65875620,0,1,100,2300000,150,91000002,10,0,0
215,924880,66800500,0,1,100,2300000,150,91000002,10,0,0
216,933500,67734000,0,1,100,2300000,150,91000002,10,0,0
217,942160,68676160,0,1,100,2300000,150,91000002,10,0,0
218,950860,69627020,0,1,100,2300000,150,91000002,10,0,0
219,959600,70586620,0,1,100,2300000,150,91000002,10,0,0
220,968380,71555000,0,1,100,2300000,150,91000002,10,0,0
221,977200,72532200,0,1,100,2300000,150,91000002,10,0,0
222,986060,73518260,0,1,100,2300000,150,91000002,10,0,0
223,994960,74513220,0,1,100,2300000,150,91000002,10,0,0
224,1003900,75517120,0,1,100,2300000,150,91000002,10,0,0
225,1012880,76530000,0,1,100,2300000,150,91000002,10,0,0
226,1021900,77551900,0,1,100,2300000,150,91000002,10,0,0
227,1030960,78582860,0,1,100,2300000,150,91000002,10,0,0
228,1040060,79622920,0,1,100,2300000,150,91000002,10,0,0
229,1049200,80672120,0,1,100,2300000,150,91000002,10,0,0
230,1058380,81730500,0,1,100,2300000,150,91000002,10,0,0
231,1067600,82798100,0,1,100,2300000,150,91000002,10,0,0
232,1076860,83874960,0,1,100,2300000,150,91000002,10,0,0
233,1086160,84961120,0,1,100,2300000,150,91000002,10,0,0
234,1095500,86056620,0,1,100,2300000,150,91000002,10,0,0
235,1104880,87161500,0,1,100,2300000,150,91000002,10,0,0
236,1114300,88275800,0,1,100,2300000,150,91000002,10,0,0
237,1123760,89399560,0,1,100,2300000,150,91000002,10,0,0
238,1133260,90532820,0,1,100,2300000,150,91000002,10,0,0
239,1142800,91675620,0,1,100,2300000,150,91000002,10,0,0
240,1152380,92828000,0,1,100,2300000,150,91000002,10,0,0
241,1162000,93990000,0,1,100,2300000,150,91000002,10,0,0
242,1171660,95161660,0,1,100,2300000,150,91000002,10,0,0
243,1181360,96343020,0,1,100,2300000,150,91000002,10,0,0
244,1191100,97534120,0,1,100,2300000,150,91000002,10,0,0
245,1200880,98735000,0,1,100,2300000,150,91000002,10,0,0
246,1210700,99945700,0,1,100,2300000,150,91000002,10,0,0
247,1220560,101166260,0,1,100,2300000,150,91000002,10,0,0
248,1230460,102396720,0,1,100,2300000,150,91000002,10,0,0
249,1240400,103637120,0,1,100,2300000,150,91000002,10,0,0
250,1250380,104887500,0,1,100,2300000,150,91000002,10,0,0
251,1260400,106147900,0,1,100,2300000,150,91000002,10,0,0
252,1270460,107418360,0,1,100,2300000,150,91000002,10,0,0
253,1280560,108698920,0,1,100,2300000,150,91000002,10,0,0
254,1290700,109989620,0,1,100,2300000,150,91000002,10,0,0
255,1300880,111290500,0,1,100,2300000,150,91000002,10,0,0
256,1311100,112601600,0,1,100,2300000,150,91000002,10,0,0
257,1321360,113922960,0,1,100,2300000,150,91000002,10,0,0
258,1331660,115254620,0,1,100,2300000,150,91000002,10,0,0
259,1342000,116596620,0,1,100,2300000,150,91000002,10,0,0
260,1352380,117949000,0,1,100,2300000,150,91000002,10,0,0
261,1362800,119311800,0,1,100,2300000,150,91000002,10,0,0
262,1373260,120685060,0,1,100,2300000,150,91000002,10,0,0
263,1383760,122068820,0,1,100,2300000,150,91000002,10,0,0
264,1394300,123463120,0,1,100,2300000,150,91000002,10,0,0
265,1404880,124868000,0,1,100,2300000,150,91000002,10,0,0
266,1415500,126283500,0,1,100,2300000,150,91000002,10,0,0
267,1426160,127709660,0,1,100,2300000,150,91000002,10,0,0
268,1436860,129146520,0,1,100,2300000,150,91000002,10,0,0
269,1447600,130594120,0,1,100,2300000,150,91000002,10,0,0
270,1458380,132052500,0,1,100,2300000,150,91000002,10,0,0
271,1469200,133521700,0,1,100,2300000,150,91000002,10,0,0
272,1480060,135001760,0,1,100,2300000,150,91000002,10,0,0
273,1490960,136492720,0,1,100,2300000,150,91000002,10,0,0
274,1501900,137994620,0,1,100,2300000,150,91000002,10,0,0
275,1512880,139507500,0,1,100,2300000,150,91000002,10,0,0
276,1523900,141031400,0,1,100,2300000,150,91000002,10,0,0
277,1534960,142566360,0,1,100,2300000,150,91000002,10,0,0
278,1546060,144112420,0,1,100,2300000,150,91000002,10,0,0
279,1557200,145669620,0,1,100,2300000,150,91000002,10,0,0
280,1568380,147238000,0,1,100,2300000,150,91000002,10,0,0
281,1579600,148817600,0,1,100,2300000,150,91000002,10,0,0
282,1590860,150408460,0,1,100,2300000,150,91000002,10,0,0
283,1602160,152010620,0,1,100,2300000,150,91000002,10,0,0
284,1613500,153624120,0,1,100,2300000,150,91000002,10,0,0
285,1624880,155249000,0,1,100,2300000,150,91000002,10,0,0
286,1636300,156885300,0,1,100,2300000,150,91000002,10,0,0
287,1647760,158533060,0,1,100,2300000,150,91000002,10,0,0
288,1659260,160192320,0,1,100,2300000,150,91000002,10,0,0
289,1670800,161863120,0,1,100,2300000,150,91000002,10,0,0
290,1682380,163545500,0,1,100,2300000,150,91000002,10,0,0
291,1694000,165239500,0,1,100,2300000,150,91000002,10,0,0
292,1705660,166945160,0,1,100,2300000,150,91000002,10,0,0
293,1717360,168662520,0,1,100,2300000,150,91000002,10,0,0
294,1729100,170391620,0,1,100,2300000,150,91000002,10,0,0
295,1740880,172132500,0,1,100,2300000,150,91000002,10,0,0
296,1752700,173885200,0,1,100,2300000,150,91000002,10,0,0
297,1764560,175649760,0,1,100,2300000,150,91000002,10,0,0
298,1776460,177426220,0,1,100,2300000,150,91000002,10,0,0
299,1788400,179214620,0,1,100,2300000,150,91000002,10,0,0
300,1800380,181015000,0,1,100,2300000,150,91000002,10,0,0
