id,heroid,hero_star,skillhave1,skillhave2,skillhave3,skillhave4,skillhave5,skillhave6,type1,value1
46,1003,13,10030001,10030403,10030104,10030203,10030303,0,99,140000
47,1003,14,10030001,10030403,10030104,10030203,10030303,0,99,150000
48,1003,15,10030001,10030403,10030104,10030203,10030303,0,99,160000
49,1004,0,10040001,10040401,10040101,10040201,10040301,0,99,10000
50,1004,1,10040001,10040401,10040102,10040201,10040301,0,99,20000
51,1004,2,10040001,10040401,10040102,10040202,10040301,0,99,30000
52,1004,3,10040001,10040401,10040102,10040202,10040302,0,99,40000
53,1004,4,10040001,10040402,10040102,10040202,10040302,0,99,50000
54,1004,5,10040001,10040402,10040103,10040202,10040302,0,99,60000
55,1004,6,10040001,10040402,10040103,10040203,10040302,0,99,70000
56,1004,7,10040001,10040402,10040103,10040203,10040303,0,99,80000
57,1004,8,10040001,10040403,10040103,10040203,10040303,0,99,90000
58,1004,9,10040001,10040403,10040104,10040203,10040303,0,99,100000
59,1004,10,10040001,10040403,10040104,10040203,10040303,0,99,110000
60,1004,11,10040001,10040403,10040104,10040203,10040303,0,99,120000
61,1004,12,10040001,10040403,10040104,10040203,10040303,0,99,130000
62,1004,13,10040001,10040403,10040104,10040203,10040303,0,99,140000
63,1004,14,10040001,10040403,10040104,10040203,10040303,0,99,150000
64,1004,15,10040001,10040403,10040104,10040203,10040303,0,99,160000
65,1005,0,10050001,10050401,10050101,10050201,10050301,0,99,10000
66,1005,1,10050001,10050401,10050102,10050201,10050301,0,99,20000
67,1005,2,10050001,10050401,10050102,10050202,10050301,0,99,30000
68,1005,3,10050001,10050401,10050102,10050202,10050302,0,99,40000
69,1005,4,10050001,10050402,10050102,10050202,10050302,0,99,50000
70,1005,5,10050001,10050402,10050103,10050202,10050302,0,99,60000
71,1005,6,10050001,10050402,10050103,10050203,10050302,0,99,70000
72,1005,7,10050001,10050402,10050103,10050203,10050303,0,99,80000
73,1005,8,10050001,10050403,10050103,10050203,10050303,0,99,90000
74,1005,9,10050001,10050403,10050104,10050203,10050303,0,99,100000
75,1005,10,10050001,10050403,10050104,10050203,10050303,0,99,110000
76,1005,11,10050001,10050403,10050104,10050203,10050303,0,99,120000
77,1005,12,10050001,10050403,10050104,10050203,10050303,0,99,130000
78,1005,13,10050001,10050403,10050104,10050203,10050303,0,99,140000
79,1005,14,10050001,10050403,10050104,10050203,10050303,0,99,150000
80,1005,15,10050001,10050403,10050104,10050203,10050303,0,99,160000
81,1006,0,10060001,10060401,10060101,10060201,10060301,0,99,10000
82,1006,1,10060001,10060401,10060102,10060201,10060301,0,99,20000
83,1006,2,10060001,10060401,10060102,10060202,10060301,0,99,30000
84,1006,3,10060001,10060401,10060102,10060202,10060302,0,99,40000
85,1006,4,10060001,10060402,10060102,10060202,10060302,0,99,50000
86,1006,5,10060001,10060402,10060103,10060202,10060302,0,99,60000
87,1006,6,10060001,10060402,10060103,10060203,10060302,0,99,70000
88,1006,7,10060001,10060402,10060103,10060203,10060303,0,99,80000
89,1006,8,10060001,10060403,10060103,10060203,10060303,0,99,90000
90,1006,9,10060001,10060403,10060104,10060203,10060303,0,99,100000
91,1006,10,10060001,10060403,10060104,10060203,10060303,0,99,110000
92,1006,11,10060001,10060403,10060104,10060203,10060303,0,99,120000
93,1006,12,10060001,10060403,10060104,10060203,10060303,0,99,130000
94,1006,13,10060001,10060403,10060104,10060203,10060303,0,99,140000
95,1006,14,10060001,10060403,10060104,10060203,10060303,0,99,150000
96,1006,15,10060001,10060403,10060104,10060203,10060303,0,99,160000
97,1007,0,10070001,10070401,10070101,10070201,10070301,0,99,10000
98,1007,1,10070001,10070401,10070102,10070201,10070301,0,99,20000
99,1007,2,10070001,10070401,10070102,10070202,10070301,0,99,30000
100,1007,3,10070001,10070401,10070102,10070202,10070302,0,99,40000
101,1007,4,10070001,10070402,10070102,10070202,10070302,0,99,50000
102,1007,5,10070001,10070402,10070103,10070202,10070302,0,99,60000
103,1007,6,10070001,10070402,10070103,10070203,10070302,0,99,70000
104,1007,7,10070001,10070402,10070103,10070203,10070303,0,99,80000
105,1007,8,10070001,10070403,10070103,10070203,10070303,0,99,90000
106,1007,9,10070001,10070403,10070104,10070203,10070303,0,99,100000
107,1007,10,10070001,10070403,10070104,10070203,10070303,0,99,110000
108,1007,11,10070001,10070403,10070104,10070203,10070303,0,99,120000
109,1007,12,10070001,10070403,10070104,10070203,10070303,0,99,130000
110,1007,13,10070001,10070403,10070104,10070203,10070303,0,99,140000
111,1007,14,10070001,10070403,10070104,10070203,10070303,0,99,150000
112,1007,15,10070001,10070403,10070104,10070203,10070303,0,99,160000
113,1008,0,10080001,10080401,10080101,10080201,10080301,0,99,10000
114,1008,1,10080001,10080401,10080102,10080201,10080301,0,99,20000
115,1008,2,10080001,10080401,10080102,10080202,10080301,0,99,30000
116,1008,3,10080001,10080401,10080102,10080202,10080302,0,99,40000
117,1008,4,10080001,10080402,10080102,10080202,10080302,0,99,50000
118,1008,5,10080001,10080402,10080103,10080202,10080302,0,99,60000
119,1008,6,10080001,10080402,10080103,10080203,10080302,0,99,70000
120,1008,7,10080001,10080402,10080103,10080203,10080303,0,99,80000
121,1008,8,10080001,10080403,10080103,10080203,10080303,0,99,90000
122,1008,9,10080001,10080403,10080104,10080203,10080303,0,99,100000
123,1008,10,10080001,10080403,10080104,10080203,10080303,0,99,110000
124,1008,11,10080001,10080403,10080104,10080203,10080303,0,99,120000
125,1008,12,10080001,10080403,10080104,10080203,10080303,0,99,130000
126,1008,13,10080001,10080403,10080104,10080203,10080303,0,99,140000
127,1008,14,10080001,10080403,10080104,10080203,10080303,0,99,150000
128,1008,15,10080001,10080403,10080104,10080203,10080303,0,99,160000
129,1009,0,10090001,10090401,10090101,10090201,10090301,0,99,10000
130,1009,1,10090001,10090401,10090102,10090201,10090301,0,99,20000
131,1009,2,10090001,10090401,10090102,10090202,10090301,0,99,30000
132,1009,3,10090001,10090401,10090102,10090202,10090302,0,99,40000
133,1009,4,10090001,10090402,10090102,10090202,10090302,0,99,50000
134,1009,5,10090001,10090402,10090103,10090202,10090302,0,99,60000
135,1009,6,10090001,10090402,10090103,10090203,10090302,0,99,70000
136,1009,7,10090001,10090402,10090103,10090203,10090303,0,99,80000
137,1009,8,10090001,10090403,10090103,10090203,10090303,0,99,90000
138,1009,9,10090001,10090403,10090104,10090203,10090303,0,99,100000
139,1009,10,10090001,10090403,10090104,10090203,10090303,0,99,110000
140,1009,11,10090001,10090403,10090104,10090203,10090303,0,99,120000
141,1009,12,10090001,10090403,10090104,10090203,10090303,0,99,130000
142,1009,13,10090001,10090403,10090104,10090203,10090303,0,99,140000
143,1009,14,10090001,10090403,10090104,10090203,10090303,0,99,150000
144,1009,15,10090001,10090403,10090104,10090203,10090303,0,99,160000
145,1010,0,10100001,10100401,10100101,10100201,10100301,0,99,10000
146,1010,1,10100001,10100401,10100102,10100201,10100301,0,99,20000
147,1010,2,10100001,10100401,10100102,10100202,10100301,0,99,30000
148,1010,3,10100001,10100401,10100102,10100202,10100302,0,99,40000
149,1010,4,10100001,10100402,10100102,10100202,10100302,0,99,50000
150,1010,5,10100001,10100402,10100103,10100202,10100302,0,99,60000
151,1010,6,10100001,10100402,10100103,10100203,10100302,0,99,70000
152,1010,7,10100001,10100402,10100103,10100203,10100303,0,99,80000
153,1010,8,10100001,10100403,10100103,10100203,10100303,0,99,90000
154,1010,9,10100001,10100403,10100104,10100203,10100303,0,99,100000
155,1010,10,10100001,10100403,10100104,10100203,10100303,0,99,110000
156,1010,11,10100001,10100403,10100104,10100203,10100303,0,99,120000
157,1010,12,10100001,10100403,10100104,10100203,10100303,0,99,130000
158,1010,13,10100001,10100403,10100104,10100203,10100303,0,99,140000
159,1010,14,10100001,10100403,10100104,10100203,10100303,0,99,150000
160,1010,15,10100001,10100403,10100104,10100203,10100303,0,99,160000
161,1011,0,10110001,10110401,10110101,10110201,10110301,0,99,10000
162,1011,1,10110001,10110401,10110102,10110201,10110301,0,99,20000
163,1011,2,10110001,10110401,10110102,10110202,10110301,0,99,30000
164,1011,3,10110001,10110401,10110102,10110202,10110302,0,99,40000
165,1011,4,10110001,10110402,10110102,10110202,10110302,0,99,50000
166,1011,5,10110001,10110402,10110103,10110202,10110302,0,99,60000
167,1011,6,10110001,10110402,10110103,10110203,10110302,0,99,70000
168,1011,7,10110001,10110402,10110103,10110203,10110303,0,99,80000
169,1011,8,10110001,10110403,10110103,10110203,10110303,0,99,90000
170,1011,9,10110001,10110403,10110104,10110203,10110303,0,99,100000
171,1011,10,10110001,10110403,10110104,10110203,10110303,0,99,110000
172,1011,11,10110001,10110403,10110104,10110203,10110303,0,99,120000
173,1011,12,10110001,10110403,10110104,10110203,10110303,0,99,130000
174,1011,13,10110001,10110403,10110104,10110203,10110303,0,99,140000
175,1011,14,10110001,10110403,10110104,10110203,10110303,0,99,150000
176,1011,15,10110001,10110403,10110104,10110203,10110303,0,99,160000
177,1012,0,10120001,10120401,10120101,10120201,0,0,99,10000
178,1012,1,10120001,10120401,10120102,10120201,0,0,99,20000
179,1012,2,10120001,10120401,10120102,10120202,0,0,99,30000
180,1012,3,10120001,10120402,10120102,10120202,0,0,99,40000
181,1012,4,10120001,10120402,10120103,10120202,0,0,99,50000
182,1012,5,10120001,10120403,10120103,10120202,0,0,99,60000
183,1012,6,10120001,10120403,10120104,10120202,0,0,99,70000
184,1012,7,10120001,10120403,10120104,10120202,0,0,99,80000
185,1012,8,10120001,10120403,10120104,10120202,0,0,99,90000
186,1012,9,10120001,10120403,10120104,10120202,0,0,99,100000
187,1012,10,10120001,10120403,10120104,10120202,0,0,99,110000
188,1012,11,10120001,10120403,10120104,10120202,0,0,99,120000
189,1012,12,10120001,10120403,10120104,10120202,0,0,99,130000
190,1012,13,10120001,10120403,10120104,10120202,0,0,99,140000
191,1012,14,10120001,10120403,10120104,10120202,0,0,99,150000
192,1012,15,10120001,10120403,10120104,10120202,0,0,99,160000
193,1013,0,10130001,10130401,10130101,10130201,0,0,99,10000
194,1013,1,10130001,10130401,10130102,10130201,0,0,99,20000
195,1013,2,10130001,10130401,10130102,10130202,0,0,99,30000
196,1013,3,10130001,10130402,10130102,10130202,0,0,99,40000
197,1013,4,10130001,10130402,10130103,10130202,0,0,99,50000
198,1013,5,10130001,10130403,10130103,10130202,0,0,99,60000
199,1013,6,10130001,10130403,10130104,10130202,0,0,99,70000
200,1013,7,10130001,10130403,10130104,10130202,0,0,99,80000
201,1013,8,10130001,10130403,10130104,10130202,0,0,99,90000
202,1013,9,10130001,10130403,10130104,10130202,0,0,99,100000
203,1013,10,10130001,10130403,10130104,10130202,0,0,99,110000
204,1013,11,10130001,10130403,10130104,10130202,0,0,99,120000
205,1013,12,10130001,10130403,10130104,10130202,0,0,99,130000
206,1013,13,10130001,10130403,10130104,10130202,0,0,99,140000
207,1013,14,10130001,10130403,10130104,10130202,0,0,99,150000
208,1013,15,10130001,10130403,10130104,10130202,0,0,99,160000
209,1014,0,10140001,10140401,10140101,10140201,0,0,99,10000
210,1014,1,10140001,10140401,10140102,10140201,0,0,99,20000
211,1014,2,10140001,10140401,10140102,10140202,0,0,99,30000
212,1014,3,10140001,10140402,10140102,10140202,0,0,99,40000
213,1014,4,10140001,10140402,10140103,10140202,0,0,99,50000
214,1014,5,10140001,10140403,10140103,10140202,0,0,99,60000
215,1014,6,10140001,10140403,10140104,10140202,0,0,99,70000
216,1014,7,10140001,10140403,10140104,10140202,0,0,99,80000
217,1014,8,10140001,10140403,10140104,10140202,0,0,99,90000
218,1014,9,10140001,10140403,10140104,10140202,0,0,99,100000
219,1014,10,10140001,10140403,10140104,10140202,0,0,99,110000
220,1014,11,10140001,10140403,10140104,10140202,0,0,99,120000
221,1014,12,10140001,10140403,10140104,10140202,0,0,99,130000
222,1014,13,10140001,10140403,10140104,10140202,0,0,99,140000
223,1014,14,10140001,10140403,10140104,10140202,0,0,99,150000
224,1014,15,10140001,10140403,10140104,10140202,0,0,99,160000
225,1015,0,10150001,10150401,10150101,10150201,0,0,99,10000
226,1015,1,10150001,10150401,10150102,10150201,0,0,99,20000
227,1015,2,10150001,10150401,10150102,10150202,0,0,99,30000
228,1015,3,10150001,10150402,10150102,10150202,0,0,99,40000
229,1015,4,10150001,10150402,10150103,10150202,0,0,99,50000
230,1015,5,10150001,10150403,10150103,10150202,0,0,99,60000
231,1015,6,10150001,10150403,10150104,10150202,0,0,99,70000
232,1015,7,10150001,10150403,10150104,10150202,0,0,99,80000
233,1015,8,10150001,10150403,10150104,10150202,0,0,99,90000
234,1015,9,10150001,10150403,10150104,10150202,0,0,99,100000
235,1015,10,10150001,10150403,10150104,10150202,0,0,99,110000
236,1015,11,10150001,10150403,10150104,10150202,0,0,99,120000
237,1015,12,10150001,10150403,10150104,10150202,0,0,99,130000
238,1015,13,10150001,10150403,10150104,10150202,0,0,99,140000
239,1015,14,10150001,10150403,10150104,10150202,0,0,99,150000
240,1015,15,10150001,10150403,10150104,10150202,0,0,99,160000
241,1016,0,10160001,10160401,10160101,0,0,0,99,10000
242,1017,0,10170001,10170401,10170101,0,0,0,99,10000
243,1018,0,10180001,10180401,10180101,10180201,10180301,0,99,10000
244,1018,1,10180001,10180401,10180102,10180201,10180301,0,99,20000
245,1018,2,10180001,10180401,10180102,10180202,10180301,0,99,30000
246,1018,3,10180001,10180401,10180102,10180202,10180302,0,99,40000
247,1018,4,10180001,10180402,10180102,10180202,10180302,0,99,50000
248,1018,5,10180001,10180402,10180103,10180202,10180302,0,99,60000
249,1018,6,10180001,10180402,10180103,10180203,10180302,0,99,70000
250,1018,7,10180001,10180402,10180103,10180203,10180303,0,99,80000
251,1018,8,10180001,10180403,10180103,10180203,10180303,0,99,90000
252,1018,9,10180001,10180403,10180104,10180203,10180303,0,99,100000
253,1018,10,10180001,10180403,10180104,10180203,10180303,0,99,110000
254,1018,11,10180001,10180403,10180104,10180203,10180303,0,99,120000
255,1018,12,10180001,10180403,10180104,10180203,10180303,0,99,130000
256,1018,13,10180001,10180403,10180104,10180203,10180303,0,99,140000
257,1018,14,10180001,10180403,10180104,10180203,10180303,0,99,150000
258,1018,15,10180001,10180403,10180104,10180203,10180303,0,99,160000
259,2001,0,20010001,20010401,20010101,20010201,20010301,0,99,10000
260,2001,1,20010001,20010401,20010102,20010201,20010301,0,99,20000
261,2001,2,20010001,20010401,20010102,20010202,20010301,0,99,30000
262,2001,3,20010001,20010401,20010102,20010202,20010302,0,99,40000
263,2001,4,20010001,20010402,20010102,20010202,20010302,0,99,50000
264,2001,5,20010001,20010402,20010103,20010202,20010302,0,99,60000
265,2001,6,20010001,20010402,20010103,20010203,20010302,0,99,70000
266,2001,7,20010001,20010402,20010103,20010203,20010303,0,99,80000
267,2001,8,20010001,20010403,20010103,20010203,20010303,0,99,90000
268,2001,9,20010001,20010403,20010104,20010203,20010303,0,99,100000
269,2001,10,20010001,20010403,20010104,20010203,20010303,0,99,110000
270,2001,11,20010001,20010403,20010104,20010203,20010303,0,99,120000
271,2001,12,20010001,20010403,20010104,20010203,20010303,0,99,130000
272,2001,13,20010001,20010403,20010104,20010203,20010303,0,99,140000
273,2001,14,20010001,20010403,20010104,20010203,20010303,0,99,150000
274,2001,15,20010001,20010403,20010104,20010203,20010303,0,99,160000
275,2002,0,20020001,20020401,20020101,20020201,20020301,0,99,10000
276,2002,1,20020001,20020401,20020102,20020201,20020301,0,99,20000
277,2002,2,20020001,20020401,20020102,20020202,20020301,0,99,30000
278,2002,3,20020001,20020401,20020102,20020202,20020302,0,99,40000
279,2002,4,20020001,20020402,20020102,20020202,20020302,0,99,50000
280,2002,5,20020001,20020402,20020103,20020202,20020302,0,99,60000
281,2002,6,20020001,20020402,20020103,20020203,20020302,0,99,70000
282,2002,7,20020001,20020402,20020103,20020203,20020303,0,99,80000
283,2002,8,20020001,20020403,20020103,20020203,20020303,0,99,90000
284,2002,9,20020001,20020403,20020104,20020203,20020303,0,99,100000
285,2002,10,20020001,20020403,20020104,20020203,20020303,0,99,110000
286,2002,11,20020001,20020403,20020104,20020203,20020303,0,99,120000
287,2002,12,20020001,20020403,20020104,20020203,20020303,0,99,130000
288,2002,13,20020001,20020403,20020104,20020203,20020303,0,99,140000
289,2002,14,20020001,20020403,20020104,20020203,20020303,0,99,150000
290,2002,15,20020001,20020403,20020104,20020203,20020303,0,99,160000
291,2003,0,20030001,20030401,20030101,20030201,20030301,0,99,10000
292,2003,1,20030001,20030401,20030102,20030201,20030301,0,99,20000
293,2003,2,20030001,20030401,20030102,20030202,20030301,0,99,30000
294,2003,3,20030001,20030401,20030102,20030202,20030302,0,99,40000
295,2003,4,20030001,20030402,20030102,20030202,20030302,0,99,50000
296,2003,5,20030001,20030402,20030103,20030202,20030302,0,99,60000
297,2003,6,20030001,20030402,20030103,20030203,20030302,0,99,70000
298,2003,7,20030001,20030402,20030103,20030203,20030303,0,99,80000
299,2003,8,20030001,20030403,20030103,20030203,20030303,0,99,90000
300,2003,9,20030001,20030403,20030104,20030203,20030303,0,99,100000
301,2003,10,20030001,20030403,20030104,20030203,20030303,0,99,110000
302,2003,11,20030001,20030403,20030104,20030203,20030303,0,99,120000
303,2003,12,20030001,20030403,20030104,20030203,20030303,0,99,130000
304,2003,13,20030001,20030403,20030104,20030203,20030303,0,99,140000
305,2003,14,20030001,20030403,20030104,20030203,20030303,0,99,150000
306,2003,15,20030001,20030403,20030104,20030203,20030303,0,99,160000
307,2004,0,20040001,20040401,20040101,20040201,20040301,0,99,10000
308,2004,1,20040001,20040401,20040102,20040201,20040301,0,99,20000
309,2004,2,20040001,20040401,20040102,20040202,20040301,0,99,30000
310,2004,3,20040001,20040401,20040102,20040202,20040302,0,99,40000
311,2004,4,20040001,20040402,20040102,20040202,20040302,0,99,50000
312,2004,5,20040001,20040402,20040103,20040202,20040302,0,99,60000
313,2004,6,20040001,20040402,20040103,20040203,20040302,0,99,70000
314,2004,7,20040001,20040402,20040103,20040203,20040303,0,99,80000
315,2004,8,20040001,20040403,20040103,20040203,20040303,0,99,90000
316,2004,9,20040001,20040403,20040104,20040203,20040303,0,99,100000
317,2004,10,20040001,20040403,20040104,20040203,20040303,0,99,110000
318,2004,11,20040001,20040403,20040104,20040203,20040303,0,99,120000
319,2004,12,20040001,20040403,20040104,20040203,20040303,0,99,130000
320,2004,13,20040001,20040403,20040104,20040203,20040303,0,99,140000
321,2004,14,20040001,20040403,20040104,20040203,20040303,0,99,150000
322,2004,15,20040001,20040403,20040104,20040203,20040303,0,99,160000
323,2005,0,20050001,20050401,20050101,20050201,20050301,0,99,10000
324,2005,1,20050001,20050401,20050102,20050201,20050301,0,99,20000
325,2005,2,20050001,20050401,20050102,20050202,20050301,0,99,30000
326,2005,3,20050001,20050401,20050102,20050202,20050302,0,99,40000
327,2005,4,20050001,20050402,20050102,20050202,20050302,0,99,50000
328,2005,5,20050001,20050402,20050103,20050202,20050302,0,99,60000
329,2005,6,20050001,20050402,20050103,20050203,20050302,0,99,70000
330,2005,7,20050001,20050402,20050103,20050203,20050303,0,99,80000
331,2005,8,20050001,20050403,20050103,20050203,20050303,0,99,90000
332,2005,9,20050001,20050403,20050104,20050203,20050303,0,99,100000
333,2005,10,20050001,20050403,20050104,20050203,20050303,0,99,110000
334,2005,11,20050001,20050403,20050104,20050203,20050303,0,99,120000
335,2005,12,20050001,20050403,20050104,20050203,20050303,0,99,130000
336,2005,13,20050001,20050403,20050104,20050203,20050303,0,99,140000
337,2005,14,20050001,20050403,20050104,20050203,20050303,0,99,150000
338,2005,15,20050001,20050403,20050104,20050203,20050303,0,99,160000
339,2006,0,20060001,20060401,20060101,20060201,20060301,0,99,10000
340,2006,1,20060001,20060401,20060102,20060201,20060301,0,99,20000
341,2006,2,20060001,20060401,20060102,20060202,20060301,0,99,30000
342,2006,3,20060001,20060401,20060102,20060202,20060302,0,99,40000
343,2006,4,20060001,20060402,20060102,20060202,20060302,0,99,50000
344,2006,5,20060001,20060402,20060103,20060202,20060302,0,99,60000
345,2006,6,20060001,20060402,20060103,20060203,20060302,0,99,70000
346,2006,7,20060001,20060402,20060103,20060203,20060303,0,99,80000
347,2006,8,20060001,20060403,20060103,20060203,20060303,0,99,90000
348,2006,9,20060001,20060403,20060104,20060203,20060303,0,99,100000
349,2006,10,20060001,20060403,20060104,20060203,20060303,0,99,110000
350,2006,11,20060001,20060403,20060104,20060203,20060303,0,99,120000
351,2006,12,20060001,20060403,20060104,20060203,20060303,0,99,130000
352,2006,13,20060001,20060403,20060104,20060203,20060303,0,99,140000
353,2006,14,20060001,20060403,20060104,20060203,20060303,0,99,150000
354,2006,15,20060001,20060403,20060104,20060203,20060303,0,99,160000
355,2007,0,20070001,20070401,20070101,20070201,20070301,0,99,10000
356,2007,1,20070001,20070401,20070102,20070201,20070301,0,99,20000
357,2007,2,20070001,20070401,20070102,20070202,20070301,0,99,30000
358,2007,3,20070001,20070401,20070102,20070202,20070302,0,99,40000
359,2007,4,20070001,20070402,20070102,20070202,20070302,0,99,50000
360,2007,5,20070001,20070402,20070103,20070202,20070302,0,99,60000
361,2007,6,20070001,20070402,20070103,20070203,20070302,0,99,70000
362,2007,7,20070001,20070402,20070103,20070203,20070303,0,99,80000
363,2007,8,20070001,20070403,20070103,20070203,20070303,0,99,90000
364,2007,9,20070001,20070403,20070104,20070203,20070303,0,99,100000
365,2007,10,20070001,20070403,20070104,20070203,20070303,0,99,110000
366,2007,11,20070001,20070403,20070104,20070203,20070303,0,99,120000
367,2007,12,20070001,20070403,20070104,20070203,20070303,0,99,130000
368,2007,13,20070001,20070403,20070104,20070203,20070303,0,99,140000
369,2007,14,20070001,20070403,20070104,20070203,20070303,0,99,150000
370,2007,15,20070001,20070403,20070104,20070203,20070303,0,99,160000
371,2008,0,20080001,20080401,20080101,20080201,20080301,0,99,10000
372,2008,1,20080001,20080401,20080102,20080201,20080301,0,99,20000
373,2008,2,20080001,20080401,20080102,20080202,20080301,0,99,30000
374,2008,3,20080001,20080401,20080102,20080202,20080302,0,99,40000
375,2008,4,20080001,20080402,20080102,20080202,20080302,0,99,50000
376,2008,5,20080001,20080402,20080103,20080202,20080302,0,99,60000
377,2008,6,20080001,20080402,20080103,20080203,20080302,0,99,70000
378,2008,7,20080001,20080402,20080103,20080203,20080303,0,99,80000
379,2008,8,20080001,20080403,20080103,20080203,20080303,0,99,90000
380,2008,9,20080001,20080403,20080104,20080203,20080303,0,99,100000
381,2008,10,20080001,20080403,20080104,20080203,20080303,0,99,110000
382,2008,11,20080001,20080403,20080104,20080203,20080303,0,99,120000
383,2008,12,20080001,20080403,20080104,20080203,20080303,0,99,130000
384,2008,13,20080001,20080403,20080104,20080203,20080303,0,99,140000
385,2008,14,20080001,20080403,20080104,20080203,20080303,0,99,150000
386,2008,15,20080001,20080403,20080104,20080203,20080303,0,99,160000
387,2009,0,20090001,20090401,20090101,20090201,20090301,0,99,10000
388,2009,1,20090001,20090401,20090102,20090201,20090301,0,99,20000
389,2009,2,20090001,20090401,20090102,20090202,20090301,0,99,30000
390,2009,3,20090001,20090401,20090102,20090202,20090302,0,99,40000
391,2009,4,20090001,20090402,20090102,20090202,20090302,0,99,50000
392,2009,5,20090001,20090402,20090103,20090202,20090302,0,99,60000
393,2009,6,20090001,20090402,20090103,20090203,20090302,0,99,70000
394,2009,7,20090001,20090402,20090103,20090203,20090303,0,99,80000
395,2009,8,20090001,20090403,20090103,20090203,20090303,0,99,90000
396,2009,9,20090001,20090403,20090104,20090203,20090303,0,99,100000
397,2009,10,20090001,20090403,20090104,20090203,20090303,0,99,110000
398,2009,11,20090001,20090403,20090104,20090203,20090303,0,99,120000
399,2009,12,20090001,20090403,20090104,20090203,20090303,0,99,130000
400,2009,13,20090001,20090403,20090104,20090203,20090303,0,99,140000
401,2009,14,20090001,20090403,20090104,20090203,20090303,0,99,150000
402,2009,15,20090001,20090403,20090104,20090203,20090303,0,99,160000
403,2010,0,20100001,20100401,20100101,20100201,20100301,0,99,10000
404,2010,1,20100001,20100401,20100102,20100201,20100301,0,99,20000
405,2010,2,20100001,20100401,20100102,20100202,20100301,0,99,30000
406,2010,3,20100001,20100401,20100102,20100202,20100302,0,99,40000
407,2010,4,20100001,20100402,20100102,20100202,20100302,0,99,50000
408,2010,5,20100001,20100402,20100103,20100202,20100302,0,99,60000
409,2010,6,20100001,20100402,20100103,20100203,20100302,0,99,70000
410,2010,7,20100001,20100402,20100103,20100203,20100303,0,99,80000
411,2010,8,20100001,20100403,20100103,20100203,20100303,0,99,90000
412,2010,9,20100001,20100403,20100104,20100203,20100303,0,99,100000
