ID,type,score,default_camp,base_itemid,base_num,capacity,double_point,link_id1,link_id2,link_id3,link_id4,link_id5,link_id6,model1,model2,model3,point_description,quality
20401,4,5,1,91000001,360,20,1,20402,20304,20303,30305,30402,40501,city_zhengduozhan_yxwd_02.png,city_zhengduozhan_yxwd_02.png,city_zhengduozhan_yxwd_02.png,A矿1,5
20402,4,5,1,91000001,360,20,1,20401,20304,20202,20305,10401,40501,city_zhengduozhan_yxwd_02.png,city_zhengduozhan_yxwd_02.png,city_zhengduozhan_yxwd_02.png,A矿2,5
30101,1,0,2,91000001,150,50,1,30201,30202,30203,0,0,0,city_zhengduozhan_yxwd_01.png,city_zhengduozhan_yxwd_01.png,city_zhengduozhan_yxwd_01.png,帝国,2
30201,2,1,2,91000001,300,10,1,30302,30304,30202,30101,0,0,city_zhengduozhan_yxwd_04.png,city_zhengduozhan_yxwd_04.png,city_zhengduozhan_yxwd_04.png,C矿1,3
30202,2,1,2,91000001,300,10,1,30201,30304,30402,30305,30203,30101,city_zhengduozhan_yxwd_04.png,city_zhengduozhan_yxwd_04.png,city_zhengduozhan_yxwd_04.png,C矿2,3
30203,2,1,2,91000001,300,10,1,30101,30202,30305,30306,0,0,city_zhengduozhan_yxwd_04.png,city_zhengduozhan_yxwd_04.png,city_zhengduozhan_yxwd_04.png,C矿3,3
30301,3,2,2,91000001,330,15,1,10306,30303,30302,0,0,0,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,B矿1,4
30302,3,2,2,91000001,330,15,1,30301,30303,30304,30201,0,0,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,B矿2,4
30303,3,2,2,91000001,330,15,1,30301,30401,30304,30302,10305,10306,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,B矿3,4
30304,3,2,2,91000001,330,15,1,30401,30402,30202,30201,30302,30303,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,B矿4,4
30305,3,2,2,91000001,330,15,1,20303,20401,30402,30202,30203,30306,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,B矿5,4
30306,3,2,2,91000001,330,15,1,20301,20303,30305,30203,0,0,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,B矿6,4
30401,4,5,2,91000001,360,20,1,30402,30304,30303,10305,10402,40501,city_zhengduozhan_yxwd_02.png,city_zhengduozhan_yxwd_02.png,city_zhengduozhan_yxwd_02.png,A矿1,5
30402,4,5,2,91000001,360,20,1,30401,30304,30202,30305,20401,40501,city_zhengduozhan_yxwd_02.png,city_zhengduozhan_yxwd_02.png,city_zhengduozhan_yxwd_02.png,A矿2,5
40501,5,25,0,91000001,450,25,0,10401,10402,20401,20402,30401,30402,city_zhengduozhan_yxwd_01.png,city_zhengduozhan_yxwd_01.png,city_zhengduozhan_yxwd_01.png,S矿点,6
