id,group,item,num,refreshweight,extractweight,only,havediv,havedivchance,notice
50,1009,44400104,1,1,300,0,0,0,0
51,1009,44101004,1,1,300,0,0,0,0
52,1009,44400904,1,1,300,0,0,0,0
53,1009,44300604,1,1,300,0,0,0,0
54,1009,44300804,1,1,300,0,0,0,0
55,1009,44100704,1,1,300,0,0,0,0
56,1009,44400804,1,1,300,0,0,0,0
57,1010,91000033,2000,1,500,0,0,0,0
58,1010,91000033,3000,1,500,0,0,0,0
59,1011,10101001,1,1,1000,0,0,0,0
60,1011,10102001,1,1,1000,0,0,0,0
61,1011,10103001,1,1,1000,0,0,0,0
62,1011,10104001,1,1,1000,0,0,0,0
63,1011,10105001,1,1,1000,0,0,0,0
64,1011,10106001,1,1,1000,0,0,0,0
65,1011,10107001,1,1,1000,0,0,0,0
66,1012,10101002,1,1,500,0,0,0,0
67,1012,10102002,1,1,500,0,0,0,0
68,1012,10103002,1,1,500,0,0,0,0
69,1012,10104002,1,1,500,0,0,0,0
70,1012,10105002,1,1,500,0,0,0,0
71,1012,10106002,1,1,500,0,0,0,0
72,1012,10107002,1,1,500,0,0,0,0
73,1012,10101003,1,1,500,0,0,0,0
74,1012,10102003,1,1,500,0,0,0,0
75,1012,10103003,1,1,500,0,0,0,0
76,2001,44301004,25,1,1,0,0,0,1
77,2001,44100404,25,1,1,0,0,0,1
78,2001,44200204,25,1,1,0,0,0,1
79,2001,44100904,25,1,1,0,0,0,1
80,2001,44400704,25,1,1,0,0,0,1
81,2001,44100304,25,1,1,0,0,0,1
82,2001,44401104,25,1,1,0,0,0,1
83,2001,44201104,25,1,1,0,0,0,1
84,2001,44400304,25,1,1,0,0,0,1
85,2002,44401004,1,1,200,0,0,0,1
86,2002,44101104,1,1,200,0,0,0,1
87,2002,44300904,1,1,200,0,0,0,1
88,2002,44100204,1,1,200,0,0,0,1
89,2002,44300204,1,1,200,0,0,0,1
90,2002,44300504,1,1,200,0,0,0,1
91,2002,44100504,1,1,200,0,0,0,1
92,2002,44100104,1,1,200,0,0,0,1
93,2002,44300304,1,1,200,0,0,0,1
94,2002,44300104,1,1,200,0,0,0,1
95,2003,44301104,1,1,100,0,0,0,1
96,2003,44400204,1,1,100,0,0,0,1
97,2003,44200304,1,1,100,0,0,0,1
98,2003,44100804,1,1,100,0,0,0,1
99,2003,44300704,1,1,100,0,0,0,1
100,2003,44400404,1,1,100,0,0,0,1
101,2003,44200904,1,1,100,0,0,0,1
102,2003,44100604,1,1,100,0,0,0,1
103,2003,44400504,1,1,100,0,0,0,1
104,2003,44200804,1,1,100,0,0,0,1
105,2003,44200104,1,1,100,0,0,0,1
106,2003,44200704,1,1,100,0,0,0,1
107,2003,44400604,1,1,100,0,0,0,1
108,2003,44200504,1,1,100,0,0,0,1
109,2004,44300404,1,1,500,0,0,0,0
110,2004,44200404,1,1,500,0,0,0,0
111,2004,44200604,1,1,500,0,0,0,0
112,2005,44201004,1,1,400,0,0,0,0
113,2005,44301204,1,1,400,0,0,0,0
114,2005,44400104,1,1,400,0,0,0,0
115,2005,44101004,1,1,400,0,0,0,0
116,2005,44400904,1,1,400,0,0,0,0
117,2005,44300604,1,1,400,0,0,0,0
118,2005,44300804,1,1,400,0,0,0,0
119,2005,44100704,1,1,400,0,1,0,0
120,2005,44400804,1,1,400,0,0,0,0
121,2006,91000001,88888,1,1000,0,0,0,0
122,2006,91000001,66666,1,1000,0,0,0,0
123,2007,42000001,1,1,200,0,0,0,0
124,2008,42000001,1,1,500,0,0,0,0
125,2008,42000001,2,1,400,0,0,0,0
126,2008,42000001,3,1,200,0,0,0,0
127,2009,81400602,1,1,300,0,0,0,0
128,2009,81400602,2,1,150,0,0,0,0
129,2010,91000001,128888,1,800,0,0,0,0
130,2010,91000001,158888,1,800,0,0,0,0
131,2011,44300404,1,2,500,0,0,0,0
132,2011,44200404,1,2,500,0,0,0,0
133,2011,44200604,1,2,500,0,0,0,0
134,2012,44201004,1,2,400,0,0,0,0
135,2012,44301204,1,5,400,0,0,0,0
136,2012,44400104,1,5,400,0,0,0,0
137,2012,44101004,1,5,400,0,0,0,0
138,2012,44400904,1,5,400,0,0,0,0
139,2012,44300604,1,5,400,0,0,0,0
140,2012,44300804,1,5,400,0,0,0,0
141,2012,44100704,1,5,400,0,0,0,0
142,2012,44400804,1,5,400,0,0,0,0
