num,subtype,type,max,min,equip1,txt1,strengthen1,equip2,txt2,strengthen2,equip3,txt3,strengthen3,equip4,txt4,strengthen4
88,1,3,54600,45001,60310060,法杖武器7空,5,60520060,布甲头盔7空,5,60530060,布甲战甲7空,5,60540060,布甲战靴7空,5
89,1,3,69600,54601,60310060,法杖武器7空,5,60520060,布甲头盔7空,5,60530060,布甲战甲7空,5,60540070,布甲战靴8空,1
90,1,3,84600,69601,60310060,法杖武器7空,5,60520060,布甲头盔7空,5,60530070,布甲战甲8空,2,60540070,布甲战靴8空,2
91,1,3,99600,84601,60310070,法杖武器8空,5,60520070,布甲头盔8空,5,60530070,布甲战甲8空,5,60540070,布甲战靴8空,5
92,1,3,114600,99601,60310070,法杖武器8空,5,60520070,布甲头盔8空,5,60530070,布甲战甲8空,5,60540080,布甲战靴9空,0
93,1,3,134600,114601,60310070,法杖武器8空,5,60520070,布甲头盔8空,5,60530080,布甲战甲9空,1,60540080,布甲战靴9空,1
94,1,3,154600,134601,60310070,法杖武器8空,5,60520080,布甲头盔9空,2,60530080,布甲战甲9空,2,60540080,布甲战靴9空,2
95,1,3,204600,154601,60310080,法杖武器9空,5,60520080,布甲头盔9空,5,60530080,布甲战甲9空,5,60540080,布甲战靴9空,5
96,1,3,254600,154601,60310080,法杖武器9空,5,60520080,布甲头盔9空,5,60530080,布甲战甲9空,5,60540090,布甲战靴10空,0
97,1,3,304600,254601,60310080,法杖武器9空,5,60520080,布甲头盔9空,5,60530090,布甲战甲10空,0,60540090,布甲战靴10空,0
98,1,3,354600,304601,60310080,法杖武器9空,5,60520090,布甲头盔10空,0,60530090,布甲战甲10空,0,60540090,布甲战靴10空,0
99,1,3,404600,354601,60310090,法杖武器10空,1,60520090,布甲头盔10空,1,60530090,布甲战甲10空,1,60540090,布甲战靴10空,1
100,1,3,454600,404601,60310090,法杖武器10空,2,60520090,布甲头盔10空,2,60530090,布甲战甲10空,2,60540090,布甲战靴10空,2
101,1,3,504600,454601,60310090,法杖武器10空,3,60520090,布甲头盔10空,3,60530090,布甲战甲10空,3,60540090,布甲战靴10空,3
102,1,3,554600,504601,60310090,法杖武器10空,4,60520090,布甲头盔10空,4,60530090,布甲战甲10空,4,60540090,布甲战靴10空,4
103,1,3,604600,554601,60310090,法杖武器10空,5,60520090,布甲头盔10空,5,60530090,布甲战甲10空,5,60540090,布甲战靴10空,5
104,1,3,654600,604601,60310090,法杖武器10空,5,60520090,布甲头盔10空,5,60530090,布甲战甲10空,5,60540100,布甲战靴11空,0
105,1,3,734600,654601,60310090,法杖武器10空,5,60520090,布甲头盔10空,5,60530100,布甲战甲11空,0,60540100,布甲战靴11空,0
106,1,3,814600,734601,60310090,法杖武器10空,0,60520100,布甲头盔11空,0,60530100,布甲战甲11空,0,60540100,布甲战靴11空,0
107,1,3,894600,814601,60310100,法杖武器11空,1,60520100,布甲头盔11空,1,60530100,布甲战甲11空,1,60540100,布甲战靴11空,1
108,1,3,974600,894601,60310100,法杖武器11空,2,60520100,布甲头盔11空,2,60530100,布甲战甲11空,2,60540100,布甲战靴11空,2
109,1,3,1054600,974601,60310100,法杖武器11空,3,60520100,布甲头盔11空,3,60530100,布甲战甲11空,3,60540100,布甲战靴11空,3
110,1,3,1134600,1054601,60310100,法杖武器11空,4,60520100,布甲头盔11空,4,60530100,布甲战甲11空,4,60540100,布甲战靴11空,4
111,1,3,99999999,1134601,60310100,法杖武器11空,5,60520100,布甲头盔11空,5,60530100,布甲战甲11空,5,60540100,布甲战靴11空,5
112,2,1,890,0,60210000,重武器1,0,60420000,板甲头盔1,0,60430000,板甲战甲1,0,60440000,板甲战靴1,0
113,2,1,2370,891,60210010,重武器2,0,60420010,板甲头盔2,0,60430010,板甲战甲2,0,60440010,板甲战靴2,0
114,2,1,4300,2371,60210020,重武器3空,0,60420020,板甲头盔3空,0,60430020,板甲战甲3空,0,60440020,板甲战靴3空,0
115,2,1,5030,4301,60210030,重武器4空,0,60420020,板甲头盔3空,0,60430020,板甲战甲3空,0,60440030,板甲战靴4空,0
116,2,1,10060,5031,60210030,重武器4空,0,60420030,板甲头盔4空,0,60430030,板甲战甲4空,0,60440030,板甲战靴4空,0
117,2,1,13000,10061,60210030,重武器4空,0,60420030,板甲头盔4空,0,60430030,板甲战甲4空,0,60440040,板甲战靴5空,0
118,2,1,15000,13001,60210030,重武器4空,0,60420030,板甲头盔4空,0,60430040,板甲战甲5空,1,60440040,板甲战靴5空,1
119,2,1,18100,15001,60210030,重武器4空,0,60420040,板甲头盔5空,2,60430040,板甲战甲5空,2,60440040,板甲战靴5空,2
120,2,1,20000,18101,60210040,重武器5空,4,60420040,板甲头盔5空,4,60430040,板甲战甲5空,4,60440040,板甲战靴5空,4
121,2,1,25400,20001,60210040,重武器5空,4,60420040,板甲头盔5空,4,60430050,板甲战甲6空,1,60440050,板甲战靴6空,1
122,2,1,30400,25401,60210050,重武器6空,4,60420050,板甲头盔6空,4,60430050,板甲战甲6空,4,60440050,板甲战靴6空,4
123,2,1,35000,30401,60210050,重武器6空,4,60420050,板甲头盔6空,4,60430050,板甲战甲6空,4,60440060,板甲战靴7空,1
124,2,1,45000,35001,60210050,重武器6空,4,60420050,板甲头盔6空,4,60430060,板甲战甲7空,2,60440060,板甲战靴7空,2
125,2,1,54600,45001,60210060,重武器7空,5,60420060,板甲头盔7空,5,60430060,板甲战甲7空,5,60440060,板甲战靴7空,5
126,2,1,69600,54601,60210060,重武器7空,5,60420060,板甲头盔7空,5,60430060,板甲战甲7空,5,60440070,板甲战靴8空,1
127,2,1,84600,69601,60210060,重武器7空,5,60420060,板甲头盔7空,5,60430070,板甲战甲8空,2,60440070,板甲战靴8空,2
128,2,1,99600,84601,60210070,重武器8空,5,60420070,板甲头盔8空,5,60430070,板甲战甲8空,5,60440070,板甲战靴8空,5
129,2,1,114600,99601,60210070,重武器8空,5,60420070,板甲头盔8空,5,60430070,板甲战甲8空,5,60440080,板甲战靴9空,0
130,2,1,134600,114601,60210070,重武器8空,5,60420070,板甲头盔8空,5,60430080,板甲战甲9空,1,60440080,板甲战靴9空,1
131,2,1,154600,134601,60210070,重武器8空,5,60420080,板甲头盔9空,2,60430080,板甲战甲9空,2,60440080,板甲战靴9空,2
132,2,1,204600,154601,60210080,重武器9空,5,60420080,板甲头盔9空,5,60430080,板甲战甲9空,5,60440080,板甲战靴9空,5
133,2,1,254600,154601,60210080,重武器9空,5,60420080,板甲头盔9空,5,60430080,板甲战甲9空,5,60440090,板甲战靴10空,0
134,2,1,304600,254601,60210080,重武器9空,5,60420080,板甲头盔9空,5,60430090,板甲战甲10空,0,60440090,板甲战靴10空,0
135,2,1,354600,304601,60210080,重武器9空,5,60420090,板甲头盔10空,0,60430090,板甲战甲10空,0,60440090,板甲战靴10空,0
136,2,1,404600,354601,60210090,重武器10空,1,60420090,板甲头盔10空,1,60430090,板甲战甲10空,1,60440090,板甲战靴10空,1
137,2,1,454600,404601,60210090,重武器10空,2,60420090,板甲头盔10空,2,60430090,板甲战甲10空,2,60440090,板甲战靴10空,2
138,2,1,504600,454601,60210090,重武器10空,3,60420090,板甲头盔10空,3,60430090,板甲战甲10空,3,60440090,板甲战靴10空,3
139,2,1,554600,504601,60210090,重武器10空,4,60420090,板甲头盔10空,4,60430090,板甲战甲10空,4,60440090,板甲战靴10空,4
140,2,1,604600,554601,60210090,重武器10空,5,60420090,板甲头盔10空,5,60430090,板甲战甲10空,5,60440090,板甲战靴10空,5
141,2,1,654600,604601,60210090,重武器10空,5,60420090,板甲头盔10空,5,60430090,板甲战甲10空,5,60440100,板甲战靴11空,0
142,2,1,734600,654601,60210090,重武器10空,5,60420090,板甲头盔10空,5,60430100,板甲战甲11空,0,60440100,板甲战靴11空,0
143,2,1,814600,734601,60210090,重武器10空,0,60420100,板甲头盔11空,0,60430100,板甲战甲11空,0,60440100,板甲战靴11空,0
144,2,1,894600,814601,60210100,重武器11空,1,60420100,板甲头盔11空,1,60430100,板甲战甲11空,1,60440100,板甲战靴11空,1
145,2,1,974600,894601,60210100,重武器11空,2,60420100,板甲头盔11空,2,60430100,板甲战甲11空,2,60440100,板甲战靴11空,2
146,2,1,1054600,974601,60210100,重武器11空,3,60420100,板甲头盔11空,3,60430100,板甲战甲11空,3,60440100,板甲战靴11空,3
147,2,1,1134600,1054601,60210100,重武器11空,4,60420100,板甲头盔11空,4,60430100,板甲战甲11空,4,60440100,板甲战靴11空,4
148,2,1,99999999,1134601,60210100,重武器11空,5,60420100,板甲头盔11空,5,60430100,板甲战甲11空,5,60440100,板甲战靴11空,5
149,2,2,890,0,60110000,轻武器1,0,60620000,皮甲头盔1,0,60630000,皮甲战甲1,0,60640000,皮甲战靴1,0
150,2,2,2370,891,60110010,轻武器2,0,60620010,皮甲头盔2,0,60630010,皮甲战甲2,0,60640010,皮甲战靴2,0
151,2,2,4300,2371,60110020,轻武器3空,0,60620020,皮甲头盔3空,0,60630020,皮甲战甲3空,0,60640020,皮甲战靴3空,0
152,2,2,5030,4301,60110030,轻武器4空,0,60620020,皮甲头盔3空,0,60630020,皮甲战甲3空,0,60640030,皮甲战靴4空,0
153,2,2,10060,5031,60110030,轻武器4空,0,60620030,皮甲头盔4空,0,60630030,皮甲战甲4空,0,60640030,皮甲战靴4空,0
154,2,2,13000,10061,60110030,轻武器4空,0,60620030,皮甲头盔4空,0,60630030,皮甲战甲4空,0,60640040,皮甲战靴5空,0
155,2,2,15000,13001,60110030,轻武器4空,0,60620030,皮甲头盔4空,0,60630040,皮甲战甲5空,1,60640040,皮甲战靴5空,1
156,2,2,18100,15001,60110030,轻武器4空,0,60620040,皮甲头盔5空,2,60630040,皮甲战甲5空,2,60640040,皮甲战靴5空,2
157,2,2,20000,18101,60110040,轻武器5空,4,60620040,皮甲头盔5空,4,60630040,皮甲战甲5空,4,60640040,皮甲战靴5空,4
158,2,2,25400,20001,60110040,轻武器5空,4,60620040,皮甲头盔5空,4,60630050,皮甲战甲6空,1,60640050,皮甲战靴6空,1
159,2,2,30400,25401,60110050,轻武器6空,4,60620050,皮甲头盔6空,4,60630050,皮甲战甲6空,4,60640050,皮甲战靴6空,4
160,2,2,35000,30401,60110050,轻武器6空,4,60620050,皮甲头盔6空,4,60630050,皮甲战甲6空,4,60640060,皮甲战靴7空,1
161,2,2,45000,35001,60110050,轻武器6空,4,60620050,皮甲头盔6空,4,60630060,皮甲战甲7空,2,60640060,皮甲战靴7空,2
162,2,2,54600,45001,60110060,轻武器7空,5,60620060,皮甲头盔7空,5,60630060,皮甲战甲7空,5,60640060,皮甲战靴7空,5
163,2,2,69600,54601,60110060,轻武器7空,5,60620060,皮甲头盔7空,5,60630060,皮甲战甲7空,5,60640070,皮甲战靴8空,1
164,2,2,84600,69601,60110060,轻武器7空,5,60620060,皮甲头盔7空,5,60630070,皮甲战甲8空,2,60640070,皮甲战靴8空,2
165,2,2,99600,84601,60110070,轻武器8空,5,60620070,皮甲头盔8空,5,60630070,皮甲战甲8空,5,60640070,皮甲战靴8空,5
166,2,2,114600,99601,60110070,轻武器8空,5,60620070,皮甲头盔8空,5,60630070,皮甲战甲8空,5,60640080,皮甲战靴9空,0
167,2,2,134600,114601,60110070,轻武器8空,5,60620070,皮甲头盔8空,5,60630080,皮甲战甲9空,1,60640080,皮甲战靴9空,1
168,2,2,154600,134601,60110070,轻武器8空,5,60620080,皮甲头盔9空,2,60630080,皮甲战甲9空,2,60640080,皮甲战靴9空,2
169,2,2,204600,154601,60110080,轻武器9空,5,60620080,皮甲头盔9空,5,60630080,皮甲战甲9空,5,60640080,皮甲战靴9空,5
170,2,2,254600,154601,60110080,轻武器9空,5,60620080,皮甲头盔9空,5,60630080,皮甲战甲9空,5,60640090,皮甲战靴10空,0
171,2,2,304600,254601,60110080,轻武器9空,5,60620080,皮甲头盔9空,5,60630090,皮甲战甲10空,0,60640090,皮甲战靴10空,0
172,2,2,354600,304601,60110080,轻武器9空,5,60620090,皮甲头盔10空,0,60630090,皮甲战甲10空,0,60640090,皮甲战靴10空,0
173,2,2,404600,354601,60110090,轻武器10空,1,60620090,皮甲头盔10空,1,60630090,皮甲战甲10空,1,60640090,皮甲战靴10空,1
174,2,2,454600,404601,60110090,轻武器10空,2,60620090,皮甲头盔10空,2,60630090,皮甲战甲10空,2,60640090,皮甲战靴10空,2
175,2,2,504600,454601,60110090,轻武器10空,3,60620090,皮甲头盔10空,3,60630090,皮甲战甲10空,3,60640090,皮甲战靴10空,3
176,2,2,554600,504601,60110090,轻武器10空,4,60620090,皮甲头盔10空,4,60630090,皮甲战甲10空,4,60640090,皮甲战靴10空,4
177,2,2,604600,554601,60110090,轻武器10空,5,60620090,皮甲头盔10空,5,60630090,皮甲战甲10空,5,60640090,皮甲战靴10空,5
178,2,2,654600,604601,60110090,轻武器10空,5,60620090,皮甲头盔10空,5,60630090,皮甲战甲10空,5,60640100,皮甲战靴11空,0
179,2,2,734600,654601,60110090,轻武器10空,5,60620090,皮甲头盔10空,5,60630100,皮甲战甲11空,0,60640100,皮甲战靴11空,0
180,2,2,814600,734601,60110090,轻武器10空,0,60620100,皮甲头盔11空,0,60630100,皮甲战甲11空,0,60640100,皮甲战靴11空,0
181,2,2,894600,814601,60110100,轻武器11空,1,60620100,皮甲头盔11空,1,60630100,皮甲战甲11空,1,60640100,皮甲战靴11空,1
182,2,2,974600,894601,60110100,轻武器11空,2,60620100,皮甲头盔11空,2,60630100,皮甲战甲11空,2,60640100,皮甲战靴11空,2
183,2,2,1054600,974601,60110100,轻武器11空,3,60620100,皮甲头盔11空,3,60630100,皮甲战甲11空,3,60640100,皮甲战靴11空,3
184,2,2,1134600,1054601,60110100,轻武器11空,4,60620100,皮甲头盔11空,4,60630100,皮甲战甲11空,4,60640100,皮甲战靴11空,4
185,2,2,99999999,1134601,60110100,轻武器11空,5,60620100,皮甲头盔11空,5,60630100,皮甲战甲11空,5,60640100,皮甲战靴11空,5
186,2,3,890,0,60310000,法杖武器1,0,60520000,布甲头盔1,0,60530000,布甲战甲1,0,60540000,布甲战靴1,0
187,2,3,2370,891,60310010,法杖武器2,0,60520010,布甲头盔2,0,60530010,布甲战甲2,0,60540010,布甲战靴2,0
188,2,3,4300,2371,60310020,法杖武器3空,0,60520020,布甲头盔3空,0,60530020,布甲战甲3空,0,60540020,布甲战靴3空,0
189,2,3,5030,4301,60310030,法杖武器4空,0,60520020,布甲头盔3空,0,60530020,布甲战甲3空,0,60540030,布甲战靴4空,0
190,2,3,10060,5031,60310030,法杖武器4空,0,60520030,布甲头盔4空,0,60530030,布甲战甲4空,0,60540030,布甲战靴4空,0
191,2,3,13000,10061,60310030,法杖武器4空,0,60520030,布甲头盔4空,0,60530030,布甲战甲4空,0,60540040,布甲战靴5空,0
192,2,3,15000,13001,60310030,法杖武器4空,0,60520030,布甲头盔4空,0,60530040,布甲战甲5空,1,60540040,布甲战靴5空,1
193,2,3,18100,15001,60310030,法杖武器4空,0,60520040,布甲头盔5空,2,60530040,布甲战甲5空,2,60540040,布甲战靴5空,2
194,2,3,20000,18101,60310040,法杖武器5空,4,60520040,布甲头盔5空,4,60530040,布甲战甲5空,4,60540040,布甲战靴5空,4
195,2,3,25400,20001,60310040,法杖武器5空,4,60520040,布甲头盔5空,4,60530050,布甲战甲6空,1,60540050,布甲战靴6空,1
