group,total_level,item_id,value,decompose_itembaggroup
1,81,23000012,6,100119
1,82,23000012,6,100119
1,83,23000012,6,100119
1,84,23000012,6,100119
1,85,23000012,6,100119
1,86,23000012,6,100119
1,87,23000012,6,100119
1,88,23000012,6,100119
1,89,23000012,6,100119
1,90,23000012,6,100119
2,1,23000012,10,100120
2,2,23000012,10,100120
2,3,23000012,10,100120
2,4,23000012,11,100120
2,5,23000012,11,100120
2,6,23000012,11,100120
2,7,23000012,12,100120
2,8,23000012,12,100120
2,9,23000012,12,100120
2,10,23000012,13,100120
2,11,23000012,13,100120
2,12,23000012,13,100120
2,13,23000012,14,100120
2,14,23000012,14,100120
2,15,23000012,14,100120
2,16,23000012,15,100120
2,17,23000012,15,100120
2,18,23000012,15,100120
2,19,23000012,16,100120
2,20,23000012,16,100120
2,21,23000012,16,100120
2,22,23000012,17,100120
2,23,23000012,17,100120
2,24,23000012,17,100120
2,25,23000012,18,100120
2,26,23000012,18,100120
2,27,23000012,18,100120
2,28,23000012,19,100120
2,29,23000012,19,100120
2,30,23000012,19,100120
2,31,23000012,19,100120
2,32,23000012,19,100120
2,33,23000012,19,100120
2,34,23000012,19,100120
2,35,23000012,19,100120
2,36,23000012,19,100120
2,37,23000012,19,100120
2,38,23000012,19,100120
2,39,23000012,19,100120
2,40,23000012,19,100120
2,41,23000012,19,100120
2,42,23000012,19,100120
2,43,23000012,19,100120
2,44,23000012,19,100120
2,45,23000012,19,100120
2,46,23000012,19,100120
2,47,23000012,19,100120
2,48,23000012,19,100120
2,49,23000012,19,100120
2,50,23000012,19,100120
2,51,23000012,19,100120
2,52,23000012,19,100120
2,53,23000012,19,100120
2,54,23000012,19,100120
2,55,23000012,19,100120
2,56,23000012,19,100120
2,57,23000012,19,100120
2,58,23000012,19,100120
2,59,23000012,19,100120
2,60,23000012,19,100120
2,61,23000012,19,100120
2,62,23000012,19,100120
2,63,23000012,19,100120
2,64,23000012,19,100120
2,65,23000012,19,100120
2,66,23000012,19,100120
2,67,23000012,19,100120
2,68,23000012,19,100120
2,69,23000012,19,100120
2,70,23000012,19,100120
2,71,23000012,19,100120
2,72,23000012,19,100120
2,73,23000012,19,100120
2,74,23000012,19,100120
2,75,23000012,19,100120
2,76,23000012,19,100120
2,77,23000012,19,100120
2,78,23000012,19,100120
2,79,23000012,19,100120
2,80,23000012,19,100120
2,81,23000012,19,100120
2,82,23000012,19,100120
2,83,23000012,19,100120
2,84,23000012,19,100120
2,85,23000012,19,100120
2,86,23000012,19,100120
2,87,23000012,19,100120
2,88,23000012,19,100120
2,89,23000012,19,100120
2,90,23000012,19,100120
3,1,23000012,10,100120
3,2,23000012,10,100120
3,3,23000012,10,100120
3,4,23000012,11,100120
3,5,23000012,11,100120
3,6,23000012,11,100120
3,7,23000012,12,100120
3,8,23000012,12,100120
3,9,23000012,12,100120
3,10,23000012,13,100120
3,11,23000012,13,100120
3,12,23000012,13,100120
3,13,23000012,14,100120
3,14,23000012,14,100120
3,15,23000012,14,100120
3,16,23000012,15,100120
3,17,23000012,15,100120
3,18,23000012,15,100120
3,19,23000012,16,100120
3,20,23000012,16,100120
3,21,23000012,16,100120
3,22,23000012,17,100120
3,23,23000012,17,100120
3,24,23000012,17,100120
3,25,23000012,18,100120
3,26,23000012,18,100120
3,27,23000012,18,100120
3,28,23000012,19,100120
3,29,23000012,19,100120
3,30,23000012,19,100120
3,31,23000012,19,100120
3,32,23000012,19,100120
3,33,23000012,19,100120
3,34,23000012,19,100120
3,35,23000012,19,100120
3,36,23000012,19,100120
3,37,23000012,19,100120
3,38,23000012,19,100120
3,39,23000012,19,100120
3,40,23000012,19,100120
3,41,23000012,19,100120
3,42,23000012,19,100120
3,43,23000012,19,100120
3,44,23000012,19,100120
3,45,23000012,19,100120
3,46,23000012,19,100120
3,47,23000012,19,100120
3,48,23000012,19,100120
3,49,23000012,19,100120
3,50,23000012,19,100120
3,51,23000012,19,100120
3,52,23000012,19,100120
3,53,23000012,19,100120
3,54,23000012,19,100120
3,55,23000012,19,100120
3,56,23000012,19,100120
3,57,23000012,19,100120
3,58,23000012,19,100120
3,59,23000012,19,100120
3,60,23000012,19,100120
3,61,23000012,19,100120
3,62,23000012,19,100120
3,63,23000012,19,100120
3,64,23000012,19,100120
3,65,23000012,19,100120
3,66,23000012,19,100120
3,67,23000012,19,100120
3,68,23000012,19,100120
3,69,23000012,19,100120
3,70,23000012,19,100120
3,71,23000012,19,100120
3,72,23000012,19,100120
3,73,23000012,19,100120
3,74,23000012,19,100120
3,75,23000012,19,100120
3,76,23000012,19,100120
3,77,23000012,19,100120
3,78,23000012,19,100120
3,79,23000012,19,100120
3,80,23000012,19,100120
3,81,23000012,19,100120
3,82,23000012,19,100120
3,83,23000012,19,100120
3,84,23000012,19,100120
3,85,23000012,19,100120
3,86,23000012,19,100120
3,87,23000012,19,100120
3,88,23000012,19,100120
3,89,23000012,19,100120
3,90,23000012,19,100120
