orz,id,hero_star,star_quality,star_num,qualification1_id1,qualification1_num1,qualification1_id2,qualification1_num2,qualification2_id1,qualification2_num1,qualification2_id2,qualification2_num2,qualification3_id1,qualification3_num1,qualification3_id2,qualification3_num2,qualification4_id1,qualification4_num1,qualification4_id2,qualification4_num2,qualification5_id1,qualification5_num1,qualification5_id2,qualification5_num2,qualification6_id1,qualification6_num1,qualification6_id2,qualification6_num2,qualification7_id1,qualification7_num1,qualification7_id2,qualification7_num2,qualification8_id1,qualification8_num1,qualification8_id2,qualification8_num2,qualification9_id1,qualification9_num1,qualification9_id2,qualification9_num2,qualification10_id1,qualification10_num1,qualification10_id2,qualification10_num2,starlv_id1,starid_num1,starlv_id2,starid_num2,starlv_id3,starid_num3,starlv_id4,starid_num4,qualification1_type1,qualification1_value1,qualification1_type2,qualification1_value2,qualification1_type3,qualification1_value3,qualification2_type1,qualification2_value1,qualification2_type2,qualification2_value2,qualification2_type3,qualification2_value3,qualification3_type1,qualification3_value1,qualification3_type2,qualification3_value2,qualification3_type3,qualification3_value3,qualification4_type1,qualification4_value1,qualification4_type2,qualification4_value2,qualification4_type3,qualification4_value3,qualification5_type1,qualification5_value1,qualification5_type2,qualification5_value2,qualification5_type3,qualification5_value3,qualification6_type1,qualification6_value1,qualification6_type2,qualification6_value2,qualification6_type3,qualification6_value3,qualification7_type1,qualification7_value1,qualification7_type2,qualification7_value2,qualification7_type3,qualification7_value3,qualification8_type1,qualification8_value1,qualification8_type2,qualification8_value2,qualification8_type3,qualification8_value3,qualification9_type1,qualification9_value1,qualification9_type2,qualification9_value2,qualification9_type3,qualification9_value3,qualification10_type1,qualification10_value1,qualification10_type2,qualification10_value2,qualification10_type3,qualification10_value3,starlv_type1,starlv_value1,starlv_type2,starlv_value2,starlv_type3,starlv_value3,skillid1,skillid2,skillid3,skillid4,skillid5,skillid6,skillid7,skillid0,skillopen,qualification1,qualification2,qualification3,qualification4,qualification5,qualification6,qualification7,qualification8,qualification9,qualification10,starlv,qualification_icon1,qualification_icon2,qualification_icon3,qualification_icon4,qualification_icon5,qualification_icon6,qualification_icon7,qualification_icon8,qualification_icon9,qualification_icon10,starlv_icon
11,1001,11,5,2,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,30101000,0,12100101,5,0,0,7,3610,0,0,99,1048064,30,1480,0,0,99,1048064,10,2940,0,0,99,1048064,7,3610,0,0,99,1048064,30,1480,0,0,99,1048064,10,2940,0,0,99,1048064,10,2940,0,0,99,1048064,10,2940,0,0,99,1048064,10,2940,0,0,99,1048064,0,0,0,0,0,0,6,297230,8,9920,99,4192256,100100,100101,100102,100103,0,0,0,1001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_yxwd_zizhi_07
12,1001,12,5,3,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,30101000,0,12100101,5,0,0,7,4560,0,0,99,1321472,30,1870,0,0,99,1321472,10,3710,0,0,99,1321472,7,4560,0,0,99,1321472,30,1870,0,0,99,1321472,10,3710,0,0,99,1321472,10,3710,0,0,99,1321472,10,3710,0,0,99,1321472,10,3710,0,0,99,1321472,0,0,0,0,0,0,6,374760,8,12500,99,5285888,100100,100101,100102,100103,0,0,0,1001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_yxwd_zizhi_07
13,1001,13,6,1,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,30101000,0,12100101,6,0,0,7,5580,0,0,99,1617664,30,2290,0,0,99,1617664,10,4540,0,0,99,1617664,7,5580,0,0,99,1617664,30,2290,0,0,99,1617664,10,4540,0,0,99,1617664,10,4540,0,0,99,1617664,10,4540,0,0,99,1617664,10,4540,0,0,99,1617664,0,0,0,0,0,0,6,458760,8,15310,99,6470656,100100,100101,100102,100103,0,0,0,1001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_yxwd_zizhi_07
14,1001,14,6,2,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,30101000,0,12100101,6,0,0,7,6680,0,0,99,1936640,30,2740,0,0,99,1936640,10,5440,0,0,99,1936640,7,6680,0,0,99,1936640,30,2740,0,0,99,1936640,10,5440,0,0,99,1936640,10,5440,0,0,99,1936640,10,5440,0,0,99,1936640,10,5440,0,0,99,1936640,0,0,0,0,0,0,6,549220,8,18330,99,7746560,100100,100101,100102,100103,0,0,0,1001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_yxwd_zizhi_07
15,1001,15,6,3,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,12100101,6,91000001,0,30101000,0,12100101,6,0,0,7,7860,0,0,99,2278400,30,3220,0,0,99,2278400,10,6400,0,0,99,2278400,7,7860,0,0,99,2278400,30,3220,0,0,99,2278400,10,6400,0,0,99,2278400,10,6400,0,0,99,2278400,10,6400,0,0,99,2278400,10,6400,0,0,99,2278400,0,0,0,0,0,0,6,646140,8,21560,99,9113600,100100,100101,100102,100103,0,0,0,1001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_yxwd_zizhi_07
16,1002,1,2,1,91000001,0,12100201,0,91000001,0,12100201,0,91000001,0,12100201,0,91000001,0,12100201,0,91000001,0,12100201,0,91000001,0,12100201,0,91000001,0,12100201,0,91000001,0,12100201,0,91000001,0,12100201,0,91000001,0,12100201,0,91000001,0,30101000,0,12100201,0,0,0,29,0,0,0,99,0,10,0,0,0,99,0,29,0,0,0,99,0,10,0,0,0,99,0,29,0,0,0,99,0,10,0,0,0,99,0,10,0,0,0,99,0,10,0,0,0,99,0,10,0,0,0,99,0,0,0,0,0,0,0,6,0,30,0,99,0,100200,0,0,0,0,0,0,2001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,0,0,0,0,0,0,0,0,0,0,icon_hero_yxwd_zizhi_07
17,1002,2,2,2,91000001,0,12100201,1,91000001,0,12100201,1,91000001,0,12100201,1,91000001,0,12100201,1,91000001,0,12100201,1,91000001,0,12100201,1,91000001,0,12100201,1,91000001,0,12100201,1,91000001,0,12100201,1,91000001,0,12100201,1,91000001,0,30101000,0,12100201,1,0,0,29,40,0,0,99,9113,10,40,0,0,99,9113,29,40,0,0,99,9113,10,40,0,0,99,9113,29,40,0,0,99,9113,10,40,0,0,99,9113,10,40,0,0,99,9113,10,40,0,0,99,9113,10,40,0,0,99,9113,0,0,0,0,0,0,6,2330,30,90,99,36454,100200,0,0,0,0,0,0,2001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_yxwd_zizhi_07
18,1002,3,2,3,91000001,0,12100201,1,91000001,0,12100201,1,91000001,0,12100201,1,91000001,0,12100201,1,91000001,0,12100201,1,91000001,0,12100201,1,91000001,0,12100201,1,91000001,0,12100201,1,91000001,0,12100201,1,91000001,0,12100201,1,91000001,0,30101000,0,12100201,1,0,0,29,110,0,0,99,25062,10,100,0,0,99,25062,29,110,0,0,99,25062,10,100,0,0,99,25062,29,110,0,0,99,25062,10,100,0,0,99,25062,10,100,0,0,99,25062,10,100,0,0,99,25062,10,100,0,0,99,25062,0,0,0,0,0,0,6,6410,30,240,99,100249,100200,0,0,0,0,0,0,2001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_yxwd_zizhi_07
19,1002,4,3,1,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,30101000,0,12100201,2,0,0,29,230,0,0,99,51264,10,210,0,0,99,51264,29,230,0,0,99,51264,10,210,0,0,99,51264,29,230,0,0,99,51264,10,210,0,0,99,51264,10,210,0,0,99,51264,10,210,0,0,99,51264,10,210,0,0,99,51264,0,0,0,0,0,0,6,13120,30,490,99,205056,100200,100201,0,0,0,0,0,2001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_yxwd_zizhi_07
20,1002,5,3,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,30101000,0,12100201,2,0,0,29,410,0,0,99,91136,10,380,0,0,99,91136,29,410,0,0,99,91136,10,380,0,0,99,91136,29,410,0,0,99,91136,10,380,0,0,99,91136,10,380,0,0,99,91136,10,380,0,0,99,91136,10,380,0,0,99,91136,0,0,0,0,0,0,6,23330,30,870,99,364544,100200,100201,0,0,0,0,0,2001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_yxwd_zizhi_07
21,1002,6,3,3,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,12100201,2,91000001,0,30101000,0,12100201,2,0,0,29,650,0,0,99,145817,10,600,0,0,99,145817,29,650,0,0,99,145817,10,600,0,0,99,145817,29,650,0,0,99,145817,10,600,0,0,99,145817,10,600,0,0,99,145817,10,600,0,0,99,145817,10,600,0,0,99,145817,0,0,0,0,0,0,6,37320,30,1390,99,583270,100200,100201,0,0,0,0,0,2001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_yxwd_zizhi_07
22,1002,7,4,1,91000001,0,12100201,4,91000001,0,12100201,4,91000001,0,12100201,4,91000001,0,12100201,4,91000001,0,12100201,4,91000001,0,12100201,4,91000001,0,12100201,4,91000001,0,12100201,4,91000001,0,12100201,4,91000001,0,12100201,4,91000001,0,30101000,0,12100201,4,0,0,29,1020,0,0,99,227840,10,940,0,0,99,227840,29,1020,0,0,99,227840,10,940,0,0,99,227840,29,1020,0,0,99,227840,10,940,0,0,99,227840,10,940,0,0,99,227840,10,940,0,0,99,227840,10,940,0,0,99,227840,0,0,0,0,0,0,6,58320,30,2180,99,911360,100200,100201,100202,0,0,0,0,2001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_yxwd_zizhi_07
