id,type,type_txt,system,systemname,systempicture,Explain_txt1,Explain_txt2,twotag,twotag_name,twotag_picture,twotag_txt,openlevelid,aindex
11,2,获取资源,1,免费钻石,elogo91000002,用于召唤、商店购买物品等,0,4,周常任务,elogo91000002,白嫖钻石的途径之一,2,"ui_mgr.openUI(""hero_missionUI""，enOpenUIType.EUIT_ListType，{_index = hero_missionUI.Flag.Weekly})"
12,2,获取资源,1,免费钻石,elogo91000002,用于召唤、商店购买物品等,0,5,主线任务,elogo91000002,完成任务，即可获得大量奖励,3,"ui_mgr.openUI(""hero_missionUI""，enOpenUIType.EUIT_ListType，{_index = hero_missionUI.Flag.Main})"
13,2,获取资源,1,免费钻石,elogo91000002,用于召唤、商店购买物品等,0,6,公会狩猎,elogo91000002,每日参与公会狩猎获的钻石奖励,42,mod_union.judgeUnionidAndGetuserunioninfo()
14,2,获取资源,1,免费钻石,elogo91000002,用于召唤、商店购买物品等,0,7,图鉴,elogo91000002,获得英雄，解锁图鉴即可获得钻石奖励,7,"ui_mgr.openUI(""heroListUI""，enOpenUIType.EUIT_ListType， { _index = 2 } )"
15,2,获取资源,2,获得金币,elogo91000001,用于升级英雄、强化装备等,0,1,推关挂机,elogo91000001,通关越多，奖励越多,16,mod_newChapter.goToFightChapter()
16,2,获取资源,2,获得金币,elogo91000001,用于升级英雄、强化装备等,0,2,试炼之塔,elogo91000001,参与试炼之塔，获大量奖励,29,"ui_mgr.openUI(""KingTowerMainUI""，enOpenUIType.EUIT_ListType，{towerType=mod_kingTower.towerType.kingTower})"
17,2,获取资源,2,获得金币,elogo91000001,用于升级英雄、强化装备等,0,3,快速挂机,elogo91000001,点击就送金币啦,60,mod_newChapter.FastGetAwardFunc() 
18,2,获取资源,2,获得金币,elogo91000001,用于升级英雄、强化装备等,0,4,地牢,elogo91000001,参与获得大量金币,17, mod_maze.openMazeUI()
19,2,获取资源,2,获得金币,elogo91000001,用于升级英雄、强化装备等,0,5,赏金任务,elogo91000001,您参与，我们血亏,34,"ui_mgr.openUI(""rewardcolumnUI"")"
20,2,获取资源,2,获得金币,elogo91000001,用于升级英雄、强化装备等,0,6,铸时星域,elogo91000001,只要您敢打，我们就敢送,66,mod_instance.openView()
21,2,获取资源,3,获得魔粉,elogo30020001,用于升级英雄,0,1,试炼之塔,elogo30020001,魔粉的主要来源之一,29,"ui_mgr.openUI(""KingTowerMainUI""，enOpenUIType.EUIT_ListType，{towerType=mod_kingTower.towerType.kingTower})"
22,2,获取资源,3,获得魔粉,elogo30020001,用于升级英雄,0,2,商店,elogo30020001,可直接购买魔粉,35,"ui_mgr.openUI(""shop_mainUI""，enOpenUIType.EUIT_ListType，mod_shop2.enShopType.enST_ZaHuo)"
23,2,获取资源,3,获得魔粉,elogo30020001,用于升级英雄,0,3,推关挂机,elogo30020001,魔粉的主要来源之一,16,mod_newChapter.goToFightChapter()
24,2,获取资源,4,获得经验,elogo91000041,用于升级英雄,0,1,快速挂机,elogo91000041,点击就送经验啦,16,mod_newChapter.goToFightChapter()
25,2,获取资源,4,获得经验,elogo91000041,用于升级英雄,0,2,推关挂机,elogo91000041,经验的主要来源之一,16,mod_newChapter.goToFightChapter()
26,2,获取资源,5,英雄魂石,elogo13000002,合成获得英雄,0,1,试炼之塔,elogo13000002,参与试炼之塔，获大量奖励,29,"ui_mgr.openUI(""KingTowerMainUI""，enOpenUIType.EUIT_ListType，{towerType=mod_kingTower.towerType.kingTower})"
27,2,获取资源,5,英雄魂石,elogo13000002,合成获得英雄,0,2,赏金任务,elogo13000002,最高可获得精英英雄魂石,34,"ui_mgr.openUI(""rewardcolumnUI"")"
28,2,获取资源,5,英雄魂石,elogo13000002,合成获得英雄,0,3,地牢,elogo13000002,参与地牢玩法获的英雄魂石,17, mod_maze.openMazeUI()
29,2,获取资源,5,英雄魂石,elogo13000002,合成获得英雄,0,4,商铺,elogo13000002,可购买英雄魂石,35,"ui_mgr.openUI(""shop_mainUI""，enOpenUIType.EUIT_ListType，mod_shop2.enShopType.enST_ZaHuo)"
30,2,获取资源,6,公会活跃,elogo91000025,用于提高公会等级和开启公会狩猎,0,1,日常任务,elogo91000025,完成日常任务，获得大量的公会活跃,1,"ui_mgr.openUI(""hero_missionUI""，enOpenUIType.EUIT_ListType，{_index = hero_missionUI.Flag.Daily})"
31,3,常见问题,1,如何给英雄升阶？,btn_hecheng_yxwd_02,[4]升阶的好处：[0]\n      升阶能大幅提升英雄的属性，同时升阶也是激活英雄专属技能的唯一途径。\n [4]如何升阶：[0]\n      点击主城界面中的培养建筑，选择你想升阶的英雄，根据提示放入其他指定英\n   雄就可以升阶啦。\n [4]友情提示：[0]\n      因为一个突然的想法，导致不是所有英雄都能升到最高品阶呢，培养英雄的时\n   候要注意哦。,0,0,0,0,0,0,0
32,3,常见问题,2,如何快速提升英雄等级？,btn_hecheng_yxwd_02,[4]英雄经验的获得：[0]\n      关卡战斗、关卡挂机和快速挂机是获得英雄经验的途径之一，通关关卡越多，\n   挂机获得的英雄经验越多。\n [4]快速挂机相关：[0]\n      快速挂机可以[4]直接获得120分钟的挂机收益[0]，是获得英雄经验的捷径哦。\n [4]特别提示：[0]\n      贵族等级越高，每次挂机获得的收益也就越高哦、同时快速挂机的次数也会大\n   幅提升，最高到达12次哦，想要快速升级的领主大人千万不能错过哦。,0,0,0,0,0,0,0
33,3,常见问题,3,如何使用钻石性价比最高？,btn_hecheng_yxwd_02,[4]快速挂机：[0]\n      每次快速挂机都能直接获得120分钟的挂机收益，建议每日都买满哦。\n [4]赏金任务：[0]\n      若遇不到想要的赏金任务时，那就放心是用钻石去刷新吧，更好的奖励等着你\n   呢！！！\n [4]招募：[0]\n      当你缺少英雄的时候，那就努力存钻石来抽卡吧，神话英雄等着你。\n [4]商店：[0]\n      商店中每日打折的挂机资源道具，可以全部买下哦，资源还是挺有用的呢。,0,0,0,0,0,0,0
34,3,常见问题,4,如何合理使用阵型？,btn_hecheng_yxwd_02,[4]根据我方英雄职业：[0]\n      可根据实际上涨的英雄职业决定。例如上阵了2个近战英雄时，傻子都知道怎\n   么摆，下一个。再例如上阵了1个近战英雄，可以将你觉得送死的英雄摆在另一\n   个前排的位置或者将有重生技能的英雄摆在前面（黎明圣炎），后排补充输出和\n   控制或者治疗的英雄。\n [4]根据对方的阵容：[0]\n      还可根据对手上阵的英雄来决定。对于某些高爆发的英雄，可以通过开场控制\n   来规避此类的爆发输出。\n [4]更换阵型：[0]\n      若遇到打不过的战斗，可以试试更换位置再战可能会有奇效哦,0,0,0,0,0,0,0
35,3,常见问题,5,如何获得装备？,btn_hecheng_yxwd_02,[4]装备分类：[0]\n      普通装备、专属装备、神器装备\n [4]获得普通装备：[0]\n      1、通过商店购买\n      2、通过关卡挂机获得\n      3、通过公会狩猎获得\n      4、地牢中掉落或者地牢商人购买\n [4]获得专属装备：[0]\n      当英雄升阶至传说品质是可开启专属装备槽位。\n [4]获得神器装备：[0]\n      神器装备只有在领主通关铸时星域后获得，且每件神器唯一，不会重复获得。,0,0,0,0,0,0,0
