id,mode_type,type,open_time,over_time,subtype,index,tasktypes,n1,n2,n3,n4,group,limit_time,describe,trigger_num
103002,1,1,0,0,3,2,84,60,1,0,0,104,7200,恭喜通过怒涛神殿60层，我们为您准备了超值礼包，帮助您快速通关~,0
103003,1,1,0,0,3,3,84,90,1,0,0,105,7200,恭喜通过怒涛神殿90层，我们为您准备了超值礼包，帮助您快速通关~,0
103004,1,1,0,0,3,4,84,120,1,0,0,106,7200,恭喜通过怒涛神殿120层，我们为您准备了超值礼包，帮助您快速通关~,0
103005,1,1,0,0,3,5,84,150,1,0,0,107,7200,恭喜通过怒涛神殿150层，我们为您准备了超值礼包，帮助您快速通关~,0
103006,1,1,0,0,3,6,84,180,1,0,0,108,7200,恭喜通过怒涛神殿180层，我们为您准备了超值礼包，帮助您快速通关~,0
103007,1,1,0,0,3,7,84,210,1,0,0,109,7200,恭喜通过怒涛神殿210层，我们为您准备了超值礼包，帮助您快速通关~,0
103008,1,1,0,0,3,8,84,240,1,0,0,110,7200,恭喜通过怒涛神殿240层，我们为您准备了超值礼包，帮助您快速通关~,0
103009,1,1,0,0,3,9,84,270,1,0,0,111,7200,恭喜通过怒涛神殿270层，我们为您准备了超值礼包，帮助您快速通关~,0
103010,1,1,0,0,3,10,84,300,1,0,0,112,7200,恭喜通过怒涛神殿300层，我们为您准备了超值礼包，帮助您快速通关~,0
104001,1,1,0,0,4,1,84,30,2,0,0,113,7200,恭喜通过圣炎巢穴30层，我们为您准备了超值礼包，帮助您快速通关~,0
104002,1,1,0,0,4,2,84,60,2,0,0,114,7200,恭喜通过圣炎巢穴60层，我们为您准备了超值礼包，帮助您快速通关~,0
104003,1,1,0,0,4,3,84,90,2,0,0,115,7200,恭喜通过圣炎巢穴90层，我们为您准备了超值礼包，帮助您快速通关~,0
104004,1,1,0,0,4,4,84,120,2,0,0,116,7200,恭喜通过圣炎巢穴120层，我们为您准备了超值礼包，帮助您快速通关~,0
104005,1,1,0,0,4,5,84,150,2,0,0,117,7200,恭喜通过圣炎巢穴150层，我们为您准备了超值礼包，帮助您快速通关~,0
104006,1,1,0,0,4,6,84,180,2,0,0,118,7200,恭喜通过圣炎巢穴180层，我们为您准备了超值礼包，帮助您快速通关~,0
104007,1,1,0,0,4,7,84,210,2,0,0,119,7200,恭喜通过圣炎巢穴210层，我们为您准备了超值礼包，帮助您快速通关~,0
104008,1,1,0,0,4,8,84,240,2,0,0,120,7200,恭喜通过圣炎巢穴240层，我们为您准备了超值礼包，帮助您快速通关~,0
104009,1,1,0,0,4,9,84,270,2,0,0,121,7200,恭喜通过圣炎巢穴270层，我们为您准备了超值礼包，帮助您快速通关~,0
104010,1,1,0,0,4,10,84,300,2,0,0,122,7200,恭喜通过圣炎巢穴300层，我们为您准备了超值礼包，帮助您快速通关~,0
105001,1,1,0,0,5,1,84,30,3,0,0,123,7200,恭喜通过暗雷冥域30层，我们为您准备了超值礼包，帮助您快速通关~,0
105002,1,1,0,0,5,2,84,60,3,0,0,124,7200,恭喜通过暗雷冥域60层，我们为您准备了超值礼包，帮助您快速通关~,0
105003,1,1,0,0,5,3,84,90,3,0,0,125,7200,恭喜通过暗雷冥域90层，我们为您准备了超值礼包，帮助您快速通关~,0
105004,1,1,0,0,5,4,84,120,3,0,0,126,7200,恭喜通过暗雷冥域120层，我们为您准备了超值礼包，帮助您快速通关~,0
105005,1,1,0,0,5,5,84,150,3,0,0,127,7200,恭喜通过暗雷冥域150层，我们为您准备了超值礼包，帮助您快速通关~,0
105006,1,1,0,0,5,6,84,180,3,0,0,128,7200,恭喜通过暗雷冥域180层，我们为您准备了超值礼包，帮助您快速通关~,0
105007,1,1,0,0,5,7,84,210,3,0,0,129,7200,恭喜通过暗雷冥域210层，我们为您准备了超值礼包，帮助您快速通关~,0
105008,1,1,0,0,5,8,84,240,3,0,0,130,7200,恭喜通过暗雷冥域240层，我们为您准备了超值礼包，帮助您快速通关~,0
105009,1,1,0,0,5,9,84,270,3,0,0,131,7200,恭喜通过暗雷冥域270层，我们为您准备了超值礼包，帮助您快速通关~,0
105010,1,1,0,0,5,10,84,300,3,0,0,132,7200,恭喜通过暗雷冥域300层，我们为您准备了超值礼包，帮助您快速通关~,0
106001,1,1,0,0,6,1,84,30,4,0,0,133,7200,恭喜通过翠蓝秘境30层，我们为您准备了超值礼包，帮助您快速通关~,0
106002,1,1,0,0,6,2,84,60,4,0,0,134,7200,恭喜通过翠蓝秘境60层，我们为您准备了超值礼包，帮助您快速通关~,0
106003,1,1,0,0,6,3,84,90,4,0,0,135,7200,恭喜通过翠蓝秘境90层，我们为您准备了超值礼包，帮助您快速通关~,0
106004,1,1,0,0,6,4,84,120,4,0,0,136,7200,恭喜通过翠蓝秘境120层，我们为您准备了超值礼包，帮助您快速通关~,0
106005,1,1,0,0,6,5,84,150,4,0,0,137,7200,恭喜通过翠蓝秘境150层，我们为您准备了超值礼包，帮助您快速通关~,0
106006,1,1,0,0,6,6,84,180,4,0,0,138,7200,恭喜通过翠蓝秘境180层，我们为您准备了超值礼包，帮助您快速通关~,0
106007,1,1,0,0,6,7,84,210,4,0,0,139,7200,恭喜通过翠蓝秘境210层，我们为您准备了超值礼包，帮助您快速通关~,0
106008,1,1,0,0,6,8,84,240,4,0,0,140,7200,恭喜通过翠蓝秘境240层，我们为您准备了超值礼包，帮助您快速通关~,0
106009,1,1,0,0,6,9,84,270,4,0,0,141,7200,恭喜通过翠蓝秘境270层，我们为您准备了超值礼包，帮助您快速通关~,0
106010,1,1,0,0,6,10,84,300,4,0,0,142,7200,恭喜通过翠蓝秘境300层，我们为您准备了超值礼包，帮助您快速通关~,0
107001,1,1,0,0,7,1,1,20,0,0,0,72,7200,恭喜您达到20级，我们为您准备了钜惠礼包，助您快速通关~,0
107002,1,1,0,0,7,2,1,30,0,0,0,73,7200,恭喜您达到30级，我们为您准备了钜惠礼包，助您快速通关~,0
107003,1,1,0,0,7,3,1,40,0,0,0,74,7200,恭喜您达到40级，我们为您准备了钜惠礼包，助您快速通关~,0
107004,1,1,0,0,7,4,1,50,0,0,0,75,7200,恭喜您达到50级，我们为您准备了钜惠礼包，助您快速通关~,0
107005,1,1,0,0,7,5,1,60,0,0,0,76,7200,恭喜您达到60级，我们为您准备了钜惠礼包，助您快速通关~,0
107006,1,1,0,0,7,6,1,70,0,0,0,77,7200,恭喜您达到70级，我们为您准备了钜惠礼包，助您快速通关~,0
107007,1,1,0,0,7,7,1,80,0,0,0,78,7200,恭喜您达到80级，我们为您准备了钜惠礼包，助您快速通关~,0
107008,1,1,0,0,7,8,1,90,0,0,0,79,7200,恭喜您达到90级，我们为您准备了钜惠礼包，助您快速通关~,0
107009,1,1,0,0,7,9,1,100,0,0,0,80,7200,恭喜您达到100级，我们为您准备了钜惠礼包，助您快速通关~,0
107010,1,1,0,0,7,10,1,110,0,0,0,81,7200,恭喜您达到110级，我们为您准备了钜惠礼包，助您快速通关~,0
107011,1,1,0,0,7,11,1,120,0,0,0,82,7200,恭喜您达到120级，我们为您准备了钜惠礼包，助您快速通关~,0
107012,1,1,0,0,7,12,1,130,0,0,0,83,7200,恭喜您达到130级，我们为您准备了钜惠礼包，助您快速通关~,0
107013,1,1,0,0,7,13,1,140,0,0,0,84,7200,恭喜您达到140级，我们为您准备了钜惠礼包，助您快速通关~,0
107014,1,1,0,0,7,14,1,150,0,0,0,85,7200,恭喜您达到150级，我们为您准备了钜惠礼包，助您快速通关~,0
107015,1,1,0,0,7,15,1,160,0,0,0,86,7200,恭喜您达到160级，我们为您准备了钜惠礼包，助您快速通关~,0
107016,1,1,0,0,7,16,1,170,0,0,0,87,7200,恭喜您达到170级，我们为您准备了钜惠礼包，助您快速通关~,0
107017,1,1,0,0,7,17,1,180,0,0,0,88,7200,恭喜您达到180级，我们为您准备了钜惠礼包，助您快速通关~,0
107018,1,1,0,0,7,18,1,190,0,0,0,89,7200,恭喜您达到190级，我们为您准备了钜惠礼包，助您快速通关~,0
107019,1,1,0,0,7,19,1,200,0,0,0,90,7200,恭喜您达到200级，我们为您准备了钜惠礼包，助您快速通关~,0
107020,1,1,0,0,7,20,1,210,0,0,0,91,7200,恭喜您达到210级，我们为您准备了钜惠礼包，助您快速通关~,0
107021,1,1,0,0,7,21,1,220,0,0,0,92,7200,恭喜您达到220级，我们为您准备了钜惠礼包，助您快速通关~,0
107022,1,1,0,0,7,22,1,230,0,0,0,93,7200,恭喜您达到230级，我们为您准备了钜惠礼包，助您快速通关~,0
107023,1,1,0,0,7,23,1,240,0,0,0,94,7200,恭喜您达到240级，我们为您准备了钜惠礼包，助您快速通关~,0
107024,1,1,0,0,7,24,1,10,0,0,0,149,7200,恭喜您达到10级，我们为您准备了钜惠礼包，助您快速通关~,0
108001,2,2,4,6,8,1,130,1,0,0,0,143,7200,[14]登陆超值召唤礼包[0]限时上架，助力领主大人征战大陆哟！,1
108002,2,2,6,10,8,2,130,1,0,0,0,143,7200,[14]登陆超值召唤礼包[0]限时上架，助力领主大人征战大陆哟！,1
108003,2,2,10,13,8,3,130,1,0,0,0,143,7200,[14]登陆超值召唤礼包[0]限时上架，助力领主大人征战大陆哟！,1
108004,2,2,13,999,8,4,130,1,0,0,0,143,7200,[14]登陆超值召唤礼包[0]限时上架，助力领主大人征战大陆哟！,1
109001,2,2,4,6,9,1,21,1,0,0,0,144,7200,[14]挂机超值召唤礼包[0]限时上架，助力领主大人征战大陆哟！,1
109002,2,2,6,10,9,2,21,1,0,0,0,144,7200,[14]挂机超值召唤礼包[0]限时上架，助力领主大人征战大陆哟！,1
109003,2,2,10,13,9,3,21,1,0,0,0,144,7200,[14]挂机超值召唤礼包[0]限时上架，助力领主大人征战大陆哟！,1
109004,2,2,13,999,9,4,21,1,0,0,0,144,7200,[14]挂机超值召唤礼包[0]限时上架，助力领主大人征战大陆哟！,1
