id,label,type,column_group,protect_id1,condition1,protect_id2,condition2,protect_id3,condition3,protect_id4,condition4,protect_id5,condition5,science_group,name,icon,attribute_show,attributetype_show,back_picture,icon_r,icon_g,icon_b
33,4,1,3,30,1,0,0,0,0,0,0,0,0,431,锻造术,keji_wlfy.png,8,物理防御,pj_keji_yxwd_02.png,171,209,255
34,4,1,3,31,1,0,0,0,0,0,0,0,0,432,神秘术,keji_mffy.png,10,魔法防御,pj_keji_yxwd_02.png,171,209,255
35,4,1,3,32,1,0,0,0,0,0,0,0,0,433,钝化术,keji_mfdk.png,63,神圣防御,pj_keji_yxwd_02.png,171,209,255
36,4,1,4,33,1,34,1,35,1,0,0,0,0,442,生命之泉,keji_hldj2.png,106,生命总量属性百分比,pj_keji_yxwd_02.png,171,209,255
37,4,1,5,36,1,0,0,0,0,0,0,0,0,451,武器保养,keji_wlgj2.png,107,物理攻击属性百分比,pj_keji_yxwd_02.png,171,209,255
38,4,1,5,36,1,0,0,0,0,0,0,0,0,452,魔网增幅,keji_mfgj2.png,109,魔法攻击属性百分比,pj_keji_yxwd_02.png,171,209,255
39,4,1,5,36,1,0,0,0,0,0,0,0,0,453,心灵控制,keji_ssgj2.png,162,神圣攻击属性百分比,pj_keji_yxwd_02.png,171,209,255
40,4,1,6,37,1,0,0,0,0,0,0,0,0,461,盔甲保养,keji_wlfy2.png,108,物理防御属性百分比,pj_keji_yxwd_02.png,171,209,255
41,4,1,6,38,1,0,0,0,0,0,0,0,0,462,魔法屏障,keji_mffy2.png,110,魔法防御属性百分比,pj_keji_yxwd_02.png,171,209,255
42,4,1,6,39,1,0,0,0,0,0,0,0,0,463,心灵锁闭,keji_ssfy2.png,163,神圣防御属性百分比,pj_keji_yxwd_02.png,171,209,255
43,4,1,7,40,3,0,0,0,0,0,0,0,0,471,尖刺武器,keji_ccjs.png,38,穿刺近伤,pj_keji_yxwd_02.png,171,209,255
44,4,1,7,41,3,0,0,0,0,0,0,0,0,472,魔法穿透,keji_ccys.png,39,穿刺远伤,pj_keji_yxwd_02.png,171,209,255
45,4,1,7,42,3,0,0,0,0,0,0,0,0,473,心灵侵蚀,keji_ccss.png,88,穿刺圣伤,pj_keji_yxwd_02.png,171,209,255
46,4,1,8,43,3,0,0,0,0,0,0,0,0,481,曲面板甲,keji_ccjf.png,41,穿刺近防,pj_keji_yxwd_02.png,171,209,255
47,4,1,8,44,3,0,0,0,0,0,0,0,0,482,强化屏障,keji_ccyf.png,42,穿刺远防,pj_keji_yxwd_02.png,171,209,255
48,4,1,8,45,3,0,0,0,0,0,0,0,0,483,心灵封印,keji_ccsf.png,87,穿刺圣抗,pj_keji_yxwd_02.png,171,209,255
