base_id,treasurea_id,name,quality,stage_lv_show,stage_lv,cost_item1,cost_num1,cost_item2,cost_num2,attribute_type1,attribute1,attribute_type2,attribute2,attribute_type3,attribute3,attribute_type4,attribute4,extra_attributes_type1,extra_attribute_addvalue1,extra_attributes_type2,extra_attribute_addvalue2,announcement,icon,maxlevel
97,500105,王冠部件Ⅴ+12,6,12,12,79500105,74,80000011,56,1,6800,0,0,0,0,99,204000,0,0,0,0,0,elogo79500105,20
98,500105,王冠部件Ⅴ+13,6,13,13,79500105,96,80000011,72,1,9760,0,0,0,0,99,292800,0,0,0,0,0,elogo79500105,20
99,500105,王冠部件Ⅴ+14,6,14,14,79500105,125,80000011,94,1,13880,0,0,0,0,99,416400,0,0,0,0,0,elogo79500105,20
100,500105,王冠部件Ⅴ+15,6,15,15,79500105,163,80000011,122,1,19600,0,0,0,0,99,588000,0,0,0,0,1,elogo79500105,20
101,500105,王冠部件Ⅴ+16,6,16,16,79500105,212,80000011,159,1,27480,0,0,0,0,99,824400,0,0,0,0,1,elogo79500105,20
102,500105,王冠部件Ⅴ+17,6,17,17,79500105,275,80000011,206,1,38240,0,0,0,0,99,1147200,0,0,0,0,1,elogo79500105,20
103,500105,王冠部件Ⅴ+18,6,18,18,79500105,357,80000011,268,1,52960,0,0,0,0,99,1588800,0,0,0,0,1,elogo79500105,20
104,500105,王冠部件Ⅴ+19,6,19,19,79500105,465,80000011,349,1,72920,0,0,0,0,99,2187600,0,0,0,0,1,elogo79500105,20
105,500105,王冠部件Ⅴ+20,6,20,20,0,0,0,0,1,100000,0,0,0,0,99,3000000,1,60000,99,1800000,1,elogo79500105,20
106,500106,王冠部件Ⅵ,6,0,0,79500106,1,0,0,1,0,0,0,0,0,99,0,0,0,0,0,0,elogo79500106,20
107,500106,王冠部件Ⅵ+1,6,1,1,79500106,4,80000011,3,1,400,0,0,0,0,99,12000,0,0,0,0,0,elogo79500106,20
108,500106,王冠部件Ⅵ+2,6,2,2,79500106,5,80000011,4,1,600,0,0,0,0,99,18000,0,0,0,0,0,elogo79500106,20
109,500106,王冠部件Ⅵ+3,6,3,3,79500106,7,80000011,5,1,800,0,0,0,0,99,24000,1,480,99,14400,0,elogo79500106,20
110,500106,王冠部件Ⅵ+4,6,4,4,79500106,9,80000011,7,1,1000,0,0,0,0,99,30000,0,0,0,0,0,elogo79500106,20
111,500106,王冠部件Ⅵ+5,6,5,5,79500106,12,80000011,9,1,1200,0,0,0,0,99,36000,0,0,0,0,0,elogo79500106,20
112,500106,王冠部件Ⅵ+6,6,6,6,79500106,15,80000011,12,1,1400,0,0,0,0,99,42000,0,0,0,0,0,elogo79500106,20
113,500106,王冠部件Ⅵ+7,6,7,7,79500106,20,80000011,15,1,1600,0,0,0,0,99,48000,0,0,0,0,0,elogo79500106,20
114,500106,王冠部件Ⅵ+8,6,8,8,79500106,26,80000011,19,1,2000,0,0,0,0,99,60000,0,0,0,0,0,elogo79500106,20
115,500106,王冠部件Ⅵ+9,6,9,9,79500106,34,80000011,25,1,2800,0,0,0,0,99,84000,0,0,0,0,0,elogo79500106,20
116,500106,王冠部件Ⅵ+10,6,10,10,79500106,44,80000011,33,1,3600,0,0,0,0,99,108000,0,0,0,0,0,elogo79500106,20
117,500106,王冠部件Ⅵ+11,6,11,11,79500106,57,80000011,43,1,4680,0,0,0,0,99,140400,1,2800,99,84000,0,elogo79500106,20
118,500106,王冠部件Ⅵ+12,6,12,12,79500106,74,80000011,56,1,6800,0,0,0,0,99,204000,0,0,0,0,0,elogo79500106,20
119,500106,王冠部件Ⅵ+13,6,13,13,79500106,96,80000011,72,1,9760,0,0,0,0,99,292800,0,0,0,0,0,elogo79500106,20
120,500106,王冠部件Ⅵ+14,6,14,14,79500106,125,80000011,94,1,13880,0,0,0,0,99,416400,0,0,0,0,0,elogo79500106,20
121,500106,王冠部件Ⅵ+15,6,15,15,79500106,163,80000011,122,1,19600,0,0,0,0,99,588000,0,0,0,0,1,elogo79500106,20
122,500106,王冠部件Ⅵ+16,6,16,16,79500106,212,80000011,159,1,27480,0,0,0,0,99,824400,0,0,0,0,1,elogo79500106,20
123,500106,王冠部件Ⅵ+17,6,17,17,79500106,275,80000011,206,1,38240,0,0,0,0,99,1147200,0,0,0,0,1,elogo79500106,20
124,500106,王冠部件Ⅵ+18,6,18,18,79500106,357,80000011,268,1,52960,0,0,0,0,99,1588800,0,0,0,0,1,elogo79500106,20
125,500106,王冠部件Ⅵ+19,6,19,19,79500106,465,80000011,349,1,72920,0,0,0,0,99,2187600,0,0,0,0,1,elogo79500106,20
126,500106,王冠部件Ⅵ+20,6,20,20,0,0,0,0,1,100000,0,0,0,0,99,3000000,1,60000,99,1800000,1,elogo79500106,20
127,500201,道标部件Ⅰ,6,0,0,79500201,1,0,0,2,0,0,0,0,0,99,0,0,0,0,0,0,elogo79500201,20
128,500201,道标部件Ⅰ+1,6,1,1,79500201,4,80000011,3,2,40,0,0,0,0,99,12000,0,0,0,0,0,elogo79500201,20
129,500201,道标部件Ⅰ+2,6,2,2,79500201,5,80000011,4,2,60,0,0,0,0,99,18000,0,0,0,0,0,elogo79500201,20
130,500201,道标部件Ⅰ+3,6,3,3,79500201,7,80000011,5,2,80,0,0,0,0,99,24000,2,40,99,12000,0,elogo79500201,20
131,500201,道标部件Ⅰ+4,6,4,4,79500201,9,80000011,7,2,100,0,0,0,0,99,30000,0,0,0,0,0,elogo79500201,20
132,500201,道标部件Ⅰ+5,6,5,5,79500201,12,80000011,9,2,120,0,0,0,0,99,36000,0,0,0,0,0,elogo79500201,20
133,500201,道标部件Ⅰ+6,6,6,6,79500201,15,80000011,12,2,140,0,0,0,0,99,42000,0,0,0,0,0,elogo79500201,20
134,500201,道标部件Ⅰ+7,6,7,7,79500201,20,80000011,15,2,160,0,0,0,0,99,48000,0,0,0,0,0,elogo79500201,20
135,500201,道标部件Ⅰ+8,6,8,8,79500201,26,80000011,19,2,200,0,0,0,0,99,60000,0,0,0,0,0,elogo79500201,20
136,500201,道标部件Ⅰ+9,6,9,9,79500201,34,80000011,25,2,280,0,0,0,0,99,84000,0,0,0,0,0,elogo79500201,20
137,500201,道标部件Ⅰ+10,6,10,10,79500201,44,80000011,33,2,360,0,0,0,0,99,108000,0,0,0,0,0,elogo79500201,20
138,500201,道标部件Ⅰ+11,6,11,11,79500201,57,80000011,43,2,468,0,0,0,0,99,140400,2,280,99,84000,0,elogo79500201,20
139,500201,道标部件Ⅰ+12,6,12,12,79500201,74,80000011,56,2,680,0,0,0,0,99,204000,0,0,0,0,0,elogo79500201,20
140,500201,道标部件Ⅰ+13,6,13,13,79500201,96,80000011,72,2,976,0,0,0,0,99,292800,0,0,0,0,0,elogo79500201,20
141,500201,道标部件Ⅰ+14,6,14,14,79500201,125,80000011,94,2,1388,0,0,0,0,99,416400,0,0,0,0,0,elogo79500201,20
142,500201,道标部件Ⅰ+15,6,15,15,79500201,163,80000011,122,2,1960,0,0,0,0,99,588000,0,0,0,0,1,elogo79500201,20
143,500201,道标部件Ⅰ+16,6,16,16,79500201,212,80000011,159,2,2748,0,0,0,0,99,824400,0,0,0,0,1,elogo79500201,20
144,500201,道标部件Ⅰ+17,6,17,17,79500201,275,80000011,206,2,3824,0,0,0,0,99,1147200,0,0,0,0,1,elogo79500201,20
145,500201,道标部件Ⅰ+18,6,18,18,79500201,357,80000011,268,2,5296,0,0,0,0,99,1588800,0,0,0,0,1,elogo79500201,20
146,500201,道标部件Ⅰ+19,6,19,19,79500201,465,80000011,349,2,7292,0,0,0,0,99,2187600,0,0,0,0,1,elogo79500201,20
147,500201,道标部件Ⅰ+20,6,20,20,0,0,0,0,2,10000,0,0,0,0,99,3000000,2,6000,99,1800000,1,elogo79500201,20
148,500202,道标部件Ⅱ,6,0,0,79500202,1,0,0,2,0,0,0,0,0,99,0,0,0,0,0,0,elogo79500202,20
149,500202,道标部件Ⅱ+1,6,1,1,79500202,4,80000011,3,2,40,0,0,0,0,99,12000,0,0,0,0,0,elogo79500202,20
150,500202,道标部件Ⅱ+2,6,2,2,79500202,5,80000011,4,2,60,0,0,0,0,99,18000,0,0,0,0,0,elogo79500202,20
151,500202,道标部件Ⅱ+3,6,3,3,79500202,7,80000011,5,2,80,0,0,0,0,99,24000,2,40,99,12000,0,elogo79500202,20
152,500202,道标部件Ⅱ+4,6,4,4,79500202,9,80000011,7,2,100,0,0,0,0,99,30000,0,0,0,0,0,elogo79500202,20
153,500202,道标部件Ⅱ+5,6,5,5,79500202,12,80000011,9,2,120,0,0,0,0,99,36000,0,0,0,0,0,elogo79500202,20
154,500202,道标部件Ⅱ+6,6,6,6,79500202,15,80000011,12,2,140,0,0,0,0,99,42000,0,0,0,0,0,elogo79500202,20
155,500202,道标部件Ⅱ+7,6,7,7,79500202,20,80000011,15,2,160,0,0,0,0,99,48000,0,0,0,0,0,elogo79500202,20
156,500202,道标部件Ⅱ+8,6,8,8,79500202,26,80000011,19,2,200,0,0,0,0,99,60000,0,0,0,0,0,elogo79500202,20
157,500202,道标部件Ⅱ+9,6,9,9,79500202,34,80000011,25,2,280,0,0,0,0,99,84000,0,0,0,0,0,elogo79500202,20
158,500202,道标部件Ⅱ+10,6,10,10,79500202,44,80000011,33,2,360,0,0,0,0,99,108000,0,0,0,0,0,elogo79500202,20
159,500202,道标部件Ⅱ+11,6,11,11,79500202,57,80000011,43,2,468,0,0,0,0,99,140400,2,280,99,84000,0,elogo79500202,20
160,500202,道标部件Ⅱ+12,6,12,12,79500202,74,80000011,56,2,680,0,0,0,0,99,204000,0,0,0,0,0,elogo79500202,20
161,500202,道标部件Ⅱ+13,6,13,13,79500202,96,80000011,72,2,976,0,0,0,0,99,292800,0,0,0,0,0,elogo79500202,20
162,500202,道标部件Ⅱ+14,6,14,14,79500202,125,80000011,94,2,1388,0,0,0,0,99,416400,0,0,0,0,0,elogo79500202,20
163,500202,道标部件Ⅱ+15,6,15,15,79500202,163,80000011,122,2,1960,0,0,0,0,99,588000,0,0,0,0,1,elogo79500202,20
164,500202,道标部件Ⅱ+16,6,16,16,79500202,212,80000011,159,2,2748,0,0,0,0,99,824400,0,0,0,0,1,elogo79500202,20
165,500202,道标部件Ⅱ+17,6,17,17,79500202,275,80000011,206,2,3824,0,0,0,0,99,1147200,0,0,0,0,1,elogo79500202,20
166,500202,道标部件Ⅱ+18,6,18,18,79500202,357,80000011,268,2,5296,0,0,0,0,99,1588800,0,0,0,0,1,elogo79500202,20
167,500202,道标部件Ⅱ+19,6,19,19,79500202,465,80000011,349,2,7292,0,0,0,0,99,2187600,0,0,0,0,1,elogo79500202,20
168,500202,道标部件Ⅱ+20,6,20,20,0,0,0,0,2,10000,0,0,0,0,99,3000000,2,6000,99,1800000,1,elogo79500202,20
169,500203,道标部件Ⅲ,6,0,0,79500203,1,0,0,2,0,0,0,0,0,99,0,0,0,0,0,0,elogo79500203,20
170,500203,道标部件Ⅲ+1,6,1,1,79500203,4,80000011,3,2,40,0,0,0,0,99,12000,0,0,0,0,0,elogo79500203,20
171,500203,道标部件Ⅲ+2,6,2,2,79500203,5,80000011,4,2,60,0,0,0,0,99,18000,0,0,0,0,0,elogo79500203,20
172,500203,道标部件Ⅲ+3,6,3,3,79500203,7,80000011,5,2,80,0,0,0,0,99,24000,2,40,99,12000,0,elogo79500203,20
173,500203,道标部件Ⅲ+4,6,4,4,79500203,9,80000011,7,2,100,0,0,0,0,99,30000,0,0,0,0,0,elogo79500203,20
174,500203,道标部件Ⅲ+5,6,5,5,79500203,12,80000011,9,2,120,0,0,0,0,99,36000,0,0,0,0,0,elogo79500203,20
175,500203,道标部件Ⅲ+6,6,6,6,79500203,15,80000011,12,2,140,0,0,0,0,99,42000,0,0,0,0,0,elogo79500203,20
176,500203,道标部件Ⅲ+7,6,7,7,79500203,20,80000011,15,2,160,0,0,0,0,99,48000,0,0,0,0,0,elogo79500203,20
177,500203,道标部件Ⅲ+8,6,8,8,79500203,26,80000011,19,2,200,0,0,0,0,99,60000,0,0,0,0,0,elogo79500203,20
178,500203,道标部件Ⅲ+9,6,9,9,79500203,34,80000011,25,2,280,0,0,0,0,99,84000,0,0,0,0,0,elogo79500203,20
179,500203,道标部件Ⅲ+10,6,10,10,79500203,44,80000011,33,2,360,0,0,0,0,99,108000,0,0,0,0,0,elogo79500203,20
180,500203,道标部件Ⅲ+11,6,11,11,79500203,57,80000011,43,2,468,0,0,0,0,99,140400,2,280,99,84000,0,elogo79500203,20
181,500203,道标部件Ⅲ+12,6,12,12,79500203,74,80000011,56,2,680,0,0,0,0,99,204000,0,0,0,0,0,elogo79500203,20
182,500203,道标部件Ⅲ+13,6,13,13,79500203,96,80000011,72,2,976,0,0,0,0,99,292800,0,0,0,0,0,elogo79500203,20
183,500203,道标部件Ⅲ+14,6,14,14,79500203,125,80000011,94,2,1388,0,0,0,0,99,416400,0,0,0,0,0,elogo79500203,20
184,500203,道标部件Ⅲ+15,6,15,15,79500203,163,80000011,122,2,1960,0,0,0,0,99,588000,0,0,0,0,1,elogo79500203,20
185,500203,道标部件Ⅲ+16,6,16,16,79500203,212,80000011,159,2,2748,0,0,0,0,99,824400,0,0,0,0,1,elogo79500203,20
186,500203,道标部件Ⅲ+17,6,17,17,79500203,275,80000011,206,2,3824,0,0,0,0,99,1147200,0,0,0,0,1,elogo79500203,20
