id,group,order,name,chance,index,base_type1,base_value1,base_txt1,base_type2,base_value2,base_txt2,base_type3,base_value3,base_txt3,base_type4,base_value4,base_txt4,base_type5,base_value5,base_txt5,base_type6,base_value6,base_txt6
1000034,20001,34,心性,1,2,74,150,神术减伤增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000035,20001,35,心性,1,3,74,175,神术减伤增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000036,20001,36,心性,1,3,74,200,神术减伤增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000037,20101,1,力量,3,2,107,125,物理攻击增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000038,20101,2,力量,3,2,107,150,物理攻击增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000039,20101,3,力量,3,3,107,175,物理攻击增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000040,20101,4,力量,3,3,107,200,物理攻击增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000041,20101,5,力量,1,4,107,225,物理攻击增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000042,20101,6,力量,1,4,107,250,物理攻击增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000043,20101,7,力量,3,2,16,125,物理暴击增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000044,20101,8,力量,3,2,16,150,物理暴击增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000045,20101,9,力量,3,3,16,175,物理暴击增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000046,20101,10,力量,3,3,16,200,物理暴击增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000047,20101,11,力量,1,4,16,225,物理暴击增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000048,20101,12,力量,1,4,16,250,物理暴击增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000049,20101,13,力量,3,2,32,125,物理增伤增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000050,20101,14,力量,3,2,32,150,物理增伤增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000051,20101,15,力量,3,3,32,175,物理增伤增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000052,20101,16,力量,3,3,32,200,物理增伤增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000053,20101,17,力量,1,4,32,225,物理增伤增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000054,20101,18,力量,1,4,32,250,物理增伤增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000055,20201,1,魔力,3,2,109,125,魔法攻击增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000056,20201,2,魔力,3,2,109,150,魔法攻击增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000057,20201,3,魔力,3,3,109,175,魔法攻击增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000058,20201,4,魔力,3,3,109,200,魔法攻击增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000059,20201,5,魔力,1,4,109,225,魔法攻击增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000060,20201,6,魔力,1,4,109,250,魔法攻击增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000061,20201,7,魔力,3,2,17,125,魔法暴击增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000062,20201,8,魔力,3,2,17,150,魔法暴击增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000063,20201,9,魔力,3,3,17,175,魔法暴击增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000064,20201,10,魔力,3,3,17,200,魔法暴击增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000065,20201,11,魔力,1,4,17,225,魔法暴击增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000066,20201,12,魔力,1,4,17,250,魔法暴击增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000067,20201,13,魔力,3,2,33,125,魔法增伤增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000068,20201,14,魔力,3,2,33,150,魔法增伤增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000069,20201,15,魔力,3,3,33,175,魔法增伤增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000070,20201,16,魔力,3,3,33,200,魔法增伤增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000071,20201,17,魔力,1,4,33,225,魔法增伤增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000072,20201,18,魔力,1,4,33,250,魔法增伤增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000073,20301,1,精神,3,2,129,125,神术攻击增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000074,20301,2,精神,3,2,129,150,神术攻击增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000075,20301,3,精神,3,3,129,175,神术攻击增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000076,20301,4,精神,3,3,129,200,神术攻击增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000077,20301,5,精神,1,4,129,225,神术攻击增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000078,20301,6,精神,1,4,129,250,神术攻击增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000079,20301,7,精神,3,2,75,125,神术暴击增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000080,20301,8,精神,3,2,75,150,神术暴击增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000081,20301,9,精神,3,3,75,175,神术暴击增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000082,20301,10,精神,3,3,75,200,神术暴击增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000083,20301,11,精神,1,4,75,225,神术暴击增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000084,20301,12,精神,1,4,75,250,神术暴击增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000085,20301,13,精神,3,2,73,125,神术增伤增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000086,20301,14,精神,3,2,73,150,神术增伤增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000087,20301,15,精神,3,3,73,175,神术增伤增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000088,20301,16,精神,3,3,73,200,神术增伤增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000089,20301,17,精神,1,4,73,225,神术增伤增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000090,20301,18,精神,1,4,73,250,神术增伤增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000091,21001,1,体魄,3,2,106,250,生命总量增加2.5%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000092,21001,2,体魄,3,2,106,300,生命总量增加3%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000093,21001,3,体魄,2,3,106,350,生命总量增加3.5%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000094,21001,4,体魄,2,3,106,400,生命总量增加4%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000095,21001,5,体魄,1,4,106,450,生命总量增加4.5%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000096,21001,6,体魄,1,4,106,500,生命总量增加5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000097,21001,7,韧性,3,2,108,125,物理防御增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000098,21001,8,韧性,3,2,108,150,物理防御增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000099,21001,9,韧性,2,3,108,175,物理防御增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000100,21001,10,韧性,2,3,108,200,物理防御增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000101,21001,11,韧性,1,4,108,225,物理防御增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000102,21001,12,韧性,1,4,108,250,物理防御增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000103,21001,13,抗性,3,2,110,125,魔法防御增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000104,21001,14,抗性,3,2,110,150,魔法防御增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000105,21001,15,抗性,2,3,110,175,魔法防御增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000106,21001,16,抗性,2,3,110,200,魔法防御增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000107,21001,17,抗性,1,4,110,225,魔法防御增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000108,21001,18,抗性,1,4,110,250,魔法防御增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000109,21001,19,心性,3,2,130,125,神术防御增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000110,21001,20,心性,3,2,130,150,神术防御增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000111,21001,21,心性,2,3,130,175,神术防御增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000112,21001,22,心性,2,3,130,200,神术防御增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000113,21001,23,心性,1,4,130,225,神术防御增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000114,21001,24,心性,1,4,130,250,神术防御增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000115,21001,25,敏捷,3,2,14,125,闪避概率增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000116,21001,26,敏捷,3,2,14,150,闪避概率增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000117,21001,27,敏捷,2,3,14,175,闪避概率增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000118,21001,28,敏捷,2,3,14,200,闪避概率增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000119,21001,29,敏捷,1,4,14,225,闪避概率增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000120,21001,30,敏捷,1,4,14,250,闪避概率增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000121,21001,31,技巧,3,2,15,125,格挡概率增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000122,21001,32,技巧,3,2,15,150,格挡概率增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000123,21001,33,技巧,2,3,15,175,格挡概率增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000124,21001,34,技巧,2,3,15,200,格挡概率增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000125,21001,35,技巧,1,4,15,225,格挡概率增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000126,21001,36,技巧,1,4,15,250,格挡概率增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000127,21001,37,韧性,3,2,23,125,物理减伤增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000128,21001,38,韧性,3,2,23,150,物理减伤增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000129,21001,39,韧性,2,3,23,175,物理减伤增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000130,21001,40,韧性,2,3,23,200,物理减伤增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000131,21001,41,韧性,1,4,23,225,物理减伤增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000132,21001,42,韧性,1,4,23,250,物理减伤增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000133,21001,43,抗性,3,2,24,125,魔法减伤增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000134,21001,44,抗性,3,2,24,150,魔法减伤增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000135,21001,45,抗性,2,3,24,175,魔法减伤增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000136,21001,46,抗性,2,3,24,200,魔法减伤增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000137,21001,47,抗性,1,4,24,225,魔法减伤增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000138,21001,48,抗性,1,4,24,250,魔法减伤增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000139,21001,49,心性,3,2,74,125,神术减伤增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000140,21001,50,心性,3,2,74,150,神术减伤增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000141,21001,51,心性,2,3,74,175,神术减伤增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000142,21001,52,心性,2,3,74,200,神术减伤增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000143,21001,53,心性,1,4,74,225,神术减伤增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000144,21001,54,心性,1,4,74,250,神术减伤增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000145,21101,1,力量,1,2,107,125,物理攻击增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000146,21101,2,力量,1,2,107,150,物理攻击增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000147,21101,3,力量,2,3,107,175,物理攻击增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000148,21101,4,力量,2,3,107,200,物理攻击增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000149,21101,5,力量,1,4,107,225,物理攻击增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000150,21101,6,力量,1,4,107,250,物理攻击增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000151,21101,7,力量,1,2,16,125,物理暴击增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000152,21101,8,力量,1,2,16,150,物理暴击增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000153,21101,9,力量,2,3,16,175,物理暴击增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000154,21101,10,力量,2,3,16,200,物理暴击增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000155,21101,11,力量,1,4,16,225,物理暴击增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000156,21101,12,力量,1,4,16,250,物理暴击增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000157,21101,13,力量,1,2,32,125,物理增伤增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000158,21101,14,力量,1,2,32,150,物理增伤增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000159,21101,15,力量,2,3,32,175,物理增伤增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000160,21101,16,力量,2,3,32,200,物理增伤增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000161,21101,17,力量,1,4,32,225,物理增伤增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000162,21101,18,力量,1,4,32,250,物理增伤增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000163,21201,1,魔力,1,2,109,125,魔法攻击增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000164,21201,2,魔力,1,2,109,150,魔法攻击增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000165,21201,3,魔力,2,3,109,175,魔法攻击增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000166,21201,4,魔力,2,3,109,200,魔法攻击增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000167,21201,5,魔力,1,4,109,225,魔法攻击增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000168,21201,6,魔力,1,4,109,250,魔法攻击增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000169,21201,7,魔力,1,2,17,125,魔法暴击增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000170,21201,8,魔力,1,2,17,150,魔法暴击增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000171,21201,9,魔力,2,3,17,175,魔法暴击增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000172,21201,10,魔力,2,3,17,200,魔法暴击增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000173,21201,11,魔力,1,4,17,225,魔法暴击增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000174,21201,12,魔力,1,4,17,250,魔法暴击增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000175,21201,13,魔力,1,2,33,125,魔法增伤增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000176,21201,14,魔力,1,2,33,150,魔法增伤增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000177,21201,15,魔力,2,3,33,175,魔法增伤增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000178,21201,16,魔力,2,3,33,200,魔法增伤增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000179,21201,17,魔力,1,4,33,225,魔法增伤增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000180,21201,18,魔力,1,4,33,250,魔法增伤增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000181,21301,1,精神,1,2,129,125,神术攻击增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000182,21301,2,精神,1,2,129,150,神术攻击增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000183,21301,3,精神,2,3,129,175,神术攻击增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000184,21301,4,精神,2,3,129,200,神术攻击增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000185,21301,5,精神,1,4,129,225,神术攻击增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000186,21301,6,精神,1,4,129,250,神术攻击增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000187,21301,7,精神,1,2,75,125,神术暴击增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000188,21301,8,精神,1,2,75,150,神术暴击增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000189,21301,9,精神,2,3,75,175,神术暴击增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000190,21301,10,精神,2,3,75,200,神术暴击增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000191,21301,11,精神,1,4,75,225,神术暴击增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000192,21301,12,精神,1,4,75,250,神术暴击增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000193,21301,13,精神,1,2,73,125,神术增伤增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000194,21301,14,精神,1,2,73,150,神术增伤增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000195,21301,15,精神,2,3,73,175,神术增伤增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000196,21301,16,精神,2,3,73,200,神术增伤增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000197,21301,17,精神,1,4,73,225,神术增伤增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000198,21301,18,精神,1,4,73,250,神术增伤增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000199,22001,1,体魄,1,3,106,350,生命总量增加3.5%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000200,22001,2,体魄,1,3,106,400,生命总量增加4%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000201,22001,3,体魄,1,4,106,450,生命总量增加4.5%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000202,22001,4,体魄,1,4,106,500,生命总量增加5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000203,22001,5,韧性,1,3,108,175,物理防御增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000204,22001,6,韧性,1,3,108,200,物理防御增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000205,22001,7,韧性,1,4,108,225,物理防御增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000206,22001,8,韧性,1,4,108,250,物理防御增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000207,22001,9,抗性,1,3,110,175,魔法防御增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000208,22001,10,抗性,1,3,110,200,魔法防御增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000209,22001,11,抗性,1,4,110,225,魔法防御增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000210,22001,12,抗性,1,4,110,250,魔法防御增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000211,22001,13,心性,1,3,130,175,神术防御增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000212,22001,14,心性,1,3,130,200,神术防御增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000213,22001,15,心性,1,4,130,225,神术防御增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000214,22001,16,心性,1,4,130,250,神术防御增加2.5%,99,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000215,22001,17,敏捷,1,3,14,175,闪避概率增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000216,22001,18,敏捷,1,3,14,200,闪避概率增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000217,22001,19,敏捷,1,4,14,225,闪避概率增加2.25%,99,2250,0,0,0,0,0,0,0,0,0,0,0,0,0
