id,Resources,body,type,dynamic_type,dynamic_Resources,dynamic_num,hero_spine,timetype,timevalue,open,condition,judge,item,name,dec,sort
10002001,hero2001,0,1,0,0,0,2001,0,0,1,2001,0,0,怒火狂刃,获得英雄怒火狂刃,121
10002002,hero2002,0,1,0,0,0,2002,0,0,1,2002,0,0,无畏之斧,获得英雄无畏之斧,122
10002003,hero2003,0,1,0,0,0,2003,0,0,1,2003,0,0,燎原暗箭,获得英雄燎原暗箭,123
10002004,hero2004,0,1,0,0,0,2004,0,0,1,2004,0,0,炎魂祭司,获得英雄炎魂祭司,124
10002005,hero2005,0,1,0,0,0,2005,0,0,1,2005,0,0,不屈战魂,获得英雄不屈战魂,125
10002006,hero2006,0,1,0,0,0,2006,0,0,1,2006,0,0,赤炎之锤,获得英雄赤炎之锤,126
10002007,hero2007,0,1,0,0,0,2007,0,0,1,2007,0,0,胜利长枪,获得英雄胜利长枪,127
10002008,hero2008,0,1,0,0,0,2008,0,0,1,2008,0,0,圣焰王女,获得英雄圣焰王女,128
10002009,hero2009,0,1,0,0,0,2009,0,0,1,2009,0,0,林中女巫,获得英雄林中女巫,129
10002010,hero2010,0,1,0,0,0,2010,0,0,1,2010,0,0,圣焰刀锋,获得英雄圣焰刀锋,130
10002011,hero2011,0,1,0,0,0,2011,0,0,1,2011,0,0,异族女王,获得英雄异族女王,131
10002012,hero2012,0,1,0,0,0,2012,0,0,1,2012,0,0,图腾之心,获得英雄图腾之心,132
10002013,hero2013,0,1,0,0,0,2013,0,0,1,2013,0,0,燃魂之矛,获得英雄燃魂之矛,133
10002014,hero2014,0,1,0,0,0,2014,0,0,1,2014,0,0,圣焰战士,获得英雄圣焰战士,134
10002015,hero2015,0,1,0,0,0,2015,0,0,1,2015,0,0,圣焰驯兽师,获得英雄圣焰驯兽师,135
10003001,hero3001,0,1,0,0,0,3001,0,0,1,3001,0,0,不朽剑魔,获得英雄不朽剑魔,136
10003002,hero3002,0,1,0,0,0,3002,0,0,1,3002,0,0,风雷魔巫,获得英雄风雷魔巫,137
10003003,hero3003,0,1,0,0,0,3003,0,0,1,3003,0,0,雷鸣圣主,获得英雄雷鸣圣主,138
10003004,hero3004,0,1,0,0,0,3004,0,0,1,3004,0,0,暗域行者,获得英雄暗域行者,139
10003005,hero3005,0,1,0,0,0,3005,0,0,1,3005,0,0,圣王之手,获得英雄圣王之手,140
10003006,hero3006,0,1,0,0,0,3006,0,0,1,3006,0,0,驱雷之手,获得英雄驱雷之手,141
10003007,hero3007,0,1,0,0,0,3007,0,0,1,3007,0,0,幻影守卫,获得英雄幻影守卫,142
10003008,hero3008,0,1,0,0,0,3008,0,0,1,3008,0,0,影域修罗,获得英雄影域修罗,143
10003009,hero3009,0,1,0,0,0,3009,0,0,1,3009,0,0,黑暗神官,获得英雄黑暗神官,144
10003010,hero3010,0,1,0,0,0,3010,0,0,1,3010,0,0,裁决判官,获得英雄裁决判官,145
10003011,hero3011,0,1,0,0,0,3011,0,0,1,3011,0,0,影之罗刹,获得英雄影之罗刹,146
10003012,hero3012,0,1,0,0,0,3012,0,0,1,3012,0,0,暗之剑豪,获得英雄暗之剑豪,147
10003013,hero3013,0,1,0,0,0,3013,0,0,1,3013,0,0,暗雷护卫,获得英雄暗雷护卫,148
10003014,hero3014,0,1,0,0,0,3014,0,0,1,3014,0,0,暗雷勇士,获得英雄暗雷勇士,149
10004001,hero4001,0,1,0,0,0,4001,0,0,1,4001,0,0,神愈之光,获得英雄神愈之光,150
10004002,hero4002,0,1,0,0,0,4002,0,0,1,4002,0,0,秘林刺客,获得英雄秘林刺客,151
10004003,hero4003,0,1,0,0,0,4003,0,0,1,4003,0,0,野性之眼,获得英雄野性之眼,152
10004004,hero4004,0,1,0,0,0,4004,0,0,1,4004,0,0,幻林使者,获得英雄幻林使者,153
10004005,hero4005,0,1,0,0,0,4005,0,0,1,4005,0,0,复苏巫士,获得英雄复苏巫士,154
10004006,hero4006,0,1,0,0,0,4006,0,0,1,4006,0,0,疾风剑客,获得英雄疾风剑客,155
10004007,hero4007,0,1,0,0,0,4007,0,0,1,4007,0,0,绝世剑舞,获得英雄绝世剑舞,156
10004008,hero4008,0,1,0,0,0,4008,0,0,1,4008,0,0,神峰守护,获得英雄神峰守护,157
10004009,hero4009,0,1,0,0,0,4009,0,0,1,4009,0,0,缚法旅者,获得英雄缚法旅者,158
10004010,hero4010,0,1,0,0,0,4010,0,0,1,4010,0,0,贯天之箭,获得英雄贯天之箭,159
10004011,hero4011,0,1,0,0,0,4011,0,0,1,4011,0,0,神力之石,获得英雄神力之石,160
10004012,hero4012,0,1,0,0,0,4012,0,0,1,4012,0,0,密林智者,获得英雄密林智者,161
10004013,hero4013,0,1,0,0,0,4013,0,0,1,4013,0,0,神峰之力,获得英雄神峰之力,162
10004014,hero4014,0,1,0,0,0,4014,0,0,1,4014,0,0,神峰护卫,获得英雄神峰护卫,163
10004015,hero4015,0,1,0,0,0,4015,0,0,1,4015,0,0,秘境精灵,获得英雄秘境精灵,164
10005001,hero5001,0,1,0,0,0,5001,0,0,1,5001,0,0,审判利刃,获得英雄审判利刃,165
10005002,hero5002,0,1,0,0,0,5002,0,0,1,5002,0,0,创世双子,获得英雄创世双子,166
10005003,hero5003,0,1,0,0,0,5003,0,0,1,5003,0,0,时序天使,获得英雄时序天使,167
10005004,hero5004,0,1,0,0,0,5004,0,0,1,5004,0,0,黎明圣炎,获得英雄黎明圣炎,168
10005005,hero5005,0,1,0,0,0,5005,0,0,1,5005,0,0,湿婆,获得英雄湿婆,169
10005006,hero5006,0,1,0,0,0,5006,0,0,1,5006,0,0,众神之王,获得英雄众神之王,170
10005007,hero5007,0,1,0,0,0,5007,0,0,1,5007,0,0,齐天大圣,获得英雄齐天大圣,171
10006001,hero6001,0,1,0,0,0,6001,0,0,1,6001,0,0,暗域之炎,获得英雄暗域之炎,172
10006002,hero6002,0,1,0,0,0,6002,0,0,1,6002,0,0,支配魔眼,获得英雄支配魔眼,173
10006003,hero6003,0,1,0,0,0,6003,0,0,1,6003,0,0,逆时之影,获得英雄逆时之影,174
10006007,hero6007,0,1,0,0,0,6007,0,0,1,6007,0,0,霜寒之星,获得英雄霜寒之星,175
10006008,hero6008,0,1,0,0,0,6008,0,0,1,6008,0,0,暗渊巨魔,获得英雄暗渊巨魔,176
10006009,hero6009,0,1,0,0,0,6009,0,0,1,6009,0,0,哈奴曼,获得英雄哈奴曼,177
10007001,hero7001,0,1,0,0,0,7001,0,0,1,7001,0,0,星辰领主,获得英雄星辰领主,178
10007002,hero7002,0,1,0,0,0,7002,0,0,1,7002,0,0,暗月女王,获得英雄暗月女王,179
10007003,hero7003,0,1,0,0,0,7003,0,0,1,7003,0,0,圣诞老人,获得英雄圣诞老人,180
10008005,hero8005,0,1,0,0,0,8005,0,0,1,8005,0,0,BOSS,获得英雄BOSS,181
1000,frame1000,0,2,0,0,0,0,0,0,0,0,0,0,魔法伊始,创建角色时赠送,1
20001001,frame1001,0,2,0,0,0,0,0,0,0,0,2,51000001,至尊收藏,英雄收藏家排行榜第一名稀有头像框奖励,2
20002002,frame1002,0,2,0,0,0,0,0,0,0,0,2,51000002,无畏英雄,英雄收藏家排行榜第二名稀有头像框奖励,3
20002003,frame1003,0,2,0,0,0,0,0,0,0,0,2,51000003,荣耀馈赠,英雄收藏家排行榜第三名稀有头像框奖励,4
20002004,frame1003,0,2,0,0,0,0,0,0,0,0,2,51000005,头像框测试,头像测试,181
30000001,hero1018,0,1,0,0,0,0,0,0,0,0,2,51000004,头像测试,头像测试,182
30000002,hero1012,0,1,0,0,0,0,0,0,0,0,2,51000006,头像测试,头像测试,183
20002005,frame1009,0,2,0,0,0,0,0,0,0,0,2,51010001,S1至尊冠军,S1赛季至尊第1名奖励,5
20002006,frame1008,0,2,0,0,0,0,0,0,0,0,2,51010002,S1至尊亚军,S1赛季至尊第2名奖励,6
20002007,frame1007,0,2,0,0,0,0,0,0,0,0,2,51010003,S1至尊季军,S1赛季至尊第3名奖励,7
20002008,frame1006,0,2,0,0,0,0,0,0,0,0,2,51010004,S1至尊段位,S1赛季达到至尊段位奖励,8
20002009,frame1005,0,2,0,0,0,0,0,0,0,0,2,51010005,S1大师段位,S1赛季达到大师段位奖励,9
20002010,frame1004,0,2,0,0,0,0,0,0,0,0,2,51010006,S1钻石段位,S1赛季达到钻石段位奖励,10
20002012,frame1011,0,2,0,0,0,0,0,0,0,0,2,51010008,S2至尊冠军,S2赛季至尊第1名奖励,11
20002013,frame1012,0,2,0,0,0,0,0,0,0,0,2,51010009,S2至尊亚军,S2赛季至尊第2名奖励,12
20002014,frame1013,0,2,0,0,0,0,0,0,0,0,2,51010010,S2至尊季军,S2赛季至尊第3名奖励,13
20002015,frame1014,0,2,0,0,0,0,0,0,0,0,2,51010011,S2至尊段位,S2赛季达到至尊段位奖励,14
20002016,frame1015,0,2,0,0,0,0,0,0,0,0,2,51010012,S2大师段位,S2赛季达到大师段位奖励,15
20002017,frame1016,0,2,0,0,0,0,0,0,0,0,2,51010013,S2钻石段位,S2赛季达到钻石段位奖励,16
20002018,frame1017,0,2,0,0,0,0,0,0,0,0,2,51010014,S3至尊冠军,S3赛季至尊第1名奖励,17
20002019,frame1018,0,2,0,0,0,0,0,0,0,0,2,51010015,S3至尊亚军,S3赛季至尊第2名奖励,18
20002020,frame1019,0,2,0,0,0,0,0,0,0,0,2,51010016,S3至尊季军,S3赛季至尊第3名奖励,19
20002021,frame1020,0,2,0,0,0,0,0,0,0,0,2,51010017,S3至尊段位,S3赛季达到至尊段位奖励,20
20002022,frame1021,0,2,0,0,0,0,0,0,0,0,2,51010018,S3大师段位,S3赛季达到大师段位奖励,21
20002023,frame1022,0,2,0,0,0,0,0,0,0,0,2,51010019,S3钻石段位,S3赛季达到钻石段位奖励,22
20002024,frame1023,0,2,0,0,0,0,0,0,0,0,2,51010020,S4至尊冠军,S4赛季至尊第1名奖励,23
20002025,frame1024,0,2,0,0,0,0,0,0,0,0,2,51010021,S4至尊亚军,S4赛季至尊第2名奖励,24
20002026,frame1025,0,2,0,0,0,0,0,0,0,0,2,51010022,S4至尊季军,S4赛季至尊第3名奖励,25
20002027,frame1020,0,2,0,0,0,0,0,0,0,0,2,51010017,S4至尊段位,S4赛季达到至尊段位奖励,26
20002028,frame1021,0,2,0,0,0,0,0,0,0,0,2,51010018,S4大师段位,S4赛季达到大师段位奖励,27
20002029,frame1022,0,2,0,0,0,0,0,0,0,0,2,51010019,S4钻石段位,S4赛季达到钻石段位奖励,28
20002030,frame1029,0,2,0,0,0,0,0,0,0,0,2,51010023,S5至尊冠军,S5赛季至尊第1名奖励,29
20002031,frame1030,0,2,0,0,0,0,0,0,0,0,2,51010024,S5至尊亚军,S5赛季至尊第2名奖励,30
20002032,frame1031,0,2,0,0,0,0,0,0,0,0,2,51010025,S5至尊季军,S5赛季至尊第3名奖励,31
20002033,frame1020,0,2,0,0,0,0,0,0,0,0,2,51010017,S5至尊段位,S5赛季达到至尊段位奖励,32
20002034,frame1021,0,2,0,0,0,0,0,0,0,0,2,51010018,S5大师段位,S5赛季达到大师段位奖励,33
20002035,frame1022,0,2,0,0,0,0,0,0,0,0,2,51010019,S5钻石段位,S5赛季达到钻石段位奖励,34
40100101,hero1001,0,1,1,dynamic_1001,9,1001,0,0,0,0,2,52100101,天命骑士动态头像,天命骑士成长礼包成就奖励,1
40100102,hero5007,0,1,1,dynamic_1001,9,1001,0,0,0,0,2,52100102,天命骑士动态头像,天命骑士成长礼包成就奖励,2
40500701,hero5007,0,1,1,dynamic_5007,9,5007,0,0,0,0,2,52500701,齐天大圣动态头像,齐天大圣成长礼包成就奖励,3
40500702,hero5007,0,1,1,dynamic_5007,9,5007,0,0,0,0,2,52500702,齐天大圣动态头像,齐天大圣成长礼包成就奖励,4
40600701,hero6007,0,1,1,dynamic_6007,16,6007,0,0,0,0,2,52600701,霜寒之星动态头像,霜寒之星成长礼包成就奖励,5
40600702,hero6007,0,1,1,dynamic_6007,16,6007,0,0,0,0,2,52600702,霜寒之星动态头像,霜寒之星成长礼包成就奖励,6
