id,name,icon,quality,intr,sketch,remark,effecthero,effectcamp
70000037,淬炼之甲,tb.png,3,每赢得一场战斗，英雄英雄的防御等级都会提高5％，最多可以提高40％。,一段简述,史诗,0,0
70000038,淬炼之甲,tb.png,1,每赢得一场战斗，英雄英雄的防御等级都会提高3％，最多可以提高12％。,一段简述,稀有,0,0
70000039,淬炼之甲,tb.png,2,每赢得一场战斗，英雄英雄的防御等级都会提高4％，最多可以提高20％。,一段简述,精英,0,0
70000040,世界树枝叶,tb.png,2,战斗结束时，所有未阵亡英雄恢复已损失生命值的25%,一段简述,精英,0,0
70000041,世界树枝叶,tb.png,3,战斗结束时，所有未阵亡英雄恢复已损失生命值的40%,一段简述,史诗,0,0
70000042,世界树枝叶,tb.png,1,战斗结束时，所有未阵亡英雄恢复已损失生命值的15%,一段简述,稀有,0,0
70000043,雷电神符,tb.png,3,周期性的产生落雷攻击随机敌人造成伤害与短暂眩晕,一段简述,史诗,0,0
70000044,能量碎片,tb.png,1,单独使用时没有能量的能量碎片，但与其他碎片结合使用时，能量碎片会大大增加。
武力碎片能够使所有盟军英雄受益，并且会根据玩家拥有的人数而增加力量。
超过2个力量碎片：受到的伤害降低15％。
超过3个力量碎片：造成的伤害提高25％。
超过4个力量碎片：暴击等级提高40％。,一段简述,稀有,0,0
70000045,幻术勾玉,tb.png,3,战斗开始时使所有敌人的生命降低35％。敌人的健康状况将在战斗的前10秒内逐渐恢复。,一段简述,史诗,0,0
70000046,猎手之爪,tb.png,2,敌人拥有的生命值越高，对其造成的伤害就越大。伤害提高最多25％。,一段简述,精英,0,0
70000047,耀光荣耀,tb.png,2,卢修斯的技能圣光护体的持续时间变为无限,一段简述,精英,0,0
70000048,蛮血巨斧,tb.png,2,蛮血部落英雄的攻击等级提高20％，生命吸取提高20％。,一段简述,精英,0,0
70000049,蛮血巨斧,tb.png,3,蛮血部落英雄的攻击等级提高30％，生命吸取提高30％。,一段简述,史诗,0,0
70000050,蛮血巨斧,tb.png,1,蛮血部落英雄的攻击等级提高10％，生命吸取提高15％,一段简述,稀有,0,0
70000051,毁灭神符,tb.png,3,战斗开始第25秒时，对多有敌人造成一次高额伤害与眩晕,一段简述,史诗,0,0
70000052,改良弩弓,tb.png,2,我可使用中级技能狂怒射击期间，每次射击时总是额外发射2支箭矢,一段简述,精英,0,0
70000053,淬炼之剑,tb.png,2,每赢得一场战斗，英雄英雄的攻击等级都会提高4％，最多可以提高20％。,一段简述,精英,0,0
70000054,淬炼之剑,tb.png,3,每赢得一场战斗，英雄英雄的攻击等级都会提高5％，最多可以提高40％。,一段简述,史诗,0,0
70000055,淬炼之剑,tb.png,1,每赢得一场战斗，英雄英雄的攻击等级都会提高3％，最多可以提高12％。,一段简述,稀有,0,0
70000056,吸血鬼之牙,tb.png,2,生命汲取+ 15％,一段简述,精英,0,0
70000057,吸血鬼之牙,tb.png,3,生命偷取+ 25％,一段简述,史诗,0,0
70000058,吸血鬼之牙,tb.png,1,生命吸取+ 10％,一段简述,稀有,0,0
70000059,亡灵法球,tb.png,3,每个出场的己方亡灵军团英雄，使己方所有英雄攻击力10%,一段简述,史诗,0,0
70000060,亡灵法球,tb.png,2,每个出场的己方亡灵军团英雄，使己方所有英雄攻击力6%,一段简述,精英,0,0
70000061,亡灵法球,tb.png,1,每个出场的己方亡灵军团英雄，使己方所有英雄攻击力2%,一段简述,稀有,0,0
70000062,复苏戒指,tb.png,2,战斗开始15秒，使最虚弱的己方英雄恢复最大生命的30%,一段简述,精英,0,0
70000063,复苏戒指,tb.png,1,战斗开始15秒，使最虚弱的己方英雄恢复最大生命的20%,一段简述,稀有,0,0
70000064,复苏戒指,tb.png,3,战斗开始15秒，使最虚弱的己方英雄恢复最大生命的10%,一段简述,史诗,0,0
70000065,退魔之矢,tb.png,2,己方后排中央的角色的普攻将会移除目标身上的大部分增益状态,一段简述,精英,0,0
70000066,蛮血之牙,tb.png,3,每个出场的蛮血部落英雄，使己方所有英雄吸血等级上升8,一段简述,史诗,0,0
70000067,蛮血之牙,tb.png,2,每个出场的蛮血部落英雄，使己方所有英雄吸血等级上升5,一段简述,精英,0,0
70000068,蛮血之牙,tb.png,1,每个出场的蛮血部落英雄，使己方所有英雄吸血等级上升2,一段简述,稀有,0,0
70000069,嗜血之爪,tb.png,2,己方击杀敌人时，恢复最大生命的24%,一段简述,精英,0,0
70000070,帝国手镯,tb.png,2,每个出场的己方耀光帝国英雄，使己方所有英雄防御上升15%,一段简述,精英,0,0
70000071,帝国手镯,tb.png,3,每个出场的己方耀光帝国英雄，使己方所有英雄防御上升25%,一段简述,史诗,0,0
70000072,帝国手镯,tb.png,1,每个出场的己方耀光帝国英雄，使己方所有英雄防御上升10%,一段简述,稀有,0,0
70000073,森林祝福,tb.png,2,尼莫拉使用终极技能复苏时。同时给每个受影响的对应事假滋养的持续恢复效果,一段简述,精英,0,0
70000074,狮子之心,tb.png,2,在使用布鲁图斯的“ Last Grasp”技能时，每当他杀死或助攻时，其无敌效果持续时间都会刷新。,一段简述,精英,0,0
70000075,秘法宝典,tb.png,2,技能死亡一指将同时攻击3名敌人。,一段简述,精英,0,0
70000076,亡灵法典,tb.png,2,使亡灵的英雄的冷却时间缩短20％，每秒恢复20点能量。,一段简述,精英,0,0
70000077,亡灵法典,tb.png,3,使亡灵的英雄的冷却时间缩短30％，每秒恢复30点能量。,一段简述,史诗,0,0
70000078,亡灵法典,tb.png,1,使亡灵的英雄的冷却时间缩短10％，每秒恢复15点能量。,一段简述,稀有,0,0
70000079,萃毒双刃,tb.png,2,卡兹的攻击变得有毒，并且有毒效果可以叠加。,一段简述,精英,0,0
70000080,洞察之刃,tb.png,2,使塔娜的爆击伤害提高50％，并且每次爆击都会使敌人眩晕,一段简述,精英,0,0
70000081,日光石,tb.png,2,生命高于50%的己方英雄，将会持续恢复能量，如同时拥有【月之石】则恢复效果提升为2倍,一段简述,精英,0,0
70000082,活力戒指,tb.png,2,战斗时，己方受到的生命恢复效果提高80%,一段简述,精英,0,0
70000083,蛊惑权杖,tb.png,2,在战斗开始时，魅惑敌方前排3.5秒,一段简述,精英,0,0
70000084,蛊惑权杖,tb.png,1,战斗开始时，敌方英雄进入前线持续2秒，导致他们攻击自己的队伍,一段简述,稀有,0,0
70000085,蛊惑权杖,tb.png,3,战斗开始时，敌方英雄进入前线持续5秒，导致他们攻击自己的队伍,一段简述,史诗,0,0
70000086,充盈号角,tb.png,2,在战斗开始时，您的身边的能量补充了120点。,一段简述,精英,0,0
70000087,充盈号角,tb.png,1,在战斗开始时，己方出场英雄回复60能量,一段简述,稀有,0,0
70000088,先锋战旗,tb.png,3,前排英雄的防御+ 25％，受伤回能+ 40％。,一段简述,史诗,0,0
70000089,先锋战旗,tb.png,2,前排英雄的防御+ 15％，受伤时能量恢复率+ 20％。,一段简述,精英,0,0
70000090,先锋战旗,tb.png,1,前排英雄的防御+ 10％，受伤时能量恢复率+ 10％,一段简述,稀有,0,0
70000091,血色围巾,tb.png,2,如果卡索斯在使用“投掷斧头”技能时成功抓住了他的返回投掷斧头，它将立即再次使用。,一段简述,精英,0,0
70000092,倒刺匕首,tb.png,2,暴击伤害+60%,一段简述,精英,0,0
70000093,倒刺匕首,tb.png,2,暴击伤害+40%,一段简述,精英,0,0
70000094,野兽之爪,tb.png,3,基于敏捷的英雄造成的伤害提高30％，生命汲取+ 10％,一段简述,史诗,0,0
70000095,野兽之爪,tb.png,2,基于敏捷的英雄造成的伤害提高20％。,一段简述,精英,0,0
70000096,野兽之爪,tb.png,1,基于敏捷的英雄造成的伤害额外提高10％,一段简述,稀有,0,0
70000097,藏物柜,tb.png,2,每拥有一个精英或传奇遗物，所有盟军英雄的健康和防御等级提高1.5％，最多可提高15％。,一段简述,精英,0,0
70000098,藏物柜,tb.png,3,每拥有一个精英或传奇遗物，所有盟军英雄的健康和防御等级提高2.5％，最多可以提高30％。,一段简述,史诗,0,0
70000099,银色箭矢,tb.png,2,对派系伤害优势附加60％伤害。,一段简述,精英,0,0
70000100,银色箭矢,tb.png,3,对派系伤害优势附加100％伤害。,一段简述,史诗,0,0
70000101,银色箭矢,tb.png,1,对派系伤害优势附加40％伤害。,一段简述,稀有,0,0
70000102,远征旌旗,tb.png,2,仅在第三层地狱难度中，提升20%攻击与防御,一段简述,精英,0,0
70000103,远征旌旗,tb.png,3,仅在第三层地狱难度中，提升20%攻击与防御,一段简述,史诗,0,0
70000104,远征旌旗,tb.png,1,仅在第三层地狱难度中，提升12%攻击与防御,一段简述,稀有,0,0
70000105,精灵弓,tb.png,3,战斗期间，每15秒会想对手半场发射一波箭雨造成伤害,一段简述,史诗,0,0
70000106,毒液之爪,tb.png,2,己方普通攻击将有几率造成中毒，该中毒的威力可以叠加,一段简述,精英,0,0
70000107,夺魂宝珠,tb.png,2,雪米拉能够使用“灵魂虹吸”同时从3个敌人,一段简述,精英,0,0
70000108,月之石,tb.png,2,能量高于50%的己方英雄，将会持续恢复生命,一段简述,精英,0,0
70000109,追击号角,tb.png,2,每当敌人被杀至战斗结束时，提高所有友军英雄的属性。,一段简述,精英,0,0
70000110,协同战略,tb.png,2,当仍有前线英雄还活着时，将友善的后线英雄受到的伤害降低50％。,一段简述,精英,0,0
70000111,协同战略,tb.png,3,当仍有前线英雄还活着时，将友善的后线英雄受到的伤害降低70％。,一段简述,史诗,0,0
70000112,协同战略,tb.png,1,当仍有前线英雄还活着时，使友善的后线英雄受到的伤害降低30％。,一段简述,稀有,0,0
70000113,援护战旗,tb.png,2,后排英雄攻击+10%，暴击+15%,一段简述,精英,0,0
70000114,援护战旗,tb.png,3,后排英雄攻击+20%，暴击+30%,一段简述,史诗,0,0
70000115,援护战旗,tb.png,1,后排英雄攻击+5%，暴击+10%,一段简述,稀有,0,0
70000116,蛛丝手套,tb.png,3,所有敌人都被蜘蛛丝包裹5秒钟。如果对敌人造成一定程度的伤害，效果将更早结束。,一段简述,史诗,0,0
70000117,光耀法杖,tb.png,2,贝琳达的“祝福”能力与她的所有队友都享有。,一段简述,精英,0,0
70000118,神圣之锤,tb.png,3,每次造成伤害时有几率附加神圣打击造成额外伤害,一段简述,史诗,0,0
70000119,巧手护腕,tb.png,2,命中+50，暴击+10%,一段简述,精英,0,0
70000120,巧手护腕,tb.png,2,命中+20，暴击+5%,一段简述,精英,0,0
70000121,巨神之礼,tb.png,2,战斗开始时，我方当前生命高于95%的英雄，提升20%攻击力直到战斗结束,一段简述,精英,0,0
70000122,绿裔神石,tb.png,2,每个出场的己方绿裔联盟英雄，使己方所有英雄闪避上升8,一段简述,精英,0,0
70000123,绿裔神石,tb.png,3,每个出场的己方绿裔联盟英雄，使己方所有英雄闪避上升12,一段简述,史诗,0,0
70000124,奇迹之弓,tb.png,2,莱卡普攻与技能快速射击都将同时攻击3名不同的敌人,一段简述,精英,0,0
70000125,神泪之华,tb.png,2,使用艾雅之泪后获得攻击提升30%，本次挑战最多叠加4次,一段简述,精英,0,0
70000126,时间沙漏,tb.png,1,战斗开始时，己方出场英雄获得6秒的加速效果,一段简述,稀有,0,0
70000127,时间沙漏,tb.png,2,战斗开始时，己方出场英雄获得10秒的加速效果,一段简述,精英,0,0
70000128,嗜血之爪,tb.png,1,己方击杀敌人时，恢复最大生命的16%,一段简述,稀有,0,0
70000129,陷阵之志,tb.png,2,进入敌方半场的友军防御+20%，吸血+15%,一段简述,精英,0,0
70000130,陷阵之志,tb.png,3,进入敌方半场的友军防御+30%，吸血+20%,一段简述,史诗,0,0
70000131,兴奋药剂,tb.png,3,本场战斗中，己方英雄击杀一个敌人，自身的回能速度增加100%，可叠加,一段简述,史诗,0,0
70000132,兴奋药剂,tb.png,2,本场战斗中，己方英雄击杀一个敌人，自身的回能速度增加50%，可叠加,一段简述,精英,0,0
70000133,勇气之心,tb.png,2,己方剩余生命越低时，造成伤害越高。至多提高35%,一段简述,精英,0,0
70000134,勇气之心,tb.png,1,己方剩余生命越低时，造成伤害越高。至多提高25%,一段简述,稀有,0,0
70000135,自然精粹,tb.png,2,枯甲之魂的中级技能森罗万象将不消耗能量,一段简述,精英,0,0
70000136,惧生灵兽,tb.png,3,当我方半场没有敌人时，所有友军提升30点急速,一段简述,史诗,0,0
70000137,惧生灵兽,tb.png,2,当我方半场没有敌人时，所有友军提升20点急速,一段简述,精英,0,0
70000138,稻草娃娃,tb.png,2,随机一名敌人英雄受到的伤害增加100%，持续15秒，该单位在效果持续时间里持续时间内死亡时，该效果还会传递给其他敌人,一段简述,精英,0,0
70000139,诅咒勾玉,tb.png,3,战斗开始10秒内，一名敌方英雄受到伤害时，其余所有敌方英雄也将失去相当于该伤害15%的生命。,一段简述,史诗,0,0
70000140,坚韧戒指,tb.png,2,己方受到负面状态持续时间缩短50%,一段简述,精英,0,0
70000141,浩劫绳结,tb.png,3,我方5名英雄使用过必杀技时，对敌方全体造成一次伤害和眩晕,一段简述,史诗,0,0
