id,activity_type,activity_periods,item,num,needitem1,neednum1,needitem2,neednum2,needitem3,neednum3,needitem4,neednum4,frequency
70,1700,5,11600101,1,83000001,450,0,0,0,0,0,0,4
71,1700,5,30100101,9,83000001,60,0,0,0,0,0,0,10
72,1700,5,30100102,9,83000001,60,0,0,0,0,0,0,10
73,1700,5,30100103,9,83000001,60,0,0,0,0,0,0,10
74,1700,5,30100104,9,83000001,60,0,0,0,0,0,0,10
75,1700,5,40000003,30,83000001,25,0,0,0,0,0,0,10
76,1700,5,40000004,25,83000001,30,0,0,0,0,0,0,15
77,1700,5,30020008,20,83000001,75,0,0,0,0,0,0,20
78,1700,5,82000001,2,83000001,50,0,0,0,0,0,0,20
79,1700,5,91000056,1000,83000001,150,0,0,0,0,0,0,10
80,1700,5,91000001,30000,83000001,1,0,0,0,0,0,0,999
81,1704,1,11100501,1,83000002,300,0,0,0,0,0,0,4
82,1704,1,11200101,1,83000002,300,0,0,0,0,0,0,4
83,1704,1,11300301,1,83000002,300,0,0,0,0,0,0,4
84,1704,1,11400101,1,83000002,300,0,0,0,0,0,0,4
85,1704,1,11500701,1,83000002,450,0,0,0,0,0,0,4
86,1704,1,11600201,1,83000002,450,0,0,0,0,0,0,4
87,1704,1,30100101,9,83000002,60,0,0,0,0,0,0,10
88,1704,1,30100102,9,83000002,60,0,0,0,0,0,0,10
89,1704,1,30100103,9,83000002,60,0,0,0,0,0,0,10
90,1704,1,30100104,9,83000002,60,0,0,0,0,0,0,10
91,1704,1,40000003,30,83000002,25,0,0,0,0,0,0,10
92,1704,1,40000004,25,83000002,30,0,0,0,0,0,0,15
93,1704,1,30020008,20,83000002,75,0,0,0,0,0,0,20
94,1704,1,82000001,2,83000002,50,0,0,0,0,0,0,20
95,1704,1,91000056,1000,83000002,150,0,0,0,0,0,0,10
96,1704,1,91000001,30000,83000002,1,0,0,0,0,0,0,999
97,1704,2,11100501,1,83000002,300,0,0,0,0,0,0,4
98,1704,2,11200101,1,83000002,300,0,0,0,0,0,0,4
99,1704,2,11300301,1,83000002,300,0,0,0,0,0,0,4
100,1704,2,11400101,1,83000002,300,0,0,0,0,0,0,4
101,1704,2,11500701,1,83000002,450,0,0,0,0,0,0,4
102,1704,2,11600201,1,83000002,450,0,0,0,0,0,0,4
103,1704,2,30100101,9,83000002,60,0,0,0,0,0,0,10
104,1704,2,30100102,9,83000002,60,0,0,0,0,0,0,10
105,1704,2,30100103,9,83000002,60,0,0,0,0,0,0,10
106,1704,2,30100104,9,83000002,60,0,0,0,0,0,0,10
107,1704,2,40000003,30,83000002,25,0,0,0,0,0,0,10
108,1704,2,40000004,25,83000002,30,0,0,0,0,0,0,15
109,1704,2,30020008,20,83000002,75,0,0,0,0,0,0,20
110,1704,2,82000001,2,83000002,50,0,0,0,0,0,0,20
111,1704,2,91000056,1000,83000002,150,0,0,0,0,0,0,10
112,1704,2,91000001,30000,83000002,1,0,0,0,0,0,0,999
113,1705,1,11101001,1,83000003,300,0,0,0,0,0,0,4
114,1705,1,11200601,1,83000003,300,0,0,0,0,0,0,4
115,1705,1,11300201,1,83000003,300,0,0,0,0,0,0,4
116,1705,1,11400901,1,83000003,300,0,0,0,0,0,0,4
117,1705,1,11500401,1,83000003,450,0,0,0,0,0,0,4
118,1705,1,11600701,1,83000003,450,0,0,0,0,0,0,4
119,1705,1,30100101,9,83000003,60,0,0,0,0,0,0,10
120,1705,1,30100102,9,83000003,60,0,0,0,0,0,0,10
121,1705,1,30100103,9,83000003,60,0,0,0,0,0,0,10
122,1705,1,30100104,9,83000003,60,0,0,0,0,0,0,10
123,1705,1,40000003,30,83000003,25,0,0,0,0,0,0,10
124,1705,1,40000004,25,83000003,30,0,0,0,0,0,0,15
125,1705,1,30020008,20,83000003,75,0,0,0,0,0,0,20
126,1705,1,82000001,2,83000003,50,0,0,0,0,0,0,20
127,1705,1,91000056,1000,83000003,150,0,0,0,0,0,0,10
128,1705,1,91000001,30000,83000003,1,0,0,0,0,0,0,999
129,1705,2,11101001,1,83000003,300,0,0,0,0,0,0,4
130,1705,2,11200601,1,83000003,300,0,0,0,0,0,0,4
131,1705,2,11300201,1,83000003,300,0,0,0,0,0,0,4
132,1705,2,11600901,1,83000003,450,0,0,0,0,0,0,4
133,1705,2,11500401,1,83000003,450,0,0,0,0,0,0,4
134,1705,2,11600701,1,83000003,450,0,0,0,0,0,0,4
135,1705,2,30100101,9,83000003,60,0,0,0,0,0,0,10
136,1705,2,30100102,9,83000003,60,0,0,0,0,0,0,10
137,1705,2,30100103,9,83000003,60,0,0,0,0,0,0,10
138,1705,2,30100104,9,83000003,60,0,0,0,0,0,0,10
139,1705,2,40000003,30,83000003,25,0,0,0,0,0,0,10
140,1705,2,40000004,25,83000003,30,0,0,0,0,0,0,15
141,1705,2,30020008,20,83000003,75,0,0,0,0,0,0,20
142,1705,2,82000001,2,83000003,50,0,0,0,0,0,0,20
143,1705,2,91000056,1000,83000003,150,0,0,0,0,0,0,10
144,1705,2,91000001,30000,83000003,1,0,0,0,0,0,0,999
145,1705,3,11101001,1,83000003,300,0,0,0,0,0,0,4
146,1705,3,11200601,1,83000003,300,0,0,0,0,0,0,4
147,1705,3,11300201,1,83000003,300,0,0,0,0,0,0,4
148,1705,3,11600901,1,83000003,450,0,0,0,0,0,0,4
149,1705,3,11500401,1,83000003,450,0,0,0,0,0,0,4
150,1705,3,11600701,1,83000003,450,0,0,0,0,0,0,4
151,1705,3,30100101,9,83000003,60,0,0,0,0,0,0,10
152,1705,3,30100102,9,83000003,60,0,0,0,0,0,0,10
153,1705,3,30100103,9,83000003,60,0,0,0,0,0,0,10
154,1705,3,30100104,9,83000003,60,0,0,0,0,0,0,10
155,1705,3,40000003,30,83000003,25,0,0,0,0,0,0,10
156,1705,3,40000004,25,83000003,30,0,0,0,0,0,0,15
157,1705,3,30020008,20,83000003,75,0,0,0,0,0,0,20
158,1705,3,82000001,2,83000003,50,0,0,0,0,0,0,20
159,1705,3,91000056,1000,83000003,150,0,0,0,0,0,0,10
160,1705,3,91000001,30000,83000003,1,0,0,0,0,0,0,999
