id,upgrade_model_group,level,cost_item,cost_num,decompose_item,decompose_num,value,valueone,attribute_type1,attribute_value1
4016,64,16,91000027,56000,91000027,251200,32036,1600,99,1121080
4017,64,17,91000027,64000,91000027,307200,38763,1700,99,1332890
4018,64,18,91000027,72000,91000027,371200,46904,1800,99,1587120
4019,64,19,91000027,80000,91000027,443200,56753,1900,99,1892590
4020,64,20,0,0,91000027,523200,68672,2000,99,2260160
5001,71,1,91000027,25,91000027,25,10,50,99,8000
5002,71,2,91000027,50,91000027,50,18,100,99,15400
5003,71,3,91000027,100,91000027,100,30,150,99,24000
5004,71,4,91000027,200,91000027,200,48,200,99,34400
5005,71,5,91000027,400,91000027,400,73,250,99,46900
5006,71,6,91000027,800,91000027,800,102,300,99,60600
5007,71,7,91000027,1200,91000027,1600,133,350,99,74900
5008,71,8,91000027,1600,91000027,2800,173,400,99,91900
5009,71,9,91000027,2000,91000027,4400,224,450,99,112200
5010,71,10,91000027,2600,91000027,6400,286,500,99,135800
5011,71,11,91000027,3200,91000027,9000,364,550,99,164200
5012,71,12,91000027,3800,91000027,12200,459,600,99,197700
5013,71,13,91000027,4400,91000027,16000,573,650,99,236900
5014,71,14,91000027,5000,91000027,20400,711,700,99,283300
5015,71,15,91000027,6000,91000027,25400,875,750,99,337500
5016,71,16,91000027,7000,91000027,31400,1067,800,99,400100
5017,71,17,91000027,8000,91000027,38400,1292,850,99,472600
5018,71,18,91000027,9000,91000027,46400,1563,900,99,558900
5019,71,19,91000027,10000,91000027,55400,1891,950,99,662300
5020,71,20,0,0,91000027,65400,2289,1000,99,786700
6001,72,1,91000027,50,91000027,50,15,50,99,9500
6002,72,2,91000027,100,91000027,100,27,100,99,18100
6003,72,3,91000027,200,91000027,200,45,150,99,28500
6004,72,4,91000027,400,91000027,400,73,200,99,41900
6005,72,5,91000027,800,91000027,800,110,250,99,58000
6006,72,6,91000027,1600,91000027,1600,154,300,99,76200
6007,72,7,91000027,2400,91000027,3200,200,350,99,95000
6008,72,8,91000027,3200,91000027,5600,260,400,99,118000
6009,72,9,91000027,4000,91000027,8800,336,450,99,145800
6010,72,10,91000027,5200,91000027,12800,430,500,99,179000
6011,72,11,91000027,6400,91000027,18000,546,550,99,218800
6012,72,12,91000027,7600,91000027,24400,688,600,99,266400
6013,72,13,91000027,8800,91000027,32000,860,650,99,323000
6014,72,14,91000027,10000,91000027,40800,1067,700,99,390100
6015,72,15,91000027,12000,91000027,50800,1312,750,99,468600
6016,72,16,91000027,14000,91000027,62800,1601,800,99,560300
6017,72,17,91000027,16000,91000027,76800,1938,850,99,666400
6018,72,18,91000027,18000,91000027,92800,2345,900,99,793500
6019,72,19,91000027,20000,91000027,110800,2837,950,99,946100
6020,72,20,0,0,91000027,130800,3433,1000,99,1129900
7001,73,1,91000027,100,91000027,100,20,75,99,13500
7002,73,2,91000027,200,91000027,200,36,150,99,25800
7003,73,3,91000027,400,91000027,400,61,225,99,40800
7004,73,4,91000027,800,91000027,800,97,300,99,59100
7005,73,5,91000027,1600,91000027,1600,146,375,99,81300
7006,73,6,91000027,3200,91000027,3200,205,450,99,106500
7007,73,7,91000027,4800,91000027,6400,267,525,99,132600
7008,73,8,91000027,6400,91000027,11200,347,600,99,164100
7009,73,9,91000027,8000,91000027,17600,448,675,99,201900
7010,73,10,91000027,10400,91000027,25600,573,750,99,246900
7011,73,11,91000027,12800,91000027,36000,728,825,99,300900
7012,73,12,91000027,15200,91000027,48800,918,900,99,365400
7013,73,13,91000027,17600,91000027,64000,1147,975,99,441600
7014,73,14,91000027,20000,91000027,81600,1423,1050,99,531900
7015,73,15,91000027,24000,91000027,101600,1750,1125,99,637500
7016,73,16,91000027,28000,91000027,125600,2135,1200,99,760500
7017,73,17,91000027,32000,91000027,153600,2584,1275,99,902700
7018,73,18,91000027,36000,91000027,185600,3126,1350,99,1072800
7019,73,19,91000027,40000,91000027,221600,3783,1425,99,1277400
7020,73,20,0,0,91000027,261600,4578,1500,99,1523400
8001,74,1,91000027,200,91000027,200,30,100,99,19000
8002,74,2,91000027,400,91000027,400,54,200,99,36200
8003,74,3,91000027,800,91000027,800,91,300,99,57300
8004,74,4,91000027,1600,91000027,1600,146,400,99,83800
8005,74,5,91000027,3200,91000027,3200,220,500,99,116000
8006,74,6,91000027,6400,91000027,6400,308,600,99,152400
8007,74,7,91000027,9600,91000027,12800,400,700,99,190000
8008,74,8,91000027,12800,91000027,22400,521,800,99,236300
8009,74,9,91000027,16000,91000027,35200,672,900,99,291600
8010,74,10,91000027,20800,91000027,51200,860,1000,99,358000
8011,74,11,91000027,25600,91000027,72000,1093,1100,99,437900
8012,74,12,91000027,30400,91000027,97600,1377,1200,99,533100
8013,74,13,91000027,35200,91000027,128000,1721,1300,99,646300
8014,74,14,91000027,40000,91000027,163200,2134,1400,99,780200
8015,74,15,91000027,48000,91000027,203200,2625,1500,99,937500
8016,74,16,91000027,56000,91000027,251200,3203,1600,99,1120900
8017,74,17,91000027,64000,91000027,307200,3876,1700,99,1332800
8018,74,18,91000027,72000,91000027,371200,4690,1800,99,1587000
8019,74,19,91000027,80000,91000027,443200,5675,1900,99,1892500
8020,74,20,0,0,91000027,523200,6867,2000,99,2260100
9001,91,1,91000027,25,91000027,25,90,0,99,4500
9002,91,2,91000027,50,91000027,50,170,0,99,8500
9003,91,3,91000027,100,91000027,100,260,0,99,13000
9004,91,4,91000027,200,91000027,200,350,0,99,17500
9005,91,5,91000027,400,91000027,400,540,0,99,27000
9006,91,6,91000027,800,91000027,800,870,0,99,43500
9007,91,7,91000027,1200,91000027,1600,1300,0,99,65000
9008,91,8,91000027,1600,91000027,2800,1850,0,99,92500
9009,91,9,91000027,2000,91000027,4400,2540,0,99,127000
9010,91,10,91000027,2600,91000027,6400,3400,0,99,170000
9011,91,11,91000027,3200,91000027,9000,4440,0,99,222000
9012,91,12,91000027,3800,91000027,12200,5690,0,99,284500
9013,91,13,91000027,4400,91000027,16000,7200,0,99,360000
9014,91,14,91000027,5000,91000027,20400,9000,0,99,450000
9015,91,15,91000027,6000,91000027,25400,11130,0,99,556500
9016,91,16,91000027,7000,91000027,31400,13640,0,99,682000
9017,91,17,91000027,8000,91000027,38400,16590,0,99,829500
9018,91,18,91000027,9000,91000027,46400,20050,0,99,1002500
9019,91,19,91000027,10000,91000027,55400,24090,0,99,1204500
9020,91,20,0,0,91000027,65400,28800,0,99,1440000
10001,92,1,91000027,50,91000027,50,170,0,99,8500
10002,92,2,91000027,100,91000027,100,350,0,99,17500
10003,92,3,91000027,200,91000027,200,520,0,99,26000
10004,92,4,91000027,400,91000027,400,690,0,99,34500
10005,92,5,91000027,800,91000027,800,1090,0,99,54500
10006,92,6,91000027,1600,91000027,1600,1740,0,99,87000
10007,92,7,91000027,2400,91000027,3200,2600,0,99,130000
10008,92,8,91000027,3200,91000027,5600,3700,0,99,185000
10009,92,9,91000027,4000,91000027,8800,5090,0,99,254500
10010,92,10,91000027,5200,91000027,12800,6790,0,99,339500
10011,92,11,91000027,6400,91000027,18000,8870,0,99,443500
10012,92,12,91000027,7600,91000027,24400,11390,0,99,569500
10013,92,13,91000027,8800,91000027,32000,14400,0,99,720000
10014,92,14,91000027,10000,91000027,40800,17990,0,99,899500
10015,92,15,91000027,12000,91000027,50800,22250,0,99,1112500
10016,92,16,91000027,14000,91000027,62800,27280,0,99,1364000
10017,92,17,91000027,16000,91000027,76800,33180,0,99,1659000
10018,92,18,91000027,18000,91000027,92800,40100,0,99,2005000
10019,92,19,91000027,20000,91000027,110800,48190,0,99,2409500
10020,92,20,0,0,91000027,130800,57600,0,99,2880000
11001,93,1,91000027,100,91000027,100,260,0,99,13000
11002,93,2,91000027,200,91000027,200,520,0,99,26000
11003,93,3,91000027,400,91000027,400,780,0,99,39000
11004,93,4,91000027,800,91000027,800,1040,0,99,52000
11005,93,5,91000027,1600,91000027,1600,1630,0,99,81500
11006,93,6,91000027,3200,91000027,3200,2610,0,99,130500
11007,93,7,91000027,4800,91000027,6400,3900,0,99,195000
11008,93,8,91000027,6400,91000027,11200,5560,0,99,278000
11009,93,9,91000027,8000,91000027,17600,7630,0,99,381500
11010,93,10,91000027,10400,91000027,25600,10190,0,99,509500
11011,93,11,91000027,12800,91000027,36000,13310,0,99,665500
11012,93,12,91000027,15200,91000027,48800,17080,0,99,854000
11013,93,13,91000027,17600,91000027,64000,21600,0,99,1080000
11014,93,14,91000027,20000,91000027,81600,26990,0,99,1349500
11015,93,15,91000027,24000,91000027,101600,33380,0,99,1669000
11016,93,16,91000027,28000,91000027,125600,40920,0,99,2046000
11017,93,17,91000027,32000,91000027,153600,49780,0,99,2489000
11018,93,18,91000027,36000,91000027,185600,60160,0,99,3008000
11019,93,19,91000027,40000,91000027,221600,72280,0,99,3614000
11020,93,20,0,0,91000027,261600,86400,0,99,4320000
12001,94,1,91000027,200,91000027,200,430,0,99,21500
12002,94,2,91000027,400,91000027,400,860,0,99,43000
12003,94,3,91000027,800,91000027,800,1300,0,99,65000
12004,94,4,91000027,1600,91000027,1600,1730,0,99,86500
12005,94,5,91000027,3200,91000027,3200,2720,0,99,136000
12006,94,6,91000027,6400,91000027,6400,4350,0,99,217500
12007,94,7,91000027,9600,91000027,12800,6510,0,99,325500
12008,94,8,91000027,12800,91000027,22400,9260,0,99,463000
12009,94,9,91000027,16000,91000027,35200,12710,0,99,635500
12010,94,10,91000027,20800,91000027,51200,16980,0,99,849000
12011,94,11,91000027,25600,91000027,72000,22180,0,99,1109000
12012,94,12,91000027,30400,91000027,97600,28460,0,99,1423000
12013,94,13,91000027,35200,91000027,128000,36000,0,99,1800000
12014,94,14,91000027,40000,91000027,163200,44980,0,99,2249000
12015,94,15,91000027,48000,91000027,203200,55630,0,99,2781500
12016,94,16,91000027,56000,91000027,251200,68190,0,99,3409500
12017,94,17,91000027,64000,91000027,307200,82960,0,99,4148000
12018,94,18,91000027,72000,91000027,371200,100260,0,99,5013000
12019,94,19,91000027,80000,91000027,443200,120460,0,99,6023000
12020,94,20,0,0,91000027,523200,144000,0,99,7200000
13001,1061,1,91000027,25,91000027,25,5,0,99,4500
13002,1061,2,91000027,50,91000027,50,7,0,99,8500
13003,1061,3,91000027,100,91000027,100,10,0,99,13000
13004,1061,4,91000027,200,91000027,200,12,0,99,17500
13005,1061,5,91000027,400,91000027,400,14,0,99,27000
13006,1061,6,91000027,800,91000027,800,17,0,99,43500
13007,1061,7,91000027,1200,91000027,1600,19,0,99,65000
13008,1061,8,91000027,1600,91000027,2800,22,0,99,92500
13009,1061,9,91000027,2000,91000027,4400,24,0,99,127000
13010,1061,10,91000027,2600,91000027,6400,26,0,99,170000
13011,1061,11,91000027,3200,91000027,9000,29,0,99,222000
13012,1061,12,91000027,3800,91000027,12200,34,0,99,284500
13013,1061,13,91000027,4400,91000027,16000,38,0,99,360000
13014,1061,14,91000027,5000,91000027,20400,43,0,99,450000
13015,1061,15,91000027,6000,91000027,25400,48,0,99,556500
13016,1061,16,91000027,7000,91000027,31400,53,0,99,682000
13017,1061,17,91000027,8000,91000027,38400,58,0,99,829500
13018,1061,18,91000027,9000,91000027,46400,62,0,99,1002500
13019,1061,19,91000027,10000,91000027,55400,72,0,99,1204500
13020,1061,20,0,0,91000027,65400,86,0,99,1440000
14001,1062,1,91000027,50,91000027,50,24,0,99,8500
14002,1062,2,91000027,100,91000027,100,36,0,99,17500
14003,1062,3,91000027,200,91000027,200,48,0,99,26000
14004,1062,4,91000027,400,91000027,400,60,0,99,34500
14005,1062,5,91000027,800,91000027,800,72,0,99,54500
14006,1062,6,91000027,1600,91000027,1600,84,0,99,87000
14007,1062,7,91000027,2400,91000027,3200,96,0,99,130000
14008,1062,8,91000027,3200,91000027,5600,108,0,99,185000
14009,1062,9,91000027,4000,91000027,8800,120,0,99,254500
14010,1062,10,91000027,5200,91000027,12800,132,0,99,339500
14011,1062,11,91000027,6400,91000027,18000,144,0,99,443500
14012,1062,12,91000027,7600,91000027,24400,168,0,99,569500
14013,1062,13,91000027,8800,91000027,32000,192,0,99,720000
14014,1062,14,91000027,10000,91000027,40800,216,0,99,899500
14015,1062,15,91000027,12000,91000027,50800,240,0,99,1112500
14016,1062,16,91000027,14000,91000027,62800,264,0,99,1364000
14017,1062,17,91000027,16000,91000027,76800,288,0,99,1659000
14018,1062,18,91000027,18000,91000027,92800,312,0,99,2005000
14019,1062,19,91000027,20000,91000027,110800,360,0,99,2409500
14020,1062,20,0,0,91000027,130800,432,0,99,2880000
15001,1063,1,91000027,100,91000027,100,60,0,99,13000
15002,1063,2,91000027,200,91000027,200,90,0,99,26000
15003,1063,3,91000027,400,91000027,400,120,0,99,39000
15004,1063,4,91000027,800,91000027,800,150,0,99,52000
15005,1063,5,91000027,1600,91000027,1600,180,0,99,81500
15006,1063,6,91000027,3200,91000027,3200,210,0,99,130500
15007,1063,7,91000027,4800,91000027,6400,240,0,99,195000
15008,1063,8,91000027,6400,91000027,11200,270,0,99,278000
15009,1063,9,91000027,8000,91000027,17600,300,0,99,381500
15010,1063,10,91000027,10400,91000027,25600,330,0,99,509500
15011,1063,11,91000027,12800,91000027,36000,360,0,99,665500
15012,1063,12,91000027,15200,91000027,48800,420,0,99,854000
15013,1063,13,91000027,17600,91000027,64000,480,0,99,1080000
15014,1063,14,91000027,20000,91000027,81600,540,0,99,1349500
15015,1063,15,91000027,24000,91000027,101600,600,0,99,1669000
15016,1063,16,91000027,28000,91000027,125600,660,0,99,2046000
15017,1063,17,91000027,32000,91000027,153600,720,0,99,2489000
15018,1063,18,91000027,36000,91000027,185600,780,0,99,3008000
15019,1063,19,91000027,40000,91000027,221600,900,0,99,3614000
15020,1063,20,0,0,91000027,261600,1080,0,99,4320000
16001,1064,1,91000027,200,91000027,200,100,0,99,21500
16002,1064,2,91000027,400,91000027,400,150,0,99,43000
16003,1064,3,91000027,800,91000027,800,200,0,99,65000
16004,1064,4,91000027,1600,91000027,1600,250,0,99,86500
16005,1064,5,91000027,3200,91000027,3200,300,0,99,136000
16006,1064,6,91000027,6400,91000027,6400,350,0,99,217500
16007,1064,7,91000027,9600,91000027,12800,400,0,99,325500
16008,1064,8,91000027,12800,91000027,22400,450,0,99,463000
16009,1064,9,91000027,16000,91000027,35200,500,0,99,635500
16010,1064,10,91000027,20800,91000027,51200,550,0,99,849000
16011,1064,11,91000027,25600,91000027,72000,600,0,99,1109000
16012,1064,12,91000027,30400,91000027,97600,700,0,99,1423000
16013,1064,13,91000027,35200,91000027,128000,800,0,99,1800000
16014,1064,14,91000027,40000,91000027,163200,900,0,99,2249000
16015,1064,15,91000027,48000,91000027,203200,1000,0,99,2781500
16016,1064,16,91000027,56000,91000027,251200,1100,0,99,3409500
16017,1064,17,91000027,64000,91000027,307200,1200,0,99,4148000
16018,1064,18,91000027,72000,91000027,371200,1300,0,99,5013000
16019,1064,19,91000027,80000,91000027,443200,1500,0,99,6023000
16020,1064,20,0,0,91000027,523200,1800,0,99,7200000
