storyid,leftid,leftname,rightid,rightname,spokesman,txt,next
204001,1012,北境之锤·乌可诺,1014,狩魔鹰眼·马斯克,1,暗影生物……别放过这些家伙！,0
205001,1012,北境之锤·乌可诺,1014,狩魔鹰眼·马斯克,2,听见什么了吗，好像是西北边！快去看看！,0
206001,1012,北境之锤·乌可诺,1014,狩魔鹰眼·马斯克,2,中间的路口打开了，它们正聚集在森林中心！,0
301001,4002,秘林刺客·斐娜,4003,野性之眼·塔尔兰达,1,终于到啦！这里就是雷鸣之城的地盘了？,0
302001,4002,秘林刺客·斐娜,4003,野性之眼·塔尔兰达,2,小声点！我们要做的是潜入，不要被他们发现了！,302002
302002,4002,秘林刺客·斐娜,4003,野性之眼·塔尔兰达,1,嘻嘻~知道啦。冲冲冲！,302003
302003,4002,秘林刺客·斐娜,4003,野性之眼·塔尔兰达,2,唉……,0
303001,4002,秘林刺客·斐娜,4003,野性之眼·塔尔兰达,1,看，这里有两条路！,303002
303002,4002,秘林刺客·斐娜,4003,野性之眼·塔尔兰达,2,不……仔细看看森林，如果能够进入到森林会有更多可能……,0
304001,4002,秘林刺客·斐娜,4003,野性之眼·塔尔兰达,1,唉？森林改变了？,304002
304002,4002,秘林刺客·斐娜,4003,野性之眼·塔尔兰达,2,没错，新的道路出现了，这应该就是被隐藏的捷径！,0
305001,4002,秘林刺客·斐娜,4003,野性之眼·塔尔兰达,2,这么看来我的直觉不错，我们选择了正确的路线！,305002
305002,4002,秘林刺客·斐娜,4003,野性之眼·塔尔兰达,1,真的耶！冲冲冲！,0
306001,4002,秘林刺客·斐娜,4003,野性之眼·塔尔兰达,1,路出来喽！快点、快点！,306002
306002,4002,秘林刺客·斐娜,4003,野性之眼·塔尔兰达,2,注意点！不要惊扰了守卫！,0
307001,4003,野性之眼·塔尔兰达,3013,暗雷护卫·凯斯,2,有哨兵失去了联系，有敌情！加强防卫！,307002
307002,4003,野性之眼·塔尔兰达,4002,秘林刺客·斐娜,1,道路被堵住了，得赶在他们把道路全部封锁之前进城！,307003
307003,4003,野性之眼·塔尔兰达,4002,秘林刺客·斐娜,2,那就动作再快点！冲冲冲！！！,307004
307004,4003,野性之眼·塔尔兰达,4002,秘林刺客·斐娜,1,等等！光靠速度不是办法，得规划好前进的路线。,0
308001,4002,秘林刺客·斐娜,4003,野性之眼·塔尔兰达,1,唉？森林改变了？,308002
308002,4002,秘林刺客·斐娜,4003,野性之眼·塔尔兰达,2,很好，我们从森林走，这一定是可以前往雷鸣之城中的捷径！,308003
308003,4002,秘林刺客·斐娜,4003,野性之眼·塔尔兰达,1,好耶！冲冲冲！,0
401001,4007,绝世剑舞·萨温,4009,缚法旅者·弗莱娜,1,自然的气息！真想躺在柔软的嫩草上睡一觉！,401002
401002,4007,绝世剑舞·萨温,4009,缚法旅者·弗莱娜,2,但似乎有人不欢迎我们。,0
402001,4007,绝世剑舞·萨温,4009,缚法旅者·弗莱娜,1,旁边是这里的守护者么？,402002
402002,4007,绝世剑舞·萨温,4009,缚法旅者·弗莱娜,2,似乎是的，我们得好好规划下路线，避免不必要的麻烦。,0
411001,2014,圣焰战士·巴兹,2015,圣焰驯兽师·提坦,1,小心你的选择，入侵者！我和手下们已经在等着看你们的笑话了！,0
412001,2014,圣焰战士·巴兹,2015,圣焰驯兽师·提坦,2,别怕，在你们到来之前，已经有无数的冒险者成为了山脉的一部分，即使死亡也不会孤独！哈哈哈哈！,0
413001,4007,绝世剑舞·萨温,4009,缚法旅者·弗莱娜,1,可笑的是你们才对吧，丑陋贪婪的怪物！,413002
413002,4007,绝世剑舞·萨温,4009,缚法旅者·弗莱娜,2,我会与自然共同审判你们的贪婪！,0
414001,4007,绝世剑舞·萨温,4009,缚法旅者·弗莱娜,1,切，前方道路被堵住了么……,0
415001,2014,圣焰战士·巴兹,4009,缚法旅者·弗莱娜,1,你们这些被财宝吸引的可怜虫，等着迷失在森林之中吧！,415002
415002,2014,圣焰战士·巴兹,4009,缚法旅者·弗莱娜,2,躲藏在山中，利用自然的魔力和黄金来引诱冒险者们来满足自己，你才是可怜虫吧！,0
416001,2015,圣焰驯兽师·提坦,4007,绝世剑舞·萨温,1,哈哈哈哈！随你怎么说，陌生人，你们马上就会葬身在此！,416002
416002,2015,圣焰驯兽师·提坦,4007,绝世剑舞·萨温,2,我会死在战斗中，但绝不会是你这怪物手里！,0
417001,4009,缚法旅者·弗莱娜,4007,绝世剑舞·萨温,1,费了一番功夫，但好在打开了前路，这些财宝就是我们修行的奖励了！,0
501001,1006,贵族之刃·诺伯尔,1001,天命骑士·艾尔温,1,我走到哪你就跟到哪吗？,501002
501002,1006,贵族之刃·诺伯尔,1001,天命骑士·艾尔温,2,这是我的任务与责任，阁下。我必须说，这个区域或许比你上次冒冒失失闯进的圣焰地盘还要危险。,501003
501003,1006,贵族之刃·诺伯尔,1001,天命骑士·艾尔温,1,我知道这是哪！你是不是都忘记了我是联邦最出色的剑士！,501004
501004,1006,贵族之刃·诺伯尔,1001,天命骑士·艾尔温,2,嗯……您说的没错，但是，我还是要说这个空间很特别，地面上的砖块看起来有古怪，还是小心为妙。,0
502001,1006,贵族之刃·诺伯尔,1001,天命骑士·艾尔温,1,新的传送门出现了！看到了没有艾尔温，我不需要你保护！,502002
502002,1006,贵族之刃·诺伯尔,1001,天命骑士·艾尔温,2,嗯……如果说刚刚的几次攻击您都躲过了的话……,0
601001,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,2,长官，这里聚集了好多暗影生物！,601002
601002,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,1,嗯……看来这里相当危险，小心前进。根据侦查情报，西南方向的敌人似乎有些古怪。,0
602001,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,2,长官，有埋伏！我们被包围了！,602002
602002,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,1,稳住阵型！寻找突围的机会！,0
603001,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,2,长官，东面的敌人……逃跑了？,603002
603002,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,1,哼，算是有自知之明的家伙。,0
604001,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,2,前方出现了一条隐蔽的小路，长官！,0
605001,1012,北境之锤·乌可诺,2006,赤炎之锤·哈鲁坎,2,是谁，胆敢在我这里捣乱！,605002
605002,1012,北境之锤·乌可诺,2006,赤炎之锤·哈鲁坎,1,就是你爷爷我！,605003
605003,1012,北境之锤·乌可诺,2006,赤炎之锤·哈鲁坎,2,混蛋！来人！干掉他们！！！,0
701001,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,1,该死！这里的空间极不稳定，地面随时可能坍塌！,0
702001,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,2,长官，我们也许应该规划一下路线……或者下次再来？,702002
702002,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,1,打起精神士兵们，我们肩负着使命！想想我们为了什么而来！,702003
702003,1012,北境之锤·乌可诺,1014,狩魔鹰眼·马斯克,2,动动脑子，这地方肯定有办法通过。,702004
702004,1012,北境之锤·乌可诺,1014,狩魔鹰眼·马斯克,1,马斯克说的对，我们今后的冒险里，遇到的困难不会少！,0
703001,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,2,长官，左边的魔法阵已经被成功破解！,703002
703002,1014,狩魔鹰眼·马斯克,1017,怒涛护卫·霍尔,1,干得漂亮士兵！我之前说什么来着，这地方看似险恶，但也有破解之法。,703003
703003,1014,狩魔鹰眼·马斯克,1017,怒涛护卫·霍尔,2,您说的没错，我想我需要改变对冒险的思路了。,0
704001,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,2,长官，右边的魔法阵已经被成功破解！,704002
704002,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,1,干得漂亮士兵！我之前说什么来着，没什么能阻挡我们。,704003
704003,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,2,没错！联邦不可阻挡！,0
801001,1004,漫游之星·马祖凯特,1009,元素魔弓·夏尔,2,这片丛林果真如传说一样骇人……,801002
801002,1004,漫游之星·马祖凯特,1009,元素魔弓·夏尔,1,可别被吓坏了小姑娘，说不定什么时候丛林里就会冲出吃人的怪物。,801003
801003,1004,漫游之星·马祖凯特,1009,元素魔弓·夏尔,2,小姑娘？这可是充满魔法的地界，以我的天赋怪物们才该害怕。我知道你，成天在海上游荡的有名水手，怎么会想到来丛林里冒险？,801004
801004,1004,漫游之星·马祖凯特,1009,元素魔弓·夏尔,1,我的目标是自由与宝物，你是从哪个三流诗人里听来，我只会在海上寻找宝藏？,801005
801005,1004,漫游之星·马祖凯特,1009,元素魔弓·夏尔,1,自由而无拘束才是我，若只是在海上可有违我对自由的追求。,0
802001,1004,漫游之星·马祖凯特,1009,元素魔弓·夏尔,1,嚯，不出意外这应该解锁了魔法机关，听声音在左边。,802002
802002,1004,漫游之星·马祖凯特,1009,元素魔弓·夏尔,2,当然，我已经感受到机关中魔法的波动了。,0
803001,1004,漫游之星·马祖凯特,1009,元素魔弓·夏尔,2,这里的魔法能量涌向右边了……看！右边出现了新的通道！,803002
803002,1004,漫游之星·马祖凯特,1009,元素魔弓·夏尔,1,能感受魔法吗？看来你还挺有能耐……,0
804001,1004,漫游之星·马祖凯特,1009,元素魔弓·夏尔,1,小心！有陷阱！该死的，应该多注意点……,0
901001,1007,怒涛守护·艾默瑞德,1012,北境之锤·乌可诺,2,月亮和太阳？这是就是欺诈之神的谜题吗？,901002
901002,1007,怒涛守护·艾默瑞德,1012,北境之锤·乌可诺,1,这些月亮和太阳似乎还有不同的颜色……应该拨动它们遗迹就会发生变化。,901003
901003,1007,怒涛守护·艾默瑞德,1012,北境之锤·乌可诺,2,嚯，看来这次寻找神器的任务会很有趣！,0
902001,1007,怒涛守护·艾默瑞德,1012,北境之锤·乌可诺,2,猜测的没错，红色的地砖发生了变化！,902002
902002,1007,怒涛守护·艾默瑞德,1012,北境之锤·乌可诺,1,哈哈哈，那么就是说，这些不同颜色的地砖和日月机关联系就是破解遗迹的诀窍！,902003
902003,1007,怒涛守护·艾默瑞德,1012,北境之锤·乌可诺,2,保持这种状态，我们应该很快就能接近欺诈之神藏匿的神器了。,0
1001001,1004,漫游之星·马祖凯特,1009,元素魔弓·夏尔,1,光之神的宝藏……等等，你们是联邦的法师！,1001002
1001002,1004,漫游之星·马祖凯特,1009,元素魔弓·夏尔,2,又是你？这次是想来得到光之神的宝藏么，怎么，你难道放弃大海了吗？,1001003
1001003,1009,元素魔弓·夏尔,1010,奇想学徒·阿普兰提,2,夏尔，这是谁？你认识这家伙？！我们不是来探索魔法遗迹的吗？,1001004
1001004,1009,元素魔弓·夏尔,1010,奇想学徒·阿普兰提,1,啊，这个说来话长……姐姐你不用管他，我会看着他的，先探索探索这个空间吧！,0
1002001,1010,奇想学徒·阿普兰提,1009,元素魔弓·夏尔,2,哈，空间变化了！又能发现新玩意了！,1002002
1002002,1010,奇想学徒·阿普兰提,1009,元素魔弓·夏尔,1,光之神设下的机关可真神奇，让我对光的魔法有了新认识！,1002003
1002003,1010,奇想学徒·阿普兰提,1004,漫游之星·马祖凯特,2,这就是卡拉丽特的学生啊……作为普通人，完全感受不到所谓的魔法能量……,0
1101001,1012,北境之锤·乌可诺,1014,狩魔鹰眼·马斯克,1,我们到了士兵们，前方的峡谷就是今天的目标！,1101002
1101002,1012,北境之锤·乌可诺,1014,狩魔鹰眼·马斯克,2,真不知道上面怎么就会相信有神器会在这种地方……根本就没有人完好无损地从里面出来过。,1101003
1101003,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,1,可能有人有办法通过魔法感知神器的位置，我相信国王不会随便派遣我们的。,1101004
1101004,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,2,所以我们又要为绘图师们画新地图了，成为第一个走出峡谷的人。,1101005
1101005,1012,北境之锤·乌可诺,1014,狩魔鹰眼·马斯克,2,哈哈，回去以后我一定要去喝最好的酒，然后把我的经历讲给吟游诗人！,1101006
1101006,1012,北境之锤·乌可诺,1014,狩魔鹰眼·马斯克,1,还能向那个小心眼的伯爵夫人炫耀炫耀这些奇珍异宝！,1101007
1101007,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,2,长官，有些话可不能乱说……,0
1201001,1007,怒涛守护·艾默瑞德,1009,元素魔弓·夏尔,1,不祥的气息……,1201002
1201002,1007,怒涛守护·艾默瑞德,1009,元素魔弓·夏尔,2,因为这里的魔法并不完全，很是杂乱，我会小心选择路线的。,0
1202001,1007,怒涛守护·艾默瑞德,1009,元素魔弓·夏尔,1,见鬼！路会断！再晚一步我们就要掉下去了！,1202002
1202002,1007,怒涛守护·艾默瑞德,1009,元素魔弓·夏尔,2,呼，冷静些艾默瑞德。以我对这些魔法的感知，它们只会在我们离开的时候断裂，站在上面并不会有问题。,1202003
1202003,1007,怒涛守护·艾默瑞德,1009,元素魔弓·夏尔,1,这是在逼迫我们选择路线吗……,1202004
1202004,1007,怒涛守护·艾默瑞德,1009,元素魔弓·夏尔,2,也许浮空岛屿形成的时候没有这种意志，但是确实，现在我们必须选择路线。,1202005
1202005,1007,怒涛守护·艾默瑞德,1009,元素魔弓·夏尔,1,看来我们也许不能一遍收集完岛上的东西了。,0
1301001,1014,狩魔鹰眼·马斯克,1008,神谕信使·贝尔,1,真想不通那些为什么把这里叫作圣殿……明明这里就是个荒地。,1301002
1301002,1014,狩魔鹰眼·马斯克,1008,神谕信使·贝尔,2,因为这里有神圣的力量，你应该对神明尊重点。,1301003
1301003,1014,狩魔鹰眼·马斯克,1017,怒涛护卫·霍尔,2,难道这里的暗影怪物和野兽也是神明创造的吗？,1301004
1301004,1017,怒涛护卫·霍尔,1008,神谕信使·贝尔,2,我猜这些想盗取宝藏的暗影生物完不成仪式所以被困住，至于野兽，它们本就是圣殿守卫。,0
1302001,1014,狩魔鹰眼·马斯克,1017,怒涛护卫·霍尔,1,哈哈哈哈，想不到我们居然能走到这里！我已经能看见金子发出的光了！,1302002
1302002,1014,狩魔鹰眼·马斯克,1017,怒涛护卫·霍尔,2,我要在自己的成就上再添一笔了，虽然我已经见过很多金子和珠宝了~,1302003
1302003,1014,狩魔鹰眼·马斯克,1008,神谕信使·贝尔,2,别放松警惕，完成仪式只是一个开始！,0
1303001,1014,狩魔鹰眼·马斯克,1017,怒涛护卫·霍尔,2,有没有听到什么声音，听着像叶子摩擦声。,1303002
1303002,1014,狩魔鹰眼·马斯克,1017,怒涛护卫·霍尔,1,听见了！就在附近，看看是发生了什么！,0
1304001,1014,狩魔鹰眼·马斯克,1008,神谕信使·贝尔,1,我又听见了，肯定又有什么道路开启了！,1304002
1304002,1014,狩魔鹰眼·马斯克,1008,神谕信使·贝尔,2,耳朵可真灵敏……,0
1401001,1008,神谕信使·贝尔,1014,狩魔鹰眼·马斯克,1,想不到有生之年还能看到真正的“圣地猎场”！,1401002
1401002,1008,神谕信使·贝尔,1014,狩魔鹰眼·马斯克,2,圣地猎场？这地方还有名字的吗？,1401003
1401003,1008,神谕信使·贝尔,1014,狩魔鹰眼·马斯克,1,这可是神的领域，它自然有名字。,1401004
1401004,1008,神谕信使·贝尔,1017,怒涛护卫·霍尔,2,从来没有听过……,1401005
1401005,1008,神谕信使·贝尔,1017,怒涛护卫·霍尔,1,自远古的众神战争后这里就被遗忘，只有穷尽一生追寻神明步伐的大法师才会接触到这里。,1401006
1401006,1008,神谕信使·贝尔,1017,怒涛护卫·霍尔,1,我也是在四处游历的过程里知道这个地方和死地圣殿的“仪式”存在联系。,1401007
1401007,1008,神谕信使·贝尔,1017,怒涛护卫·霍尔,2,不管怎么说，这地方看着就很危险。,1401008
1401008,1008,神谕信使·贝尔,1017,怒涛护卫·霍尔,1,当然了，在神明的猎场，我们必须使出全力才能完成挑战！,0
1402001,1014,狩魔鹰眼·马斯克,1008,神谕信使·贝尔,1,似乎是机关的声音，应该有什么地方打开了。,1402002
1402002,1014,狩魔鹰眼·马斯克,1008,神谕信使·贝尔,2,这里肯定有隐藏的宝物。,0
1403001,1017,怒涛护卫·霍尔,1014,狩魔鹰眼·马斯克,1,这肯定是某个隐藏区域的机关，现在我们打开它了。,1403002
1403002,1017,怒涛护卫·霍尔,1014,狩魔鹰眼·马斯克,2,猎场还是相当凶险的，小心一些，看看能不能找到什么补给。,0
1404001,1008,神谕信使·贝尔,1014,狩魔鹰眼·马斯克,1,不会错，肯定是最后的大门开启了！,1404002
1404002,1008,神谕信使·贝尔,1014,狩魔鹰眼·马斯克,2,是吗，看来最后的挑战要来了，大家再加把劲！,1404003
1404003,1008,神谕信使·贝尔,1014,狩魔鹰眼·马斯克,1,最后的挑战必定很凶险，我们得全力以赴，不然就要和猎场里的枯骨相伴了。,1404004
1404004,1008,神谕信使·贝尔,1017,怒涛护卫·霍尔,2,也许会很难，但这也绝拦不住我们的步伐！,0
1501001,4009,缚法旅者·弗莱娜,4012,密林智者·诺伊德,1,这地方可真奇怪，好像什么都有的样子。,1501002
1501002,4009,缚法旅者·弗莱娜,4012,密林智者·诺伊德,2,因为这是被影响而融合的空间，很不稳定，我们的探索要以安全第一,1501003
1501003,4009,缚法旅者·弗莱娜,4003,野性之眼·塔尔兰达,2,那得赶快点，万一出什么变故可就不好了,0
1502001,4009,缚法旅者·弗莱娜,4003,野性之眼·塔尔兰达,1,刚刚我们是不是踩过了什么机关？,1502002
1502002,4009,缚法旅者·弗莱娜,4003,野性之眼·塔尔兰达,2,没有吧，但是确实有什么变化发生了。,1502003
1502003,4012,密林智者·诺伊德,4003,野性之眼·塔尔兰达,1,是的，我也感觉到了，似乎正是因为刚刚的事情。,1502004
1502004,4012,密林智者·诺伊德,4003,野性之眼·塔尔兰达,2,这种魔法表现出来的也不知道是不是好事。,1502005
1502005,4012,密林智者·诺伊德,4003,野性之眼·塔尔兰达,1,……,1502006
1502006,4012,密林智者·诺伊德,4003,野性之眼·塔尔兰达,1,好像有破碎的道路被修复了。,0
1503001,4009,缚法旅者·弗莱娜,4003,野性之眼·塔尔兰达,1,哇噢！我都站不稳了！刚刚那是地震吗？,1503002
1503002,4009,缚法旅者·弗莱娜,4003,野性之眼·塔尔兰达,2,地下有什么被触发了，刚刚来的时候没有触发的。,1503003
1503003,4009,缚法旅者·弗莱娜,4012,密林智者·诺伊德,2,看来这块地被“施加”了不少魔法能量。,1503004
1503004,4009,缚法旅者·弗莱娜,4012,密林智者·诺伊德,1,谁会设计这么个东西呢……,1503005
1503005,4009,缚法旅者·弗莱娜,4012,密林智者·诺伊德,2,或许不是谁设计的，是空间扭曲造成的。,0
1504001,4012,密林智者·诺伊德,4003,野性之眼·塔尔兰达,1,好强的魔法波动，怎么……来自脚下？,1504002
1504002,4012,密林智者·诺伊德,4003,野性之眼·塔尔兰达,2,是陷阱？！,1504003
1504003,4012,密林智者·诺伊德,4003,野性之眼·塔尔兰达,1,可能，也可能不是，我们现在还没遭到任何攻击。,1504004
1504004,4012,密林智者·诺伊德,4003,野性之眼·塔尔兰达,1,不过我确定有东西出现了。,1504005
1504005,4012,密林智者·诺伊德,4009,缚法旅者·弗莱娜,2,这地方真让人害怕，快走快走。,0
1505001,4012,密林智者·诺伊德,4003,野性之眼·塔尔兰达,1,有魔法能量的变化……刚刚……,1505002
1505002,4012,密林智者·诺伊德,4003,野性之眼·塔尔兰达,2,你是说刚才的声音吗，听起来像是洞穴里石块滚落的感觉。,1505003
1505003,4009,缚法旅者·弗莱娜,4003,野性之眼·塔尔兰达,1,这地方已经够奇怪的了，它发生什么都不值得惊奇了。,0
1506001,4003,野性之眼·塔尔兰达,4012,密林智者·诺伊德,1,有什么东西被触发了的感觉，就像……猎人的陷阱。,1506002
1506002,4003,野性之眼·塔尔兰达,4012,密林智者·诺伊德,2,嗯……我也有类似的感觉，有什么东西改变了。,1506003
1506003,4003,野性之眼·塔尔兰达,4012,密林智者·诺伊德,2,希望不要发生什么坏事……不过要是路断了也很伤脑筋啊。,0
1507001,4009,缚法旅者·弗莱娜,4003,野性之眼·塔尔兰达,1,我感觉……有魔法的波动……,1507002
1507002,4009,缚法旅者·弗莱娜,4003,野性之眼·塔尔兰达,2,魔法，我也有类似的感觉。,1507003
1507003,4009,缚法旅者·弗莱娜,4003,野性之眼·塔尔兰达,1,总感觉我们的选择都会对这个空间造成影响。,1507004
1507004,4009,缚法旅者·弗莱娜,4003,野性之眼·塔尔兰达,2,那就再谨慎一些吧。,0
1508001,4003,野性之眼·塔尔兰达,4009,缚法旅者·弗莱娜,1,怎么了，什么声音这么刺耳！,1508002
1508002,4003,野性之眼·塔尔兰达,4009,缚法旅者·弗莱娜,2,像是洞穴塌了一样。,1508003
1508003,4012,密林智者·诺伊德,4009,缚法旅者·弗莱娜,1,似乎是岩石的声音，魔法能量也没有消散……,1508004
1508004,4012,密林智者·诺伊德,4009,缚法旅者·弗莱娜,2,是魔法能量带来的变化吗？,0
1509001,4003,野性之眼·塔尔兰达,4009,缚法旅者·弗莱娜,1,小心一些，有什么被触发了……,1509002
1509002,4003,野性之眼·塔尔兰达,4009,缚法旅者·弗莱娜,2,……,1509003
1509003,4003,野性之眼·塔尔兰达,4009,缚法旅者·弗莱娜,1,好像没有什么坏事。,1509004
1509004,4003,野性之眼·塔尔兰达,4009,缚法旅者·弗莱娜,1,但肯定这里肯定有什么变化了。,1509005
1509005,4003,野性之眼·塔尔兰达,4009,缚法旅者·弗莱娜,2,还会有这种情况吗……我感觉有东西消失了。,1509006
1509006,4003,野性之眼·塔尔兰达,4012,密林智者·诺伊德,2,当你见多了会变化的空间，就一点都不值得奇怪。,0
1601001,2007,胜利长枪·雅提亚,2009,林中女巫·佩蕾,1,就是这个村落了，不过是我眼花了吗？,1601002
1601002,2007,胜利长枪·雅提亚,2009,林中女巫·佩蕾,1,好像远处有个和这里一模一样的地方。,1601003
1601003,2007,胜利长枪·雅提亚,2009,林中女巫·佩蕾,1,这里的怪物也好多，听见了吗，有人在求救！,1601004
1601004,2007,胜利长枪·雅提亚,2009,林中女巫·佩蕾,2,慢点！这里的魔法很不寻常！,0
1602001,2009,林中女巫·佩蕾,2007,胜利长枪·雅提亚,1,感觉到了吗，是令人恐惧的邪恶气息。,1602002
1602002,2009,林中女巫·佩蕾,2007,胜利长枪·雅提亚,2,我感觉到了压迫性的杀意。,1602003
1602003,2009,林中女巫·佩蕾,2007,胜利长枪·雅提亚,1,前面……肯定有造成村子悲剧的罪魁祸首。,1602004
1602004,2009,林中女巫·佩蕾,2007,胜利长枪·雅提亚,1,但是，我觉得我们能力可能不够……,1602005
1602005,2009,林中女巫·佩蕾,2007,胜利长枪·雅提亚,2,嗯……得做好全面准备应对挑战，或者去村子周围看看吧。,0
1603001,2007,胜利长枪·雅提亚,2009,林中女巫·佩蕾,1,快到了，前面是就是村落！,0
1604001,2007,胜利长枪·雅提亚,2009,林中女巫·佩蕾,1,村里人说向北的道路被东边的怪物封锁了。,1604002
1604002,2007,胜利长枪·雅提亚,2009,林中女巫·佩蕾,1,而且与山脉另一端村子连接在一起了。,1604003
1604003,2007,胜利长枪·雅提亚,2009,林中女巫·佩蕾,2,这些恶魔是故意的，就是将他们当做……,1604004
1604004,2007,胜利长枪·雅提亚,2009,林中女巫·佩蕾,1,如果是镜像分裂，两边都是一模一样的吧，就算我们只选择帮助一个，“他们”终究会活下来。,1604005
1604005,2007,胜利长枪·雅提亚,2009,林中女巫·佩蕾,2,但愿如此吧。,0
1605001,2007,胜利长枪·雅提亚,2009,林中女巫·佩蕾,1,……,1605002
1605002,2007,胜利长枪·雅提亚,2009,林中女巫·佩蕾,2,魔法残骸。,1605003
1605003,2007,胜利长枪·雅提亚,2009,林中女巫·佩蕾,2,我们至少让“他们”活下来了。,1605004
1605004,2007,胜利长枪·雅提亚,2009,林中女巫·佩蕾,1,嗯……,0
1605005,2007,胜利长枪·雅提亚,2009,林中女巫·佩蕾,2,所以……别这么伤感了……,1606002
1606001,2009,林中女巫·佩蕾,2007,胜利长枪·雅提亚,1,前面的怪物们都与“什么东西”有着魔法联系。,1606003
1606002,2009,林中女巫·佩蕾,2007,胜利长枪·雅提亚,2,那是它们的力量来源吗？,1606004
1606003,2009,林中女巫·佩蕾,2007,胜利长枪·雅提亚,1,或许是的？我不确定，这里被扭曲了，我们的所作所为都会对现实有影响。,1606005
1606004,2009,林中女巫·佩蕾,2007,胜利长枪·雅提亚,2,所以说可能是陷阱……还是谨慎地对待这一情报吧。,0
