id,hero,cue,judgement,needlv,sound_des,sound_dra1,sound_dra2,sound_dra3,sound_dra4,sound_dra5,descriptiont,drama1,drama2,drama3,drama4,drama5,levelid1,need1,time1,levelid2,need2,time2,levelid3,need3,time3,levelid4,need4,time4,levelid5,need5,time5,levelid6,need6,time6,star1,box1,star2,box2,star3,box3
21,1001,通关甄姬所有关卡后开启,2220040,52,VO_Hero/guanyu_pose,0,0,0,0,0,居然能找上我，看来你的眼光还不错。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,2221010,0,3,2221020,1,3,2221030,2,3,2221040,3,3,0,0,0,0,0,0,6,700001,12,702101,0,0
22,2003,通关关羽所有关卡后开启,2221040,54,VO_Hero/xunyu_pose,0,0,0,0,0,居然能找上我，看来你的眼光还不错。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,2222010,0,3,2222020,1,3,2222030,2,3,2222040,3,3,0,0,0,0,0,0,6,700001,12,702201,0,0
23,1007,通关荀彧所有关卡后开启,2222040,56,VO_Hero/pangtong_pose,0,0,0,0,0,居然能找上我，看来你的眼光还不错。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,2223010,0,3,2223020,1,3,2223030,2,3,2223040,3,3,0,0,0,0,0,0,6,700001,12,702301,0,0
24,3004,通关庞统所有关卡后开启,2223040,58,VO_Hero/luxun_pose,0,0,0,0,0,居然能找上我，看来你的眼光还不错。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,2224010,0,3,2224020,1,3,2224030,2,3,2224040,3,3,0,0,0,0,0,0,6,700001,12,702401,0,0
25,3003,通关陆逊所有关卡后开启,2224040,60,Story/mingshi_lm_900_lvmeng,Story/mingshi_lm_901_lvmeng,Story/mingshi_lm_902_lvmeng,Story/mingshi_lm_903_lvmeng,Story/mingshi_lm_901_lvmeng,Story/mingshi_lm_902_lvmeng,居然能找上我，看来你的眼光还不错。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,2225010,0,3,2225020,1,3,2225030,2,3,2225040,3,3,0,0,0,0,0,0,6,700001,12,702501,0,0
26,1009,通关吕蒙所有关卡后开启,2225040,62,VO_Hero/liubei_pose,0,0,0,0,0,居然能找上我，看来你的眼光还不错。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,2226010,0,3,2226020,1,3,2226030,2,3,2226040,3,3,0,0,0,0,0,0,6,700001,12,702601,0,0
27,2009,通关刘备所有关卡后开启,2226040,64,VO_Hero/caocao_pose,0,0,0,0,0,居然能找上我，看来你的眼光还不错。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,2227010,0,3,2227020,1,3,2227030,2,3,2227040,3,3,0,0,0,0,0,0,6,700001,12,702701,0,0
28,4003,通关曹操所有关卡后开启,2227040,66,VO_Hero/diaochan_pose,0,0,0,0,0,0,0,0,0,0,0,2228010,0,3,2228020,1,3,2228030,2,3,2228040,3,3,0,0,0,0,0,0,6,700001,12,702801,0,0
29,2006,通关貂蝉所有关卡后开启,2228040,67,Story/mingshi_cr_900_caoren,Story/mingshi_cr_901_caoren,Story/mingshi_cr_902_caoren,Story/mingshi_cr_903_caoren,Story/mingshi_cr_902_caoren,Story/mingshi_cr_903_caoren,0,0,0,0,0,0,2229010,0,3,2229020,1,3,2229030,2,3,2229040,3,3,0,0,0,0,0,0,6,700001,12,702901,0,0
30,1005,通关曹仁所有关卡后开启,2229040,68,Story/mingshi_hz_900_huangzhong,Story/mingshi_hz_901_huangzhong,Story/mingshi_hz_902_huangzhong,Story/mingshi_hz_903_huangzhong,Story/mingshi_hz_901_huangzhong,Story/mingshi_hz_902_huangzhong,0,0,0,0,0,0,2230010,0,3,2230020,1,3,2230030,2,3,2230040,3,3,0,0,0,0,0,0,6,700001,12,703001,0,0
31,3002,通关黄忠所有关卡后开启,2230040,69,Story/mingshi_xq_900_xiaoqiao,Story/mingshi_xq_901_xiaoqiao,Story/mingshi_xq_902_xiaoqiao,Story/mingshi_xq_903_xiaoqiao,Story/mingshi_xq_902_xiaoqiao,Story/mingshi_xq_903_xiaoqiao,0,0,0,0,0,0,2231010,0,3,2231020,1,3,2231030,2,3,2231040,3,3,0,0,0,0,0,0,6,700001,12,703101,0,0
32,2005,通关小乔所有关卡后开启,2231040,70,Story/mingshi_zl_900_zhangliao,Story/mingshi_zl_901_zhangliao,Story/mingshi_zl_902_zhangliao,Story/mingshi_zl_903_zhangliao,Story/mingshi_zl_902_zhangliao,Story/mingshi_zl_903_zhangliao,0,0,0,0,0,0,2232010,0,3,2232020,1,3,2232030,2,3,2232040,3,3,0,0,0,0,0,0,6,700001,12,703201,0,0
33,3005,通关张辽所有关卡后开启,2232040,71,VO_Hero/taishici_pose,0,0,0,0,0,0,0,0,0,0,0,2233010,0,3,2233020,1,3,2233030,2,3,2233040,3,3,0,0,0,0,0,0,6,700001,12,703301,0,0
34,3009,通关太史慈所有关卡后开启,2233040,72,Story/mingshi_dq_900_daqiao,Story/mingshi_dq_901_daqiao,Story/mingshi_dq_902_daqiao,Story/mingshi_dq_903_daqiao,Story/mingshi_dq_902_daqiao,Story/mingshi_dq_903_daqiao,0,0,0,0,0,0,2234010,0,3,2234020,1,3,2234030,2,3,2234040,3,3,0,0,0,0,0,0,6,700001,12,703401,0,0
35,2003,通关大乔所有关卡后开启,2234040,73,VO_Hero/xunyu_pose,0,0,0,0,0,0,0,0,0,0,0,2235010,0,3,2235020,1,3,2235030,2,3,2235040,3,3,0,0,0,0,0,0,6,700001,12,703501,0,0
36,1010,通关荀彧所有关卡后开启,2235040,74,Story/mingshi_ssx_900_sunshangxiang,Story/mingshi_ssx_901_sunshangxiang,Story/mingshi_ssx_902_sunshangxiang,Story/mingshi_ssx_903_sunshangxiang,Story/mingshi_ssx_902_sunshangxiang,Story/mingshi_ssx_903_sunshangxiang,0,0,0,0,0,0,2236010,0,3,2236020,1,3,2236030,2,3,2236040,3,3,0,0,0,0,0,0,6,700001,12,703601,0,0
37,1001,通关孙尚香所有关卡后开启,2236040,75,VO_Hero/guanyu_pose,0,0,0,0,0,0,0,0,0,0,0,2237010,0,3,2237020,1,3,2237030,2,3,2237040,3,3,0,0,0,0,0,0,6,700001,12,703701,0,0
38,3003,通关关羽所有关卡后开启,2237040,76,Story/mingshi_lm_900_lvmeng,Story/mingshi_lm_901_lvmeng,Story/mingshi_lm_902_lvmeng,Story/mingshi_lm_903_lvmeng,Story/mingshi_lm_901_lvmeng,Story/mingshi_lm_902_lvmeng,0,0,0,0,0,0,2238010,0,3,2238020,1,3,2238030,2,3,2238040,3,3,0,0,0,0,0,0,6,700001,12,703801,0,0
39,3004,通关吕蒙所有关卡后开启,2238040,77,VO_Hero/luxun_pose,0,0,0,0,0,0,0,0,0,0,0,2239010,0,3,2239020,1,3,2239030,2,3,2239040,3,3,0,0,0,0,0,0,6,700001,12,703901,0,0
40,4009,通关陆逊所有关卡后开启,2239040,78,VO_Hero/pangde_pose,0,0,0,0,0,0,0,0,0,0,0,2240010,0,3,2240020,1,3,2240030,2,3,2240040,3,3,0,0,0,0,0,0,6,700001,12,704001,0,0
41,4008,通关庞德所有关卡后开启,2240040,79,Story/mingshi_ht_900_huatuo,Story/mingshi_ht_901_huatuo,Story/mingshi_ht_902_huatuo,Story/mingshi_ht_903_huatuo,Story/mingshi_ht_902_huatuo,Story/mingshi_ht_903_huatuo,0,0,0,0,0,0,2241010,0,3,2241020,1,3,2241030,2,3,2241040,3,3,0,0,0,0,0,0,6,700001,12,704101,0,0
42,2001,通关华佗所有关卡后开启,2241040,80,VO_Hero/zhenji_pose,0,0,0,0,0,0,0,0,0,0,0,2242010,0,3,2242020,1,3,2242030,2,3,2242040,3,3,0,0,0,0,0,0,6,700001,12,704201,0,0
43,3002,通关甄姬所有关卡后开启,2242040,81,Story/mingshi_xq_900_xiaoqiao,Story/mingshi_xq_901_xiaoqiao,Story/mingshi_xq_902_xiaoqiao,Story/mingshi_xq_903_xiaoqiao,Story/mingshi_xq_902_xiaoqiao,Story/mingshi_xq_903_xiaoqiao,0,0,0,0,0,0,2243010,0,3,2243020,1,3,2243030,2,3,2243040,3,3,0,0,0,0,0,0,6,700001,12,704301,0,0
44,3005,通关小乔所有关卡后开启,2243040,82,VO_Hero/taishici_pose,0,0,0,0,0,0,0,0,0,0,0,2244010,0,3,2244020,1,3,2244030,2,3,2244040,3,3,0,0,0,0,0,0,6,700001,12,704401,0,0
45,2006,通关太史慈所有关卡后开启,2244040,83,Story/mingshi_cr_900_caoren,Story/mingshi_cr_901_caoren,Story/mingshi_cr_902_caoren,Story/mingshi_cr_903_caoren,Story/mingshi_cr_902_caoren,Story/mingshi_cr_903_caoren,0,0,0,0,0,0,2245010,0,3,2245020,1,3,2245030,2,3,2245040,3,3,0,0,0,0,0,0,6,700001,12,704501,0,0
46,1001,通关曹仁所有关卡后开启,2245040,84,VO_Hero/guanyu_pose,0,0,0,0,0,0,0,0,0,0,0,2246010,0,3,2246020,1,3,2246030,2,3,2246040,3,3,0,0,0,0,0,0,6,700001,12,704601,0,0
47,4008,通关关羽所有关卡后开启,2246040,85,Story/mingshi_ht_900_huatuo,Story/mingshi_ht_901_huatuo,Story/mingshi_ht_902_huatuo,Story/mingshi_ht_903_huatuo,Story/mingshi_ht_902_huatuo,Story/mingshi_ht_903_huatuo,0,0,0,0,0,0,2247010,0,3,2247020,1,3,2247030,2,3,2247040,3,3,0,0,0,0,0,0,6,700001,12,704701,0,0
48,1005,通关华佗所有关卡后开启,2247040,86,Story/mingshi_hz_900_huangzhong,Story/mingshi_hz_901_huangzhong,Story/mingshi_hz_902_huangzhong,Story/mingshi_hz_903_huangzhong,Story/mingshi_hz_901_huangzhong,Story/mingshi_hz_902_huangzhong,0,0,0,0,0,0,2248010,0,3,2248020,1,3,2248030,2,3,2248040,3,3,0,0,0,0,0,0,6,700001,12,704801,0,0
49,3009,通关黄忠所有关卡后开启,2248040,87,Story/mingshi_dq_900_daqiao,Story/mingshi_dq_901_daqiao,Story/mingshi_dq_902_daqiao,Story/mingshi_dq_903_daqiao,Story/mingshi_dq_902_daqiao,Story/mingshi_dq_903_daqiao,0,0,0,0,0,0,2249010,0,3,2249020,1,3,2249030,2,3,2249040,3,3,0,0,0,0,0,0,6,700001,12,704901,0,0
50,4009,通关大乔所有关卡后开启,2249040,88,VO_Hero/pangde_pose,0,0,0,0,0,0,0,0,0,0,0,2250010,0,3,2250020,1,3,2250030,2,3,2250040,3,3,0,0,0,0,0,0,6,700001,12,705001,0,0
51,1007,通关庞德所有关卡后开启,2250040,89,VO_Hero/pangtong_pose,0,0,0,0,0,0,0,0,0,0,0,2251010,0,3,2251020,1,3,2251030,2,3,2251040,3,3,0,0,0,0,0,0,6,700001,12,705101,0,0
52,1003,通关庞统所有关卡后开启,2251040,90,VO_Hero/machao_pose,0,0,0,0,0,0,0,0,0,0,0,2252010,0,3,2252020,1,3,2252030,2,3,2252040,3,3,0,0,0,0,0,0,6,700001,12,705201,0,0
