order,id,lv,star,base_value1,base_value2,base_value3,base_value4,base_value5,strengthenneed,strengthennum,replace,skillid,back_item1,back_num1,back_item2,back_num2,back_item3,back_num3
26,101001,26,9,2264,60,1258,0,1560000,40000007,90,30020008,92100103,40000003,600,40000004,720,40000007,390
27,101001,27,9,2351,60,1306,0,1620000,40000007,120,30020008,92100103,40000003,600,40000004,720,40000007,510
28,101001,28,9,2438,60,1354,0,1680000,40000007,120,30020008,92100103,40000003,600,40000004,720,40000007,630
29,101001,29,9,2525,60,1403,0,1740000,40000007,120,30020008,92100103,40000003,600,40000004,720,40000007,750
30,101001,30,9,2612,60,1451,0,1800000,40000007,150,30020008,92100104,40000003,600,40000004,720,40000007,900
31,101002,1,4,58,58,38,0,60000,40000003,30,0,92100201,40000003,30,40000004,0,40000007,0
32,101002,2,4,116,116,77,0,120000,40000003,30,0,92100201,40000003,60,40000004,0,40000007,0
33,101002,3,4,174,174,116,0,180000,40000003,30,0,92100201,40000003,90,40000004,0,40000007,0
34,101002,4,4,232,232,154,0,240000,40000003,30,0,92100201,40000003,120,40000004,0,40000007,0
35,101002,5,5,290,290,193,0,300000,40000003,45,0,92100201,40000003,165,40000004,0,40000007,0
36,101002,6,5,348,348,232,0,360000,40000003,60,0,92100201,40000003,225,40000004,0,40000007,0
37,101002,7,5,406,406,270,0,420000,40000003,60,0,92100201,40000003,285,40000004,0,40000007,0
38,101002,8,5,464,464,309,0,480000,40000003,75,0,92100201,40000003,360,40000004,0,40000007,0
39,101002,9,5,522,522,348,0,540000,40000003,90,0,92100201,40000003,450,40000004,0,40000007,0
40,101002,10,6,580,580,387,0,600000,40000003,150,0,92100202,40000003,600,40000004,0,40000007,0
41,101002,11,6,638,638,425,0,660000,40000004,30,0,92100202,40000003,600,40000004,30,40000007,0
42,101002,12,6,696,696,464,0,720000,40000004,30,0,92100202,40000003,600,40000004,60,40000007,0
43,101002,13,6,754,754,503,0,780000,40000004,45,0,92100202,40000003,600,40000004,105,40000007,0
44,101002,14,6,812,812,541,0,840000,40000004,45,0,92100202,40000003,600,40000004,150,40000007,0
45,101002,15,7,870,870,580,500,900000,40000004,60,0,92100202,40000003,600,40000004,210,40000007,0
46,101002,16,7,929,929,619,500,960000,40000004,75,0,92100202,40000003,600,40000004,285,40000007,0
47,101002,17,7,987,987,658,500,1020000,40000004,75,0,92100202,40000003,600,40000004,360,40000007,0
48,101002,18,7,1045,1045,696,500,1080000,40000004,90,0,92100202,40000003,600,40000004,450,40000007,0
49,101002,19,7,1103,1103,735,500,1140000,40000004,120,0,92100202,40000003,600,40000004,570,40000007,0
50,101002,20,8,1161,1161,774,500,1200000,40000004,150,0,92100203,40000003,600,40000004,720,40000007,0
51,101002,21,8,1219,1219,812,500,1260000,40000007,30,30020008,92100203,40000003,600,40000004,720,40000007,30
52,101002,22,8,1277,1277,851,500,1320000,40000007,60,30020008,92100203,40000003,600,40000004,720,40000007,90
53,101002,23,8,1335,1335,890,500,1380000,40000007,60,30020008,92100203,40000003,600,40000004,720,40000007,150
54,101002,24,8,1393,1393,929,500,1440000,40000007,60,30020008,92100203,40000003,600,40000004,720,40000007,210
55,101002,25,9,1451,1451,967,1000,1500000,40000007,90,30020008,92100203,40000003,600,40000004,720,40000007,300
56,101002,26,9,1509,1509,1006,1000,1560000,40000007,90,30020008,92100203,40000003,600,40000004,720,40000007,390
57,101002,27,9,1567,1567,1045,1000,1620000,40000007,120,30020008,92100203,40000003,600,40000004,720,40000007,510
58,101002,28,9,1625,1625,1083,1000,1680000,40000007,120,30020008,92100203,40000003,600,40000004,720,40000007,630
59,101002,29,9,1683,1683,1122,1000,1740000,40000007,120,30020008,92100203,40000003,600,40000004,720,40000007,750
60,101002,30,9,1741,1741,1161,1000,1800000,40000007,150,30020008,92100204,40000003,600,40000004,720,40000007,900
61,101003,1,4,67,67,48,0,60000,40000003,30,0,92100301,40000003,30,40000004,0,40000007,0
62,101003,2,4,135,135,96,0,120000,40000003,30,0,92100301,40000003,60,40000004,0,40000007,0
63,101003,3,4,203,203,145,0,180000,40000003,30,0,92100301,40000003,90,40000004,0,40000007,0
64,101003,4,4,270,270,193,0,240000,40000003,30,0,92100301,40000003,120,40000004,0,40000007,0
65,101003,5,5,338,338,241,0,300000,40000003,45,0,92100301,40000003,165,40000004,0,40000007,0
66,101003,6,5,406,406,290,0,360000,40000003,60,0,92100301,40000003,225,40000004,0,40000007,0
67,101003,7,5,474,474,338,0,420000,40000003,60,0,92100301,40000003,285,40000004,0,40000007,0
68,101003,8,5,541,541,387,0,480000,40000003,75,0,92100301,40000003,360,40000004,0,40000007,0
69,101003,9,5,609,609,435,0,540000,40000003,90,0,92100301,40000003,450,40000004,0,40000007,0
70,101003,10,6,677,677,483,0,600000,40000003,150,0,92100302,40000003,600,40000004,0,40000007,0
71,101003,11,6,745,745,532,0,660000,40000004,30,0,92100302,40000003,600,40000004,30,40000007,0
72,101003,12,6,812,812,580,0,720000,40000004,30,0,92100302,40000003,600,40000004,60,40000007,0
73,101003,13,6,880,880,629,0,780000,40000004,45,0,92100302,40000003,600,40000004,105,40000007,0
74,101003,14,6,948,948,677,0,840000,40000004,45,0,92100302,40000003,600,40000004,150,40000007,0
75,101003,15,7,1016,1016,725,15,900000,40000004,60,0,92100302,40000003,600,40000004,210,40000007,0
76,101003,16,7,1083,1083,774,15,960000,40000004,75,0,92100302,40000003,600,40000004,285,40000007,0
77,101003,17,7,1151,1151,822,15,1020000,40000004,75,0,92100302,40000003,600,40000004,360,40000007,0
78,101003,18,7,1219,1219,870,15,1080000,40000004,90,0,92100302,40000003,600,40000004,450,40000007,0
79,101003,19,7,1287,1287,919,15,1140000,40000004,120,0,92100302,40000003,600,40000004,570,40000007,0
80,101003,20,8,1354,1354,967,15,1200000,40000004,150,0,92100303,40000003,600,40000004,720,40000007,0
81,101003,21,8,1422,1422,1016,15,1260000,40000007,30,30020008,92100303,40000003,600,40000004,720,40000007,30
82,101003,22,8,1490,1490,1064,15,1320000,40000007,60,30020008,92100303,40000003,600,40000004,720,40000007,90
83,101003,23,8,1558,1558,1112,15,1380000,40000007,60,30020008,92100303,40000003,600,40000004,720,40000007,150
84,101003,24,8,1625,1625,1161,15,1440000,40000007,60,30020008,92100303,40000003,600,40000004,720,40000007,210
85,101003,25,9,1693,1693,1209,35,1500000,40000007,90,30020008,92100303,40000003,600,40000004,720,40000007,300
86,101003,26,9,1761,1761,1258,35,1560000,40000007,90,30020008,92100303,40000003,600,40000004,720,40000007,390
87,101003,27,9,1829,1829,1306,35,1620000,40000007,120,30020008,92100303,40000003,600,40000004,720,40000007,510
88,101003,28,9,1896,1896,1354,35,1680000,40000007,120,30020008,92100303,40000003,600,40000004,720,40000007,630
89,101003,29,9,1964,1964,1403,35,1740000,40000007,120,30020008,92100303,40000003,600,40000004,720,40000007,750
90,101003,30,9,2032,2032,1451,35,1800000,40000007,150,30020008,92100304,40000003,600,40000004,720,40000007,900
91,101004,1,4,67,58,38,0,60000,40000003,30,0,92100401,40000003,30,40000004,0,40000007,0
92,101004,2,4,135,116,77,0,120000,40000003,30,0,92100401,40000003,60,40000004,0,40000007,0
93,101004,3,4,203,174,116,0,180000,40000003,30,0,92100401,40000003,90,40000004,0,40000007,0
94,101004,4,4,270,232,154,0,240000,40000003,30,0,92100401,40000003,120,40000004,0,40000007,0
95,101004,5,5,338,290,193,0,300000,40000003,45,0,92100401,40000003,165,40000004,0,40000007,0
96,101004,6,5,406,348,232,0,360000,40000003,60,0,92100401,40000003,225,40000004,0,40000007,0
97,101004,7,5,474,406,270,0,420000,40000003,60,0,92100401,40000003,285,40000004,0,40000007,0
98,101004,8,5,541,464,309,0,480000,40000003,75,0,92100401,40000003,360,40000004,0,40000007,0
99,101004,9,5,609,522,348,0,540000,40000003,90,0,92100401,40000003,450,40000004,0,40000007,0
100,101004,10,6,677,580,387,0,600000,40000003,150,0,92100402,40000003,600,40000004,0,40000007,0
101,101004,11,6,745,638,425,0,660000,40000004,30,0,92100402,40000003,600,40000004,30,40000007,0
102,101004,12,6,812,696,464,0,720000,40000004,30,0,92100402,40000003,600,40000004,60,40000007,0
103,101004,13,6,880,754,503,0,780000,40000004,45,0,92100402,40000003,600,40000004,105,40000007,0
104,101004,14,6,948,812,541,0,840000,40000004,45,0,92100402,40000003,600,40000004,150,40000007,0
105,101004,15,7,1016,870,580,-300,900000,40000004,60,0,92100402,40000003,600,40000004,210,40000007,0
106,101004,16,7,1083,929,619,-300,960000,40000004,75,0,92100402,40000003,600,40000004,285,40000007,0
107,101004,17,7,1151,987,658,-300,1020000,40000004,75,0,92100402,40000003,600,40000004,360,40000007,0
108,101004,18,7,1219,1045,696,-300,1080000,40000004,90,0,92100402,40000003,600,40000004,450,40000007,0
109,101004,19,7,1287,1103,735,-300,1140000,40000004,120,0,92100402,40000003,600,40000004,570,40000007,0
110,101004,20,8,1354,1161,774,-300,1200000,40000004,150,0,92100403,40000003,600,40000004,720,40000007,0
111,101004,21,8,1422,1219,812,-300,1260000,40000007,30,30020008,92100403,40000003,600,40000004,720,40000007,30
112,101004,22,8,1490,1277,851,-300,1320000,40000007,60,30020008,92100403,40000003,600,40000004,720,40000007,90
113,101004,23,8,1558,1335,890,-300,1380000,40000007,60,30020008,92100403,40000003,600,40000004,720,40000007,150
114,101004,24,8,1625,1393,929,-300,1440000,40000007,60,30020008,92100403,40000003,600,40000004,720,40000007,210
115,101004,25,9,1693,1451,967,-950,1500000,40000007,90,30020008,92100403,40000003,600,40000004,720,40000007,300
116,101004,26,9,1761,1509,1006,-950,1560000,40000007,90,30020008,92100403,40000003,600,40000004,720,40000007,390
117,101004,27,9,1829,1567,1045,-950,1620000,40000007,120,30020008,92100403,40000003,600,40000004,720,40000007,510
118,101004,28,9,1896,1625,1083,-950,1680000,40000007,120,30020008,92100403,40000003,600,40000004,720,40000007,630
119,101004,29,9,1964,1683,1122,-950,1740000,40000007,120,30020008,92100403,40000003,600,40000004,720,40000007,750
120,101004,30,9,2032,1741,1161,-950,1800000,40000007,150,30020008,92100404,40000003,600,40000004,720,40000007,900
121,101005,1,4,77,67,48,0,60000,40000003,30,0,92100501,40000003,30,40000004,0,40000007,0
122,101005,2,4,154,135,96,0,120000,40000003,30,0,92100501,40000003,60,40000004,0,40000007,0
123,101005,3,4,232,203,145,0,180000,40000003,30,0,92100501,40000003,90,40000004,0,40000007,0
124,101005,4,4,309,270,193,0,240000,40000003,30,0,92100501,40000003,120,40000004,0,40000007,0
125,101005,5,5,387,338,241,0,300000,40000003,45,0,92100501,40000003,165,40000004,0,40000007,0
126,101005,6,5,464,406,290,0,360000,40000003,60,0,92100501,40000003,225,40000004,0,40000007,0
127,101005,7,5,541,474,338,0,420000,40000003,60,0,92100501,40000003,285,40000004,0,40000007,0
128,101005,8,5,619,541,387,0,480000,40000003,75,0,92100501,40000003,360,40000004,0,40000007,0
129,101005,9,5,696,609,435,0,540000,40000003,90,0,92100501,40000003,450,40000004,0,40000007,0
130,101005,10,6,774,677,483,0,600000,40000003,150,0,92100502,40000003,600,40000004,0,40000007,0
131,101005,11,6,851,745,532,0,660000,40000004,30,0,92100502,40000003,600,40000004,30,40000007,0
132,101005,12,6,929,812,580,0,720000,40000004,30,0,92100502,40000003,600,40000004,60,40000007,0
133,101005,13,6,1006,880,629,0,780000,40000004,45,0,92100502,40000003,600,40000004,105,40000007,0
134,101005,14,6,1083,948,677,0,840000,40000004,45,0,92100502,40000003,600,40000004,150,40000007,0
135,101005,15,7,1161,1016,725,-150,900000,40000004,60,0,92100502,40000003,600,40000004,210,40000007,0
136,101005,16,7,1238,1083,774,-150,960000,40000004,75,0,92100502,40000003,600,40000004,285,40000007,0
137,101005,17,7,1316,1151,822,-150,1020000,40000004,75,0,92100502,40000003,600,40000004,360,40000007,0
138,101005,18,7,1393,1219,870,-150,1080000,40000004,90,0,92100502,40000003,600,40000004,450,40000007,0
139,101005,19,7,1470,1287,919,-150,1140000,40000004,120,0,92100502,40000003,600,40000004,570,40000007,0
140,101005,20,8,1548,1354,967,-150,1200000,40000004,150,0,92100503,40000003,600,40000004,720,40000007,0
141,101005,21,8,1625,1422,1016,-150,1260000,40000007,30,30020008,92100503,40000003,600,40000004,720,40000007,30
142,101005,22,8,1703,1490,1064,-150,1320000,40000007,60,30020008,92100503,40000003,600,40000004,720,40000007,90
143,101005,23,8,1780,1558,1112,-150,1380000,40000007,60,30020008,92100503,40000003,600,40000004,720,40000007,150
144,101005,24,8,1858,1625,1161,-150,1440000,40000007,60,30020008,92100503,40000003,600,40000004,720,40000007,210
145,101005,25,9,1935,1693,1209,-400,1500000,40000007,90,30020008,92100503,40000003,600,40000004,720,40000007,300
146,101005,26,9,2012,1761,1258,-400,1560000,40000007,90,30020008,92100503,40000003,600,40000004,720,40000007,390
147,101005,27,9,2090,1829,1306,-400,1620000,40000007,120,30020008,92100503,40000003,600,40000004,720,40000007,510
148,101005,28,9,2167,1896,1354,-400,1680000,40000007,120,30020008,92100503,40000003,600,40000004,720,40000007,630
149,101005,29,9,2245,1964,1403,-400,1740000,40000007,120,30020008,92100503,40000003,600,40000004,720,40000007,750
150,101005,30,9,2322,2032,1451,-400,1800000,40000007,150,30020008,92100504,40000003,600,40000004,720,40000007,900
151,101006,1,4,38,0,58,0,60000,40000003,30,0,92100601,40000003,30,40000004,0,40000007,0
152,101006,2,4,77,0,116,0,120000,40000003,30,0,92100601,40000003,60,40000004,0,40000007,0
153,101006,3,4,116,0,174,0,180000,40000003,30,0,92100601,40000003,90,40000004,0,40000007,0
154,101006,4,4,154,0,232,0,240000,40000003,30,0,92100601,40000003,120,40000004,0,40000007,0
155,101006,5,5,193,0,290,0,300000,40000003,45,0,92100601,40000003,165,40000004,0,40000007,0
156,101006,6,5,232,0,348,0,360000,40000003,60,0,92100601,40000003,225,40000004,0,40000007,0
157,101006,7,5,270,0,406,0,420000,40000003,60,0,92100601,40000003,285,40000004,0,40000007,0
158,101006,8,5,309,0,464,0,480000,40000003,75,0,92100601,40000003,360,40000004,0,40000007,0
159,101006,9,5,348,0,522,0,540000,40000003,90,0,92100601,40000003,450,40000004,0,40000007,0
160,101006,10,6,387,0,580,0,600000,40000003,150,0,92100602,40000003,600,40000004,0,40000007,0
161,101006,11,6,425,0,638,0,660000,40000004,30,0,92100602,40000003,600,40000004,30,40000007,0
162,101006,12,6,464,0,696,0,720000,40000004,30,0,92100602,40000003,600,40000004,60,40000007,0
163,101006,13,6,503,0,754,0,780000,40000004,45,0,92100602,40000003,600,40000004,105,40000007,0
164,101006,14,6,541,0,812,0,840000,40000004,45,0,92100602,40000003,600,40000004,150,40000007,0
165,101006,15,7,580,300,870,10,900000,40000004,60,0,92100602,40000003,600,40000004,210,40000007,0
166,101006,16,7,619,300,929,10,960000,40000004,75,0,92100602,40000003,600,40000004,285,40000007,0
167,101006,17,7,658,300,987,10,1020000,40000004,75,0,92100602,40000003,600,40000004,360,40000007,0
168,101006,18,7,696,300,1045,10,1080000,40000004,90,0,92100602,40000003,600,40000004,450,40000007,0
169,101006,19,7,735,300,1103,10,1140000,40000004,120,0,92100602,40000003,600,40000004,570,40000007,0
170,101006,20,8,774,300,1161,10,1200000,40000004,150,0,92100603,40000003,600,40000004,720,40000007,0
171,101006,21,8,812,300,1219,10,1260000,40000007,30,30020008,92100603,40000003,600,40000004,720,40000007,30
172,101006,22,8,851,300,1277,10,1320000,40000007,60,30020008,92100603,40000003,600,40000004,720,40000007,90
173,101006,23,8,890,300,1335,10,1380000,40000007,60,30020008,92100603,40000003,600,40000004,720,40000007,150
174,101006,24,8,929,300,1393,10,1440000,40000007,60,30020008,92100603,40000003,600,40000004,720,40000007,210
175,101006,25,9,967,900,1451,25,1500000,40000007,90,30020008,92100603,40000003,600,40000004,720,40000007,300
176,101006,26,9,1006,900,1509,25,1560000,40000007,90,30020008,92100603,40000003,600,40000004,720,40000007,390
177,101006,27,9,1045,900,1567,25,1620000,40000007,120,30020008,92100603,40000003,600,40000004,720,40000007,510
178,101006,28,9,1083,900,1625,25,1680000,40000007,120,30020008,92100603,40000003,600,40000004,720,40000007,630
179,101006,29,9,1122,900,1683,25,1740000,40000007,120,30020008,92100603,40000003,600,40000004,720,40000007,750
180,101006,30,9,1161,900,1741,25,1800000,40000007,150,30020008,92100604,40000003,600,40000004,720,40000007,900
181,101007,1,4,106,0,96,0,60000,40000003,30,0,92100701,40000003,30,40000004,0,40000007,0
182,101007,2,4,212,0,193,0,120000,40000003,30,0,92100701,40000003,60,40000004,0,40000007,0
183,101007,3,4,319,0,290,0,180000,40000003,30,0,92100701,40000003,90,40000004,0,40000007,0
184,101007,4,4,425,0,387,0,240000,40000003,30,0,92100701,40000003,120,40000004,0,40000007,0
185,101007,5,5,532,0,483,0,300000,40000003,45,0,92100701,40000003,165,40000004,0,40000007,0
186,101007,6,5,638,0,580,0,360000,40000003,60,0,92100701,40000003,225,40000004,0,40000007,0
187,101007,7,5,745,0,677,0,420000,40000003,60,0,92100701,40000003,285,40000004,0,40000007,0
188,101007,8,5,851,0,774,0,480000,40000003,75,0,92100701,40000003,360,40000004,0,40000007,0
189,101007,9,5,958,0,870,0,540000,40000003,90,0,92100701,40000003,450,40000004,0,40000007,0
190,101007,10,6,1064,0,967,0,600000,40000003,150,0,92100702,40000003,600,40000004,0,40000007,0
191,101007,11,6,1170,0,1064,0,660000,40000004,30,0,92100702,40000003,600,40000004,30,40000007,0
192,101007,12,6,1277,0,1161,0,720000,40000004,30,0,92100702,40000003,600,40000004,60,40000007,0
193,101007,13,6,1383,0,1258,0,780000,40000004,45,0,92100702,40000003,600,40000004,105,40000007,0
194,101007,14,6,1490,0,1354,0,840000,40000004,45,0,92100702,40000003,600,40000004,150,40000007,0
195,101007,15,7,1596,15,1451,0,900000,40000004,60,0,92100702,40000003,600,40000004,210,40000007,0
196,101007,16,7,1703,15,1548,0,960000,40000004,75,0,92100702,40000003,600,40000004,285,40000007,0
197,101007,17,7,1809,15,1645,0,1020000,40000004,75,0,92100702,40000003,600,40000004,360,40000007,0
198,101007,18,7,1916,15,1741,0,1080000,40000004,90,0,92100702,40000003,600,40000004,450,40000007,0
199,101007,19,7,2022,15,1838,0,1140000,40000004,120,0,92100702,40000003,600,40000004,570,40000007,0
200,101007,20,8,2129,15,1935,0,1200000,40000004,150,0,92100703,40000003,600,40000004,720,40000007,0
201,101007,21,8,2235,15,2032,0,1260000,40000007,30,30020008,92100703,40000003,600,40000004,720,40000007,30
202,101007,22,8,2341,15,2129,0,1320000,40000007,60,30020008,92100703,40000003,600,40000004,720,40000007,90
203,101007,23,8,2448,15,2225,0,1380000,40000007,60,30020008,92100703,40000003,600,40000004,720,40000007,150
204,101007,24,8,2554,15,2322,0,1440000,40000007,60,30020008,92100703,40000003,600,40000004,720,40000007,210
205,101007,25,9,2661,35,2419,0,1500000,40000007,90,30020008,92100703,40000003,600,40000004,720,40000007,300
206,101007,26,9,2767,35,2516,0,1560000,40000007,90,30020008,92100703,40000003,600,40000004,720,40000007,390
207,101007,27,9,2874,35,2612,0,1620000,40000007,120,30020008,92100703,40000003,600,40000004,720,40000007,510
208,101007,28,9,2980,35,2709,0,1680000,40000007,120,30020008,92100703,40000003,600,40000004,720,40000007,630
209,101007,29,9,3087,35,2806,0,1740000,40000007,120,30020008,92100703,40000003,600,40000004,720,40000007,750
210,101007,30,9,3193,35,2903,0,1800000,40000007,150,30020008,92100704,40000003,600,40000004,720,40000007,900
211,101008,1,4,67,0,48,0,60000,40000003,30,0,92100801,40000003,30,40000004,0,40000007,0
212,101008,2,4,135,0,96,0,120000,40000003,30,0,92100801,40000003,60,40000004,0,40000007,0
213,101008,3,4,203,0,145,0,180000,40000003,30,0,92100801,40000003,90,40000004,0,40000007,0
214,101008,4,4,270,0,193,0,240000,40000003,30,0,92100801,40000003,120,40000004,0,40000007,0
215,101008,5,5,338,0,241,0,300000,40000003,45,0,92100801,40000003,165,40000004,0,40000007,0
216,101008,6,5,406,0,290,0,360000,40000003,60,0,92100801,40000003,225,40000004,0,40000007,0
217,101008,7,5,474,0,338,0,420000,40000003,60,0,92100801,40000003,285,40000004,0,40000007,0
218,101008,8,5,541,0,387,0,480000,40000003,75,0,92100801,40000003,360,40000004,0,40000007,0
219,101008,9,5,609,0,435,0,540000,40000003,90,0,92100801,40000003,450,40000004,0,40000007,0
220,101008,10,6,677,0,483,0,600000,40000003,150,0,92100802,40000003,600,40000004,0,40000007,0
221,101008,11,6,745,0,532,0,660000,40000004,30,0,92100802,40000003,600,40000004,30,40000007,0
222,101008,12,6,812,0,580,0,720000,40000004,30,0,92100802,40000003,600,40000004,60,40000007,0
223,101008,13,6,880,0,629,0,780000,40000004,45,0,92100802,40000003,600,40000004,105,40000007,0
224,101008,14,6,948,0,677,0,840000,40000004,45,0,92100802,40000003,600,40000004,150,40000007,0
225,101008,15,7,1016,20,725,0,900000,40000004,60,0,92100802,40000003,600,40000004,210,40000007,0
226,101008,16,7,1083,20,774,0,960000,40000004,75,0,92100802,40000003,600,40000004,285,40000007,0
227,101008,17,7,1151,20,822,0,1020000,40000004,75,0,92100802,40000003,600,40000004,360,40000007,0
228,101008,18,7,1219,20,870,0,1080000,40000004,90,0,92100802,40000003,600,40000004,450,40000007,0
229,101008,19,7,1287,20,919,0,1140000,40000004,120,0,92100802,40000003,600,40000004,570,40000007,0
230,101008,20,8,1354,20,967,0,1200000,40000004,150,0,92100803,40000003,600,40000004,720,40000007,0
231,101008,21,8,1422,20,1016,0,1260000,40000007,30,30020008,92100803,40000003,600,40000004,720,40000007,30
232,101008,22,8,1490,20,1064,0,1320000,40000007,60,30020008,92100803,40000003,600,40000004,720,40000007,90
233,101008,23,8,1558,20,1112,0,1380000,40000007,60,30020008,92100803,40000003,600,40000004,720,40000007,150
234,101008,24,8,1625,20,1161,0,1440000,40000007,60,30020008,92100803,40000003,600,40000004,720,40000007,210
235,101008,25,9,1693,50,1209,0,1500000,40000007,90,30020008,92100803,40000003,600,40000004,720,40000007,300
236,101008,26,9,1761,50,1258,0,1560000,40000007,90,30020008,92100803,40000003,600,40000004,720,40000007,390
237,101008,27,9,1829,50,1306,0,1620000,40000007,120,30020008,92100803,40000003,600,40000004,720,40000007,510
238,101008,28,9,1896,50,1354,0,1680000,40000007,120,30020008,92100803,40000003,600,40000004,720,40000007,630
239,101008,29,9,1964,50,1403,0,1740000,40000007,120,30020008,92100803,40000003,600,40000004,720,40000007,750
240,101008,30,9,2032,50,1451,0,1800000,40000007,150,30020008,92100804,40000003,600,40000004,720,40000007,900
241,101009,1,4,29,0,77,0,60000,40000003,30,0,92100901,40000003,30,40000004,0,40000007,0
242,101009,2,4,58,0,154,0,120000,40000003,30,0,92100901,40000003,60,40000004,0,40000007,0
243,101009,3,4,87,0,232,0,180000,40000003,30,0,92100901,40000003,90,40000004,0,40000007,0
244,101009,4,4,116,0,309,0,240000,40000003,30,0,92100901,40000003,120,40000004,0,40000007,0
245,101009,5,5,145,0,387,0,300000,40000003,45,0,92100901,40000003,165,40000004,0,40000007,0
246,101009,6,5,174,0,464,0,360000,40000003,60,0,92100901,40000003,225,40000004,0,40000007,0
247,101009,7,5,203,0,541,0,420000,40000003,60,0,92100901,40000003,285,40000004,0,40000007,0
248,101009,8,5,232,0,619,0,480000,40000003,75,0,92100901,40000003,360,40000004,0,40000007,0
249,101009,9,5,261,0,696,0,540000,40000003,90,0,92100901,40000003,450,40000004,0,40000007,0
250,101009,10,6,290,0,774,0,600000,40000003,150,0,92100902,40000003,600,40000004,0,40000007,0
251,101009,11,6,319,0,851,0,660000,40000004,30,0,92100902,40000003,600,40000004,30,40000007,0
252,101009,12,6,348,0,929,0,720000,40000004,30,0,92100902,40000003,600,40000004,60,40000007,0
253,101009,13,6,377,0,1006,0,780000,40000004,45,0,92100902,40000003,600,40000004,105,40000007,0
254,101009,14,6,406,0,1083,0,840000,40000004,45,0,92100902,40000003,600,40000004,150,40000007,0
255,101009,15,7,435,15,1161,-150,900000,40000004,60,0,92100902,40000003,600,40000004,210,40000007,0
256,101009,16,7,464,15,1238,-150,960000,40000004,75,0,92100902,40000003,600,40000004,285,40000007,0
257,101009,17,7,493,15,1316,-150,1020000,40000004,75,0,92100902,40000003,600,40000004,360,40000007,0
258,101009,18,7,522,15,1393,-150,1080000,40000004,90,0,92100902,40000003,600,40000004,450,40000007,0
259,101009,19,7,551,15,1470,-150,1140000,40000004,120,0,92100902,40000003,600,40000004,570,40000007,0
260,101009,20,8,580,15,1548,-150,1200000,40000004,150,0,92100903,40000003,600,40000004,720,40000007,0
261,101009,21,8,609,15,1625,-150,1260000,40000007,30,30020008,92100903,40000003,600,40000004,720,40000007,30
262,101009,22,8,638,15,1703,-150,1320000,40000007,60,30020008,92100903,40000003,600,40000004,720,40000007,90
263,101009,23,8,667,15,1780,-150,1380000,40000007,60,30020008,92100903,40000003,600,40000004,720,40000007,150
264,101009,24,8,696,15,1858,-150,1440000,40000007,60,30020008,92100903,40000003,600,40000004,720,40000007,210
