id,type,row,rcolor,gcolor,bcolor,fontsize,instruction
21,8,5,40,30,10,20,5.普通英雄0分，稀有英雄5分，稀有+英雄15分；精英英雄50分，精英+英雄150分，史诗英雄500分，史诗+英雄650分，传说英雄1300分，传说+英雄2000分，神话英雄2500分，神话英雄后每颗星加300分，永恒英雄4600分，永恒英雄每颗星增加600分
22,9,1,40,30,10,20,1.可以选择自己、好友或公会成员的派遣英雄激活指定英雄之绊。
23,9,2,40,30,10,20,2.不同英雄之绊，可提升指定英雄的实力。
24,9,3,40,30,10,20,3.越高品质的派遣英雄，能激活越强的英雄之绊。
25,9,4,40,30,10,20,4.可以在“我的派遣”调整借给好友的派遣英雄。
26,9,5,40,30,10,20,5.如果7日不上线或失去指定英雄，则派遣英雄自动失效。
27,10,1,40,30,10,20,1.最多可以添加30名好友。
28,10,2,40,30,10,20,2.点击“切磋”按钮，可以挑战好友在竞技场中的防守阵容哦
29,10,3,40,30,10,20,3.每天最多可赠送30个好友“友情点”，最多可领取20个好友赠送的友情点。
30,10,4,40,30,10,20,4.获得的“友情点”，可以在招募中抽取英雄。
31,11,1,40,30,10,20,1.玩家的同一个英雄，只能借给一名好友，对方可使用最多一周，雇佣的英雄在周一5点统一归还。
32,11,2,40,30,10,20,2.玩家可向好友或者同公会拥有无畏之手称号的成员发起雇佣请求，好友或成员同意后，可使用雇佣的英雄上阵。
33,11,3,40,30,10,20,3.玩家只能向好友雇佣史诗品质及以上的英雄，试炼之塔、4座属性高塔、主线关卡每周分别仅可使用一名雇佣的英雄获胜一次战斗。
34,11,4,40,30,10,20,4.只有在战斗获胜才会扣除使用佣兵的次数，失败不扣除。
35,11,5,40,30,10,20,5.每周同时最多可雇佣3名英雄，最多同时可发送5条雇佣请求。
36,11,6,40,30,10,20,6.雇佣到的英雄，战力会由好友与自己的战斗力共同决定。
37,11,7,40,30,10,20,7.不能雇佣超过7天未上线好友的英雄。
38,12,1,40,30,10,20,1.每次开启公会挑战，公会所有成员均可参与挑战，提升贵族等级可增加挑战次数
39,12,2,40,30,10,20,2.战斗中BOSS每失去一定的血量，就会叠加一层能力提升状态，该状态无限叠加且不可被驱散
40,12,3,40,30,10,20,3.战斗限时到期或一方全部战败则结束战斗，并根据本场战斗打掉BOSS的血量结算战斗奖励
41,12,4,40,30,10,20,4.公会挑战每天凌晨5点重置
42,12,5,40,30,10,20,5.公会挑战重置时，根据公会中单场对BOSS造成的最高伤害，通过邮件给予参与攻打的公会成员额外奖励
43,13,1,40,30,10,20,1.需要消耗公会活跃才能开启额外挑战
44,13,2,40,30,10,20,2.会长和副会长有开启权限
45,13,3,40,30,10,20,3.开启后持续一定时间，在持续时间内，公会所有成员均可参与挑战，提升贵族等级可增加挑战次数
46,13,4,40,30,10,20,4.战斗中BOSS每失去一定的血量，就会叠加一层能力提升状态，该状态无限叠加且不可被驱散
47,13,5,40,30,10,20,5.战斗限时到期或一方全部战败则结束战斗，并根据本场战斗打掉BOSS的血量结算战斗奖励
48,13,6,40,30,10,20,6.持续时间结束后，额外挑战自动关闭
49,13,7,40,30,10,20,7.额外挑战关闭后，根据公会中单场对BOSS造成的最高伤害，通过邮件给予参与攻打的公会成员额外奖励
50,14,1,40,30,10,20,1.在竞技场中，玩家可通过挑战其他玩法获得竞技场积分，赢取奖励
51,14,2,40,30,10,20,2.每次挑战都需要消耗1张战斗之证，有免费挑战次数时会优先消耗免费挑战次数
52,14,3,40,30,10,20,3.玩法在战斗中胜利则获得积分，失败则损失积分
53,14,4,40,30,10,20,4.战斗超时则判防守方胜利
54,14,5,40,30,10,20,5.每天将根据竞技场的积分排名，通过邮件给予对应排名奖励
55,14,6,40,30,10,20,6.赛季结束时，根据玩家竞技场积分排名，通过邮件给予对应赛季奖励，并重塑所有玩家竞技场积分
56,14,7,40,30,10,20,7.新的赛季必须进入一次竞技场才会获得初始积分，积分排名和排名奖励
57,15,1,40,30,10,20,1.勇士竞技场采用3局2胜制，战斗若超时则判守方胜利
58,15,2,40,30,10,20,2.每次挑战都需要消耗1张荣耀之证，有免费挑战次数时会优先消耗免费挑战次数
59,15,3,40,30,10,20,3.挑战胜利则双方交换段位，失败则保持原位不变
60,15,4,40,30,10,20,4.段位越高则每小时获得的竞技场硬币越多，进入最强王者还会额外获得高级竞技场积分
61,15,5,40,30,10,20,5.竞技场宝箱可积累10000竞技场硬币，请及时领取；每个玩家身上最多可携带500000竞技场硬币，请及时兑换
62,1111,1,40,30,10,20,6.赛季结束后，勇士竞技场积分排行前10且拥有至少5个神话+的玩家将自动进入永恒竞技场，然后所有玩家积分将被清零
63,1111,2,40,30,10,20,7.新的赛季中未登陆进入勇士竞技场的玩家无法晋级永恒竞技场
64,16,1,40,30,10,20,1.在黎明教堂内，可以对英雄进行升阶，提升他们的品质。
65,16,2,40,30,10,20,2.升阶需要消耗符合条件的对应英雄。
66,16,3,40,30,10,20,3.升阶过程完成后，被消耗的英雄将会消失，但是这些英雄身上的装备，培养他们消耗的金币，经验和魔粉将会归还。
67,17,1,40,30,10,20,完成每日任务可获得每日活跃度，活跃度达到一定数量即可领取活跃日宝箱
68,18,1,40,30,10,20,完成每周任务可获得每周活跃度，活跃度达到一定数量即可领取活跃周宝箱
69,19,1,40,30,10,20,1.在赏金栏中可以接受不同等级赏金任务，英雄完成对应要求的赏金任务后可以获得相应的奖励。
70,19,2,40,30,10,20,2赏金任务分为个人赏金和团队赏金，执行团队赏金时可以使用好友设置的派遣英雄
71,19,3,40,30,10,20,3.不同的赏金任务包含的阵营和星级均有不同的要求，一个英雄只能选择进行一个任务
72,19,4,40,30,10,20,4.刷新可以重塑当前所有未开始执行的个人赏金任务，每天6点会自动刷新1次，也可以通过消耗钻石刷新。
73,19,5,40,30,10,20,5.团队赏金任务每天定时增加1个，每个团队赏金任务可以保留7天。
74,20,1,240,240,240,24,动态属性如何计算？
75,20,2,240,240,240,20,英雄在当前等级和品阶下的属性（不含英雄之绊、装备、神器所带来的的额外成长），乘以专属装备提高的百分比属性来计算这件装备最终的属性加成。
76,20,3,240,240,240,20,英雄等级和品阶越高，专属装备提供的属性加成越多，专属装备强化等级越高，专属装备提供的属性加成越多。
77,21,1,40,30,10,20,完成当前进度可获得宝箱内的奖励
78,21,2,40,30,10,20,每招募100次会获得一张阵营英雄选择卡
79,21,3,40,30,10,20,普通卡池及阵营卡池累计500次抽取后宝箱奖励将会升级
80,22,1,40,30,10,20,1.英雄愿望单中每个阵营可以选择5个英雄，总计20个英雄
81,22,2,40,30,10,20,2.招募出精英级英雄时，会有较高的几率招募到愿望单中的英雄，但不会增加获得精英级英雄的总概率
82,22,3,40,30,10,20,3.将英雄愿望单中不选择5个英雄时，不会增加其他愿望单英雄的获得概率
83,22,4,40,30,10,20,4.不能选择光明和暗影的英雄到愿望单中
84,23,1,40,30,10,20,订阅特权占位
85,24,1,40,30,10,20,1.在巨兽激活界面选择喜欢的巨兽，点击激活按钮进行激活，每个巨兽只允许激活1次。
86,24,2,40,30,10,20,2.初始激活的巨兽为1级，拥有1个主动技能和1个光环技能。
87,24,3,40,30,10,20,3.巨兽的主动技能效果会随着等级的提升而增强。
88,24,4,40,30,10,20,4.当巨兽等级达到上限后，可以将巨兽升阶，升阶后悔改变巨兽主动技能、光环技能和巨兽等级的上限。
89,24,5,40,30,10,20,5.在上阵界面可以选择巨兽上阵，上阵后巨兽的属性会给全队带来属性加成，在战斗中魔兽会释放主动技能。
90,24,6,40,30,10,20,6.巨兽释放主动技能会消耗能量，能量在己方队员释放技能后将会获得。当能量满了之后，巨兽就会进行释放技能。
91,25,1,40,30,10,20,完成当前进度可获得宝箱内的奖励
92,25,2,40,30,10,20,每招募100次会获得一张阵营英雄选择卡
93,26,1,40,30,10,20,1.拥有两个及以上同名且品阶高于精英+的神话级英雄，解锁此功能，其中品阶较低的那个英雄可被降阶。
94,26,2,40,30,10,20,2.降阶英雄将返还升阶必须消耗的同名精英+英雄，以及升阶时消耗的等额同阵营稀有品质英雄卡。
95,27,1,40,30,10,20,1.击败当层敌人可获得丰富的通关奖励并爬升至下一层
96,27,2,40,30,10,20,2.打不过敌人时，试着调整阵容或者站位，或者在通关录像里查看其它玩家最低战力的通关阵容
97,28,1,40,30,10,20,1.只能上阵怒涛联邦的英雄，击败当层敌人可获得丰富的通关奖励并爬升至下一层
98,28,2,40,30,10,20,2.打不过敌人时，试着调整阵容或者站位，或者在通关录像里查看其它玩家最低战力的通关阵容
99,29,1,40,30,10,20,1.只能上阵圣焰部落的英雄，击败当层敌人可获得丰富的通关奖励并爬升至下一层
100,29,2,40,30,10,20,2.打不过敌人时，试着调整阵容或者站位，或者在通关录像里查看其它玩家最低战力的通关阵容
101,30,1,40,30,10,20,1.只能上阵雷鸣之城的英雄，击败当层敌人可获得丰富的通关奖励并爬升至下一层
102,30,2,40,30,10,20,2.打不过敌人时，试着调整阵容或者站位，或者在通关录像里查看其它玩家最低战力的通关阵容
103,31,1,40,30,10,20,1.只能上阵神峰秘境的英雄，击败当层敌人可获得丰富的通关奖励并爬升至下一层
104,31,2,40,30,10,20,2.打不过敌人时，试着调整阵容或者站位，或者在通关录像里查看其它玩家最低战力的通关阵容
105,32,1,40,30,10,20,1.可以使用钻石或占卜劵进行占卜，通过占卜可获得英雄、神器碎片、史诗装备等奖励。
106,32,2,40,30,10,20,2.占卜有一定几率直接获得大量钻石。
107,32,3,40,30,10,20,3.可随意修改奖池目标英雄。
108,33,1,40,30,10,20,1.永恒竞技场只能上阵神话级及以上的英雄
109,33,2,40,30,10,20,2.在永恒竞技场中所有英雄统一为240级；装备统一为传说级，且无种族和强化；英雄羁绊属性全满；去除神器；保留专属
110,33,3,40,30,10,20,3.勇士竞技场赛季累计积分排名前10，且拥有至少5个神话级及以上英雄的玩家，将获得资格参战永恒竞技场小组赛
111,33,4,40,30,10,20,4.所有参战玩家将随机组合进行小组赛，每组第一名入选64强。小组赛使用循环赛制，战绩相同按玩家总战力排序。小组赛战斗开始前1小时不可更改阵容
112,33,5,40,30,10,20,5.永恒竞技场每天进行1场比赛，比赛结束后休赛等待新一轮赛季
113,33,6,40,30,10,20,6.永恒竞技场的64强，8强，4强及冠军都将获得超稀有的边框奖励
114,33,7,40,30,10,20,7.永恒竞技场采用车轮战模式，每场未阵亡的英雄会保留血量进行下场战斗
115,33,8,40,30,10,20,8.若战斗超时，则在场存活英雄数多的一方获胜；若双方存活英雄数量相同，则存活英雄总血量百分比较多的一方获胜；判定胜负后失败一方剩余英雄全部退场
116,34,1,40,30,10,20,1.永恒竞技场小组赛21点自动匹配战斗，当天完成所有小组赛战斗
117,34,2,40,30,10,20,2.小组赛采用循环赛制，参赛队伍会循环交战直至与小组中全部队伍都战斗并分出胜负
118,34,3,40,30,10,20,3.根据战绩排名第1的玩家入选永恒竞技场晋级赛64强，战绩相同则按玩家总战力排序
119,34,4,40,30,10,20,4.小组赛战斗开始前1小时不可更改阵容
120,34,5,40,30,10,20,5.若小组中人数为单数，则有可能当日战斗轮空
121,34,6,40,30,10,20,6.永恒竞技场采用车轮战模式，每场未阵亡的英雄会保留血量进行下场战斗
122,34,7,40,30,10,20,7.若战斗超时，则在场存活英雄数多的一方获胜；若双方存活英雄数量相同，则存活英雄总血量百分比较多的一方获胜；判定胜负后失败一方剩余英雄全部退场
123,35,1,40,30,10,20,1.永恒竞技场64强晋级赛开赛后，所有玩家在每轮比赛可以支持一位参赛者，若该选手胜利则竞猜成功，反之则失败。冠军赛参赛者只能支持自己
124,35,2,40,30,10,20,2.每轮竞猜的场次由系统决定，会优先推送有同公会或同服参赛选手的场次
125,35,3,40,30,10,20,3.每次竞猜的金额，为玩家挂机48小时的金币产出
126,35,4,40,30,10,20,4.支持的选手若取得本场比赛胜利，则玩家赢得支持金币数2倍的金额，奖励通过邮件发放
127,36,1,40,30,10,20,1.永恒荣耀榜是同赛区玩家在荣耀之路的达成情况排名
128,36,2,40,30,10,20,2.相同达成情况的玩家，完成时间较早的排名较前；排名相同，则根据玩家总战力排序
129,36,3,40,30,10,20,3.永恒荣耀榜只展示排名前50的玩家
130,37,1,40,30,10,20,如何提升贵族经验?
131,37,2,40,30,10,20,—提升玩家等级
132,37,3,40,30,10,20,—购买商城中的钻石或礼包
133,38,1,40,30,10,20,1.领主通行证通过关卡开启
134,38,2,40,30,10,20,2.领主通行证活动周期为49天。
135,38,3,40,30,10,20,3.活动周期内获得的领主声望越多，解锁的领主通行证奖励越丰厚。领主声望可以从“日常任务”和“周长任务”的宝箱中获取。
136,38,4,40,30,10,20,4.领主通行证重置时，所有可以领取但是未领取的奖励将会通过邮件发放。
137,38,5,40,30,10,20,5.购买高级领主通行证的玩家，在领主通行证重置前4天还未领取全部奖励的玩家，可以通过钻石购买领主声望。
138,38,6,40,30,10,20,6.购买高级通行证可以获得贵族经验X1630。
139,38,7,40,30,10,20,7.高级通行证仅在解锁的周期内生效，并非永久生效。
140,39,1,40,30,10,20,1.地牢刷新时，通过主线关卡开启冒险通行证.
141,39,2,40,30,10,20,2.冒险通行证活动周期44天.
142,39,3,40,30,10,20,3.击败地牢中每一层最后一个boss可以获得冒险勋章，获得的冒险勋章越多，解锁的冒险通行证奖励越丰厚.
143,39,4,40,30,10,20,4.冒险通行证重置时，所有可以领取但是未领取的奖励将会通过邮件发放.
144,39,5,40,30,10,20,5.已经购买高级冒险通行证，同时在冒险通行证重置前4天还未领取全部奖励的玩家，可以通过钻石购买冒险勋章.
145,39,6,40,30,10,20,6.解锁高级通行证可以获得贵族经验X1630
146,39,7,40,30,10,20,7.高级通行证仅在解锁的周期内生效，并非永久生效.
147,40,1,40,30,10,20,1.所有星辰英雄，只能通过培养链接来提升自己的品阶
148,40,2,40,30,10,20,2.每一个星辰英雄，都可以选择一名非星辰英雄进行培养链接，链接完成后，星辰英雄的品阶和等级会始终和链接目标一致
149,40,3,40,30,10,20,3.星辰英雄培养链接后，将返还该英雄升级消耗的所有资源，且不能升级
150,40,4,40,30,10,20,4.每一个星辰英雄，与对应链接的目标不能同时出场战斗
151,40,5,40,30,10,20,5.培养链接可以随时解锁，解锁消耗100钻石，解锁后，星辰英雄恢复精英品阶，等级重置为1级，且可以正常升级
152,40,6,40,30,10,20,6.如果培养链接的目标被消耗掉，自动恢复对应的星辰英雄的品阶和等级，且不消耗钻石
153,41,1,40,30,10,20,1.暗影空间每2天开启一次
154,41,2,40,30,10,20,2.根据玩家法阵的平均历史最高等级，进入不同层级的暗影空间中，同一层的玩家成绩会计入同一排行榜
155,41,3,40,30,10,20,3.玩家进入暗影空间的层级，取决于被分配到同一排行榜的玩家，他们的法阵平均等级
156,41,4,40,30,10,20,4.在暗影空间中，玩家英雄的等级，将被同一为同一等级，但不影响英雄的装备、品阶
157,41,5,40,30,10,20,5.玩家只能上阵法阵中的英雄，星辰英雄和佣兵
158,41,6,40,30,10,20,6.BOSS每失去一定血量，就会叠加一层能力提升状态
159,41,7,40,30,10,20,7.每期可以免费挑战5次，之后可以花费钻石重置挑战次数，最多重置99次。进入战斗即消耗1次挑战次数
160,41,8,40,30,10,20,8.在暗影空间中，每次挑战只能上阵1名佣兵，但上阵次数不限
161,41,9,40,30,10,20,9.每次挑战后的最高伤害，将会计入排行榜进行实时排名，最终的排名情况以结算时为准
162,41,10,40,30,10,20,10.每期暗影空间的奖励，将在结束后用邮件发放
163,42,1,40,30,10,20,1.此处显示的奖励，表示以当前的排行和伤害情况结算将会获得的奖励，最终实际的奖励情况以结算时的数据为准
164,42,2,40,30,10,20,2.排行奖励，与玩家在空间排行榜中的分段成绩和暗影空间层级有关
165,42,3,40,30,10,20,3.公会成员参与暗影空间的BOSS挑战，如果进入传奇分段，则会贡献传奇积分
166,42,4,40,30,10,20,4.根据全公会在本期BOSS中获得的传奇积分总和，会给参与过挑战的成员发放对应的奖励，未参与挑战的玩家，将不会获得公会奖励
167,42,5,40,30,10,20,5.玩家在结算前离开公会，将不能获得公会奖励
168,43,1,40,30,10,20,1.根据每个玩家的最高伤害，排名前50的玩家将直接进入传奇分段
169,43,2,40,30,10,20,2.钻石、黄金、白银、青铜分段的目标伤害，与近几期的各分段战绩有关
170,43,3,40,30,10,20,3.除传奇分段外，其他每个分段会被分为5个小段
171,43,4,40,30,10,20,4.排行榜可以查看对应玩家打出该伤害的战报，作为推荐阵容参考
172,43,5,40,30,10,20,5.排行榜的情况，会随玩家的不断参与而发生变化，最终的排行奖励，以结算时的数据为准
173,43,6,40,30,10,20,6.如果某个分段及低于该分段都没有玩家，则这些分段不会显示在排行榜中
174,44,1,40,30,10,20,1.每个精英英雄在获得或第一次升至新的品阶，都会获得生命水晶。
175,44,2,40,30,10,20,2.生命水晶可以提升创世神木的等级
176,44,3,40,30,10,20,3.创世神木的属性作用于所有英雄
177,44,4,40,30,10,20,4.创世神木到达10级后，将会解锁坦克、战士、游侠、法师、辅助的五种神木力量。
178,44,5,40,30,10,20,5.神木力量可以使用希望泉水升级，且提升对应职业的属性。
179,45,1,40,30,10,20,1.玩家可自行开启或关闭副本，关闭后再次开启副本则会重置
180,45,2,40,30,10,20,2.副本中的奖励都只能领取一次
181,45,3,40,30,10,20,3.副本中每次挑战同时只能上阵一名佣兵，但上阵次数不限
182,45,4,40,30,10,20,4.单次副本中玩家的英雄状态和怪物的状态都会记录保存
183,45,5,40,30,10,20,5.可从副本中获得丰厚的奖励
184,46,1,40,30,10,20,1.地牢每48小时刷新一次，刷新后，所有怪物、奖励和建筑都将重新生成。
185,46,2,40,30,10,20,2.玩家可以前往与当前格子相邻的格子进行探索。
186,46,3,40,30,10,20,3.玩家没达到一个新的格子，和这个格子处在同一列的其他格子将会被摧毁。所以，选择前进路线请谨慎。
187,46,4,40,30,10,20,4.击败地牢守卫获得“地牢币”可以在地牢商店中使用，兑换相应的货物。
188,46,5,40,30,10,20,5.击败怪物，可以获得遗物宝箱，玩家可以随机从几个遗物中选取一个，不同的遗物具有各不相同的效果。
189,46,6,40,30,10,20,6.遗物是一种特殊物品，只有在地牢中生效和查看，不会对迷宫外的战斗有效果。
190,46,7,40,30,10,20,7.每次地牢重置后，获得的遗物将会消失。
191,46,8,40,30,10,20,8.地牢的敌人来自于魔化的其他玩家的竞技场防守阵容。
192,47,1,40,30,10,20,活动期间通过以下途径累积积分获得奖励
193,47,1,40,30,10,20,1、竞技场挑战取胜一次得3分
194,47,1,40,30,10,20,2、竞技场挑战失败一次得1分
195,47,1,40,30,10,20,竞技场排名越高奖励越多哦
196,48,1,40,30,10,20,活动期间通过以下途径累积积分获得奖励
197,48,1,40,30,10,20,1、勇者竞技场挑战取胜一次得3分
198,48,1,40,30,10,20,2、勇者竞技场挑战失败一次得1分
199,48,1,40,30,10,20,活动期间通过以下途径累积积分获得奖励
200,49,1,40,30,10,20,1.每个星云包含多个星座，每个星座包含多个星耀
201,49,2,40,30,10,20,2.完成指定条件即可解锁对应星座
202,49,3,40,30,10,20,3.达成条件并解锁前置星耀才可进入解锁副本
203,49,4,40,30,10,20,4.完成解锁副本领取全部奖励即自动解锁星耀，同时激活星耀效果
204,49,5,40,30,10,20,5.星耀有各种收益加成效果，相同类型的加成效果会叠加
205,49,6,40,30,10,20,6.所有星耀效果不受贵族特权效果影响，也不影响贵族特权效果
206,50,1,40,30,10,20,1.购买月卡后，每日可以在本界面领取对应的钻石和积分。
207,50,2,40,30,10,20,2.两张月卡可以同时累计积分。
208,50,3,40,30,10,20,3.月卡积分累计到一定数量后，可以获取积分奖励（积分奖励领取完后，所有奖励会重置！！！！）
209,50,4,40,30,10,20,4.在月卡期间可以享受月卡对应的特权
210,51,1,40,30,10,20,1. 活动期间，每天5点刷新免费挑战次数，免费挑战次数用完后可花费钻石刷新免费挑战次数
211,51,2,40,30,10,20,2. 进入战斗即扣除1次挑战次数
212,51,3,40,30,10,20,3. BOSS每失去一定血量，就会叠加一层能力提升状态
213,51,4,40,30,10,20,4. 每次挑战后的最高伤害，将会计入排行榜进行实时排名，最终的排名情况以结算时为准
214,51,5,40,30,10,20,5. 活动结束后排名奖励通过邮件发放
215,51,6,40,30,10,20,6. 完成每日挑战目标任务可获得代币，在兑换中兑换需要的道具
216,51,7,40,30,10,20,7. 代币在活动结束后将自动兑换为金币，并通过邮件发放
217,52,1,40,30,10,20,1.在活动时间内，完成任务目标可以获得招募积分和奖励。
218,52,2,40,30,10,20,2.累计招募积分可以领取累计奖励，并且招募积分还可参与排行榜中的排行。
219,52,3,40,30,10,20,3. 避免招募积分未领取影响排名，将活动结束后的第1天作为领取奖励时期，活动结束后的第2天凌晨5点，根据招募积分进行排名，以邮件的形式发送奖励！
220,53,1,40,30,10,20,1.在次元召唤中，每召唤1次获得10积分，每召唤10次获得100积分
221,53,2,40,30,10,20,2.积分达到一定值，即可领取积分奖励。
222,53,3,40,30,10,20,3.活动期间会根据当前获得积分高低进行排名，同积分的先达到的排在前面！！
223,53,4,40,30,10,20,4.活动结束后，会进入一个展示期，根据玩家在此活动中获得的最终积分进行排名，根据排名不同玩家可在此页面手动领取自己排名对应的奖励！！
224,54,1,40,30,10,20,1.至尊竞技活动进行时，每天有5次免费挑战次数，每天凌晨5点刷新免费挑战次数
225,54,2,40,30,10,20,2.每次挑战需要消耗1次挑战次数，免费挑战次数不足时可花费钻石购买挑战次数
226,54,3,40,30,10,20,3.若挑战胜利且对手段位比自己高则互换段位，否则段位不变；战斗超时则判守方胜利
227,54,4,40,30,10,20,4.首次达到指定段位可领取段位奖励
228,54,5,40,30,10,20,5.活动结束后，根据结束时的段位通过邮件发放段位奖励；至尊段位玩家会获得额外至尊排名奖励
229,55,1,40,30,10,20,1. 活动期间，每天5点刷新挑战次数
230,55,2,40,30,10,20,2. 根据玩家对BOSS造成的伤害计算获得的奖励
231,55,3,40,30,10,20,3. 若不满意挑战结果，可重试进行再次挑战
232,55,4,40,30,10,20,4. 每天可无限次重试，但只能获得1次奖励
233,56,1,40,30,10,20,1. 活动期间，可消耗指定道具进行抽奖
234,56,2,40,30,10,20,2. 前20轮每轮都可以指定一个道具为本轮大奖
235,56,3,40,30,10,20,3. 每10轮可以指定一个超级大奖
236,56,4,40,30,10,20,4. 抽出本轮大奖后即可进入下一轮
237,56,5,40,30,10,20,5. 20轮之后没有大奖，抽取所有道具后可进入下一轮
238,57,1,40,30,10,20,玩法说明：
239,57,2,40,30,10,20,1.每天12:00-24:00点为进攻时间
240,57,3,40,30,10,20,2.神每次被击杀后等级提升1级
241,57,4,40,30,10,20,3.神等级每天5:00重置为1级
242,57,5,40,30,10,20,4.排行五分钟刷新一次
243,57,6,40,30,10,20,5.活动结束后一天为排行奖励领取时间
244,57,7,40,30,10,20,奖励说明：
245,57,8,40,30,10,20,1.每次进攻必获得进攻奖励
246,57,9,40,30,10,20,2.每次进攻概率获得随机奖励
247,57,10,40,30,10,20,3.击杀神的玩家会额外获得击杀奖励
248,57,10,40,30,10,20,4.神被击杀时参与过进攻的玩家可获得参与奖励
