taskid,sort,group,taskname,type,taskrank,awardtype,tasktypes,n1,n2,n3,n4,uicontent,content,teamexp,item1,itemnum1,value1,item2,itemnum2,value2,item3,itemnum3,value3,item4,itemnum4,value4,iconid,latertask
1004002,2,4,招兵募马I,1,普通,1,2,202,0,0,0,响应王国号召，帮助募兵,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,1004003
1004003,3,4,招兵募马I,1,普通,2,2,202,0,0,0,响应王国号召，帮助募兵,向王国提交,0,21000004,1,100,0,0,0,0,0,0,0,0,0,renwu_01_010,0
1005001,1,5,冶炼兵器I,1,普通,1,2,214,0,0,0,响应王国号召，捐助锻造材料,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,1005002
1005002,2,5,冶炼兵器I,1,普通,1,2,214,0,0,0,响应王国号召，捐助锻造材料,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,1005003
1005003,3,5,冶炼兵器I,1,普通,2,2,214,0,0,0,响应王国号召，捐助锻造材料,向王国提交,0,21000005,1,100,0,0,0,0,0,0,0,0,0,renwu_01_010,0
1006001,1,6,宗教宣传I,1,普通,1,2,220,0,0,0,为宗教普及，提供物资帮助,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,1006002
1006002,2,6,宗教宣传I,1,普通,1,2,220,0,0,0,为宗教普及，提供物资帮助,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,1006003
1006003,3,6,宗教宣传I,1,普通,2,2,220,0,0,0,为宗教普及，提供物资帮助,向王国提交,0,21000006,1,100,0,0,0,0,0,0,0,0,0,renwu_01_010,0
2001001,1,7,清剿匪徒II,2,困难,1,186,2,0,0,0,清剿侵犯帝国的怪物,剧情副本通关 2次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,2001002
2001002,2,7,清剿匪徒II,2,困难,1,186,2,0,0,0,清剿侵犯帝国的怪物,剧情副本通关 2次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,2001003
2001003,3,7,清剿匪徒II,2,困难,1,186,2,0,0,0,清剿侵犯帝国的怪物,剧情副本通关 2次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,2001004
2001004,4,7,清剿匪徒II,2,困难,1,186,2,0,0,0,清剿侵犯帝国的怪物,剧情副本通关 2次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,2001005
2001005,5,7,清剿匪徒II,2,困难,2,186,2,0,0,0,清剿侵犯帝国的怪物,剧情副本通关 2次,0,21000011,1,100,0,0,0,0,0,0,0,0,0,renwu_01_010,0
2002001,1,8,珍品贸易II,2,困难,1,186,2,0,0,0,击败商路上的流寇,剧情副本通关 2次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,2002002
2002002,2,8,珍品贸易II,2,困难,1,186,2,0,0,0,击败商路上的流寇,剧情副本通关 2次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,2002003
2002003,3,8,珍品贸易II,2,困难,1,186,2,0,0,0,击败商路上的流寇,剧情副本通关 2次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,2002004
2002004,4,8,珍品贸易II,2,困难,1,186,2,0,0,0,击败商路上的流寇,剧情副本通关 2次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,2002005
2002005,5,8,珍品贸易II,2,困难,2,186,2,0,0,0,击败商路上的流寇,剧情副本通关 2次,0,21000012,1,100,0,0,0,0,0,0,0,0,0,renwu_01_010,0
2003001,1,9,税款征收II,2,困难,1,186,2,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 2次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,2003002
2003002,2,9,税款征收II,2,困难,1,186,2,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 2次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,2003003
2003003,3,9,税款征收II,2,困难,1,186,2,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 2次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,2003004
2003004,4,9,税款征收II,2,困难,1,186,2,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 2次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,2003005
2003005,5,9,税款征收II,2,困难,2,186,2,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 2次,0,21000013,1,100,0,0,0,0,0,0,0,0,0,renwu_01_010,0
2004001,1,10,招兵募马II,2,困难,1,2,202,0,0,0,响应王国号召，帮助募兵,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,2004002
2004002,2,10,招兵募马II,2,困难,1,2,202,0,0,0,响应王国号召，帮助募兵,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,2004003
2004003,3,10,招兵募马II,2,困难,1,2,202,0,0,0,响应王国号召，帮助募兵,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,2004004
2004004,4,10,招兵募马II,2,困难,1,2,202,0,0,0,响应王国号召，帮助募兵,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,2004005
2004005,5,10,招兵募马II,2,困难,2,2,202,0,0,0,响应王国号召，帮助募兵,向王国提交,0,21000014,1,100,0,0,0,0,0,0,0,0,0,renwu_01_010,0
2005001,1,11,冶炼兵器II,2,困难,1,2,214,0,0,0,响应王国号召，捐助锻造材料,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,2005002
2005002,2,11,冶炼兵器II,2,困难,1,2,214,0,0,0,响应王国号召，捐助锻造材料,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,2005003
2005003,3,11,冶炼兵器II,2,困难,1,2,214,0,0,0,响应王国号召，捐助锻造材料,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,2005004
2005004,4,11,冶炼兵器II,2,困难,1,2,214,0,0,0,响应王国号召，捐助锻造材料,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,2005005
2005005,5,11,冶炼兵器II,2,困难,2,2,214,0,0,0,响应王国号召，捐助锻造材料,向王国提交,0,21000015,1,100,0,0,0,0,0,0,0,0,0,renwu_01_010,0
2006001,1,12,宗教宣传II,2,困难,1,2,220,0,0,0,为宗教普及，提供物资帮助,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,2006002
2006002,2,12,宗教宣传II,2,困难,1,2,220,0,0,0,为宗教普及，提供物资帮助,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,2006003
2006003,3,12,宗教宣传II,2,困难,1,2,220,0,0,0,为宗教普及，提供物资帮助,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,2006004
2006004,4,12,宗教宣传II,2,困难,1,2,220,0,0,0,为宗教普及，提供物资帮助,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,2006005
2006005,5,12,宗教宣传II,2,困难,2,2,220,0,0,0,为宗教普及，提供物资帮助,向王国提交,0,21000016,1,100,0,0,0,0,0,0,0,0,0,renwu_01_010,0
3001001,1,13,清剿匪徒III,3,稀有,1,186,3,0,0,0,清剿侵犯帝国的怪物,剧情副本通关 3次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3001002
3001002,2,13,清剿匪徒III,3,稀有,1,186,3,0,0,0,清剿侵犯帝国的怪物,剧情副本通关 3次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3001003
3001003,3,13,清剿匪徒III,3,稀有,1,186,3,0,0,0,清剿侵犯帝国的怪物,剧情副本通关 3次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3001004
3001004,4,13,清剿匪徒III,3,稀有,1,186,3,0,0,0,清剿侵犯帝国的怪物,剧情副本通关 3次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3001005
3001005,3,13,清剿匪徒III,3,稀有,1,186,3,0,0,0,清剿侵犯帝国的怪物,剧情副本通关 3次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3001006
3001006,4,13,清剿匪徒III,3,稀有,1,186,3,0,0,0,清剿侵犯帝国的怪物,剧情副本通关 3次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3001007
3001007,5,13,清剿匪徒III,3,稀有,2,186,3,0,0,0,清剿侵犯帝国的怪物,剧情副本通关 3次,0,21000101,1,100,0,0,0,0,0,0,0,0,0,renwu_01_010,0
3002001,1,14,珍品贸易III,3,稀有,1,186,3,0,0,0,击败商路上的流寇,剧情副本通关 3次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3002002
3002002,2,14,珍品贸易III,3,稀有,1,186,3,0,0,0,击败商路上的流寇,剧情副本通关 3次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3002003
3002003,3,14,珍品贸易III,3,稀有,1,186,3,0,0,0,击败商路上的流寇,剧情副本通关 3次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3002004
3002004,4,14,珍品贸易III,3,稀有,1,186,3,0,0,0,击败商路上的流寇,剧情副本通关 3次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3002005
3002005,5,14,珍品贸易III,3,稀有,1,186,3,0,0,0,击败商路上的流寇,剧情副本通关 3次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3002006
3002006,6,14,珍品贸易III,3,稀有,1,186,3,0,0,0,击败商路上的流寇,剧情副本通关 3次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3002007
3002007,7,14,珍品贸易III,3,稀有,2,186,3,0,0,0,击败商路上的流寇,剧情副本通关 3次,0,21000102,1,100,0,0,0,0,0,0,0,0,0,renwu_01_010,0
3003001,1,15,税款征收III,3,稀有,1,186,3,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 3次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3003002
3003002,2,15,税款征收III,3,稀有,1,186,3,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 3次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3003003
3003003,3,15,税款征收III,3,稀有,1,186,3,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 3次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3003004
3003004,4,15,税款征收III,3,稀有,1,186,3,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 3次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3003005
3003005,5,15,税款征收III,3,稀有,1,186,3,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 3次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3003006
3003006,6,15,税款征收III,3,稀有,1,186,3,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 3次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3003007
3003007,7,15,税款征收III,3,稀有,2,186,3,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 3次,0,21000103,1,100,0,0,0,0,0,0,0,0,0,renwu_01_010,0
3004001,1,16,招兵募马III,3,稀有,1,2,202,0,0,0,响应王国号召，帮助募兵,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3004002
3004002,2,16,招兵募马III,3,稀有,1,2,202,0,0,0,响应王国号召，帮助募兵,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3004003
3004003,3,16,招兵募马III,3,稀有,1,2,202,0,0,0,响应王国号召，帮助募兵,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3004004
3004004,4,16,招兵募马III,3,稀有,1,2,202,0,0,0,响应王国号召，帮助募兵,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3004005
3004005,5,16,招兵募马III,3,稀有,1,2,202,0,0,0,响应王国号召，帮助募兵,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3004006
3004006,6,16,招兵募马III,3,稀有,1,2,203,0,0,0,响应王国号召，帮助募兵,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3004007
3004007,7,16,招兵募马III,3,稀有,2,2,203,0,0,0,响应王国号召，帮助募兵,向王国提交,0,21000104,1,100,0,0,0,0,0,0,0,0,0,renwu_01_010,0
3005001,1,17,冶炼兵器III,3,稀有,1,2,214,0,0,0,响应王国号召，捐助锻造材料,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3005002
3005002,2,17,冶炼兵器III,3,稀有,1,2,214,0,0,0,响应王国号召，捐助锻造材料,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3005003
3005003,3,17,冶炼兵器III,3,稀有,1,2,214,0,0,0,响应王国号召，捐助锻造材料,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3005004
3005004,4,17,冶炼兵器III,3,稀有,1,2,214,0,0,0,响应王国号召，捐助锻造材料,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3005005
3005005,5,17,冶炼兵器III,3,稀有,1,2,214,0,0,0,响应王国号召，捐助锻造材料,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3005006
3005006,6,17,冶炼兵器III,3,稀有,1,2,215,0,0,0,响应王国号召，捐助锻造材料,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3005007
3005007,7,17,冶炼兵器III,3,稀有,2,2,215,0,0,0,响应王国号召，捐助锻造材料,向王国提交,0,21000105,1,100,0,0,0,0,0,0,0,0,0,renwu_01_010,0
3006001,1,18,宗教宣传III,3,稀有,1,2,220,0,0,0,为宗教普及，提供物资帮助,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3006002
3006002,2,18,宗教宣传III,3,稀有,1,2,220,0,0,0,为宗教普及，提供物资帮助,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3006003
3006003,3,18,宗教宣传III,3,稀有,1,2,220,0,0,0,为宗教普及，提供物资帮助,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3006004
3006004,4,18,宗教宣传III,3,稀有,1,2,220,0,0,0,为宗教普及，提供物资帮助,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3006005
3006005,5,18,宗教宣传III,3,稀有,1,2,220,0,0,0,为宗教普及，提供物资帮助,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3006006
3006006,6,18,宗教宣传III,3,稀有,1,2,221,0,0,0,为宗教普及，提供物资帮助,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,3006007
3006007,7,18,宗教宣传III,3,稀有,2,2,221,0,0,0,为宗教普及，提供物资帮助,向王国提交,0,21000106,1,100,0,0,0,0,0,0,0,0,0,renwu_01_010,0
4001001,1,19,清剿匪徒IV,4,噩梦,1,186,5,0,0,0,清剿侵犯帝国的怪物,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4001002
4001002,2,19,清剿匪徒IV,4,噩梦,1,186,5,0,0,0,清剿侵犯帝国的怪物,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4001003
4001003,3,19,清剿匪徒IV,4,噩梦,1,186,5,0,0,0,清剿侵犯帝国的怪物,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4001004
4001004,4,19,清剿匪徒IV,4,噩梦,1,186,5,0,0,0,清剿侵犯帝国的怪物,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4001005
4001005,5,19,清剿匪徒IV,4,噩梦,1,186,5,0,0,0,清剿侵犯帝国的怪物,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4001006
4001006,6,19,清剿匪徒IV,4,噩梦,1,186,5,0,0,0,清剿侵犯帝国的怪物,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4001007
4001007,7,19,清剿匪徒IV,4,噩梦,1,186,5,0,0,0,清剿侵犯帝国的怪物,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4001008
4001008,8,19,清剿匪徒IV,4,噩梦,1,186,5,0,0,0,清剿侵犯帝国的怪物,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4001009
4001009,9,19,清剿匪徒IV,4,噩梦,1,186,5,0,0,0,清剿侵犯帝国的怪物,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4001010
4001010,10,19,清剿匪徒IV,4,噩梦,2,186,5,0,0,0,清剿侵犯帝国的怪物,剧情副本通关 5次,0,21001001,1,100,0,0,0,0,0,0,0,0,0,renwu_01_010,0
4002001,1,20,珍品贸易IV,4,噩梦,1,186,5,0,0,0,击败商路上的流寇,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4002002
4002002,2,20,珍品贸易IV,4,噩梦,1,186,5,0,0,0,击败商路上的流寇,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4002003
4002003,3,20,珍品贸易IV,4,噩梦,1,186,5,0,0,0,击败商路上的流寇,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4002004
4002004,4,20,珍品贸易IV,4,噩梦,1,186,5,0,0,0,击败商路上的流寇,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4002005
4002005,5,20,珍品贸易IV,4,噩梦,1,186,5,0,0,0,击败商路上的流寇,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4002006
4002006,6,20,珍品贸易IV,4,噩梦,1,186,5,0,0,0,击败商路上的流寇,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4002007
4002007,7,20,珍品贸易IV,4,噩梦,1,186,5,0,0,0,击败商路上的流寇,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4002008
4002008,8,20,珍品贸易IV,4,噩梦,1,186,5,0,0,0,击败商路上的流寇,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4002009
4002009,9,20,珍品贸易IV,4,噩梦,1,186,5,0,0,0,击败商路上的流寇,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4002010
4002010,10,20,珍品贸易IV,4,噩梦,2,186,5,0,0,0,击败商路上的流寇,剧情副本通关 5次,0,21001002,1,100,0,0,0,0,0,0,0,0,0,renwu_01_010,0
4003001,1,21,税款征收IV,4,噩梦,1,186,5,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4003002
4003002,2,21,税款征收IV,4,噩梦,1,186,5,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4003003
4003003,3,21,税款征收IV,4,噩梦,1,186,5,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4003004
4003004,4,21,税款征收IV,4,噩梦,1,186,5,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4003005
4003005,5,21,税款征收IV,4,噩梦,1,186,5,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4003006
4003006,6,21,税款征收IV,4,噩梦,1,186,5,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4003007
4003007,7,21,税款征收IV,4,噩梦,1,186,5,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4003008
4003008,8,21,税款征收IV,4,噩梦,1,186,5,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4003009
4003009,9,21,税款征收IV,4,噩梦,1,186,5,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 5次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4003010
4003010,10,21,税款征收IV,4,噩梦,2,186,5,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 5次,0,21001003,1,100,0,0,0,0,0,0,0,0,0,renwu_01_010,0
4004001,1,22,招兵募马IV,4,噩梦,1,2,202,0,0,0,响应王国号召，帮助募兵,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4004002
4004002,2,22,招兵募马IV,4,噩梦,1,2,202,0,0,0,响应王国号召，帮助募兵,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4004003
4004003,3,22,招兵募马IV,4,噩梦,1,2,202,0,0,0,响应王国号召，帮助募兵,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4004004
4004004,4,22,招兵募马IV,4,噩梦,1,2,202,0,0,0,响应王国号召，帮助募兵,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4004005
4004005,5,22,招兵募马IV,4,噩梦,1,2,202,0,0,0,响应王国号召，帮助募兵,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4004006
4004006,6,22,招兵募马IV,4,噩梦,1,2,203,0,0,0,响应王国号召，帮助募兵,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4004007
4004007,7,22,招兵募马IV,4,噩梦,1,2,203,0,0,0,响应王国号召，帮助募兵,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4004008
4004008,8,22,招兵募马IV,4,噩梦,1,2,203,0,0,0,响应王国号召，帮助募兵,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4004009
4004009,9,22,招兵募马IV,4,噩梦,1,2,203,0,0,0,响应王国号召，帮助募兵,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4004010
4004010,10,22,招兵募马IV,4,噩梦,2,2,203,0,0,0,响应王国号召，帮助募兵,向王国提交,0,21001004,1,100,0,0,0,0,0,0,0,0,0,renwu_01_010,0
4005001,1,23,冶炼兵器IV,4,噩梦,1,2,214,0,0,0,响应王国号召，捐助锻造材料,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4005002
4005002,2,23,冶炼兵器IV,4,噩梦,1,2,214,0,0,0,响应王国号召，捐助锻造材料,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4005003
4005003,3,23,冶炼兵器IV,4,噩梦,1,2,214,0,0,0,响应王国号召，捐助锻造材料,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4005004
4005004,4,23,冶炼兵器IV,4,噩梦,1,2,214,0,0,0,响应王国号召，捐助锻造材料,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4005005
4005005,5,23,冶炼兵器IV,4,噩梦,1,2,214,0,0,0,响应王国号召，捐助锻造材料,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,4005006
