id,activity_type,activity_periods,subsection,ranking,icon,txt,name,section,contain,item1,num1,item2,num2,item3,num3,item4,num4
25,1700,1,4,5,icon_jjc_mlys_03,白银V,白银V,2500,0,42010001,10,91000056,1100,40000003,30,0,0
26,1700,1,5,1,icon_jjc_mlys_02,青铜I,青铜I,2000,0,42010001,10,91000056,1000,40000003,20,0,0
27,1700,1,5,2,icon_jjc_mlys_02,青铜II,青铜II,1500,0,42010001,10,91000056,950,40000003,20,0,0
28,1700,1,5,3,icon_jjc_mlys_02,青铜III,青铜III,1000,0,42010001,10,91000056,900,40000003,20,0,0
29,1700,1,5,4,icon_jjc_mlys_02,青铜IV,青铜IV,500,0,42010001,10,91000056,850,40000003,20,0,0
30,1700,1,5,5,icon_jjc_mlys_02,青铜V,青铜V,0,0,42010001,10,91000056,800,40000003,20,0,0
31,1700,2,1,1,icon_jjc_mlys_07,传奇,传奇 第1名,0,1,42010003,30,91000056,3000,30020008,50,11600101,1
32,1700,2,1,2,icon_jjc_mlys_07,传奇,传奇 第2名,0,1,42010003,25,91000056,2800,30020008,50,0,0
33,1700,2,1,3,icon_jjc_mlys_07,传奇,传奇 第3名,0,1,42010003,20,91000056,2700,30020008,50,0,0
34,1700,2,1,4,icon_jjc_mlys_07,传奇,传奇 第4名,0,1,42010003,18,91000056,2600,40000004,50,0,0
35,1700,2,1,5,icon_jjc_mlys_07,传奇,传奇 第5名,0,1,42010003,16,91000056,2500,40000004,50,0,0
36,1700,2,1,6,icon_jjc_mlys_07,传奇,传奇 第6名,0,1,42010003,14,91000056,2400,40000004,50,0,0
37,1700,2,1,7,icon_jjc_mlys_07,传奇,传奇 第7名,0,1,42010003,13,91000056,2300,40000004,50,0,0
38,1700,2,1,8,icon_jjc_mlys_07,传奇,传奇 第8名,0,1,42010003,12,91000056,2200,40000004,50,0,0
39,1700,2,1,9,icon_jjc_mlys_07,传奇,传奇 第9名,0,1,42010003,11,91000056,2100,40000004,50,0,0
40,1700,2,1,10,icon_jjc_mlys_07,传奇,传奇 第10名,0,1,42010003,10,91000056,2000,40000004,50,0,0
41,1700,2,2,1,icon_jjc_mlys_04,钻石I,钻石I,9600,0,42010002,10,91000056,1900,40000003,50,0,0
42,1700,2,2,2,icon_jjc_mlys_04,钻石II,钻石II,9200,0,42010002,10,91000056,1850,40000003,50,0,0
43,1700,2,2,3,icon_jjc_mlys_04,钻石III,钻石III,8800,0,42010002,10,91000056,1800,40000003,50,0,0
44,1700,2,2,4,icon_jjc_mlys_04,钻石IV,钻石IV,8400,0,42010002,10,91000056,1750,40000003,50,0,0
45,1700,2,2,5,icon_jjc_mlys_04,钻石V,钻石V,8000,0,42010002,10,91000056,1700,40000003,50,0,0
46,1700,2,3,1,icon_jjc_mlys_06,黄金I,黄金I,7500,0,42010002,10,91000056,1600,40000003,40,0,0
47,1700,2,3,2,icon_jjc_mlys_06,黄金II,黄金II,7000,0,42010002,10,91000056,1550,40000003,40,0,0
48,1700,2,3,3,icon_jjc_mlys_06,黄金III,黄金III,6500,0,42010002,10,91000056,1500,40000003,40,0,0
49,1700,2,3,4,icon_jjc_mlys_06,黄金IV,黄金IV,6000,0,42010002,10,91000056,1450,40000003,40,0,0
50,1700,2,3,5,icon_jjc_mlys_06,黄金V,黄金V,5500,0,42010002,10,91000056,1400,40000003,40,0,0
51,1700,2,4,1,icon_jjc_mlys_03,白银I,白银I,4900,0,42010001,10,91000056,1300,40000003,30,0,0
52,1700,2,4,2,icon_jjc_mlys_03,白银II,白银II,4300,0,42010001,10,91000056,1250,40000003,30,0,0
53,1700,2,4,3,icon_jjc_mlys_03,白银III,白银III,3700,0,42010001,10,91000056,1200,40000003,30,0,0
54,1700,2,4,4,icon_jjc_mlys_03,白银IV,白银IV,3100,0,42010001,10,91000056,1150,40000003,30,0,0
55,1700,2,4,5,icon_jjc_mlys_03,白银V,白银V,2500,0,42010001,10,91000056,1100,40000003,30,0,0
56,1700,2,5,1,icon_jjc_mlys_02,青铜I,青铜I,2000,0,42010001,10,91000056,1000,40000003,20,0,0
57,1700,2,5,2,icon_jjc_mlys_02,青铜II,青铜II,1500,0,42010001,10,91000056,950,40000003,20,0,0
58,1700,2,5,3,icon_jjc_mlys_02,青铜III,青铜III,1000,0,42010001,10,91000056,900,40000003,20,0,0
59,1700,2,5,4,icon_jjc_mlys_02,青铜IV,青铜IV,500,0,42010001,10,91000056,850,40000003,20,0,0
60,1700,2,5,5,icon_jjc_mlys_02,青铜V,青铜V,0,0,42010001,10,91000056,800,40000003,20,0,0
61,1700,3,1,1,icon_jjc_mlys_07,传奇,传奇 第1名,0,1,42010003,30,91000056,3000,30020008,50,11500401,1
62,1700,3,1,2,icon_jjc_mlys_07,传奇,传奇 第2名,0,1,42010003,25,91000056,2800,30020008,50,0,0
63,1700,3,1,3,icon_jjc_mlys_07,传奇,传奇 第3名,0,1,42010003,20,91000056,2700,30020008,50,0,0
64,1700,3,1,4,icon_jjc_mlys_07,传奇,传奇 第4名,0,1,42010003,18,91000056,2600,40000004,50,0,0
65,1700,3,1,5,icon_jjc_mlys_07,传奇,传奇 第5名,0,1,42010003,16,91000056,2500,40000004,50,0,0
66,1700,3,1,6,icon_jjc_mlys_07,传奇,传奇 第6名,0,1,42010003,14,91000056,2400,40000004,50,0,0
67,1700,3,1,7,icon_jjc_mlys_07,传奇,传奇 第7名,0,1,42010003,13,91000056,2300,40000004,50,0,0
68,1700,3,1,8,icon_jjc_mlys_07,传奇,传奇 第8名,0,1,42010003,12,91000056,2200,40000004,50,0,0
69,1700,3,1,9,icon_jjc_mlys_07,传奇,传奇 第9名,0,1,42010003,11,91000056,2100,40000004,50,0,0
70,1700,3,1,10,icon_jjc_mlys_07,传奇,传奇 第10名,0,1,42010003,10,91000056,2000,40000004,50,0,0
71,1700,3,2,1,icon_jjc_mlys_04,钻石I,钻石I,9600,0,42010002,10,91000056,1900,40000003,50,0,0
72,1700,3,2,2,icon_jjc_mlys_04,钻石II,钻石II,9200,0,42010002,10,91000056,1850,40000003,50,0,0
73,1700,3,2,3,icon_jjc_mlys_04,钻石III,钻石III,8800,0,42010002,10,91000056,1800,40000003,50,0,0
74,1700,3,2,4,icon_jjc_mlys_04,钻石IV,钻石IV,8400,0,42010002,10,91000056,1750,40000003,50,0,0
75,1700,3,2,5,icon_jjc_mlys_04,钻石V,钻石V,8000,0,42010002,10,91000056,1700,40000003,50,0,0
76,1700,3,3,1,icon_jjc_mlys_06,黄金I,黄金I,7500,0,42010002,10,91000056,1600,40000003,40,0,0
77,1700,3,3,2,icon_jjc_mlys_06,黄金II,黄金II,7000,0,42010002,10,91000056,1550,40000003,40,0,0
78,1700,3,3,3,icon_jjc_mlys_06,黄金III,黄金III,6500,0,42010002,10,91000056,1500,40000003,40,0,0
79,1700,3,3,4,icon_jjc_mlys_06,黄金IV,黄金IV,6000,0,42010002,10,91000056,1450,40000003,40,0,0
80,1700,3,3,5,icon_jjc_mlys_06,黄金V,黄金V,5500,0,42010002,10,91000056,1400,40000003,40,0,0
81,1700,3,4,1,icon_jjc_mlys_03,白银I,白银I,4900,0,42010001,10,91000056,1300,40000003,30,0,0
82,1700,3,4,2,icon_jjc_mlys_03,白银II,白银II,4300,0,42010001,10,91000056,1250,40000003,30,0,0
83,1700,3,4,3,icon_jjc_mlys_03,白银III,白银III,3700,0,42010001,10,91000056,1200,40000003,30,0,0
84,1700,3,4,4,icon_jjc_mlys_03,白银IV,白银IV,3100,0,42010001,10,91000056,1150,40000003,30,0,0
85,1700,3,4,5,icon_jjc_mlys_03,白银V,白银V,2500,0,42010001,10,91000056,1100,40000003,30,0,0
86,1700,3,5,1,icon_jjc_mlys_02,青铜I,青铜I,2000,0,42010001,10,91000056,1000,40000003,20,0,0
87,1700,3,5,2,icon_jjc_mlys_02,青铜II,青铜II,1500,0,42010001,10,91000056,950,40000003,20,0,0
88,1700,3,5,3,icon_jjc_mlys_02,青铜III,青铜III,1000,0,42010001,10,91000056,900,40000003,20,0,0
89,1700,3,5,4,icon_jjc_mlys_02,青铜IV,青铜IV,500,0,42010001,10,91000056,850,40000003,20,0,0
90,1700,3,5,5,icon_jjc_mlys_02,青铜V,青铜V,0,0,42010001,10,91000056,800,40000003,20,0,0
91,1700,4,1,1,icon_jjc_mlys_07,传奇,传奇 第1名,0,1,42010003,30,91000056,3000,30020008,50,11500501,1
92,1700,4,1,2,icon_jjc_mlys_07,传奇,传奇 第2名,0,1,42010003,25,91000056,2800,30020008,50,0,0
93,1700,4,1,3,icon_jjc_mlys_07,传奇,传奇 第3名,0,1,42010003,20,91000056,2700,30020008,50,0,0
94,1700,4,1,4,icon_jjc_mlys_07,传奇,传奇 第4名,0,1,42010003,18,91000056,2600,40000004,50,0,0
95,1700,4,1,5,icon_jjc_mlys_07,传奇,传奇 第5名,0,1,42010003,16,91000056,2500,40000004,50,0,0
96,1700,4,1,6,icon_jjc_mlys_07,传奇,传奇 第6名,0,1,42010003,14,91000056,2400,40000004,50,0,0
97,1700,4,1,7,icon_jjc_mlys_07,传奇,传奇 第7名,0,1,42010003,13,91000056,2300,40000004,50,0,0
98,1700,4,1,8,icon_jjc_mlys_07,传奇,传奇 第8名,0,1,42010003,12,91000056,2200,40000004,50,0,0
99,1700,4,1,9,icon_jjc_mlys_07,传奇,传奇 第9名,0,1,42010003,11,91000056,2100,40000004,50,0,0
100,1700,4,1,10,icon_jjc_mlys_07,传奇,传奇 第10名,0,1,42010003,10,91000056,2000,40000004,50,0,0
101,1700,4,2,1,icon_jjc_mlys_04,钻石I,钻石I,9600,0,42010002,10,91000056,1900,40000003,50,0,0
102,1700,4,2,2,icon_jjc_mlys_04,钻石II,钻石II,9200,0,42010002,10,91000056,1850,40000003,50,0,0
103,1700,4,2,3,icon_jjc_mlys_04,钻石III,钻石III,8800,0,42010002,10,91000056,1800,40000003,50,0,0
104,1700,4,2,4,icon_jjc_mlys_04,钻石IV,钻石IV,8400,0,42010002,10,91000056,1750,40000003,50,0,0
105,1700,4,2,5,icon_jjc_mlys_04,钻石V,钻石V,8000,0,42010002,10,91000056,1700,40000003,50,0,0
106,1700,4,3,1,icon_jjc_mlys_06,黄金I,黄金I,7500,0,42010002,10,91000056,1600,40000003,40,0,0
107,1700,4,3,2,icon_jjc_mlys_06,黄金II,黄金II,7000,0,42010002,10,91000056,1550,40000003,40,0,0
108,1700,4,3,3,icon_jjc_mlys_06,黄金III,黄金III,6500,0,42010002,10,91000056,1500,40000003,40,0,0
109,1700,4,3,4,icon_jjc_mlys_06,黄金IV,黄金IV,6000,0,42010002,10,91000056,1450,40000003,40,0,0
110,1700,4,3,5,icon_jjc_mlys_06,黄金V,黄金V,5500,0,42010002,10,91000056,1400,40000003,40,0,0
111,1700,4,4,1,icon_jjc_mlys_03,白银I,白银I,4900,0,42010001,10,91000056,1300,40000003,30,0,0
112,1700,4,4,2,icon_jjc_mlys_03,白银II,白银II,4300,0,42010001,10,91000056,1250,40000003,30,0,0
113,1700,4,4,3,icon_jjc_mlys_03,白银III,白银III,3700,0,42010001,10,91000056,1200,40000003,30,0,0
114,1700,4,4,4,icon_jjc_mlys_03,白银IV,白银IV,3100,0,42010001,10,91000056,1150,40000003,30,0,0
115,1700,4,4,5,icon_jjc_mlys_03,白银V,白银V,2500,0,42010001,10,91000056,1100,40000003,30,0,0
116,1700,4,5,1,icon_jjc_mlys_02,青铜I,青铜I,2000,0,42010001,10,91000056,1000,40000003,20,0,0
117,1700,4,5,2,icon_jjc_mlys_02,青铜II,青铜II,1500,0,42010001,10,91000056,950,40000003,20,0,0
118,1700,4,5,3,icon_jjc_mlys_02,青铜III,青铜III,1000,0,42010001,10,91000056,900,40000003,20,0,0
119,1700,4,5,4,icon_jjc_mlys_02,青铜IV,青铜IV,500,0,42010001,10,91000056,850,40000003,20,0,0
120,1700,4,5,5,icon_jjc_mlys_02,青铜V,青铜V,0,0,42010001,10,91000056,800,40000003,20,0,0
121,1700,5,1,1,icon_jjc_mlys_07,传奇,传奇 第1名,0,1,42010003,30,91000056,3000,30020008,50,11500501,1
122,1700,5,1,2,icon_jjc_mlys_07,传奇,传奇 第2名,0,1,42010003,25,91000056,2800,30020008,50,0,0
123,1700,5,1,3,icon_jjc_mlys_07,传奇,传奇 第3名,0,1,42010003,20,91000056,2700,30020008,50,0,0
124,1700,5,1,4,icon_jjc_mlys_07,传奇,传奇 第4名,0,1,42010003,18,91000056,2600,40000004,50,0,0
125,1700,5,1,5,icon_jjc_mlys_07,传奇,传奇 第5名,0,1,42010003,16,91000056,2500,40000004,50,0,0
126,1700,5,1,6,icon_jjc_mlys_07,传奇,传奇 第6名,0,1,42010003,14,91000056,2400,40000004,50,0,0
127,1700,5,1,7,icon_jjc_mlys_07,传奇,传奇 第7名,0,1,42010003,13,91000056,2300,40000004,50,0,0
128,1700,5,1,8,icon_jjc_mlys_07,传奇,传奇 第8名,0,1,42010003,12,91000056,2200,40000004,50,0,0
129,1700,5,1,9,icon_jjc_mlys_07,传奇,传奇 第9名,0,1,42010003,11,91000056,2100,40000004,50,0,0
130,1700,5,1,10,icon_jjc_mlys_07,传奇,传奇 第10名,0,1,42010003,10,91000056,2000,40000004,50,0,0
131,1700,5,2,1,icon_jjc_mlys_04,钻石I,钻石I,9600,0,42010002,10,91000056,1900,40000003,50,0,0
132,1700,5,2,2,icon_jjc_mlys_04,钻石II,钻石II,9200,0,42010002,10,91000056,1850,40000003,50,0,0
133,1700,5,2,3,icon_jjc_mlys_04,钻石III,钻石III,8800,0,42010002,10,91000056,1800,40000003,50,0,0
134,1700,5,2,4,icon_jjc_mlys_04,钻石IV,钻石IV,8400,0,42010002,10,91000056,1750,40000003,50,0,0
135,1700,5,2,5,icon_jjc_mlys_04,钻石V,钻石V,8000,0,42010002,10,91000056,1700,40000003,50,0,0
136,1700,5,3,1,icon_jjc_mlys_06,黄金I,黄金I,7500,0,42010002,10,91000056,1600,40000003,40,0,0
137,1700,5,3,2,icon_jjc_mlys_06,黄金II,黄金II,7000,0,42010002,10,91000056,1550,40000003,40,0,0
138,1700,5,3,3,icon_jjc_mlys_06,黄金III,黄金III,6500,0,42010002,10,91000056,1500,40000003,40,0,0
139,1700,5,3,4,icon_jjc_mlys_06,黄金IV,黄金IV,6000,0,42010002,10,91000056,1450,40000003,40,0,0
140,1700,5,3,5,icon_jjc_mlys_06,黄金V,黄金V,5500,0,42010002,10,91000056,1400,40000003,40,0,0
141,1700,5,4,1,icon_jjc_mlys_03,白银I,白银I,4900,0,42010001,10,91000056,1300,40000003,30,0,0
142,1700,5,4,2,icon_jjc_mlys_03,白银II,白银II,4300,0,42010001,10,91000056,1250,40000003,30,0,0
143,1700,5,4,3,icon_jjc_mlys_03,白银III,白银III,3700,0,42010001,10,91000056,1200,40000003,30,0,0
144,1700,5,4,4,icon_jjc_mlys_03,白银IV,白银IV,3100,0,42010001,10,91000056,1150,40000003,30,0,0
145,1700,5,4,5,icon_jjc_mlys_03,白银V,白银V,2500,0,42010001,10,91000056,1100,40000003,30,0,0
146,1700,5,5,1,icon_jjc_mlys_02,青铜I,青铜I,2000,0,42010001,10,91000056,1000,40000003,20,0,0
147,1700,5,5,2,icon_jjc_mlys_02,青铜II,青铜II,1500,0,42010001,10,91000056,950,40000003,20,0,0
148,1700,5,5,3,icon_jjc_mlys_02,青铜III,青铜III,1000,0,42010001,10,91000056,900,40000003,20,0,0
149,1700,5,5,4,icon_jjc_mlys_02,青铜IV,青铜IV,500,0,42010001,10,91000056,850,40000003,20,0,0
150,1700,5,5,5,icon_jjc_mlys_02,青铜V,青铜V,0,0,42010001,10,91000056,800,40000003,20,0,0
151,1700,6,1,1,icon_jjc_mlys_07,传奇,传奇 第1名,0,1,42010003,30,91000056,3000,30020008,50,11600101,1
152,1700,6,1,2,icon_jjc_mlys_07,传奇,传奇 第2名,0,1,42010003,25,91000056,2800,30020008,50,0,0
153,1700,6,1,3,icon_jjc_mlys_07,传奇,传奇 第3名,0,1,42010003,20,91000056,2700,30020008,50,0,0
154,1700,6,1,4,icon_jjc_mlys_07,传奇,传奇 第4名,0,1,42010003,18,91000056,2600,40000004,50,0,0
155,1700,6,1,5,icon_jjc_mlys_07,传奇,传奇 第5名,0,1,42010003,16,91000056,2500,40000004,50,0,0
156,1700,6,1,6,icon_jjc_mlys_07,传奇,传奇 第6名,0,1,42010003,14,91000056,2400,40000004,50,0,0
157,1700,6,1,7,icon_jjc_mlys_07,传奇,传奇 第7名,0,1,42010003,13,91000056,2300,40000004,50,0,0
158,1700,6,1,8,icon_jjc_mlys_07,传奇,传奇 第8名,0,1,42010003,12,91000056,2200,40000004,50,0,0
159,1700,6,1,9,icon_jjc_mlys_07,传奇,传奇 第9名,0,1,42010003,11,91000056,2100,40000004,50,0,0
160,1700,6,1,10,icon_jjc_mlys_07,传奇,传奇 第10名,0,1,42010003,10,91000056,2000,40000004,50,0,0
161,1700,6,2,1,icon_jjc_mlys_04,钻石I,钻石I,9600,0,42010002,10,91000056,1900,40000003,50,0,0
162,1700,6,2,2,icon_jjc_mlys_04,钻石II,钻石II,9200,0,42010002,10,91000056,1850,40000003,50,0,0
163,1700,6,2,3,icon_jjc_mlys_04,钻石III,钻石III,8800,0,42010002,10,91000056,1800,40000003,50,0,0
164,1700,6,2,4,icon_jjc_mlys_04,钻石IV,钻石IV,8400,0,42010002,10,91000056,1750,40000003,50,0,0
165,1700,6,2,5,icon_jjc_mlys_04,钻石V,钻石V,8000,0,42010002,10,91000056,1700,40000003,50,0,0
166,1700,6,3,1,icon_jjc_mlys_06,黄金I,黄金I,7500,0,42010002,10,91000056,1600,40000003,40,0,0
167,1700,6,3,2,icon_jjc_mlys_06,黄金II,黄金II,7000,0,42010002,10,91000056,1550,40000003,40,0,0
168,1700,6,3,3,icon_jjc_mlys_06,黄金III,黄金III,6500,0,42010002,10,91000056,1500,40000003,40,0,0
169,1700,6,3,4,icon_jjc_mlys_06,黄金IV,黄金IV,6000,0,42010002,10,91000056,1450,40000003,40,0,0
170,1700,6,3,5,icon_jjc_mlys_06,黄金V,黄金V,5500,0,42010002,10,91000056,1400,40000003,40,0,0
171,1700,6,4,1,icon_jjc_mlys_03,白银I,白银I,4900,0,42010001,10,91000056,1300,40000003,30,0,0
172,1700,6,4,2,icon_jjc_mlys_03,白银II,白银II,4300,0,42010001,10,91000056,1250,40000003,30,0,0
173,1700,6,4,3,icon_jjc_mlys_03,白银III,白银III,3700,0,42010001,10,91000056,1200,40000003,30,0,0
174,1700,6,4,4,icon_jjc_mlys_03,白银IV,白银IV,3100,0,42010001,10,91000056,1150,40000003,30,0,0
175,1700,6,4,5,icon_jjc_mlys_03,白银V,白银V,2500,0,42010001,10,91000056,1100,40000003,30,0,0
176,1700,6,5,1,icon_jjc_mlys_02,青铜I,青铜I,2000,0,42010001,10,91000056,1000,40000003,20,0,0
177,1700,6,5,2,icon_jjc_mlys_02,青铜II,青铜II,1500,0,42010001,10,91000056,950,40000003,20,0,0
178,1700,6,5,3,icon_jjc_mlys_02,青铜III,青铜III,1000,0,42010001,10,91000056,900,40000003,20,0,0
179,1700,6,5,4,icon_jjc_mlys_02,青铜IV,青铜IV,500,0,42010001,10,91000056,850,40000003,20,0,0
180,1700,6,5,5,icon_jjc_mlys_02,青铜V,青铜V,0,0,42010001,10,91000056,800,40000003,20,0,0
181,1704,1,1,1,icon_jjc_mlys_07,传奇,传奇 第1名,0,1,42010003,30,91000056,3000,30020008,50,11500701,1
182,1704,1,1,2,icon_jjc_mlys_07,传奇,传奇 第2名,0,1,42010003,25,91000056,2800,30020008,50,0,0
183,1704,1,1,3,icon_jjc_mlys_07,传奇,传奇 第3名,0,1,42010003,20,91000056,2700,30020008,50,0,0
184,1704,1,1,4,icon_jjc_mlys_07,传奇,传奇 第4名,0,1,42010003,18,91000056,2600,40000004,50,0,0
185,1704,1,1,5,icon_jjc_mlys_07,传奇,传奇 第5名,0,1,42010003,16,91000056,2500,40000004,50,0,0
186,1704,1,1,6,icon_jjc_mlys_07,传奇,传奇 第6名,0,1,42010003,14,91000056,2400,40000004,50,0,0
187,1704,1,1,7,icon_jjc_mlys_07,传奇,传奇 第7名,0,1,42010003,13,91000056,2300,40000004,50,0,0
188,1704,1,1,8,icon_jjc_mlys_07,传奇,传奇 第8名,0,1,42010003,12,91000056,2200,40000004,50,0,0
189,1704,1,1,9,icon_jjc_mlys_07,传奇,传奇 第9名,0,1,42010003,11,91000056,2100,40000004,50,0,0
190,1704,1,1,10,icon_jjc_mlys_07,传奇,传奇 第10名,0,1,42010003,10,91000056,2000,40000004,50,0,0
191,1704,1,2,1,icon_jjc_mlys_04,钻石I,钻石I,9600,0,42010002,10,91000056,1900,40000003,50,0,0
192,1704,1,2,2,icon_jjc_mlys_04,钻石II,钻石II,9200,0,42010002,10,91000056,1850,40000003,50,0,0
193,1704,1,2,3,icon_jjc_mlys_04,钻石III,钻石III,8800,0,42010002,10,91000056,1800,40000003,50,0,0
194,1704,1,2,4,icon_jjc_mlys_04,钻石IV,钻石IV,8400,0,42010002,10,91000056,1750,40000003,50,0,0
195,1704,1,2,5,icon_jjc_mlys_04,钻石V,钻石V,8000,0,42010002,10,91000056,1700,40000003,50,0,0
196,1704,1,3,1,icon_jjc_mlys_06,黄金I,黄金I,7500,0,42010002,10,91000056,1600,40000003,40,0,0
197,1704,1,3,2,icon_jjc_mlys_06,黄金II,黄金II,7000,0,42010002,10,91000056,1550,40000003,40,0,0
198,1704,1,3,3,icon_jjc_mlys_06,黄金III,黄金III,6500,0,42010002,10,91000056,1500,40000003,40,0,0
199,1704,1,3,4,icon_jjc_mlys_06,黄金IV,黄金IV,6000,0,42010002,10,91000056,1450,40000003,40,0,0
200,1704,1,3,5,icon_jjc_mlys_06,黄金V,黄金V,5500,0,42010002,10,91000056,1400,40000003,40,0,0
201,1704,1,4,1,icon_jjc_mlys_03,白银I,白银I,4900,0,42010001,10,91000056,1300,40000003,30,0,0
202,1704,1,4,2,icon_jjc_mlys_03,白银II,白银II,4300,0,42010001,10,91000056,1250,40000003,30,0,0
203,1704,1,4,3,icon_jjc_mlys_03,白银III,白银III,3700,0,42010001,10,91000056,1200,40000003,30,0,0
204,1704,1,4,4,icon_jjc_mlys_03,白银IV,白银IV,3100,0,42010001,10,91000056,1150,40000003,30,0,0
205,1704,1,4,5,icon_jjc_mlys_03,白银V,白银V,2500,0,42010001,10,91000056,1100,40000003,30,0,0
206,1704,1,5,1,icon_jjc_mlys_02,青铜I,青铜I,2000,0,42010001,10,91000056,1000,40000003,20,0,0
207,1704,1,5,2,icon_jjc_mlys_02,青铜II,青铜II,1500,0,42010001,10,91000056,950,40000003,20,0,0
208,1704,1,5,3,icon_jjc_mlys_02,青铜III,青铜III,1000,0,42010001,10,91000056,900,40000003,20,0,0
209,1704,1,5,4,icon_jjc_mlys_02,青铜IV,青铜IV,500,0,42010001,10,91000056,850,40000003,20,0,0
210,1704,1,5,5,icon_jjc_mlys_02,青铜V,青铜V,0,0,42010001,10,91000056,800,40000003,20,0,0
211,1704,2,1,1,icon_jjc_mlys_07,传奇,传奇 第1名,0,1,42010003,30,91000056,3000,30020008,50,11500701,1
212,1704,2,1,2,icon_jjc_mlys_07,传奇,传奇 第2名,0,1,42010003,25,91000056,2800,30020008,50,0,0
213,1704,2,1,3,icon_jjc_mlys_07,传奇,传奇 第3名,0,1,42010003,20,91000056,2700,30020008,50,0,0
214,1704,2,1,4,icon_jjc_mlys_07,传奇,传奇 第4名,0,1,42010003,18,91000056,2600,40000004,50,0,0
215,1704,2,1,5,icon_jjc_mlys_07,传奇,传奇 第5名,0,1,42010003,16,91000056,2500,40000004,50,0,0
216,1704,2,1,6,icon_jjc_mlys_07,传奇,传奇 第6名,0,1,42010003,14,91000056,2400,40000004,50,0,0
217,1704,2,1,7,icon_jjc_mlys_07,传奇,传奇 第7名,0,1,42010003,13,91000056,2300,40000004,50,0,0
218,1704,2,1,8,icon_jjc_mlys_07,传奇,传奇 第8名,0,1,42010003,12,91000056,2200,40000004,50,0,0
219,1704,2,1,9,icon_jjc_mlys_07,传奇,传奇 第9名,0,1,42010003,11,91000056,2100,40000004,50,0,0
220,1704,2,1,10,icon_jjc_mlys_07,传奇,传奇 第10名,0,1,42010003,10,91000056,2000,40000004,50,0,0
221,1704,2,2,1,icon_jjc_mlys_04,钻石I,钻石I,9600,0,42010002,10,91000056,1900,40000003,50,0,0
222,1704,2,2,2,icon_jjc_mlys_04,钻石II,钻石II,9200,0,42010002,10,91000056,1850,40000003,50,0,0
223,1704,2,2,3,icon_jjc_mlys_04,钻石III,钻石III,8800,0,42010002,10,91000056,1800,40000003,50,0,0
