id,activity_type,type,refresh_time,group,index,sort,tasktypes,n1,n2,n3,n4,item1,num1,item2,num2,item3,num3,item4,num4,item5,num5,vipnum,cost_price,sale,times,show_value,name,quality,effect_show,daily_effect_position,pic1,pic2_type,pic2,start,continued,cd,recharge_amount,star_hero,twinkle1,twinkle2,vip_amount
101900101,1019,6,0,1,1,1,201,1,421,0,0,91000002,198000,60210061,1,60420061,1,60430061,1,60440061,1,680,9999,68,1,14|198|3折,特惠礼包,0,2|3|4|5,双倍,0,0,0,0,0,0,0,0,0,0,0
101300111,1013,7,0,1,11,1,201,1,523,0,0,91000002,328000,60310087,1,60520087,1,0,0,0,0,3280,0,328,1,0,星辰装备礼包,8,2|3,0,box_public_mlys_02,2,0,0,0,0,0,0,0,0,0
101300112,1013,7,0,1,12,2,201,1,524,0,0,91000002,328000,60530087,1,60540087,1,0,0,0,0,3280,0,328,1,0,星辰装备礼包,8,2|3,0,box_public_mlys_02,2,0,0,0,0,0,0,0,0,0
101300113,1013,7,0,1,13,3,201,1,525,0,0,91000002,328000,40000021,2,0,0,0,0,0,0,3280,0,328,2,0,T1材料礼包,8,2,0,box_public_mlys_02,2,0,0,0,0,0,0,0,0,0
101300114,1013,7,0,1,14,4,201,1,526,0,0,91000002,328000,40000026,2,0,0,0,0,0,0,3280,0,328,2,0,T2材料礼包,8,2,0,box_public_mlys_02,2,0,0,0,0,0,0,0,0,0
101300115,1013,7,0,1,15,5,201,1,527,0,0,91000002,328000,40000003,220,0,0,0,0,0,0,3280,0,328,1,0,低级强化礼包,8,2,0,box_public_mlys_02,2,0,0,0,0,0,0,0,0,0
101300116,1013,7,0,1,16,6,201,1,528,0,0,91000002,648000,40000004,240,0,0,0,0,0,0,6480,0,648,1,0,高级强化礼包,8,2,0,box_public_mlys_02,2,0,0,0,0,0,0,0,0,0
101300117,1013,7,0,1,17,7,201,1,529,0,0,91000002,648000,40000027,100,0,0,0,0,0,0,6480,0,648,3,0,星辰强化礼包,8,2,0,box_public_mlys_02,2,0,0,0,0,0,0,0,0,0
150000101,1500,8,0,1,1,1,201,1,520,0,0,11700201,1,0,0,0,0,0,0,0,0,6480,0,648,1,0,莉莉丝,0,1,0,bg_xingchenlibao_04,1,1,0,0,0,0,7002,0,0,0
150100101,1501,8,0,1,1,1,201,1,531,0,0,11700101,1,0,0,0,0,0,0,0,0,6480,0,648,1,0,星辰领主,0,1,0,bg_xingchenlibao_01,1,0,0,0,0,0,7001,0,0,0
150200101,1502,8,0,1,1,1,201,1,532,0,0,11700301,1,0,0,0,0,0,0,0,0,3280,0,328,1,5折,圣诞老人,0,1,0,bg_xingchenlibao_05,1,0,0,0,0,0,7003,0,0,0
102500101,1025,9,1,1,1,1,201,1,433,0,0,84100001,25,13000002,30,0,0,0,0,0,0,60,0,6,10,999％+,欢庆每日礼包,2,0,0,0,0,0,0,0,0,0,0,0,0,0
102500102,1025,9,1,1,2,2,201,1,434,0,0,84100001,100,30020001,12,91000044,800,0,0,0,0,300,0,30,10,899％,佳节每日礼包,4,0,0,0,0,0,0,0,0,0,0,0,0,0
102500103,1025,9,1,1,3,3,201,1,435,0,0,84100001,100,81000001,300,30010002,8,0,0,0,0,300,0,30,10,800％,普天每日礼包,6,0,0,0,0,0,0,0,0,0,0,0,0,0
102500104,1025,9,1,1,4,4,201,1,436,0,0,84100001,250,80640081,6,0,0,0,0,0,0,680,0,68,10,899％,同庆每日礼包,8,0,0,0,0,0,0,0,0,0,0,0,0,0
102500105,1025,9,1,1,5,5,201,1,437,0,0,84100001,300,30020008,30,0,0,0,0,0,0,980,0,98,10,999％,繁荣每日礼包,8,0,0,0,0,0,0,0,0,0,0,0,0,0
102500106,1025,9,1,1,6,6,201,1,438,0,0,84100001,400,91000056,600,0,0,0,0,0,0,1280,0,128,10,800％,昌盛每日礼包,8,0,0,0,0,0,0,0,0,0,0,0,0,0
102500107,1025,9,0,1,7,7,201,1,439,0,0,84100001,30,13000001,180,0,0,0,0,0,0,60,0,6,10,999％+,举国同庆礼包,2,0,0,0,0,0,0,0,0,0,0,0,0,0
102500108,1025,9,0,1,8,8,201,1,440,0,0,84100001,120,42010001,10,0,0,0,0,0,0,300,0,30,10,999％+,超值节日礼包,4,0,0,0,0,0,0,0,0,0,0,0,0,0
102500109,1025,9,0,1,9,9,201,1,441,0,0,84100001,250,42010001,30,0,0,0,0,0,0,980,0,98,1000,999％+,召唤好运礼包,6,0,0,0,0,0,0,0,0,0,0,0,0,0
102500110,1025,9,0,1,10,10,201,1,442,0,0,84100001,400,42010002,20,0,0,0,0,0,0,1280,0,128,1000,999％+,召唤幸运礼包,8,0,0,0,0,0,0,0,0,0,0,0,0,0
102500111,1025,9,0,1,11,11,201,1,443,0,0,84100001,800,80640081,36,0,0,0,0,0,0,3280,0,328,1000,800％,种族自选礼包,8,0,0,0,0,0,0,0,0,0,0,0,0,0
102500112,1025,9,0,1,12,12,201,1,444,0,0,84100001,1500,42010003,60,0,0,0,0,0,0,6480,0,648,1000,700％,占卜鸿运礼包,8,0,0,0,0,0,0,0,0,0,0,0,0,0
100900001,1009,10,0,0,1,3,201,1,422,0,0,91000002,30000,13000002,60,91000041,50000,0,0,0,0,300,0,30,3,999％+,新手福利,2,3,0,icon_xinshoulibao_01,0,0,0,0,0,0,0,0,0,0
100900002,1009,10,0,0,2,4,201,1,423,0,0,91000002,68000,13000002,60,30020084,1,0,0,0,0,680,0,68,3,999％+,新手福利,2,3,0,icon_xinshoulibao_02,0,0,0,0,0,0,0,0,0,0
100900003,1009,10,0,0,3,5,201,1,424,0,0,91000002,128000,42010001,50,91000041,100000,0,0,0,0,1280,0,128,3,999％+,新手精品,4,2,0,icon_xinshoulibao_03,0,0,0,0,0,0,0,0,0,0
100900004,1009,10,0,0,4,6,201,1,425,0,0,91000002,198000,42010002,50,91000041,100000,0,0,0,0,1980,0,198,3,999％+,新手豪华,4,3,0,icon_xinshoulibao_04,0,0,0,0,0,0,0,0,0,0
100900005,1009,10,0,0,5,7,201,1,426,0,0,91000002,328000,42010003,10,30020012,6,0,0,0,0,3280,0,328,3,999％+,豪华礼包,4,2,0,icon_xinshoulibao_04,0,0,0,0,0,0,0,0,0,0
100900006,1009,10,0,0,6,2,201,1,427,0,0,91000002,648000,30200101,1,13000002,120,0,0,0,0,6480,0,648,3,500％,光暗自选,6,2,0,icon_xinshoulibao_04,0,0,0,0,0,0,0,0,0,0
