id,goldyield,heroexpyield,expyield,powderyield,basicstime,basicsdrop1,basicsdrop2,basicsdrop3,basicsdrop4,basicsdrop5,basicsdrop6,basicsdrop7,basicsdrop8,basicsdrop9,basicsdrop10,basicsdrop11,basicsdrop12,basicsdrop13,basicsdrop14,basicsdrop15,seniortime,seniordrop1,seniordrop2,seniordrop3,seniordrop4,seniordrop5,seniordrop6,seniordrop7,seniordrop8,seniordrop9,seniordrop10,seniordrop11,seniordrop12,seniordrop13,seniordrop14,seniordrop15
100065,198,144,276,6,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100066,201,147,285,6,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100067,201,150,294,6,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100068,201,153,303,6,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100069,207,156,312,6,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100070,207,162,324,6,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100071,213,165,333,6,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100072,213,168,342,6,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100073,213,171,354,7,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100074,216,177,363,7,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100075,216,180,375,7,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100076,216,183,384,7,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100077,222,189,396,7,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100078,222,192,408,7,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100079,228,195,417,7,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100080,228,201,429,7,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100081,228,204,441,7,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100082,231,207,453,7,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100083,231,213,465,7,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100084,231,216,477,7,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100085,237,222,492,7,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100086,237,225,504,7,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100087,243,231,516,7,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100088,243,234,531,7,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100089,243,240,543,7,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100090,246,243,558,7,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100091,246,171,345,8,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100092,246,174,348,8,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100093,249,177,351,8,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100094,249,180,354,8,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100095,249,183,357,8,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100096,252,186,360,8,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100097,252,189,363,8,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100098,255,192,366,8,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100099,255,195,369,8,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100100,255,198,372,8,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100101,258,201,375,8,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100102,258,204,378,8,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100103,261,207,381,8,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100104,261,210,384,8,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100105,261,213,387,9,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100106,264,216,390,9,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100107,264,219,393,9,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100108,267,222,396,9,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100109,267,225,399,9,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10002,10003,10004,20002,0,0,0,0,0,0,0,0,0,0,0
100110,267,228,402,9,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,0,0,0,0,0,0,0,0,0,0,0
100111,270,231,405,9,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,0,0,0,0,0,0,0,0,0,0,0
100112,270,234,408,9,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,0,0,0,0,0,0,0,0,0,0,0
100113,273,237,411,9,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,0,0,0,0,0,0,0,0,0,0,0
100114,273,240,414,9,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,0,0,0,0,0,0,0,0,0,0,0
100115,273,243,417,9,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,20050,0,0,0,0,0,0,0,0,0,0
100116,276,246,420,9,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,20050,0,0,0,0,0,0,0,0,0,0
100117,276,249,423,9,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,20050,0,0,0,0,0,0,0,0,0,0
100118,279,252,426,9,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,20050,0,0,0,0,0,0,0,0,0,0
100119,279,255,429,10,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,20050,0,0,0,0,0,0,0,0,0,0
100120,282,258,432,10,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,20050,0,0,0,0,0,0,0,0,0,0
100121,285,261,435,10,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,20050,0,0,0,0,0,0,0,0,0,0
100122,285,264,438,10,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,20050,0,0,0,0,0,0,0,0,0,0
100123,288,267,441,10,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,20050,0,0,0,0,0,0,0,0,0,0
100124,288,270,444,10,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,20050,0,0,0,0,0,0,0,0,0,0
100125,288,276,447,10,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,20050,0,0,0,0,0,0,0,0,0,0
100126,291,282,450,10,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,20050,0,0,0,0,0,0,0,0,0,0
100127,291,288,453,10,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,20050,0,0,0,0,0,0,0,0,0,0
100128,294,294,456,10,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,20050,0,0,0,0,0,0,0,0,0,0
100129,294,300,459,10,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,20050,0,0,0,0,0,0,0,0,0,0
100130,294,306,462,10,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,20050,0,0,0,0,0,0,0,0,0,0
100131,297,312,465,10,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,20050,0,0,0,0,0,0,0,0,0,0
100132,297,318,468,10,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,20050,0,0,0,0,0,0,0,0,0,0
100133,300,324,471,11,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,20050,0,0,0,0,0,0,0,0,0,0
100134,300,330,474,11,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10003,10004,20002,20003,20050,0,0,0,0,0,0,0,0,0,0
100135,300,339,477,11,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100136,303,348,480,11,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100137,303,357,483,11,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100138,306,366,486,11,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100139,306,375,489,11,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100140,306,384,492,11,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100141,309,393,495,11,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100142,309,402,498,11,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100143,312,411,501,11,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100144,312,420,504,11,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100145,315,429,507,12,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100146,318,438,510,12,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100147,318,447,513,12,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100148,321,456,516,12,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100149,321,465,519,12,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100150,321,474,522,13,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100151,324,483,525,13,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100152,324,492,528,13,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100153,327,501,531,13,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100154,327,510,534,13,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100155,327,519,537,14,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100156,330,528,540,14,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100157,330,537,543,14,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100158,333,546,546,14,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100159,333,558,549,14,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10004,20003,20004,20050,0,0,0,0,0,0,0,0,0,0,0
100160,333,570,552,15,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,20004,20050,0,0,0,0,0,0,0,0,0,0,0,0,0
100161,336,582,555,15,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,20004,20050,0,0,0,0,0,0,0,0,0,0,0,0,0
100162,336,594,558,15,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,20004,20050,0,0,0,0,0,0,0,0,0,0,0,0,0
100163,339,606,561,15,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,20004,20050,0,0,0,0,0,0,0,0,0,0,0,0,0
100164,339,618,564,15,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,20004,20050,0,0,0,0,0,0,0,0,0,0,0,0,0
100165,339,630,567,16,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,20004,20024,20050,0,0,0,0,0,0,0,0,0,0,0,0
100166,342,642,570,16,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,20004,20025,20050,0,0,0,0,0,0,0,0,0,0,0,0
100167,342,654,573,16,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,20004,20025,20050,0,0,0,0,0,0,0,0,0,0,0,0
