taskid,activity_type,activity_periods,tasktypes,n1,n2,n3,n4,item,num,tasktxt,turn,id
10407,1700,4,282,32000000,1700,0,0,83000001,10,今日挑战首领梦魇骑士累计伤害达到32000000,3,7
10408,1700,4,282,48000000,1700,0,0,83000001,15,今日挑战首领梦魇骑士累计伤害达到48000000,3,8
10409,1700,4,282,64000000,1700,0,0,83000001,15,今日挑战首领梦魇骑士累计伤害达到64000000,3,9
10410,1700,4,282,80000000,1700,0,0,83000001,20,今日挑战首领梦魇骑士累计伤害达到80000000,3,10
10501,1700,5,283,1,1700,0,0,42010001,1,今日挑战首领梦魇骑士1次,3,1
10502,1700,5,283,3,1700,0,0,83000001,15,今日挑战首领梦魇骑士3次,3,2
10503,1700,5,281,15000000,1700,0,0,42010003,1,今日挑战首领梦魇骑士单次伤害超过15000000,3,3
10504,1700,5,131,1,0,0,0,83000001,20,使用占星1次,37,4
10505,1700,5,121,1,0,0,0,83000001,15,使用任意招募1次,17,5
10506,1700,5,282,20000000,1700,0,0,83000001,10,今日挑战首领梦魇骑士累计伤害达到20000000,3,6
10507,1700,5,282,40000000,1700,0,0,83000001,10,今日挑战首领梦魇骑士累计伤害达到40000000,3,7
10508,1700,5,282,60000000,1700,0,0,83000001,15,今日挑战首领梦魇骑士累计伤害达到60000000,3,8
10509,1700,5,282,80000000,1700,0,0,83000001,15,今日挑战首领梦魇骑士累计伤害达到80000000,3,9
10510,1700,5,282,100000000,1700,0,0,83000001,20,今日挑战首领梦魇骑士累计伤害达到100000000,3,10
50101,1704,1,283,1,1704,0,0,42010001,1,今日挑战首领堕落君王1次,3,1
50102,1704,1,283,3,1704,0,0,83000002,15,今日挑战首领堕落君王3次,3,2
50103,1704,1,281,4500000,1704,0,0,42010003,1,今日挑战首领堕落君王单次伤害超过4500000,3,3
50104,1704,1,131,1,0,0,0,83000002,20,使用占星1次,37,4
50105,1704,1,121,1,0,0,0,83000002,15,使用任意招募1次,17,5
50106,1704,1,282,6000000,1704,0,0,83000002,10,今日挑战首领堕落君王累计伤害达到6000000,3,6
50107,1704,1,282,12000000,1704,0,0,83000002,10,今日挑战首领堕落君王累计伤害达到12000000,3,7
50108,1704,1,282,18000000,1704,0,0,83000002,15,今日挑战首领堕落君王累计伤害达到18000000,3,8
50109,1704,1,282,24000000,1704,0,0,83000002,15,今日挑战首领堕落君王累计伤害达到24000000,3,9
50110,1704,1,282,30000000,1704,0,0,83000002,20,今日挑战首领堕落君王累计伤害达到30000000,3,10
50201,1704,2,283,1,1704,0,0,42010001,1,今日挑战首领堕落君王1次,3,1
50202,1704,2,283,3,1704,0,0,83000002,15,今日挑战首领堕落君王3次,3,2
50203,1704,2,281,9000000,1704,0,0,42010003,1,今日挑战首领堕落君王单次伤害超过9000000,3,3
50204,1704,2,131,1,0,0,0,83000002,20,使用占星1次,37,4
50205,1704,2,121,1,0,0,0,83000002,15,使用任意招募1次,17,5
50206,1704,2,282,12000000,1704,0,0,83000002,10,今日挑战首领堕落君王累计伤害达到12000000,3,6
50207,1704,2,282,24000000,1704,0,0,83000002,10,今日挑战首领堕落君王累计伤害达到24000000,3,7
50208,1704,2,282,36000000,1704,0,0,83000002,15,今日挑战首领堕落君王累计伤害达到36000000,3,8
50209,1704,2,282,48000000,1704,0,0,83000002,15,今日挑战首领堕落君王累计伤害达到48000000,3,9
50210,1704,2,282,60000000,1704,0,0,83000002,20,今日挑战首领堕落君王累计伤害达到60000000,3,10
60101,1705,1,283,1,1705,0,0,42010001,1,今日挑战首领暗黑悟空1次,3,1
60102,1705,1,283,3,1705,0,0,83000003,15,今日挑战首领暗黑悟空3次,3,2
60103,1705,1,281,6000000,1705,0,0,42010003,1,今日挑战首领暗黑悟空单次伤害超过6000000,3,3
60104,1705,1,131,1,0,0,0,83000003,20,使用占星1次,37,4
60105,1705,1,121,1,0,0,0,83000003,15,使用任意招募1次,17,5
60106,1705,1,282,8000000,1705,0,0,83000003,10,今日挑战首领暗黑悟空累计伤害达到8000000,3,6
60107,1705,1,282,16000000,1705,0,0,83000003,10,今日挑战首领暗黑悟空累计伤害达到16000000,3,7
60108,1705,1,282,24000000,1705,0,0,83000003,15,今日挑战首领暗黑悟空累计伤害达到24000000,3,8
60109,1705,1,282,32000000,1705,0,0,83000003,15,今日挑战首领暗黑悟空累计伤害达到32000000,3,9
60110,1705,1,282,40000000,1705,0,0,83000003,20,今日挑战首领暗黑悟空累计伤害达到40000000,3,10
60101,1705,2,283,1,1705,0,0,42010001,1,今日挑战首领暗黑悟空1次,3,1
60102,1705,2,283,3,1705,0,0,83000003,15,今日挑战首领暗黑悟空3次,3,2
60103,1705,2,281,6000000,1705,0,0,42010003,1,今日挑战首领暗黑悟空单次伤害超过6000000,3,3
60104,1705,2,131,1,0,0,0,83000003,20,使用占星1次,37,4
60105,1705,2,121,1,0,0,0,83000003,15,使用任意招募1次,17,5
60106,1705,2,282,8000000,1705,0,0,83000003,10,今日挑战首领暗黑悟空累计伤害达到8000000,3,6
60107,1705,2,282,16000000,1705,0,0,83000003,10,今日挑战首领暗黑悟空累计伤害达到16000000,3,7
60108,1705,2,282,24000000,1705,0,0,83000003,15,今日挑战首领暗黑悟空累计伤害达到24000000,3,8
60109,1705,2,282,32000000,1705,0,0,83000003,15,今日挑战首领暗黑悟空累计伤害达到32000000,3,9
60110,1705,2,282,40000000,1705,0,0,83000003,20,今日挑战首领暗黑悟空累计伤害达到40000000,3,10
60101,1705,3,283,1,1705,0,0,42010001,1,今日挑战首领暗黑悟空1次,3,1
60102,1705,3,283,3,1705,0,0,83000003,15,今日挑战首领暗黑悟空3次,3,2
60103,1705,3,281,6000000,1705,0,0,42010003,1,今日挑战首领暗黑悟空单次伤害超过6000000,3,3
60104,1705,3,131,1,0,0,0,83000003,20,使用占星1次,37,4
60105,1705,3,121,1,0,0,0,83000003,15,使用任意招募1次,17,5
60106,1705,3,282,8000000,1705,0,0,83000003,10,今日挑战首领暗黑悟空累计伤害达到8000000,3,6
60107,1705,3,282,16000000,1705,0,0,83000003,10,今日挑战首领暗黑悟空累计伤害达到16000000,3,7
60108,1705,3,282,24000000,1705,0,0,83000003,15,今日挑战首领暗黑悟空累计伤害达到24000000,3,8
60109,1705,3,282,32000000,1705,0,0,83000003,15,今日挑战首领暗黑悟空累计伤害达到32000000,3,9
60110,1705,3,282,40000000,1705,0,0,83000003,20,今日挑战首领暗黑悟空累计伤害达到40000000,3,10
