id,hero_name,fullname,describe,itemid,occupation,tie,firststar,laststar,material_type,hero_main_skill1,needclass1,needstar1_1,needstar2_1,hero_main_skill2,needclass2,needstar1_2,needstar2_2,hero_main_skill3,needclass3,needstar1_3,needstar2_3,hero_main_skill4,needclass4,needstar1_4,needstar2_4,hero_main_skill5,needclass5,needstar1_5,needstar2_5,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10,base_type11,base_value11,getsound,posesound,attacksound,gethitsound,deadsound,png,spine,size,growthtype1,growthvalue1,growthtype2,growthvalue2,growthtype3,growthvalue3,growthtype4,growthvalue4,growthtype5,growthvalue5,growthtype6,growthvalue6,growthtype7,growthvalue7,growthtype8,growthvalue8,icon,idel,run,death
1002,巫医,巫医,火系法师,12200001,3,2,2,2,0,22001001,0,0,0,22001011,0,0,0,22001021,1,0,0,0,0,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/1002_get,Hero/1002_pose,0,0,Hero/1002_die,bg_wujiangjiemian_01,Artbeijing_02,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero1002,0,0,0
1003,火舞女,火舞女,火系法师,12300001,3,2,3,3,0,23001001,0,0,0,23001011,0,0,0,23001021,1,0,0,0,0,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/1003_get,Hero/1003_pose,0,0,Hero/1003_die,bg_wujiangjiemian_01,Artbeijing_03,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero1003,0,0,0
1004,食人魔,食人魔,火系战士,12300002,2,2,3,3,0,23002001,0,0,0,23002011,0,0,0,23002021,1,0,0,0,0,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/1004_get,Hero/1004_pose,0,0,Hero/1004_die,bg_wujiangjiemian_01,Artbeijing_12,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero1004,0,0,0
1005,舍杜,舍杜,火系坦克,12400001,1,2,4,5,0,24001001,0,0,0,24001011,0,0,0,24001021,1,0,0,24001031,3,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/1005_get,Hero/1005_pose,0,0,Hero/1005_die,bg_wujiangjiemian_01,Artbeijing_02,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero1005,0,0,0
1006,库奇,库奇,火系战士,12400002,2,2,4,5,0,24002001,0,0,0,24002011,0,0,0,24002021,1,0,0,24002031,3,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/1006_get,Hero/1006_pose,0,0,Hero/1006_die,bg_wujiangjiemian_01,Artbeijing_03,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero1006,0,0,0
1007,阿拉斯托耳,阿拉斯托耳,火系法师,12400003,3,2,4,5,0,24003001,0,0,0,24003011,0,0,0,24003021,1,0,0,24003031,3,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/1007_get,Hero/1007_pose,0,0,Hero/1007_die,bg_wujiangjiemian_01,Artbeijing_04,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero1007,0,0,0
1008,绯红女巫,绯红女巫,火系法师,12400004,3,2,4,5,0,24004001,0,0,0,24004011,0,0,0,24004021,1,0,0,24004031,3,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/1008_get,Hero/1008_pose,0,0,Hero/1008_die,bg_wujiangjiemian_02,Artbeijing_01,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero1008,0,0,0
1009,沙拉曼德,沙拉曼德,火系法师,12500001,3,2,5,11,12400001,25001001,0,0,0,25001011,0,6,7,25001021,1,6,8,25001031,3,6,9,25001041,5,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/1009_get,Hero/1009_pose,0,0,Hero/1009_die,bg_wujiangjiemian_01,Artbeijing_03,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero1009,0,0,0
1010,阿瑞斯,阿瑞斯,火系战士,12500002,2,2,5,11,12400002,25002001,0,0,0,25002011,0,6,7,25002021,1,6,8,25002031,3,6,9,25002041,5,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/1010_get,Hero/1010_pose,0,0,Hero/1010_die,bg_wujiangjiemian_02,Artbeijing_05,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero1010,0,0,0
1011,塔尔塔洛斯,塔尔塔洛斯,火系战士,12500003,2,2,5,9,12400003,25003001,0,0,0,25003011,0,6,7,25003021,1,6,8,25003031,3,6,9,0,0,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/1011_get,Hero/1011_pose,0,0,Hero/1011_die,bg_wujiangjiemian_02,Artbeijing_08,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero1011,0,0,0
1012,阿耆尼,阿耆尼,火系战士,12500004,2,2,5,11,12400004,25004001,0,0,0,25004011,0,6,7,25004021,1,6,8,25004031,3,6,9,25004041,5,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/1009_get,Hero/1009_pose,0,0,Hero/1009_die,bg_wujiangjiemian_01,Artbeijing_03,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero1012,0,0,0
1013,赫菲斯托斯,赫菲斯托斯,火系坦克,12500005,1,2,5,11,12400001,25005001,0,0,0,25005011,0,6,7,25005021,1,6,8,25005031,3,6,9,25005041,5,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/1010_get,Hero/1010_pose,0,0,Hero/1010_die,bg_wujiangjiemian_02,Artbeijing_05,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero1013,0,0,0
1014,伏尔肯,伏尔肯,火系辅助,12500006,4,2,5,11,12400002,25006001,0,0,0,25006011,0,6,7,25006021,1,6,8,25006031,3,6,9,25006041,5,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/1011_get,Hero/1011_pose,0,0,Hero/1011_die,bg_wujiangjiemian_02,Artbeijing_08,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero1014,0,0,0
2001,戈柏林,戈柏林,风系法师,13100001,3,3,1,1,0,31001001,0,0,0,31001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/2001_get,Hero/2001_pose,0,0,Hero/2001_die,bg_wujiangjiemian_02,Artbeijing_06,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero2001,0,0,0
2002,弥诺陶洛斯,弥诺陶洛斯,风系战士,13200001,2,3,2,2,0,32001001,0,0,0,32001011,0,0,0,32001021,1,0,0,0,0,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/2002_get,Hero/2002_pose,0,0,Hero/2002_die,bg_wujiangjiemian_01,Artbeijing_03,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero2002,0,0,0
2003,比亚,比亚,风系战士,13300001,2,3,3,3,0,33001001,0,0,0,33001011,0,0,0,33001021,1,0,0,0,0,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/2003_get,Hero/2003_pose,0,0,Hero/2003_die,bg_wujiangjiemian_01,Artbeijing_10,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero2003,0,0,0
2004,弥诺陶洛斯,弥诺陶洛斯,风系坦克,13300002,1,3,3,3,0,33002001,0,0,0,33002011,0,0,0,33002021,1,0,0,0,0,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/2004_get,Hero/2004_pose,0,0,Hero/2004_die,bg_wujiangjiemian_02,Artbeijing_07,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero2004,0,0,0
2005,玛亚,玛亚,风系辅助,13400001,4,3,4,5,0,34001001,0,0,0,34001011,0,0,0,34001021,1,0,0,34001031,3,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/2005_get,Hero/2005_pose,0,0,Hero/2005_die,bg_wujiangjiemian_01,Artbeijing_01,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero2005,0,0,0
2006,维达尔,维达尔,风系法师,13400002,3,3,4,5,0,34002001,0,0,0,34002011,0,0,0,34002021,1,0,0,34002031,3,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/2006_get,Hero/2006_pose,0,0,Hero/2006_die,bg_wujiangjiemian_01,Artbeijing_02,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero2006,0,0,0
2007,俄耳甫斯,俄耳甫斯,风系坦克,13400003,1,3,4,5,0,34003001,0,0,0,34003011,0,0,0,34003021,1,0,0,34003031,3,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/2007_get,Hero/2007_pose,0,0,Hero/2007_die,bg_wujiangjiemian_01,Artbeijing_01,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero2007,0,0,0
2008,狄安娜,狄安娜,风系战士,13400004,2,3,4,5,0,34004001,0,0,0,34004011,0,0,0,34004021,1,0,0,34004031,3,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/2008_get,Hero/2008_pose,0,0,Hero/2008_die,bg_wujiangjiemian_01,Artbeijing_08,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero2008,0,0,0
2009,巴克斯,巴克斯,风系法师,13500001,3,3,5,9,13400002,35001001,0,0,0,35001011,0,6,7,35001021,1,6,8,35001031,3,6,9,0,0,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/2009_get,Hero/2009_pose,0,0,Hero/2009_die,bg_wujiangjiemian_01,Artbeijing_04,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero2009,0,0,0
2010,诺姆,诺姆,风系坦克,13500002,1,3,5,11,13400003,35002001,0,0,0,35002011,0,6,7,35002021,1,6,8,35002031,3,6,9,35002041,5,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/2010_get,Hero/2010_pose,0,0,Hero/2010_die,bg_wujiangjiemian_01,Artbeijing_10,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero2010,0,0,0
2011,露娜,露娜,风系法师,13500003,3,3,5,11,13400001,35003001,0,0,0,35003011,0,6,7,35003021,1,6,8,35003031,3,6,9,35003041,5,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/2011_get,Hero/2011_pose,0,0,Hero/2011_die,bg_wujiangjiemian_02,Artbeijing_01,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero2011,0,0,0
2012,潘恩,潘恩,风系辅助,13500004,4,3,5,11,13400002,35004001,0,0,0,35004011,0,6,7,35004021,1,6,8,35004031,3,6,9,35004041,5,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/2009_get,Hero/2009_pose,0,0,Hero/2009_die,bg_wujiangjiemian_01,Artbeijing_04,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero2012,0,0,0
2013,尼米亚,尼米亚,风系坦克,13500005,1,3,5,11,13400003,35005001,0,0,0,35005011,0,6,7,35005021,1,6,8,35005031,3,6,9,35005041,5,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/2010_get,Hero/2010_pose,0,0,Hero/2010_die,bg_wujiangjiemian_01,Artbeijing_10,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero2013,0,0,0
2014,海姆达尔,海姆达尔,风系战士,13500006,2,3,5,11,13400004,35006001,0,0,0,35006011,0,6,7,35006021,1,6,8,35006031,3,6,9,35006041,5,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/2011_get,Hero/2011_pose,0,0,Hero/2011_die,bg_wujiangjiemian_02,Artbeijing_01,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero2014,0,0,0
4001,荷鲁斯,荷鲁斯,光系法师,14300001,3,4,3,3,0,43001001,0,0,0,43001011,0,0,0,43001021,1,0,0,0,0,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/4001_get,Hero/4001_pose,0,0,Hero/4001_die,bg_wujiangjiemian_01,Artbeijing_01,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero4001,0,0,0
4002,梅林,梅林,光系法师,14400001,3,4,4,5,0,44001001,0,0,0,44001011,0,0,0,44001021,1,0,0,44001031,3,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/4002_get,Hero/4002_pose,0,0,Hero/4002_die,bg_wujiangjiemian_02,Artbeijing_04,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero4002,0,0,0
4003,兰斯洛特,兰斯洛特,光系辅助,14400002,4,4,4,5,0,44002001,0,0,0,44002011,0,0,0,44002021,1,0,0,44002031,3,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/4003_get,Hero/4003_pose,0,0,Hero/4003_die,bg_wujiangjiemian_02,Artbeijing_10,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero4003,0,0,0
4004,亚瑟王,亚瑟王,光系战士,14400003,2,4,4,5,0,44003001,0,0,0,44003011,0,0,0,44003021,1,0,0,44003031,3,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/4004_get,Hero/4004_pose,0,0,Hero/4004_die,bg_wujiangjiemian_01,Artbeijing_09,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero4004,0,0,0
4005,雅典娜,雅典娜,光系法师,14500001,3,4,5,11,14400001,45001001,0,0,0,45001011,0,6,7,45001021,1,6,8,45001031,3,6,9,45001041,5,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/4005_get,Hero/4005_pose,0,0,Hero/4005_die,bg_wujiangjiemian_01,Artbeijing_11,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero4005,0,0,0
4006,加百列,加百列,光系法师,14500002,3,4,5,11,14400002,45002001,0,0,0,45002011,0,6,7,45002021,1,6,8,45002031,3,6,9,45002041,5,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/4006_get,Hero/4006_pose,0,0,Hero/4006_die,bg_wujiangjiemian_01,Artbeijing_04,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero4006,0,0,0
4007,乌列,乌列,光系辅助,14500003,4,4,5,11,14400003,45003001,0,0,0,45003011,0,6,7,45003021,1,6,8,45003031,3,6,9,45003041,5,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/4007_get,Hero/4007_pose,0,0,Hero/4007_die,bg_wujiangjiemian_01,Artbeijing_02,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero4007,0,0,0
4008,拉斐尔,拉斐尔,光系辅助,14500004,4,4,5,11,14400002,45004001,0,0,0,45004011,0,6,7,45004021,1,6,8,45004031,3,6,9,45004041,5,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/4008_get,Hero/4008_pose,0,0,Hero/4008_die,bg_wujiangjiemian_01,Artbeijing_08,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero4008,0,0,0
4009,米迦勒,米迦勒,光系战士,14500005,2,4,5,11,14400003,45005001,0,0,0,45005011,0,6,7,45005021,1,6,8,45005031,3,6,9,45005041,5,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/4009_get,Hero/4009_pose,0,0,Hero/4009_die,bg_wujiangjiemian_01,Artbeijing_06,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero4009,0,0,0
5001,莫甘娜,莫甘娜,暗系辅助,15300001,4,5,3,3,0,53001001,0,0,0,53001011,0,0,0,53001021,1,0,0,0,0,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,0,Hero/5001_pose,0,0,Hero/5001_die,bg_wujiangjiemian_01,Artbeijing_01,180,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero5001,0,0,0
5002,天启骑士,天启骑士,暗系坦克,15400001,1,5,4,5,0,54001001,0,0,0,54001011,0,0,0,54001021,1,0,0,54001031,3,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,0,Hero/5002_pose,0,0,Hero/5002_die,bg_wujiangjiemian_01,Artbeijing_01,180,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero5002,0,0,0
5003,涅墨西斯,涅墨西斯,暗系战士,15400002,2,5,4,5,0,54002001,0,0,0,54002011,0,0,0,54002021,1,0,0,54002031,3,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,0,Hero/5003_pose,0,0,Hero/5003_die,bg_wujiangjiemian_01,Artbeijing_01,180,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero5003,0,0,0
5004,阿努比斯,阿努比斯,暗系法师,15400003,3,5,4,5,0,54003001,0,0,0,54003011,0,0,0,54003021,1,0,0,54003031,3,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,0,Hero/5004_pose,0,0,Hero/5004_die,bg_wujiangjiemian_01,Artbeijing_01,180,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero5004,0,0,0
5005,潘多拉,潘多拉,暗系辅助,15500001,4,5,5,11,15400002,55001001,0,0,0,55001011,0,6,7,55001021,1,6,8,55001031,3,6,9,55001041,5,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,0,Hero/5005_pose,0,0,Hero/5005_die,bg_wujiangjiemian_01,Artbeijing_01,180,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero5005,0,0,0
5006,阿斯莫德,阿斯莫德,暗系战士,15500002,2,5,5,11,15400001,55002001,0,0,0,55002011,0,6,7,55002021,1,6,8,55002031,3,6,9,55002041,5,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,0,Hero/5006_pose,0,0,Hero/5006_die,bg_wujiangjiemian_01,Artbeijing_01,180,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero5006,0,0,0
