id,tab,taskid,tasktypes,n1,n2,n3,n4,headline,explain,title,txt,itemtype1,itemnum1,itemtype2,itemnum2,itemtype3,itemnum3,taskindexes,condition,icon
12,2,20002,222,90,0,0,0,参与城池争夺,可获海量元宝奖励,连战连捷,战争不到最后一刻，没有人能知道结果。但是强大的将军总是更容易获得胜利。#18|A82B05|协助国战胜利3次。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
13,2,20003,222,80,0,0,0,参与城池争夺,可获海量元宝奖励,奇兵制胜,兵者，诡道也。不能总是在战斗中使用一成不变的兵种，尝试着在#18|A82B05|国战中使用骑兵或枪兵1次。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
14,2,20004,222,70,0,0,0,参与城池争夺,可获海量元宝奖励,攻城拔寨,战争的目的就是为了扩大势力范围。#18|A82B05|参与占领城池3次。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
15,2,20005,222,60,0,0,0,参与城池争夺,可获海量元宝奖励,出其不意,继续在战斗中变换自己使用的兵种，让敌方势力难以揣测。#18|A82B05|在国战中使用盾兵或弓兵1次。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
16,2,20006,222,50,0,0,0,参与城池争夺,可获海量元宝奖励,驱狼逐虎,无论强大还是弱小，寻找合适的盟友总是更容易打击敌方势力。#18|A82B05|协助本势力进行1次国家同盟。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
17,2,20007,222,40,0,0,0,参与城池争夺,可获海量元宝奖励,百战百胜,到现在已经没有什么可以阻挡我们前进的步伐了。#18|A82B05|协助势力占领天下30座城池。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
18,2,20008,222,30,0,0,0,参与同盟贡献,可获海量元宝奖励,敬小慎微,越接近胜利，越要小心谨慎。再次回来检查下后方的安慰吧。#18|A82B05|在同盟中个人贡献达2100。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
19,2,20009,222,20,0,0,0,参与权谋之争,可获海量元宝奖励,声东击西,无穷无尽的骚扰，或者是牢不可摧的城防，都可极大的打击敌方势力的士气。#18|A82B05|参与破坏或修补城防50次。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
20,2,20010,222,15,0,0,0,参与城池争夺,可获海量元宝奖励,千变万化,再一次的转化，让敌人无法猜透我们的进攻方式。#18|A82B05|在国战中使用骑兵或枪兵10次。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
21,3,30001,222,10,0,0,0,参与城池争夺,可获海量元宝奖励,变化莫测,用兵之道，在于敌人永远都不知道你会使用什么兵种。#18|A82B05|在国战中使用盾兵或弓兵10次。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
22,3,30002,222,9,0,0,0,参与城池争夺,可获海量元宝奖励,攻其不备,虽然我们已经很强大了，但是敌军还是在顽固抵抗。一口气摧毁他们！#18|A82B05|协助国战胜利20次。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
23,3,30003,222,8,0,0,0,参与城池争夺,可获海量元宝奖励,长胜将军,当前已经没有什么可以阻挡我们的脚步了。继续前进！#18|A82B05|参与占领城池50次。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
24,3,30004,222,7,0,0,0,参与城池争夺,可获海量元宝奖励,运筹帷幄,经过这么久的努力，终于可以真正的割据一方。#18|A82B05|协助势力占领天下50座城池。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
25,3,30005,222,6,0,0,0,参与城池争夺,可获海量元宝奖励,争霸天下,敌方已经没有什么可以抵挡的力量了，加快一统天下的步伐吧。#18|A82B05|协助势力占领天下70座城池。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
26,3,30006,222,5,0,0,0,参与城池争夺,可获海量元宝奖励,争霸天下,敌方已经没有什么可以抵挡的力量了，加快一统天下的步伐吧。#18|A82B05|协助势力占领天下80座城池。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
27,3,30007,222,4,0,0,0,参与城池争夺,可获海量元宝奖励,争霸天下,敌方已经没有什么可以抵挡的力量了，加快一统天下的步伐吧。#18|A82B05|协助势力占领天下85座城池。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
28,3,30008,222,3,0,0,0,参与城池争夺,可获海量元宝奖励,争霸天下,敌方已经没有什么可以抵挡的力量了，加快一统天下的步伐吧。#18|A82B05|协助势力占领天下90座城池。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
29,3,30009,222,2,0,0,0,参与城池争夺,可获海量元宝奖励,争霸天下,敌方已经没有什么可以抵挡的力量了，加快一统天下的步伐吧。#18|A82B05|协助势力占领天下95座城池。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
30,3,30010,222,1,0,0,0,参与城池争夺,可获海量元宝奖励,争霸天下,敌方已经没有什么可以抵挡的力量了，加快一统天下的步伐吧。#18|A82B05|协助势力占领天下100座城池。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
