id,class,dan,icon,name,ranking,capacity,integral,income,limit
35,1,35,icon_jjc_mlys_07,最强王者,35,1,400,366,10000
36,1,36,icon_jjc_mlys_07,最强王者,36,1,390,365,10000
37,1,37,icon_jjc_mlys_07,最强王者,37,1,380,364,10000
38,1,38,icon_jjc_mlys_07,最强王者,38,1,370,363,10000
39,1,39,icon_jjc_mlys_07,最强王者,39,1,360,362,10000
40,1,40,icon_jjc_mlys_07,最强王者,40,1,350,361,10000
41,1,41,icon_jjc_mlys_07,最强王者,41,1,335,360,10000
42,1,42,icon_jjc_mlys_07,最强王者,42,1,320,359,10000
43,1,43,icon_jjc_mlys_07,最强王者,43,1,305,358,10000
44,1,44,icon_jjc_mlys_07,最强王者,44,1,290,357,10000
45,1,45,icon_jjc_mlys_07,最强王者,45,1,275,356,10000
46,1,46,icon_jjc_mlys_07,最强王者,46,1,260,355,10000
47,1,47,icon_jjc_mlys_07,最强王者,47,1,245,354,10000
48,1,48,icon_jjc_mlys_07,最强王者,48,1,230,353,10000
49,1,49,icon_jjc_mlys_07,最强王者,49,1,215,352,10000
50,1,50,icon_jjc_mlys_07,最强王者,50,1,200,351,10000
51,1,51,icon_jjc_mlys_07,最强王者,51,1,195,350,10000
52,1,52,icon_jjc_mlys_07,最强王者,52,1,190,349,10000
53,1,53,icon_jjc_mlys_07,最强王者,53,1,185,348,10000
54,1,54,icon_jjc_mlys_07,最强王者,54,1,180,347,10000
55,1,55,icon_jjc_mlys_07,最强王者,55,1,175,346,10000
56,1,56,icon_jjc_mlys_07,最强王者,56,1,170,345,10000
57,1,57,icon_jjc_mlys_07,最强王者,57,1,165,344,10000
58,1,58,icon_jjc_mlys_07,最强王者,58,1,160,343,10000
59,1,59,icon_jjc_mlys_07,最强王者,59,1,155,342,10000
60,1,60,icon_jjc_mlys_07,最强王者,60,1,150,341,10000
61,1,61,icon_jjc_mlys_07,最强王者,61,1,145,340,10000
62,1,62,icon_jjc_mlys_07,最强王者,62,1,140,339,10000
63,1,63,icon_jjc_mlys_07,最强王者,63,1,135,338,10000
64,1,64,icon_jjc_mlys_07,最强王者,64,1,130,337,10000
65,1,65,icon_jjc_mlys_07,最强王者,65,1,125,336,10000
66,1,66,icon_jjc_mlys_07,最强王者,66,1,120,335,10000
67,1,67,icon_jjc_mlys_07,最强王者,67,1,115,334,10000
68,1,68,icon_jjc_mlys_07,最强王者,68,1,110,333,10000
69,1,69,icon_jjc_mlys_07,最强王者,69,1,105,332,10000
70,1,70,icon_jjc_mlys_07,最强王者,70,1,100,331,10000
71,1,71,icon_jjc_mlys_07,最强王者,71,1,98,330,10000
72,1,72,icon_jjc_mlys_07,最强王者,72,1,96,329,10000
73,1,73,icon_jjc_mlys_07,最强王者,73,1,94,328,10000
74,1,74,icon_jjc_mlys_07,最强王者,74,1,92,327,10000
75,1,75,icon_jjc_mlys_07,最强王者,75,1,90,326,10000
76,1,76,icon_jjc_mlys_07,最强王者,76,1,88,325,10000
77,1,77,icon_jjc_mlys_07,最强王者,77,1,86,324,10000
78,1,78,icon_jjc_mlys_07,最强王者,78,1,84,323,10000
79,1,79,icon_jjc_mlys_07,最强王者,79,1,82,322,10000
80,1,80,icon_jjc_mlys_07,最强王者,80,1,80,321,10000
81,1,81,icon_jjc_mlys_07,最强王者,81,1,78,320,10000
82,1,82,icon_jjc_mlys_07,最强王者,82,1,76,319,10000
83,1,83,icon_jjc_mlys_07,最强王者,83,1,74,318,10000
84,1,84,icon_jjc_mlys_07,最强王者,84,1,72,317,10000
85,1,85,icon_jjc_mlys_07,最强王者,85,1,70,316,10000
86,1,86,icon_jjc_mlys_07,最强王者,86,1,68,315,10000
87,1,87,icon_jjc_mlys_07,最强王者,87,1,66,314,10000
88,1,88,icon_jjc_mlys_07,最强王者,88,1,64,313,10000
89,1,89,icon_jjc_mlys_07,最强王者,89,1,62,312,10000
90,1,90,icon_jjc_mlys_07,最强王者,90,1,60,311,10000
91,1,91,icon_jjc_mlys_07,最强王者,91,1,58,310,10000
92,1,92,icon_jjc_mlys_07,最强王者,92,1,56,309,10000
93,1,93,icon_jjc_mlys_07,最强王者,93,1,54,308,10000
94,1,94,icon_jjc_mlys_07,最强王者,94,1,52,307,10000
95,1,95,icon_jjc_mlys_07,最强王者,95,1,50,306,10000
96,1,96,icon_jjc_mlys_07,最强王者,96,1,48,305,10000
97,1,97,icon_jjc_mlys_07,最强王者,97,1,46,304,10000
98,1,98,icon_jjc_mlys_07,最强王者,98,1,44,303,10000
99,1,99,icon_jjc_mlys_07,最强王者,99,1,42,302,10000
100,1,100,icon_jjc_mlys_07,最强王者,100,1,40,301,10000
101,2,1,icon_jjc_mlys_05,钻石-I,0,5,0,300,10000
102,2,2,icon_jjc_mlys_05,钻石-II,0,5,0,299,10000
103,2,3,icon_jjc_mlys_05,钻石-III,0,5,0,298,10000
104,2,4,icon_jjc_mlys_05,钻石-IV,0,5,0,297,10000
105,2,5,icon_jjc_mlys_05,钻石-V,0,5,0,296,10000
106,2,6,icon_jjc_mlys_05,钻石-VI,0,5,0,295,10000
107,2,7,icon_jjc_mlys_05,钻石-VII,0,5,0,294,10000
108,2,8,icon_jjc_mlys_05,钻石-VIII,0,5,0,293,10000
109,2,9,icon_jjc_mlys_05,钻石-IX,0,5,0,292,10000
110,3,1,icon_jjc_mlys_04,铂金-I,0,7,0,291,10000
111,3,2,icon_jjc_mlys_04,铂金-II,0,7,0,290,10000
112,3,3,icon_jjc_mlys_04,铂金-III,0,7,0,289,10000
113,3,4,icon_jjc_mlys_04,铂金-IV,0,7,0,288,10000
114,3,5,icon_jjc_mlys_04,铂金-V,0,7,0,287,10000
115,3,6,icon_jjc_mlys_04,铂金-VI,0,7,0,286,10000
116,3,7,icon_jjc_mlys_04,铂金-VII,0,7,0,285,10000
117,3,8,icon_jjc_mlys_04,铂金-VIII,0,7,0,284,10000
118,3,9,icon_jjc_mlys_04,铂金-IX,0,7,0,283,10000
119,4,1,icon_jjc_mlys_06,黄金-I,0,8,0,282,10000
120,4,2,icon_jjc_mlys_06,黄金-II,0,8,0,281,10000
121,4,3,icon_jjc_mlys_06,黄金-III,0,8,0,280,10000
122,4,4,icon_jjc_mlys_06,黄金-IV,0,8,0,279,10000
123,4,5,icon_jjc_mlys_06,黄金-V,0,8,0,278,10000
124,4,6,icon_jjc_mlys_06,黄金-VI,0,8,0,277,10000
125,4,7,icon_jjc_mlys_06,黄金-VII,0,8,0,276,10000
126,4,8,icon_jjc_mlys_06,黄金-VIII,0,8,0,275,10000
127,4,9,icon_jjc_mlys_06,黄金-IX,0,8,0,274,10000
128,5,1,icon_jjc_mlys_03,白银-I,0,30,0,273,10000
129,5,2,icon_jjc_mlys_03,白银-II,0,30,0,272,10000
130,5,3,icon_jjc_mlys_03,白银-III,0,30,0,271,10000
131,5,4,icon_jjc_mlys_03,白银-IV,0,30,0,270,10000
132,5,5,icon_jjc_mlys_03,白银-V,0,30,0,269,10000
133,5,6,icon_jjc_mlys_03,白银-VI,0,30,0,268,10000
134,5,7,icon_jjc_mlys_03,白银-VII,0,30,0,267,10000
135,5,8,icon_jjc_mlys_03,白银-VIII,0,30,0,266,10000
136,5,9,icon_jjc_mlys_03,白银-IX,0,30,0,265,10000
137,6,1,icon_jjc_mlys_02,青铜-I,0,50,0,264,10000
138,6,2,icon_jjc_mlys_02,青铜-II,0,100,0,263,10000
139,6,3,icon_jjc_mlys_02,青铜-III,0,150,0,262,10000
140,6,4,icon_jjc_mlys_02,青铜-IV,0,200,0,261,10000
141,6,5,icon_jjc_mlys_02,青铜-V,0,250,0,260,10000
142,6,6,icon_jjc_mlys_02,青铜-VI,0,300,0,259,10000
143,6,7,icon_jjc_mlys_02,青铜-VII,0,350,0,258,10000
144,6,8,icon_jjc_mlys_02,青铜-VIII,0,400,0,257,10000
145,6,9,icon_jjc_mlys_02,青铜-IX,0,450,0,256,10000
146,7,1,icon_jjc_mlys_01,新兵,0,999999,0,150,10000
