itemid,itemname,itemdescription,itemtype,itemsubtype,goldprice,gemprice,itemicon,coinicon,itemcheek,comp_mark,overlapnum,needlv,paging,special,button,sort,rareeffect,cardcomposite,cardnum,vip,lotteryid,redtype,redshow,overflow,lotdrop,item_mark
11301301,暗雷护卫,范围伤害，范围减益,1,1,0,2400,elogo11301301.png,0,1,3,999,0,0,1,3,1,0,0,0,0,0,2,0,0,0,0
11301401,暗雷勇士,范围伤害，单体控制,1,1,0,2400,elogo11301401.png,0,1,3,999,0,0,1,3,1,0,0,0,0,0,2,0,0,0,0
11400101,神愈之光,群体回复，单体控制,1,1,0,9600,elogo11400101.png,0,4,4,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11400201,秘林刺客,高额闪避，单体爆发,1,1,0,9600,elogo11400201.png,0,4,4,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11400301,野性之眼,单体减益，范围伤害,1,1,0,9600,elogo11400301.png,0,4,4,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11400401,幻林使者,全屏控制，单体减益,1,1,0,9600,elogo11400401.png,0,4,4,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11400501,复苏术士,回复肉盾，变身强化,1,1,0,9600,elogo11400501.png,0,4,4,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11400601,疾风剑客,防御肉盾，范围控制,1,1,0,9600,elogo11400601.png,0,4,4,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11400701,绝世剑舞,范围伤害，范围控制,1,1,0,9600,elogo11400701.png,0,4,4,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11400801,神峰守护,范围伤害，范围嘲讽,1,1,0,9600,elogo11400801.png,0,4,4,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11400901,缚法旅者,范围爆发，共同承伤,1,1,0,9600,elogo11400901.png,0,4,4,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11401001,贯天之箭,持续输出，减益控制,1,1,0,4800,elogo11401001.png,0,2,4,999,0,0,2,3,1,0,0,0,0,0,2,0,0,0,0
11401002,贯天之箭,持续输出，减益控制,1,1,0,9600,elogo11401001.png,0,4,4,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11401101,神力之石,单体爆发，高额攻击,1,1,0,4800,elogo11401101.png,0,2,4,999,0,0,2,3,1,0,0,0,0,0,2,0,0,0,0
11401102,神力之石,单体爆发，高额攻击,1,1,0,9600,elogo11401101.png,0,4,4,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11401201,密林智者,全屏伤害，单体控制,1,1,0,4800,elogo11401201.png,0,2,4,999,0,0,2,3,1,0,0,0,0,0,2,0,0,0,0
11401202,密林智者,全屏伤害，单体控制,1,1,0,9600,elogo11401201.png,0,4,4,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11401301,神峰之力,范围伤害，范围减益,1,1,0,2400,elogo11401301.png,0,1,4,999,0,0,1,3,1,0,0,0,0,0,2,0,0,0,0
11401401,神峰护卫,范围伤害，持续输出,1,1,0,2400,elogo11401401.png,0,1,4,999,0,0,1,3,1,0,0,0,0,0,2,0,0,0,0
11401501,秘境精灵,群体辅助，全体增益,1,1,0,9600,elogo11401501.png,0,4,4,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11500101,审判利刃,单体爆发，全屏伤害,1,1,0,9600,elogo11500101.png,0,4,5,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11500201,创世双子,群体辅助，全体增益,1,1,0,9600,elogo11500201.png,0,4,5,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11500301,时序天使,输出肉盾，单体爆发,1,1,0,9600,elogo11500301.png,0,4,5,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11500401,黎明圣炎,持续输出，战败复活,1,1,0,9600,elogo11500401.png,0,4,5,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11600101,暗域之炎,范围伤害，全体增益,1,1,0,9600,elogo11600101.png,0,4,6,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11600201,支配魔眼,范围伤害，持续恢复,1,1,0,9600,elogo11600201.png,0,4,6,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11600301,逆时之影,单体爆发，持续输出,1,1,0,9600,elogo11600301.png,0,4,6,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11600701,霜寒之星,群体控制，持续输出,1,1,0,9600,elogo11600701.png,0,4,6,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11600801,暗渊巨魔,输出肉盾，单体爆发,1,1,0,9600,elogo11600801.png,0,4,6,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11700101,星辰君主,防御肉盾，范围伤害,1,1,0,9600,elogo11700101.png,0,4,7,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11101801,武圣,防御肉盾，范围伤害,1,1,0,9600,elogo11101801.png,0,4,1,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11500601,宙斯,防御肉盾，范围伤害,1,1,0,9600,elogo11500601.png,0,4,5,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11500701,齐天大圣,持续输出，范围伤害,1,1,0,9600,elogo11500701.png,0,4,5,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11500501,湿婆,持续输出，范围伤害,1,1,0,9600,elogo11500501.png,0,4,5,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11600901,哈奴曼,范围伤害，范围控制,1,1,0,9600,elogo11600901.png,0,4,6,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11700201,莉莉丝,防御肉盾，范围伤害,1,1,0,9600,elogo11700201.png,0,4,7,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11700301,圣诞老人,持续输出，范围伤害,1,1,0,9600,elogo11700301.png,0,4,7,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
12100101,天命骑士魂石,集齐60个天命骑士魂石可召唤天命骑士,1,2,0,160,elogo11100101.png,0,4,1,9999,0,3,0,1,3002,0,11100101,60,0,0,2,1,1,0,5
12100201,水占巫女魂石,集齐60个水占巫女魂石可召唤水占巫女,1,2,0,160,elogo11100201.png,0,4,1,9999,0,3,0,1,3002,0,11100201,60,0,0,2,1,1,0,5
12100301,秘银狩猎魂石,集齐60个秘银狩猎魂石可召唤秘银狩猎,1,2,0,160,elogo11100301.png,0,4,1,9999,0,3,0,1,3002,0,11100301,60,0,0,2,1,1,0,5
12100401,漫游之星魂石,集齐60个漫游之星魂石可召唤漫游之星,1,2,0,160,elogo11100401.png,0,4,1,9999,0,3,0,1,3002,0,11100401,60,0,0,2,1,1,0,5
12100501,不落之壁魂石,集齐60个不落之壁魂石可召唤不落之壁,1,2,0,160,elogo11100501.png,0,4,1,9999,0,3,0,1,3002,0,11100501,60,0,0,2,1,1,0,5
12100601,贵族之刃魂石,集齐60个贵族之刃魂石可召唤贵族之刃,1,2,0,160,elogo11100601.png,0,4,1,9999,0,3,0,1,3002,0,11100601,60,0,0,2,1,1,0,5
12100701,怒涛守护魂石,集齐60个怒涛守护魂石可召唤怒涛守护,1,2,0,160,elogo11100701.png,0,4,1,9999,0,3,0,1,3002,0,11100701,60,0,0,2,1,1,0,5
12100801,神谕信使魂石,集齐60个神谕信使魂石可召唤神谕信使,1,2,0,160,elogo11100801.png,0,4,1,9999,0,3,0,1,3002,0,11100801,60,0,0,2,1,1,0,5
12100901,元素魔弓魂石,集齐60个元素魔弓魂石可召唤元素魔弓,1,2,0,160,elogo11100901.png,0,4,1,9999,0,3,0,1,3002,0,11100901,60,0,0,2,1,1,0,5
12101001,奇想学徒魂石,集齐60个奇想学徒魂石可召唤奇想学徒,1,2,0,160,elogo11101001.png,0,4,1,9999,0,3,0,1,3002,0,11101001,60,0,0,2,1,1,0,5
12101101,诸海之灾魂石,集齐60个诸海之灾魂石可召唤诸海之灾,1,2,0,160,elogo11101101.png,0,4,1,9999,0,3,0,1,3002,0,11101101,60,0,0,2,1,1,0,5
12101201,北境之锤魂石,集齐60个北境之锤魂石可召唤北境之锤,1,2,0,80,elogo11101201.png,0,2,1,9999,0,3,0,1,3010,0,11101201,60,0,0,2,1,1,0,5
12101301,凯旋之歌魂石,集齐60个凯旋之歌魂石可召唤凯旋之歌,1,2,0,80,elogo11101301.png,0,2,1,9999,0,3,0,1,3010,0,11101301,60,0,0,2,1,1,0,5
12101401,狩魔鹰眼魂石,集齐60个狩魔鹰眼魂石可召唤狩魔鹰眼,1,2,0,80,elogo11101401.png,0,2,1,9999,0,3,0,1,3010,0,11101401,60,0,0,2,1,1,0,5
12101501,魔导女爵魂石,集齐60个魔导女爵魂石可召唤魔导女爵,1,2,0,80,elogo11101501.png,0,2,1,9999,0,3,0,1,3010,0,11101501,60,0,0,2,1,1,0,5
12101601,怒涛修士魂石,集齐60个怒涛修士魂石可召唤怒涛修士,1,2,0,40,elogo11101601.png,0,1,1,9999,0,3,0,1,3014,0,11101601,60,0,0,2,1,1,0,5
12101701,怒涛护卫魂石,集齐60个怒涛护卫魂石可召唤怒涛护卫,1,2,0,40,elogo11101701.png,0,1,1,9999,0,3,0,1,3014,0,11101701,60,0,0,2,1,1,0,5
12200101,怒火狂刃魂石,集齐60个怒火狂刃魂石可召唤怒火狂刃,1,2,0,160,elogo11200101.png,0,4,2,9999,0,3,0,1,3003,0,11200101,60,0,0,2,1,1,0,5
12200201,无畏之斧魂石,集齐60个无畏之斧魂石可召唤无畏之斧,1,2,0,160,elogo11200201.png,0,4,2,9999,0,3,0,1,3003,0,11200201,60,0,0,2,1,1,0,5
12200301,燎原暗箭魂石,集齐60个燎原暗箭魂石可召唤燎原暗箭,1,2,0,160,elogo11200301.png,0,4,2,9999,0,3,0,1,3003,0,11200301,60,0,0,2,1,1,0,5
12200401,炎魂祭司魂石,集齐60个炎魂祭司魂石可召唤炎魂祭司,1,2,0,160,elogo11200401.png,0,4,2,9999,0,3,0,1,3003,0,11200401,60,0,0,2,1,1,0,5
12200501,不屈战魂魂石,集齐60个不屈战魂魂石可召唤不屈战魂,1,2,0,160,elogo11200501.png,0,4,2,9999,0,3,0,1,3003,0,11200501,60,0,0,2,1,1,0,5
12200601,赤炎之锤魂石,集齐60个赤炎之锤魂石可召唤赤炎之锤,1,2,0,160,elogo11200601.png,0,4,2,9999,0,3,0,1,3003,0,11200601,60,0,0,2,1,1,0,5
12200701,胜利长枪魂石,集齐60个胜利长枪魂石可召唤胜利长枪,1,2,0,160,elogo11200701.png,0,4,2,9999,0,3,0,1,3003,0,11200701,60,0,0,2,1,1,0,5
12200801,圣焰王女魂石,集齐60个圣焰王女魂石可召唤圣焰王女,1,2,0,160,elogo11200801.png,0,4,2,9999,0,3,0,1,3003,0,11200801,60,0,0,2,1,1,0,5
12200901,林中女巫魂石,集齐60个林中女巫魂石可召唤林中女巫,1,2,0,160,elogo11200901.png,0,4,2,9999,0,3,0,1,3003,0,11200901,60,0,0,2,1,1,0,5
12201001,圣焰刀锋魂石,集齐60个圣焰刀锋魂石可召唤圣焰刀锋,1,2,0,160,elogo11201001.png,0,4,2,9999,0,3,0,1,3003,0,11201001,60,0,0,2,1,1,0,5
12201101,异族女王魂石,集齐60个异族女王魂石可召唤异族女王,1,2,0,80,elogo11201101.png,0,2,2,9999,0,3,0,1,3011,0,11201101,60,0,0,2,1,1,0,5
12201201,图腾之心魂石,集齐60个图腾之心魂石可召唤图腾之心,1,2,0,80,elogo11201201.png,0,2,2,9999,0,3,0,1,3011,0,11201201,60,0,0,2,1,1,0,5
12201301,燃魂之矛魂石,集齐60个燃魂之矛魂石可召唤燃魂之矛,1,2,0,80,elogo11201301.png,0,2,2,9999,0,3,0,1,3011,0,11201301,60,0,0,2,1,1,0,5
12201401,圣焰战士魂石,集齐60个圣焰战士魂石可召唤圣焰战士,1,2,0,40,elogo11201401.png,0,1,2,9999,0,3,0,1,3015,0,11201401,60,0,0,2,1,1,0,5
12201501,圣焰驯兽师魂石,集齐60个圣焰驯兽师魂石可召唤圣焰驯兽师,1,2,0,40,elogo11201501.png,0,1,2,9999,0,3,0,1,3015,0,11201501,60,0,0,2,1,1,0,5
12201601,峰峦霸主魂石,集齐60个峰峦霸主魂石可召唤峰峦霸主,1,2,0,160,elogo11201601.png,0,4,2,9999,0,3,0,1,3003,0,11201601,60,0,0,2,1,1,0,5
12300101,不朽剑魔魂石,集齐60个不朽剑魔魂石可召唤不朽剑魔,1,2,0,160,elogo11300101.png,0,4,3,9999,0,3,0,1,3004,0,11300101,60,0,0,2,1,1,0,5
12300201,风雷魔巫魂石,集齐60个风雷魔巫魂石可召唤风雷魔巫,1,2,0,160,elogo11300201.png,0,4,3,9999,0,3,0,1,3004,0,11300201,60,0,0,2,1,1,0,5
12300301,雷鸣圣主魂石,集齐60个雷鸣圣主魂石可召唤雷鸣圣主,1,2,0,160,elogo11300301.png,0,4,3,9999,0,3,0,1,3004,0,11300301,60,0,0,2,1,1,0,5
12300401,暗域行者魂石,集齐60个暗域行者魂石可召唤暗域行者,1,2,0,160,elogo11300401.png,0,4,3,9999,0,3,0,1,3004,0,11300401,60,0,0,2,1,1,0,5
12300501,圣王之手魂石,集齐60个圣王之手魂石可召唤圣王之手,1,2,0,160,elogo11300501.png,0,4,3,9999,0,3,0,1,3004,0,11300501,60,0,0,2,1,1,0,5
12300601,驱雷之手魂石,集齐60个驱雷之手魂石可召唤驱雷之手,1,2,0,160,elogo11300601.png,0,4,3,9999,0,3,0,1,3004,0,11300601,60,0,0,2,1,1,0,5
12300701,幻影守卫魂石,集齐60个幻影守卫魂石可召唤幻影守卫,1,2,0,160,elogo11300701.png,0,4,3,9999,0,3,0,1,3004,0,11300701,60,0,0,2,1,1,0,5
12300801,影域修罗魂石,集齐60个影域修罗魂石可召唤影域修罗,1,2,0,160,elogo11300801.png,0,4,3,9999,0,3,0,1,3004,0,11300801,60,0,0,2,1,1,0,5
12300901,黑暗神官魂石,集齐60个黑暗神官魂石可召唤黑暗神官,1,2,0,160,elogo11300901.png,0,4,3,9999,0,3,0,1,3004,0,11300901,60,0,0,2,1,1,0,5
12301001,裁决判官魂石,集齐60个裁决判官魂石可召唤裁决判官,1,2,0,80,elogo11301001.png,0,2,3,9999,0,3,0,1,3012,0,11301001,60,0,0,2,1,1,0,5
12301101,影之罗刹魂石,集齐60个影之罗刹魂石可召唤影之罗刹,1,2,0,80,elogo11301101.png,0,2,3,9999,0,3,0,1,3012,0,11301101,60,0,0,2,1,1,0,5
12301201,暗之剑豪魂石,集齐60个暗之剑豪魂石可召唤暗之剑豪,1,2,0,80,elogo11301201.png,0,2,3,9999,0,3,0,1,3012,0,11301201,60,0,0,2,1,1,0,5
12301301,暗雷护卫魂石,集齐60个暗雷护卫魂石可召唤暗雷护卫,1,2,0,40,elogo11301301.png,0,1,3,9999,0,3,0,1,3016,0,11301301,60,0,0,2,1,1,0,5
12301401,暗雷勇士魂石,集齐60个暗雷勇士魂石可召唤暗雷勇士,1,2,0,40,elogo11301401.png,0,1,3,9999,0,3,0,1,3016,0,11301401,60,0,0,2,1,1,0,5
12400101,神愈之光魂石,集齐60个神愈之光魂石可召唤神愈之光,1,2,0,160,elogo11400101.png,0,4,4,9999,0,3,0,1,3005,0,11400101,60,0,0,2,1,1,0,5
12400201,秘林刺客魂石,集齐60个秘林刺客魂石可召唤秘林刺客,1,2,0,160,elogo11400201.png,0,4,4,9999,0,3,0,1,3005,0,11400201,60,0,0,2,1,1,0,5
12400301,野性之眼魂石,集齐60个野性之眼魂石可召唤野性之眼,1,2,0,160,elogo11400301.png,0,4,4,9999,0,3,0,1,3005,0,11400301,60,0,0,2,1,1,0,5
12400401,幻林使者魂石,集齐60个幻林使者魂石可召唤幻林使者,1,2,0,160,elogo11400401.png,0,4,4,9999,0,3,0,1,3005,0,11400401,60,0,0,2,1,1,0,5
12400501,复苏术士魂石,集齐60个复苏术士魂石可召唤复苏术士,1,2,0,160,elogo11400501.png,0,4,4,9999,0,3,0,1,3005,0,11400501,60,0,0,2,1,1,0,5
12400601,疾风剑客魂石,集齐60个疾风剑客魂石可召唤疾风剑客,1,2,0,160,elogo11400601.png,0,4,4,9999,0,3,0,1,3005,0,11400601,60,0,0,2,1,1,0,5
12400701,绝世剑舞魂石,集齐60个绝世剑舞魂石可召唤绝世剑舞,1,2,0,160,elogo11400701.png,0,4,4,9999,0,3,0,1,3005,0,11400701,60,0,0,2,1,1,0,5
12400801,神峰守护魂石,集齐60个神峰守护魂石可召唤神峰守护,1,2,0,160,elogo11400801.png,0,4,4,9999,0,3,0,1,3005,0,11400801,60,0,0,2,1,1,0,5
12400901,缚法旅者魂石,集齐60个缚法旅者魂石可召唤缚法旅者,1,2,0,160,elogo11400901.png,0,4,4,9999,0,3,0,1,3005,0,11400901,60,0,0,2,1,1,0,5
12401001,贯天之箭魂石,集齐60个贯天之箭魂石可召唤贯天之箭,1,2,0,80,elogo11401001.png,0,2,4,9999,0,3,0,1,3013,0,11401001,60,0,0,2,1,1,0,5
12401101,神力之石魂石,集齐60个神力之石魂石可召唤神力之石,1,2,0,80,elogo11401101.png,0,2,4,9999,0,3,0,1,3013,0,11401101,60,0,0,2,1,1,0,5
12401201,密林智者魂石,集齐60个密林智者魂石可召唤密林智者,1,2,0,80,elogo11401201.png,0,2,4,9999,0,3,0,1,3013,0,11401201,60,0,0,2,1,1,0,5
