id,type,equip_position,quality,lv,vaual1,vaual2,vaual3,vaual4,vaual5,vaual6,vaual7,fuzhi
222,6,2,8,3,3300,390,33,180,0,0,232320,628
223,6,2,8,4,4400,520,44,240,0,0,309760,628
224,6,2,8,5,5500,650,55,300,0,0,387200,628
225,6,2,9,1,2200,250,30,60,0,0,144050,629
226,6,2,9,2,4400,500,60,120,0,0,288100,629
227,6,2,9,3,6600,750,90,180,0,0,432150,629
228,6,2,9,4,8800,1000,120,240,0,0,576200,629
229,6,2,9,5,11000,1250,150,300,0,0,720250,629
230,6,2,10,1,4400,550,60,90,0,0,322500,6210
231,6,2,10,2,8800,1100,120,180,0,0,645000,6210
232,6,2,10,3,13200,1650,180,270,0,0,967500,6210
233,6,2,10,4,17600,2200,240,360,0,0,1290000,6210
234,6,2,10,5,22000,2750,300,450,0,0,1612500,6210
235,4,3,2,1,5,0,0,0,0,0,2300,432
236,4,3,2,2,10,0,0,0,0,0,4600,432
237,4,3,2,3,15,0,0,0,0,0,6900,432
238,4,3,3,1,24,10,0,0,0,0,5080,433
239,4,3,3,2,48,20,0,0,0,0,10160,433
240,4,3,3,3,72,30,0,0,0,0,15240,433
241,4,3,4,1,72,16,6,0,0,0,9028,434
242,4,3,4,2,144,32,12,0,0,0,18056,434
243,4,3,4,3,216,48,18,0,0,0,27084,434
244,4,3,4,4,288,64,24,0,0,0,36112,434
245,4,3,5,1,120,24,40,0,0,0,15240,435
246,4,3,5,2,240,48,80,0,0,0,30480,435
247,4,3,5,3,360,72,120,0,0,0,45720,435
248,4,3,5,4,480,96,160,0,0,0,60960,435
249,4,3,6,1,100,50,60,0,0,0,27700,436
250,4,3,6,2,200,100,120,0,0,0,55400,436
251,4,3,6,3,300,150,180,0,0,0,83100,436
252,4,3,6,4,400,200,240,0,0,0,110800,436
253,4,3,6,5,500,250,300,0,0,0,138500,436
254,4,3,7,1,750,63,80,0,0,0,47580,437
255,4,3,7,2,1500,126,160,0,0,0,95160,437
256,4,3,7,3,2250,189,240,0,0,0,142740,437
257,4,3,7,4,3000,252,320,0,0,0,190320,437
258,4,3,7,5,3750,315,400,0,0,0,237900,437
259,4,3,8,1,2000,72,100,0,0,0,54300,438
260,4,3,8,2,4000,144,200,0,0,0,108600,438
261,4,3,8,3,6000,216,300,0,0,0,162900,438
262,4,3,8,4,8000,288,400,0,0,0,217200,438
263,4,3,8,5,10000,360,500,0,0,0,271500,438
264,4,3,9,1,3800,160,100,0,0,0,154050,439
265,4,3,9,2,7600,320,200,0,0,0,308100,439
266,4,3,9,3,11400,480,300,0,0,0,462150,439
267,4,3,9,4,15200,640,400,0,0,0,616200,439
268,4,3,9,5,19000,800,500,0,0,0,770250,439
269,4,3,10,1,7000,400,110,0,0,0,328940,4310
270,4,3,10,2,14000,800,220,0,0,0,657880,4310
271,4,3,10,3,21000,1200,330,0,0,0,986820,4310
272,4,3,10,4,28000,1600,440,0,0,0,1315760,4310
273,4,3,10,5,35000,2000,550,0,0,0,1644700,4310
274,5,3,2,1,10,4,0,0,0,0,2040,532
275,5,3,2,2,20,8,0,0,0,0,4080,532
276,5,3,2,3,30,12,0,0,0,0,6120,532
277,5,3,3,1,12,3,8,0,0,0,5030,533
278,5,3,3,2,24,6,16,0,0,0,10060,533
279,5,3,3,3,36,9,24,0,0,0,15090,533
280,5,3,4,1,35,7,12,0,0,0,9040,534
281,5,3,4,2,70,14,25,0,0,0,18080,534
282,5,3,4,3,105,21,37,0,0,0,27120,534
283,5,3,4,4,140,28,50,0,0,0,36160,534
284,5,3,5,1,15,17,40,0,0,0,15170,535
285,5,3,5,2,30,34,80,0,0,0,30340,535
286,5,3,5,3,45,51,120,0,0,0,45510,535
287,5,3,5,4,60,68,160,0,0,0,60680,535
288,5,3,6,1,23,35,60,0,0,0,27310,536
289,5,3,6,2,46,70,120,0,0,0,54620,536
290,5,3,6,3,69,105,180,0,0,0,81930,536
291,5,3,6,4,92,140,240,0,0,0,109240,536
292,5,3,6,5,115,175,300,0,0,0,136550,536
293,5,3,7,1,280,35,55,80,0,0,47450,537
294,5,3,7,2,560,70,110,160,0,0,94900,537
295,5,3,7,3,840,105,165,240,0,0,142350,537
296,5,3,7,4,1120,140,220,320,0,0,189800,537
297,5,3,7,5,1400,175,275,400,0,0,237250,537
298,5,3,8,1,1300,46,65,100,0,0,77420,538
299,5,3,8,2,2600,92,130,200,0,0,154840,538
300,5,3,8,3,3900,138,195,300,0,0,232260,538
301,5,3,8,4,5200,184,260,400,0,0,309680,538
302,5,3,8,5,6500,230,325,500,0,0,387100,538
303,5,3,9,1,3000,50,150,100,0,0,152000,539
304,5,3,9,2,6000,100,300,200,0,0,304000,539
305,5,3,9,3,9000,150,450,300,0,0,456000,539
306,5,3,9,4,12000,200,600,400,0,0,608000,539
307,5,3,9,5,15000,250,750,500,0,0,760000,539
308,5,3,10,1,6000,100,340,110,0,0,318330,5310
309,5,3,10,2,12000,200,680,220,0,0,636660,5310
310,5,3,10,3,18000,300,1020,330,0,0,954990,5310
311,5,3,10,4,24000,400,1360,440,0,0,1273320,5310
312,5,3,10,5,30000,500,1700,550,0,0,1591650,5310
313,6,3,2,1,4,5,0,0,0,0,2030,632
314,6,3,2,2,8,10,0,0,0,0,4060,632
315,6,3,2,3,12,15,0,0,0,0,6090,632
316,6,3,3,1,7,20,8,0,0,0,5004,633
317,6,3,3,2,14,40,16,0,0,0,10008,633
318,6,3,3,3,21,60,24,0,0,0,15012,633
319,6,3,4,1,12,40,8,0,0,0,9014,634
320,6,3,4,2,25,80,16,0,0,0,18028,634
321,6,3,4,3,37,120,24,0,0,0,27042,634
322,6,3,4,4,50,160,32,0,0,0,36056,634
323,6,3,5,1,23,50,25,0,0,0,15230,635
324,6,3,5,2,46,100,50,0,0,0,30460,635
325,6,3,5,3,69,150,75,0,0,0,45690,635
326,6,3,5,4,92,200,100,0,0,0,60920,635
327,6,3,6,1,41,100,25,0,0,0,27210,636
328,6,3,6,2,82,200,50,0,0,0,54420,636
329,6,3,6,3,123,300,75,0,0,0,81630,636
330,6,3,6,4,164,400,100,0,0,0,108840,636
331,6,3,6,5,205,500,125,0,0,0,136050,636
332,6,3,7,1,680,55,100,3,0,0,47440,637
333,6,3,7,2,1360,110,200,6,0,0,94880,637
334,6,3,7,3,2040,165,300,9,0,0,142320,637
335,6,3,7,4,2720,220,400,12,0,0,189760,637
336,6,3,7,5,3400,275,500,15,0,0,237200,637
337,6,3,8,1,1800,70,100,50,0,0,77500,638
338,6,3,8,2,3600,140,200,100,0,0,155000,638
339,6,3,8,3,5400,210,300,150,0,0,232500,638
340,6,3,8,4,7200,280,400,200,0,0,310000,638
341,6,3,8,5,9000,350,500,250,0,0,387500,638
342,6,3,9,1,3600,155,100,60,0,0,152940,639
343,6,3,9,2,7200,310,200,120,0,0,305880,639
344,6,3,9,3,10800,465,300,180,0,0,458820,639
345,6,3,9,4,14400,620,400,240,0,0,611760,639
346,6,3,9,5,18000,775,500,300,0,0,764700,639
347,6,3,10,1,7500,350,100,80,0,0,321380,6310
348,6,3,10,2,15000,700,200,160,0,0,642760,6310
349,6,3,10,3,22500,1050,300,240,0,0,964140,6310
350,6,3,10,4,30000,1400,400,320,0,0,1285520,6310
351,6,3,10,5,37500,1750,500,400,0,0,1606900,6310
352,4,4,2,1,90,6,0,0,0,0,2028,442
353,4,4,2,2,180,12,0,0,0,0,4056,442
354,4,4,2,3,270,18,0,0,0,0,6084,442
355,4,4,3,1,220,16,-20,0,0,0,5068,443
356,4,4,3,2,440,32,-40,0,0,0,10136,443
357,4,4,3,3,660,48,-60,0,0,0,15204,443
358,4,4,4,1,410,20,-20,0,0,0,9020,444
359,4,4,4,2,820,40,-40,0,0,0,18040,444
360,4,4,4,3,1230,60,-60,0,0,0,27060,444
361,4,4,4,4,1640,80,-80,0,0,0,36080,444
362,4,4,5,1,640,20,-20,40,0,0,15195,445
363,4,4,5,2,1280,40,-40,80,0,0,30390,445
364,4,4,5,3,1920,60,-60,120,0,0,45585,445
365,4,4,5,4,2560,80,-80,160,0,0,60780,445
366,4,4,6,1,1200,25,-30,50,0,0,27290,446
367,4,4,6,2,2400,50,-60,100,0,0,54580,446
368,4,4,6,3,3600,75,-90,150,0,0,81870,446
369,4,4,6,4,4800,100,-120,200,0,0,109160,446
370,4,4,6,5,6000,125,-150,250,0,0,136450,446
371,4,4,7,1,2200,35,-40,50,0,0,47700,447
372,4,4,7,2,4400,70,-80,100,0,0,95400,447
373,4,4,7,3,6600,105,-120,150,0,0,143100,447
374,4,4,7,4,8800,140,-160,200,0,0,190800,447
375,4,4,7,5,11000,175,-200,250,0,0,238500,447
376,4,4,8,1,3650,60,-50,50,0,0,77610,448
377,4,4,8,2,7300,120,-100,100,0,0,155220,448
378,4,4,8,3,10950,180,-150,150,0,0,232830,448
379,4,4,8,4,14600,240,-200,200,0,0,310440,448
380,4,4,8,5,18250,300,-250,250,0,0,388050,448
381,4,4,9,1,7400,80,-80,50,0,0,153460,449
382,4,4,9,2,14800,160,-160,100,0,0,306920,449
383,4,4,9,3,22200,240,-240,150,0,0,460380,449
384,4,4,9,4,29600,320,-320,200,0,0,613840,449
385,4,4,9,5,37000,400,-400,250,0,0,767300,449
386,4,4,10,1,16000,100,-80,50,0,0,326270,4410
387,4,4,10,2,32000,200,-160,100,0,0,652540,4410
388,4,4,10,3,48000,300,-240,150,0,0,978810,4410
389,4,4,10,4,64000,400,-320,200,0,0,1305080,4410
390,4,4,10,5,80000,500,-400,250,0,0,1631350,4410
391,5,4,2,1,50,2,8,0,0,0,2044,542
392,5,4,2,2,100,4,16,0,0,0,4088,542
393,5,4,2,3,150,6,24,0,0,0,6132,542
394,5,4,3,1,140,4,18,-20,0,0,5024,543
395,5,4,3,2,280,8,36,-40,0,0,10048,543
396,5,4,3,3,420,12,54,-60,0,0,15072,543
397,5,4,4,1,275,6,30,-50,0,0,9010,544
398,5,4,4,2,550,12,60,-100,0,0,18020,544
399,5,4,4,3,825,18,90,-150,0,0,27030,544
400,5,4,4,4,1100,24,120,-200,0,0,36040,544
401,5,4,5,1,510,9,35,-50,0,0,15195,545
402,5,4,5,2,1020,19,70,-100,0,0,30390,545
403,5,4,5,3,1530,28,105,-150,0,0,45585,545
404,5,4,5,4,2040,38,140,-200,0,0,60780,545
405,5,4,6,1,1000,14,50,-60,0,0,35438,546
406,5,4,6,2,2000,28,100,-120,0,0,70876,546
407,5,4,6,3,3000,42,150,-180,0,0,106314,546
408,5,4,6,4,4000,56,200,-240,0,0,141752,546
409,5,4,6,5,5000,70,250,-300,0,0,177190,546
410,5,4,7,1,1800,23,60,-80,0,0,47030,547
411,5,4,7,2,3600,46,120,-160,0,0,94060,547
412,5,4,7,3,5400,69,180,-240,0,0,141090,547
413,5,4,7,4,7200,92,240,-320,0,0,188120,547
414,5,4,7,5,9000,115,300,-400,0,0,235150,547
415,5,4,8,1,3200,25,100,-110,0,0,77350,548
416,5,4,8,2,6400,50,200,-220,0,0,154700,548
417,5,4,8,3,9600,75,300,-330,0,0,232050,548
418,5,4,8,4,12800,100,400,-440,0,0,309400,548
419,5,4,8,5,16000,125,500,-550,0,0,386750,548
420,5,4,9,1,6400,50,160,-110,0,0,152880,549
421,5,4,9,2,12800,100,320,-220,0,0,305760,549
422,5,4,9,3,19200,150,480,-330,0,0,458640,549
423,5,4,9,4,25600,200,640,-440,0,0,611520,549
424,5,4,9,5,32000,250,800,-550,0,0,764400,549
425,5,4,10,1,12500,150,210,-110,0,0,313770,5410
426,5,4,10,2,25000,300,420,-220,0,0,627540,5410
427,5,4,10,3,37500,450,630,-330,0,0,941310,5410
428,5,4,10,4,50000,600,840,-440,0,0,1255080,5410
429,5,4,10,5,62500,750,1050,-550,0,0,1568850,5410
430,6,4,2,1,50,2,8,0,0,0,2044,642
431,6,4,2,2,100,4,16,0,0,0,4088,642
432,6,4,2,3,150,6,24,0,0,0,6132,642
433,6,4,3,1,130,5,14,0,0,0,5058,643
434,6,4,3,2,260,10,28,0,0,0,10116,643
435,6,4,3,3,390,15,42,0,0,0,15174,643
436,6,4,4,1,240,8,30,0,0,0,9052,644
437,6,4,4,2,480,16,60,0,0,0,18104,644
438,6,4,4,3,720,24,90,0,0,0,27156,644
439,6,4,4,4,960,32,120,0,0,0,36208,644
440,6,4,5,1,460,12,40,0,0,0,15350,645
441,6,4,5,2,920,24,80,0,0,0,30700,645
442,6,4,5,3,1380,36,120,0,0,0,46050,645
443,6,4,5,4,1840,48,160,0,0,0,61400,645
444,6,4,6,1,920,18,50,0,0,0,27100,646
445,6,4,6,2,1840,36,100,0,0,0,54200,646
446,6,4,6,3,2760,54,150,0,0,0,81300,646
447,6,4,6,4,3680,72,200,0,0,0,108400,646
448,6,4,6,5,4600,90,250,0,0,0,135500,646
449,6,4,7,1,1550,33,20,60,0,0,47198,647
450,6,4,7,2,3100,66,40,120,0,0,94396,647
451,6,4,7,3,4650,99,60,180,0,0,141594,647
452,6,4,7,4,6200,132,80,240,0,0,188792,647
453,6,4,7,5,7750,165,100,300,0,0,235990,647
454,6,4,8,1,2600,50,40,100,0,0,77260,648
455,6,4,8,2,5200,100,80,200,0,0,154520,648
456,6,4,8,3,7800,150,120,300,0,0,231780,648
457,6,4,8,4,10400,200,160,400,0,0,309040,648
458,6,4,8,5,13000,250,200,500,0,0,386300,648
459,6,4,9,1,5000,120,40,150,0,0,153050,649
460,6,4,9,2,10000,240,80,300,0,0,306100,649
461,6,4,9,3,15000,360,120,450,0,0,459150,649
462,6,4,9,4,20000,480,160,600,0,0,612200,649
463,6,4,9,5,25000,600,200,750,0,0,765250,649
464,6,4,10,1,10000,300,40,180,0,0,320770,6410
465,6,4,10,2,20000,600,80,360,0,0,641540,6410
466,6,4,10,3,30000,900,120,540,0,0,962310,6410
467,6,4,10,4,40000,1200,160,720,0,0,1283080,6410
468,6,4,10,5,50000,1500,200,900,0,0,1603850,6410
