id,activity_type,activity_periods,hero,duty,seevip,needvip,needquality,txt,pay,amount,limit,tasktypes,n1,n2,n3,n4,item1,num1,item2,num2,item3,num3,item4,num4
33,1800,2,5007,持续输出型英雄,13,13,12,达到神话2星品质解锁,0,0,1,0,0,0,0,0,40000019,1,81000002,30,0,0,0,0
34,1800,2,5007,持续输出型英雄,13,13,13,达到神话3星品质解锁,0,0,1,0,0,0,0,0,40000005,30,91000056,300,0,0,0,0
35,1800,2,5007,持续输出型英雄,13,13,14,达到神话4星品质解锁,0,0,1,0,0,0,0,0,40000024,1,81000002,60,0,0,0,0
36,1800,2,5007,持续输出型英雄,13,13,15,达到神话5星品质解锁,0,0,1,0,0,0,0,0,42010003,20,91000001,10000000,0,0,0,0
37,1800,2,5007,持续输出型英雄,0,0,4,达到精英品质解锁,1,6,1,201,1,901,0,0,91000002,6000,40000003,50,0,0,0,0
38,1800,2,5007,持续输出型英雄,0,0,5,达到精英+品质解锁,1,30,2,201,1,902,0,0,91000002,30000,40000003,100,0,0,0,0
39,1800,2,5007,持续输出型英雄,0,0,6,达到史诗品质解锁,1,98,2,201,1,903,0,0,91000002,98000,42010003,10,0,0,0,0
40,1800,2,5007,持续输出型英雄,0,0,7,达到史诗+品质解锁,1,163,2,201,1,904,0,0,91000002,163000,11500701,1,0,0,0,0
41,1800,2,5007,持续输出型英雄,5,5,8,达到传说品质解锁,1,648,2,201,1,905,0,0,91000002,648000,30020070,4,0,0,0,0
42,1800,2,5007,持续输出型英雄,5,5,9,达到传说+品质解锁,1,198,2,201,1,906,0,0,91000002,198000,40000004,110,0,0,0,0
43,1800,2,5007,持续输出型英雄,5,5,10,达到神话品质解锁,1,648,2,201,1,907,0,0,91000002,648000,11500701,2,91000056,100,0,0
44,1800,2,5007,持续输出型英雄,13,13,11,达到神话1星品质解锁,1,328,2,201,1,908,0,0,91000002,328000,42010003,50,0,0,0,0
45,1800,2,5007,持续输出型英雄,13,13,12,达到神话2星品质解锁,1,328,2,201,1,909,0,0,91000002,328000,40000004,200,91000056,300,0,0
46,1800,2,5007,持续输出型英雄,13,13,13,达到神话3星品质解锁,1,648,2,201,1,910,0,0,91000002,648000,40000005,200,0,0,0,0
47,1800,2,5007,持续输出型英雄,13,13,14,达到神话4星品质解锁,1,648,2,201,1,911,0,0,91000002,648000,40000019,2,81000002,200,0,0
48,1800,2,5007,持续输出型英雄,13,13,15,达到神话5星品质解锁,1,648,2,201,1,912,0,0,91000002,648000,40000024,2,81000002,200,0,0
49,1800,3,5007,持续输出型英雄,0,0,4,达到精英品质解锁,0,0,1,0,0,0,0,0,91000044,2000,0,0,0,0,0,0
50,1800,3,5007,持续输出型英雄,0,0,5,达到精英+品质解锁,0,0,1,0,0,0,0,0,42010003,10,0,0,0,0,0,0
51,1800,3,5007,持续输出型英雄,0,0,6,达到史诗品质解锁,0,0,1,0,0,0,0,0,91000056,300,0,0,0,0,0,0
52,1800,3,5007,持续输出型英雄,0,0,7,达到史诗+品质解锁,0,0,1,0,0,0,0,0,82000001,2,0,0,0,0,0,0
53,1800,3,5007,持续输出型英雄,5,5,8,达到传说品质解锁,0,0,1,0,0,0,0,0,30020070,1,0,0,0,0,0,0
54,1800,3,5007,持续输出型英雄,5,5,9,达到传说+品质解锁,0,0,1,0,0,0,0,0,40000004,50,0,0,0,0,0,0
55,1800,3,5007,持续输出型英雄,5,5,10,达到神话品质解锁,0,0,1,0,0,0,0,0,52500702,1,0,0,0,0,0,0
56,1800,3,5007,持续输出型英雄,13,13,11,达到神话1星品质解锁,0,0,1,0,0,0,0,0,42010003,10,0,0,0,0,0,0
57,1800,3,5007,持续输出型英雄,13,13,12,达到神话2星品质解锁,0,0,1,0,0,0,0,0,40000019,1,81000002,30,0,0,0,0
58,1800,3,5007,持续输出型英雄,13,13,13,达到神话3星品质解锁,0,0,1,0,0,0,0,0,40000005,30,91000056,300,0,0,0,0
59,1800,3,5007,持续输出型英雄,13,13,14,达到神话4星品质解锁,0,0,1,0,0,0,0,0,40000024,1,81000002,60,0,0,0,0
60,1800,3,5007,持续输出型英雄,13,13,15,达到神话5星品质解锁,0,0,1,0,0,0,0,0,42010003,20,91000001,10000000,0,0,0,0
61,1800,3,5007,持续输出型英雄,0,0,4,达到精英品质解锁,1,6,1,201,1,901,0,0,91000002,6000,40000003,50,0,0,0,0
62,1800,3,5007,持续输出型英雄,0,0,5,达到精英+品质解锁,1,30,2,201,1,902,0,0,91000002,30000,40000003,100,0,0,0,0
63,1800,3,5007,持续输出型英雄,0,0,6,达到史诗品质解锁,1,98,2,201,1,903,0,0,91000002,98000,42010003,10,0,0,0,0
64,1800,3,5007,持续输出型英雄,0,0,7,达到史诗+品质解锁,1,163,2,201,1,904,0,0,91000002,163000,11500701,1,0,0,0,0
65,1800,3,5007,持续输出型英雄,5,5,8,达到传说品质解锁,1,648,2,201,1,905,0,0,91000002,648000,30020070,4,0,0,0,0
66,1800,3,5007,持续输出型英雄,5,5,9,达到传说+品质解锁,1,198,2,201,1,906,0,0,91000002,198000,40000004,110,0,0,0,0
67,1800,3,5007,持续输出型英雄,5,5,10,达到神话品质解锁,1,648,2,201,1,907,0,0,91000002,648000,11500701,2,91000056,100,0,0
68,1800,3,5007,持续输出型英雄,13,13,11,达到神话1星品质解锁,1,328,2,201,1,908,0,0,91000002,328000,42010003,50,0,0,0,0
69,1800,3,5007,持续输出型英雄,13,13,12,达到神话2星品质解锁,1,328,2,201,1,909,0,0,91000002,328000,40000004,200,91000056,300,0,0
70,1800,3,5007,持续输出型英雄,13,13,13,达到神话3星品质解锁,1,648,2,201,1,910,0,0,91000002,648000,40000005,200,0,0,0,0
71,1800,3,5007,持续输出型英雄,13,13,14,达到神话4星品质解锁,1,648,2,201,1,911,0,0,91000002,648000,40000019,2,81000002,200,0,0
72,1800,3,5007,持续输出型英雄,13,13,15,达到神话5星品质解锁,1,648,2,201,1,912,0,0,91000002,648000,40000024,2,81000002,200,0,0
73,1800,4,5007,持续输出型英雄,0,0,4,达到精英品质解锁,0,0,1,0,0,0,0,0,91000044,2000,0,0,0,0,0,0
74,1800,4,5007,持续输出型英雄,0,0,5,达到精英+品质解锁,0,0,1,0,0,0,0,0,42010003,10,0,0,0,0,0,0
75,1800,4,5007,持续输出型英雄,0,0,6,达到史诗品质解锁,0,0,1,0,0,0,0,0,91000056,300,0,0,0,0,0,0
76,1800,4,5007,持续输出型英雄,0,0,7,达到史诗+品质解锁,0,0,1,0,0,0,0,0,82000001,2,0,0,0,0,0,0
77,1800,4,5007,持续输出型英雄,5,5,8,达到传说品质解锁,0,0,1,0,0,0,0,0,30020070,1,0,0,0,0,0,0
78,1800,4,5007,持续输出型英雄,5,5,9,达到传说+品质解锁,0,0,1,0,0,0,0,0,40000004,50,0,0,0,0,0,0
79,1800,4,5007,持续输出型英雄,5,5,10,达到神话品质解锁,0,0,1,0,0,0,0,0,52500702,1,0,0,0,0,0,0
80,1800,4,5007,持续输出型英雄,13,13,11,达到神话1星品质解锁,0,0,1,0,0,0,0,0,42010003,10,0,0,0,0,0,0
81,1800,4,5007,持续输出型英雄,13,13,12,达到神话2星品质解锁,0,0,1,0,0,0,0,0,40000019,1,81000002,30,0,0,0,0
82,1800,4,5007,持续输出型英雄,13,13,13,达到神话3星品质解锁,0,0,1,0,0,0,0,0,40000005,30,91000056,300,0,0,0,0
83,1800,4,5007,持续输出型英雄,13,13,14,达到神话4星品质解锁,0,0,1,0,0,0,0,0,40000024,1,81000002,60,0,0,0,0
84,1800,4,5007,持续输出型英雄,13,13,15,达到神话5星品质解锁,0,0,1,0,0,0,0,0,42010003,20,91000001,10000000,0,0,0,0
85,1800,4,5007,持续输出型英雄,0,0,4,达到精英品质解锁,1,6,1,201,1,901,0,0,91000002,6000,40000003,50,0,0,0,0
86,1800,4,5007,持续输出型英雄,0,0,5,达到精英+品质解锁,1,30,2,201,1,902,0,0,91000002,30000,40000003,100,0,0,0,0
87,1800,4,5007,持续输出型英雄,0,0,6,达到史诗品质解锁,1,98,2,201,1,903,0,0,91000002,98000,42010003,10,0,0,0,0
88,1800,4,5007,持续输出型英雄,0,0,7,达到史诗+品质解锁,1,163,2,201,1,904,0,0,91000002,163000,11500701,1,0,0,0,0
89,1800,4,5007,持续输出型英雄,5,5,8,达到传说品质解锁,1,648,2,201,1,905,0,0,91000002,648000,30020070,4,0,0,0,0
90,1800,4,5007,持续输出型英雄,5,5,9,达到传说+品质解锁,1,198,2,201,1,906,0,0,91000002,198000,40000004,110,0,0,0,0
91,1800,4,5007,持续输出型英雄,5,5,10,达到神话品质解锁,1,648,2,201,1,907,0,0,91000002,648000,11500701,2,91000056,100,0,0
92,1800,4,5007,持续输出型英雄,13,13,11,达到神话1星品质解锁,1,328,2,201,1,908,0,0,91000002,328000,42010003,50,0,0,0,0
93,1800,4,5007,持续输出型英雄,13,13,12,达到神话2星品质解锁,1,328,2,201,1,909,0,0,91000002,328000,40000004,200,91000056,300,0,0
94,1800,4,5007,持续输出型英雄,13,13,13,达到神话3星品质解锁,1,648,2,201,1,910,0,0,91000002,648000,40000005,200,0,0,0,0
95,1800,4,5007,持续输出型英雄,13,13,14,达到神话4星品质解锁,1,648,2,201,1,911,0,0,91000002,648000,40000019,2,81000002,200,0,0
96,1800,4,5007,持续输出型英雄,13,13,15,达到神话5星品质解锁,1,648,2,201,1,912,0,0,91000002,648000,40000024,2,81000002,200,0,0
97,1801,1,6007,群体输出型英雄,0,0,4,达到精英品质解锁,0,0,1,0,0,0,0,0,91000044,2000,0,0,0,0,0,0
98,1801,1,6007,群体输出型英雄,0,0,5,达到精英+品质解锁,0,0,1,0,0,0,0,0,42010003,10,0,0,0,0,0,0
99,1801,1,6007,群体输出型英雄,0,0,6,达到史诗品质解锁,0,0,1,0,0,0,0,0,91000056,300,0,0,0,0,0,0
100,1801,1,6007,群体输出型英雄,0,0,7,达到史诗+品质解锁,0,0,1,0,0,0,0,0,82000001,2,0,0,0,0,0,0
101,1801,1,6007,群体输出型英雄,5,5,8,达到传说品质解锁,0,0,1,0,0,0,0,0,30020075,1,0,0,0,0,0,0
102,1801,1,6007,群体输出型英雄,5,5,9,达到传说+品质解锁,0,0,1,0,0,0,0,0,40000004,50,0,0,0,0,0,0
103,1801,1,6007,群体输出型英雄,5,5,10,达到神话品质解锁,0,0,1,0,0,0,0,0,52600702,1,0,0,0,0,0,0
104,1801,1,6007,群体输出型英雄,13,13,11,达到神话1星品质解锁,0,0,1,0,0,0,0,0,42010003,10,0,0,0,0,0,0
105,1801,1,6007,群体输出型英雄,13,13,12,达到神话2星品质解锁,0,0,1,0,0,0,0,0,40000021,1,81000002,30,0,0,0,0
106,1801,1,6007,群体输出型英雄,13,13,13,达到神话3星品质解锁,0,0,1,0,0,0,0,0,40000006,30,91000056,300,0,0,0,0
107,1801,1,6007,群体输出型英雄,13,13,14,达到神话4星品质解锁,0,0,1,0,0,0,0,0,40000026,1,81000002,60,0,0,0,0
108,1801,1,6007,群体输出型英雄,13,13,15,达到神话5星品质解锁,0,0,1,0,0,0,0,0,42010003,20,91000001,10000000,0,0,0,0
109,1801,1,6007,群体输出型英雄,0,0,4,达到精英品质解锁,1,6,1,201,1,913,0,0,91000002,6000,40000003,50,0,0,0,0
110,1801,1,6007,群体输出型英雄,0,0,5,达到精英+品质解锁,1,30,2,201,1,914,0,0,91000002,30000,40000003,100,0,0,0,0
111,1801,1,6007,群体输出型英雄,0,0,6,达到史诗品质解锁,1,98,2,201,1,915,0,0,91000002,98000,42010003,10,0,0,0,0
112,1801,1,6007,群体输出型英雄,0,0,7,达到史诗+品质解锁,1,163,2,201,1,916,0,0,91000002,163000,11600701,1,0,0,0,0
113,1801,1,6007,群体输出型英雄,5,5,8,达到传说品质解锁,1,648,2,201,1,917,0,0,91000002,648000,30020075,4,0,0,0,0
114,1801,1,6007,群体输出型英雄,5,5,9,达到传说+品质解锁,1,198,2,201,1,918,0,0,91000002,198000,40000004,110,0,0,0,0
115,1801,1,6007,群体输出型英雄,5,5,10,达到神话品质解锁,1,648,2,201,1,919,0,0,91000002,648000,11600701,2,91000056,100,0,0
116,1801,1,6007,群体输出型英雄,13,13,11,达到神话1星品质解锁,1,328,2,201,1,920,0,0,91000002,328000,42010003,50,0,0,0,0
117,1801,1,6007,群体输出型英雄,13,13,12,达到神话2星品质解锁,1,328,2,201,1,921,0,0,91000002,328000,40000004,200,91000056,300,0,0
118,1801,1,6007,群体输出型英雄,13,13,13,达到神话3星品质解锁,1,648,2,201,1,922,0,0,91000002,648000,40000006,200,0,0,0,0
119,1801,1,6007,群体输出型英雄,13,13,14,达到神话4星品质解锁,1,648,2,201,1,923,0,0,91000002,648000,40000021,2,81000002,200,0,0
120,1801,1,6007,群体输出型英雄,13,13,15,达到神话5星品质解锁,1,648,2,201,1,924,0,0,91000002,648000,40000026,2,81000002,200,0,0
121,1801,2,6007,群体输出型英雄,0,0,4,达到精英品质解锁,0,0,1,0,0,0,0,0,91000044,2000,0,0,0,0,0,0
122,1801,2,6007,群体输出型英雄,0,0,5,达到精英+品质解锁,0,0,1,0,0,0,0,0,42010003,10,0,0,0,0,0,0
123,1801,2,6007,群体输出型英雄,0,0,6,达到史诗品质解锁,0,0,1,0,0,0,0,0,91000056,300,0,0,0,0,0,0
124,1801,2,6007,群体输出型英雄,0,0,7,达到史诗+品质解锁,0,0,1,0,0,0,0,0,82000001,2,0,0,0,0,0,0
125,1801,2,6007,群体输出型英雄,5,5,8,达到传说品质解锁,0,0,1,0,0,0,0,0,30020075,1,0,0,0,0,0,0
126,1801,2,6007,群体输出型英雄,5,5,9,达到传说+品质解锁,0,0,1,0,0,0,0,0,40000004,50,0,0,0,0,0,0
127,1801,2,6007,群体输出型英雄,5,5,10,达到神话品质解锁,0,0,1,0,0,0,0,0,52600702,1,0,0,0,0,0,0
128,1801,2,6007,群体输出型英雄,13,13,11,达到神话1星品质解锁,0,0,1,0,0,0,0,0,42010003,10,0,0,0,0,0,0
129,1801,2,6007,群体输出型英雄,13,13,12,达到神话2星品质解锁,0,0,1,0,0,0,0,0,40000021,1,81000002,30,0,0,0,0
130,1801,2,6007,群体输出型英雄,13,13,13,达到神话3星品质解锁,0,0,1,0,0,0,0,0,40000006,30,91000056,300,0,0,0,0
131,1801,2,6007,群体输出型英雄,13,13,14,达到神话4星品质解锁,0,0,1,0,0,0,0,0,40000026,1,81000002,60,0,0,0,0
132,1801,2,6007,群体输出型英雄,13,13,15,达到神话5星品质解锁,0,0,1,0,0,0,0,0,42010003,20,91000001,10000000,0,0,0,0
133,1801,2,6007,群体输出型英雄,0,0,4,达到精英品质解锁,1,6,1,201,1,913,0,0,91000002,6000,40000003,50,0,0,0,0
134,1801,2,6007,群体输出型英雄,0,0,5,达到精英+品质解锁,1,30,2,201,1,914,0,0,91000002,30000,40000003,100,0,0,0,0
135,1801,2,6007,群体输出型英雄,0,0,6,达到史诗品质解锁,1,98,2,201,1,915,0,0,91000002,98000,42010003,10,0,0,0,0
136,1801,2,6007,群体输出型英雄,0,0,7,达到史诗+品质解锁,1,163,2,201,1,916,0,0,91000002,163000,11600701,1,0,0,0,0
137,1801,2,6007,群体输出型英雄,5,5,8,达到传说品质解锁,1,648,2,201,1,917,0,0,91000002,648000,30020075,4,0,0,0,0
138,1801,2,6007,群体输出型英雄,5,5,9,达到传说+品质解锁,1,198,2,201,1,918,0,0,91000002,198000,40000004,110,0,0,0,0
139,1801,2,6007,群体输出型英雄,5,5,10,达到神话品质解锁,1,648,2,201,1,919,0,0,91000002,648000,11600701,2,91000056,100,0,0
140,1801,2,6007,群体输出型英雄,13,13,11,达到神话1星品质解锁,1,328,2,201,1,920,0,0,91000002,328000,42010003,50,0,0,0,0
141,1801,2,6007,群体输出型英雄,13,13,12,达到神话2星品质解锁,1,328,2,201,1,921,0,0,91000002,328000,40000004,200,91000056,300,0,0
142,1801,2,6007,群体输出型英雄,13,13,13,达到神话3星品质解锁,1,648,2,201,1,922,0,0,91000002,648000,40000006,200,0,0,0,0
143,1801,2,6007,群体输出型英雄,13,13,14,达到神话4星品质解锁,1,648,2,201,1,923,0,0,91000002,648000,40000021,2,81000002,200,0,0
144,1801,2,6007,群体输出型英雄,13,13,15,达到神话5星品质解锁,1,648,2,201,1,924,0,0,91000002,648000,40000026,2,81000002,200,0,0
145,1801,3,6007,群体输出型英雄,0,0,4,达到精英品质解锁,0,0,1,0,0,0,0,0,91000044,2000,0,0,0,0,0,0
146,1801,3,6007,群体输出型英雄,0,0,5,达到精英+品质解锁,0,0,1,0,0,0,0,0,42010003,10,0,0,0,0,0,0
147,1801,3,6007,群体输出型英雄,0,0,6,达到史诗品质解锁,0,0,1,0,0,0,0,0,91000056,300,0,0,0,0,0,0
148,1801,3,6007,群体输出型英雄,0,0,7,达到史诗+品质解锁,0,0,1,0,0,0,0,0,82000001,2,0,0,0,0,0,0
149,1801,3,6007,群体输出型英雄,5,5,8,达到传说品质解锁,0,0,1,0,0,0,0,0,30020075,1,0,0,0,0,0,0
150,1801,3,6007,群体输出型英雄,5,5,9,达到传说+品质解锁,0,0,1,0,0,0,0,0,40000004,50,0,0,0,0,0,0
151,1801,3,6007,群体输出型英雄,5,5,10,达到神话品质解锁,0,0,1,0,0,0,0,0,52600702,1,0,0,0,0,0,0
152,1801,3,6007,群体输出型英雄,13,13,11,达到神话1星品质解锁,0,0,1,0,0,0,0,0,42010003,10,0,0,0,0,0,0
153,1801,3,6007,群体输出型英雄,13,13,12,达到神话2星品质解锁,0,0,1,0,0,0,0,0,40000021,1,81000002,30,0,0,0,0
154,1801,3,6007,群体输出型英雄,13,13,13,达到神话3星品质解锁,0,0,1,0,0,0,0,0,40000006,30,91000056,300,0,0,0,0
155,1801,3,6007,群体输出型英雄,13,13,14,达到神话4星品质解锁,0,0,1,0,0,0,0,0,40000026,1,81000002,60,0,0,0,0
156,1801,3,6007,群体输出型英雄,13,13,15,达到神话5星品质解锁,0,0,1,0,0,0,0,0,42010003,20,91000001,10000000,0,0,0,0
157,1801,3,6007,群体输出型英雄,0,0,4,达到精英品质解锁,1,6,1,201,1,913,0,0,91000002,6000,40000003,50,0,0,0,0
158,1801,3,6007,群体输出型英雄,0,0,5,达到精英+品质解锁,1,30,2,201,1,914,0,0,91000002,30000,40000003,100,0,0,0,0
159,1801,3,6007,群体输出型英雄,0,0,6,达到史诗品质解锁,1,98,2,201,1,915,0,0,91000002,98000,42010003,10,0,0,0,0
160,1801,3,6007,群体输出型英雄,0,0,7,达到史诗+品质解锁,1,163,2,201,1,916,0,0,91000002,163000,11600701,1,0,0,0,0
161,1801,3,6007,群体输出型英雄,5,5,8,达到传说品质解锁,1,648,2,201,1,917,0,0,91000002,648000,30020075,4,0,0,0,0
162,1801,3,6007,群体输出型英雄,5,5,9,达到传说+品质解锁,1,198,2,201,1,918,0,0,91000002,198000,40000004,110,0,0,0,0
163,1801,3,6007,群体输出型英雄,5,5,10,达到神话品质解锁,1,648,2,201,1,919,0,0,91000002,648000,11600701,2,91000056,100,0,0
164,1801,3,6007,群体输出型英雄,13,13,11,达到神话1星品质解锁,1,328,2,201,1,920,0,0,91000002,328000,42010003,50,0,0,0,0
165,1801,3,6007,群体输出型英雄,13,13,12,达到神话2星品质解锁,1,328,2,201,1,921,0,0,91000002,328000,40000004,200,91000056,300,0,0
166,1801,3,6007,群体输出型英雄,13,13,13,达到神话3星品质解锁,1,648,2,201,1,922,0,0,91000002,648000,40000006,200,0,0,0,0
167,1801,3,6007,群体输出型英雄,13,13,14,达到神话4星品质解锁,1,648,2,201,1,923,0,0,91000002,648000,40000021,2,81000002,200,0,0
168,1801,3,6007,群体输出型英雄,13,13,15,达到神话5星品质解锁,1,648,2,201,1,924,0,0,91000002,648000,40000026,2,81000002,200,0,0
169,1801,4,6007,群体输出型英雄,0,0,4,达到精英品质解锁,0,0,1,0,0,0,0,0,91000044,2000,0,0,0,0,0,0
170,1801,4,6007,群体输出型英雄,0,0,5,达到精英+品质解锁,0,0,1,0,0,0,0,0,42010003,10,0,0,0,0,0,0
171,1801,4,6007,群体输出型英雄,0,0,6,达到史诗品质解锁,0,0,1,0,0,0,0,0,91000056,300,0,0,0,0,0,0
172,1801,4,6007,群体输出型英雄,0,0,7,达到史诗+品质解锁,0,0,1,0,0,0,0,0,82000001,2,0,0,0,0,0,0
173,1801,4,6007,群体输出型英雄,5,5,8,达到传说品质解锁,0,0,1,0,0,0,0,0,30020075,1,0,0,0,0,0,0
174,1801,4,6007,群体输出型英雄,5,5,9,达到传说+品质解锁,0,0,1,0,0,0,0,0,40000004,50,0,0,0,0,0,0
175,1801,4,6007,群体输出型英雄,5,5,10,达到神话品质解锁,0,0,1,0,0,0,0,0,52600702,1,0,0,0,0,0,0
176,1801,4,6007,群体输出型英雄,13,13,11,达到神话1星品质解锁,0,0,1,0,0,0,0,0,42010003,10,0,0,0,0,0,0
177,1801,4,6007,群体输出型英雄,13,13,12,达到神话2星品质解锁,0,0,1,0,0,0,0,0,40000021,1,81000002,30,0,0,0,0
178,1801,4,6007,群体输出型英雄,13,13,13,达到神话3星品质解锁,0,0,1,0,0,0,0,0,40000006,30,91000056,300,0,0,0,0
179,1801,4,6007,群体输出型英雄,13,13,14,达到神话4星品质解锁,0,0,1,0,0,0,0,0,40000026,1,81000002,60,0,0,0,0
180,1801,4,6007,群体输出型英雄,13,13,15,达到神话5星品质解锁,0,0,1,0,0,0,0,0,42010003,20,91000001,10000000,0,0,0,0
181,1801,4,6007,群体输出型英雄,0,0,4,达到精英品质解锁,1,6,1,201,1,913,0,0,91000002,6000,40000003,50,0,0,0,0
182,1801,4,6007,群体输出型英雄,0,0,5,达到精英+品质解锁,1,30,2,201,1,914,0,0,91000002,30000,40000003,100,0,0,0,0
183,1801,4,6007,群体输出型英雄,0,0,6,达到史诗品质解锁,1,98,2,201,1,915,0,0,91000002,98000,42010003,10,0,0,0,0
184,1801,4,6007,群体输出型英雄,0,0,7,达到史诗+品质解锁,1,163,2,201,1,916,0,0,91000002,163000,11600701,1,0,0,0,0
185,1801,4,6007,群体输出型英雄,5,5,8,达到传说品质解锁,1,648,2,201,1,917,0,0,91000002,648000,30020075,4,0,0,0,0
186,1801,4,6007,群体输出型英雄,5,5,9,达到传说+品质解锁,1,198,2,201,1,918,0,0,91000002,198000,40000004,110,0,0,0,0
187,1801,4,6007,群体输出型英雄,5,5,10,达到神话品质解锁,1,648,2,201,1,919,0,0,91000002,648000,11600701,2,91000056,100,0,0
188,1801,4,6007,群体输出型英雄,13,13,11,达到神话1星品质解锁,1,328,2,201,1,920,0,0,91000002,328000,42010003,50,0,0,0,0
189,1801,4,6007,群体输出型英雄,13,13,12,达到神话2星品质解锁,1,328,2,201,1,921,0,0,91000002,328000,40000004,200,91000056,300,0,0
190,1801,4,6007,群体输出型英雄,13,13,13,达到神话3星品质解锁,1,648,2,201,1,922,0,0,91000002,648000,40000006,200,0,0,0,0
