id,npcid,npctype,worldlv,teamname,npclvtable,heronpc,heroequip,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10,base_type11,base_value11
45,4800604,2,300,圣王之手,-19,3005,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
46,4800605,2,300,暗域行者,-19,3004,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
47,4800701,2,300,雷鸣圣主,-19,3003,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
48,4800702,2,300,图腾之心,-19,2012,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
49,4800703,2,300,狩魔鹰眼,-19,1014,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
50,4800704,2,300,神愈之光,-19,4001,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
51,4800705,2,300,元素魔弓,-19,1009,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
52,4800801,2,300,贵族之刃,-19,1006,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
53,4800802,2,300,不朽剑魔,-19,3001,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
54,4800803,2,300,驱雷之手,-19,3006,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
55,4800804,2,300,秘银狩猎,-19,1003,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
56,4800805,2,300,贯天之箭,-19,4010,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
57,4800901,2,300,雷鸣圣主,-19,3003,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
58,4800902,2,300,北境之锤,-19,1012,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
59,4800903,2,300,神愈之光,-19,4001,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
60,4800904,2,300,狩魔鹰眼,-19,1014,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
61,4800905,2,300,无畏之斧,-19,2002,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
62,4801001,2,300,圣焰刀锋,-19,2010,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
63,4801002,2,300,疾风剑客,-19,4006,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
64,4801003,2,300,野性之眼,-19,4003,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
65,4801004,2,300,燎原暗箭,-19,2003,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
66,4801005,2,300,绝世剑舞,-19,4007,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
67,4801101,2,300,图腾之心,-10,2012,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
68,4801102,2,300,裁决判官,-10,3010,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
69,4801103,2,300,绝世剑舞,-10,4007,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
70,4801104,2,300,无畏之斧,-10,2002,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
71,4801105,2,300,胜利长枪,-10,2007,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
72,4801201,2,300,怒火狂刃,-10,2001,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
73,4801202,2,300,秘林刺客,-10,4002,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
74,4801203,2,300,水占巫女,-10,1002,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
75,4801204,2,300,贯天之箭,-10,4010,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
76,4801205,2,300,秘银狩猎,-10,1003,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
77,4801301,2,300,贵族之刃,-10,1006,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
78,4801302,2,300,疾风剑客,-10,4006,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
79,4801303,2,300,水占巫女,-10,1002,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
80,4801304,2,300,炎魂祭司,-10,2004,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
81,4801305,2,300,暗域行者,-10,3004,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
82,4801401,2,300,疾风剑客,-10,4006,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
83,4801402,2,300,神峰守护,-10,4008,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
84,4801403,2,300,贯天之箭,-10,4010,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
85,4801404,2,300,野性之眼,-10,4003,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
86,4801405,2,300,燎原暗箭,-10,2003,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
87,4801501,2,300,复苏巫士,-10,4005,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
88,4801502,2,300,幻影守卫,-10,3007,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
89,4801503,2,300,密林智者,-10,4012,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
90,4801504,2,300,绝世剑舞,-10,4007,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
91,4801505,2,300,野性之眼,-10,4003,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
92,4801601,2,300,复苏巫士,-10,4005,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
93,4801602,2,300,不屈战魂,-10,2005,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
94,4801603,2,300,魔导女爵,-10,1015,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
95,4801604,2,300,密林智者,-10,4012,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
96,4801605,2,300,神愈之光,-10,4001,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
97,4801701,2,300,北境之锤,-10,1012,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
98,4801702,2,300,复苏巫士,-10,4005,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
99,4801703,2,300,暗域行者,-10,3004,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
100,4801704,2,300,贯天之箭,-10,4010,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
101,4801705,2,300,奇想学徒,-10,1010,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
102,4801801,2,300,雷鸣圣主,-10,3003,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
103,4801802,2,300,圣焰刀锋,-10,2010,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
104,4801803,2,300,胜利长枪,-10,2007,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
105,4801804,2,300,风雷魔巫,-10,3002,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
106,4801805,2,300,暗域行者,-10,3004,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
107,4801901,2,300,不屈战魂,-10,2005,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
108,4801902,2,300,贵族之刃,-10,1006,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
109,4801903,2,300,驱雷之手,-10,3006,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
110,4801904,2,300,凯旋之歌,-10,1013,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
111,4801905,2,300,魔导女爵,-10,1015,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
112,4802001,2,300,不落之壁,-10,1005,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
113,4802002,2,300,秘林刺客,-10,4002,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
114,4802003,2,300,圣王之手,-10,3005,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
115,4802004,2,300,胜利长枪,-10,2007,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
116,4802005,2,300,密林智者,-10,4012,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
117,4802101,2,300,北境之锤,-10,1012,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
118,4802102,2,300,异族女王,-10,2011,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
119,4802103,2,300,贯天之箭,-10,4010,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
120,4802104,2,300,风雷魔巫,-10,3002,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
121,4802105,2,300,绝世剑舞,-10,4007,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
122,4802201,2,300,裁决判官,-10,3010,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
123,4802202,2,300,图腾之心,-10,2012,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
124,4802203,2,300,永劫双生,-10,5002,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
125,4802204,2,300,神愈之光,-10,4001,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
126,4802205,2,300,密林智者,-10,4012,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
127,4802301,2,300,诸海之灾,-10,1011,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
128,4802302,2,300,时序天使,-10,5003,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
129,4802303,2,300,众神之王,-10,5006,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
130,4802304,2,300,野性之眼,-10,4003,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
131,4802305,2,300,狩魔鹰眼,-10,1014,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
132,4802401,2,300,复苏巫士,-10,4005,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
133,4802402,2,300,幻影守卫,-10,3007,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
134,4802403,2,300,风雷魔巫,-10,3002,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
135,4802404,2,300,秘银狩猎,-10,1003,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
136,4802405,2,300,元素魔弓,-10,1009,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
137,4802501,2,300,圣焰刀锋,-10,2010,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
138,4802502,2,300,赤炎之锤,-10,2006,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
139,4802503,2,300,燎原暗箭,-10,2003,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
140,4802504,2,300,漫游之星,-10,1004,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
141,4802505,2,300,野性之眼,-10,4003,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
142,4802601,2,300,北境之锤,-10,1012,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
143,4802602,2,300,天命骑士,-10,1001,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
144,4802603,2,300,神谕信使,-10,1008,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
145,4802604,2,300,神愈之光,-10,4001,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
146,4802605,2,300,密林智者,-10,4012,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
147,4802701,2,300,疾风剑客,0,4006,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
148,4802702,2,300,北境之锤,0,1012,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
149,4802703,2,300,风雷魔巫,0,3002,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
150,4802704,2,300,众神之王,0,5006,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
151,4802705,2,300,缚法旅者,0,4009,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
152,4802801,2,300,魔域斗罗,0,6001,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
153,4802802,2,300,暗之剑豪,0,3012,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
154,4802803,2,300,黎明圣炎,0,5004,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
155,4802804,2,300,驱雷之手,0,3006,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
156,4802805,2,300,密林智者,0,4012,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
157,4802901,2,300,怒涛守护,0,1007,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
158,4802902,2,300,异界战神,0,1018,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
159,4802903,2,300,凯旋之歌,0,1013,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
160,4802904,2,300,风雷魔巫,0,3002,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
161,4802905,2,300,神愈之光,0,4001,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
162,4803001,2,300,贵族之刃,0,1006,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
163,4803002,2,300,不朽剑魔,0,3001,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
164,4803003,2,300,胜利长枪,0,2007,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
165,4803004,2,300,贯天之箭,0,4010,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
166,4803005,2,300,秘银狩猎,0,1003,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
167,4803101,2,300,不朽剑魔,0,3001,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
168,4803102,2,300,神力之石,0,4011,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
169,4803103,2,300,黎明圣炎,0,5004,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
170,4803104,2,300,驱雷之手,0,3006,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
171,4803105,2,300,奇想学徒,0,1010,1,1,30000,2,25000,3,25000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,30000
172,4803201,2,300,幻影守卫,5,3007,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
173,4803202,2,300,不屈战魂,5,2005,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
174,4803203,2,300,神愈之光,5,4001,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
175,4803204,2,300,魔导女爵,5,1015,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
176,4803205,2,300,秘银狩猎,5,1003,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
177,4803301,2,300,北境之锤,5,1012,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
178,4803302,2,300,不朽剑魔,5,3001,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
179,4803303,2,300,奇想学徒,5,1010,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
180,4803304,2,300,密林智者,5,4012,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
181,4803305,2,300,神谕信使,5,1008,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
182,4803401,2,300,复苏巫士,5,4005,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
183,4803402,2,300,怒涛守护,5,1007,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
184,4803403,2,300,炎魂祭司,5,2004,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
185,4803404,2,300,无畏之斧,5,2002,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
186,4803405,2,300,秘银狩猎,5,1003,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
187,4803501,2,300,诸海之灾,5,1011,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
188,4803502,2,300,贵族之刃,5,1006,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
189,4803503,2,300,魔导女爵,5,1015,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
190,4803504,2,300,元素魔弓,5,1009,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
