ID,type,condition,typename,Builtpages,Builtpagesname,Builtpagespicture,systemname,systempicture,sort,openlevelid,star,Explain,type1,aindex1,aindex2,boxid,item1,num1,item2,num2,item3,num3
24,3,0,资源汇总,3,贤者水晶,3,巫妖陵寝,strong_shilian.png,1,42,4,每日试炼-巫妖陵寝 每天可获得大量贤者水晶,115,0,0,0,0,0,0,0,0,0
25,3,0,资源汇总,4,金币,4,魔灵禁地,strong_shilian.png,1,42,4,每日试炼-魔灵禁地 每天可获得大量金币,150,0,0,0,0,0,0,0,0,0
26,3,0,资源汇总,4,金币,4,炼金所,strong_juqing.png,2,70,5,神器的炼金所每天可购买大量金币,138,0,0,0,0,0,0,0,0,0
27,3,0,资源汇总,5,英雄勋章,5,深渊矿井,strong_shilian.png,1,42,4,每日试炼-深渊矿井 每天可获得大量英雄勋章,151,0,0,0,0,0,0,0,0,0
28,3,0,资源汇总,5,英雄勋章,5,分解,strong_fenjie.png,2,18,3,分解不需要的英雄碎片可获得英雄勋章,125,0,0,0,0,0,0,0,0,0
29,3,0,资源汇总,6,贡献币,6,军团捐献,strong_zhaohuan.png,1,34,5,军团捐献每日可捐献3次，获得贡献币,136,0,0,0,0,0,0,0,0,0
30,3,0,资源汇总,6,贡献币,6,军团副本,strong_fenjie.png,2,35,5,军团成员通关军团副本可获得贡献币,137,0,0,0,0,0,0,0,0,0
31,3,0,资源汇总,6,贡献币,6,王座之战,strong_wangquan.png,3,34,5,占领爵位，每日结算可获得贡献币,122,0,0,0,0,0,0,0,0,0
32,3,0,资源汇总,7,比武币,7,排名奖励,strong_wangquan.png,1,21,5,按斗技场最高排名，每日结算,133,0,0,0,0,0,0,0,0,0
33,3,0,资源汇总,7,比武币,7,首次奖励,strong_wangquan.png,2,21,4,首次达到指定排名，获得一次性奖励,134,0,0,0,0,0,0,0,0,0
34,3,0,资源汇总,7,比武币,7,积分奖励,strong_wangquan.png,3,21,3,每日对战获得相应积分兑换,135,0,0,0,0,0,0,0,0,0
35,3,0,资源汇总,8,秘境之石,8,时空秘境,strong_shengwu.png,1,27,5,完成时空秘境可获得秘境之石,140,0,0,0,0,0,0,0,0,0
36,3,0,资源汇总,9,镇魂币,9,镇魂塔,strong_zhenhunta.png,1,22,5,通关、扫荡镇魂塔关卡可获得镇魂币,107,0,0,0,0,0,0,0,0,0
37,3,0,资源汇总,10,纹章晶石,10,祈祷,strong_wenzhang.png,1,65,5,在神殿中祈祷，获得纹章晶石,143,0,0,0,0,0,0,0,0,0
38,3,0,资源汇总,11,贵族经验,11,日常任务,strong_meiri.png,1,12,5,完成每天全部日常任务可获得100点贵族经验,121,0,0,0,0,0,0,0,0,0
39,3,0,资源汇总,12,财富值,12,王座之战,strong_wangquan.png,1,34,4,占领爵位可获得财富值奖励,122,0,0,0,0,0,0,0,0,0
40,3,0,资源汇总,12,财富值,12,充值,strong_shangjin.png,2,10,5,每充值1钻石可获得1点财富值,149,0,0,0,0,0,0,0,0,0
41,3,0,资源汇总,12,财富值,12,高级召唤,strong_zhaohuan.png,3,59,3,每消耗10钻石可获得1点财富值,148,0,0,0,0,0,0,0,0,0
42,4,0,战力提升,1,装备,0,品质提升,strong_dixaicheng.png,1,24,5,扫荡地下城可获得高级装备,127,0,0,0,0,0,0,0,0,0
43,4,0,战力提升,1,装备,0,等级强化,strong_kuangdian.png,2,6,5,提升装备等级可大幅增加战斗力,128,0,0,0,0,0,0,0,0,0
44,4,0,战力提升,1,装备,0,属性增幅,strong_zhenhunta.png,3,7,5,宝石和附魔可以额外增加装备属性,129,0,0,0,0,0,0,0,0,0
45,4,0,战力提升,2,英雄,0,星级提升,strong_jinjie.png,1,2,5,提升英雄星级除了增加属性还能开放额外技能,130,0,0,0,0,0,0,0,0,0
46,4,0,战力提升,2,英雄,0,宿命激活,strong_wenzhang.png,2,4,5,获得宿命相关武将可激活额外属性,131,0,0,0,0,0,0,0,0,0
47,4,0,战力提升,2,英雄,0,天赋开启,strong_dixaicheng.png,3,5,5,开启天赋后降火的强大的技能,132,0,0,0,0,0,0,0,0,0
48,4,0,战力提升,3,佣兵,0,升级佣兵,strong_yongbing.png,1,58,5,获取强力佣兵，提升佣兵等级、属性,104,0,0,0,0,0,0,0,0,0
49,4,0,战力提升,3,佣兵,0,强化战旗,strong_yongbing.png,2,58,5,升级战旗品质，强化战旗属性,105,0,0,0,0,0,0,0,0,0
50,4,0,战力提升,4,魔宠,0,星界召唤,strong_mochong.png,1,44,3,召唤高级魔宠,144,0,0,0,0,0,0,0,0,0
51,4,0,战力提升,4,魔宠,0,魔宠强化,strong_mochong.png,2,44,5,强化魔宠、提高魔宠属性,145,0,0,0,0,0,0,0,0,0
52,4,0,战力提升,4,魔宠,0,魔宠洗炼,strong_mochong.png,3,44,3,更新魔宠属性，使其更加符合自己的需求,146,0,0,0,0,0,0,0,0,0
53,4,0,战力提升,4,魔宠,0,符文镶嵌,strong_mochong.png,4,44,4,给魔宠镶嵌符文，提升魔宠属性,147,0,0,0,0,0,0,0,0,0
54,4,0,战力提升,5,纹章,0,纹章精炼,strong_wenzhang.png,1,57,5,消耗纹章晶石，提升纹章等级,109,0,0,0,0,0,0,0,0,0
55,4,0,战力提升,6,巨兽,0,巨兽兑换,strong_jushou.png,1,23,5,兑换高等级巨兽可大幅提高队伍总战力,103,0,0,0,0,0,0,0,0,0
56,4,0,战力提升,7,圣物,0,圣物获取,strong_shengwu.png,1,26,4,完成圣物传说关卡可获得圣物碎片,111,0,0,0,0,0,0,0,0,0
57,4,0,战力提升,7,圣物,0,圣物强化,strong_shengwu.png,2,26,5,强化圣物，可提高全队战斗力,112,0,0,0,0,0,0,0,0,0
58,4,0,战力提升,8,学院,0,学院研究,strong_xueyuan.png,1,15,5,研究学院科技可提高全队属性,110,0,0,0,0,0,0,0,0,0
59,5,0,道具回收,0,0,0,分解,strong_fenjie.png,1,18,5,分解可获得该系统相应的道具和金币,125,0,0,0,0,0,0,0,0,0
60,5,0,道具回收,0,0,0,重生,strong_chongsheng.png,2,20,4,使英雄和装备回到初始，并返还所有升级材料,124,0,0,0,0,0,0,0,0,0
61,6,0,进阶知识,1,物理型,0,0,1,0,0,0,物理型英雄，站位多为前排，拥有不俗的单体伤害和强大的防御力，在队伍中职责为肉盾，和近战输出。保护己方后排，吸收伤害，切入敌人内部，是他们的主要任务。,0,0,0,0,0,0,0,0,0,0
62,6,0,进阶知识,2,魔法型,0,0,2,0,0,0,魔法型英雄，站位多为后排，通常为强大的群体魔法伤害，作为队伍中的输出职业，一起释放技能，达到快速致胜。,0,0,0,0,0,0,0,0,0,0
63,6,0,进阶知识,3,神术型,0,0,3,0,0,0,神术型英雄，神术作为游戏中的特殊属性，拥有无法被闪避和抵抗的特性，他们能抗能打，还能辅助一手治疗，是游戏中绝对的王者。,0,0,0,0,0,0,0,0,0,0
