id,name,first,citystate,cityinitial,upper,weirange,weiarmy,shurange,shuarmy,wurange,wuarmy,npclv,npcarmy,size,sizedescribe,terrain,terraindescribe,initialid,initialdean,characteristic1,describe1,characteristic2,describe2,characteristic3,describe3,item,num,state,statename,stateday,statebox,statenum,sequence1,sequence2,sequence3,icon
1067,法尔镇,2,2,5,5,3,50,14,50,15,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,1,熔炉领,1,550003,21,0,0,0,city_001
1068,迪瓦,2,2,5,5,4,50,14,50,14,50,50,50,2,城市,1,平原,0,0,40001,平原地形,0,0,0,0,91000002,20,1,熔炉领,1,550003,21,0,0,0,city_001
1069,克卢镇,2,2,5,5,5,50,15,50,15,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,1,熔炉领,1,550003,21,0,0,0,city_001
1070,宾富镇,2,2,5,5,6,50,14,50,14,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,1,熔炉领,1,550003,21,0,0,0,city_001
1071,亚布镇,2,2,5,5,5,50,13,50,13,50,20,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,1,熔炉领,1,550003,21,0,0,0,city_001
1072,达纳镇,2,2,5,5,4,50,14,50,14,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,9,岩流峡谷,1,550002,11,0,0,0,city_001
1073,哥特,2,2,5,5,3,50,12,50,15,50,50,50,2,城市,1,平原,0,0,40001,平原地形,0,0,0,0,91000002,20,9,岩流峡谷,1,550002,11,0,0,0,city_001
1074,纳利镇,2,2,5,5,5,50,13,50,13,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,9,岩流峡谷,1,550002,11,0,0,0,city_001
1075,瓦斯镇,2,2,5,5,6,50,12,50,12,50,20,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,1,熔炉领,1,550003,21,0,0,0,city_001
1076,斯南镇,2,2,5,5,4,50,12,50,14,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,9,岩流峡谷,1,550002,11,0,0,0,city_001
1077,铁棘堡,2,2,5,5,7,50,11,50,11,50,20,50,3,要塞,2,山地,0,0,40002,山地地形,0,0,0,0,91000031,1000,10,宝冠平原,1,550001,7,0,0,0,city_001
1078,文尼达,2,2,5,5,8,50,10,50,10,50,20,50,2,城市,1,平原,0,0,40001,平原地形,0,0,0,0,91000002,20,10,宝冠平原,1,550001,7,0,0,0,city_001
1079,文利镇,2,2,5,5,4,50,11,50,16,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,9,岩流峡谷,1,550002,11,0,0,0,city_001
1080,斯佩镇,2,2,5,5,5,50,11,50,15,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,9,岩流峡谷,1,550002,11,0,0,0,city_001
1081,梅蒂镇,2,2,5,5,5,50,10,50,17,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,9,岩流峡谷,1,550002,11,0,0,0,city_001
1082,特拉镇,2,2,5,5,6,50,10,50,16,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,9,岩流峡谷,1,550002,11,0,0,0,city_001
1083,帕多瓦,2,2,5,5,6,50,9,50,17,50,50,50,2,城市,1,平原,0,0,40001,平原地形,0,0,0,0,91000002,20,9,岩流峡谷,1,550002,11,0,0,0,city_001
1084,钢喙堡,2,2,5,5,7,50,8,50,18,50,50,50,3,要塞,2,山地,0,0,40002,山地地形,0,0,0,0,91000031,1000,9,岩流峡谷,1,550002,11,0,0,0,city_001
1085,逊克镇,1,2,5,5,8,50,7,50,19,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,8,石墙岭,1,550002,11,0,0,0,city_001
1086,布隆,1,2,5,5,9,50,7,50,20,50,50,50,2,城市,3,森林,0,0,40003,森林地形,0,0,0,0,91000002,20,8,石墙岭,1,550002,11,0,0,0,city_001
1087,里威镇,1,2,5,5,9,50,6,50,20,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,8,石墙岭,1,550002,11,0,0,0,city_001
1088,尔卡镇,1,2,5,5,10,50,6,50,21,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,8,石墙岭,1,550002,11,0,0,0,city_001
1089,俄提镇,1,2,5,5,11,50,7,50,22,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,8,石墙岭,1,550002,11,0,0,0,city_001
1090,特巴镇,1,2,5,5,11,50,6,50,21,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,8,石墙岭,1,550002,11,0,0,0,city_001
1091,乌尔姆,1,2,5,5,10,50,5,50,20,50,50,50,2,城市,1,平原,0,0,40001,平原地形,0,0,0,0,91000002,20,8,石墙岭,1,550002,11,0,0,0,city_001
1092,巴克镇,1,2,5,5,11,50,6,50,21,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,8,石墙岭,1,550002,11,0,0,0,city_001
1093,基拉镇,1,2,5,5,12,50,5,50,20,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,8,石墙岭,1,550002,11,0,0,0,city_001
1094,天怒堡,1,2,5,5,11,50,4,50,19,50,50,50,3,要塞,2,山地,0,0,40002,山地地形,0,0,0,0,91000031,1000,8,石墙岭,1,550002,11,0,0,0,city_001
1095,山奥镇,1,2,5,5,12,50,5,50,18,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,8,石墙岭,1,550002,11,0,0,0,city_001
1096,峰门镇,1,2,5,5,12,50,3,50,18,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,7,圣歌领,1,550003,21,0,0,0,city_001
1097,埃斯镇,1,2,5,5,13,50,5,50,17,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,7,圣歌领,1,550003,21,0,0,0,city_001
1098,圣奇镇,1,2,5,5,14,50,4,50,16,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,7,圣歌领,1,550003,21,0,0,0,city_001
1099,亚拉镇,1,2,5,5,14,50,3,50,17,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,7,圣歌领,1,550003,21,0,0,0,city_001
1100,亚伦,1,2,5,5,13,50,2,50,17,50,50,50,2,城市,2,山地,0,0,40002,山地地形,0,0,0,0,91000002,20,7,圣歌领,1,550003,21,0,0,0,city_001
1101,南萨镇,1,2,5,5,13,50,3,50,18,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,7,圣歌领,1,550003,21,0,0,0,city_001
1102,坎查镇,1,2,5,5,14,50,3,50,17,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,7,圣歌领,1,550003,21,0,0,0,city_001
1103,德达镇,1,2,5,5,14,50,1,50,16,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,7,圣歌领,1,550003,21,0,0,0,city_001
1104,福音城,1,1,5,5,15,50,0,500,15,50,50,50,1,主城,2,山地,1009,教皇,40002,山地地形,0,0,0,0,0,0,0,教廷主城,0,0,0,0,0,0,city_001
1105,里罗镇,1,2,5,5,15,50,2,50,16,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,7,圣歌领,1,550003,21,0,0,0,city_001
1106,克特镇,1,2,5,5,16,50,3,50,15,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,7,圣歌领,1,550003,21,0,0,0,city_001
1107,纳马镇,1,2,5,5,17,50,2,50,14,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,7,圣歌领,1,550003,21,0,0,0,city_001
1108,吕尼镇,1,2,5,5,16,50,1,50,14,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,7,圣歌领,1,550003,21,0,0,0,city_001
1109,西察镇,1,2,5,5,15,50,4,50,15,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,7,圣歌领,1,550003,21,0,0,0,city_001
1110,马地镇,1,2,5,5,14,50,5,50,14,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,7,圣歌领,1,550003,21,0,0,0,city_001
1111,特达镇,1,2,5,5,16,50,3,50,14,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,7,圣歌领,1,550003,21,0,0,0,city_001
1112,得士镇,1,2,5,5,16,50,2,50,13,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,7,圣歌领,1,550003,21,0,0,0,city_001
1113,易特镇,1,2,5,5,13,50,5,50,13,50,20,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,7,圣歌领,1,550003,21,0,0,0,city_001
1114,神罚堡,1,2,5,5,12,50,6,50,12,50,20,50,3,要塞,2,山地,0,0,40002,山地地形,0,0,0,0,91000031,1000,7,圣歌领,1,550003,21,0,0,0,city_001
1115,科普镇,1,2,5,5,14,50,4,50,13,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,7,圣歌领,1,550003,21,0,0,0,city_001
1116,伊斯尼,1,2,5,5,15,50,3,50,12,50,50,50,2,城市,3,森林,0,0,40003,森林地形,0,0,0,0,91000002,20,7,圣歌领,1,550003,21,0,0,0,city_001
1117,德塔镇,1,2,5,5,18,50,3,50,13,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,7,圣歌领,1,550003,21,0,0,0,city_001
1118,艾帕镇,1,2,5,5,18,50,4,50,12,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,6,龙息岛,1,550002,11,0,0,0,city_001
1119,费卡镇,1,2,5,5,16,50,4,50,11,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,6,龙息岛,1,550002,11,0,0,0,city_001
1120,贝尔镇,1,2,5,5,17,50,5,50,10,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,6,龙息岛,1,550002,11,0,0,0,city_001
1121,巴塞尔,1,2,5,5,17,50,5,50,11,50,50,50,2,城市,2,山地,0,0,40002,山地地形,0,0,0,0,91000002,20,6,龙息岛,1,550002,11,0,0,0,city_001
1122,戒律堡,1,2,5,5,18,50,6,50,9,50,50,50,3,要塞,1,平原,0,0,40001,平原地形,0,0,0,0,91000031,1000,6,龙息岛,1,550002,11,0,0,0,city_001
1123,凯斯镇,1,2,5,5,18,50,6,50,10,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,6,龙息岛,1,550002,11,0,0,0,city_001
1124,米赫镇,1,2,5,5,19,50,7,50,11,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,6,龙息岛,1,550002,11,0,0,0,city_001
1125,科尔马,1,2,5,5,20,50,8,50,12,50,50,50,2,城市,2,山地,0,0,40002,山地地形,0,0,0,0,91000002,20,6,龙息岛,1,550002,11,0,0,0,city_001
1126,港林镇,1,2,5,5,21,50,9,50,13,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,6,龙息岛,1,550002,11,0,0,0,city_001
1127,纳马镇,1,2,5,5,22,50,10,50,14,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,6,龙息岛,1,550002,11,0,0,0,city_001
1128,萨鲁镇,1,2,5,5,21,50,9,50,13,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,6,龙息岛,1,550002,11,0,0,0,city_001
1129,奈兰镇,3,2,5,5,19,50,7,50,9,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,5,雪落山,1,550002,11,0,0,0,city_001
1130,赛拉镇,3,2,5,5,20,50,8,50,8,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,5,雪落山,1,550002,11,0,0,0,city_001
1131,文岛镇,3,2,5,5,19,50,7,50,8,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,5,雪落山,1,550002,11,0,0,0,city_001
1132,特奥镇,3,2,5,5,20,50,8,50,7,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,5,雪落山,1,550002,11,0,0,0,city_001
1133,帕米拉,3,2,5,5,20,50,8,50,7,50,50,50,2,城市,1,平原,0,0,40001,平原地形,0,0,0,0,91000002,20,5,雪落山,1,550002,11,0,0,0,city_001
1134,凯萨镇,1,2,5,5,12,50,8,50,12,50,20,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,12,黑雾森林,1,550001,7,0,0,0,city_001
1135,亚丹,1,2,5,5,11,50,7,50,11,50,20,50,2,城市,2,山地,0,0,40002,山地地形,0,0,0,0,91000002,20,12,黑雾森林,1,550001,7,0,0,0,city_001
1136,莱港镇,1,2,5,5,10,50,8,50,11,50,20,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,12,黑雾森林,1,550001,7,0,0,0,city_001
1137,特尔镇,2,2,5,5,9,50,9,50,11,50,20,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,10,宝冠平原,1,550001,7,0,0,0,city_001
1138,塞西亚,5,2,5,5,9,50,9,50,10,50,20,50,2,城市,1,平原,0,0,40001,平原地形,0,0,0,0,91000002,20,10,宝冠平原,1,550001,7,0,2,0,city_001
1139,罗克镇,5,2,5,5,9,50,10,50,9,50,20,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,10,宝冠平原,1,550001,7,0,1,0,city_001
1140,松伊镇,2,2,5,5,10,50,11,50,8,50,20,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,10,宝冠平原,1,550001,7,0,0,0,city_001
1141,泰东镇,3,2,5,5,11,50,12,50,7,50,20,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,11,红石盆地,1,550001,7,0,0,0,city_001
1142,加拉太,3,2,5,5,12,50,12,50,6,50,20,50,2,城市,3,森林,0,0,40003,森林地形,0,0,0,0,91000002,20,11,红石盆地,1,550001,7,0,0,0,city_001
