id,lotteryid,description,chance,type,groupid,groupwt,itemid,itemdes,itemwt,min,max,havelot,haveitemwt
47,10001,挂机-白装,0,1,101,0,60640000,轻便皮靴,1,1,1,0,0
48,10002,挂机-绿装,4000,1,101,10000,60110010,皇室短弓,1,1,1,0,0
49,10002,挂机-绿装,0,1,101,0,60210010,碎石重斧,1,1,1,0,0
50,10002,挂机-绿装,0,1,101,0,60310010,长藤木杖,1,1,1,0,0
51,10002,挂机-绿装,0,1,101,0,60420010,碎石头盔,1,1,1,0,0
52,10002,挂机-绿装,0,1,101,0,60430010,碎石战甲,1,1,1,0,0
53,10002,挂机-绿装,0,1,101,0,60440010,碎石战靴,1,1,1,0,0
54,10002,挂机-绿装,0,1,101,0,60520010,精致巫帽,1,1,1,0,0
55,10002,挂机-绿装,0,1,101,0,60530010,精致布袍,1,1,1,0,0
56,10002,挂机-绿装,0,1,101,0,60540010,精致布靴,1,1,1,0,0
57,10002,挂机-绿装,0,1,101,0,60620010,华丽皮盔,1,1,1,0,0
58,10002,挂机-绿装,0,1,101,0,60630010,华丽皮甲,1,1,1,0,0
59,10002,挂机-绿装,0,1,101,0,60640010,华丽皮靴,1,1,1,0,0
60,10003,挂机-蓝装,3000,1,101,10000,60110020,锋利匕首,1,1,1,0,0
61,10003,挂机-蓝装,0,1,101,0,60210020,开山重斧,1,1,1,0,0
62,10003,挂机-蓝装,0,1,101,0,60310020,初学者魔杖,1,1,1,0,0
63,10003,挂机-蓝装,0,1,101,0,60420020,开山头盔,1,1,1,0,0
64,10003,挂机-蓝装,0,1,101,0,60430020,开山战甲,1,1,1,0,0
65,10003,挂机-蓝装,0,1,101,0,60440020,开山战靴,1,1,1,0,0
66,10003,挂机-蓝装,0,1,101,0,60520020,初学者巫帽,1,1,1,0,0
67,10003,挂机-蓝装,0,1,101,0,60530020,初学者布袍,1,1,1,0,0
68,10003,挂机-蓝装,0,1,101,0,60540020,初学者布靴,1,1,1,0,0
69,10003,挂机-蓝装,0,1,101,0,60620020,贵族皮盔,1,1,1,0,0
70,10003,挂机-蓝装,0,1,101,0,60630020,贵族皮甲,1,1,1,0,0
71,10003,挂机-蓝装,0,1,101,0,60640020,贵族皮靴,1,1,1,0,0
72,10004,挂机-蓝+装,2000,1,101,10000,60110030,勇士利剑,1,1,1,0,0
73,10004,挂机-蓝+装,0,1,101,0,60110031,勇士利剑,1,1,1,0,0
74,10004,挂机-蓝+装,0,1,101,0,60110032,勇士利剑,1,1,1,0,0
75,10004,挂机-蓝+装,0,1,101,0,60110033,勇士利剑,1,1,1,0,0
76,10004,挂机-蓝+装,0,1,101,0,60110034,勇士利剑,1,1,1,0,0
77,10004,挂机-蓝+装,0,1,101,0,60110035,勇士利剑,1,1,1,0,0
78,10004,挂机-蓝+装,0,1,101,0,60110036,勇士利剑,1,1,1,0,0
79,10004,挂机-蓝+装,0,1,101,0,60210030,烈风大斧,1,1,1,0,0
80,10004,挂机-蓝+装,0,1,101,0,60210031,烈风大斧,1,1,1,0,0
81,10004,挂机-蓝+装,0,1,101,0,60210032,烈风大斧,1,1,1,0,0
82,10004,挂机-蓝+装,0,1,101,0,60210033,烈风大斧,1,1,1,0,0
83,10004,挂机-蓝+装,0,1,101,0,60210034,烈风大斧,1,1,1,0,0
84,10004,挂机-蓝+装,0,1,101,0,60210035,烈风大斧,1,1,1,0,0
85,10004,挂机-蓝+装,0,1,101,0,60210036,烈风大斧,1,1,1,0,0
86,10004,挂机-蓝+装,0,1,101,0,60310030,祈火之杖,1,1,1,0,0
87,10004,挂机-蓝+装,0,1,101,0,60310031,祈火之杖,1,1,1,0,0
88,10004,挂机-蓝+装,0,1,101,0,60310032,祈火之杖,1,1,1,0,0
89,10004,挂机-蓝+装,0,1,101,0,60310033,祈火之杖,1,1,1,0,0
90,10004,挂机-蓝+装,0,1,101,0,60310034,祈火之杖,1,1,1,0,0
91,10004,挂机-蓝+装,0,1,101,0,60310035,祈火之杖,1,1,1,0,0
92,10004,挂机-蓝+装,0,1,101,0,60310036,祈火之杖,1,1,1,0,0
93,10004,挂机-蓝+装,0,1,101,0,60420030,烈风头盔,1,1,1,0,0
94,10004,挂机-蓝+装,0,1,101,0,60420031,烈风头盔,1,1,1,0,0
95,10004,挂机-蓝+装,0,1,101,0,60420032,烈风头盔,1,1,1,0,0
96,10004,挂机-蓝+装,0,1,101,0,60420033,烈风头盔,1,1,1,0,0
97,10004,挂机-蓝+装,0,1,101,0,60420034,烈风头盔,1,1,1,0,0
98,10004,挂机-蓝+装,0,1,101,0,60420035,烈风头盔,1,1,1,0,0
99,10004,挂机-蓝+装,0,1,101,0,60420036,烈风头盔,1,1,1,0,0
100,10004,挂机-蓝+装,0,1,101,0,60430030,烈风战甲,1,1,1,0,0
101,10004,挂机-蓝+装,0,1,101,0,60430031,烈风战甲,1,1,1,0,0
102,10004,挂机-蓝+装,0,1,101,0,60430032,烈风战甲,1,1,1,0,0
103,10004,挂机-蓝+装,0,1,101,0,60430033,烈风战甲,1,1,1,0,0
104,10004,挂机-蓝+装,0,1,101,0,60430034,烈风战甲,1,1,1,0,0
105,10004,挂机-蓝+装,0,1,101,0,60430035,烈风战甲,1,1,1,0,0
106,10004,挂机-蓝+装,0,1,101,0,60430036,烈风战甲,1,1,1,0,0
107,10004,挂机-蓝+装,0,1,101,0,60440030,烈风长靴,1,1,1,0,0
108,10004,挂机-蓝+装,0,1,101,0,60440031,烈风长靴,1,1,1,0,0
109,10004,挂机-蓝+装,0,1,101,0,60440032,烈风长靴,1,1,1,0,0
110,10004,挂机-蓝+装,0,1,101,0,60440033,烈风长靴,1,1,1,0,0
111,10004,挂机-蓝+装,0,1,101,0,60440034,烈风长靴,1,1,1,0,0
112,10004,挂机-蓝+装,0,1,101,0,60440035,烈风长靴,1,1,1,0,0
113,10004,挂机-蓝+装,0,1,101,0,60440036,烈风长靴,1,1,1,0,0
114,10004,挂机-蓝+装,0,1,101,0,60520030,祈火巫帽,1,1,1,0,0
115,10004,挂机-蓝+装,0,1,101,0,60520031,祈火巫帽,1,1,1,0,0
116,10004,挂机-蓝+装,0,1,101,0,60520032,祈火巫帽,1,1,1,0,0
117,10004,挂机-蓝+装,0,1,101,0,60520033,祈火巫帽,1,1,1,0,0
118,10004,挂机-蓝+装,0,1,101,0,60520034,祈火巫帽,1,1,1,0,0
119,10004,挂机-蓝+装,0,1,101,0,60520035,祈火巫帽,1,1,1,0,0
120,10004,挂机-蓝+装,0,1,101,0,60520036,祈火巫帽,1,1,1,0,0
121,10004,挂机-蓝+装,0,1,101,0,60530030,祈火布袍,1,1,1,0,0
122,10004,挂机-蓝+装,0,1,101,0,60530031,祈火布袍,1,1,1,0,0
123,10004,挂机-蓝+装,0,1,101,0,60530032,祈火布袍,1,1,1,0,0
124,10004,挂机-蓝+装,0,1,101,0,60530033,祈火布袍,1,1,1,0,0
125,10004,挂机-蓝+装,0,1,101,0,60530034,祈火布袍,1,1,1,0,0
126,10004,挂机-蓝+装,0,1,101,0,60530035,祈火布袍,1,1,1,0,0
127,10004,挂机-蓝+装,0,1,101,0,60530036,祈火布袍,1,1,1,0,0
128,10004,挂机-蓝+装,0,1,101,0,60540030,祈火布靴,1,1,1,0,0
129,10004,挂机-蓝+装,0,1,101,0,60540031,祈火布靴,1,1,1,0,0
130,10004,挂机-蓝+装,0,1,101,0,60540032,祈火布靴,1,1,1,0,0
131,10004,挂机-蓝+装,0,1,101,0,60540033,祈火布靴,1,1,1,0,0
132,10004,挂机-蓝+装,0,1,101,0,60540034,祈火布靴,1,1,1,0,0
133,10004,挂机-蓝+装,0,1,101,0,60540035,祈火布靴,1,1,1,0,0
134,10004,挂机-蓝+装,0,1,101,0,60540036,祈火布靴,1,1,1,0,0
135,10004,挂机-蓝+装,0,1,101,0,60620030,勇士皮盔,1,1,1,0,0
136,10004,挂机-蓝+装,0,1,101,0,60620031,勇士皮盔,1,1,1,0,0
137,10004,挂机-蓝+装,0,1,101,0,60620032,勇士皮盔,1,1,1,0,0
138,10004,挂机-蓝+装,0,1,101,0,60620033,勇士皮盔,1,1,1,0,0
139,10004,挂机-蓝+装,0,1,101,0,60620034,勇士皮盔,1,1,1,0,0
140,10004,挂机-蓝+装,0,1,101,0,60620035,勇士皮盔,1,1,1,0,0
141,10004,挂机-蓝+装,0,1,101,0,60620036,勇士皮盔,1,1,1,0,0
142,10004,挂机-蓝+装,0,1,101,0,60630030,勇士之甲,1,1,1,0,0
143,10004,挂机-蓝+装,0,1,101,0,60630031,勇士之甲,1,1,1,0,0
144,10004,挂机-蓝+装,0,1,101,0,60630032,勇士之甲,1,1,1,0,0
145,10004,挂机-蓝+装,0,1,101,0,60630033,勇士之甲,1,1,1,0,0
146,10004,挂机-蓝+装,0,1,101,0,60630034,勇士之甲,1,1,1,0,0
147,10004,挂机-蓝+装,0,1,101,0,60630035,勇士之甲,1,1,1,0,0
148,10004,挂机-蓝+装,0,1,101,0,60630036,勇士之甲,1,1,1,0,0
149,10004,挂机-蓝+装,0,1,101,0,60640030,勇士皮靴,1,1,1,0,0
150,10004,挂机-蓝+装,0,1,101,0,60640031,勇士皮靴,1,1,1,0,0
151,10004,挂机-蓝+装,0,1,101,0,60640032,勇士皮靴,1,1,1,0,0
152,10004,挂机-蓝+装,0,1,101,0,60640033,勇士皮靴,1,1,1,0,0
153,10004,挂机-蓝+装,0,1,101,0,60640034,勇士皮靴,1,1,1,0,0
154,10004,挂机-蓝+装,0,1,101,0,60640035,勇士皮靴,1,1,1,0,0
155,10004,挂机-蓝+装,0,1,101,0,60640036,勇士皮靴,1,1,1,0,0
156,10005,挂机-紫装,1000,1,101,10000,60110040,骑士佩剑,1,1,1,0,0
157,10005,挂机-紫装,0,1,101,0,60110041,骑士佩剑,1,1,1,0,0
158,10005,挂机-紫装,0,1,101,0,60110042,骑士佩剑,1,1,1,0,0
159,10005,挂机-紫装,0,1,101,0,60110043,骑士佩剑,1,1,1,0,0
160,10005,挂机-紫装,0,1,101,0,60110044,骑士佩剑,1,1,1,0,0
161,10005,挂机-紫装,0,1,101,0,60110045,骑士佩剑,1,1,1,0,0
162,10005,挂机-紫装,0,1,101,0,60110046,骑士佩剑,1,1,1,0,0
163,10005,挂机-紫装,0,1,101,0,60210040,圣焰战刃,1,1,1,0,0
164,10005,挂机-紫装,0,1,101,0,60210041,近卫战刃,1,1,1,0,0
165,10005,挂机-紫装,0,1,101,0,60210042,近卫战刃,1,1,1,0,0
166,10005,挂机-紫装,0,1,101,0,60210043,近卫战刃,1,1,1,0,0
167,10005,挂机-紫装,0,1,101,0,60210044,近卫战刃,1,1,1,0,0
168,10005,挂机-紫装,0,1,101,0,60210045,近卫战刃,1,1,1,0,0
169,10005,挂机-紫装,0,1,101,0,60210046,近卫战刃,1,1,1,0,0
170,10005,挂机-紫装,0,1,101,0,60310040,海神的恩赐,1,1,1,0,0
171,10005,挂机-紫装,0,1,101,0,60310041,海神的恩赐,1,1,1,0,0
172,10005,挂机-紫装,0,1,101,0,60310042,海神的恩赐,1,1,1,0,0
173,10005,挂机-紫装,0,1,101,0,60310043,海神的恩赐,1,1,1,0,0
174,10005,挂机-紫装,0,1,101,0,60310044,海神的恩赐,1,1,1,0,0
175,10005,挂机-紫装,0,1,101,0,60310045,海神的恩赐,1,1,1,0,0
176,10005,挂机-紫装,0,1,101,0,60310046,海神的恩赐,1,1,1,0,0
177,10005,挂机-紫装,0,1,101,0,60420040,圣焰战盔,1,1,1,0,0
178,10005,挂机-紫装,0,1,101,0,60420041,圣焰战盔,1,1,1,0,0
179,10005,挂机-紫装,0,1,101,0,60420042,圣焰战盔,1,1,1,0,0
180,10005,挂机-紫装,0,1,101,0,60420043,圣焰战盔,1,1,1,0,0
181,10005,挂机-紫装,0,1,101,0,60420044,圣焰战盔,1,1,1,0,0
182,10005,挂机-紫装,0,1,101,0,60420045,圣焰战盔,1,1,1,0,0
183,10005,挂机-紫装,0,1,101,0,60420046,圣焰战盔,1,1,1,0,0
184,10005,挂机-紫装,0,1,101,0,60430040,圣焰战甲,1,1,1,0,0
185,10005,挂机-紫装,0,1,101,0,60430041,圣焰战甲,1,1,1,0,0
186,10005,挂机-紫装,0,1,101,0,60430042,圣焰战甲,1,1,1,0,0
187,10005,挂机-紫装,0,1,101,0,60430043,圣焰战甲,1,1,1,0,0
188,10005,挂机-紫装,0,1,101,0,60430044,圣焰战甲,1,1,1,0,0
189,10005,挂机-紫装,0,1,101,0,60430045,圣焰战甲,1,1,1,0,0
190,10005,挂机-紫装,0,1,101,0,60430046,圣焰战甲,1,1,1,0,0
191,10005,挂机-紫装,0,1,101,0,60440040,圣焰战靴,1,1,1,0,0
192,10005,挂机-紫装,0,1,101,0,60440041,圣焰战靴,1,1,1,0,0
193,10005,挂机-紫装,0,1,101,0,60440042,圣焰战靴,1,1,1,0,0
194,10005,挂机-紫装,0,1,101,0,60440043,圣焰战靴,1,1,1,0,0
195,10005,挂机-紫装,0,1,101,0,60440044,圣焰战靴,1,1,1,0,0
196,10005,挂机-紫装,0,1,101,0,60440045,圣焰战靴,1,1,1,0,0
197,10005,挂机-紫装,0,1,101,0,60440046,圣焰战靴,1,1,1,0,0
198,10005,挂机-紫装,0,1,101,0,60520040,海神巫帽,1,1,1,0,0
199,10005,挂机-紫装,0,1,101,0,60520041,海神巫帽,1,1,1,0,0
200,10005,挂机-紫装,0,1,101,0,60520042,海神巫帽,1,1,1,0,0
201,10005,挂机-紫装,0,1,101,0,60520043,海神巫帽,1,1,1,0,0
202,10005,挂机-紫装,0,1,101,0,60520044,海神巫帽,1,1,1,0,0
203,10005,挂机-紫装,0,1,101,0,60520045,海神巫帽,1,1,1,0,0
204,10005,挂机-紫装,0,1,101,0,60520046,海神巫帽,1,1,1,0,0
205,10005,挂机-紫装,0,1,101,0,60530040,海神法袍,1,1,1,0,0
206,10005,挂机-紫装,0,1,101,0,60530041,海神法袍,1,1,1,0,0
207,10005,挂机-紫装,0,1,101,0,60530042,海神法袍,1,1,1,0,0
208,10005,挂机-紫装,0,1,101,0,60530043,海神法袍,1,1,1,0,0
209,10005,挂机-紫装,0,1,101,0,60530044,海神法袍,1,1,1,0,0
210,10005,挂机-紫装,0,1,101,0,60530045,海神法袍,1,1,1,0,0
211,10005,挂机-紫装,0,1,101,0,60530046,海神法袍,1,1,1,0,0
212,10005,挂机-紫装,0,1,101,0,60540040,海神布靴,1,1,1,0,0
213,10005,挂机-紫装,0,1,101,0,60540041,海神布靴,1,1,1,0,0
214,10005,挂机-紫装,0,1,101,0,60540042,海神布靴,1,1,1,0,0
215,10005,挂机-紫装,0,1,101,0,60540043,海神布靴,1,1,1,0,0
216,10005,挂机-紫装,0,1,101,0,60540044,海神布靴,1,1,1,0,0
217,10005,挂机-紫装,0,1,101,0,60540045,海神布靴,1,1,1,0,0
218,10005,挂机-紫装,0,1,101,0,60540046,海神布靴,1,1,1,0,0
219,10005,挂机-紫装,0,1,101,0,60620040,骑士皮盔,1,1,1,0,0
220,10005,挂机-紫装,0,1,101,0,60620041,骑士皮盔,1,1,1,0,0
221,10005,挂机-紫装,0,1,101,0,60620042,骑士皮盔,1,1,1,0,0
222,10005,挂机-紫装,0,1,101,0,60620043,骑士皮盔,1,1,1,0,0
223,10005,挂机-紫装,0,1,101,0,60620044,骑士皮盔,1,1,1,0,0
224,10005,挂机-紫装,0,1,101,0,60620045,骑士皮盔,1,1,1,0,0
225,10005,挂机-紫装,0,1,101,0,60620046,骑士皮盔,1,1,1,0,0
226,10005,挂机-紫装,0,1,101,0,60630040,骑士之甲,1,1,1,0,0
227,10005,挂机-紫装,0,1,101,0,60630041,骑士之甲,1,1,1,0,0
228,10005,挂机-紫装,0,1,101,0,60630042,骑士之甲,1,1,1,0,0
229,10005,挂机-紫装,0,1,101,0,60630043,骑士之甲,1,1,1,0,0
230,10005,挂机-紫装,0,1,101,0,60630044,骑士之甲,1,1,1,0,0
231,10005,挂机-紫装,0,1,101,0,60630045,骑士之甲,1,1,1,0,0
232,10005,挂机-紫装,0,1,101,0,60630046,骑士之甲,1,1,1,0,0
233,10005,挂机-紫装,0,1,101,0,60640040,骑士皮靴,1,1,1,0,0
234,10005,挂机-紫装,0,1,101,0,60640041,骑士皮靴,1,1,1,0,0
235,10005,挂机-紫装,0,1,101,0,60640042,骑士皮靴,1,1,1,0,0
236,10005,挂机-紫装,0,1,101,0,60640043,骑士皮靴,1,1,1,0,0
237,10005,挂机-紫装,0,1,101,0,60640044,骑士皮靴,1,1,1,0,0
238,10005,挂机-紫装,0,1,101,0,60640045,骑士皮靴,1,1,1,0,0
239,10005,挂机-紫装,0,1,101,0,60640046,骑士皮靴,1,1,1,0,0
240,10006,挂机-紫+装,1000,1,101,10000,60110050,迅风长剑,1,1,1,0,0
241,10006,挂机-紫+装,0,1,101,0,60110051,迅风长剑,1,1,1,0,0
242,10006,挂机-紫+装,0,1,101,0,60110052,迅风长剑,1,1,1,0,0
243,10006,挂机-紫+装,0,1,101,0,60110053,迅风长剑,1,1,1,0,0
244,10006,挂机-紫+装,0,1,101,0,60110054,迅风长剑,1,1,1,0,0
245,10006,挂机-紫+装,0,1,101,0,60110055,迅风长剑,1,1,1,0,0
246,10006,挂机-紫+装,0,1,101,0,60110056,迅风长剑,1,1,1,0,0
247,10006,挂机-紫+装,0,1,101,0,60210050,威仪之斧,1,1,1,0,0
248,10006,挂机-紫+装,0,1,101,0,60210051,威仪之斧,1,1,1,0,0
249,10006,挂机-紫+装,0,1,101,0,60210052,威仪之斧,1,1,1,0,0
250,10006,挂机-紫+装,0,1,101,0,60210053,威仪之斧,1,1,1,0,0
251,10006,挂机-紫+装,0,1,101,0,60210054,威仪之斧,1,1,1,0,0
252,10006,挂机-紫+装,0,1,101,0,60210055,威仪之斧,1,1,1,0,0
253,10006,挂机-紫+装,0,1,101,0,60210056,威仪之斧,1,1,1,0,0
254,10006,挂机-紫+装,0,1,101,0,60310050,星辰之杖,1,1,1,0,0
255,10006,挂机-紫+装,0,1,101,0,60310051,星辰之杖,1,1,1,0,0
256,10006,挂机-紫+装,0,1,101,0,60310052,星辰之杖,1,1,1,0,0
257,10006,挂机-紫+装,0,1,101,0,60310053,星辰之杖,1,1,1,0,0
258,10006,挂机-紫+装,0,1,101,0,60310054,星辰之杖,1,1,1,0,0
259,10006,挂机-紫+装,0,1,101,0,60310055,星辰之杖,1,1,1,0,0
260,10006,挂机-紫+装,0,1,101,0,60310056,星辰之杖,1,1,1,0,0
261,10006,挂机-紫+装,0,1,101,0,60420050,威仪战盔,1,1,1,0,0
262,10006,挂机-紫+装,0,1,101,0,60420051,威仪战盔,1,1,1,0,0
263,10006,挂机-紫+装,0,1,101,0,60420052,威仪战盔,1,1,1,0,0
264,10006,挂机-紫+装,0,1,101,0,60420053,威仪战盔,1,1,1,0,0
265,10006,挂机-紫+装,0,1,101,0,60420054,威仪战盔,1,1,1,0,0
266,10006,挂机-紫+装,0,1,101,0,60420055,威仪战盔,1,1,1,0,0
267,10006,挂机-紫+装,0,1,101,0,60420056,威仪战盔,1,1,1,0,0
268,10006,挂机-紫+装,0,1,101,0,60430050,威仪战甲,1,1,1,0,0
269,10006,挂机-紫+装,0,1,101,0,60430051,威仪战甲,1,1,1,0,0
270,10006,挂机-紫+装,0,1,101,0,60430052,威仪战甲,1,1,1,0,0
271,10006,挂机-紫+装,0,1,101,0,60430053,威仪战甲,1,1,1,0,0
272,10006,挂机-紫+装,0,1,101,0,60430054,威仪战甲,1,1,1,0,0
273,10006,挂机-紫+装,0,1,101,0,60430055,威仪战甲,1,1,1,0,0
274,10006,挂机-紫+装,0,1,101,0,60430056,威仪战甲,1,1,1,0,0
275,10006,挂机-紫+装,0,1,101,0,60440050,威仪战靴,1,1,1,0,0
276,10006,挂机-紫+装,0,1,101,0,60440051,威仪战靴,1,1,1,0,0
277,10006,挂机-紫+装,0,1,101,0,60440052,威仪战靴,1,1,1,0,0
278,10006,挂机-紫+装,0,1,101,0,60440053,威仪战靴,1,1,1,0,0
279,10006,挂机-紫+装,0,1,101,0,60440054,威仪战靴,1,1,1,0,0
280,10006,挂机-紫+装,0,1,101,0,60440055,威仪战靴,1,1,1,0,0
281,10006,挂机-紫+装,0,1,101,0,60440056,威仪战靴,1,1,1,0,0
282,10006,挂机-紫+装,0,1,101,0,60520050,星辰巫帽,1,1,1,0,0
283,10006,挂机-紫+装,0,1,101,0,60520051,星辰巫帽,1,1,1,0,0
284,10006,挂机-紫+装,0,1,101,0,60520052,星辰巫帽,1,1,1,0,0
285,10006,挂机-紫+装,0,1,101,0,60520053,星辰巫帽,1,1,1,0,0
286,10006,挂机-紫+装,0,1,101,0,60520054,星辰巫帽,1,1,1,0,0
287,10006,挂机-紫+装,0,1,101,0,60520055,星辰巫帽,1,1,1,0,0
288,10006,挂机-紫+装,0,1,101,0,60520056,星辰巫帽,1,1,1,0,0
289,10006,挂机-紫+装,0,1,101,0,60530050,星辰布甲,1,1,1,0,0
290,10006,挂机-紫+装,0,1,101,0,60530051,星辰布甲,1,1,1,0,0
291,10006,挂机-紫+装,0,1,101,0,60530052,星辰布甲,1,1,1,0,0
292,10006,挂机-紫+装,0,1,101,0,60530053,星辰布甲,1,1,1,0,0
293,10006,挂机-紫+装,0,1,101,0,60530054,星辰布甲,1,1,1,0,0
294,10006,挂机-紫+装,0,1,101,0,60530055,星辰布甲,1,1,1,0,0
295,10006,挂机-紫+装,0,1,101,0,60530056,星辰布甲,1,1,1,0,0
296,10006,挂机-紫+装,0,1,101,0,60540050,星辰布靴,1,1,1,0,0
297,10006,挂机-紫+装,0,1,101,0,60540051,星辰布靴,1,1,1,0,0
298,10006,挂机-紫+装,0,1,101,0,60540052,星辰布靴,1,1,1,0,0
299,10006,挂机-紫+装,0,1,101,0,60540053,星辰布靴,1,1,1,0,0
300,10006,挂机-紫+装,0,1,101,0,60540054,星辰布靴,1,1,1,0,0
301,10006,挂机-紫+装,0,1,101,0,60540055,星辰布靴,1,1,1,0,0
302,10006,挂机-紫+装,0,1,101,0,60540056,星辰布靴,1,1,1,0,0
303,10006,挂机-紫+装,0,1,101,0,60620050,迅风皮盔,1,1,1,0,0
304,10006,挂机-紫+装,0,1,101,0,60620051,迅风皮盔,1,1,1,0,0
305,10006,挂机-紫+装,0,1,101,0,60620052,迅风皮盔,1,1,1,0,0
306,10006,挂机-紫+装,0,1,101,0,60620053,迅风皮盔,1,1,1,0,0
307,10006,挂机-紫+装,0,1,101,0,60620054,迅风皮盔,1,1,1,0,0
308,10006,挂机-紫+装,0,1,101,0,60620055,迅风皮盔,1,1,1,0,0
309,10006,挂机-紫+装,0,1,101,0,60620056,迅风皮盔,1,1,1,0,0
310,10006,挂机-紫+装,0,1,101,0,60630050,迅风皮甲,1,1,1,0,0
311,10006,挂机-紫+装,0,1,101,0,60630051,迅风皮甲,1,1,1,0,0
312,10006,挂机-紫+装,0,1,101,0,60630052,迅风皮甲,1,1,1,0,0
313,10006,挂机-紫+装,0,1,101,0,60630053,迅风皮甲,1,1,1,0,0
314,10006,挂机-紫+装,0,1,101,0,60630054,迅风皮甲,1,1,1,0,0
315,10006,挂机-紫+装,0,1,101,0,60630055,迅风皮甲,1,1,1,0,0
316,10006,挂机-紫+装,0,1,101,0,60630056,迅风皮甲,1,1,1,0,0
317,10006,挂机-紫+装,0,1,101,0,60640050,迅风战靴,1,1,1,0,0
318,10006,挂机-紫+装,0,1,101,0,60640051,迅风战靴,1,1,1,0,0
319,10006,挂机-紫+装,0,1,101,0,60640052,迅风战靴,1,1,1,0,0
320,10006,挂机-紫+装,0,1,101,0,60640053,迅风战靴,1,1,1,0,0
321,10006,挂机-紫+装,0,1,101,0,60640054,迅风战靴,1,1,1,0,0
