str_id,str
STR_UI_EquipMain_str_33,宝石
STR_UI_EquipMain_str_34,附魔
STR_UI_EquipMain_str_35,英雄名字
STR_UI_EquipMain_str_36,英雄小名
STR_UI_EquipMain_str_37,远程
STR_UI_EquipMain_str_38,远程
STR_UI_EquipMain_str_39,远程
STR_UI_EquipMain_str_40,精英
STR_UI_Equip_Window_str_0,装备名
STR_UI_Equip_Window_str_1,英雄的名字
STR_UI_Equip_Window_str_2,属性名字:
STR_UI_Equip_Window_str_3,属性名字:
STR_UI_Equip_Window_str_4,选择装备
STR_UI_Equip_Window_str_5,暂无玩家贡献
STR_UI_Equip_Window_str_6,暂无玩家贡献
STR_UI_Equip_Window_str_7,当前的状态
STR_UI_Equip_Window_str_8,终极装备推荐
STR_UI_Equip_Window_str_9,装备名
STR_UI_Equip_Window_str_10,属性名字:
STR_UI_Equip_Window_str_11,属性名字:
STR_UI_Equip_Window_str_12,装备名
STR_UI_Equip_Window_str_13,属性名字:
STR_UI_Equip_Window_str_14,属性名字:
STR_UI_FangChenMi_str_0,健康游戏忠告
STR_UI_FangChenMi_str_1,抵制不良游戏，拒绝盗版游戏。
STR_UI_FangChenMi_str_2,注意自我保护，谨防受骗上当。
STR_UI_FangChenMi_str_3,适度游戏益脑，沉迷游戏伤身。
STR_UI_FangChenMi_str_4,合理安排时间，享受健康生活。
STR_UI_FangChenMi_str_5,软著登记号：2018SR892665
STR_UI_FengMian_str_0,切换账号
STR_UI_FengMian_str_1,开始游戏
STR_UI_FengMian_str_2,内部测试服
STR_UI_FengMian_str_3,换区
STR_UI_FengMian_str_4,游戏公告
STR_UI_FengMian_str_5,抵制不良游戏
STR_UI_FengMian_str_6,拒绝盗版游戏
STR_UI_FengMian_str_7,注意自我保护
STR_UI_FengMian_str_8,谨防上当受骗
STR_UI_FengMian_str_9,适度游戏益脑
STR_UI_FengMian_str_10,沉迷游戏伤身
STR_UI_FengMian_str_11,合理安排时间
STR_UI_FengMian_str_12,享受健康生活
STR_UI_FengMian_str_13,版本号:3554.54.56 资源号：1.1.00
STR_UI_FengMian_str_14,打开声音，戴上耳机，体验更佳哦~
STR_UI_FightUp_str_0,总战力
STR_UI_GameMain_UI_str_0,空闲
STR_UI_GameMain_UI_str_1,祭坛
STR_UI_GameMain_UI_str_2,佣兵
STR_UI_GameMain_UI_str_3,商城
STR_UI_GameMain_UI_str_4,新商品
STR_UI_GameMain_UI_str_5,军团
STR_UI_GameMain_UI_str_6,领主
STR_UI_GameMain_UI_str_7,学院
STR_UI_GameMain_UI_str_8,排行榜
STR_UI_GameMain_UI_str_9,新计划
STR_UI_GameMain_UI_str_10,商会
STR_UI_GameMain_UI_str_11,神殿
STR_UI_GameMain_UI_str_12,圣物
STR_UI_GameMain_UI_str_13,公告
STR_UI_GameMain_UI_str_14,神秘谷
STR_UI_GameMain_UI_str_15,神域
STR_UI_GameMain_UI_str_16,战区
STR_UI_GameMain_UI_str_17,斗技场
STR_UI_GameMain_UI_str_18,星界
STR_UI_GameMain_UI_str_19,玩家名六个字
STR_UI_GameMain_UI_str_20,变强
STR_UI_GameMain_UI_str_21,这是任务条件
STR_UI_GameMain_UI_str_22,任务
STR_UI_GameMain_UI_str_23,福 利
STR_UI_GameMain_UI_str_24,召唤
STR_UI_GameMain_UI_str_25,福利活动
STR_UI_GameMain_UI_str_26,诸神黄昏
STR_UI_GameMain_UI_str_27,精彩活动
STR_UI_GameMain_UI_str_28,精彩活动
STR_UI_GameMain_UI_str_29,首充
STR_UI_GameMain_UI_str_30,王国任务
STR_UI_GameMain_UI_str_31,众神降临
STR_UI_GameMain_UI_str_32,9999万
STR_UI_GameMain_UI_str_33,七日狂欢
STR_UI_GameMain_UI_str_34,领主宝典
STR_UI_GameMain_UI_str_35,爵位
STR_UI_GameMain_UI_str_36,每日首充
STR_UI_GameMain_UI_str_37,国战
STR_UI_GameMain_UI_str_38,特惠礼包
STR_UI_GameMain_UI_str_39,半月庆典
STR_UI_GameMain_UI_str_40,嘉年华
STR_UI_GameMain_UI_str_41,砸蛋
STR_UI_GameMain_UI_str_42,许愿池
STR_UI_GameMain_UI_str_43,推荐阵容
STR_UI_GameMain_UI_str_44,前 往
STR_UI_GameMain_UI_str_45,国战
STR_UI_GameMain_UI_str_46,尚未
STR_UI_GameMain_UI_str_47,请立即前往！
STR_UI_GameMain_UI_str_48,今日
STR_UI_GameMain_UI_str_49,宣战
STR_UI_GameMain_UI_str_50,国战
STR_UI_GameMain_UI_str_51,报名正在进行中
STR_UI_GameMain_UI_str_52,请立即前往！
STR_UI_GameMain_UI_str_53,国战
STR_UI_GameMain_UI_str_54,正在交战中
STR_UI_GameMain_UI_str_55,可前往观战！
STR_UI_GameMain_UI_str_56,矿点争夺战
STR_UI_GameMain_UI_str_57,已经开启
STR_UI_GameMain_UI_str_58,请立即前往！
STR_UI_GameMain_UI_str_59,军团战
STR_UI_GameMain_UI_str_60,尚未
STR_UI_GameMain_UI_str_61,请立即前往！
STR_UI_GameMain_UI_str_62,今日
STR_UI_GameMain_UI_str_63,宣战
STR_UI_GameMain_UI_str_64,军团战
STR_UI_GameMain_UI_str_65,报名正在进行中
STR_UI_GameMain_UI_str_66,请立即前往！
STR_UI_GameMain_UI_str_67,军团战
STR_UI_GameMain_UI_str_68,正在交战中
STR_UI_GameMain_UI_str_69,可前往观战！
STR_UI_GameMain_UI_str_70,孤山夺宝
STR_UI_GameMain_UI_str_71,火爆进行中
STR_UI_GameMain_UI_str_72,请立即前往！
STR_UI_GameMain_UI_str_73,地下城组队战
STR_UI_GameMain_UI_str_74,已经开启
STR_UI_GameMain_UI_str_75,请立即前往！
STR_UI_GameMain_UI_str_76,佣兵组队战
STR_UI_GameMain_UI_str_77,已经开启
STR_UI_GameMain_UI_str_78,请立即前往！
STR_UI_GameMain_UI_str_79,开服基金
STR_UI_GameMain_UI_str_80,乐享中秋
STR_UI_GameMain_UI_str_81,贵族特权
STR_UI_GameMain_UI_str_82,幸运小铺
STR_UI_GameMain_UI_str_83,等级礼包
STR_UI_GameMain_UI_str_84,战力礼包
STR_UI_GameMain_UI_str_85,欢度国庆
STR_UI_GameMain_UI_str_86,勇士徽章
STR_UI_GameMain_UI_str_87,开服排行
STR_UI_GameMain_UI_str_88,关卡
STR_UI_GameMain_UI_str_89,阵容
STR_UI_GameMain_UI_str_90,英雄
STR_UI_GameMain_UI_str_91,装备
STR_UI_GameMain_UI_str_92,佣兵
STR_UI_GameMain_UI_str_93,魔宠
STR_UI_GameMain_UI_str_94,巨兽
STR_UI_GameMain_UI_str_95,背包
STR_UI_GameMain_UI_str_96,战役
STR_UI_GameMain_UI_str_97,这里是当前聊天的文本内容...
STR_UI_GameMain_UI_str_98,这里是当前聊天的文本内容...
STR_UI_GameMain_UI_str_99,天空城
STR_UI_GameMain_UI_2_str_0,关卡
STR_UI_GameMain_UI_2_str_1,回城
STR_UI_GameMain_UI_2_str_2,阵容
STR_UI_GameMain_UI_2_str_3,英雄
STR_UI_GameMain_UI_2_str_4,装备
STR_UI_GameMain_UI_2_str_5,佣兵
STR_UI_GameMain_UI_2_str_6,魔宠
STR_UI_GameMain_UI_2_str_7,巨兽
STR_UI_GameMain_UI_2_str_8,背包
STR_UI_GameMain_UI_2_str_9,这是任务条件
STR_UI_GameMain_UI_2_str_10,任务
STR_UI_GameMain_UI_2_str_11,福 利
STR_UI_GameMain_UI_2_str_12,召唤
STR_UI_GameMain_UI_2_str_13,福利活动
STR_UI_GameMain_UI_2_str_14,诸神黄昏
STR_UI_GameMain_UI_2_str_15,精彩活动
STR_UI_GameMain_UI_2_str_16,精彩活动
STR_UI_GameMain_UI_2_str_17,首充
STR_UI_GameMain_UI_2_str_18,王国任务
STR_UI_GameMain_UI_2_str_19,众神降临
STR_UI_GameMain_UI_2_str_20,9999万
STR_UI_GameMain_UI_2_str_21,七日狂欢
STR_UI_GameMain_UI_2_str_22,领主宝典
STR_UI_GameMain_UI_2_str_23,爵位
STR_UI_GameMain_UI_2_str_24,每日首充
STR_UI_GameMain_UI_2_str_25,国战
STR_UI_GameMain_UI_2_str_26,特惠礼包
STR_UI_GameMain_UI_2_str_27,半月庆典
STR_UI_GameMain_UI_2_str_28,嘉年华
STR_UI_GameMain_UI_2_str_29,砸蛋
STR_UI_GameMain_UI_2_str_30,许愿池
STR_UI_GameMain_UI_2_str_31,推荐阵容
STR_UI_GameMain_UI_2_str_32,前 往
STR_UI_GameMain_UI_2_str_33,国战
STR_UI_GameMain_UI_2_str_34,尚未
STR_UI_GameMain_UI_2_str_35,请立即前往！
STR_UI_GameMain_UI_2_str_36,今日
STR_UI_GameMain_UI_2_str_37,宣战
STR_UI_GameMain_UI_2_str_38,国战
STR_UI_GameMain_UI_2_str_39,报名正在进行中
STR_UI_GameMain_UI_2_str_40,请立即前往！
STR_UI_GameMain_UI_2_str_41,国战
STR_UI_GameMain_UI_2_str_42,正在交战中
STR_UI_GameMain_UI_2_str_43,可前往观战！
STR_UI_GameMain_UI_2_str_44,矿点争夺战
STR_UI_GameMain_UI_2_str_45,已经开启
STR_UI_GameMain_UI_2_str_46,请立即前往！
STR_UI_GameMain_UI_2_str_47,军团战
STR_UI_GameMain_UI_2_str_48,尚未
STR_UI_GameMain_UI_2_str_49,请立即前往！
STR_UI_GameMain_UI_2_str_50,今日
STR_UI_GameMain_UI_2_str_51,宣战
STR_UI_GameMain_UI_2_str_52,军团战
STR_UI_GameMain_UI_2_str_53,报名正在进行中
STR_UI_GameMain_UI_2_str_54,请立即前往！
STR_UI_GameMain_UI_2_str_55,军团战
STR_UI_GameMain_UI_2_str_56,正在交战中
STR_UI_GameMain_UI_2_str_57,可前往观战！
STR_UI_GameMain_UI_2_str_58,孤山夺宝
STR_UI_GameMain_UI_2_str_59,火爆进行中
STR_UI_GameMain_UI_2_str_60,请立即前往！
STR_UI_GameMain_UI_2_str_61,地下城组队战
STR_UI_GameMain_UI_2_str_62,已经开启
STR_UI_GameMain_UI_2_str_63,请立即前往！
STR_UI_GameMain_UI_2_str_64,佣兵组队战
STR_UI_GameMain_UI_2_str_65,已经开启
STR_UI_GameMain_UI_2_str_66,请立即前往！
STR_UI_GameMain_UI_2_str_67,开服基金
STR_UI_GameMain_UI_2_str_68,乐享中秋
STR_UI_GameMain_UI_2_str_69,贵族特权
STR_UI_GameMain_UI_2_str_70,幸运小铺
STR_UI_GameMain_UI_2_str_71,等级礼包
STR_UI_GameMain_UI_2_str_72,战力礼包
STR_UI_GameMain_UI_2_str_73,欢度国庆
STR_UI_GameMain_UI_2_str_74,勇士徽章
STR_UI_GameMain_UI_2_str_75,开服排行
STR_UI_Game_Small_1_str_0,根据提示划动施展法印
STR_UI_Gem_Window_str_0,选择宝石
STR_UI_Gem_Window_str_1,装备名
STR_UI_Gem_Window_str_2,黑暗游侠
STR_UI_Gem_Window_str_3,推荐
STR_UI_GengXin_str_0,游戏资源加载中，加载不消耗流量
STR_UI_GengXin_str_1,系统提示
STR_UI_GengXin_str_2,检查到新版本可供更新，点击确认下载更新，如不选择更新，可点击取消按钮
STR_UI_GengXin_str_3,下 载
STR_UI_GengXin_str_4,退 出
STR_UI_GengXin_str_5,建议使用wifi网络下载新版本
STR_UI_GM_str_0,获得10万钻石
STR_UI_GM_str_1,战斗无敌模式
STR_UI_GM_str_2,领主升10级
STR_UI_GM_str_3,获得100万金币
STR_UI_GM_str_4,获取全部道具
STR_UI_GM_str_5,领主升1级
STR_UI_GM_str_6,调试关卡模式
STR_UI_GM_str_7,阵营礼包
STR_UI_GM_str_8,增加10点国家经验
STR_UI_GM_str_9,增加1000军团贡献
STR_UI_GM_str_10,关卡跳过
STR_UI_GM_str_11,直接通关第十章
STR_UI_GM_str_12,外挂
STR_UI_GongGao_3_str_0,公告
STR_UI_GongGao_3_str_1,知道了
STR_UI_GongGao_3_str_2,版本更新
STR_UI_GongHui_2_str_0,军团
STR_UI_GongHui_2_str_1,军团副本，每天5:00重置挑战次数，每周一重置进度
STR_UI_GongHui_2_str_2,王座之战，每天9:00-22:00可参与，其余时间休战
STR_UI_GongHui_2_str_3,日志
STR_UI_GongHui_2_str_4,排行
STR_UI_GongHui_2_str_5,公会名字六字
STR_UI_GongHui_2_str_6,等级
STR_UI_GongHui_2_str_7,成员贡献
STR_UI_GongHui_2_str_8,审核
STR_UI_GongHui_2_str_9,退出军团
STR_UI_GongHui_2_str_10,军团公告
STR_UI_GongHui_2_str_11,公告内容的公告内容的公告内容的公告内容的公告内容的公告内容的
STR_UI_GongHui_2_str_12,成员
STR_UI_GongHui_2_str_13,玩家名几字
STR_UI_GongHui_2_str_14,军团长
STR_UI_GongHui_2_str_15,在线
STR_UI_GongHui_2_str_16,贵族
STR_UI_GongHui_2_str_17,99级
STR_UI_GongHui_2_str_18,排名
STR_UI_GongHui_2_str_19,开心的跳起来
STR_UI_GongHui_2_str_20,团长
STR_UI_GongHui_2_str_21,谁谁谁谁谁谁
STR_UI_GongHui_2_str_22,被任命为军团长
STR_UI_GongHui_2_str_23,活跃
STR_UI_GongHui_2_str_24,信息
STR_UI_GongHui_2_str_25,领地
STR_UI_GongHui_2_str_26,活动
STR_UI_GongHui_2_str_27,成员
STR_UI_GongHui_2_str_28,退出军团
STR_UI_GongHui_2_str_29,退出
STR_UI_GongHui_2_str_30,是否退出******军团?
STR_UI_GongHui_2_str_31,更改军团名称
STR_UI_GongHui_2_str_32,更换标志
STR_UI_GongHui_2_str_33,更改
STR_UI_GongHui_2_str_34,请输入名称
STR_UI_GongHui_2_str_35,军团名称
STR_UI_GongHui_2_str_36,消耗:
STR_UI_GongHui_2_str_37,本次免费
STR_UI_GongHui_2_str_38,军团标志
STR_UI_GongHui_2_str_39,确定
STR_UI_GongHui_2_ChaKan_str_0,查 看
STR_UI_GongHui_2_ChaKan_str_1,加好友
STR_UI_GongHui_2_ChaKan_str_2,任命
STR_UI_GongHui_2_ChaKan_str_3,踢出
STR_UI_GongHui_2_ChaKan_str_4,玩家名几字
STR_UI_GongHui_2_ChaKan_str_5,转让
STR_UI_GongHui_2_ChaKan_str_6,副会长
STR_UI_GongHui_2_ChaKan_str_7,精英
STR_UI_GongHui_2_ChaKan_str_8,成员
STR_UI_GongHui_2_ChaKan_str_9,私聊
STR_UI_GongHui_2_ChengYuan_str_0,成员列表
STR_UI_GongHui_2_ChengYuan_str_1,职位
STR_UI_GongHui_2_ChengYuan_str_2,今日贡献
STR_UI_GongHui_2_ChengYuan_str_3,今日活跃
STR_UI_GongHui_2_ChengYuan_str_4,玩家名几字
STR_UI_GongHui_2_ChengYuan_str_5,在线
STR_UI_GongHui_2_FuBen_str_0,军团副本
STR_UI_GongHui_2_FuBen_str_1,进度
STR_UI_GongHui_2_FuBen_str_2,规则
STR_UI_GongHui_2_FuBen_str_3,第1关
STR_UI_GongHui_2_FuBen_str_4,排行
STR_UI_GongHui_2_FuBen_str_5,剩余进度:
STR_UI_GongHui_2_FuBen_str_6,第1关
STR_UI_GongHui_2_FuBen_str_7,排行
STR_UI_GongHui_2_FuBen_str_8,剩余进度:
