effectid,word1,r1,g1,b1,font1,icon1,mbr1,mbg1,mbb1,fontmb1,sprtips1,word2,r2,g2,b2,font2,icon2,mbr2,mbg2,mbb2,fontmb2,sprtips2
511,魔法暴击倍数提升,52,188,29,24,71,24,74,24,2,0,魔法暴击倍数降低,228,66,57,24,82,96,20,13,2,0
512,暴击倍数提升,52,188,29,24,71,24,74,24,2,0,暴击倍数降低,228,66,57,24,82,96,20,13,2,0
513,物理暴伤减免提升,52,188,29,24,71,24,74,24,2,0,物理暴伤减免降低,228,66,57,24,82,96,20,13,2,0
514,魔法暴伤减免提升,52,188,29,24,71,24,74,24,2,0,魔法暴伤害免降低,228,66,57,24,82,96,20,13,2,0
515,暴击伤害减免提升,52,188,29,24,71,24,74,24,2,0,暴击伤害减免降低,228,66,57,24,82,96,20,13,2,0
516,物理穿透提升,52,188,29,24,71,24,74,24,2,0,物理穿透降低,228,66,57,24,82,96,20,13,2,0
517,魔法穿透提升,52,188,29,24,71,24,74,24,2,0,魔法穿透降低,228,66,57,24,82,96,20,13,2,0
518,穿透提升,52,188,29,24,71,24,74,24,2,0,穿透降低,228,66,57,24,82,96,20,13,2,0
519,命中提升,52,188,29,24,71,24,74,24,2,0,命中降低,228,66,57,24,82,96,20,13,2,0
520,闪避提升,52,188,29,24,71,24,74,24,2,0,闪避降低,228,66,57,24,82,96,20,13,2,0
521,攻速降低,228,66,57,24,82,96,20,13,2,0,攻速提升,52,188,29,24,71,24,74,24,2,0
522,移速提升,52,188,29,24,71,24,74,24,2,0,移速降低,228,66,57,24,82,96,20,13,2,0
523,破击提升,52,188,29,24,71,24,74,24,2,0,破击降低,228,66,57,24,82,96,20,13,2,0
524,格挡提升,52,188,29,24,71,24,74,24,2,0,格挡降低,228,66,57,24,82,96,20,13,2,0
525,吸血提升,52,188,29,24,71,24,74,24,2,0,吸血降低,228,66,57,24,82,96,20,13,2,0
526,治疗提升,52,188,29,24,71,24,74,24,2,0,治疗降低,228,66,57,24,82,96,20,13,2,0
527,重伤,228,66,57,24,82,96,20,13,2,0,重伤,52,188,29,24,71,24,74,24,2,0
528,治愈提升,52,188,29,24,71,24,74,24,2,0,治愈降低,228,66,57,24,82,96,20,13,2,0
529,韧性提升,52,188,29,24,0,24,74,24,2,0,韧性降低,228,66,57,24,82,96,20,13,2,0
530,抵抗提升,52,188,29,24,0,24,74,24,2,0,抵抗降低,228,66,57,24,82,96,20,13,2,0
531,生命恢复提升,52,188,29,24,0,24,74,24,2,0,生命恢复降低,228,66,57,24,82,96,20,13,2,0
532,能量恢复提升,52,188,29,24,0,24,74,24,2,0,能量恢复降低,228,66,57,24,82,96,20,13,2,0
533,物理增伤率提升,52,188,29,24,0,24,74,24,2,0,物理增伤率降低,228,66,57,24,82,96,20,13,2,0
534,魔法增伤率提升,52,188,29,24,0,24,74,24,2,0,魔法增伤率降低,228,66,57,24,82,96,20,13,2,0
535,增伤率提升,52,188,29,24,0,24,74,24,2,0,增伤率降低,228,66,57,24,82,96,20,13,2,0
536,物理减伤率提升,52,188,29,24,0,24,74,24,2,0,物理减伤率降低,228,66,57,24,82,96,20,13,2,0
537,魔法减伤率提升,52,188,29,24,0,24,74,24,2,0,魔法减伤率降低,228,66,57,24,82,96,20,13,2,0
538,伤害减免提升,52,188,29,24,0,24,74,24,2,0,减伤率降低,228,66,57,24,82,96,20,13,2,0
539,真实攻击提升,52,188,29,24,0,24,74,24,2,0,真实攻击降低,228,66,57,24,82,96,20,13,2,0
540,真实防御提升,52,188,29,24,0,24,74,24,2,0,真实防御降低,228,66,57,24,82,96,20,13,2,0
541,真实伤害加成提升,52,188,29,24,0,24,74,24,2,0,真实伤害加成降低,228,66,57,24,82,96,20,13,2,0
542,真实伤害减免提升,52,188,29,24,0,24,74,24,2,0,真实伤害减免降低,228,66,57,24,82,96,20,13,2,0
4101,举盾,228,66,57,24,82,96,20,13,2,0,举盾,228,66,57,24,82,96,20,13,2,0
4102,缴械,228,66,57,24,82,96,20,13,2,0,缴械,228,66,57,24,82,96,20,13,2,0
4103,沉默,228,66,57,24,82,96,20,13,2,0,沉默,228,66,57,24,82,96,20,13,2,0
4104,魅惑,228,66,57,24,82,96,20,13,2,0,魅惑,228,66,57,24,82,96,20,13,2,0
4105,嘲讽,228,66,57,24,82,96,20,13,2,0,嘲讽,228,66,57,24,82,96,20,13,2,0
4106,恐惧,228,66,57,24,82,96,20,13,2,0,恐惧,228,66,57,24,82,96,20,13,2,0
4107,放逐,228,66,57,24,82,96,20,13,2,0,放逐,228,66,57,24,82,96,20,13,2,0
4108,隐身,228,66,57,24,82,96,20,13,2,0,隐身,228,66,57,24,82,96,20,13,2,0
4109,秘战技,228,66,57,24,82,96,20,13,2,0,秘战技,228,66,57,24,82,96,20,13,2,0
4110,缠绕,228,66,57,24,82,96,20,13,2,0,缠绕,228,66,57,24,82,96,20,13,2,0
4111,诅咒,228,66,57,24,82,96,20,13,2,0,诅咒,228,66,57,24,82,96,20,13,2,0
4112,决斗,228,66,57,24,82,96,20,13,2,0,锁定,228,66,57,24,82,96,20,13,2,0
4113,禁技,228,66,57,24,82,96,20,13,2,0,禁技,228,66,57,24,82,96,20,13,2,0
4114,晕眩,228,66,57,24,82,96,20,13,2,0,晕眩,228,66,57,24,82,96,20,13,2,0
4115,无敌,52,188,29,24,0,24,74,24,2,0,无敌,52,188,29,24,0,24,74,24,2,0
4116,定身,228,66,57,24,82,96,20,13,2,0,定身,228,66,57,24,82,96,20,13,2,0
4117,冻结,228,66,57,24,82,96,20,13,2,0,冻结,228,66,57,24,82,96,20,13,2,0
4118,冰冻,228,66,57,24,82,96,20,13,2,0,冰冻,228,66,57,24,82,96,20,13,2,0
4119,免疫物伤,52,188,29,24,0,24,74,24,2,0,免疫物伤,52,188,29,24,0,24,74,24,2,0
4120,免疫法伤,52,188,29,24,0,24,74,24,2,0,免疫法伤,52,188,29,24,0,24,74,24,2,0
4121,物理免疫,52,188,29,24,0,24,74,24,2,0,物理免疫,52,188,29,24,0,24,74,24,2,0
4122,魔法免疫,52,188,29,24,0,24,74,24,2,0,魔法免疫,52,188,29,24,0,24,74,24,2,0
4123,物理免疫,52,188,29,24,0,24,74,24,2,0,物理免疫,52,188,29,24,0,24,74,24,2,0
4124,魔法免疫,52,188,29,24,0,24,74,24,2,0,魔法免疫,52,188,29,24,0,24,74,24,2,0
4126,驱散,52,188,29,24,0,24,74,24,2,0,驱散,52,188,29,24,0,24,74,24,2,0
4127,净化,52,188,29,24,0,24,74,24,2,0,净化,52,188,29,24,0,24,74,24,2,0
4128,免疫伤害,52,188,29,24,0,24,74,24,2,0,免疫伤害,52,188,29,24,0,24,74,24,2,0
4129,免疫所有物理效果,52,188,29,24,0,24,74,24,2,0,免疫所有物理效果,52,188,29,24,0,24,74,24,2,0
4130,免疫所有魔法效果,52,188,29,24,0,24,74,24,2,0,免疫所有魔法效果,52,188,29,24,0,24,74,24,2,0
4131,免疫所有效果,52,188,29,24,0,24,74,24,2,0,免疫所有效果,52,188,29,24,0,24,74,24,2,0
4125,免疫控制,52,188,29,24,0,24,74,24,2,0,免疫控制,52,188,29,24,0,24,74,24,2,0
4311,格挡,52,188,29,24,0,24,74,24,2,0,格挡,52,188,29,24,0,24,74,24,2,0
4312,格挡,52,188,29,24,0,24,74,24,2,0,格挡,52,188,29,24,0,24,74,24,2,0
4313,格挡,52,188,29,24,0,24,74,24,2,0,格挡,52,188,29,24,0,24,74,24,2,0
4321,格挡,52,188,29,24,0,24,74,24,2,0,格挡,52,188,29,24,0,24,74,24,2,0
4322,格挡,52,188,29,24,0,24,74,24,2,0,格挡,52,188,29,24,0,24,74,24,2,0
4323,格挡,52,188,29,24,0,24,74,24,2,0,格挡,52,188,29,24,0,24,74,24,2,0
4504,献祭,52,188,29,24,0,24,74,24,2,0,献祭,52,188,29,24,0,24,74,24,2,0
4505,生命献祭,52,188,29,24,0,24,74,24,2,0,生命献祭,52,188,29,24,0,24,74,24,2,0
4401,物理反伤,52,188,29,24,0,24,74,24,2,0,物理反伤,52,188,29,24,0,24,74,24,2,0
4402,魔法反伤,52,188,29,24,0,24,74,24,2,0,魔法反伤,52,188,29,24,0,24,74,24,2,0
4403,物理弹伤,52,188,29,24,0,24,74,24,2,0,物理弹伤,52,188,29,24,0,24,74,24,2,0
4404,魔法弹伤,52,188,29,24,0,24,74,24,2,0,魔法弹伤,52,188,29,24,0,24,74,24,2,0
4132,生命链接,52,188,29,24,0,24,74,24,2,0,生命链接,52,188,29,24,0,24,74,24,2,0
4501,能量恢复提升,52,188,29,24,0,24,74,24,2,0,能量恢复降低,228,66,57,24,82,96,20,13,2,0
4502,攻击强化,52,188,29,24,0,24,74,24,2,0,攻击强化,52,188,29,24,0,24,74,24,2,0
4503,攻击强化,52,188,29,24,0,24,74,24,2,0,攻击强化,52,188,29,24,0,24,74,24,2,0
4301,破盾,52,188,29,24,0,24,74,24,2,0,破盾,52,188,29,24,0,24,74,24,2,0
4303,伤害转移,52,188,29,24,0,24,74,24,2,0,伤害转移,52,188,29,24,0,24,74,24,2,0
30001,打断,228,66,57,24,82,96,20,13,2,0,打断,228,66,57,24,82,96,20,13,2,0
30002,闪避,52,188,29,24,0,24,74,24,2,0,闪避,52,188,29,24,0,24,74,24,2,0
30003,未命中,52,188,29,24,0,24,74,24,2,0,未命中,52,188,29,24,0,24,74,24,2,0
30004,物理免疫,52,188,29,24,0,24,74,24,2,0,物理免疫,52,188,29,24,0,24,74,24,2,0
30005,魔法免疫,52,188,29,24,0,24,74,24,2,0,魔法免疫,52,188,29,24,0,24,74,24,2,0
30006,暴击,52,188,29,24,0,24,74,24,2,0,暴击,52,188,29,24,0,24,74,24,2,0
30007,格挡,52,188,29,24,0,24,74,24,2,0,格挡,52,188,29,24,0,24,74,24,2,0
30008,抵抗,52,188,29,24,0,24,74,24,2,0,抵抗,52,188,29,24,0,24,74,24,2,0
14102,缴械免疫,52,188,29,24,0,24,74,24,2,0,抵抗,52,188,29,24,0,24,74,24,2,0
14103,沉默免疫,52,188,29,24,0,24,74,24,2,0,抵抗,52,188,29,24,0,24,74,24,2,0
14104,魅惑免疫,52,188,29,24,0,24,74,24,2,0,抵抗,52,188,29,24,0,24,74,24,2,0
14105,嘲讽免疫,52,188,29,24,0,24,74,24,2,0,抵抗,52,188,29,24,0,24,74,24,2,0
14106,恐惧免疫,52,188,29,24,0,24,74,24,2,0,抵抗,52,188,29,24,0,24,74,24,2,0
14107,放逐免疫,52,188,29,24,0,24,74,24,2,0,抵抗,52,188,29,24,0,24,74,24,2,0
14108,隐身免疫,52,188,29,24,0,24,74,24,2,0,抵抗,52,188,29,24,0,24,74,24,2,0
14109,标记免疫,52,188,29,24,0,24,74,24,2,0,抵抗,52,188,29,24,0,24,74,24,2,0
14110,缠绕免疫,52,188,29,24,0,24,74,24,2,0,抵抗,52,188,29,24,0,24,74,24,2,0
14111,诅咒免疫,52,188,29,24,0,24,74,24,2,0,抵抗,52,188,29,24,0,24,74,24,2,0
14112,决斗免疫,52,188,29,24,0,24,74,24,2,0,抵抗,52,188,29,24,0,24,74,24,2,0
14113,禁技免疫,52,188,29,24,0,24,74,24,2,0,抵抗,52,188,29,24,0,24,74,24,2,0
14114,晕眩免疫,52,188,29,24,0,24,74,24,2,0,抵抗,52,188,29,24,0,24,74,24,2,0
14115,无敌免疫,52,188,29,24,0,24,74,24,2,0,抵抗,52,188,29,24,0,24,74,24,2,0
14116,定身免疫,52,188,29,24,0,24,74,24,2,0,抵抗,52,188,29,24,0,24,74,24,2,0
14117,冻结免疫,52,188,29,24,0,24,74,24,2,0,抵抗,52,188,29,24,0,24,74,24,2,0
14118,冰冻免疫,52,188,29,24,0,24,74,24,2,0,抵抗,52,188,29,24,0,24,74,24,2,0
20000,击败,100,150,255,24,0,20,40,90,2,0,能量,228,66,57,24,82,96,20,13,2,0
