id,type,xy
210,3,61105
211,3,63105
212,3,65105
213,3,59107
214,3,61107
215,3,63107
216,3,65107
217,3,59109
218,3,61109
219,3,63109
220,3,65109
221,3,57111
222,3,59111
223,3,61111
224,3,63111
225,3,55113
226,3,57113
227,3,59113
228,3,61113
229,3,53115
230,3,55115
231,3,57115
232,3,59115
233,3,51117
234,3,53117
235,3,55117
236,3,57117
237,3,49119
238,3,51119
239,3,53119
240,3,55119
241,3,49121
242,3,51121
243,3,53121
244,3,55121
245,3,49123
246,3,51123
247,3,53123
248,3,55123
249,3,49125
250,3,51125
251,3,53125
252,3,55125
253,3,49127
254,3,51127
255,3,53127
256,3,55127
257,3,49129
258,3,51129
259,3,53129
260,3,55129
261,3,47131
262,3,49131
263,3,51131
264,3,53131
265,3,45133
266,3,47133
267,3,49133
268,3,51133
269,3,43135
270,3,45135
271,3,47135
272,3,49135
273,3,41137
274,3,43137
275,3,45137
276,3,47137
277,3,39139
278,3,41139
279,3,43139
280,3,45139
281,3,39141
282,3,41141
283,3,43141
284,3,45141
285,3,39143
286,3,41143
287,3,43143
288,3,45143
289,3,39145
290,3,41145
291,3,43145
292,3,45145
293,3,39147
294,3,41147
295,3,43147
296,3,45147
297,3,39149
298,3,41149
299,3,43149
300,3,45149
301,2,99001
302,2,101001
303,2,103001
304,2,105001
305,2,99003
306,2,101003
307,2,103003
308,2,105003
309,2,99005
310,2,101005
311,2,103005
312,2,105005
313,2,99007
314,2,101007
315,2,103007
316,2,105007
317,2,99009
318,2,101009
319,2,103009
320,2,105009
321,2,97011
322,2,99011
323,2,101011
324,2,103011
325,2,95013
326,2,97013
327,2,99013
328,2,101013
329,2,93015
330,2,95015
331,2,97015
332,2,99015
333,2,91017
334,2,93017
335,2,95017
336,2,97017
337,2,89019
338,2,91019
339,2,93019
340,2,95019
341,2,89021
342,2,91021
343,2,93021
344,2,95021
345,2,89023
346,2,91023
347,2,93023
348,2,95023
349,2,89025
350,2,91025
351,2,93025
352,2,95025
353,2,89027
354,2,91027
355,2,93027
356,2,95027
357,2,89029
358,2,91029
359,2,93029
360,2,95029
361,2,87031
362,2,89031
363,2,91031
364,2,93031
365,2,85033
366,2,87033
367,2,89033
368,2,91033
369,2,83035
370,2,85035
371,2,87035
372,2,89035
373,2,81037
374,2,83037
375,2,85037
376,2,87037
377,2,79039
378,2,81039
379,2,83039
380,2,85039
381,2,79041
382,2,81041
383,2,83041
384,2,85041
385,2,79043
386,2,81043
387,2,83043
388,2,85043
389,2,79045
390,2,81045
391,2,83045
392,2,85045
393,2,79047
394,2,81047
395,2,83047
396,2,85047
397,2,79049
398,2,81049
399,2,83049
400,2,85049
401,3,77051
402,3,79051
403,3,81051
404,3,83051
405,3,75053
406,3,77053
407,3,79053
408,3,81053
409,3,73055
410,3,75055
411,3,77055
412,3,79055
413,3,71057
414,3,73057
415,3,75057
416,3,77057
417,3,69059
418,3,71059
419,3,73059
420,3,75059
421,3,69061
422,3,71061
423,3,73061
424,3,75061
425,3,69063
426,3,71063
427,3,73063
428,3,75063
429,3,69065
430,3,71065
431,3,73065
432,3,75065
433,3,69067
434,3,71067
435,3,73067
436,3,75067
437,3,69069
438,3,71069
439,3,73069
440,3,75069
441,3,67071
442,3,69071
443,3,71071
444,3,73071
445,3,65073
446,3,67073
447,3,69073
448,3,71073
449,3,63075
450,3,65075
451,3,67075
452,3,69075
453,3,61077
454,3,63077
455,3,65077
456,3,67077
457,3,59079
458,3,61079
459,3,63079
460,3,65079
461,3,59081
462,3,61081
463,3,63081
464,3,65081
465,3,59083
466,3,61083
467,3,63083
468,3,65083
469,3,59085
470,3,61085
471,3,63085
472,3,65085
473,3,59087
474,3,61087
475,3,63087
476,3,65087
477,3,59089
478,3,61089
479,3,63089
480,3,65089
481,3,57091
482,3,59091
483,3,61091
484,3,63091
485,3,55093
486,3,57093
487,3,59093
488,3,61093
489,3,53095
490,3,55095
491,3,57095
492,3,59095
493,3,51097
494,3,53097
495,3,55097
496,3,57097
497,3,49099
498,3,51099
499,3,53099
500,3,55099
501,3,49101
502,3,51101
503,3,53101
504,3,55101
505,3,49103
506,3,51103
507,3,53103
508,3,55103
509,3,49105
510,3,51105
511,3,53105
512,3,55105
513,3,49107
514,3,51107
515,3,53107
516,3,55107
517,3,49109
518,3,51109
519,3,53109
520,3,55109
521,3,47111
522,3,49111
523,3,51111
524,3,53111
525,3,45113
526,3,47113
527,3,49113
528,3,51113
529,3,43115
530,3,45115
531,3,47115
532,3,49115
533,3,41117
534,3,43117
535,3,45117
536,3,47117
537,3,39119
538,3,41119
539,3,43119
540,3,45119
541,3,39121
542,3,41121
543,3,43121
544,3,45121
545,3,39123
546,3,41123
547,3,43123
548,3,45123
549,3,39125
550,3,41125
551,3,43125
552,3,45125
553,3,39127
554,3,41127
555,3,43127
556,3,45127
557,3,39129
558,3,41129
559,3,43129
560,3,45129
561,3,37131
562,3,39131
563,3,41131
564,3,43131
565,3,35133
566,3,37133
567,3,39133
568,3,41133
569,3,33135
570,3,35135
571,3,37135
572,3,39135
573,3,31137
574,3,33137
575,3,35137
576,3,37137
577,3,29139
578,3,31139
579,3,33139
580,3,35139
581,3,29141
582,3,31141
583,3,33141
584,3,35141
585,3,29143
586,3,31143
587,3,33143
588,3,35143
589,3,29145
590,3,31145
591,3,33145
592,3,35145
593,3,29147
594,3,31147
595,3,33147
596,3,35147
597,3,29149
598,3,31149
599,3,33149
600,3,35149
601,3,95001
602,3,97001
603,3,107001
604,3,117001
605,3,119001
606,3,95003
607,3,97003
608,3,107003
609,3,117003
610,3,119003
611,3,95005
612,3,97005
613,3,107005
614,3,117005
615,3,119005
616,3,95007
617,3,97007
618,3,107007
619,3,117007
620,3,119007
621,3,95009
622,3,97009
623,3,107009
624,3,117009
625,3,119009
626,3,93011
627,3,95011
628,3,105011
629,3,115011
630,3,117011
631,3,91013
632,3,93013
633,3,103013
634,3,113013
635,3,115013
636,3,89015
637,3,91015
638,3,101015
639,3,111015
640,3,113015
641,3,87017
642,3,89017
643,3,99017
644,3,109017
645,3,111017
646,3,85019
647,3,87019
648,3,97019
649,3,107019
650,3,109019
651,3,85021
652,3,87021
653,3,97021
654,3,107021
655,3,109021
656,3,85023
657,3,87023
658,3,97023
659,3,107023
660,3,109023
661,3,85025
662,3,87025
663,3,97025
664,3,107025
665,3,109025
666,3,85027
667,3,87027
668,3,97027
669,3,107027
670,3,109027
671,3,85029
672,3,87029
673,3,97029
674,3,107029
675,3,109029
676,3,83031
677,3,85031
678,3,95031
679,3,105031
680,3,107031
681,3,81033
682,3,83033
683,3,93033
684,3,103033
685,3,105033
686,3,79035
687,3,81035
688,3,91035
689,3,101035
690,3,103035
691,3,77037
692,3,79037
693,3,89037
694,3,99037
695,3,101037
696,3,75039
697,3,77039
698,3,87039
699,3,97039
700,3,99039
701,3,75041
702,3,77041
703,3,87041
704,3,97041
705,3,99041
706,3,75043
707,3,77043
708,3,87043
709,3,97043
710,3,99043
711,3,75045
712,3,77045
713,3,87045
714,3,97045
715,3,99045
716,3,75047
717,3,77047
718,3,87047
719,3,97047
720,3,99047
721,3,75049
722,3,77049
723,3,87049
724,3,97049
725,3,99049
726,3,73051
727,3,75051
728,3,85051
729,3,95051
730,3,97051
731,3,71053
732,3,73053
733,3,83053
734,3,93053
735,3,95053
736,3,69055
737,3,71055
738,3,81055
739,3,91055
740,3,93055
741,3,67057
742,3,69057
743,3,79057
744,3,89057
745,3,91057
746,3,65059
747,3,67059
748,3,77059
749,3,87059
750,3,89059
751,3,65061
752,3,67061
753,3,77061
754,3,87061
755,3,89061
756,3,65063
757,3,67063
758,3,77063
759,3,87063
760,3,89063
761,3,65065
762,3,67065
763,3,77065
764,3,87065
765,3,89065
766,3,65067
767,3,67067
768,3,77067
769,3,87067
770,3,89067
771,3,65069
772,3,67069
773,3,77069
774,3,87069
775,3,89069
776,3,63071
777,3,65071
778,3,75071
779,3,85071
780,3,87071
781,3,61073
782,3,63073
783,3,73073
784,3,83073
785,3,85073
786,3,59075
787,3,61075
788,3,71075
789,3,81075
790,3,83075
791,3,57077
792,3,59077
793,3,69077
794,3,79077
795,3,81077
796,3,55079
797,3,57079
798,3,67079
799,3,77079
800,3,79079
801,3,55081
802,3,57081
803,3,67081
804,3,77081
805,3,79081
806,3,55083
807,3,57083
808,3,67083
809,3,77083
810,3,79083
811,3,55085
812,3,57085
813,3,67085
814,3,77085
815,3,79085
816,3,55087
817,3,57087
818,3,67087
819,3,77087
820,3,79087
821,3,55089
822,3,57089
823,3,67089
824,3,77089
825,3,79089
826,3,53091
827,3,55091
828,3,65091
829,3,75091
830,3,77091
831,3,51093
832,3,53093
833,3,63093
834,3,73093
835,3,75093
836,3,49095
837,3,51095
838,3,61095
839,3,71095
840,3,73095
841,3,47097
842,3,49097
843,3,59097
844,3,69097
845,3,71097
846,3,45099
847,3,47099
848,3,57099
849,3,67099
850,3,69099
851,3,45101
852,3,47101
853,3,57101
854,3,67101
855,3,69101
856,3,45103
857,3,47103
858,3,57103
859,3,67103
860,3,69103
861,3,45105
862,3,47105
863,3,57105
864,3,67105
865,3,69105
866,3,45107
867,3,47107
868,3,57107
869,3,67107
870,3,69107
871,3,45109
872,3,47109
873,3,57109
874,3,67109
875,3,69109
876,3,43111
877,3,45111
878,3,55111
879,3,65111
880,3,67111
881,3,41113
882,3,43113
883,3,53113
884,3,63113
885,3,65113
886,3,39115
887,3,41115
888,3,51115
889,3,61115
890,3,63115
891,3,37117
892,3,39117
893,3,49117
894,3,59117
895,3,61117
896,3,35119
897,3,37119
898,3,47119
899,3,57119
900,3,59119
901,3,35121
902,3,37121
903,3,47121
904,3,57121
905,3,59121
906,3,35123
907,3,37123
908,3,47123
909,3,57123
910,3,59123
911,3,35125
912,3,37125
913,3,47125
914,3,57125
915,3,59125
916,3,35127
917,3,37127
918,3,47127
919,3,57127
920,3,59127
921,3,35129
922,3,37129
923,3,47129
924,3,57129
925,3,59129
926,3,33131
927,3,35131
928,3,45131
929,3,55131
930,3,57131
931,3,31133
932,3,33133
933,3,43133
934,3,53133
935,3,55133
936,3,29135
937,3,31135
938,3,41135
939,3,51135
940,3,53135
941,3,27137
942,3,29137
943,3,39137
944,3,49137
945,3,51137
946,3,25139
947,3,27139
948,3,37139
949,3,47139
950,3,49139
951,3,25141
952,3,27141
953,3,37141
954,3,47141
955,3,49141
956,3,25143
957,3,27143
958,3,37143
959,3,47143
960,3,49143
961,3,25145
962,3,27145
963,3,37145
964,3,47145
965,3,49145
966,3,25147
967,3,27147
968,3,37147
969,3,47147
970,3,49147
971,3,25149
972,3,27149
973,3,37149
974,3,47149
975,3,49149
