id,description,maintype,subtype,opacity,scene_tag,open_touch,reset_id,back_id,next_id,open_name,open_event,open_event1,open_subui,ui_name,node_name,btn_event1,btn_event2,special_event,special_eventfunc,delaytime,showfinger,fingertype,savenow,hide_node,story,pos,add_x,add_y,city_x,city_y,dec,jump_x,jump_y
19,点击中间的拳头,1,1,0,4,1,16,16,20,hero_systemUI,0,0,0,hero_systemUI,"{""pan_center_right"",""bg"",""skill_bg"",""pan_bar"",""Image_57""}",0,0,0,0,0,1,1,1,0,1020404,0,0,0,0,0,0,0,0
20,点击一键升星,1,1,0,4,1,16,16,21,hero_starUpUI,0,0,0,hero_starUpUI,"{""pan_main"",""btn_star""}",guide_mgr.setTouchEvent(2),mod_user.saveNowGuide(21),0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
21,关闭反馈界面,1,2,0,4,0,23,23,22,hero_starUpLevelUI,0,0,0,hero_starUpLevelUI,this,"guide_mgr.doGuideOpenStep(""hero_systemUI"")",guide_mgr.setTouchEvent(1),0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
22,点击返回,1,1,0,4,1,23,23,25,hero_systemUI,0,0,0,hero_systemUI,"{""pan_top_left"",""bg"",""btn_back""}","ui_mgr.openUI(""newChapterFightUI"")",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
23,点击第一章(掉线),1,1,0,1,1,23,23,24,levelMapUI,0,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item1"",""guide_image""}",0,0,0,0,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0
24,点击左上角 1-2 精灵狐妖,1,1,0,4,1,23,23,25,newChapterMainUI,0,0,0,newChapterMainUI,"{""pan_main"",""pan_mixin"",""bg""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
25,点击 达成 按钮,1,1,0,4,1,23,23,26,newChapterFightUI,0,0,0,newChapterFightUI,"{""pan_center_right"",""bg"",""pan_fight"",""pan_tanpan"",""btn_quanxiang""}",0,0,0,0,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0
26,弹出恭喜获得界面,1,2,0,4,0,27,27,28,acquire_itemUI,0,0,0,acquire_itemUI,this,"ui_mgr.openUI(""newChapterMainUI"")",0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0
27,点击第一章(掉线),1,1,0,1,1,27,27,28,levelMapUI,0,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item1"",""guide_image""}",0,0,0,0,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0
28,点击左上角的 1-3 突围,1,1,0,4,1,27,27,29,newChapterMainUI,0,0,0,newChapterMainUI,"{""pan_main"",""pan_mixin"",""bg""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
29,点击战斗,1,1,0,4,1,27,27,30,newChapterFightUI,0,0,0,newChapterFightUI,"{""pan_center_right"",""bg"",""pan_fight"",""btn_fight""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
30,战斗结算界面,1,2,0,4,0,31,31,32,fight_winUI,0,0,0,fight_winUI,this,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
31,点击第一章(掉线),1,1,0,1,1,31,31,32,levelMapUI,0,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item1"",""guide_image""}",0,0,0,0,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0
32,点击左上角 1-4 兽人头领,1,1,0,4,1,31,31,33,newChapterMainUI,0,0,0,newChapterMainUI,"{""pan_main"",""pan_mixin"",""bg""}",0,0,2,"guide_mgr.findEquipbag(20000013,500)",0,1,1,1,0,0,0,0,0,0,0,0,0,0
500,点击第一章(掉线),1,1,0,1,1,500,500,33,levelMapUI,0,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item1"",""guide_image""}",0,0,0,0,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0
33,点击阵容,1,1,0,4,1,500,500,34,newChapterMainUI,0,0,0,newChapterMainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,0,0,1,1,1,0,101011,0,0,0,0,0,0,0,0
34,点击获取到装备类型的方格,1,1,0,4,1,500,500,35,battle_arrayUI,0,0,0,battle_arrayUI,"{""pan_center_left"",""bg"",""item_3""}",0,0,0,0,0,1,1,1,0,101021,0,0,0,0,0,0,0,0
35,点击装备穿戴,1,1,0,1,1,500,500,38,equip_windowUI,0,0,0,equip_windowUI,"{""pan_main"",""guide_use""}","ui_mgr.openUI(""battle_arrayUI"")",0,0,0,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0
36,点击第一章(掉线),1,1,0,1,1,36,36,37,levelMapUI,0,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item1"",""guide_image""}",0,0,0,0,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0
37,点击阵容(掉线),1,1,0,4,1,36,36,38,newChapterMainUI,0,0,0,newChapterMainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
38,点击装备,1,1,0,4,1,36,36,39,battle_arrayUI,0,0,0,battle_arrayUI,"{""pan_center_left"",""bg"",""item_3""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
39,点击前往强化,1,1,0,4,1,36,36,40,equipInfo_windowUI,0,0,0,equipInfo_windowUI,"{""pan_main"",""btn_hecheng""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
40,点击强化一次,1,1,0,4,1,36,36,45,equip_mainUI,0,0,0,equip_mainUI,"{""pan_right"",""right_bg"",""pan_intensify"",""btn_intensify_1""}","guide_mgr.doGuideOpenStep(""equip_mainUI"")",0,0,0,0,1,1,1,0,101081,0,0,0,0,0,0,0,0
41,点击第一章(掉线),1,1,0,1,1,41,41,42,levelMapUI,0,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item1"",""guide_image""}",0,0,0,0,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0
42,点击阵容,1,1,0,4,1,41,41,43,newChapterMainUI,0,0,0,newChapterMainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
43,点击穿戴好的装备,1,1,0, ,1,41,41,44,battle_arrayUI,0,0,0,battle_arrayUI,"{""pan_center_left"",""bg"",""item_3""}",0,0,0,0,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0
44,点击前往强化,1,1,0,4,1,41,41,45,equipInfo_windowUI,0,0,0,equipInfo_windowUI,"{""pan_main"",""btn_hecheng""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
45,点击强化10次,1,1,0,4,1,41,41,46,equip_mainUI,0,0,0,equip_mainUI,"{""pan_right"",""right_bg"",""pan_intensify"",""btn_intensify_max""}","guide_mgr.doGuideOpenStep(""equip_mainUI"")",0,0,0,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0
46,点击返回,1,1,0,4,1,47,47,48,equip_mainUI,0,0,0,equip_mainUI,"{""pan_top_left"",""img_bg"",""btn_back""}","ui_mgr.openUI(""newChapterMainUI"")",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
47,点击第一章(掉线),1,1,0,1,1,47,47,48,levelMapUI,0,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item1"",""guide_image""}",0,0,0,0,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0
48,点击左上角 1-5 兽人头领,1,1,0,4,1,47,47,49,newChapterMainUI,0,0,0,newChapterMainUI,"{""pan_main"",""pan_mixin"",""bg""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
49,点击战斗,1,1,0,4,1,47,47,50,newChapterFightUI,0,0,0,newChapterFightUI,"{""pan_center_right"",""bg"",""pan_fight"",""btn_fight""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
50,战斗结算界面,1,2,0,4,0,51,51,52,fight_winUI,0,0,0,fight_winUI,this,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
51,点击第二章(掉线),1,1,0,1,1,51,51,52,levelMapUI,0,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item2"",""guide_image""}",0,0,0,0,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0
52,点击巨兽,1,1,0,4,1,51,51,53,newChapterMainUI,0,0,0,newChapterMainUI,"{""pan_right_down"",""btn_list"",""btn_6""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
53,点击兑换,1,1,0,4,1,51,51,54,big_beastUI,0,0,0,big_beastUI,"{""pan_center"",""bg"",""main"",""btn_duihuan""}",0,0,0,0,0,1,1,1,0,211031,0,0,0,0,0,0,0,0
54,点击确定按钮,1,1,0,4,1,51,51,55,big_beastHintUI,0,0,0,big_beastHintUI,"{""pan_main"",""btn_ok""}","ui_mgr.openUI(""big_beastUI"")",0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
55,点击返回,1,1,0,4,1,60,60,60,big_beastUI,0,0,0,big_beastUI,"{""pan_top_left"",""bg"",""btn_back""}",guide_mgr.goNextMap() ,guide_mgr.setTouchEvent(2),3,"guide_mgr.judgeLevelPass(2,60,""newChapterMainUI"")",0,1,1,2,0,0,0,0,0,0,0,0,0,0
60,点击第二章(掉线),1,1,0,1,1,60,60,61,levelMapUI,0,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item2"",""guide_image""}",0,0,0,0,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0
61,点击左上角 2-1 新主城,1,1,0,4,1,60,60,62,newChapterMainUI,0,0,0,newChapterMainUI,"{""pan_main"",""pan_mixin"",""bg""}",guide_mgr.setTouchEvent(1),0,0,0,0,1,1,1,0,2010101,0,0,0,0,0,0,0,0
62,点击战斗,1,1,0,4,1,60,60,63,newChapterFightUI,0,0,0,newChapterFightUI,"{""pan_center_right"",""bg"",""pan_fight"",""btn_fight""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
63,触发战斗时引导集火,1,1,0,4,1,60,60,64,0,0,0,0,fight_pvpUI,"{""110201"",""0""}",0,0,0,0,2,1,1,2,0,0,1,350,350,0,0,点击牢笼，解救人质!,0,0
64,战斗结算界面,1,2,0,4,0,65,65,66,fight_winUI,0,0,0,fight_winUI,this,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
65,点击第二章(掉线),1,1,0,1,1,65,65,66,levelMapUI,0,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item2"",""guide_image""}",0,0,0,0,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0
66,点击左上角 探索关卡新主城,1,1,0,4,1,65,65,67,newChapterMainUI,0,0,0,newChapterMainUI,"{""pan_main"",""pan_mixin"",""bg""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
67,点击搜索(支线主城),1,1,0,4,1,65,65,68,newChapterFightUI,0,0,0,newChapterFightUI,"{""pan_center_right"",""bg"",""pan_sousuo"",""btn_sousuo""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
68,小游戏,1,2,0,4,0,65,65,69,Game_Small_1_UI,0,0,0,Game_Small_1_UI,this,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
69,弹出恭喜获得界面,1,2,0,1,0,999,999,70,acquire_itemUI,0,0,0,acquire_itemUI,this,guide_mgr.goNextMap() ,0,1,0,0,2,,2,0,0,0,0,0,0,0,0,0,0
999,点击第二章(掉线),1,1,0,1,1,999,999,1000,levelMapUI,0,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item2"",""guide_image""}",0,0,0,0,0.01,1,1,1,0,2010001,0,0,0,0,0,0,0,0
1000,点击左上角 2-1 新主城,1,1,0,4,1,999,999,70,newChapterMainUI,0,0,0,newChapterMainUI,"{""pan_main"",""pan_mixin"",""bg""}",guide_mgr.setTouchEvent(1),0,2,"guide_mgr.judgeEventIsPass(203,1000,""game_mainUI"")",0,1,1,1,0,2010101,0,0,0,0,0,0,0,0
70,点击召唤按钮（掉线+原步骤）,1,1,0,1,1,999,999,71,game_mainUI,0,0,game_mainUI,game_mainUI,"{""pan_top_right"",""btn_3""}",0,0,0,0,0,1,1,1,0,2010404,0,0,0,0,0,0,0,0
71,点击基础召唤 召唤一次,1,1,0,1,1,999,999,1010,summon_hallUI,0,0,0,summon_hallUI,"{""pan_center"",""low"",""btn_one""}",guide_mgr.setTouchEvent(2),0,0,0,0,1,1,1,0,2010501,0,0,0,0,0,0,0,0
1010,点击恭喜获得,1,2,0,1,0,73,73,72,summon_getNewHeroUI,mod_user.savezy(1010)  ,0,0,summon_getNewHeroUI,this,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
72,点击返回按钮,1,1,0,1,1,73,73,74,summon_awardUI,guide_mgr.setTouchEvent(1),0,0,summon_awardUI,"{""pan_top_left"",""btn_back""}","ui_mgr.openUI(""summon_hallUI"")",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
73,点击主城召唤按钮（掉线）,1,1,0,1,1,73,73,74,game_mainUI,0,0,game_mainUI,game_mainUI,"{""pan_top_right"",""btn_3""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
74,点击高级召唤 召唤一次,1,1,0,1,1,73,73,1020,summon_hallUI,0,0,summon_hallUI,summon_hallUI,"{""pan_center"",""high"",""btn_one""}",guide_mgr.setTouchEvent(2),0,0,0,0,1,1,1,0,2010601,0,0,0,0,0,0,0,0
1020,点击恭喜获得,1,2,0,1,0,76,76,75,summon_getNewHeroUI,mod_user.savezy(1020)  ,0,0,summon_getNewHeroUI,this,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
75,点击返回按钮,1,1,0,1,1,76,76,76,summon_awardUI,guide_mgr.setTouchEvent(1),0,0,summon_awardUI,"{""pan_top_left"",""btn_back""}","ui_mgr.closeUI(""summon_hallUI"")","ui_mgr.openUI(""game_mainUI"")",0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
76,点击主城阵容按钮(掉线+原),1,1,0,1,1,76,76,77,game_mainUI,"ui_mgr.closeUI(""summon_awardUI"")",0,game_mainUI,game_mainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,0,0,1,1,1,0,2010701,0,0,0,0,0,0,0,0
77,点击4号位加号,1,1,0,1,1,76,76,78,battle_arrayUI,0,0,battle_arrayUI,battle_arrayUI,"{""pan_down_center"",""bg"",""item_4""}",0,0,0,0,0,1,1,1,0,2010801,0,0,0,0,0,0,0,0
78,选择未上阵--英雄1,1,1,0,1,1,76,76,80,hero_windowUI,0,0,hero_windowUI,hero_windowUI,"{""pan_main"",""guide_use_2""}","ui_mgr.openUI(""battle_arrayUI"")",0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
79,点击主城阵容按钮（掉线）,1,1,0,1,1,79,79,80,game_mainUI,0,0,game_mainUI,game_mainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
80,点击5号位加号,1,1,0,1,1,79,79,81,battle_arrayUI,0,0,battle_arrayUI,battle_arrayUI,"{""pan_down_center"",""bg"",""item_5""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
81,选择未上阵--英雄1,1,1,0,1,1,79,79,83,hero_windowUI,0,0,hero_windowUI,hero_windowUI,"{""pan_main"",""guide_use""}","ui_mgr.openUI(""battle_arrayUI"")",0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
82,点击主城阵容按钮(掉线),1,1,0,1,1,82,82,83,game_mainUI,0,0,game_mainUI,game_mainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
83,点击布阵按钮,1,1,0,1,1,82,82,84,battle_arrayUI,0,0,battle_arrayUI,battle_arrayUI,"{""pan_down_center"",""bg"",""btn_embattle""}",0,0,0,0,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0
84,2号位移动到4号位的效果指引表现,1,1,0,1,1,82,82,85,battle_gofightUI,0,0,battle_gofightUI,battle_gofightUI,"{""pan_main"",""item_guide""}",0,0,0,0,0,1,2,2,0,2010901,0,0,0,0,0,0,0,0
85,点击X,1,1,0,1,1,87,87,86,battle_gofightUI,0,0,battle_gofightUI,battle_gofightUI,"{""pan_main"",""btn_close""}","ui_mgr.openUI(""battle_arrayUI"")",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
86,点击返回,1,1,0,1,1,87,87,87,battle_arrayUI,0,0,battle_arrayUI,battle_arrayUI,"{""pan_top_left"",""img_bg"",""btn_back""}","ui_mgr.openUI(""game_mainUI"")",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
87,点击关卡按钮（掉线+原步骤）,1,1,0,1,1,87,87,88,game_mainUI,0,0,0,game_mainUI,"{""pan_right_down"",""btn_world""}",0,0,0,0,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0
88,点击左上角 2-2 新主城,1,1,0,4,1,87,87,89,newChapterMainUI,0,0,0,newChapterMainUI,"{""pan_main"",""pan_mixin"",""bg""}",0,0,0,0,0,1,1,1,0,2020101,0,0,0,0,0,0,0,0
89,点击战斗,1,1,0,4,1,87,87,90,newChapterFightUI,0,0,0,newChapterFightUI,"{""pan_center_right"",""bg"",""pan_fight"",""btn_fight""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
90,战斗结算界面,1,2,0,4,0,91,91,92,fight_winUI,0,0,0,fight_winUI,this,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
91,点击关卡按钮（掉线）,1,1,0,1,1,91,91,92,game_mainUI,0,0,0,game_mainUI,"{""pan_right_down"",""btn_world""}",0,0,0,0,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0
92,点击爵位（关卡）,1,1,0,4,1,91,91,93,newChapterMainUI,0,0,0,newChapterMainUI,"{""pan_right_down"",""btn_task_0""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
93,点击左边领取,1,1,0,1,1,91,91,94,nobilityUI,0,0,nobilityUI,nobilityUI,"{""pan_center"",""guide_1""}",0,0,0,0,0,1,1,1,0,212011,0,0,0,0,0,0,0,0
94,弹出恭喜获得界面,1,2,0,1,0,95,95,97,acquire_itemUI,0,0,0,acquire_itemUI,this,"ui_mgr.openUI(""nobilityUI"")",0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
95,点击关卡按钮（掉线）,1,1,0,1,1,95,95,96,game_mainUI,0,0,game_mainUI,game_mainUI,"{""pan_right_down"",""btn_world""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
96,点击爵位（关卡）,1,1,0,4,1,95,95,97,newChapterMainUI,0,0,0,newChapterMainUI,"{""pan_right_down"",""btn_task_0""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
97,点击右边领取,1,1,0,4,1,95,95,98,nobilityUI,0,0,0,nobilityUI,"{""pan_center"",""guide_2""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
98,弹出恭喜获得界面,1,2,0,1,0,100004,100004,99,acquire_itemUI,0,0,0,acquire_itemUI,this,"ui_mgr.openUI(""nobilityUI"")",0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
99,点击返回,1,1,0,4,1,100004,100004,100004,nobilityUI,0,0,0,nobilityUI,"{""pan_top_left"",""bg"",""btn_back""}",guide_mgr.closeGuide(),0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
10001,弹出首充界面,2,2,0,4,0,10002,10002,10002,newChapterMainUI,mod_user.savezy(10002),0,first_rechargeUI,newChapterMainUI,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
10101,触发战斗时引导集火（3-1）,2,1,0,4,1,10102,10102,10102,0,0,0,0,fight_pvpUI,"{""110301"",""0""}",0,0,0,0,0,1,1,2,0,0,1,550,380,0,0,集火战术塔，使其敌方所有军队持续受到伤害!,0,0
20101,点击回城,2,1,0,4,1,20102,20102,20102,newChapterMainUI,0,0,0,newChapterMainUI,"{""pan_right_down"",""btn_world""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
20102,点击祭坛,2,1,0,1,1,20102,20102,20103,game_mainUI,0,0,0,game_mainUI,"{""pan_main"",""bg_city"",""btn_1"",""title""}",0,0,0,0,0,1,1,1,0,200021,0,0,0,-276,-254,0,0,0
20103,点击分解功能,2,1,0,1,1,20102,20102,20104,recycle_systemUI,0,0,0,recycle_systemUI,"{""pan_main"",""pan_fenjie"",""bg"",""Image_6_0"",""Image_10""}","ui_mgr.closeUI(""recycle_systemUI"")",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
20104,点击英雄标签,2,1,0,1,1,20102,20102,20105,recycle_decomposeUI,0,0,0,recycle_decomposeUI,"{""pan_center_left"",""bg"",""btn_2""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
20105,自动引导至ID为12200601点击,2,1,0,1,1,20102,20102,20106,recycle_decomposeUI,0,0,0,recycle_decomposeUI,"{""pan_center_right"",""right_bg"",""pan_list"",""tableview"",""12200601"",""layer%d"",""item"",""icon_item""}","ui_mgr.openUI(""recycle_decomposeUI"")",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
20106,点击分解,2,1,0,1,1,20102,20102,20107,recycle_decomposeUI,0,0,0,recycle_decomposeUI,"{""pan_center"",""btn_fenjie""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
20107,分解弹窗框,2,2,0,1,0,20109,20109,20108,acquire_itemUI,0,0,0,acquire_itemUI,this,"ui_mgr.openUI(""recycle_decomposeUI"")",0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
20108,点击返回,2,1,0,1,1,20109,20109,20109,recycle_decomposeUI,0,0,0,recycle_decomposeUI,"{""pan_top_left"",""bg"",""btn_back""}","ui_mgr.openUI(""recycle_decomposeUI"")",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
20109,镜头移动到市场，点击,2,1,0,1,1,20109,20109,20110,game_mainUI,0,0,game_mainUI,game_mainUI,"{""pan_main"",""bg_city"",""btn_3"",""title""}",0,0,0,0,0,1,1,1,0,200011,0,0,0,198,80,0,0,0
20110,选择第一个,2,1,0,1,1,20109,20109,20111,shop_mainUI,0,0,shop_mainUI,shop_mainUI,"{""pan_center"",""item_2_zy""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
20111,购买,2,1,0,1,1,20112,20112,20112,shopbuyUI,mod_user.savezy(20112),0,shopbuyUI,shopbuyUI,"{""pan_main"",""btn_buy""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
20201,点击回城,2,1,0,4,1,20204,20204,20202,newChapterMainUI,0,0,0,newChapterMainUI,"{""pan_right_down"",""btn_world""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
