id,growthlevel,type,growthtype1,growthvalue1,growthtype2,growthvalue2,growthtype3,growthvalue3,growthtype4,growthvalue4,growthtype5,growthvalue5
62,62,1,1,43350,2,43350,3,43350,99,43350,0,0
63,63,1,1,44175,2,44175,3,44175,99,44175,0,0
64,64,1,1,45000,2,45000,3,45000,99,45000,0,0
65,65,1,1,45825,2,45825,3,45825,99,45825,0,0
66,66,1,1,46650,2,46650,3,46650,99,46650,0,0
67,67,1,1,47475,2,47475,3,47475,99,47475,0,0
68,68,1,1,48300,2,48300,3,48300,99,48300,0,0
69,69,1,1,49125,2,49125,3,49125,99,49125,0,0
70,70,1,1,49950,2,49950,3,49950,99,49950,0,0
71,71,1,1,50775,2,50775,3,50775,99,50775,0,0
72,72,1,1,51600,2,51600,3,51600,99,51600,0,0
73,73,1,1,52425,2,52425,3,52425,99,52425,0,0
74,74,1,1,53250,2,53250,3,53250,99,53250,0,0
75,75,1,1,54075,2,54075,3,54075,99,54075,0,0
76,76,1,1,54900,2,54900,3,54900,99,54900,0,0
77,77,1,1,55725,2,55725,3,55725,99,55725,0,0
78,78,1,1,56550,2,56550,3,56550,99,56550,0,0
79,79,1,1,57375,2,57375,3,57375,99,57375,0,0
80,80,1,1,58200,2,58200,3,58200,99,58200,0,0
81,81,2,1,69200,2,69200,3,69200,99,69200,0,0
82,82,1,1,70400,2,70400,3,70400,99,70400,0,0
83,83,1,1,71600,2,71600,3,71600,99,71600,0,0
84,84,1,1,72800,2,72800,3,72800,99,72800,0,0
85,85,1,1,74000,2,74000,3,74000,99,74000,0,0
86,86,1,1,75200,2,75200,3,75200,99,75200,0,0
87,87,1,1,76400,2,76400,3,76400,99,76400,0,0
88,88,1,1,77600,2,77600,3,77600,99,77600,0,0
89,89,1,1,78800,2,78800,3,78800,99,78800,0,0
90,90,1,1,80000,2,80000,3,80000,99,80000,0,0
91,91,1,1,81200,2,81200,3,81200,99,81200,0,0
92,92,1,1,82400,2,82400,3,82400,99,82400,0,0
93,93,1,1,83600,2,83600,3,83600,99,83600,0,0
94,94,1,1,84800,2,84800,3,84800,99,84800,0,0
95,95,1,1,86000,2,86000,3,86000,99,86000,0,0
96,96,1,1,87200,2,87200,3,87200,99,87200,0,0
97,97,1,1,88400,2,88400,3,88400,99,88400,0,0
98,98,1,1,89600,2,89600,3,89600,99,89600,0,0
99,99,1,1,90800,2,90800,3,90800,99,90800,0,0
100,100,1,1,92000,2,92000,3,92000,99,92000,0,0
101,101,2,1,107000,2,107000,3,107000,99,107000,0,0
102,102,1,1,108700,2,108700,3,108700,99,108700,0,0
103,103,1,1,110400,2,110400,3,110400,99,110400,0,0
104,104,1,1,112100,2,112100,3,112100,99,112100,0,0
105,105,1,1,113800,2,113800,3,113800,99,113800,0,0
106,106,1,1,115500,2,115500,3,115500,99,115500,0,0
107,107,1,1,117200,2,117200,3,117200,99,117200,0,0
108,108,1,1,118900,2,118900,3,118900,99,118900,0,0
109,109,1,1,120600,2,120600,3,120600,99,120600,0,0
110,110,1,1,122300,2,122300,3,122300,99,122300,0,0
111,111,1,1,124000,2,124000,3,124000,99,124000,0,0
112,112,1,1,125700,2,125700,3,125700,99,125700,0,0
113,113,1,1,127400,2,127400,3,127400,99,127400,0,0
114,114,1,1,129100,2,129100,3,129100,99,129100,0,0
115,115,1,1,130800,2,130800,3,130800,99,130800,0,0
116,116,1,1,132500,2,132500,3,132500,99,132500,0,0
117,117,1,1,134200,2,134200,3,134200,99,134200,0,0
118,118,1,1,135900,2,135900,3,135900,99,135900,0,0
119,119,1,1,137600,2,137600,3,137600,99,137600,0,0
120,120,1,1,139300,2,139300,3,139300,99,139300,0,0
121,121,2,1,160300,2,160300,3,160300,99,160300,0,0
122,122,1,1,162800,2,162800,3,162800,99,162800,0,0
123,123,1,1,165300,2,165300,3,165300,99,165300,0,0
124,124,1,1,167800,2,167800,3,167800,99,167800,0,0
125,125,1,1,170300,2,170300,3,170300,99,170300,0,0
126,126,1,1,172800,2,172800,3,172800,99,172800,0,0
127,127,1,1,175300,2,175300,3,175300,99,175300,0,0
128,128,1,1,177800,2,177800,3,177800,99,177800,0,0
129,129,1,1,180300,2,180300,3,180300,99,180300,0,0
130,130,1,1,182800,2,182800,3,182800,99,182800,0,0
131,131,1,1,185300,2,185300,3,185300,99,185300,0,0
132,132,1,1,187800,2,187800,3,187800,99,187800,0,0
133,133,1,1,190300,2,190300,3,190300,99,190300,0,0
134,134,1,1,192800,2,192800,3,192800,99,192800,0,0
135,135,1,1,195300,2,195300,3,195300,99,195300,0,0
136,136,1,1,197800,2,197800,3,197800,99,197800,0,0
137,137,1,1,200300,2,200300,3,200300,99,200300,0,0
138,138,1,1,202800,2,202800,3,202800,99,202800,0,0
139,139,1,1,205300,2,205300,3,205300,99,205300,0,0
140,140,1,1,207800,2,207800,3,207800,99,207800,0,0
141,141,2,1,236800,2,236800,3,236800,99,236800,0,0
142,142,1,1,240300,2,240300,3,240300,99,240300,0,0
143,143,1,1,243800,2,243800,3,243800,99,243800,0,0
144,144,1,1,247300,2,247300,3,247300,99,247300,0,0
145,145,1,1,250800,2,250800,3,250800,99,250800,0,0
146,146,1,1,254300,2,254300,3,254300,99,254300,0,0
147,147,1,1,257800,2,257800,3,257800,99,257800,0,0
148,148,1,1,261300,2,261300,3,261300,99,261300,0,0
149,149,1,1,264800,2,264800,3,264800,99,264800,0,0
150,150,1,1,268300,2,268300,3,268300,99,268300,0,0
151,151,1,1,271800,2,271800,3,271800,99,271800,0,0
152,152,1,1,275300,2,275300,3,275300,99,275300,0,0
153,153,1,1,278800,2,278800,3,278800,99,278800,0,0
154,154,1,1,282300,2,282300,3,282300,99,282300,0,0
155,155,1,1,285800,2,285800,3,285800,99,285800,0,0
156,156,1,1,289300,2,289300,3,289300,99,289300,0,0
157,157,1,1,292800,2,292800,3,292800,99,292800,0,0
158,158,1,1,296300,2,296300,3,296300,99,296300,0,0
159,159,1,1,299800,2,299800,3,299800,99,299800,0,0
160,160,1,1,303300,2,303300,3,303300,99,303300,0,0
161,161,1,1,342300,2,342300,3,342300,99,342300,0,0
162,162,1,1,347800,2,347800,3,347800,99,347800,0,0
163,163,1,1,353300,2,353300,3,353300,99,353300,0,0
164,164,1,1,358800,2,358800,3,358800,99,358800,0,0
165,165,1,1,364300,2,364300,3,364300,99,364300,0,0
166,166,1,1,369800,2,369800,3,369800,99,369800,0,0
167,167,1,1,375300,2,375300,3,375300,99,375300,0,0
168,168,1,1,380800,2,380800,3,380800,99,380800,0,0
169,169,1,1,386300,2,386300,3,386300,99,386300,0,0
170,170,1,1,391800,2,391800,3,391800,99,391800,0,0
171,171,1,1,397300,2,397300,3,397300,99,397300,0,0
172,172,1,1,402800,2,402800,3,402800,99,402800,0,0
173,173,1,1,408300,2,408300,3,408300,99,408300,0,0
174,174,1,1,413800,2,413800,3,413800,99,413800,0,0
175,175,1,1,419300,2,419300,3,419300,99,419300,0,0
176,176,1,1,424800,2,424800,3,424800,99,424800,0,0
177,177,1,1,430300,2,430300,3,430300,99,430300,0,0
178,178,1,1,435800,2,435800,3,435800,99,435800,0,0
179,179,1,1,441300,2,441300,3,441300,99,441300,0,0
180,180,1,1,446800,2,446800,3,446800,99,446800,0,0
181,181,2,1,497800,2,497800,3,497800,99,497800,0,0
182,182,1,1,504300,2,504300,3,504300,99,504300,0,0
183,183,1,1,510800,2,510800,3,510800,99,510800,0,0
184,184,1,1,517300,2,517300,3,517300,99,517300,0,0
185,185,1,1,523800,2,523800,3,523800,99,523800,0,0
186,186,1,1,530300,2,530300,3,530300,99,530300,0,0
187,187,1,1,536800,2,536800,3,536800,99,536800,0,0
188,188,1,1,543300,2,543300,3,543300,99,543300,0,0
189,189,1,1,549800,2,549800,3,549800,99,549800,0,0
190,190,1,1,556300,2,556300,3,556300,99,556300,0,0
191,191,1,1,562800,2,562800,3,562800,99,562800,0,0
192,192,1,1,569300,2,569300,3,569300,99,569300,0,0
193,193,1,1,575800,2,575800,3,575800,99,575800,0,0
194,194,1,1,582300,2,582300,3,582300,99,582300,0,0
195,195,1,1,588800,2,588800,3,588800,99,588800,0,0
196,196,1,1,595300,2,595300,3,595300,99,595300,0,0
197,197,1,1,601800,2,601800,3,601800,99,601800,0,0
198,198,1,1,608300,2,608300,3,608300,99,608300,0,0
199,199,1,1,614800,2,614800,3,614800,99,614800,0,0
200,200,1,1,621300,2,621300,3,621300,99,621300,0,0
201,201,2,1,685300,2,685300,3,685300,99,685300,0,0
202,202,1,1,693300,2,693300,3,693300,99,693300,0,0
203,203,1,1,701300,2,701300,3,701300,99,701300,0,0
204,204,1,1,709300,2,709300,3,709300,99,709300,0,0
205,205,1,1,717300,2,717300,3,717300,99,717300,0,0
206,206,1,1,725300,2,725300,3,725300,99,725300,0,0
207,207,1,1,733300,2,733300,3,733300,99,733300,0,0
208,208,1,1,741300,2,741300,3,741300,99,741300,0,0
209,209,1,1,749300,2,749300,3,749300,99,749300,0,0
210,210,1,1,757300,2,757300,3,757300,99,757300,0,0
211,211,1,1,765300,2,765300,3,765300,99,765300,0,0
212,212,1,1,773300,2,773300,3,773300,99,773300,0,0
213,213,1,1,781300,2,781300,3,781300,99,781300,0,0
214,214,1,1,789300,2,789300,3,789300,99,789300,0,0
215,215,1,1,797300,2,797300,3,797300,99,797300,0,0
216,216,1,1,805300,2,805300,3,805300,99,805300,0,0
217,217,1,1,813300,2,813300,3,813300,99,813300,0,0
218,218,1,1,821300,2,821300,3,821300,99,821300,0,0
219,219,1,1,829300,2,829300,3,829300,99,829300,0,0
220,220,1,1,837300,2,837300,3,837300,99,837300,0,0
221,221,2,1,917300,2,917300,3,917300,99,917300,0,0
222,222,1,1,927300,2,927300,3,927300,99,927300,0,0
223,223,1,1,937300,2,937300,3,937300,99,937300,0,0
224,224,1,1,947300,2,947300,3,947300,99,947300,0,0
225,225,1,1,957300,2,957300,3,957300,99,957300,0,0
226,226,1,1,967300,2,967300,3,967300,99,967300,0,0
227,227,1,1,977300,2,977300,3,977300,99,977300,0,0
228,228,1,1,987300,2,987300,3,987300,99,987300,0,0
229,229,1,1,997300,2,997300,3,997300,99,997300,0,0
230,230,1,1,1007300,2,1007300,3,1007300,99,1007300,0,0
231,231,1,1,1017300,2,1017300,3,1017300,99,1017300,0,0
232,232,1,1,1027300,2,1027300,3,1027300,99,1027300,0,0
233,233,1,1,1037300,2,1037300,3,1037300,99,1037300,0,0
234,234,1,1,1047300,2,1047300,3,1047300,99,1047300,0,0
235,235,1,1,1057300,2,1057300,3,1057300,99,1057300,0,0
236,236,1,1,1067300,2,1067300,3,1067300,99,1067300,0,0
237,237,1,1,1077300,2,1077300,3,1077300,99,1077300,0,0
238,238,1,1,1087300,2,1087300,3,1087300,99,1087300,0,0
239,239,1,1,1097300,2,1097300,3,1097300,99,1097300,0,0
240,240,1,1,1107300,2,1107300,3,1107300,99,1107300,0,0
241,241,2,1,1117300,2,1117300,3,1117300,99,1117300,0,0
242,242,1,1,1127300,2,1127300,3,1127300,99,1127300,0,0
243,243,1,1,1137300,2,1137300,3,1137300,99,1137300,0,0
244,244,1,1,1147300,2,1147300,3,1147300,99,1147300,0,0
245,245,1,1,1157300,2,1157300,3,1157300,99,1157300,0,0
246,246,1,1,1167300,2,1167300,3,1167300,99,1167300,0,0
247,247,1,1,1177300,2,1177300,3,1177300,99,1177300,0,0
248,248,1,1,1187300,2,1187300,3,1187300,99,1187300,0,0
249,249,1,1,1197300,2,1197300,3,1197300,99,1197300,0,0
250,250,1,1,1207300,2,1207300,3,1207300,99,1207300,0,0
251,251,1,1,1217300,2,1217300,3,1217300,99,1217300,0,0
252,252,1,1,1227300,2,1227300,3,1227300,99,1227300,0,0
253,253,1,1,1237300,2,1237300,3,1237300,99,1237300,0,0
254,254,1,1,1247300,2,1247300,3,1247300,99,1247300,0,0
255,255,1,1,1257300,2,1257300,3,1257300,99,1257300,0,0
256,256,1,1,1267300,2,1267300,3,1267300,99,1267300,0,0
257,257,1,1,1277300,2,1277300,3,1277300,99,1277300,0,0
258,258,1,1,1287300,2,1287300,3,1287300,99,1287300,0,0
259,259,1,1,1297300,2,1297300,3,1297300,99,1297300,0,0
260,260,1,1,1307300,2,1307300,3,1307300,99,1307300,0,0
261,261,1,1,1317300,2,1317300,3,1317300,99,1317300,0,0
262,262,1,1,1327300,2,1327300,3,1327300,99,1327300,0,0
263,263,1,1,1337300,2,1337300,3,1337300,99,1337300,0,0
264,264,1,1,1347300,2,1347300,3,1347300,99,1347300,0,0
265,265,1,1,1357300,2,1357300,3,1357300,99,1357300,0,0
266,266,1,1,1367300,2,1367300,3,1367300,99,1367300,0,0
267,267,1,1,1377300,2,1377300,3,1377300,99,1377300,0,0
268,268,1,1,1387300,2,1387300,3,1387300,99,1387300,0,0
269,269,1,1,1397300,2,1397300,3,1397300,99,1397300,0,0
270,270,1,1,1407300,2,1407300,3,1407300,99,1407300,0,0
271,271,1,1,1417300,2,1417300,3,1417300,99,1417300,0,0
272,272,1,1,1427300,2,1427300,3,1427300,99,1427300,0,0
273,273,1,1,1437300,2,1437300,3,1437300,99,1437300,0,0
274,274,1,1,1447300,2,1447300,3,1447300,99,1447300,0,0
275,275,1,1,1457300,2,1457300,3,1457300,99,1457300,0,0
276,276,1,1,1467300,2,1467300,3,1467300,99,1467300,0,0
277,277,1,1,1477300,2,1477300,3,1477300,99,1477300,0,0
278,278,1,1,1487300,2,1487300,3,1487300,99,1487300,0,0
279,279,1,1,1497300,2,1497300,3,1497300,99,1497300,0,0
280,280,1,1,1507300,2,1507300,3,1507300,99,1507300,0,0
281,281,1,1,1517300,2,1517300,3,1517300,99,1517300,0,0
282,282,1,1,1527300,2,1527300,3,1527300,99,1527300,0,0
283,283,1,1,1537300,2,1537300,3,1537300,99,1537300,0,0
284,284,1,1,1547300,2,1547300,3,1547300,99,1547300,0,0
285,285,1,1,1557300,2,1557300,3,1557300,99,1557300,0,0
286,286,1,1,1567300,2,1567300,3,1567300,99,1567300,0,0
287,287,1,1,1577300,2,1577300,3,1577300,99,1577300,0,0
288,288,1,1,1587300,2,1587300,3,1587300,99,1587300,0,0
289,289,1,1,1597300,2,1597300,3,1597300,99,1597300,0,0
290,290,1,1,1607300,2,1607300,3,1607300,99,1607300,0,0
291,291,1,1,1617300,2,1617300,3,1617300,99,1617300,0,0
292,292,1,1,1627300,2,1627300,3,1627300,99,1627300,0,0
293,293,1,1,1637300,2,1637300,3,1637300,99,1637300,0,0
294,294,1,1,1647300,2,1647300,3,1647300,99,1647300,0,0
295,295,1,1,1657300,2,1657300,3,1657300,99,1657300,0,0
296,296,1,1,1667300,2,1667300,3,1667300,99,1667300,0,0
297,297,1,1,1677300,2,1677300,3,1677300,99,1677300,0,0
298,298,1,1,1687300,2,1687300,3,1687300,99,1687300,0,0
299,299,1,1,1697300,2,1697300,3,1697300,99,1697300,0,0
300,300,1,1,1707300,2,1707300,3,1707300,99,1707300,0,0
