id,heroid,bresk,skillhave1,skillhave2,skillhave3,skillhave4,type1,value1
10060010,1006,181,10060403,10060104,10060202,10060302,99,110000
10060011,1006,201,10060403,10060104,10060203,10060302,99,120000
10060012,1006,221,10060403,10060104,10060203,10060303,99,130000
10060013,1006,600,10060403,10060104,10060203,10060303,99,140000
10070000,1007,1,10070401,0,0,0,99,10000
10070001,1007,11,10070401,10070101,0,0,99,20000
10070002,1007,21,10070401,10070102,0,0,99,30000
10070003,1007,41,10070401,10070102,10070201,0,99,40000
10070004,1007,61,10070401,10070102,10070201,10070301,99,50000
10070005,1007,81,10070402,10070102,10070201,10070301,99,60000
10070006,1007,101,10070402,10070103,10070201,10070301,99,70000
10070007,1007,121,10070402,10070103,10070202,10070301,99,80000
10070008,1007,141,10070402,10070103,10070202,10070302,99,90000
10070009,1007,161,10070403,10070103,10070202,10070302,99,100000
10070010,1007,181,10070403,10070104,10070202,10070302,99,110000
10070011,1007,201,10070403,10070104,10070203,10070302,99,120000
10070012,1007,221,10070403,10070104,10070203,10070303,99,130000
10070013,1007,600,10070403,10070104,10070203,10070303,99,140000
10080000,1008,1,10080401,0,0,0,99,10000
10080001,1008,11,10080401,10080101,0,0,99,20000
10080002,1008,21,10080401,10080102,0,0,99,30000
10080003,1008,41,10080401,10080102,10080201,0,99,40000
10080004,1008,61,10080401,10080102,10080201,10080301,99,50000
10080005,1008,81,10080402,10080102,10080201,10080301,99,60000
10080006,1008,101,10080402,10080103,10080201,10080301,99,70000
10080007,1008,121,10080402,10080103,10080202,10080301,99,80000
10080008,1008,141,10080402,10080103,10080202,10080302,99,90000
10080009,1008,161,10080403,10080103,10080202,10080302,99,100000
10080010,1008,181,10080403,10080104,10080202,10080302,99,110000
10080011,1008,201,10080403,10080104,10080203,10080302,99,120000
10080012,1008,221,10080403,10080104,10080203,10080303,99,130000
10080013,1008,600,10080403,10080104,10080203,10080303,99,140000
10090000,1009,1,10090401,0,0,0,99,10000
10090001,1009,11,10090401,10090101,0,0,99,20000
10090002,1009,21,10090401,10090102,0,0,99,30000
10090003,1009,41,10090401,10090102,10090201,0,99,40000
10090004,1009,61,10090401,10090102,10090201,10090301,99,50000
10090005,1009,81,10090402,10090102,10090201,10090301,99,60000
10090006,1009,101,10090402,10090103,10090201,10090301,99,70000
10090007,1009,121,10090402,10090103,10090202,10090301,99,80000
10090008,1009,141,10090402,10090103,10090202,10090302,99,90000
10090009,1009,161,10090403,10090103,10090202,10090302,99,100000
10090010,1009,181,10090403,10090104,10090202,10090302,99,110000
10090011,1009,201,10090403,10090104,10090203,10090302,99,120000
10090012,1009,221,10090403,10090104,10090203,10090303,99,130000
10090013,1009,600,10090403,10090104,10090203,10090303,99,140000
10100000,1010,1,10100401,0,0,0,99,10000
10100001,1010,11,10100401,10100101,0,0,99,20000
10100002,1010,21,10100401,10100102,0,0,99,30000
10100003,1010,41,10100401,10100102,10100201,0,99,40000
10100004,1010,61,10100401,10100102,10100201,10100301,99,50000
10100005,1010,81,10100402,10100102,10100201,10100301,99,60000
10100006,1010,101,10100402,10100103,10100201,10100301,99,70000
10100007,1010,121,10100402,10100103,10100202,10100301,99,80000
10100008,1010,141,10100402,10100103,10100202,10100302,99,90000
10100009,1010,161,10100403,10100103,10100202,10100302,99,100000
10100010,1010,181,10100403,10100104,10100202,10100302,99,110000
10100011,1010,201,10100403,10100104,10100203,10100302,99,120000
10100012,1010,221,10100403,10100104,10100203,10100303,99,130000
10100013,1010,600,10100403,10100104,10100203,10100303,99,140000
10110000,1011,1,10110401,0,0,0,99,10000
10110001,1011,11,10110401,10110101,0,0,99,20000
10110002,1011,21,10110401,10110102,0,0,99,30000
10110003,1011,41,10110401,10110102,10110201,0,99,40000
10110004,1011,61,10110401,10110102,10110201,10110301,99,50000
10110005,1011,81,10110402,10110102,10110201,10110301,99,60000
10110006,1011,101,10110402,10110103,10110201,10110301,99,70000
10110007,1011,121,10110402,10110103,10110202,10110301,99,80000
10110008,1011,141,10110402,10110103,10110202,10110302,99,90000
10110009,1011,161,10110403,10110103,10110202,10110302,99,100000
10110010,1011,181,10110403,10110104,10110202,10110302,99,110000
10110011,1011,201,10110403,10110104,10110203,10110302,99,120000
10110012,1011,221,10110403,10110104,10110203,10110303,99,130000
10110013,1011,600,10110403,10110104,10110203,10110303,99,140000
10120000,1012,1,10120401,0,0,0,99,10000
10120001,1012,11,10120401,10120101,0,0,99,20000
10120002,1012,21,10120401,10120102,0,0,99,30000
10120003,1012,41,10120401,10120102,10120201,0,99,40000
10120004,1012,61,10120402,10120102,10120201,0,99,50000
10120005,1012,81,10120402,10120103,10120201,0,99,60000
10120006,1012,101,10120402,10120103,10120202,0,99,70000
10120007,1012,121,10120403,10120103,10120202,0,99,80000
10120008,1012,141,10120403,10120104,10120202,0,99,90000
10120009,1012,161,10120403,10120104,10120202,0,99,100000
10120010,1012,181,10120403,10120104,10120202,0,99,110000
10120011,1012,201,10120403,10120104,10120202,0,99,120000
10120012,1012,221,10120403,10120104,10120202,0,99,130000
10120013,1012,600,10120403,10120104,10120202,0,99,140000
10130000,1013,1,10130401,0,0,0,99,10000
10130001,1013,11,10130401,10130101,0,0,99,20000
10130002,1013,21,10130401,10130102,0,0,99,30000
10130003,1013,41,10130401,10130102,10130201,0,99,40000
10130004,1013,61,10130402,10130102,10130201,0,99,50000
10130005,1013,81,10130402,10130103,10130201,0,99,60000
10130006,1013,101,10130402,10130103,10130202,0,99,70000
10130007,1013,121,10130403,10130103,10130202,0,99,80000
10130008,1013,141,10130403,10130104,10130202,0,99,90000
10130009,1013,161,10130403,10130104,10130202,0,99,100000
10130010,1013,181,10130403,10130104,10130202,0,99,110000
10130011,1013,201,10130403,10130104,10130202,0,99,120000
10130012,1013,221,10130403,10130104,10130202,0,99,130000
10130013,1013,600,10130403,10130104,10130202,0,99,140000
10140000,1014,1,10140401,0,0,0,99,10000
10140001,1014,11,10140401,10140101,0,0,99,20000
10140002,1014,21,10140401,10140102,0,0,99,30000
10140003,1014,41,10140401,10140102,10140201,0,99,40000
10140004,1014,61,10140402,10140102,10140201,0,99,50000
10140005,1014,81,10140402,10140103,10140201,0,99,60000
10140006,1014,101,10140402,10140103,10140202,0,99,70000
10140007,1014,121,10140403,10140103,10140202,0,99,80000
10140008,1014,141,10140403,10140104,10140202,0,99,90000
10140009,1014,161,10140403,10140104,10140202,0,99,100000
10140010,1014,181,10140403,10140104,10140202,0,99,110000
10140011,1014,201,10140403,10140104,10140202,0,99,120000
10140012,1014,221,10140403,10140104,10140202,0,99,130000
10140013,1014,600,10140403,10140104,10140202,0,99,140000
10150000,1015,1,10150401,0,0,0,99,10000
10150001,1015,11,10150401,10150101,0,0,99,20000
10150002,1015,21,10150401,10150102,0,0,99,30000
10150003,1015,41,10150401,10150102,10150201,0,99,40000
10150004,1015,61,10150402,10150102,10150201,0,99,50000
10150005,1015,81,10150402,10150103,10150201,0,99,60000
10150006,1015,101,10150402,10150103,10150202,0,99,70000
10150007,1015,121,10150403,10150103,10150202,0,99,80000
10150008,1015,141,10150403,10150104,10150202,0,99,90000
10150009,1015,161,10150403,10150104,10150202,0,99,100000
10150010,1015,181,10150403,10150104,10150202,0,99,110000
10150011,1015,201,10150403,10150104,10150202,0,99,120000
10150012,1015,221,10150403,10150104,10150202,0,99,130000
10150013,1015,600,10150403,10150104,10150202,0,99,140000
10160000,1016,1,10160401,0,0,0,99,10000
10160001,1016,11,10160401,10160101,0,0,99,20000
10160002,1016,21,10160401,10160101,0,0,99,30000
10160003,1016,41,10160401,10160101,0,0,99,40000
10160004,1016,61,10160401,10160101,0,0,99,50000
10160005,1016,81,10160401,10160101,0,0,99,60000
10160006,1016,101,10160401,10160101,0,0,99,70000
10160007,1016,121,10160401,10160101,0,0,99,80000
10160008,1016,141,10160401,10160101,0,0,99,90000
10160009,1016,161,10160401,10160101,0,0,99,100000
10160010,1016,181,10160401,10160101,0,0,99,110000
10160011,1016,201,10160401,10160101,0,0,99,120000
10160012,1016,221,10160401,10160101,0,0,99,130000
10160013,1016,600,10160401,10160101,0,0,99,140000
10170000,1017,1,10170401,0,0,0,99,10000
10170001,1017,11,10170401,10170101,0,0,99,20000
10170002,1017,21,10170401,10170101,0,0,99,30000
10170003,1017,41,10170401,10170101,0,0,99,40000
10170004,1017,61,10170401,10170101,0,0,99,50000
10170005,1017,81,10170401,10170101,0,0,99,60000
10170006,1017,101,10170401,10170101,0,0,99,70000
10170007,1017,121,10170401,10170101,0,0,99,80000
10170008,1017,141,10170401,10170101,0,0,99,90000
10170009,1017,161,10170401,10170101,0,0,99,100000
10170010,1017,181,10170401,10170101,0,0,99,110000
10170011,1017,201,10170401,10170101,0,0,99,120000
10170012,1017,221,10170401,10170101,0,0,99,130000
10170013,1017,600,10170401,10170101,0,0,99,140000
20010000,2001,1,20010401,0,0,0,99,10000
20010001,2001,11,20010401,20010101,0,0,99,20000
20010002,2001,21,20010401,20010102,0,0,99,30000
20010003,2001,41,20010401,20010102,20010201,0,99,40000
20010004,2001,61,20010401,20010102,20010201,20010301,99,50000
20010005,2001,81,20010402,20010102,20010201,20010301,99,60000
20010006,2001,101,20010402,20010103,20010201,20010301,99,70000
20010007,2001,121,20010402,20010103,20010202,20010301,99,80000
20010008,2001,141,20010402,20010103,20010202,20010302,99,90000
20010009,2001,161,20010403,20010103,20010202,20010302,99,100000
20010010,2001,181,20010403,20010104,20010202,20010302,99,110000
20010011,2001,201,20010403,20010104,20010203,20010302,99,120000
20010012,2001,221,20010403,20010104,20010203,20010303,99,130000
20010013,2001,600,20010403,20010104,20010203,20010303,99,140000
20020000,2002,1,20020401,0,0,0,99,10000
20020001,2002,11,20020401,20020101,0,0,99,20000
20020002,2002,21,20020401,20020102,0,0,99,30000
20020003,2002,41,20020401,20020102,20020201,0,99,40000
20020004,2002,61,20020401,20020102,20020201,20020301,99,50000
20020005,2002,81,20020402,20020102,20020201,20020301,99,60000
20020006,2002,101,20020402,20020103,20020201,20020301,99,70000
20020007,2002,121,20020402,20020103,20020202,20020301,99,80000
20020008,2002,141,20020402,20020103,20020202,20020302,99,90000
20020009,2002,161,20020403,20020103,20020202,20020302,99,100000
20020010,2002,181,20020403,20020104,20020202,20020302,99,110000
20020011,2002,201,20020403,20020104,20020203,20020302,99,120000
20020012,2002,221,20020403,20020104,20020203,20020303,99,130000
20020013,2002,600,20020403,20020104,20020203,20020303,99,140000
20030000,2003,1,20030401,0,0,0,99,10000
20030001,2003,11,20030401,20030101,0,0,99,20000
20030002,2003,21,20030401,20030102,0,0,99,30000
20030003,2003,41,20030401,20030102,20030201,0,99,40000
20030004,2003,61,20030401,20030102,20030201,20030301,99,50000
20030005,2003,81,20030402,20030102,20030201,20030301,99,60000
20030006,2003,101,20030402,20030103,20030201,20030301,99,70000
20030007,2003,121,20030402,20030103,20030202,20030301,99,80000
20030008,2003,141,20030402,20030103,20030202,20030302,99,90000
20030009,2003,161,20030403,20030103,20030202,20030302,99,100000
20030010,2003,181,20030403,20030104,20030202,20030302,99,110000
20030011,2003,201,20030403,20030104,20030203,20030302,99,120000
20030012,2003,221,20030403,20030104,20030203,20030303,99,130000
20030013,2003,600,20030403,20030104,20030203,20030303,99,140000
20040000,2004,1,20040401,0,0,0,99,10000
20040001,2004,11,20040401,20040101,0,0,99,20000
20040002,2004,21,20040401,20040102,0,0,99,30000
20040003,2004,41,20040401,20040102,20040201,0,99,40000
20040004,2004,61,20040401,20040102,20040201,20040301,99,50000
20040005,2004,81,20040402,20040102,20040201,20040301,99,60000
20040006,2004,101,20040402,20040103,20040201,20040301,99,70000
20040007,2004,121,20040402,20040103,20040202,20040301,99,80000
20040008,2004,141,20040402,20040103,20040202,20040302,99,90000
20040009,2004,161,20040403,20040103,20040202,20040302,99,100000
20040010,2004,181,20040403,20040104,20040202,20040302,99,110000
20040011,2004,201,20040403,20040104,20040203,20040302,99,120000
20040012,2004,221,20040403,20040104,20040203,20040303,99,130000
20040013,2004,600,20040403,20040104,20040203,20040303,99,140000
20050000,2005,1,20050401,0,0,0,99,10000
20050001,2005,11,20050401,20050101,0,0,99,20000
20050002,2005,21,20050401,20050102,0,0,99,30000
20050003,2005,41,20050401,20050102,20050201,0,99,40000
20050004,2005,61,20050401,20050102,20050201,20050301,99,50000
20050005,2005,81,20050402,20050102,20050201,20050301,99,60000
20050006,2005,101,20050402,20050103,20050201,20050301,99,70000
20050007,2005,121,20050402,20050103,20050202,20050301,99,80000
20050008,2005,141,20050402,20050103,20050202,20050302,99,90000
20050009,2005,161,20050403,20050103,20050202,20050302,99,100000
20050010,2005,181,20050403,20050104,20050202,20050302,99,110000
20050011,2005,201,20050403,20050104,20050203,20050302,99,120000
20050012,2005,221,20050403,20050104,20050203,20050303,99,130000
20050013,2005,600,20050403,20050104,20050203,20050303,99,140000
20060000,2006,1,20060401,0,0,0,99,10000
20060001,2006,11,20060401,20060101,0,0,99,20000
20060002,2006,21,20060401,20060102,0,0,99,30000
20060003,2006,41,20060401,20060102,20060201,0,99,40000
20060004,2006,61,20060401,20060102,20060201,20060301,99,50000
20060005,2006,81,20060402,20060102,20060201,20060301,99,60000
20060006,2006,101,20060402,20060103,20060201,20060301,99,70000
20060007,2006,121,20060402,20060103,20060202,20060301,99,80000
20060008,2006,141,20060402,20060103,20060202,20060302,99,90000
20060009,2006,161,20060403,20060103,20060202,20060302,99,100000
20060010,2006,181,20060403,20060104,20060202,20060302,99,110000
20060011,2006,201,20060403,20060104,20060203,20060302,99,120000
20060012,2006,221,20060403,20060104,20060203,20060303,99,130000
20060013,2006,600,20060403,20060104,20060203,20060303,99,140000
20070000,2007,1,20070401,0,0,0,99,10000
20070001,2007,11,20070401,20070101,0,0,99,20000
20070002,2007,21,20070401,20070102,0,0,99,30000
20070003,2007,41,20070401,20070102,20070201,0,99,40000
20070004,2007,61,20070401,20070102,20070201,20070301,99,50000
20070005,2007,81,20070402,20070102,20070201,20070301,99,60000
20070006,2007,101,20070402,20070103,20070201,20070301,99,70000
20070007,2007,121,20070402,20070103,20070202,20070301,99,80000
20070008,2007,141,20070402,20070103,20070202,20070302,99,90000
20070009,2007,161,20070403,20070103,20070202,20070302,99,100000
20070010,2007,181,20070403,20070104,20070202,20070302,99,110000
20070011,2007,201,20070403,20070104,20070203,20070302,99,120000
20070012,2007,221,20070403,20070104,20070203,20070303,99,130000
20070013,2007,600,20070403,20070104,20070203,20070303,99,140000
20080000,2008,1,20080401,0,0,0,99,10000
20080001,2008,11,20080401,20080101,0,0,99,20000
20080002,2008,21,20080401,20080102,0,0,99,30000
20080003,2008,41,20080401,20080102,20080201,0,99,40000
20080004,2008,61,20080401,20080102,20080201,20080301,99,50000
20080005,2008,81,20080402,20080102,20080201,20080301,99,60000
20080006,2008,101,20080402,20080103,20080201,20080301,99,70000
20080007,2008,121,20080402,20080103,20080202,20080301,99,80000
20080008,2008,141,20080402,20080103,20080202,20080302,99,90000
20080009,2008,161,20080403,20080103,20080202,20080302,99,100000
20080010,2008,181,20080403,20080104,20080202,20080302,99,110000
20080011,2008,201,20080403,20080104,20080203,20080302,99,120000
20080012,2008,221,20080403,20080104,20080203,20080303,99,130000
20080013,2008,600,20080403,20080104,20080203,20080303,99,140000
20090000,2009,1,20090401,0,0,0,99,10000
20090001,2009,11,20090401,20090101,0,0,99,20000
20090002,2009,21,20090401,20090102,0,0,99,30000
20090003,2009,41,20090401,20090102,20090201,0,99,40000
20090004,2009,61,20090401,20090102,20090201,20090301,99,50000
20090005,2009,81,20090402,20090102,20090201,20090301,99,60000
20090006,2009,101,20090402,20090103,20090201,20090301,99,70000
20090007,2009,121,20090402,20090103,20090202,20090301,99,80000
20090008,2009,141,20090402,20090103,20090202,20090302,99,90000
20090009,2009,161,20090403,20090103,20090202,20090302,99,100000
20090010,2009,181,20090403,20090104,20090202,20090302,99,110000
20090011,2009,201,20090403,20090104,20090203,20090302,99,120000
20090012,2009,221,20090403,20090104,20090203,20090303,99,130000
20090013,2009,600,20090403,20090104,20090203,20090303,99,140000
20100000,2010,1,20100401,0,0,0,99,10000
20100001,2010,11,20100401,20100101,0,0,99,20000
20100002,2010,21,20100401,20100102,0,0,99,30000
20100003,2010,41,20100401,20100102,20100201,0,99,40000
20100004,2010,61,20100401,20100102,20100201,20100301,99,50000
20100005,2010,81,20100402,20100102,20100201,20100301,99,60000
20100006,2010,101,20100402,20100103,20100201,20100301,99,70000
20100007,2010,121,20100402,20100103,20100202,20100301,99,80000
20100008,2010,141,20100402,20100103,20100202,20100302,99,90000
20100009,2010,161,20100403,20100103,20100202,20100302,99,100000
20100010,2010,181,20100403,20100104,20100202,20100302,99,110000
20100011,2010,201,20100403,20100104,20100203,20100302,99,120000
20100012,2010,221,20100403,20100104,20100203,20100303,99,130000
20100013,2010,600,20100403,20100104,20100203,20100303,99,140000
20110000,2011,1,20110401,0,0,0,99,10000
20110001,2011,11,20110401,20110101,0,0,99,20000
20110002,2011,21,20110401,20110102,0,0,99,30000
20110003,2011,41,20110401,20110102,20110201,0,99,40000
20110004,2011,61,20110402,20110102,20110201,0,99,50000
20110005,2011,81,20110402,20110103,20110201,0,99,60000
20110006,2011,101,20110402,20110103,20110202,0,99,70000
20110007,2011,121,20110403,20110103,20110202,0,99,80000
20110008,2011,141,20110403,20110104,20110202,0,99,90000
20110009,2011,161,20110403,20110104,20110202,0,99,100000
20110010,2011,181,20110403,20110104,20110202,0,99,110000
20110011,2011,201,20110403,20110104,20110202,0,99,120000
20110012,2011,221,20110403,20110104,20110202,0,99,130000
20110013,2011,600,20110403,20110104,20110202,0,99,140000
20120000,2012,1,20120401,0,0,0,99,10000
20120001,2012,11,20120401,20120101,0,0,99,20000
20120002,2012,21,20120401,20120102,0,0,99,30000
20120003,2012,41,20120401,20120102,20120201,0,99,40000
20120004,2012,61,20120402,20120102,20120201,0,99,50000
20120005,2012,81,20120402,20120103,20120201,0,99,60000
20120006,2012,101,20120402,20120103,20120202,0,99,70000
20120007,2012,121,20120403,20120103,20120202,0,99,80000
20120008,2012,141,20120403,20120104,20120202,0,99,90000
20120009,2012,161,20120403,20120104,20120202,0,99,100000
20120010,2012,181,20120403,20120104,20120202,0,99,110000
20120011,2012,201,20120403,20120104,20120202,0,99,120000
20120012,2012,221,20120403,20120104,20120202,0,99,130000
20120013,2012,600,20120403,20120104,20120202,0,99,140000
20130000,2013,1,20130401,0,0,0,99,10000
20130001,2013,11,20130401,20130101,0,0,99,20000
20130002,2013,21,20130401,20130102,0,0,99,30000
20130003,2013,41,20130401,20130102,20130201,0,99,40000
20130004,2013,61,20130402,20130102,20130201,0,99,50000
20130005,2013,81,20130402,20130103,20130201,0,99,60000
20130006,2013,101,20130402,20130103,20130202,0,99,70000
20130007,2013,121,20130403,20130103,20130202,0,99,80000
20130008,2013,141,20130403,20130104,20130202,0,99,90000
20130009,2013,161,20130403,20130104,20130202,0,99,100000
20130010,2013,181,20130403,20130104,20130202,0,99,110000
20130011,2013,201,20130403,20130104,20130202,0,99,120000
20130012,2013,221,20130403,20130104,20130202,0,99,130000
20130013,2013,600,20130403,20130104,20130202,0,99,140000
20140000,2014,1,20140401,0,0,0,99,10000
20140001,2014,11,20140401,20140101,0,0,99,20000
20140002,2014,21,20140401,20140101,0,0,99,30000
20140003,2014,41,20140401,20140101,0,0,99,40000
20140004,2014,61,20140401,20140101,0,0,99,50000
20140005,2014,81,20140401,20140101,0,0,99,60000
20140006,2014,101,20140401,20140101,0,0,99,70000
20140007,2014,121,20140401,20140101,0,0,99,80000
20140008,2014,141,20140401,20140101,0,0,99,90000
20140009,2014,161,20140401,20140101,0,0,99,100000
20140010,2014,181,20140401,20140101,0,0,99,110000
20140011,2014,201,20140401,20140101,0,0,99,120000
20140012,2014,221,20140401,20140101,0,0,99,130000
20140013,2014,600,20140401,20140101,0,0,99,140000
20150000,2015,1,20150401,0,0,0,99,10000
20150001,2015,11,20150401,20150101,0,0,99,20000
20150002,2015,21,20150401,20150101,0,0,99,30000
20150003,2015,41,20150401,20150101,0,0,99,40000
20150004,2015,61,20150401,20150101,0,0,99,50000
20150005,2015,81,20150401,20150101,0,0,99,60000
20150006,2015,101,20150401,20150101,0,0,99,70000
20150007,2015,121,20150401,20150101,0,0,99,80000
20150008,2015,141,20150401,20150101,0,0,99,90000
20150009,2015,161,20150401,20150101,0,0,99,100000
20150010,2015,181,20150401,20150101,0,0,99,110000
20150011,2015,201,20150401,20150101,0,0,99,120000
20150012,2015,221,20150401,20150101,0,0,99,130000
20150013,2015,600,20150401,20150101,0,0,99,140000
20160000,2016,1,20160401,0,0,0,99,10000
20160001,2016,11,20160401,20160101,0,0,99,20000
20160002,2016,21,20160401,20160102,0,0,99,30000
20160003,2016,41,20160401,20160102,20160201,0,99,40000
20160004,2016,61,20160401,20160102,20160201,20160301,99,50000
20160005,2016,81,20160402,20160102,20160201,20160301,99,60000
20160006,2016,101,20160402,20160103,20160201,20160301,99,70000
20160007,2016,121,20160402,20160103,20160202,20160301,99,80000
20160008,2016,141,20160402,20160103,20160202,20160302,99,90000
20160009,2016,161,20160403,20160103,20160202,20160302,99,100000
20160010,2016,181,20160403,20160104,20160202,20160302,99,110000
20160011,2016,201,20160403,20160104,20160203,20160302,99,120000
20160012,2016,221,20160403,20160104,20160203,20160303,99,130000
20160013,2016,600,20160403,20160104,20160203,20160303,99,140000
30010000,3001,1,30010401,0,0,0,99,10000
30010001,3001,11,30010401,30010101,0,0,99,20000
30010002,3001,21,30010401,30010102,0,0,99,30000
30010003,3001,41,30010401,30010102,30010201,0,99,40000
30010004,3001,61,30010401,30010102,30010201,30010301,99,50000
30010005,3001,81,30010402,30010102,30010201,30010301,99,60000
30010006,3001,101,30010402,30010103,30010201,30010301,99,70000
30010007,3001,121,30010402,30010103,30010202,30010301,99,80000
30010008,3001,141,30010402,30010103,30010202,30010302,99,90000
30010009,3001,161,30010403,30010103,30010202,30010302,99,100000
30010010,3001,181,30010403,30010104,30010202,30010302,99,110000
30010011,3001,201,30010403,30010104,30010203,30010302,99,120000
30010012,3001,221,30010403,30010104,30010203,30010303,99,130000
30010013,3001,600,30010403,30010104,30010203,30010303,99,140000
30020000,3002,1,30020401,0,0,0,99,10000
30020001,3002,11,30020401,30020101,0,0,99,20000
30020002,3002,21,30020401,30020102,0,0,99,30000
30020003,3002,41,30020401,30020102,30020201,0,99,40000
30020004,3002,61,30020401,30020102,30020201,30020301,99,50000
30020005,3002,81,30020402,30020102,30020201,30020301,99,60000
30020006,3002,101,30020402,30020103,30020201,30020301,99,70000
30020007,3002,121,30020402,30020103,30020202,30020301,99,80000
30020008,3002,141,30020402,30020103,30020202,30020302,99,90000
30020009,3002,161,30020403,30020103,30020202,30020302,99,100000
30020010,3002,181,30020403,30020104,30020202,30020302,99,110000
30020011,3002,201,30020403,30020104,30020203,30020302,99,120000
30020012,3002,221,30020403,30020104,30020203,30020303,99,130000
30020013,3002,600,30020403,30020104,30020203,30020303,99,140000
30030000,3003,1,30030401,0,0,0,99,10000
30030001,3003,11,30030401,30030101,0,0,99,20000
30030002,3003,21,30030401,30030102,0,0,99,30000
